IRI,uniqueVar,variable,dataFile,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0000335,household level data 25m survey_final::otherfcy,otherfcy,household level data 25m survey_final,Human waste facilities,Main kind of toilet facilities used by the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,variable,What kind of toilet facility do members of your household usually use? | Specify other kind of toilet facilities,"String | 1 - flush toilet, 2 - vip latrine, 3 - covered pit latrine no slab, 4 - covered pit latrine w/slab, 5 - uncovered pit latrine no slab, 6 - uncovered pit latrine w/slab, 7 - composting  toilet, 8 - no facility/bush/field, 96 - other, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000023,household level data 25m survey_final::fueltype,fueltype,household level data 25m survey_final,Cooking fuel,The main type of fuel the household used for cooking.,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,variable,Specify other type of fuel used | What type of fuel does your household mainly use for cooking?,"1 - electricity, 2 - lpg/natural gas, 3 - biogas, 4 - paraffin/kerosene, 5 - charcoal, 6 - firewood, 7 - straw/shrubs/grass, 8 - animal dung, 95 - no food cooked in household, 96 - other, -8: Refused to answer | String",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::otherfuel,otherfuel,household level data 25m survey_final,Other cooking fuel,Specify other type of fuel used,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0400065,household level data 25m survey_final::senergy,senergy,household level data 25m survey_final,Lighting source,Main source of artificial lighting for the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,variable,Specify other source of energy for lighting | What is the main source of energy for lighting in the household?,"1 - electricity, 2 - solar, 3 - gas, 4 - paraffin - hurricane lamp, 5 - paraffin - pressure lamp, 6 - paraffin - wick lamp, 7 - firewood, 8 - candles, 9 - torch/battery powered lamp, 96 - other, -8: Refused to answer | String",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::othereng,othereng,household level data 25m survey_final,Other lighting source,Specify other source of energy for lighting,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000006,household level data 25m survey_final::mmfloor,mmfloor,household level data 25m survey_final,Floor material,Primary material of floors.,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,Main material of the floor | Specify other material of the floor,"String | 11 - earth or sand, 12 - earth and dung, 31 - parquet or polished wood, 33 - mosaic or tiles, 34 - bricks, 35 - cement/concrete, 36 - stones, 96 - other, -9: Skipped",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::othermmf,othermmf,household level data 25m survey_final,Other floor material,Specify other material of the floor,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000003,household level data 25m survey_final::mmroof,mmroof,household level data 25m survey_final,Roof material,Primary material of the roof.,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,Main material of the roof | Specify other material of the roof,"String | 11 - thatched (including papyrus), 12 - mud, 21 - wood/planks, 22 - iron sheets, 23 - asbestos, 24 - tiles, 25 - tin, 26 - cement, 96 - other, -9: Skipped",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::othermmr,othermmr,household level data 25m survey_final,Other roof material,Specify other material of the roof,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000009,household level data 25m survey_final::mmewalls,mmewalls,household level data 25m survey_final,Wall material,Main material of the extentior walls,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000009,household level data 25m survey_final::othermme,othermme,household level data 25m survey_final,Wall material,Primary material of exterior walls.,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,Specify other material of the exterior walls | Main material of exterior walls,"11 - thatched/straw, 21 - mud and poles, 22 - un-burnt bricks, 23 - un-burnt bricks with plaster/cement, 24 - burnt bricks with mud, 31 - cement blocks, 32 - stone, 33 - timber, 34 - burnt bricks with plaster/cement, 35 - iron sheets, 96 - other, -9: Skipped | String",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000825,household level data 25m survey_final::eaves,eaves,household level data 25m survey_final,Eaves,Type of eaves that the dwelling had.,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,Does the household have eaves? (STATA label = 'type of eaves'),"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025050,household level data 25m survey_final::windows,windows,household level data 25m survey_final,Windows,Whether the dwelling has windows.,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,Does the household have windows?,"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020212,household level data 25m survey_final::covered,covered,household level data 25m survey_final,Windows covered,"Whether any of the windows were covered with glass, screens, or other material. Only assessed for dwellings that had windows.",Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,"Are any of the windows covered?
Glass, screening, other material, etc.","1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000025,household level data 25m survey_final::hhrooms,hhrooms,household level data 25m survey_final,Sleeping rooms in dwelling count,"Number of rooms in the household that were used for sleeping, including rooms that are outside of the main dwelling.",Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,"How many rooms in your household  are used for sleeping? (INCLUDING ROOMS OUTSIDE THE MAIN DWELLING). If there are 15 or more rooms, enter 15","1-15, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000201,household level data 25m survey_final::hhspaces,hhspaces,household level data 25m survey_final,Sleeping places count,"Number of sleeping places (mats, mattresses or beds) that were available in the household. Households that had more than 25 sleeping places available had the sleeping places count recorded as 25.",Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,"How many sleeping spaces like mats, mattresses,  or beds are available in your household? If there are 25 or more sleeping places, enter 25","1-25, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021084,household level data 25m survey_final::electricity,electricity,household level data 25m survey_final,Electricity,Whether the household had electricity.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Electricity?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000577,household level data 25m survey_final::radio,radio,household level data 25m survey_final,Radio,Whether the household had a radio.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Radio,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000578,household level data 25m survey_final::cassette,cassette,household level data 25m survey_final,Cassette player,Whether the household had a cassette player.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Cassette player?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000579,household level data 25m survey_final::tv,tv,household level data 25m survey_final,Television,Whether the household had a television.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Television,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000583,household level data 25m survey_final::fridge,fridge,household level data 25m survey_final,Refrigerator,Whether the household had a refrigerator.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Refrigerator,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000584,household level data 25m survey_final::tble,tble,household level data 25m survey_final,Table,Whether the household had a table.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Table,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000586,household level data 25m survey_final::chair,chair,household level data 25m survey_final,Chair,Whether the household had chairs.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Chairs?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000588,household level data 25m survey_final::sofa,sofa,household level data 25m survey_final,Sofa,Whether the household had a sofa set.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Sofa set,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000501,household level data 25m survey_final::bed,bed,household level data 25m survey_final,Bed,Whether the household had a bed.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Bed?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000595,household level data 25m survey_final::cupboard,cupboard,household level data 25m survey_final,Cupboard,Whether the household had a cupboard.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Cupboard?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000596,household level data 25m survey_final::clock,clock,household level data 25m survey_final,Clock,Whether the household had a clock.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Clock?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000581,household level data 25m survey_final::mobile,mobile,household level data 25m survey_final,Mobile phone,Whether any member of the household owned or had access to a mobile phone.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Does any member of your household own or have‚ a mobile phone?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000186,household level data 25m survey_final::watch,watch,household level data 25m survey_final,Watch,Whether any member of the household owned or had access to a watch.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Watch,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000614,household level data 25m survey_final::bicycle,bicycle,household level data 25m survey_final,Bicycle,Whether any member of the household owned or had access to a bicycle.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,A bicycle?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000615,household level data 25m survey_final::scooter,scooter,household level data 25m survey_final,Motorcycle or scooter,Whether any member of the household owned or had access to a motorcycle or motor-scooter.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,A motorcycle or motor scooter?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000171,household level data 25m survey_final::car,car,household level data 25m survey_final,Car or truck,Whether any member of the household owned or had access to a car or truck.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,A car or truck?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000179,household level data 25m survey_final::mboat,mboat,household level data 25m survey_final,Boat with a motor,Whether any member of the household owned or had access to a boat with a motor.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,A boat with a motor?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000170,household level data 25m survey_final::nomboat,nomboat,household level data 25m survey_final,Boat without a motor,Whether any member of the household owned or had access to a boat without a motor.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,A boat without a  motor?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000167,household level data 25m survey_final::bankacco,bankacco,household level data 25m survey_final,Bank account,Whether any member of the household owned or had access to a bank account.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,A bank account?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020205,household level data 25m survey_final::internet,internet,household level data 25m survey_final,Internet device,Whether any member of the household owned or had access to a device to access the internet.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,A device that can be used to access the internet?,"1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044140,household level data 25m survey_final::device,device,household level data 25m survey_final,Internet device type,The type of device that the household uses to access the internet.,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,variable,"If yes, what type of device?","1: Smartphone, 2: Tablet, 3: Laptop computer, 4: Desktop computer, -7: Don't know",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044109,household level data 25m survey_final::smartphone,smartphone,household level data 25m survey_final,Smartphone,Whether any member of the household owned or had access to a smartphone. Households that did not have an 'Internet device' were not asked this question.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Smartphone,"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044110,household level data 25m survey_final::tablet,tablet,household level data 25m survey_final,Tablet computer,Whether any member of the household owned or had access to a tablet computer. Households that did not have an 'Internet device' were not asked this question.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Tablet,"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044108,household level data 25m survey_final::laptop,laptop,household level data 25m survey_final,Laptop computer,Whether any member of the household owned or had access to a laptop computer. Households that did not have an 'Internet device' were not asked this question.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Laptop,"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044107,household level data 25m survey_final::desktop,desktop,household level data 25m survey_final,Desktop computer,Whether any member of the household owned or had access to a desktop computer. Households that did not have an 'Internet device' were not asked this question.,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Desktop?,"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000026,household level data 25m survey_final::numaland,numaland,household level data 25m survey_final,Acres,"Number of acres of agricultural land owned by members of this household. Households where members owned more than 10,000 acres were recorded as owning 10,000 acres.",Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,variable,"How many acres of agricultural land do members of this household own? IF NONE, ENTER '0', IF 10,000 OR MORE, ENTER 10,000","0-10,000, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020221,household level data 25m survey_final::numalandcat,numalandcat,household level data 25m survey_final,Acres categorization,Categorization of the number of acres of agricultural land owned by members of this household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,variable,Acres of land owned categories,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020215,household level data 25m survey_final::dmarkt,dmarkt,household level data 25m survey_final,Market distance,"Distance to the nearest market, in kilometers.",Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,How far is it to the nearest market place?,"0-100, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000027,household level data 25m survey_final::hhmeals,hhmeals,household level data 25m survey_final,Meals per day,Number of meals the household usually ate per day.,Household,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,variable,"Now I would like to ask you about the food your household eats.
How many meals does your household usually have per day?","1-8, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020237,household level data 25m survey_final::hhmealscat,hhmealscat,household level data 25m survey_final,Meals per day categorization,Categorization of the number of meals the household usually ate per day.,Household,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,variable,Number of meals per day,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000028,household level data 25m survey_final::hhnumt,hhnumt,household level data 25m survey_final,Meat meals per week,Number of days during the past week when the household ate meat.,Household,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,variable,"In the past week, on how many days did the household eat meat?","0-7, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020238,household level data 25m survey_final::hhnumtcat,hhnumtcat,household level data 25m survey_final,Meat meals per week categorization,Categorization of the number of days during the past week when the household ate meat.,Household,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,variable,Number of days eating meat in the past week,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000029,household level data 25m survey_final::hhpsf,hhpsf,household level data 25m survey_final,Food problems per week,Number of times during the previous week where there were problems in satisfying the food needs of the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,variable,How often in the last year did you have problems in  satisfying the  food needs of the household?,"1 - never, 2 - seldom, 3 - sometimes, 4 - often, 5 - always, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020213,household level data 25m survey_final::dhfcty,dhfcty,household level data 25m survey_final,Health facility distance,"Distance to the nearest health facility, in kilometers. Distances less than 1km were recorded as 0km. Distances greater than 100km were recorded as 100km.",Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,"How far is it to the nearest health facility? If less than 1 km, enter 0. If more than 100 km, enter 100","0-100, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020214,household level data 25m survey_final::dhfctycat,dhfctycat,household level data 25m survey_final,Health facility distance categorization,Categorization of the distance (in kilometers) to the nearest health facility.,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Distance to nearest health facility categories,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020217,household level data 25m survey_final::mthfcty,mthfcty,household level data 25m survey_final,Transit to health facility,Method of transit used to reach the nearest health facility.,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,"Specify other means of transport to the health facility | If you were to go this facility,how would you most likely go there?","String | 1 - car/motorcycle, 2 - public transport(bus,taxi), 3 - animal/animal cart, 4 - walking, 5 - bicycle, 7 - boat, 96 - other, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::othermth,othermth,household level data 25m survey_final,Other method to transit to health facility,Specify other means of transport to the health facility,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020224,household level data 25m survey_final::pspray,pspray,household level data 25m survey_final,Asked permission for IRS in last 12 months,Whether anyone asked the household to grant permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes during the previous 12 months.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,"At any time in the past 12 months, has anyone asked permission to come into your dwelling to spray the interior walls against mosquitoes?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000441,household level data 25m survey_final::gpspray,gpspray,household level data 25m survey_final,Sprayed in the last 12 months,Whether permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes was granted at any time in the past 12 months. Only assessed for households that were 'Asked permission for IRS in the last 12 months'.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,Did you grant them permission to spray the interior walls of your dwelling?,"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044134,household level data 25m survey_final::rgspray,rgspray,household level data 25m survey_final,Reason refused IRS,Main reason the household did not grant permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes. Only assessed for households that were not 'Sprayed in the last 12 months'.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,What was the primary reason that you did not grant permission to spray the interior walls of your dwelling against mosquitoes? DO NOT PROMPT. | Specify other reasons for not granting permission to spray the interior walls of your dwelling against mosquitoes,"1 - had a sick person/baby, 2 - spraying not effective against mosquitoes, 3 - spraying chemicals are harmful, 4 - someone in the house was pregnant, 96 - other, -7: Don't know, -8: Refused to answer | String",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::otherrgs,otherrgs,household level data 25m survey_final,Other reason refuesed IRS,,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044131,household level data 25m survey_final::tspray,tspray,household level data 25m survey_final,Months since last IRS,Number of months since indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes last occurred. Only assessed for households that were 'Sprayed in the last 12 months'.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,"How many months ago was the dwelling last sprayed? If less than 1 month, enter 0","0-12, -8: Refused to answer",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020250,household level data 25m survey_final::spraycat,spraycat,household level data 25m survey_final,Sprayed in the last 12 months categorization,Categorization of when indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes occurred in the past 12 months. Only assessed for households that were 'Sprayed in the last 12 months'.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,IRS in the prior 12 months,,,,,,llineup25_survey,,,,,,,,,
