colOrder,variable_dataFile,variable,uniqueVar,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,type,example,dateTime,values,uniqueValueCount,percentMissing,timeVarying
9,STATUS,status,hucs_kenya::status,hucs_kenya,,,Interview status,"1=Conducted, 2=Not conducted",int,1,,1 to 2,2,0,
10,REASON,reason,hucs_kenya::reason,hucs_kenya,,,"Interview not conducted, reason","1=""Primary caretaker not available"", 2=""Refused"", 3=""Moved away"", 4=""Child died more than 7 days ago (including today)"", 5=""Cannot locate child"", 9=""Other""",chr,3,,"., 1, 2, 3, 4, 5, 9",7,0.832520803,
10,VISIT_DATE,visit_date,hucs_gambia_mali::visit_date,hucs_gambia_mali,,,NA,NA,chr,6/23/15,date,>10 unique values,958,0,
11,PRIMCARE,primcare,hucs_gambia_mali::primcare,hucs_gambia_mali,,,Primary caretaker child,"0=No, 1=Yes",int,1,,0 to 1,2,0,
11,RSN_SPECIFY,rsn_specify,hucs_kenya::rsn_specify,hucs_kenya,,,NA,NA,chr,NEIGHBOUR,,>10 unique values,134,0.997768601,
12,CONSENT,consent,hucs_gambia_mali::consent,hucs_gambia_mali,discard,,Parent verbal consent,"0=No, 1=Yes",int,1,,0 to 1,2,0,
12,RELATIONSHIP,relationship,hucs_kenya::relationship,hucs_kenya,,,Relationship with child,"1=""Mother"", 2=""Father"", 3=""Sister"", 5=Grandmother"", 6=""Grandfather"", 7=""Aunt"", 8=""Uncle"", 9=""No relation""",chr,1,,>10 unique values,11,0.167479197,
13,RELATION_SP,relation_sp,hucs_kenya::relation_sp,hucs_kenya,,,NA,NA,chr,STEP MOTHER,,>10 unique values,64,0.995734921,
13,STATUS,status,hucs_gambia_mali::status,hucs_gambia_mali,,,Interview status,"1=Conducted, 2=Not conducted",int,1,,1 to 2,2,0,
14,PRIM_SCHL,prim_schl,hucs_kenya::prim_schl,hucs_kenya,,,Primary caretaker education,"1=""No formal schooling"", 2=""Less than primary"", 3=""Completed secondary"", 4=""Post-secondary"", 5=""Completed primary"", 6=""Religious education only"", 7=""Don't know""",chr,5,,"., 1, 2, 3, 4, 5, 6",7,0.167479197,
14,REASON,reason,hucs_gambia_mali::reason,hucs_gambia_mali,,,"Interview not conducted, reason","1=""Primary caretaker not available"", 2=""Refused"", 3=""Moved away"", 4=""Child died more than 7 days ago (including today)"", 5=""Cannot locate child"", 9=""Other""",chr,4,,"., 1, 2, 3, 4, 5, 9",7,0.8631144,
15,PPL_HOUSE,ppl_house,hucs_kenya::ppl_house,hucs_kenya,,,NA,NA,chr,4,,>10 unique values,20,0.167484846,
15,RSN_SPECIFY,rsn_specify,hucs_gambia_mali::rsn_specify,hucs_gambia_mali,,,NA,NA,chr,MIGRATED TO MALI. THE ORIGIN,,>10 unique values,132,0.944698025,
16,NATFL,natfl,hucs_kenya::natfl,hucs_kenya,,,Predominant floor natural,"1=""Earth/Sand"", 2=""Dung""",chr,1,,"., 1, 2",3,0.416316893,
16,RELATIONSHIP,relationship,hucs_gambia_mali::relationship,hucs_gambia_mali,,,Relationship with child,"1=""Mother"", 2=""Father"", 3=""Sister"", 5=Grandmother"", 6=""Grandfather"", 7=""Aunt"", 8=""Uncle"", 9=""No relation""",chr,1,,"., 1, 10, 2, 3, 5, 6, 7, 8, 9",10,0.1368856,
17,RELATION_SP,relation_sp,hucs_gambia_mali::relation_sp,hucs_gambia_mali,,,NA,NA,chr,CO WIFE,,", CO WIFE, CO-WIFE DAUGHTER., COUSIN SISTER, GADMOTHER, NAMESAKE, STEP MOTHER, STEPMOTHER",7,0.999327343,
17,RUDFL,rudfl,hucs_kenya::rudfl,hucs_kenya,,,Predominant floor rudimentary,NA,chr,1,,"., 1, 2",3,0.999966105,
18,FINFL,finfl,hucs_kenya::finfl,hucs_kenya,,,Predominant floor finished,"2=""Vinyl or asphalt strips"", 3=""Ceramic tile"", 4=""Cement"", 5=""Carpet""",chr,4,,"., 1, 2, 3, 4, 5",6,0.754805981,
18,PRIM_SCHL,prim_schl,hucs_gambia_mali::prim_schl,hucs_gambia_mali,,,Primary caretaker education,"1=""No formal schooling"", 2=""Less than primary"", 3=""Completed secondary"", 4=""Post-secondary"", 5=""Completed primary"", 6=""Religious education only"", 7=""Don't know""",chr,1,,"., 1, 2, 3, 4, 5, 6, 7",8,0.1368856,
19,FLOOR_SPEC,floor_spec,hucs_kenya::floor_spec,hucs_kenya,,,NA,NA,chr,DUNG AND CEMENT,,>10 unique values,18,0.999796632,
19,PPL_HOUSE,ppl_house,hucs_gambia_mali::ppl_house,hucs_gambia_mali,,,NA,NA,chr,20,,>10 unique values,153,0.1368856,
20,HOUSE_ELEC,house_elec,hucs_kenya::house_elec,hucs_kenya,,,Do you have electricity,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.167072461,
20,NATFL,natfl,hucs_gambia_mali::natfl,hucs_gambia_mali,,,Predominant floor natural,"1=""Earth/Sand"", 2=""Dung""",chr,2,,"., 1, 2",3,0.911305434,
21,HOUSE_BIKE,house_bike,hucs_kenya::house_bike,hucs_kenya,,,Do you have a bicycle,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.167072461,
21,RUDFL,rudfl,hucs_gambia_mali::rudfl,hucs_gambia_mali,,,Predominant floor rudimentary,NA,chr,NA,,.,1,1,
22,FINFL,finfl,hucs_gambia_mali::finfl,hucs_gambia_mali,,,Predominant floor finished,"2=""Vinyl or asphalt strips"", 3=""Ceramic tile"", 4=""Cement"", 5=""Carpet""",chr,4,,"., 2, 3, 4, 5",5,0.225484072,
22,HOUSE_PHONE,house_phone,hucs_kenya::house_phone,hucs_kenya,,,Do you have a telephone,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.167072461,
23,HOUSE_TELE,house_tele,hucs_kenya::house_tele,hucs_kenya,,,Do you have a television,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.167072461,
23,OTHFL,othfl,hucs_gambia_mali::othfl,hucs_gambia_mali,,,"House floor, other","1=""Selected""",chr,1,,"., 1",2,0.999951953,
24,FLOOR_SPEC,floor_spec,hucs_gambia_mali::floor_spec,hucs_gambia_mali,,,NA,NA,chr,MAT,,", MAT",1,0.999951953,
24,HOUSE_CAR,house_car,hucs_kenya::house_car,hucs_kenya,,,Do you have a car,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.167072461,
25,HOUSE_CART,house_cart,hucs_kenya::house_cart,hucs_kenya,,,Do you have an animal-drawn cart,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0",2,0.167072461,
25,HOUSE_ELEC,house_elec,hucs_gambia_mali::house_elec,hucs_gambia_mali,,,Do you have electricity,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.1368856,
26,HOUSE_BIKE,house_bike,hucs_gambia_mali::house_bike,hucs_gambia_mali,,,Do you have a bicycle,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.1368856,
26,HOUSE_SCOOT,house_scoot,hucs_kenya::house_scoot,hucs_kenya,,,Do you have a motorcycle,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.167072461,
27,HOUSE_FRIDGE,house_fridge,hucs_kenya::house_fridge,hucs_kenya,,,Do you have a refrigerator,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.167072461,
27,HOUSE_PHONE,house_phone,hucs_gambia_mali::house_phone,hucs_gambia_mali,,,Do you have a telephone,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.1368856,
28,HOUSE_AGLAND,house_agland,hucs_kenya::house_agland,hucs_kenya,,,Agricultural land,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0",2,0.167072461,
28,HOUSE_TELE,house_tele,hucs_gambia_mali::house_tele,hucs_gambia_mali,,,Do you have a television,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.1368856,
29,HOUSE_CAR,house_car,hucs_gambia_mali::house_car,hucs_gambia_mali,,,Do you have a car,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.1368856,
29,HOUSE_RADIO,house_radio,hucs_kenya::house_radio,hucs_kenya,,,Do you have a radio,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.167072461,
30,HOUSE_BOAT,house_boat,hucs_kenya::house_boat,hucs_kenya,,,Do you have a boat,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.167072461,
30,HOUSE_CART,house_cart,hucs_gambia_mali::house_cart,hucs_gambia_mali,,,Do you have an animal-drawn cart,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.1368856,
31,HOUSE_NONE,house_none,hucs_kenya::house_none,hucs_kenya,,,None of the above,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.167072461,
31,HOUSE_SCOOT,house_scoot,hucs_gambia_mali::house_scoot,hucs_gambia_mali,,,Do you have a motorcycle,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.1368856,
32,DRINK_BREASTMILK,drink_breastmilk,hucs_kenya::drink_breastmilk,hucs_kenya,,,Diet breast milk,"0=""No"", 1= ""Yes""",chr,1,,"., 0, 1, 9",4,0.1671459,
32,HOUSE_FRIDGE,house_fridge,hucs_gambia_mali::house_fridge,hucs_gambia_mali,,,Do you have a refrigerator,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.1368856,
33,DRINK_WATER,drink_water,hucs_kenya::drink_water,hucs_kenya,,,Diet drinking water,"0=""No"", 1= ""Yes""",chr,0,,"., 0, 1, 9",4,0.167224987,
33,HOUSE_AGLAND,house_agland,hucs_gambia_mali::house_agland,hucs_gambia_mali,,,Agricultural land,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.1368856,
34,HOUSE_RADIO,house_radio,hucs_gambia_mali::house_radio,hucs_gambia_mali,,,Do you have a radio,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.1368856,
34,OTHER_FOODDRINK,other_fooddrink,hucs_kenya::other_fooddrink,hucs_kenya,,,Other foods or drinks,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.167253233,
35,DIARRHEA,diarrhea,hucs_kenya::diarrhea,hucs_kenya,,,Child had diarrhea,"0=""Diarrhea"", 1=""No diarrhea""",chr,0,,"., 0, 1",3,0.167304075,
35,HOUSE_BOAT,house_boat,hucs_gambia_mali::house_boat,hucs_gambia_mali,,,Do you have a boat,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.1368856,
36,DRH_DAYS,drh_days,hucs_kenya::drh_days,hucs_kenya,,,NA,NA,chr,6,,>10 unique values,15,0.973669493,
36,HOUSE_NONE,house_none,hucs_gambia_mali::house_none,hucs_gambia_mali,,,None of the above,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.1368856,
37,DRH_DAYS_LAST,drh_days_last,hucs_kenya::drh_days_last,hucs_kenya,,,NA,NA,chr,5,,>10 unique values,16,0.973341845,
37,DRINK_BREASTMILK,drink_breastmilk,hucs_gambia_mali::drink_breastmilk,hucs_gambia_mali,,,Diet breast milk,"0=""No"", 1= ""Yes""",chr,1,,"., 0, 1",3,0.1368856,
38,DRINK_WATER,drink_water,hucs_gambia_mali::drink_water,hucs_gambia_mali,,,Diet drinking water,"0=""No"", 1= ""Yes""",chr,0,,"., 0, 1",3,0.1368856,
38,MAX_STOOLS,max_stools,hucs_kenya::max_stools,hucs_kenya,,,Loose stools in one day,"1=""3"", 2=""4 to 5"", 3=""6 to 10"", 4=""More than 10 times per day""",chr,1,,"., 1, 2, 3, 4",5,0.973347494,
39,DRH_FEVER,drh_fever,hucs_kenya::drh_fever,hucs_kenya,,,Symptom fever,"0=""No"", 1= ""Yes""",chr,1,,"., 0, 1",3,0.973347494,
39,OTHER_FOODDRINK,other_fooddrink,hucs_gambia_mali::other_fooddrink,hucs_gambia_mali,,,Other foods or drinks,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.1368856,
40,DIARRHEA,diarrhea,hucs_gambia_mali::diarrhea,hucs_gambia_mali,,,Child had diarrhea,"0=""Diarrhea"", 1=""No diarrhea""",chr,0,,"., 0, 1",3,0.1368856,
40,DRH_BLOOD,drh_blood,hucs_kenya::drh_blood,hucs_kenya,,,Symptom blood in stool,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.973347494,
41,DRH_DAYS,drh_days,hucs_gambia_mali::drh_days,hucs_gambia_mali,,,NA,NA,chr,5,,>10 unique values,22,0.913707779,
41,DRH_IRRITABLE,drh_irritable,hucs_kenya::drh_irritable,hucs_kenya,,,Symptom irritation,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.973347494,
42,DRH_DAYS_LAST,drh_days_last,hucs_gambia_mali::drh_days_last,hucs_gambia_mali,,,NA,NA,chr,3,,>10 unique values,19,0.913707779,
42,DRH_THIRSTY,drh_thirsty,hucs_kenya::drh_thirsty,hucs_kenya,,,Symptom thirst,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.973353143,
43,DRH_DRINK,drh_drink,hucs_kenya::drh_drink,hucs_kenya,,,Symptom drank poor,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.973358792,
43,MAX_STOOLS,max_stools,hucs_gambia_mali::max_stools,hucs_gambia_mali,,,Loose stools in one day,"1=""3"", 2=""4 to 5"", 3=""6 to 10"", 4=""More than 10 times per day""",chr,2,,"., 1, 2, 3, 4",5,0.913707779,
44,DRH_FEVER,drh_fever,hucs_gambia_mali::drh_fever,hucs_gambia_mali,,,Symptom fever,"0=""No"", 1= ""Yes""",chr,1,,"., 0, 1",3,0.913707779,
44,DRH_RICE,drh_rice,hucs_kenya::drh_rice,hucs_kenya,,,Symptom watery stool,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.973358792,
45,DRH_BLOOD,drh_blood,hucs_gambia_mali::drh_blood,hucs_gambia_mali,,,Symptom blood in stool,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.913707779,
45,DRH_LETHRGY,drh_lethrgy,hucs_kenya::drh_lethrgy,hucs_kenya,,,Symptom lethargic,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.973358792,
46,DRH_IRRITABLE,drh_irritable,hucs_gambia_mali::drh_irritable,hucs_gambia_mali,,,Symptom irritation,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.913707779,
46,DRH_SUNKEYES,drh_sunkeyes,hucs_kenya::drh_sunkeyes,hucs_kenya,,,Symptom sunken eyes,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.973358792,
47,DRH_THIRSTY,drh_thirsty,hucs_gambia_mali::drh_thirsty,hucs_gambia_mali,,,Symptom thirst,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.913707779,
47,DRH_WRKSK,drh_wrksk,hucs_kenya::drh_wrksk,hucs_kenya,,,Symptom wrinkled skin,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.973358792,
48,DRH_DRINK,drh_drink,hucs_gambia_mali::drh_drink,hucs_gambia_mali,,,Symptom drank poor,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.913707779,
48,VOMIT,vomit,hucs_kenya::vomit,hucs_kenya,,,Did the child vomit,"0=""No"", 1= ""Yes""",chr,0,,"., 0, 1",3,0.973358792,
49,DRH_RICE,drh_rice,hucs_gambia_mali::drh_rice,hucs_gambia_mali,,,Symptom watery stool,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.913707779,
49,VOMIT_TIMES,vomit_times,hucs_kenya::vomit_times,hucs_kenya,,,Times vomited in a day,"1=""1"", 2=""2-4"", 3=""5 or more""",chr,1,,"., 1, 2, 3",4,0.991837034,
50,DRH_LETHRGY,drh_lethrgy,hucs_gambia_mali::drh_lethrgy,hucs_gambia_mali,,,Symptom lethargic,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.913707779,
50,VOMIT_DAYS,vomit_days,hucs_kenya::vomit_days,hucs_kenya,,,NA,NA,chr,1,,>10 unique values,13,0.992226823,
51,DRH_SUNKEYES,drh_sunkeyes,hucs_gambia_mali::drh_sunkeyes,hucs_gambia_mali,,,Symptom sunken eyes,"0=""No"", 1= ""Yes"", 9=""DK""",chr,1,,"., 0, 1, 9",4,0.913707779,
51,OUTCOME,outcome,hucs_kenya::outcome,hucs_kenya,,,Diarrheal illness outcome,"1=""Resolved"", 2=""Improved"", 3=""Continuing"", 4=""Worsening""",chr,2,,"., 1, 2, 3, 4, 5",6,0.973358792,
52,DRH_WRKSK,drh_wrksk,hucs_gambia_mali::drh_wrksk,hucs_gambia_mali,,,Symptom wrinkled skin,"0=""No"", 1= ""Yes"", 9=""DK""",chr,0,,"., 0, 1, 9",4,0.913707779,
52,OFFR_DRINK,offr_drink,hucs_kenya::offr_drink,hucs_kenya,,,Offered drink during diarrhea,"1=""More than usual, 2=""Usual"", 3=""Somewhat less than usual"", 4=""Much less than usual"", 5=""Nothing to drink""",chr,3,,"., 1, 2, 3, 5",5,0.973358792,
53,OFFR_EAT,offr_eat,hucs_kenya::offr_eat,hucs_kenya,,,Offered food during diarrhea,"1=""More than usual, 2=""Usual"", 3=""Less than usual"", 4=""Nothing to eat""",chr,3,,"., 1, 2, 3, 4",5,0.973358792,
53,VOMIT,vomit,hucs_gambia_mali::vomit,hucs_gambia_mali,,,Did the child vomit,"0=""No"", 1= ""Yes""",chr,1,,"., 0, 1",3,0.913707779,
54,SEEKCARE,seekcare,hucs_kenya::seekcare,hucs_kenya,,,Sought care outside home,"0=""No"", 1= ""Yes""",chr,0,,"., 0, 1",3,0.973358792,
54,VOMIT_TIMES,vomit_times,hucs_gambia_mali::vomit_times,hucs_gambia_mali,,,Times vomited in a day,"1=""1"", 2=""2-4"", 3=""5 or more""",chr,2,,"., 1, 2, 3",4,0.976505069,
55,SEEK_FRIEND,seek_friend,hucs_kenya::seek_friend,hucs_kenya,,,Sought care from friend,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
55,VOMIT_DAYS,vomit_days,hucs_gambia_mali::vomit_days,hucs_gambia_mali,,,NA,NA,chr,2,,"., 1, 10, 2, 3, 4, 5, 6, 7",9,0.976505069,
56,OUTCOME,outcome,hucs_gambia_mali::outcome,hucs_gambia_mali,,,Diarrheal illness outcome,"1=""Resolved"", 2=""Improved"", 3=""Continuing"", 4=""Worsening""",chr,3,,"., 1, 2, 3, 4",5,0.913707779,
56,SEEK_HEALER,seek_healer,hucs_kenya::seek_healer,hucs_kenya,,,Sought care traditional healer,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
57,OFFR_DRINK,offr_drink,hucs_gambia_mali::offr_drink,hucs_gambia_mali,,,Offered drink during diarrhea,"1=""More than usual, 2=""Usual"", 3=""Somewhat less than usual"", 4=""Much less than usual"", 5=""Nothing to drink""",chr,1,,"., 1, 2, 3, 4, 5",6,0.913707779,
57,SEEK_CTR1,seek_ctr1,hucs_kenya::seek_ctr1,hucs_kenya,,,Center of 1st choice,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
58,OFFR_EAT,offr_eat,hucs_gambia_mali::offr_eat,hucs_gambia_mali,,,Offered food during diarrhea,"1=""More than usual, 2=""Usual"", 3=""Less than usual"", 4=""Nothing to eat""",chr,3,,"., 1, 2, 3, 4",5,0.913707779,
58,SEEK_CTR1_CODE,seek_ctr1_code,hucs_kenya::seek_ctr1_code,hucs_kenya,,,NA,NA,chr,304,,>10 unique values,38,0.993814223,
59,SEEK_CTR2,seek_ctr2,hucs_kenya::seek_ctr2,hucs_kenya,,,Center of 2nd choice,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
59,SEEKCARE,seekcare,hucs_gambia_mali::seekcare,hucs_gambia_mali,,,Sought care outside home,"0=""No"", 1= ""Yes""",chr,1,,"., 0, 1",3,0.913707779,
60,SEEK_CTR2_CODE,seek_ctr2_code,hucs_kenya::seek_ctr2_code,hucs_kenya,,,NA,NA,chr,335,,"., 301, 305, 306, 307, 331, 335, 339, 355, 360",10,0.999915263,
60,SEEK_FRIEND,seek_friend,hucs_gambia_mali::seek_friend,hucs_gambia_mali,,,Sought care from friend,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
61,SEEK_CTR3,seek_ctr3,hucs_kenya::seek_ctr3,hucs_kenya,,,Center of 3rd choice,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
61,SEEK_HEALER,seek_healer,hucs_gambia_mali::seek_healer,hucs_gambia_mali,,,Sought care traditional healer,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
62,SEEK_CTR1,seek_ctr1,hucs_gambia_mali::seek_ctr1,hucs_gambia_mali,,,Center of 1st choice,"0=""Not selected"", 1=""Selected""",chr,1,,"., 0, 1",3,0.951328497,
62,SEEK_CTR3_CODE,seek_ctr3_code,hucs_kenya::seek_ctr3_code,hucs_kenya,,,NA,NA,chr,NA,,.,1,1,
63,SEEK_CTR1_CODE,seek_ctr1_code,hucs_gambia_mali::seek_ctr1_code,hucs_gambia_mali,,,NA,NA,chr,109,,>10 unique values,24,0.982751165,
63,SEEK_REMEDY,seek_remedy,hucs_kenya::seek_remedy,hucs_kenya,,,Remedy medicine from shop,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
64,SEEK_CTR2,seek_ctr2,hucs_gambia_mali::seek_ctr2,hucs_gambia_mali,,,Center of 2nd choice,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
64,SEEK_PHARMACY,seek_pharmacy,hucs_kenya::seek_pharmacy,hucs_kenya,,,Sought care from pharmacy,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
65,SEEK_CTR2_CODE,seek_ctr2_code,hucs_gambia_mali::seek_ctr2_code,hucs_gambia_mali,,,NA,NA,chr,109,,>10 unique values,11,0.999039062,
65,SEEK_DOCTOR,seek_doctor,hucs_kenya::seek_doctor,hucs_kenya,,,Sought care from primary doctor,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
66,SEEK_CTR3,seek_ctr3,hucs_gambia_mali::seek_ctr3,hucs_gambia_mali,,,Center of 3rd choice,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0",2,0.951328497,
66,SEEK_UNLICDOC,seek_unlicdoc,hucs_kenya::seek_unlicdoc,hucs_kenya,,,Sought care from unlicensed practitioner,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
67,SEEK_CTR3_CODE,seek_ctr3_code,hucs_gambia_mali::seek_ctr3_code,hucs_gambia_mali,,,NA,NA,chr,NA,,.,1,1,
67,SEEK_OTHER,seek_other,hucs_kenya::seek_other,hucs_kenya,,,Sought care from other hospital,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.973358792,
68,SEEK_OTHER_SPEC,seek_other_spec,hucs_kenya::seek_other_spec,hucs_kenya,,,NA,NA,chr,ASEMBO BAY,,>10 unique values,193,0.997480496,
68,SEEK_REMEDY,seek_remedy,hucs_gambia_mali::seek_remedy,hucs_gambia_mali,,,Remedy medicine from shop,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
69,DAYSEEK,dayseek,hucs_kenya::dayseek,hucs_kenya,,,NA,NA,chr,2,,>10 unique values,16,0.995695377,
69,SEEK_WVEND,seek_wvend,hucs_gambia_mali::seek_wvend,hucs_gambia_mali,,,Walking vendor medications,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
70,HOSP_ADVISE,hosp_advise,hucs_kenya::hosp_advise,hucs_kenya,,,Hospitalization advised,"0=""No"", 1= ""Yes""",chr,0,,"., 0, 1",3,0.993752083,
70,SEEK_TVEND,seek_tvend,hucs_gambia_mali::seek_tvend,hucs_gambia_mali,,,Traditional vendor medications,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
71,ADMIT,admit,hucs_kenya::admit,hucs_kenya,,,Admitted to facility for treatment,"0=""No"", 1= ""Yes""",chr,0,,"., 0, 1",3,0.984476243,
71,SEEK_PHARMACY,seek_pharmacy,hucs_gambia_mali::seek_pharmacy,hucs_gambia_mali,,,Sought care from pharmacy,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
72,ADMIT_CTR,admit_ctr,hucs_kenya::admit_ctr,hucs_kenya,,,NA,NA,chr,303,,>10 unique values,14,0.99980793,
72,SEEK_DOCTOR,seek_doctor,hucs_gambia_mali::seek_doctor,hucs_gambia_mali,,,Sought care from primary doctor,"0=""Not selected"", 1=""Selected""",chr,0,,"., 0, 1",3,0.951328497,
