Header	Data Dictionary term	JZ comment	Unmapped terms
cen_repellent___6	repellent_chk		
cen_resident_status___1	resident_status_chk		
cen_resident_status___2			
cen_sex	sex		
cen_sprayed___1	sprayed_chk		
cen_sprayed___2	sprayed_chk		
cen_sprayed___3	sprayed_chk		
cen_sprayed___4	sprayed_chk		
cen_sprayed___5	sprayed_chk		
cen_street	street		
cen_taluk	taluk		
cen_type_of_dwelling	type_of_dwelling_rad		
cen_type_of_roof___1	type_of_roof_chk		
cen_type_of_roof___2	type_of_roof_chk		
cen_type_of_roof___3	type_of_roof_chk		
cen_type_of_roof___4	type_of_roof_chk		
cen_type_of_roof___5	type_of_roof_chk		
cen_typical_healthcare___1	typical_healthcare_chk		
cen_typical_healthcare___2	typical_healthcare_chk		
cen_village	village		
cen_water_supply___1	water_supply_chk		
cen_water_supply___2	water_supply_chk		
cen_water_supply___3	water_supply_chk		
cen_water_supply___4	water_supply_chk		
cen_water_supply___5	water_supply_chk		
cen_zone	zone		
clinic	clinic_rad		
crf_complete			
crf_completed_by			
date	date		
days	days		
deo_notes			
drugs_2wk_codes	drugs_2wk_codes		
drugs_2wk_comply_yn	drugs_2wk_comply_yn		
drugs_2wk_yn	drugs_2wk_yn		
education_rad	education_rad		
en_check_yn	en_check_yn		
existing_illness_list	existing_illness_list		
existing_illness_yn	existing_illness_yn		
fever_2wk_where_chk___1	fever_2wk_where_chk		
fever_2wk_where_chk___2	fever_2wk_where_chk		
fever_2wk_where_chk___3	fever_2wk_where_chk		
fever_2wk_where_chk___4	fever_2wk_where_chk		
fever_2wk_yn	fever_2wk_yn		
fever_48hr_numdays	fever_48hr_yn		
fever_48hr_yn	fever_48hr_numdays		
form_version			
gpd_rad	gpd_rad		
height	height		
hemocue	hemocue		
household_complete			
illnow_yn	illnow_yn		
manifestations_chk___1			
manifestations_chk___2			
manifestations_chk___3			
manifestations_chk___4			
manifestations_chk___5			
manifestations_chk___6			
manifestations_chk___7			
manifestations_yn			
mx_complete			
mx_completed_by			
mx_counts1	mx_counts1		
mx_counts2	mx_counts2		
mx_deo_notes			
mx_form_date			
mx_page_number			
mx_species_chk___1	mx_species_chk		
mx_species_chk___2	mx_species_chk		
mx_species_chk___3	mx_species_chk		
mx_species_chk___4	mx_species_chk		
mx_species_chk___5	mx_species_chk		
nationality	nationality		
occupant_complete			
occupation_rad	occupation_rad		
pastyear_dx_chk___1	pastyear_dx_chk		
pastyear_dx_chk___2	pastyear_dx_chk		
pastyear_dx_chk___3	pastyear_dx_chk		
pastyear_dx_chk___4	pastyear_dx_chk		
pastyear_num_dx	pastyear_num_dx		
pastyear_num_mo	pastyear_num_mo		
pastyear_treat_rad	pastyear_treat_rad		
pastyear_treatdate	pastyear_treatdate		
pastyear_treatdrugs_chk___1	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___10	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___11	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___2	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___3	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___4	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___5	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___6	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___7	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___8	pastyear_treatdrugs_chk		
pastyear_treatdrugs_chk___9	pastyear_treatdrugs_chk		
pastyear_treatwhere_chk___1	pastyear_treatwhere_chk		
pastyear_treatwhere_chk___2	pastyear_treatwhere_chk		
pastyear_treatwhere_chk___3	pastyear_treatwhere_chk		
pastyear_treatwhere_chk___4	pastyear_treatwhere_chk		
pcr_complete			
pcr_deo_notes			
pcr_dna_source_rad	pcr_dna_source_rad		
pcr_filled_by			
pcr_form_date			
pcr_species_chk___1	pcr_species_chk		
pcr_species_chk___2	pcr_species_chk		
pcr_species_chk___3	pcr_species_chk		
pcr_species_chk___4	pcr_species_chk		
pcr_species_chk___5	pcr_species_chk		
pes_yn			
phc	phc		
prelim_dx_rad			
rdt_fv_chk___1	rdt_fv_chk		
rdt_fv_chk___2			
rdt_fv_chk___3			
rdt_fv_chk___4			
redcap_event_name			
repellent_chk___1			
repellent_chk___2			
repellent_chk___3			
repellent_chk___4			
repellent_chk___5			
repellent_chk___6			
repellent_chk___7			
samples_chk___1	samples_chk		
samples_chk___2			
samples_chk___3			
samples_chk___4			
samples_chk___5			
samples_collected_by			
sex_rad	sex_rad		
sid	sid		
sprayed_chk___1			
sprayed_chk___2			
sprayed_chk___3			
sprayed_chk___4			
state_birth	stateofbirth		
street	street		
suppressant_now_yn	suppressant_now_yn		
symptoms_chk___1			
symptoms_chk___10			
symptoms_chk___11			
symptoms_chk___12			
symptoms_chk___13			
symptoms_chk___14			
symptoms_chk___15			
symptoms_chk___16			
symptoms_chk___17			
symptoms_chk___18			
symptoms_chk___2			
symptoms_chk___3			
symptoms_chk___4			
symptoms_chk___5			
symptoms_chk___6			
symptoms_chk___7			
symptoms_chk___8			
symptoms_chk___9			
symptoms_yn			
taluk			
temperature	temperature		
time			
travel_2wk_country	travel_2wk_country		
travel_2wk_district	travel_2wk_district		
travel_2wk_state	travel_2wk_state		
travel_2wk_taluk	travel_2wk_taluk		
travel_2wk_village	travel_2wk_village		
travel_2wk_yn	travel_2wk_yn		
village			
visit_num			
weight	weight		
