IRI,label,parentLabel,parentIRI,datafile value
http://purl.obolibrary.org/obo/CHEBI_8461,Promethazine,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Promethazine
http://purl.obolibrary.org/obo/CHEBI_45267,Praziquantel,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Praziquantel
http://purl.obolibrary.org/obo/EUPATH_1000018,Oral rehydration salts,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Oral rehydration salts
http://purl.obolibrary.org/obo/EUPATH_1000019,Diosmectite,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Diosmectite
http://purl.obolibrary.org/obo/VO_0000650,Rabies vaccine,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Rabies vaccine
http://purl.obolibrary.org/obo/VO_0000640,Tetanus vaccine,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Tetanus vaccine
http://purl.obolibrary.org/obo/CHEBI_135726,Metopimazine,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Metopimazine
http://purl.obolibrary.org/obo/CHEBI_52010,Chlorpheniramine,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Chlorpheniramine
http://purl.obolibrary.org/obo/EUPATH_1000020,Daflon,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Daflon
http://purl.obolibrary.org/obo/CHEBI_6704,Mebendazole,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Mebendazole
http://purl.obolibrary.org/obo/EUPATH_1000021,Tetanus antitoxin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Tetanus antitoxin
http://purl.obolibrary.org/obo/EUPATH_1000022,Teething syrup,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Teething syrup
http://purl.obolibrary.org/obo/CHEBI_27902,Tetracycline,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Tetracycline
http://purl.obolibrary.org/obo/EUPATH_1000023,Diclofenac eye drops,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Diclofenac eye drops
http://purl.obolibrary.org/obo/EUPATH_1000024,Aspegic,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Aspegic
http://purl.obolibrary.org/obo/CHEBI_49575,Diazepam,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Diazepam
http://purl.obolibrary.org/obo/EUPATH_1000025,Osipase,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Osipase
http://purl.obolibrary.org/obo/EUPATH_1000026,Ringer lactate,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Ringer lactate
http://purl.obolibrary.org/obo/CHEBI_3761,Clorazepic acid,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Clorazepic acid
http://purl.obolibrary.org/obo/CHEBI_12777,Vitamin A,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Vitamin a
http://purl.obolibrary.org/obo/CHEBI_31674,Hydrocortisone butyrate,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Hydrocortisone butyrate
http://purl.obolibrary.org/obo/CHEBI_107736,Metoclopramide,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Metoclopramide
http://purl.obolibrary.org/obo/EUPATH_1000027,Oflocet,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Oflocet
http://purl.obolibrary.org/obo/CHEBI_27446,Phenoxymethylpenicillin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Phenoxymethylpenicillin
http://purl.obolibrary.org/obo/EUPATH_1000028,Stupen,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Stupen
http://purl.obolibrary.org/obo/CHEBI_2453,Acyclovir,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Acyclovir
http://purl.obolibrary.org/obo/CHEBI_3077,Betamethasone,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Betamethasone
http://purl.obolibrary.org/obo/EUPATH_1000029,Exomuc,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Exomuc
http://purl.obolibrary.org/obo/EUPATH_1000030,Gena eye drops,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Gena eye drops
http://purl.obolibrary.org/obo/EUPATH_1000031,Vaseline,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Vaseline
http://purl.obolibrary.org/obo/EUPATH_1000032,Vitamine K1,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Vitamine k1
http://purl.obolibrary.org/obo/EUPATH_0041164,Concomitant medication name,,,
