?IRI	?label	?parentIRI	?parentLabel	?codebookDescription	?ontology_label	?definition	?ontology_parentIRI	?ontology_parentLabel
http://purl.obolibrary.org/obo/EUPATH_0032266	"Aeromonas hydrophila, by Gram stain"	http://purl.obolibrary.org/obo/EUPATH_0032132	Aeromonas in induced sputum	Aeromonas hydrophila induced sputum culture gram strain confirmed				
http://purl.obolibrary.org/obo/EUPATH_0010603	"Aeromonas, by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0011965	Aeromonas in stool	Calculated: Aeromonas | Aeromonas detected?. Collapses all species information into one dichotomous variable for aeromonas (yes vs. no). Source=Calculated. 1=yes;0=no	presence of Aeromonas unspecified in feces	"An Aeromonas in feces datum that specifies whether Aeromonas was detected, without specifying the taxon further."		
http://purl.obolibrary.org/obo/EUPATH_0032269	"Agregattibacter aphrophilus (Haemophilus aphrophilus), by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0032133	Agregattibacter in induced sputum	Agregattibacter (Haemophilus) Aphrophilus induced sputum culture positive	presence of Aggregatibacter aphrophilus in induced sputum	An Aggregatibacter aphrophilus in induced sputum datum that specifies whether the organism was detected.		
http://purl.obolibrary.org/obo/EUPATH_0032268	"Agregattibacter aphrophilus (Haemophilus aphrophilus), by Gram stain"	http://purl.obolibrary.org/obo/EUPATH_0032133	Agregattibacter in induced sputum	Agregattibacter (haemophilus) aphrophilus induced sputum culture gram strain confirmed				
http://purl.obolibrary.org/obo/EUPATH_0032612	"Coronavirus 229, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033368	Alphacoronavirus in induced sputum	Cor229 induced sputum PCR positive	presence of human coronavirus 229E in induced sputum by multiplex real time polymerase chain reaction assay	A virus in induced sputum datum that specifies whether Human coronavirus 229E was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0032614	"Coronavirus 63, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033368	Alphacoronavirus in induced sputum	Cor63 induced sputum PCR positive	presence of Human coronavirus NL63 in induced sputum by multiplex real time polymerase chain reaction assay	A virus in induced sputum datum that specifies whether Human coronavirus NL63 was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0032718	"Coronavirus 229, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033370	Alphacoronavirus in lung aspirate	Cor229 lung aspirate PCR positive	presence of Human coronavirus 229E in lung by multiplex real time polymerase chain reaction assay	A virus in lung datum that specifies whether Human coronavirus 229E was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0032720	"Coronavirus 63, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033370	Alphacoronavirus in lung aspirate	Cor63 lung aspirate PCR positive	presence of Human coronavirus NL63 in lung by multiplex real time polymerase chain reaction assay	A virus in lung datum that specifies whether Human coronavirus NL63 was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0032810	"Coronavirus 229, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033372	Alphacoronavirus in nasopharyngeal/oropharyngeal swabs	Cor229 NP PCR positive	presence of Human coronavirus 229E in nasopharynx or oropharynx by multiplex real time polymerase chain reaction assay	A virus in nasopharyngeal or oropharyngeal swab datum that specifies whether Human coronavirus 229E was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0032812	"Coronavirus 63, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033372	Alphacoronavirus in nasopharyngeal/oropharyngeal swabs	Cor63 NP PCR positive	presence of Human coronavirus NL63 in nasopharynx or oropharynx by multiplex real time polymerase chain reaction assay	A virus in nasopharyngeal or oropharyngeal swab datum that specifies whether Human coronavirus NL63 was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0033075	"Coronavirus 229, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033374	Alphacoronavirus in pleural fluid	Cor229 pleural fluid PCR positive	presence of Human coronavirus 229E in pleural fluid by multiplex real time polymerase chain reaction assay	A virus in pleural fluid datum that specifies whether Human coronavirus 229E was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0033077	"Coronavirus 63, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033374	Alphacoronavirus in pleural fluid	Cor63 pleural fluid PCR positive	presence of Human coronavirus NL63 in pleural fluid by multiplex real time polymerase chain reaction assay	A virus in pleural fluid datum that specifies whether Human coronavirus NL63 was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0032620	"Influenza A, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033287	Alphainfluenzavirus in induced sputum	Flu A induced sputum PCR positive	presence of Influenza A virus in induced sputum by multiplex real time polymerase chain reaction assay	A virus in induced sputum datum that specifies whether Influenza A virus was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0032726	"Influenza A, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033357	Alphainfluenzavirus in lung aspirate	Flu A lung aspirate PCR positive	presence of Influenza A virus in lung by multiplex real time polymerase chain reaction assay	A virus in lung datum that specifies whether Influenza A virus was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0032818	"Influenza A, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033333	Alphainfluenzavirus in nasopharyngeal/oropharyngeal swabs	Flu A NP PCR positive	presence of Influenza A virus in nasopharynx or oropharynx by multiplex real time polymerase chain reaction assay	A virus in nasopharyngeal or oropharyngeal swab datum that specifies whether Influenza A virus was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0033083	"Influenza A, by multiplexed qPCR"	http://purl.obolibrary.org/obo/EUPATH_0033349	Alphainfluenzavirus in pleural fluid	Flu A pleural fluid PCR positive	presence of Influenza A virus in pleural fluid by multiplex real time polymerase chain reaction assay	A virus in pleural fluid datum that specifies whether Influenza A virus was detected by multiplex real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0015401	"Ancylostoma duodenale, by RT-PCR"	http://purl.obolibrary.org/obo/EUPATH_0030118	Ancylostomatoidea in stool	Ancylostoma duodenale Real Time PCR	presence of Ancylostoma duodenale in feces by real time polymerase chain reaction assay	A eukaryota in feces datum that specifies whether Ancylostoma duodenale was detected by real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0010734	"Hookworm, by microscopy"	http://purl.obolibrary.org/obo/EUPATH_0030118	Ancylostomatoidea in stool	Hook worm | Binary flag to indicate Ankylo infection through egg detection in KK | Hookworm detected?. . Source=Calculated. 1=yes;0=no | Hookworm infection: Presence or Absence | Presence or absence of hookworm eggs in study participant | 11c. Hook worm	presence of Ancylostomatoidea in feces by microscopy assay	A eukaryota in feces datum that specifies whether Ancylostomatoidea was detected by microscopy assay.		
http://purl.obolibrary.org/obo/EUPATH_0015431	"Hookworm, by RT-PCR"	http://purl.obolibrary.org/obo/EUPATH_0030118	Ancylostomatoidea in stool	Hookworm	presence of Ancylostomatoidea in feces by real time polymerase chain reaction assay	A eukaryota in feces datum that specifies whether Ancylostomatoidea was detected by real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0030153	"Hookworm infection intensity, by microscopy"	http://purl.obolibrary.org/obo/EUPATH_0030118	Ancylostomatoidea in stool	"Average epg of Ankylo where two slides were recorded, or the single observation where only one slide was recorded"				
http://purl.obolibrary.org/obo/EUPATH_0032990	Antibiotic activity sample type	http://purl.obolibrary.org/obo/EUPATH_0032197	Antibiotic activity test	LAA specimen type				
http://purl.obolibrary.org/obo/EUPATH_0032991	Zone of inhibition diameter	http://purl.obolibrary.org/obo/EUPATH_0032197	Antibiotic activity test	Diameter inhibition zone				
http://purl.obolibrary.org/obo/EUPATH_0032992	Zone of inhibition diameter >6 mm	http://purl.obolibrary.org/obo/EUPATH_0032197	Antibiotic activity test	Serum antibiotic activity: zone of inhibition diameter > 6mm				
http://purl.obolibrary.org/obo/EUPATH_0049424	Azithromycin E-test	http://purl.obolibrary.org/obo/EUPATH_0032197	Antibiotic activity test	Azithromycin etest value				
http://purl.obolibrary.org/obo/EUPATH_0011309	"Measles antibodies, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011480	Antibodies	0/1 'Positive' measles titer.1 if VRFMEASTIT>250.calculated				
http://purl.obolibrary.org/obo/EUPATH_0011397	"Pertussis antibodies, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011480	Antibodies	0/1 'Positive' pertussis titer.1 if (VRFPERTIT>38 &target_month=7) or (VRFPERTIT>26 & target_month>=15).calculated				
http://purl.obolibrary.org/obo/EUPATH_0011398	"Polio serotype 2 antibodies, by microneutralization"	http://purl.obolibrary.org/obo/EUPATH_0011480	Antibodies	0/1 'Positive' polio serotype 2 titer.1 if VRFPOLSER2TIT>8.calculated | Sabin 2 Sero negative at week 40 (logs40s2 <=2.833)				
http://purl.obolibrary.org/obo/EUPATH_0011400	"Polio IgG antibodies, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011480	Antibodies	0/1 'Positive' polio IgG titer  (MAY NOT BE MEANINGFUL).1 if VRFPOLIgG>10 .calculated				
http://purl.obolibrary.org/obo/EUPATH_0011423	"Rotavirus antibodies, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011480	Antibodies	0/1 'Positive' rotavirus IgA titer.1 if VRFROTAATIT>20.calculated				
http://purl.obolibrary.org/obo/EUPATH_0011461	"Tetanus antibodies, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011480	Antibodies	0/1 'Positive' tetanus titer.1 if VRFTETTIT>100.calculated				
http://purl.obolibrary.org/obo/EUPATH_0011478	"Polio serotype 1 antibodies, by microneutralization"	http://purl.obolibrary.org/obo/EUPATH_0011480	Antibodies	Sabin 1 Sero negative at week 40 (logs40s1 <=2.833) | 0/1 'Positive' polio serotype 1 titer.1 if VRFPOLSER1TIT>8.calculated				
http://purl.obolibrary.org/obo/EUPATH_0011479	"Polio serotype 3 antibodies, by microneutralization"	http://purl.obolibrary.org/obo/EUPATH_0011480	Antibodies	Sabin 3 Sero negative at week 40 (logs40s3 <=2.833) | 0/1 'Positive' polio serotype 3 titer.1 if VRFPOLSER3TIT>8.calculated				
http://purl.obolibrary.org/obo/EUPATH_0057567	Mycobacterium tuberculosis PCR performed	http://purl.obolibrary.org/obo/EUPATH_0057602	Any sample bacteria testing	PCR for TB performed				
http://purl.obolibrary.org/obo/EUPATH_0057577	"Sample type positive for Mycobacterium tuberculosis, by PCR"	http://purl.obolibrary.org/obo/EUPATH_0057602	Any sample bacteria testing	Samples taken and positive for TB by PCR				
http://purl.obolibrary.org/obo/EUPATH_0057588	Mycobacterium tuberculosis test type	http://purl.obolibrary.org/obo/EUPATH_0057602	Any sample bacteria testing	TB tests performed				
http://purl.obolibrary.org/obo/EUPATH_0057591	Test method positive for Mycobacterium tuberculosis	http://purl.obolibrary.org/obo/EUPATH_0057602	Any sample bacteria testing	Test method positive for TB				
http://purl.obolibrary.org/obo/EUPATH_0057545	Histoplasma capsulatum PCR performed	http://purl.obolibrary.org/obo/EUPATH_0057603	Any sample eukaryota testing	PCR for histoplasma capsulatum performed				
http://purl.obolibrary.org/obo/EUPATH_0057547	Histoplasma capsulatum test type	http://purl.obolibrary.org/obo/EUPATH_0057603	Any sample eukaryota testing	Histoplasma capsulatum tests performed				
http://purl.obolibrary.org/obo/EUPATH_0057576	"Sample type positive for Histoplasma capsulatum, by PCR"	http://purl.obolibrary.org/obo/EUPATH_0057603	Any sample eukaryota testing	Samples taken and positive for Histoplasma capsulatum by PCR				
http://purl.obolibrary.org/obo/EUPATH_0057589	Test method positive for Cryptococcus	http://purl.obolibrary.org/obo/EUPATH_0057603	Any sample eukaryota testing	Test method positive for Cryptococcus				
http://purl.obolibrary.org/obo/EUPATH_0057590	Test method positive for Histoplasma capsulatum	http://purl.obolibrary.org/obo/EUPATH_0057603	Any sample eukaryota testing	Test method positive for Histoplasma capsulatum				
http://purl.obolibrary.org/obo/EUPATH_0009090	Virus in any sample	http://purl.obolibrary.org/obo/EUPATH_0057604	Any sample microbiology test					
http://purl.obolibrary.org/obo/EUPATH_0057605	Any sample microbiology test procedures	http://purl.obolibrary.org/obo/EUPATH_0057604	Any sample microbiology test					
http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample	http://purl.obolibrary.org/obo/EUPATH_0057604	Any sample microbiology test					
http://purl.obolibrary.org/obo/EUPATH_0057618	Eukaryota in any sample	http://purl.obolibrary.org/obo/EUPATH_0057604	Any sample microbiology test					
http://purl.obolibrary.org/obo/EUPATH_0057656	Raw test result for any sample	http://purl.obolibrary.org/obo/EUPATH_0057604	Any sample microbiology test					
http://purl.obolibrary.org/obo/EUPATH_0057579	"Cryptococcus, Histoplasma, and Mycobacterium testing completed"	http://purl.obolibrary.org/obo/EUPATH_0057605	Any sample microbiology test procedures	"Was the patient screened for TB, NTM, Histo and Crypto?"				
http://purl.obolibrary.org/obo/EUPATH_0057602	Any sample bacteria testing	http://purl.obolibrary.org/obo/EUPATH_0057605	Any sample microbiology test procedures					
http://purl.obolibrary.org/obo/EUPATH_0057603	Any sample eukaryota testing	http://purl.obolibrary.org/obo/EUPATH_0057605	Any sample microbiology test procedures					
http://purl.obolibrary.org/obo/EUPATH_0036059	"Ascaris, by microscopy"	http://purl.obolibrary.org/obo/EUPATH_0030119	Ascaris in stool	Ascaris | Ascaris Lumbricoides	presence of Ascaris in feces by microscopy assay	A eukaryota in feces datum that specifies whether Ascaris was detected by microscopy assay.		
http://purl.obolibrary.org/obo/EUPATH_0010607	"Ascaris lumbricoides, by microscopy"	http://purl.obolibrary.org/obo/EUPATH_0030119	Ascaris in stool	Ascaris infection: Presence or Absence | Binary flag to indicate Ascaris infection through egg detection in KK | A. lumbricoides detected?. . Source=Calculated. 1=yes;0=no | Presence or absence of ascaris eggs in study participant	presence of Ascaris lumbricoides in feces by microscopy assay	A eukaryota in feces datum in feces that specifies whether Ascaris lumbricoides was detected by microscopy assay.		
http://purl.obolibrary.org/obo/EUPATH_0015402	"Ascaris lumbricoides, by RT-PCR"	http://purl.obolibrary.org/obo/EUPATH_0030119	Ascaris in stool	Ascaris lumbridoides	presence of Ascaris lumbricoides in feces by real time polymerase chain reaction assay	A eukaryota in feces datum that specifies whether Ascaris lumbricoides was detected by real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0030154	"Ascaris lumbricoides infection intensity, by microscopy"	http://purl.obolibrary.org/obo/EUPATH_0030119	Ascaris in stool	"Average epg of Ascaris where two slides were recorded, or the single observation where only one slide was recorded"				
http://purl.obolibrary.org/obo/EUPATH_0010611	"Astrovirus, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011985	Astrovirus in stool	Astrovirus detected?. Indeterminate test result is coded as no.. Source=Calculated. 1=yes;0=no	presence of Astrovirus in feces by enzyme-linked immunosorbent assay	An Astrovirus in feces by enzyme-linked immunosorbent assay datum that specifies whether the virus was detected.		
http://purl.obolibrary.org/obo/EUPATH_0036312	"Astrovirus, by qPCR"	http://purl.obolibrary.org/obo/EUPATH_0011985	Astrovirus in stool	Astrovirus	presence of Astrovirus in feces by real time polymerase chain reaction assay	A virus in feces datum that specifies whether Astrovirus was detected by real time polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/EUPATH_0015329	"Astrovirus, by RT-PCR"	http://purl.obolibrary.org/obo/EUPATH_0011985	Astrovirus in stool	Cacluated: Astrovirus	presence of Astrovirus in feces by reverse transcription polymerase chain reaction assay	A virus in feces datum that specifies whether Astrovirus was detected by reverse transcription polymerase chain reaction assay.		
http://purl.obolibrary.org/obo/NCBITaxon_222	Achromobacter	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Achromobacter		http://purl.obolibrary.org/obo/NCBITaxon_506	Alcaligenaceae
http://purl.obolibrary.org/obo/NCBITaxon_85698	Achromobacter xylosoxidans	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Achromobacter xylosoxidans		http://purl.obolibrary.org/obo/NCBITaxon_222	Achromobacter
http://purl.obolibrary.org/obo/NCBITaxon_469	Acinetobacter	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Acinetobacter		http://purl.obolibrary.org/obo/NCBITaxon_468	Moraxellaceae
http://purl.obolibrary.org/obo/NCBITaxon_28090	Acinetobacter lwoffi	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Acinetobacter lwoffii		http://purl.obolibrary.org/obo/NCBITaxon_469	Acinetobacter
http://purl.obolibrary.org/obo/NCBITaxon_95486	Burkholderia cenocepacia	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Burkholderia cenocepacia		http://purl.obolibrary.org/obo/NCBITaxon_87882	Burkholderia cepacia complex
http://purl.obolibrary.org/obo/NCBITaxon_87883	Burkholderia multivorans	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Burkholderia multivorans		http://purl.obolibrary.org/obo/NCBITaxon_87882	Burkholderia cepacia complex
http://purl.obolibrary.org/obo/NCBITaxon_59732	Chryseobacterium	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Chryseobacterium		http://purl.obolibrary.org/obo/NCBITaxon_976	Bacteroidota
http://purl.obolibrary.org/obo/NCBITaxon_253	Chryseobacterium indologenes	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Chryseobacterium indologenes		http://purl.obolibrary.org/obo/NCBITaxon_59732	Chryseobacterium
http://purl.obolibrary.org/obo/NCBITaxon_544	Citrobacter	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Citrobacter		http://purl.obolibrary.org/obo/NCBITaxon_543	Enterobacteriaceae
http://purl.obolibrary.org/obo/NCBITaxon_546	Citrobacter freundii	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Citrobacter freundii		http://purl.obolibrary.org/obo/NCBITaxon_1344959	Citrobacter freundii complex
http://purl.obolibrary.org/obo/NCBITaxon_547	Enterobacter	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Enterobacter		http://purl.obolibrary.org/obo/NCBITaxon_543	Enterobacteriaceae
http://purl.obolibrary.org/obo/NCBITaxon_562	Escherichia coli	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Escherichia coli		http://purl.obolibrary.org/obo/NCBITaxon_561	Escherichia
http://purl.obolibrary.org/obo/NCBITaxon_724	Haemophilus	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Haemophilus		http://purl.obolibrary.org/obo/NCBITaxon_712	Pasteurellaceae
http://purl.obolibrary.org/obo/NCBITaxon_727	Haemophilus influenzae	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Haemophilus influenzae		http://purl.obolibrary.org/obo/NCBITaxon_724	Haemophilus
http://purl.obolibrary.org/obo/NCBITaxon_570	Klebsiella	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Klebsiella		http://purl.obolibrary.org/obo/NCBITaxon_543	Enterobacteriaceae
http://purl.obolibrary.org/obo/NCBITaxon_571	Klebsiella oxytoca	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Klebsiella oxytoca		http://purl.obolibrary.org/obo/NCBITaxon_570	Klebsiella
http://purl.obolibrary.org/obo/NCBITaxon_573	Klebsiella pneumoniae	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Klebsiella pneumoniae		http://purl.obolibrary.org/obo/NCBITaxon_570	Klebsiella
http://purl.obolibrary.org/obo/ARO_3004306	Methicillin resistant Staphylococcus aureus	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		methicillin-resistant Staphylococcus aureus	"Any strain of Staphylococcus aureus that has tested resistant (R) to at least one of methicillin, oxacillin or cefoxitin by standard susceptibility testing methods."	http://purl.obolibrary.org/obo/OMP_0000274	antimicrobial agent resistance phenotype
http://purl.obolibrary.org/obo/NCBITaxon_36809	Mycobacteroides abscessus	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Mycobacteroides abscessus		http://purl.obolibrary.org/obo/NCBITaxon_1762	Mycobacteriaceae
http://purl.obolibrary.org/obo/NCBITaxon_487	Neisseria meningitidis	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Neisseria meningitidis		http://purl.obolibrary.org/obo/NCBITaxon_482	Neisseria
http://purl.obolibrary.org/obo/NCBITaxon_1817	Nocardia	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Nocardia		http://purl.obolibrary.org/obo/NCBITaxon_85007	Mycobacteriales
http://purl.obolibrary.org/obo/NCBITaxon_286	Pseudomonas	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Pseudomonas		http://purl.obolibrary.org/obo/NCBITaxon_135621	Pseudomonadaceae
http://purl.obolibrary.org/obo/NCBITaxon_47886	Pseudomonas luteola	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Pseudomonas luteola		http://purl.obolibrary.org/obo/NCBITaxon_286	Pseudomonas
http://purl.obolibrary.org/obo/NCBITaxon_303	Pseudomonas putida	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Pseudomonas putida		http://purl.obolibrary.org/obo/NCBITaxon_286	Pseudomonas
http://purl.obolibrary.org/obo/NCBITaxon_613	Serratia	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Serratia <enterobacteria>		http://purl.obolibrary.org/obo/NCBITaxon_1903411	Yersiniaceae
http://purl.obolibrary.org/obo/NCBITaxon_614	Serratia liquefaciens	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Serratia liquefaciens		http://purl.obolibrary.org/obo/NCBITaxon_613	Serratia <enterobacteria>
http://purl.obolibrary.org/obo/NCBITaxon_615	Serratia marcescens	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Serratia marcescens		http://purl.obolibrary.org/obo/NCBITaxon_613	Serratia <enterobacteria>
http://purl.obolibrary.org/obo/NCBITaxon_24	Shewanella putrefaciens	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Shewanella putrefaciens		http://purl.obolibrary.org/obo/NCBITaxon_1236	Gammaproteobacteria
http://purl.obolibrary.org/obo/NCBITaxon_1279	Staphylococcus	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Staphylococcus		http://purl.obolibrary.org/obo/NCBITaxon_1385	Bacillales
http://purl.obolibrary.org/obo/NCBITaxon_40323	Stenotrophomonas	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Stenotrophomonas		http://purl.obolibrary.org/obo/NCBITaxon_1236	Gammaproteobacteria
http://purl.obolibrary.org/obo/NCBITaxon_1313	Streptococcus pneumoniae	http://purl.obolibrary.org/obo/EUPATH_0057606	Bacteria in any sample		Streptococcus pneumoniae		http://purl.obolibrary.org/obo/NCBITaxon_1301	Streptococcus
