colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
18,ext_bv_bsc::motoscal,ext_bv_bsc,,Motor scaled sum,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,6e. Motor scaled sum,,variable,
19,ext_bv_bsc::motocmp,ext_bv_bsc,,Motor composite score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,6f. Motor composite score,,variable,
20,ext_bv_bsc::soemoraw,ext_bv_bsc,,Social-emotional raw score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,7a. Social-Emotional raw score,,variable,
21,ext_bv_bsc::soemoscal,ext_bv_bsc,,Social-emotional scaled score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,7b. Social-Emotional scaled score,,variable,
22,ext_bv_bsc::soemocmp,ext_bv_bsc,,Social-emotional composite score,Assessed at 78 and 104 weeks,Observation,Bayley scales of infant and toddler development,,7c. Social-Emotional composite score,,variable,
1,ext_bv_dep_st::pid,ext_bv_dep_st,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
2,ext_bv_dep_st::deindt,ext_bv_dep_st,EUPATH_0004991,Observation date,,Observation,,,1. Date of Interview,,variable,
3,ext_bv_dep_st::dedt,ext_bv_dep_st,EUPATH_0031299,Date of onset of diarrhea,Collected for each diarrheal episode.,Observation,,,Date Entered,,variable,
4,ext_bv_dep_st::dewt,ext_bv_dep_st,EUPATH_0000732,Weight (kg),Assessed during diarrheal episodes and at each visit week.,Observation,,,3.  Weight of the baby today in Kg,99.9 = missing,variable,
5,ext_bv_dep_st::decons,ext_bv_dep_st,,"Stool consistency, caregiver report",Assessed once per diarrheal episode on the interview day. ,Observation,Signs and symptoms,EUPATH_0000309,4. Consistency of current stool,"1 = Normal, 2 = Loose, 3 = Liquid/Watery, 9 = missing",variable,
8,ext_bv_dep_st::antb,ext_bv_dep_st,EUPATH_0015669,Diarrhea treament,Assessed once per diarrheal episode on the interview day. ,Observation,,,7. Antibiotic treatment history for this episode,"1 = None; 
2 = Antibiotics taken pre-visit; 
3 = Antibiotics prescribed at visit, 9 = missing",variable,
9,ext_bv_dep_st::antb1,ext_bv_dep_st,,Antibiotic prescribed,Assessed once per diarrheal episode on the interview day. ,Observation,Treatment,OGMS_0000090,7a.1 Antibiotics 1,"01=Azithromycin; 02=Erythromycin; 03=Metronidazole; 04=Ciprofloxacin; 05=Nalidixic acid; 06=Pivmecillinam; 07=Cephradine; 08=Co-trimoxazole; 09=Amoxycillin; 10=Cefixime; 11=Ceftazidime; 12=Cefuroxime; 13=Ceftriaxone; 14=Flucloxacillin; 15=Other, 99 = Missing",variable,
10,ext_bv_dep_st::antb2,ext_bv_dep_st,,Antibiotic prescribed 2,Assessed once per diarrheal episode on the interview day. ,Observation,Treatment,OGMS_0000090,7a.2 Antibiotics 2,"01=Azithromycin; 02=Erythromycin; 03=Metronidazole; 04=Ciprofloxacin; 05=Nalidixic acid; 06=Pivmecillinam; 07=Cephradine; 08=Co-trimoxazole; 09=Amoxycillin; 10=Cefixime; 11=Ceftazidime; 12=Cefuroxime; 13=Ceftriaxone; 14=Flucloxacillin; 15=Other, 99 = Missing",variable,
11,ext_bv_dep_st::antb3,ext_bv_dep_st,,Antibiotic prescribed 3,Assessed once per diarrheal episode on the interview day. ,Observation,Treatment,OGMS_0000090,7a.3 Antibiotics 3,"01=Azithromycin; 02=Erythromycin; 03=Metronidazole; 04=Ciprofloxacin; 05=Nalidixic acid; 06=Pivmecillinam; 07=Cephradine; 08=Co-trimoxazole; 09=Amoxycillin; 10=Cefixime; 11=Ceftazidime; 12=Cefuroxime; 13=Ceftriaxone; 14=Flucloxacillin; 15=Other, 99 = Missing",variable,
12,ext_bv_dep_st::deptemp,ext_bv_dep_st,EUPATH_0000110,Temperature (C),,Observation,,,Auxillary Temperature measured today <U+00A9>,99.9 = missing,variable,
,ext_bv_dep_st::vstnum,ext_bv_dep_st,BFO_0000015,Observation type,,Observation,,,,#NAME?,variable,
1,ext_bv_dir_st::pid,ext_bv_dir_st,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
2,ext_bv_dir_st::dov,ext_bv_dir_st,EUPATH_0004991,Observation date,,Observation,,,1. Date of assessment,,variable,
3,ext_bv_dir_st::bfh,ext_bv_dir_st,,Baby food type,Assessed for each day.,Observation,Breastfeeding,EUPATH_0011730,Baby Feeding (BF) History *,"1=BM, 2=TM, 3=BM+TM, 4=BM + Other, 5=Non BM, 6=No milk, 99=not available/done",variable,
4,ext_bv_dir_st::vomt,ext_bv_dir_st,,Vomiting frequency ,Number of times vomited/day. Assessed for each day.,Observation,Signs and symptoms,EUPATH_0000309,"Vomiting
(times/day)",99 = missing,variable,
5,ext_bv_dir_st::temp,ext_bv_dir_st,EUPATH_0000110,Temperature (C),Assessed at home visits twice weekly and during diarrheal episodes.,Observation,,,Temperature recorded during that episode,99.9 = missing,variable,
6,ext_bv_dir_st::diar,ext_bv_dir_st,DOID_13250,Diarrhea,Assessed for each day.,Observation,,,Diarrhea today?,99 = missing,value,
7,ext_bv_dir_st::drno,ext_bv_dir_st,EUPATH_0010533,"Loose stools in day, maternal report","If diarrhea reported, assessed for each day of diarrheal episode. ",Observation,,,No. of diarrheal stool in last 24 hrs,99 = missing,variable,
8,ext_bv_dir_st::mucs,ext_bv_dir_st,,Mucus in stool,"If diarrhea reported, assessed for each day of diarrheal episode. ",Observation,Signs and symptoms,EUPATH_0000309,Mucus in stool,1=Yes; 2=No; 99=not available/done,variable,
9,ext_bv_dir_st::stbld,ext_bv_dir_st,EUPATH_0024212,Blood in stool,"If diarrhea reported, assessed for each day of diarrheal episode. ",Observation,,,Blood in stool,1=Yes; 2=No; 99=not available/done,variable,
10,ext_bv_dir_st::stspc,ext_bv_dir_st,EUPATH_0010537,Diarrheal sample collected at visit,"If diarrhea reported, assessed for each day of diarrheal episode. ",Observation,,,Stool collected for this episode,1=Yes; 2=No; 99=not available/done,variable,
11,ext_bv_dir_st::antbi,ext_bv_dir_st,EUPATH_0000582,"Antibiotics, caregiver report","If diarrhea reported, assessed for each day of diarrheal episode. ",Observation,,,Child on antibiotics,1=Yes; 2=No; 99=not available/done,variable,
12,ext_bv_dir_st::ors,ext_bv_dir_st,EUPATH_0010536,"ORT administered, caregiver report","If diarrhea reported, assessed for each day of diarrheal episode. ",Observation,,,Home use of ORS,1=Yes; 2=No; 99=not available/done,variable,
,ext_bv_dir_st::vstnum,ext_bv_dir_st,BFO_0000015,Observation type,,Observation,,,,#NAME?,variable,
1,ext_bv_dsmicr_st::pid,ext_bv_dsmicr_st,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
6,ext_bv_dsmicr_st::specdt,ext_bv_dsmicr_st,,Stool collection date,,Sample,Stool sample collection process,EUPATH_0010039,Date of Specimen Collection dd/mm/yy,,variable,
7,ext_bv_dsmicr_st::cons,ext_bv_dsmicr_st,EUPATH_0010217,Stool consistency,Assessed once per diarrheal episode.,Sample,,,3. Consistency,1=Normal; 2=Loose;3=Liquid;4=Watery,variable,
8,ext_bv_dsmicr_st::bld,ext_bv_dsmicr_st,EUPATH_0015217,Blood in stool,Assessed once per diarrheal episode.,Sample,,,4. Blood,0=None;1=Trace;2=Moderate ;3=Heavy,variable,
9,ext_bv_dsmicr_st::mucus,ext_bv_dsmicr_st,EUPATH_0000711,Mucus in stool,Assessed once per diarrheal episode.,Sample,,,5. Mucus,0=None; 1=Trace; 2=Moderate ;3=Heavy,variable,
10,ext_bv_dsmicr_st::rbc,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,6. RBC,1=0; 2=1-10;3=11-20;4=21-50; 5=>50,variable,see lab test template
11,ext_bv_dsmicr_st::pus,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,7. Pus cell,1=0; 2=1-10; 3=11-20; 4=21-50; 5=>50,variable,see lab test template
12,ext_bv_dsmicr_st::macro,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,8. Macrophages,1=0;  2=1-10; 3=11-20; 4=21-50; 5=>50,variable,see lab test template
13,ext_bv_dsmicr_st::status,ext_bv_dsmicr_st,,"Any pathogen, by microscopy","Any helminth, single cell parasites, or E. coli identified by microscopy. Assessed once per diarrheal episode.",Sample,Stool microbiology test,EUPATH_0000724,9. Status,0=No; 1=Yes,value,
14,ext_bv_dsmicr_st::micreh,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,10a. Micro Eh/Ed,1=Yes;     2=No,value,see non-raw template
15,ext_bv_dsmicr_st::ecoli,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,10b. Escherichia coli,1=Yes;     2=No,value,see non-raw template
16,ext_bv_dsmicr_st::enana,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,10c. Endolimax Nana,1=Yes;     2=No,value,see non-raw template
17,ext_bv_dsmicr_st::lbuts,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,10d. Iodamoeba butschlii,1=Yes;     2=No,value,see non-raw template
18,ext_bv_dsmicr_st::bhomi,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,10e. Blastocystis hominis,1=Yes;     2=No,value,see non-raw template
19,ext_bv_dsmicr_st::thomi,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,10f. Trichomonas hominis,1=Yes;     2=No,value,see non-raw template
20,ext_bv_dsmicr_st::giar,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,10g. Giardia,1=Yes;     2=No,value,see non-raw template
21,ext_bv_dsmicr_st::al,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,Ascaris,1=Yes;     2=No,value,see non-raw template
22,ext_bv_dsmicr_st::tt,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,Trichuris trichiura,1=Yes;     2=No,value,see non-raw template
23,ext_bv_dsmicr_st::hkwrm,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,11c. Hook worm,1=Yes;     2=No,value,see non-raw template
24,ext_bv_dsmicr_st::hnana,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,11d. Hymenolepis nana,1=Yes;     2=No,value,see non-raw template
25,ext_bv_dsmicr_st::ss,ext_bv_dsmicr_st,,,Assessed once per diarrheal episode.,Sample,,,11e. Strongyloides stercoralis,1=Yes;     2=No,value,see non-raw template
,ext_bv_dsmicr_st::vstnum,ext_bv_dsmicr_st,BFO_0000015,Observation type,,Observation,,,,#NAME?,variable,
1,ext_bv_enm::pid,ext_bv_enm,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
2,ext_bv_enm::mendt,ext_bv_enm,EUPATH_0000151,Enrollment date,,Participant,,,1. Date of Enrollment,,variable,
3,ext_bv_enm::menpl,ext_bv_enm,,Enrollment location,,Participant,Participant study details,EUPATH_0000307,Place of Enrollment,1 = Home; 2 = Health facility,variable,
4,ext_bv_enm::mage,ext_bv_enm,,Mother's age,,Participant,Individuals related to participant,EUPATH_0010037,3. Age of woman in years,,variable,
5,ext_bv_enm::mrno,ext_bv_enm,,Mother's marriages (count),Number of marriages,Participant,Individuals related to participant,EUPATH_0010037,Number of marriages,,variable,
6,ext_bv_enm::mrag,ext_bv_enm,,Mother's age a first marriage,,Participant,Individuals related to participant,EUPATH_0010037,Age at first marriage,,variable,
7,ext_bv_enm::mnag,ext_bv_enm,,Mother's age at menarche,,Participant,Individuals related to participant,EUPATH_0010037,6. Age at menarche in years,,variable,
8,ext_bv_enm::prgag,ext_bv_enm,,Mother's age at first pregnancy,,Participant,Individuals related to participant,EUPATH_0010037,7. Age at first pregnancy,,variable,
9,ext_bv_enm::lvbrt,ext_bv_enm,,Mother's live birth count,"Total number of live births in lifetime, including the participant's birth.",Participant,Individuals related to participant,EUPATH_0010037,Total live births in lifetime (Including the current one),,variable,
10,ext_bv_enm::mtp,ext_bv_enm,,Mother's non-live birth pregnancy count,"Number of still births, deaths, abortions, menstural regulations, or DE&C (dilation, evacuation and curettage).",Participant,Individuals related to participant,EUPATH_0010037,"9. Number of still birth/death/ abortion/MR, DE&C",,variable,
11,ext_bv_enm::dltyp,ext_bv_enm,,Pregnancy type,,Participant,Clinical history,OGMS_0000015,Was current delivery,"1=Single,  2=Twin",variable,
12,ext_bv_enm::twsex,ext_bv_enm,,Twin sexes,,Participant,Clinical history,OGMS_0000015,"10a. If Twin, sex of the babies","1=Both male; 2= Both Females; 3= One male and one female, 9 = missing",variable,
13,ext_bv_enm::twplc,ext_bv_enm,,Twin placenta count,,Participant,Clinical history,OGMS_0000015,"10b. If twin, Placenta",1= One; 2= Two; 7=Don't know; 9= Missing,variable,
14,ext_bv_enm::delst,ext_bv_enm,,Mode of delivery,How participant was delivered,Participant,Clinical history,OGMS_0000015,Current delivery status,"1 = Vaginal,  2 =Caesarian  
3 = Other",variable,
,,,,Maternal supplementation during pregnancy,,Participant,Clinical history,OGMS_0000015,,,multifilter,
15,ext_bv_enm::zinc,ext_bv_enm,,Zinc,,Participant,Maternal supplementation during pregnancy,,12a. Zinc,1=Yes; 2=No;,value,
16,ext_bv_enm::iron,ext_bv_enm,,Iron,,Participant,Maternal supplementation during pregnancy,,Iron,1=Yes; 2=No;,value,
17,ext_bv_enm::folic,ext_bv_enm,,Folic acid,,Participant,Maternal supplementation during pregnancy,,12c. Folic acid,1=Yes; 2=No;,value,
18,ext_bv_enm::cal,ext_bv_enm,,Calcium,,Participant,Maternal supplementation during pregnancy,,Calcium,1=Yes; 2=No;,value,
19,ext_bv_enm::vita,ext_bv_enm,,Vitamin A,,Participant,Maternal supplementation during pregnancy,,Vitamin A,1=Yes; 2=No;,value,
20,ext_bv_enm::spotr,ext_bv_enm,,Other,,Participant,Maternal supplementation during pregnancy,,12f. Other,1=Yes; 2=No;,value,
21,ext_bv_enm::sotsp,ext_bv_enm,,Other pregnancy supplements,Other supplements the mother received during pregnancy.,Participant,Clinical history,OGMS_0000015,"12f1. If 'other', please specify",,variable,
22,ext_bv_enm::mtt,ext_bv_enm,,Mother's tetanus vaccination count during pregnancy,Number of tetanus toxoid vaccinations the mother received during this pregnancy.,Participant,Individuals related to participant,EUPATH_0010037,Number of tetanus toxoid (TT) received during THIS Pregnancy,1 = None; 2 = One dose; 3=Two Doses; 7=Don<U+2019>t Know,variable,
23,ext_bv_enm::tprg,ext_bv_enm,,Mother's pregnancy count,,Participant,Individuals related to participant,EUPATH_0010037,Total pregnancies in lifetime,,variable,
1,ext_bv_epd::pid,ext_bv_epd,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
3,ext_bv_epd::vnum,ext_bv_epd,BFO_0000015,Observation type,,Observation,,,1. Visit number,15 = Week 78; 13 = Week 104,variable,
4,ext_bv_epd::laugh,ext_bv_epd,,Able to laugh and see the funny side of things in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,3. In the past 7 days have you been able to laugh and see the funny side of things?,"0 = As much as I always could; 
1 = Not quite so much now;     
2 = Definitely not so much now;
3 = Not at all;
9 = Missing",variable,
5,ext_bv_epd::enjoymnt,ext_bv_epd,,Looked forward with enjoyment to things in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,4. In the past 7 days have you looked forward with enjoyment to things?,"0 = As much as I ever did
1 = Rather less than I used to    
2 = Definitely less than I used to
3 = Hardly at all;
9 = Missing",variable,
6,ext_bv_epd::anxious,ext_bv_epd,,Anxious or worried for no good reason in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,5. In the past 7 days have you been anxious or worried for no good reason?,"0 = No, not at all
1 = Hardly ever;                
2 = Yes, sometimes; 
3 = Yes, very often;
9 = Missing",variable,
7,ext_bv_epd::blamed,ext_bv_epd,,Blamed yourself unnecessarily when things went wrong in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,6. In the past 7 days have you blamed yourself unnecessarily when things went wrong?,"3 = Yes, most of the time
2 = Yes, some of the time
1 = Not very often
0 = No, never;
9 = Missing",variable,
8,ext_bv_epd::scared,ext_bv_epd,,Felt scared or panicky for no good reason in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,7. In the past 7 days have you felt scared or panicky for no good reason?,"3 = Yes, quite a lot
2 = Yes, sometimes
1 = No, not much
0 = No, not at all;
9 = Missing",variable,
9,ext_bv_epd::gettop,ext_bv_epd,,Felt that things have been getting on top of you in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,8. In the past 7 days have you felt that things have been getting on top of you?,"3 = Yes, most of the time I haven<U+2019>t been able to cope at all; 2 = Yes, sometimes I haven<U+2019>t been coping as well as usual; 1 = No, most of the time I have coped quite well
0 = No, I have been coping as well as ever;
9 = Missing",variable,
10,ext_bv_epd::diffsleep,ext_bv_epd,,Felt so unhappy that you had difficulty sleeping in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,9. In the past 7 days have you felt so unhappy that you had difficulty sleeping?,"3 = Yes, most of the time
2 = Yes, sometimes
1 = Not very often
0 = No, not at all;
9 = Missing",variable,
11,ext_bv_epd::sad,ext_bv_epd,,Felt sad or miserable in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,10. In the past 7 days have you felt sad or miserable?,"3 = Yes, most of the time
2 = Yes, quite often
1 = Not very often
0 = No, not at all;
9 = Missing",variable,
12,ext_bv_epd::crying,ext_bv_epd,,So unhappy that you have been crying in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,11. In the past 7 days were you so unhappy that you have been crying?,"3 = Yes, most of the time
2 = Yes, quite often
1 = Only occasionally
0 = No, never;
9 = Missing",variable,
13,ext_bv_epd::selfharm,ext_bv_epd,,Thoughts of harming yourself occurred in the past 7 days,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,12. In the past 7 days have thoughts of harming yourself occurred?,"3 = Yes, quite often 
2 = Sometimes
1 = Hardly ever
0 = Never;
9 = Missing",variable,
14,ext_bv_epd::epdscore,ext_bv_epd,,Edinburgh Postnatal Depression Scale score,The participant's mother was assessed once during the study,Observation,Edinburgh postnatal depression scale,,13. TOTAL SCORE {LAUGH}+{ENJOYMNT}+{ANXIOUS}+{BLAMED}+{SCARED}+{GETTOP}+{DIFFSLEEP}+{SAD}+{CRYING}+{SELFHARM}+{EPDSCORE},99 = missing,variable,
15,ext_bv_epd::refered,ext_bv_epd,,Mother referred for evaluation,"Based on the Edinburgh Postnatal Depression score, was the participant's mother referred for further evaluation.",Observation,Edinburgh postnatal depression scale,,14. Was the mother referred for further evaluation?,"1 = Yes;  2 = No;
9 = Missing",variable,
1,ext_bv_f06::pid,ext_bv_f06,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
2,ext_bv_f06::f6dt,ext_bv_f06,EUPATH_0004991,Observation date,,Observation,,,1. Date of visit,,variable,
3,ext_bv_f06::f6vn,ext_bv_f06,BFO_0000015,Observation type,,Observation,,,2. Visit Number,2 = Week 6,variable,
6,ext_bv_f06::f6pv,ext_bv_f06,,Pentavalent vaccine,"Participants were supposed to receive the pentavalent vaccine (diphtheria, tetanus, pertussis, hepatitis B, and Haemophilus influenza type b) at 6, 10, and 14 weeks.",Observation,Immunization and prevention,EUPATH_0010947,6a. Pentavalent Vaccine,1=Yes; 2=No; 9=Missing,variable,
7,ext_bv_f06::f6opv,ext_bv_f06,EUPATH_0031247,Oral poliovirus (OPV) vaccine,"Participants were supposed to receive OPV at 6, 10, 14, and 52 weeks. Depending on randomization, they were set to receive OPV or IPV at 39 weeks.",Observation,,,6b.  Oral Polio Vaccine (OPV),1=Yes; 2=No; 9=Missing,variable,
8,ext_bv_f06::f6bcg,ext_bv_f06,,Bacille Calmette-Guerin (BCG) vaccine,Participants were supposed to receive BCG at 6 weeks if they didn't receive it at birth.,Observation,Immunization and prevention,EUPATH_0010947,6c. BCG (only if not given at birth),1=Yes; 2=No; 9=Missing,variable,
9,ext_bv_f06::f6bld,ext_bv_f06,EUPATH_0033146,Blood sample collected,,Sample,,,7a. Blood (BVC-SID-33-01),1=Yes; 2=No; 9=Missing,variable,
10,ext_bv_f06::f6stl,ext_bv_f06,EUPATH_0041019,Stool collected,,Sample,,,7b. Clinic Visit Stool (BVC-SID-10-02),1=Yes; 2=No; 9=Missing,variable,
1,ext_bv_f10::pid,ext_bv_f10,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
2,ext_bv_f10::f10dt,ext_bv_f10,EUPATH_0004991,Observation date,,Observation,,,1. Date of visit,,variable,
3,ext_bv_f10::f10vn,ext_bv_f10,BFO_0000015,Observation type,,Observation,,,2. Visit Number,3 = Week 10,variable,
6,ext_bv_f10::f10pv,ext_bv_f10,,Pentavalent vaccine,,Observation,Immunization and prevention,EUPATH_0010947,5a. Pentavalent Vaccine,1=Yes; 2=No; 9=Missing,variable,
7,ext_bv_f10::f10opv,ext_bv_f10,EUPATH_0031247,Oral poliovirus (OPV) vaccine,,Observation,,,5b.  Oral Polio Vaccine (OPV),1=Yes; 2=No; 9=Missing,variable,
8,ext_bv_f10::f10rt,ext_bv_f10,,Rotarix vaccine,"Participants were randomized as to whether they would receive Rotarix or not, which was given at 10 and 17 weeks.",Observation,Immunization and prevention,EUPATH_0010947,5c. Rotarix (Groups A and B only,1=Yes; 2=No; 9=Missing,variable,
9,ext_bv_f10::f10stl,ext_bv_f10,EUPATH_0041019,Stool collected,,Sample,,,6a. Clinic Visit Stool (BVC-SID-10-03),1=Yes; 2=No; 9=Missing,variable,
1,ext_bv_f104::pid,ext_bv_f104,EUPATH_0000095,Participant ID,,Participant,,,Child Identification,,variable,
2,ext_bv_f104::f104dt,ext_bv_f104,EUPATH_0004991,Observation date,,Observation,,,1. Date of visit,,variable,
3,ext_bv_f104::f104vn,ext_bv_f104,BFO_0000015,Observation type,,Observation,,,2. Visit Number,13= Week 104,variable,
6,ext_bv_f104::f104q,ext_bv_f104,,L/M solution volume (mL),,Sample,Urine test,EUPATH_0011797,6a.  Quantity of L/M solution administered in ml (2ml / Kg),99 = missing,variable,
7,ext_bv_f104::f104st,ext_bv_f104,,Urine collection start time,,Sample,Urine sample collection process,EUPATH_0011473,6b. Start time of testing (time administration completed),,variable,
8,ext_bv_f104::f104et,ext_bv_f104,,Urine collection end time,,Sample,Urine sample collection process,EUPATH_0011473,6c. End time of L/M urine collection,,variable,
9,ext_bv_f104::f104ml,ext_bv_f104,EUPATH_0011194,Urine volume (mL),,Sample,,,6d. Total L/M urine volume (ml),999 = missing,variable,
10,ext_bv_f104::f104pr,ext_bv_f104,,Urine stored with preservative,,Sample,Urine sample collection process,EUPATH_0011473,6e. Was (10-15 ml) laiquot of L/M urine stored with preservative?,1=Yes; 2=No; 9=Missing,variable,
11,ext_bv_f104::f104ur,ext_bv_f104,EUPATH_0033265,Urine collected,,Sample,,,7a. L/M Urine  (BVC-SID-44-04),1=Yes; 2=No; 9=Missing,variable,
12,ext_bv_f104::f104stl,ext_bv_f104,EUPATH_0041019,Stool collected,,Sample,,,7b. Clinic Visit Stool  (BVC-SID-10-13),1=Yes; 2=No; 9=Missing,variable,
13,ext_bv_f104::f104bld,ext_bv_f104,EUPATH_0033146,Blood sample collected,,Sample,,,7c. Blood (BVC-SID-33-05),1=Yes; 2=No; 9=Missing,variable,
14,ext_bv_f104::f104slv,ext_bv_f104,,Saliva collected,,Sample,Saliva sample collection process,,7d. Saliva (BVC-SID-77-02),1=Yes; 2=No; 9=Missing,variable,
15,ext_bv_f104::f104bay,ext_bv_f104,,Bayley Scales of Infant and Toddler Development completed,Completed at 78 and 104 weeks.,Observation,Bayley scales of infant and toddler development,,8a. Bayley Scales of Infant and Toddler Development,"1=Yes; 2=No; 8 = Refused V7 consent;
9 = Missing",variable,
16,ext_bv_f104::f104bydt,ext_bv_f104,,Bayley Scales assessment date,Completed at 78 and 104 weeks.,Observation,Bayley scales of infant and toddler development,,8a1. Date of assessment of Bayley,,variable,
17,ext_bv_f104::f104fci,ext_bv_f104,,Family care indicators completed,Completed at 78 and 104 weeks.,Observation,Family care indicators,,8b. Family Care Indicator,"1=Yes; 2=No; 8 = Refused V7 consent;
9 = Missing",variable,
18,ext_bv_f104::f104fcdt,ext_bv_f104,,Family care indicators assessment date,Completed at 78 and 104 weeks.,Observation,Family care indicators,,8b1. Date of assessment of FCI,,variable,
19,ext_bv_f104::f104edp,ext_bv_f104,,Edinburgh Postnatal Depression Scale completed,Completed at 104 weeks.,Observation,Edinburgh postnatal depression scale,,8c. Mother Edinburgh Postnatal      Depression Assessment,"1=Yes; 2=No; 8 = Refused V7 consent;
9 = Missing",variable,
