uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,values,boolean
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Mixed other,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,NULL,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Not stated,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Other Asian,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Other Black background,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,Other ethnic groups,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,White British,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,White Irish,
nhs 111 data feed::ethnicity,NHS,ethnicity,nhs 111 data feed,Ethnicity,NHS 111 data feed.csv,White other,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,A,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,B,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,C,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,D,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,E,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,F,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,G,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,H,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,J,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,K,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,L,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,M,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,N,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,NULL,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,P,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,R,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,S,
nhs 111 data feed::ethnic_category_code,NHS,ethnic_category_code,nhs 111 data feed,Ethnic_Category_Code,NHS 111 data feed.csv,Z,
nhs 111 data feed::firstassessmentuserskillset,NHS,firstassessmentuserskillset,nhs 111 data feed,FirstAssessmentUserSkillSet,NHS 111 data feed.csv,5,
nhs 111 data feed::firstassessmentuserskillset,NHS,firstassessmentuserskillset,nhs 111 data feed,FirstAssessmentUserSkillSet,NHS 111 data feed.csv,NULL,
nhs 111 data feed::nationalrepeatcallerstatus,NHS,nationalrepeatcallerstatus,nhs 111 data feed,NationalRepeatCallerStatus,NHS 111 data feed.csv,0,
nhs 111 data feed::nationalrepeatcallerstatus,NHS,nationalrepeatcallerstatus,nhs 111 data feed,NationalRepeatCallerStatus,NHS 111 data feed.csv,1,
nhs 111 data feed::nationalrepeatcallerstatus,NHS,nationalrepeatcallerstatus,nhs 111 data feed,NationalRepeatCallerStatus,NHS 111 data feed.csv,N,
nhs 111 data feed::nationalrepeatcallerstatus,NHS,nationalrepeatcallerstatus,nhs 111 data feed,NationalRepeatCallerStatus,NHS 111 data feed.csv,X,
nhs 111 data feed::nationalrepeatcallerstatus,NHS,nationalrepeatcallerstatus,nhs 111 data feed,NationalRepeatCallerStatus,NHS 111 data feed.csv,Y,
nhs 111 data feed::itkmessagereceived,NHS,itkmessagereceived,nhs 111 data feed,ITKMessageReceived,NHS 111 data feed.csv,NULL,
nhs 111 data feed::ccgofhomepostcode,NHS,ccgofhomepostcode,nhs 111 data feed,CCGofHomePostcode,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::ccgofcurrentlocationpostcode,NHS,ccgofcurrentlocationpostcode,nhs 111 data feed,CCGofCurrentLocationPostcode,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::cmcrecord,NHS,cmcrecord,nhs 111 data feed,CMCRecord,NHS 111 data feed.csv,0,
nhs 111 data feed::cmcrecord,NHS,cmcrecord,nhs 111 data feed,CMCRecord,NHS 111 data feed.csv,FALSE,
nhs 111 data feed::spnrecord,NHS,spnrecord,nhs 111 data feed,SPNRecord,NHS 111 data feed.csv,0,TRUE
nhs 111 data feed::spnrecord,NHS,spnrecord,nhs 111 data feed,SPNRecord,NHS 111 data feed.csv,1,TRUE
nhs 111 data feed::spnrecordtype,NHS,spnrecordtype,nhs 111 data feed,SPNRecordType,NHS 111 data feed.csv,NULL,
nhs 111 data feed::spnrecordtype,NHS,spnrecordtype,nhs 111 data feed,SPNRecordType,NHS 111 data feed.csv,No Template,
nhs 111 data feed::gender,NHS,gender,nhs 111 data feed,Gender,NHS 111 data feed.csv,F,
nhs 111 data feed::gender,NHS,gender,nhs 111 data feed,Gender,NHS 111 data feed.csv,M,
nhs 111 data feed::case_received_datetime,NHS,case_received_datetime,nhs 111 data feed,Case_Received_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::pathways_dx_final_datetime,NHS,pathways_dx_final_datetime,nhs 111 data feed,Pathways_DX_Final_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::cmsdos_datetime,NHS,cmsdos_datetime,nhs 111 data feed,CMSDos_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::warm_transfer_start_datetime,NHS,warm_transfer_start_datetime,nhs 111 data feed,Warm_Transfer_Start_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::warm_transfer_end_datetime,NHS,warm_transfer_end_datetime,nhs 111 data feed,Warm_Transfer_End_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::complete_datetime,NHS,complete_datetime,nhs 111 data feed,Complete_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::callback_end_datetime,NHS,callback_end_datetime,nhs 111 data feed,CallBack_End_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::case_active_datetime,NHS,case_active_datetime,nhs 111 data feed,Case_Active_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::pathways_dx_ch_start_datetime,NHS,pathways_dx_ch_start_datetime,nhs 111 data feed,Pathways_DX_CH_Start_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::pathways_dx_ch_end_datetime,NHS,pathways_dx_ch_end_datetime,nhs 111 data feed,Pathways_DX_CH_End_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::pathways_dx_ca_start_datetime,NHS,pathways_dx_ca_start_datetime,nhs 111 data feed,Pathways_DX_CA_Start_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::pathways_dx_ca_end_datetime,NHS,pathways_dx_ca_end_datetime,nhs 111 data feed,Pathways_DX_CA_End_Datetime,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,1,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,10,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,11,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,12,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,14,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,15,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,16,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,17,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,2,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,24,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,26,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,28,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,3,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,4,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,5,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,6,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,7,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,8,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,9,
nhs 111 data feed::ranking_of_service_accepted,NHS,ranking_of_service_accepted,nhs 111 data feed,Ranking_of_Service_Accepted,NHS 111 data feed.csv,NULL,
nhs 111 data feed::servicetypename,NHS,servicetypename,nhs 111 data feed,ServiceTypeName,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::rejectedservicetypename,NHS,rejectedservicetypename,nhs 111 data feed,RejectedServiceTypeName,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::active_date,NHS,active_date,nhs 111 data feed,Active_Date,NHS 111 data feed.csv,continuous,
nhs 111 data feed::active_time,NHS,active_time,nhs 111 data feed,Active_Time,NHS 111 data feed.csv,continuous,
nhs 111 data feed::age,NHS,age,nhs 111 data feed,Age,NHS 111 data feed.csv,continuous,
nhs 111 data feed::lsoa_home,NHS,lsoa_home,nhs 111 data feed,LSOA_Home,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::lsoa_location,NHS,lsoa_location,nhs 111 data feed,LSOA_Location,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::accepted_service_suffix,NHS,accepted_service_suffix,nhs 111 data feed,Accepted_Service_Suffix,NHS 111 data feed.csv,HOME OOH PROVIDER,
nhs 111 data feed::accepted_service_suffix,NHS,accepted_service_suffix,nhs 111 data feed,Accepted_Service_Suffix,NHS 111 data feed.csv,Home GP,
nhs 111 data feed::accepted_service_suffix,NHS,accepted_service_suffix,nhs 111 data feed,Accepted_Service_Suffix,NHS 111 data feed.csv,NULL,
nhs 111 data feed::rejected_service_suffix,NHS,rejected_service_suffix,nhs 111 data feed,Rejected_Service_Suffix,NHS 111 data feed.csv,HOME OOH PROVIDER,
nhs 111 data feed::rejected_service_suffix,NHS,rejected_service_suffix,nhs 111 data feed,Rejected_Service_Suffix,NHS 111 data feed.csv,Home GP,
nhs 111 data feed::rejected_service_suffix,NHS,rejected_service_suffix,nhs 111 data feed,Rejected_Service_Suffix,NHS 111 data feed.csv,NULL,
nhs 111 data feed::secsu_pseudo_dq_dob,NHS,secsu_pseudo_dq_dob,nhs 111 data feed,SECSU_Pseudo_DQ_DOB,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::secsu_pseudo_postcode_home_,NHS,secsu_pseudo_postcode_home_,nhs 111 data feed,SECSU_Pseudo_Postcode_Home_,NHS 111 data feed.csv,>20 categories,
nhs 111 data feed::secsu_pseudo_postcode_location_,NHS,secsu_pseudo_postcode_location_,nhs 111 data feed,SECSU_Pseudo_Postcode_Location_,NHS 111 data feed.csv,>20 categories,

