colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
27,servicecareitemname,nhs 111 data feed,,,,,,,,,,NA,NA,NA,ServiceCareItemName,nhs 111 data feed::servicecareitemname,chr,NULL,NA,NA,>10 unique values,401,0,
28,mds_finaldxcode,nhs 111 data feed,,,,,Diagnosis code,,,,,NA,NA,NA,MDS_FinalDxCode,nhs 111 data feed::mds_finaldxcode,chr,Dx22,NA,NA,>10 unique values,64,0,
29,dispositioncode,nhs 111 data feed,,,,,SD_Id?,,,,,NA,NA,NA,DispositionCode,nhs 111 data feed::dispositioncode,chr,1022,NA,NA,>10 unique values,37,0,
30,symptomgroupid_dos_,nhs 111 data feed,,,,,SG_Id?,,,,,NA,NA,NA,SymptomGroupId_DoS_,nhs 111 data feed::symptomgroupid_dos_,chr,1169,NA,NA,>10 unique values,115,0,
31,symptomgroupid_pathways_,nhs 111 data feed,,,,,SG_Id?,,,,,NA,NA,NA,SymptomGroupId_Pathways_,nhs 111 data feed::symptomgroupid_pathways_,chr,1169,NA,NA,>10 unique values,90,0,
32,symptomdiscriminatorid_dos_,nhs 111 data feed,,,,,SD_Id?,,,,,NA,NA,NA,SymptomDiscriminatorId_DoS_,nhs 111 data feed::symptomdiscriminatorid_dos_,chr,4047,NA,NA,>10 unique values,34,0,
33,symptomdiscriminatorid_pathways_,nhs 111 data feed,,,,,SD_Id?,,,,,NA,NA,NA,SymptomDiscriminatorId_Pathways_,nhs 111 data feed::symptomdiscriminatorid_pathways_,chr,4047,NA,NA,>10 unique values,54,0,
34,rejectedexceptionid,nhs 111 data feed,,,,,,,,,,NA,NA,NA,RejectedExceptionId,nhs 111 data feed::rejectedexceptionid,chr,NULL,NA,NA,"15, 21, 22, 23, 24, 25, 26, 27, 28, NULL",10,0,
35,referralexceptionreason,nhs 111 data feed,,,,,,,,,,NA,NA,NA,ReferralExceptionReason,nhs 111 data feed::referralexceptionreason,chr,NULL,NA,NA,"Caller Unable To Access Service Due To Transport / Distance, NULL, Other Service Accepted, Patient Contacting Own GP, Patient Declined Service, Patient out of area, Recommended service declined the referral, Recommended service not available for capacity reasons, Recommended service not clinically appropriate, Unable To Contact Recommended Service",10,0,
36,rejectedservicecareitemid,nhs 111 data feed,,,,,,,,,,NA,NA,NA,RejectedServiceCareItemId,nhs 111 data feed::rejectedservicecareitemid,chr,NULL,NA,NA,>10 unique values,249,0,
37,rejectedservicecareitemname,nhs 111 data feed,,,,,,,,,,NA,NA,NA,RejectedServiceCareItemName,nhs 111 data feed::rejectedservicecareitemname,chr,NULL,NA,NA,>10 unique values,284,0,
38,gp_appointment_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,GP_Appointment_Datetime,nhs 111 data feed::gp_appointment_datetime,chr,NULL,date?,NA,"00:00.0, 14:59.0, 15:00.0, 19:59.0, 20:00.0, 29:59.0, 39:59.0, 45:00.0, 59:59.0, NULL",10,0,
39,dos_itk_message_format,nhs 111 data feed,,,,,,,,,,NA,NA,NA,DoS_ITK_message_format,nhs 111 data feed::dos_itk_message_format,chr,NULL,NA,NA,"EMAIL, ITK, NULL, UNKNOWN",4,0,
40,firstlanguage,nhs 111 data feed,,,,,,,,,,NA,NA,NA,FirstLanguage,nhs 111 data feed::firstlanguage,chr,NULL,NA,NA,>10 unique values,24,0,
41,ambulancecadnumber,nhs 111 data feed,,,,,,,,,,NA,NA,NA,AmbulanceCADNumber,nhs 111 data feed::ambulancecadnumber,chr,NULL,NA,NA,>10 unique values,41,0,
42,ethnicity,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Ethnicity,nhs 111 data feed::ethnicity,chr,NULL,NA,NA,>10 unique values,18,0,
43,ethnic_category_code,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Ethnic_Category_Code,nhs 111 data feed::ethnic_category_code,chr,NULL,NA,NA,>10 unique values,18,0,
44,firstassessmentuserskillset,nhs 111 data feed,,,,,,,,,,NA,NA,NA,FirstAssessmentUserSkillSet,nhs 111 data feed::firstassessmentuserskillset,chr,5,NA,NA,"5, NULL",2,0,
45,nationalrepeatcallerstatus,nhs 111 data feed,,,,,,,,,,NA,NA,NA,NationalRepeatCallerStatus,nhs 111 data feed::nationalrepeatcallerstatus,chr,0,NA,NA,"0, 1, N, X, Y",5,0,
46,itkmessagereceived,nhs 111 data feed,,,,,,,,,,NA,NA,NA,ITKMessageReceived,nhs 111 data feed::itkmessagereceived,chr,NULL,NA,NA,NULL,1,0,
47,ccgofhomepostcode,nhs 111 data feed,,,,,,,,,,NA,NA,NA,CCGofHomePostcode,nhs 111 data feed::ccgofhomepostcode,chr,NHS NEWHAM CCG,NA,NA,>10 unique values,33,0,
48,ccgofcurrentlocationpostcode,nhs 111 data feed,,,,,,,,,,NA,NA,NA,CCGofCurrentLocationPostcode,nhs 111 data feed::ccgofcurrentlocationpostcode,chr,NHS NEWHAM CCG,NA,NA,>10 unique values,33,0,
49,cmcrecord,nhs 111 data feed,,,,,,,,,,NA,NA,NA,CMCRecord,nhs 111 data feed::cmcrecord,chr,FALSE,NA,NA,"0, FALSE",2,0,
50,spnrecord,nhs 111 data feed,,,,,,,,,,NA,NA,NA,SPNRecord,nhs 111 data feed::spnrecord,int,0,NA,NA,0 to 1,2,0,
51,spnrecordtype,nhs 111 data feed,,,,,,,,,,NA,NA,NA,SPNRecordType,nhs 111 data feed::spnrecordtype,chr,NULL,NA,NA,"NULL, No Template",2,0,
52,gender,nhs 111 data feed,,,,,Gender (not sex-check w/ont for IRI),,,,,NA,NA,NA,Gender,nhs 111 data feed::gender,chr,M,NA,NA,"F, M",2,0,
53,case_received_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Case_Received_Datetime,nhs 111 data feed::case_received_datetime,chr,59:00.0,date?,NA,>10 unique values,864,0,
54,pathways_dx_final_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Pathways_DX_Final_Datetime,nhs 111 data feed::pathways_dx_final_datetime,chr,08:06.0,date?,NA,>10 unique values,865,0,
55,cmsdos_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,CMSDos_Datetime,nhs 111 data feed::cmsdos_datetime,chr,07:35.0,date?,NA,>10 unique values,700,0,
56,warm_transfer_start_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Warm_Transfer_Start_Datetime,nhs 111 data feed::warm_transfer_start_datetime,chr,NULL,date?,NA,>10 unique values,102,0,
57,warm_transfer_end_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Warm_Transfer_End_Datetime,nhs 111 data feed::warm_transfer_end_datetime,chr,NULL,date?,NA,>10 unique values,98,0,
58,complete_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Complete_Datetime,nhs 111 data feed::complete_datetime,chr,08:15.0,date?,NA,>10 unique values,879,0,
59,callback_end_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,CallBack_End_Datetime,nhs 111 data feed::callback_end_datetime,chr,NULL,date?,NA,>10 unique values,106,0,
60,case_active_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Case_Active_Datetime,nhs 111 data feed::case_active_datetime,chr,01:53.0,date?,NA,>10 unique values,874,0,
61,pathways_dx_ch_start_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Pathways_DX_CH_Start_Datetime,nhs 111 data feed::pathways_dx_ch_start_datetime,chr,01:54.0,date?,NA,>10 unique values,835,0,
62,pathways_dx_ch_end_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Pathways_DX_CH_End_Datetime,nhs 111 data feed::pathways_dx_ch_end_datetime,chr,08:06.0,date?,NA,>10 unique values,858,0,
63,pathways_dx_ca_start_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Pathways_DX_CA_Start_Datetime,nhs 111 data feed::pathways_dx_ca_start_datetime,chr,NULL,date?,NA,>10 unique values,245,0,
64,pathways_dx_ca_end_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Pathways_DX_CA_End_Datetime,nhs 111 data feed::pathways_dx_ca_end_datetime,chr,NULL,date?,NA,>10 unique values,240,0,
65,ranking_of_service_accepted,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Ranking_of_Service_Accepted,nhs 111 data feed::ranking_of_service_accepted,chr,NULL,NA,NA,>10 unique values,20,0,
66,servicetypename,nhs 111 data feed,,,,,,,,,,NA,NA,NA,ServiceTypeName,nhs 111 data feed::servicetypename,chr,NULL,NA,NA,>10 unique values,28,0,
67,rejectedservicetypename,nhs 111 data feed,,,,,,,,,,NA,NA,NA,RejectedServiceTypeName,nhs 111 data feed::rejectedservicetypename,chr,NULL,NA,NA,>10 unique values,26,0,
68,active_date,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Active_Date,nhs 111 data feed::active_date,int,20140808,date?,NA,20120606 to 20190917,776,0,
69,active_time,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Active_Time,nhs 111 data feed::active_time,int,140153,NA,NA,57 to 235508,993,0,
70,age,nhs 111 data feed,,Age (years),,,We don't currently have Age (years) IRI,,,,,NA,NA,NA,Age,nhs 111 data feed::age,int,30,NA,NA,1 to 92,89,0,
71,lsoa_home,nhs 111 data feed,,,,,,,,,,NA,NA,NA,LSOA_Home,nhs 111 data feed::lsoa_home,chr,E01003537,NA,NA,>10 unique values,568,0,
72,lsoa_location,nhs 111 data feed,,,,,,,,,,NA,NA,NA,LSOA_Location,nhs 111 data feed::lsoa_location,chr,E01033583,NA,NA,>10 unique values,585,0,
73,accepted_service_suffix,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Accepted_Service_Suffix,nhs 111 data feed::accepted_service_suffix,chr,NULL,NA,NA,"HOME OOH PROVIDER, Home GP, NULL",3,0,
74,rejected_service_suffix,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Rejected_Service_Suffix,nhs 111 data feed::rejected_service_suffix,chr,NULL,NA,NA,"HOME OOH PROVIDER, Home GP, NULL",3,0,
75,secsu_pseudo_dq_dob,nhs 111 data feed,,,,,,,,,,NA,NA,NA,SECSU_Pseudo_DQ_DOB,nhs 111 data feed::secsu_pseudo_dq_dob,chr,IYOAWDP2,NA,NA,>10 unique values,735,0,
76,secsu_pseudo_postcode_home_,nhs 111 data feed,,,,,,,,,,NA,NA,NA,SECSU_Pseudo_Postcode_Home_,nhs 111 data feed::secsu_pseudo_postcode_home_,chr,WHH7OGKB,NA,NA,>10 unique values,754,0,
77,secsu_pseudo_postcode_location_,nhs 111 data feed,,,,,,,,,,NA,NA,NA,SECSU_Pseudo_Postcode_Location_,nhs 111 data feed::secsu_pseudo_postcode_location_,chr,HC7V1PL9,NA,NA,>10 unique values,800,0,

