variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider
dfseq7,gems1_huas_data.sas7bdat,,,num,,1,,,,,158,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq8,gems1_huas_data.sas7bdat,,,num,,1,,,,,183,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq9,gems1_huas_data.sas7bdat,,,num,,1,,,,,199,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus1,gems1_huas_data.sas7bdat,,,num,,1,,,,,8,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus10,gems1_huas_data.sas7bdat,,,num,,1,,,,,255,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus11,gems1_huas_data.sas7bdat,,,num,,1,,,,,273,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus12,gems1_huas_data.sas7bdat,,,num,,1,,,,,306,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus13,gems1_huas_data.sas7bdat,,,num,,1,,,,,326,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus14,gems1_huas_data.sas7bdat,,,num,,1,,,,,346,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus2,gems1_huas_data.sas7bdat,,,num,,1,,,,,30,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus3,gems1_huas_data.sas7bdat,,,num,,1,,,,,44,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus4,gems1_huas_data.sas7bdat,,,num,,1,,,,,84,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus5,gems1_huas_data.sas7bdat,,,num,,1,,,,,101,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus6,gems1_huas_data.sas7bdat,,,num,,1,,,,,131,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus7,gems1_huas_data.sas7bdat,,,num,,1,,,,,156,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus8,gems1_huas_data.sas7bdat,,,num,,1,,,,,181,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfstatus9,gems1_huas_data.sas7bdat,,,num,,1,,,,,197,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid1,gems1_huas_data.sas7bdat,,,num,,5,,,,,9,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid10,gems1_huas_data.sas7bdat,,,num,,5,,,,,256,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid11,gems1_huas_data.sas7bdat,,,num,,5,,,,,274,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid12,gems1_huas_data.sas7bdat,,,num,,5,,,,,307,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid13,gems1_huas_data.sas7bdat,,,num,,5,,,,,327,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid14,gems1_huas_data.sas7bdat,,,num,,5,,,,,347,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid2,gems1_huas_data.sas7bdat,,,num,,5,,,,,31,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid3,gems1_huas_data.sas7bdat,,,num,,5,,,,,45,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid4,gems1_huas_data.sas7bdat,,,num,,5,,,,,85,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid5,gems1_huas_data.sas7bdat,,,num,,5,,,,,102,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid6,gems1_huas_data.sas7bdat,,,num,,5,,,,,132,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid7,gems1_huas_data.sas7bdat,,,num,,5,,,,,157,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid8,gems1_huas_data.sas7bdat,,,num,,5,,,,,182,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfvalid9,gems1_huas_data.sas7bdat,,,num,,5,,,,,198,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2",,,,,NA,14,15,,variable not in HUAS codebook (CRF01 HUAS)
diarrhea_new,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2",,,,,NA,NA,74,,variable not in HUAS codebook (CRF01 HUAS)
died_blood,gems1_huas_data.sas7bdat,,,num,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Bloody diarrhea.,"1=No, 2=Yes, NA=NA",,,,,319,NA,NA,,
died_loose,gems1_huas_data.sas7bdat,,,num,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Simple loose/watery diarrhea.,"1=No, 2=Yes, NA=NA",,,,,317,NA,NA,,
died_rice,gems1_huas_data.sas7bdat,,,num,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Rice watery/cholera-like illness.,"1=No, 2=Yes, NA=NA",,,,,318,NA,NA,,
diff_chldcare,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of childcare for other children. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,93,NA,NA,,
diff_cost,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Costs too much money. Select all that apply.,"0=No, 1=Yes",,,,,89,NA,NA,,
diff_flood,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Flood. Select all that apply.,"0=No, 1=Yes",,,,,87,NA,NA,,
diff_noprob,gems1_huas_data.sas7bdat,,,num,C23.2: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Never a problem. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,95,NA,NA,,
diff_othr,gems1_huas_data.sas7bdat,,,num,"C23.1: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Other, specify. Select all that apply.","0=No, 1=Yes",,,,,90,NA,NA,,
diff_politic,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Political unrest. Select all that apply.,"0=No, 1=Yes",,,,,92,NA,NA,,
diff_rain,gems1_huas_data.sas7bdat,,,num,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Heavy rain. Select all that apply.,"0=No, 1=Yes",,,,,94,NA,NA,,
