variable,variable_huas,variable_lite,variable_kenya,dataFile,type,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,codebookValues,codebookDescription
age_weight,age_weight,NA,NA,gems1_huas_data.sas7bdat,num,399,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
agecat,agecat,NA,NA,gems1_huas_data.sas7bdat,num,364,NA,NA,,,"1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months, 4=60+ months, 5=Interview date missing, 6=Birthdate missing or invalid, 7=<0 months",A06.2: Eligibility information. Age category.
agegender,AgeGender,NA,NA,gems1_huas_data.sas7bdat,num,366,NA,NA,,,"1=Male, 0-11 months, 2=Female, 0-11 months, 3=Male, 12-23 months, 4=Female, 12-23 months, 5=Male, 24-59 months, 6=Female, 24-59 months, 99=Missing/error",A06.3: Eligibility information. Age/gender category.
agestratum,AGESTRATUM,NA,AGESTRATUM,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",num,11,NA,77,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months",A01: Eligibility information. Child's age stratum (in months) according to the census.
agree_doc,AGREE_DOC,NA,NA,gems1_huas_data.sas7bdat,num,293,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA","G49: Health care attitudes. If a doctor or nurse recommended that you take your child for care at the nearest sentinel health center (specify which one), would you be likely to agree to do this. Section G: skip for children who had diarrhea in the last 2 weeks. If yes, go to G51. If no, continue."
anydiarhea,anydiarhea,NA,NA,gems1_huas_data.sas7bdat,num,415,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
aswt,NA,aswt,NA,gems1_huas_lite_data_6_sites.sas7bdat,num,NA,83,NA,,variable not in HUAS codebook (CRF01 HUAS),,
brth_da,BRTH_DA,NA,NA,gems1_huas_data.sas7bdat,num,19,NA,NA,,,,A06.6: Eligibility information. Day of birth.
brth_date,BRTH_DATE,NA,NA,gems1_huas_data.sas7bdat,date,17,NA,NA,,,,"A06: Eligibility information. Birth date of the child. Use ""00"" for day if unknown"
brth_date_str,BRTH_DATE_STR,NA,NA,gems1_huas_data.sas7bdat,chr,16,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
brth_mo,BRTH_MO,NA,NA,gems1_huas_data.sas7bdat,num,18,NA,NA,,,,A06.5: Eligibility information. Month of birth.
brth_yr,BRTH_YR,NA,NA,gems1_huas_data.sas7bdat,num,20,NA,NA,,,3=free text,A06.4: Eligibility information. Year of birth.
care,NA,NA,Care,gems1_huas_lite_data_kenya.sas7bdat,num,NA,NA,81,,variable not in HUAS codebook (CRF01 HUAS),"1, 2, 3",
care1_op,CARE1_OP,NA,NA,gems1_huas_data.sas7bdat,num,151,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",E33.1: Health care utilization. What is your opinion of the care your child received at sentinel health center 1. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks
care2_op,CARE2_OP,NA,NA,gems1_huas_data.sas7bdat,num,153,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",E33.3: Health care utilization. What is your opinion of the care your child received at sentinel health center 2. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks
care3_op,CARE3_OP,NA,NA,gems1_huas_data.sas7bdat,num,155,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",E33.5: Health care utilization. What is your opinion of the care your child received at sentinel health center 3. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks
carerec1,CAREREC1,NA,NA,gems1_huas_data.sas7bdat,num,150,NA,NA,,,,E33: Health care utilization. Health center 1 code (mention sentinel health center listed in E31.3). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks
carerec2,CAREREC2,NA,NA,gems1_huas_data.sas7bdat,num,152,NA,NA,,,,E33.2: Health care utilization. Health center 2 code (mention sentinel health center listed in E31.4). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks
carerec3,CAREREC3,NA,NA,gems1_huas_data.sas7bdat,num,154,NA,NA,,,,E33.4: Health care utilization. Health center 3 code (mention sentinel health center listed in E31.5). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks
careseek,careseek,NA,NA,gems1_huas_data.sas7bdat,num,414,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
childid,CHILDID,CHILDID,ChildID,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,2,2,6,,,,1. Child ID.
chldget_blood,CHLDGET_BLOOD,NA,NA,gems1_huas_data.sas7bdat,num,321,NA,NA,,,"1=No, 2=Yes, 3=Don't know, NA=NA",H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Bloody diarrhea.
chldget_loose,CHLDGET_LOOSE,NA,NA,gems1_huas_data.sas7bdat,num,320,NA,NA,,,"1=No, 2=Yes, 3=Don't know, NA=NA",H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Simple loose/watery diarrhea.
chldget_rice,CHLDGET_RICE,NA,NA,gems1_huas_data.sas7bdat,num,322,NA,NA,,,"1=No, 2=Yes, 3=Don't know, NA=NA",H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Rice watery/cholera-like illness.
comm_bld,comm_bld,NA,NA,gems1_huas_data.sas7bdat,num,429,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
comm_rwd,comm_rwd,NA,NA,gems1_huas_data.sas7bdat,num,428,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
comm_slwd,comm_slwd,NA,NA,gems1_huas_data.sas7bdat,num,427,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
comment,comment,NA,NA,gems1_huas_data.sas7bdat,chr,362,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),", Day 15",
common_drh,COMMON_DRH,NA,NA,gems1_huas_data.sas7bdat,num,315,NA,NA,,,"1=Simple loose/watery diarrhea, 2=Rice watery/cholera-like illness, 3=Don't know, 4=Bloody diarrhea, 5=Other, specify, NA=NA",H53: Attitudes about diarrheal illness. What is the most common diarrheal illness affecting children younger than 60 months of age in your community. Select only 1
common_spec,COMMON_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,316,NA,NA,,,,"H53.1: Attitudes about diarrheal illness. Other, specify."
consent,CONSENT,CONSENT,consent,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,13,10,11,,,"1=Yes, 2=Refused, 3=Not available after 3 attempts","A03: Eligibility information. Was consent given by the parent, primary caretaker, or guardian. If ""refused"" or ""not available after 3 attempts, stop here"
ctr1_consult,CTR1_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,230,NA,NA,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr1_diag,CTR1_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,232,NA,NA,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr1_drug,CTR1_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,231,NA,NA,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr1_othr,CTR1_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,234,NA,NA,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr1_total,CTR1_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,235,NA,NA,,,,"F42.6: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
ctr1_trnsprt,CTR1_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,233,NA,NA,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr2_consult,CTR2_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,236,NA,NA,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr2_diag,CTR2_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,238,NA,NA,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr2_drug,CTR2_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,237,NA,NA,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr2_othr,CTR2_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,240,NA,NA,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr2_total,CTR2_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,241,NA,NA,,,,"F42.7: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
ctr2_trnsprt,CTR2_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,239,NA,NA,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr3_consult,CTR3_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,242,NA,NA,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr3_diag,CTR3_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,244,NA,NA,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr3_drug,CTR3_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,243,NA,NA,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr3_othr,CTR3_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,247,NA,NA,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ctr3_total,CTR3_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,248,NA,NA,,,,"F42.8: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
ctr3_trnsprt,CTR3_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,245,NA,NA,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
dad_live,DAD_LIVE,NA,NA,gems1_huas_data.sas7bdat,num,36,NA,NA,,,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",B10: Household information. Where does the child's father live.
dayseek,DAYSEEK,DAYSEEK,dayseek,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,149,61,60,,,,E32: Health care utilization. On what day of the child's diarrhea did you seek care t the sentinel hospital/health center. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks
dayslost_care,DAYSLOST_CARE,NA,NA,gems1_huas_data.sas7bdat,num,271,NA,NA,,,,"F46: Health care expenses. How much time have you spent taking care of the child when otherwise you would have been doing productive unpaid activities (e.g. housework, taking care of other children, farming, studying, or attending school). Only complete part F if the answer to E29 is ""yes"". 1/2 morning or afternoon=0.25 days; morning or afternoon=0.5days; nything less than half a morning or afternoon=0 days"
dayslost_othrcre,DAYSLOST_OTHRCRE,NA,NA,gems1_huas_data.sas7bdat,num,272,NA,NA,,,,"F47: Health care expenses. How much time have other caregivers spent taking care of the child when otherwise they would have been doing productive unpaid activities (e.g. housework, taking care of other children, farming, studying, or attending school). Only complete part F if the answer to E29 is ""yes"". 1/2 morning or afternoon=0.25 days; morning or afternoon=0.5days; nything less than half a morning or afternoon=0 days"
decid_spec,DECID_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,98,NA,NA,,,"""""=NA, ADOPTIVE FATHER=Adoptive father, ANYONE CAN DECIDE=Anyone can decide, BOTH PARENTS=Both parents, CO-WIFE=Co-wife, COUSIN=Cousin, GRAND PRER DE PAMERE=Great grandmother, GREAT GRANDMOTHER=Great grandmother, HUSBAND'S AUNT=Great Aunt, MOTHER IN LAW=Gra","C24.1: Parents perception of illness and use of health care facility. Specify if who_decid=10 (other, specify)."
deh_coma,DEH_COMA,NA,NA,gems1_huas_data.sas7bdat,num,63,NA,NA,,,"0=No, 1=Yes",C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Coma/loss of conciousness. Select all that apply.
deh_decurin,DEH_DECURIN,NA,NA,gems1_huas_data.sas7bdat,num,58,NA,NA,,,"0=No, 1=Yes",C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Decreased urination. Select all that apply.
deh_dk,DEH_DK,NA,NA,gems1_huas_data.sas7bdat,num,66,NA,NA,,,"0=No, 1=Yes",C18.2: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Don't know. Select all that apply.
deh_dry,DEH_DRY,NA,NA,gems1_huas_data.sas7bdat,num,57,NA,NA,,,"0=No, 1=Yes",C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Dry mouth. Select all that apply.
deh_lethrgy,DEH_LETHRGY,NA,NA,gems1_huas_data.sas7bdat,num,62,NA,NA,,,"0=No, 1=Yes",C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Lethargy. Select all that apply.
deh_none,DEH_NONE,NA,NA,gems1_huas_data.sas7bdat,num,65,NA,NA,,,"0=No, 1=Yes",C18.3: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  None of the above. Select all that apply.
deh_othr,DEH_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,60,NA,NA,,,"0=No, 1=Yes","C18.1: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Other, specify. Select all that apply."
deh_sunkeyes,DEH_SUNKEYES,NA,NA,gems1_huas_data.sas7bdat,num,59,NA,NA,,,"0=No, 1=Yes",C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Sunken eyes. Select all that apply.
deh_thirst,DEH_THIRST,NA,NA,gems1_huas_data.sas7bdat,num,64,NA,NA,,,"0=No, 1=Yes",C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Thirsty. Select all that apply.
deh_wrnkskin,DEH_WRNKSKIN,NA,NA,gems1_huas_data.sas7bdat,num,61,NA,NA,,,"0=No, 1=Yes",C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Wrinkled skin. Select all that apply.
dehydr_spec,DEHYDR_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,67,NA,NA,,,,"C18.4: Parents perception of illness and use of health care facility. Specify if deh_other=1 (other, specify). Select all that apply."
dfseq1,DFSEQ1,NA,NA,gems1_huas_data.sas7bdat,num,10,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq10,DFSEQ10,NA,NA,gems1_huas_data.sas7bdat,num,257,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq11,DFSEQ11,NA,NA,gems1_huas_data.sas7bdat,num,275,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq12,DFSEQ12,NA,NA,gems1_huas_data.sas7bdat,num,308,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq13,DFSEQ13,NA,NA,gems1_huas_data.sas7bdat,num,328,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq14,DFSEQ14,NA,NA,gems1_huas_data.sas7bdat,num,348,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq2,DFSEQ2,NA,NA,gems1_huas_data.sas7bdat,num,32,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq3,DFSEQ3,NA,NA,gems1_huas_data.sas7bdat,num,46,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq4,DFSEQ4,NA,NA,gems1_huas_data.sas7bdat,num,86,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq5,DFSEQ5,NA,NA,gems1_huas_data.sas7bdat,num,103,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq6,DFSEQ6,NA,NA,gems1_huas_data.sas7bdat,num,133,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq7,DFSEQ7,NA,NA,gems1_huas_data.sas7bdat,num,158,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq8,DFSEQ8,NA,NA,gems1_huas_data.sas7bdat,num,183,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfseq9,DFSEQ9,NA,NA,gems1_huas_data.sas7bdat,num,199,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus1,DFSTATUS1,NA,NA,gems1_huas_data.sas7bdat,num,8,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus10,DFSTATUS10,NA,NA,gems1_huas_data.sas7bdat,num,255,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus11,DFSTATUS11,NA,NA,gems1_huas_data.sas7bdat,num,273,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus12,DFSTATUS12,NA,NA,gems1_huas_data.sas7bdat,num,306,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus13,DFSTATUS13,NA,NA,gems1_huas_data.sas7bdat,num,326,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus14,DFSTATUS14,NA,NA,gems1_huas_data.sas7bdat,num,346,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus2,DFSTATUS2,NA,NA,gems1_huas_data.sas7bdat,num,30,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus3,DFSTATUS3,NA,NA,gems1_huas_data.sas7bdat,num,44,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus4,DFSTATUS4,NA,NA,gems1_huas_data.sas7bdat,num,84,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus5,DFSTATUS5,NA,NA,gems1_huas_data.sas7bdat,num,101,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus6,DFSTATUS6,NA,NA,gems1_huas_data.sas7bdat,num,131,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus7,DFSTATUS7,NA,NA,gems1_huas_data.sas7bdat,num,156,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus8,DFSTATUS8,NA,NA,gems1_huas_data.sas7bdat,num,181,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfstatus9,DFSTATUS9,NA,NA,gems1_huas_data.sas7bdat,num,197,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),1,
dfvalid1,DFVALID1,NA,NA,gems1_huas_data.sas7bdat,num,9,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid10,DFVALID10,NA,NA,gems1_huas_data.sas7bdat,num,256,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid11,DFVALID11,NA,NA,gems1_huas_data.sas7bdat,num,274,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid12,DFVALID12,NA,NA,gems1_huas_data.sas7bdat,num,307,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid13,DFVALID13,NA,NA,gems1_huas_data.sas7bdat,num,327,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid14,DFVALID14,NA,NA,gems1_huas_data.sas7bdat,num,347,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid2,DFVALID2,NA,NA,gems1_huas_data.sas7bdat,num,31,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid3,DFVALID3,NA,NA,gems1_huas_data.sas7bdat,num,45,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid4,DFVALID4,NA,NA,gems1_huas_data.sas7bdat,num,85,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid5,DFVALID5,NA,NA,gems1_huas_data.sas7bdat,num,102,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid6,DFVALID6,NA,NA,gems1_huas_data.sas7bdat,num,132,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid7,DFVALID7,NA,NA,gems1_huas_data.sas7bdat,num,157,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid8,DFVALID8,NA,NA,gems1_huas_data.sas7bdat,num,182,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
dfvalid9,DFVALID9,NA,NA,gems1_huas_data.sas7bdat,num,198,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),5,
diarrhea,NA,DIARRHEA,diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,14,15,,variable not in HUAS codebook (CRF01 HUAS),"0, 1, 2",
diarrhea_new,NA,NA,diarrhea_new,gems1_huas_lite_data_kenya.sas7bdat,num,NA,NA,74,,variable not in HUAS codebook (CRF01 HUAS),"1, 2",
died_blood,DIED_BLOOD,NA,NA,gems1_huas_data.sas7bdat,num,319,NA,NA,,,"1=No, 2=Yes, NA=NA",H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Bloody diarrhea.
died_loose,DIED_LOOSE,NA,NA,gems1_huas_data.sas7bdat,num,317,NA,NA,,,"1=No, 2=Yes, NA=NA",H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Simple loose/watery diarrhea.
