<<<<<<< .mine,,,,,
variable,dataFile,codebookDescription,suggested_IRI,suggested_label,
doc_total,gems1_huas_data.sas7bdat,"F42.3: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0010247,"Unlicensed doctor, total expenses",
doc_trnsprt,gems1_huas_data.sas7bdat,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010248,"Unlicensed doctor, transport expenses",
drh_blood,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Blood in stool. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015059,Blood in stools,
drh_coma,gems1_huas_data.sas7bdat,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Coma / loss of conciousness. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015068,Loss of consciousness,
drh_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",D28: Diarrhea history. How many days did the child have diarrhea. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0000157,Diarrhea duration (days),
drh_days_last,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=\yes\""""",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
drh_dry,gems1_huas_data.sas7bdat,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Dry mouth. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010292,Dry mouth,
drh_dry,gems1_huas_data.sas7bdat,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Dry mouth. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015080,Dry mouth,
drh_fever,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Fever. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0021096,Fever in last 2 weeks,
drh_mucus,gems1_huas_data.sas7bdat,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Mucus / pus in stool. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0000711,Mucus in stool,
drh_thirst,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Very thirsty. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015061,Very thirsty,
drh_vomit,gems1_huas_data.sas7bdat,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Vomiting (3 or more times per day). Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015060,Vomiting 3 or more times per day,
drh_vomit,gems1_huas_data.sas7bdat,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Vomiting (3 or more times per day). Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015186,Vomiting 3 or more times per day,
floor,gems1_huas_data.sas7bdat,B16: Household information. What is the predominant floor inside the house.,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,
gender,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",A05: Eligibility information. Is the child a boy or girl.,http://purl.obolibrary.org/obo/PATO_0000047,Sex,
healer,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,
healer,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0010245,"Traditional healer, medical expenses",
healer,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0010246,"Traditional healer, transport expenses",
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010245,"Traditional healer, medical expenses",
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010246,"Traditional healer, transport expenses",
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
healer_consult,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010266,"Hospitalization or visit, consultation expenses",
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010245,"Traditional healer, medical expenses",
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010246,"Traditional healer, transport expenses",
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
healer_diag,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010245,"Traditional healer, medical expenses",
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010246,"Traditional healer, transport expenses",
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
healer_drug,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010245,"Traditional healer, medical expenses",
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010246,"Traditional healer, transport expenses",
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
healer_othr,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0010239,Describe stool since the illness began,
healer_total,gems1_huas_data.sas7bdat,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the \""Total\"" boxes only if the respondent cannot break down the expenses. DO NOT calculate \""total\"" from all the columns.""",http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,
