colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,newLabel
16,,,malariatestresult,umsp,http://purl.obolibrary.org/obo/EUPATH_0033244,"Plasmodium, by multiple methods",,sample,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308,Malaria test result,"0 - Negative
1 - Positive
2 - Missing
9 - Not applicable",variable,,,,
18,,,newpresumedtbcase,umsp,http://purl.obolibrary.org/obo/EUPATH_0040015,New presumed tb case,,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,New presumed TB case,,variable,,,,
19,,,diagnosis1,umsp,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,1st diagnosis given,0 - No diagnosos,,,,,
20,,,diagnosis2,umsp,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,2nd diagnosis given,0 - No diagnosos,,,,,
21,,,diagnosis3,umsp,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,3rd diagnosis given,0 - No diagnosos,,,,,
22,,,diagnosis4,umsp,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,4th diagnosis given,0 - No diagnosos,,,,,
23,,,diagnosis5,umsp,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,5th diagnosis given,0 - No diagnosos,,,,,
24,,,diagnosis6,umsp,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,6th diagnosis given,0 - No diagnosos,,,,,
25,,,diagnosis7,umsp,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,7th diagnosis given,0 - No diagnosos,,,,,
26,,,diagnosis8,umsp,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,8th diagnosis given,0 - No diagnosos,,,,,
27,,,treatment1,umsp,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,1st medication prescribed,0 - No treatment,,,,,
28,,,treatment2,umsp,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,2nd medication prescribed,0 - No treatment,,,,,
29,,,treatment3,umsp,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,3rd medication prescribed,0 - No treatment,,,,,
30,,,treatment4,umsp,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,4th medication prescribed,0 - No treatment,,,,,
31,,,treatment5,umsp,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,5th medication prescribed,0 - No treatment,,,,,
32,,,treatment6,umsp,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,6th medication prescribed,0 - No treatment,,,,,
33,,,treatment7,umsp,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,7th medication prescribed,0 - No treatment,,,,,
34,,,treatment8,umsp,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,8th medication prescribed,0 - No treatment,,,,,
35,,,disability,umsp,http://purl.obolibrary.org/obo/EUPATH_0040012,Disability present,,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Any form of disability present,"0 - No
1 - Yes
9 - Missing",variable,,,,
38,,,malariapreg,umsp,http://purl.obolibrary.org/obo/EUPATH_0040013,Malaria diagnosis in pregnancy,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Whether malaria in pregnancy diagnosed,"0 - No
1 - Yes",variable,,,,
39,,,clinicalmalaria,umsp,http://purl.obolibrary.org/obo/EUPATH_0000036,Malaria diagnosis,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Whether given a clinical diagnosis of malaria,"0 - No
1 - Yes",variable,,,,
40,,,antimalarial,umsp,http://purl.obolibrary.org/obo/EUPATH_0023040,Initiated antimalerial treatment,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,Whether any anitmalarial prescribed,"0 - No
1 - Yes",variable,,,,
41,,,AQ,umsp,http://purl.obolibrary.org/obo/EUPATH_0040001,Amodiaquine prescribed,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether amodiaquine prescribed,"0 - No
1 - Yes",value,,,,
42,,,AR,umsp,http://purl.obolibrary.org/obo/EUPATH_0040002,Aremether prescribed,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether aremether prescribed,"0 - No
1 - Yes",value,,,,
43,,,AS,umsp,http://purl.obolibrary.org/obo/EUPATH_0040003,Artesunate prescribed,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether artesunate prescribed,"0 - No
1 - Yes",value,,,,
44,,,CQ,umsp,http://purl.obolibrary.org/obo/EUPATH_0040004,Chloroquine prescribed,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether chloroquine prescribed,"0 - No
1 - Yes",value,,,,
45,,,AL,umsp,http://purl.obolibrary.org/obo/EUPATH_0040005,Artemether-lumefantrine prescribed,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether artemether-lumefantrine prescribed,"0 - No
1 - Yes",value,,,,
46,,,DP,umsp,http://purl.obolibrary.org/obo/EUPATH_0040006,Diydroartemisinin-piperaquine prescribed ,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether diydroartemisinin-piperaquine prescribed ,"0 - No
1 - Yes",value,,,,
47,,,Quinine,umsp,http://purl.obolibrary.org/obo/EUPATH_0040007,Quinine prescribed,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether quinine prescribed,"0 - No
1 - Yes",value,,,,
48,,,SP,umsp,http://purl.obolibrary.org/obo/EUPATH_0040008,Sulfadoxine-pyrimethamine prescribed,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether sulfadoxine-pyrimethamine prescribed,"0 - No
1 - Yes",value,,,,
49,,,Arco,umsp,http://purl.obolibrary.org/obo/EUPATH_0040009,Artemisinin-naphthoquine prescribed,,observation,Malaria treatment,http://purl.obolibrary.org/obo/EUPATH_0000740,Whether artemisinin-naphthoquine prescribed,"0 - No
1 - Yes",value,,,,
51,,,malariasuspected,umsp,http://purl.obolibrary.org/obo/EUPATH_0000090,Malaria suspected,,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Whether malaria was suspected = any malaria test result OR clinical diagnosis of malaria without test result,"0 - No
1 - Yes",variable,,,,
53,,,antimalarialcat,umsp,http://purl.obolibrary.org/obo/EUPATH_0000058,Antimalarial drug category,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,Antimalarial drug category,"1 - artemether-lumefantrine
2 - quinine
3 - other antimalarial",variable,,,,
,,,,,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000740,Malaria treatment,,,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,,,,,
,,,,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,,,,
,,,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,,,,,
,,,,,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,,,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,,,,
,,,,,,Observation details,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,,,,
,,,,,,Anthropometry,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,,,,
,,,,,,Plasmodium in blood,,,Eukaryota in blood,http://purl.obolibrary.org/obo/EUPATH_0033307,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0020005,Blood microbiology test,,,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,,,,,
,,,,,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0011800,Microbiology tests performed,,,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,,,,,,,
