variable	variable2	values	mappedTerm	valueOrder
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	5	Charcoal	""
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	6	Firewood	""
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	7	Straw, shrubs or grass	""
household level data 25m survey_final::fueltype	household level data 25m survey_final::fueltype	95	No food cooked in household	""
household level data 25m survey_final::otherfuel	household level data 25m survey_final::otherfuel	-9	:::UNDEF:::	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	-9	:::UNDEF:::	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	1	Electricity	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	2	Solar	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	3	Gas	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	4	Paraffin hurricane lamp	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	5	Paraffin pressure lamp	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	6	Paraffin wick lamp	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	7	Firewood or coal	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	8	Candles	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	9	Flashlight (including mobile phone light) or battery powered lamp	""
household level data 25m survey_final::senergy	household level data 25m survey_final::senergy	96	No light source	""
household level data 25m survey_final::othereng	household level data 25m survey_final::othereng	-9	:::UNDEF:::	""
household level data 25m survey_final::othereng	household level data 25m survey_final::othereng	PHONE TORCH	PHONE TORCH	""
household level data 25m survey_final::mmfloor	household level data 25m survey_final::mmfloor	-9	:::UNDEF:::	""
household level data 25m survey_final::mmfloor	household level data 25m survey_final::mmfloor	11	Earth or sand	""
household level data 25m survey_final::mmfloor	household level data 25m survey_final::mmfloor	12	Earth and dung	""
household level data 25m survey_final::mmfloor	household level data 25m survey_final::mmfloor	31	Parquet or polished wood	""
household level data 25m survey_final::mmfloor	household level data 25m survey_final::mmfloor	33	Mosaic or tiles	""
household level data 25m survey_final::mmfloor	household level data 25m survey_final::mmfloor	34	Bricks	""
household level data 25m survey_final::mmfloor	household level data 25m survey_final::mmfloor	35	Cement or concrete	""
household level data 25m survey_final::mmfloor	household level data 25m survey_final::mmfloor	36	Stones	""
household level data 25m survey_final::othermmf	household level data 25m survey_final::othermmf	-9	:::UNDEF:::	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	-9	:::UNDEF:::	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	11	Thatched (including papyrus)	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	12	Mud	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	21	Wood or planks	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	22	Metal sheets	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	23	Asbestos	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	24	Tiles	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	26	Cement	""
household level data 25m survey_final::mmroof	household level data 25m survey_final::mmroof	96	Tarpaulin	""
household level data 25m survey_final::othermmr	household level data 25m survey_final::othermmr	-9	:::UNDEF:::	""
household level data 25m survey_final::othermmr	household level data 25m survey_final::othermmr	POLYTHEN PAPER	POLYTHEN PAPER	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	-9	:::UNDEF:::	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	11	Thatched or straw	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	21	Mud and poles	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	22	Un-burned bricks	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	23	Un-burned bricks with plaster or cement	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	24	Burned bricks with mud	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	31	Cement blocks	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	32	Stone	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	33	Timber	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	34	Burned bricks with plaster or cement	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	35	Metal sheets	""
household level data 25m survey_final::mmewalls	household level data 25m survey_final::mmewalls	96	:::UNDEF:::	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	-9	:::UNDEF:::	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	MUD	MUD	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	MUD AND PLASTER	MUD AND PLASTER	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	MUD AND STONE	MUD AND STONE	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	MUD POLES AND CEMENT	MUD POLES AND CEMENT	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	MUD WITH PLASTER	MUD WITH PLASTER	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	MUD, PLASTER AND CEMENT	MUD, PLASTER AND CEMENT	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	POLES, MUD, PLASTER	POLES, MUD, PLASTER	""
household level data 25m survey_final::othermme	household level data 25m survey_final::othermme	STONE PLASTER CEMENT	STONE PLASTER CEMENT	""
household level data 25m survey_final::eaves	household level data 25m survey_final::eaves	-9	:::UNDEF:::	""
household level data 25m survey_final::eaves	household level data 25m survey_final::eaves	1	Open	""
household level data 25m survey_final::eaves	household level data 25m survey_final::eaves	2	Closed	""
household level data 25m survey_final::windows	household level data 25m survey_final::windows	-9	:::UNDEF:::	""
household level data 25m survey_final::windows	household level data 25m survey_final::windows	0	No	""
household level data 25m survey_final::windows	household level data 25m survey_final::windows	1	Yes	""
household level data 25m survey_final::covered	household level data 25m survey_final::covered	-9	Not applicable	""
household level data 25m survey_final::covered	household level data 25m survey_final::covered	0	No	""
household level data 25m survey_final::covered	household level data 25m survey_final::covered	1	Yes	""
household level data 25m survey_final::electricity	household level data 25m survey_final::electricity	-9	:::UNDEF:::	""
household level data 25m survey_final::electricity	household level data 25m survey_final::electricity	0	No	""
household level data 25m survey_final::electricity	household level data 25m survey_final::electricity	1	Yes	""
household level data 25m survey_final::radio	household level data 25m survey_final::radio	-9	:::UNDEF:::	""
household level data 25m survey_final::radio	household level data 25m survey_final::radio	0	No	""
household level data 25m survey_final::radio	household level data 25m survey_final::radio	1	Yes	""
household level data 25m survey_final::cassette	household level data 25m survey_final::cassette	-9	:::UNDEF:::	""
household level data 25m survey_final::cassette	household level data 25m survey_final::cassette	0	No	""
household level data 25m survey_final::cassette	household level data 25m survey_final::cassette	1	Yes	""
household level data 25m survey_final::tv	household level data 25m survey_final::tv	-9	:::UNDEF:::	""
household level data 25m survey_final::tv	household level data 25m survey_final::tv	0	No	""
household level data 25m survey_final::tv	household level data 25m survey_final::tv	1	Yes	""
household level data 25m survey_final::fridge	household level data 25m survey_final::fridge	-9	:::UNDEF:::	""
household level data 25m survey_final::fridge	household level data 25m survey_final::fridge	0	No	""
household level data 25m survey_final::fridge	household level data 25m survey_final::fridge	1	Yes	""
household level data 25m survey_final::tble	household level data 25m survey_final::tble	-9	:::UNDEF:::	""
household level data 25m survey_final::tble	household level data 25m survey_final::tble	0	No	""
household level data 25m survey_final::tble	household level data 25m survey_final::tble	1	Yes	""
household level data 25m survey_final::chair	household level data 25m survey_final::chair	-9	:::UNDEF:::	""
household level data 25m survey_final::chair	household level data 25m survey_final::chair	0	No	""
household level data 25m survey_final::chair	household level data 25m survey_final::chair	1	Yes	""
household level data 25m survey_final::sofa	household level data 25m survey_final::sofa	-9	:::UNDEF:::	""
household level data 25m survey_final::sofa	household level data 25m survey_final::sofa	0	No	""
household level data 25m survey_final::sofa	household level data 25m survey_final::sofa	1	Yes	""
household level data 25m survey_final::bed	household level data 25m survey_final::bed	-9	:::UNDEF:::	""
household level data 25m survey_final::bed	household level data 25m survey_final::bed	0	No	""
household level data 25m survey_final::bed	household level data 25m survey_final::bed	1	Yes	""
household level data 25m survey_final::cupboard	household level data 25m survey_final::cupboard	-9	:::UNDEF:::	""
household level data 25m survey_final::cupboard	household level data 25m survey_final::cupboard	0	No	""
household level data 25m survey_final::cupboard	household level data 25m survey_final::cupboard	1	Yes	""
household level data 25m survey_final::clock	household level data 25m survey_final::clock	-9	:::UNDEF:::	""
household level data 25m survey_final::clock	household level data 25m survey_final::clock	0	No	""
household level data 25m survey_final::clock	household level data 25m survey_final::clock	1	Yes	""
household level data 25m survey_final::mobile	household level data 25m survey_final::mobile	-9	:::UNDEF:::	""
household level data 25m survey_final::mobile	household level data 25m survey_final::mobile	0	No	""
household level data 25m survey_final::mobile	household level data 25m survey_final::mobile	1	Yes	""
household level data 25m survey_final::watch	household level data 25m survey_final::watch	-9	:::UNDEF:::	""
household level data 25m survey_final::watch	household level data 25m survey_final::watch	0	No	""
household level data 25m survey_final::watch	household level data 25m survey_final::watch	1	Yes	""
household level data 25m survey_final::bicycle	household level data 25m survey_final::bicycle	-9	:::UNDEF:::	""
household level data 25m survey_final::bicycle	household level data 25m survey_final::bicycle	0	No	""
household level data 25m survey_final::bicycle	household level data 25m survey_final::bicycle	1	Yes	""
household level data 25m survey_final::scooter	household level data 25m survey_final::scooter	-9	:::UNDEF:::	""
household level data 25m survey_final::scooter	household level data 25m survey_final::scooter	0	No	""
household level data 25m survey_final::scooter	household level data 25m survey_final::scooter	1	Yes	""
household level data 25m survey_final::car	household level data 25m survey_final::car	-9	:::UNDEF:::	""
household level data 25m survey_final::car	household level data 25m survey_final::car	0	No	""
household level data 25m survey_final::car	household level data 25m survey_final::car	1	Yes	""
household level data 25m survey_final::mboat	household level data 25m survey_final::mboat	-9	:::UNDEF:::	""
household level data 25m survey_final::mboat	household level data 25m survey_final::mboat	0	No	""
household level data 25m survey_final::mboat	household level data 25m survey_final::mboat	1	Yes	""
household level data 25m survey_final::nomboat	household level data 25m survey_final::nomboat	-9	:::UNDEF:::	""
household level data 25m survey_final::nomboat	household level data 25m survey_final::nomboat	0	No	""
household level data 25m survey_final::nomboat	household level data 25m survey_final::nomboat	1	Yes	""
household level data 25m survey_final::bankacco	household level data 25m survey_final::bankacco	-9	:::UNDEF:::	""
household level data 25m survey_final::bankacco	household level data 25m survey_final::bankacco	-7	:::UNDEF:::	""
household level data 25m survey_final::bankacco	household level data 25m survey_final::bankacco	0	No	""
household level data 25m survey_final::bankacco	household level data 25m survey_final::bankacco	1	Yes	""
household level data 25m survey_final::internet	household level data 25m survey_final::internet	-9	:::UNDEF:::	""
household level data 25m survey_final::internet	household level data 25m survey_final::internet	0	No	""
household level data 25m survey_final::internet	household level data 25m survey_final::internet	1	Yes	""
household level data 25m survey_final::device	household level data 25m survey_final::device	-9	No device to access internet	""
household level data 25m survey_final::device	household level data 25m survey_final::device	1	Smartphone	""
household level data 25m survey_final::device	household level data 25m survey_final::device	3	Laptop computer	""
household level data 25m survey_final::device	household level data 25m survey_final::device	4	Desktop computer	""
household level data 25m survey_final::device	household level data 25m survey_final::device	5	Smartphone and laptop computer	""
household level data 25m survey_final::device	household level data 25m survey_final::device	6	Smartphone and tablet	""
household level data 25m survey_final::device	household level data 25m survey_final::device	8	Smartphone, tablet, and laptop computer	""
household level data 25m survey_final::smartphone	household level data 25m survey_final::smartphone	-9	:::UNDEF:::	""
household level data 25m survey_final::smartphone	household level data 25m survey_final::smartphone	0	No	""
household level data 25m survey_final::smartphone	household level data 25m survey_final::smartphone	1	Yes	""
household level data 25m survey_final::tablet	household level data 25m survey_final::tablet	-9	:::UNDEF:::	""
household level data 25m survey_final::tablet	household level data 25m survey_final::tablet	0	No	""
household level data 25m survey_final::tablet	household level data 25m survey_final::tablet	1	Yes	""
household level data 25m survey_final::laptop	household level data 25m survey_final::laptop	-9	:::UNDEF:::	""
household level data 25m survey_final::laptop	household level data 25m survey_final::laptop	0	No	""
household level data 25m survey_final::laptop	household level data 25m survey_final::laptop	1	Yes	""
household level data 25m survey_final::desktop	household level data 25m survey_final::desktop	-9	:::UNDEF:::	""
household level data 25m survey_final::desktop	household level data 25m survey_final::desktop	0	No	""
household level data 25m survey_final::desktop	household level data 25m survey_final::desktop	1	Yes	""
household level data 25m survey_final::numalandcat	household level data 25m survey_final::numalandcat	1	0 acres	""
household level data 25m survey_final::numalandcat	household level data 25m survey_final::numalandcat	2	1 acre or less	""
household level data 25m survey_final::numalandcat	household level data 25m survey_final::numalandcat	3	>1 to 3 acres	""
household level data 25m survey_final::numalandcat	household level data 25m survey_final::numalandcat	4	4 acres or more	""
household level data 25m survey_final::hhmealscat	household level data 25m survey_final::hhmealscat	-9	:::UNDEF:::	""
household level data 25m survey_final::hhmealscat	household level data 25m survey_final::hhmealscat	0	0	""
household level data 25m survey_final::hhmealscat	household level data 25m survey_final::hhmealscat	1	1	""
household level data 25m survey_final::hhmealscat	household level data 25m survey_final::hhmealscat	2	2	""
household level data 25m survey_final::hhmealscat	household level data 25m survey_final::hhmealscat	3	3 or more	""
household level data 25m survey_final::hhnumtcat	household level data 25m survey_final::hhnumtcat	0	0	""
household level data 25m survey_final::hhnumtcat	household level data 25m survey_final::hhnumtcat	1	1	""
household level data 25m survey_final::hhnumtcat	household level data 25m survey_final::hhnumtcat	2	2	""
household level data 25m survey_final::hhnumtcat	household level data 25m survey_final::hhnumtcat	3	3	""
household level data 25m survey_final::hhnumtcat	household level data 25m survey_final::hhnumtcat	4	4 or more	""
household level data 25m survey_final::hhpsf	household level data 25m survey_final::hhpsf	-9	:::UNDEF:::	""
household level data 25m survey_final::hhpsf	household level data 25m survey_final::hhpsf	1	Never	""
household level data 25m survey_final::hhpsf	household level data 25m survey_final::hhpsf	2	Seldom	""
household level data 25m survey_final::hhpsf	household level data 25m survey_final::hhpsf	3	Sometimes	""
household level data 25m survey_final::hhpsf	household level data 25m survey_final::hhpsf	4	Often	""
household level data 25m survey_final::hhpsf	household level data 25m survey_final::hhpsf	5	Always	""
household level data 25m survey_final::dhfctycat	household level data 25m survey_final::dhfctycat	0	0 km to less than 1 km	""
household level data 25m survey_final::dhfctycat	household level data 25m survey_final::dhfctycat	1	1 km to less than 2 km	""
household level data 25m survey_final::dhfctycat	household level data 25m survey_final::dhfctycat	2	2 km to less than 3 km	""
household level data 25m survey_final::dhfctycat	household level data 25m survey_final::dhfctycat	3	3 km or more	""
household level data 25m survey_final::dhfctycat	household level data 25m survey_final::dhfctycat	4	Don't know	""
household level data 25m survey_final::mthfcty	household level data 25m survey_final::mthfcty	-9	:::UNDEF:::	""
household level data 25m survey_final::mthfcty	household level data 25m survey_final::mthfcty	1	Car or motorcycle	""
household level data 25m survey_final::mthfcty	household level data 25m survey_final::mthfcty	2	Public transportation or taxi	""
household level data 25m survey_final::mthfcty	household level data 25m survey_final::mthfcty	3	Animal or animal cart	""
household level data 25m survey_final::mthfcty	household level data 25m survey_final::mthfcty	4	Walking	""
household level data 25m survey_final::mthfcty	household level data 25m survey_final::mthfcty	5	Bicycling	""
household level data 25m survey_final::mthfcty	household level data 25m survey_final::mthfcty	6	6	""
household level data 25m survey_final::mthfcty	household level data 25m survey_final::mthfcty	96	Car or motorcycle	""
household level data 25m survey_final::othermth	household level data 25m survey_final::othermth	-9	:::UNDEF:::	""
household level data 25m survey_final::othermth	household level data 25m survey_final::othermth	BODA	BODA	""
household level data 25m survey_final::pspray	household level data 25m survey_final::pspray	-9	:::UNDEF:::	""
household level data 25m survey_final::pspray	household level data 25m survey_final::pspray	-7	Don't know	""
household level data 25m survey_final::pspray	household level data 25m survey_final::pspray	0	No	""
household level data 25m survey_final::pspray	household level data 25m survey_final::pspray	1	Yes	""
household level data 25m survey_final::gpspray	household level data 25m survey_final::gpspray	-9	:::UNDEF:::	""
household level data 25m survey_final::gpspray	household level data 25m survey_final::gpspray	0	No	""
household level data 25m survey_final::gpspray	household level data 25m survey_final::gpspray	1	Yes	""
household level data 25m survey_final::rgspray	household level data 25m survey_final::rgspray	-9	:::UNDEF:::	""
household level data 25m survey_final::rgspray	household level data 25m survey_final::rgspray	1	Had a sick person or a baby in the house	""
household level data 25m survey_final::rgspray	household level data 25m survey_final::rgspray	96	Was not around	""
household level data 25m survey_final::otherrgs	household level data 25m survey_final::otherrgs	-9	:::UNDEF:::	""
household level data 25m survey_final::otherrgs	household level data 25m survey_final::otherrgs	HAD A NEWBORN BABY	HAD A NEWBORN BABY	""
household level data 25m survey_final::spraycat	household level data 25m survey_final::spraycat	0	No IRS in past 12 months	""
household level data 25m survey_final::spraycat	household level data 25m survey_final::spraycat	1	IRS 0-6 months ago	""
household level data 25m survey_final::ahwker	household level data 25m survey_final::ahwker	-9	:::UNDEF:::	""
household level data 25m survey_final::ahwker	household level data 25m survey_final::ahwker	-7	Don't know	""
household level data 25m survey_final::ahwker	household level data 25m survey_final::ahwker	0	No	""
household level data 25m survey_final::ahwker	household level data 25m survey_final::ahwker	1	Yes	""
household level data 25m survey_final::amchwker	household level data 25m survey_final::amchwker	-9	Not applicable	""
household level data 25m survey_final::amchwker	household level data 25m survey_final::amchwker	-8	Refused to answer	""
household level data 25m survey_final::amchwker	household level data 25m survey_final::amchwker	-7	Don't know	""
household level data 25m survey_final::amchwker	household level data 25m survey_final::amchwker	0	No	""
household level data 25m survey_final::amchwker	household level data 25m survey_final::amchwker	1	Yes	""
household level data 25m survey_final::havenets	household level data 25m survey_final::havenets	-9	:::UNDEF:::	""
household level data 25m survey_final::havenets	household level data 25m survey_final::havenets	0	No	""
household level data 25m survey_final::havenets	household level data 25m survey_final::havenets	1	Yes	""
household level data 25m survey_final::receivenet	household level data 25m survey_final::receivenet	-9	:::UNDEF:::	""
household level data 25m survey_final::receivenet	household level data 25m survey_final::receivenet	0	No	""
household level data 25m survey_final::receivenet	household level data 25m survey_final::receivenet	1	Yes	""
household level data 25m survey_final::nettype	household level data 25m survey_final::nettype	-9	Not applicable	""
household level data 25m survey_final::nettype	household level data 25m survey_final::nettype	-7	Don't know	""
household level data 25m survey_final::nettype	household level data 25m survey_final::nettype	1	PermaNet 2.0	""
household level data 25m survey_final::nettype	household level data 25m survey_final::nettype	2	PermaNet 3.0	""
household level data 25m survey_final::nettype	household level data 25m survey_final::nettype	3	Olyset Net	""
household level data 25m survey_final::nettype	household level data 25m survey_final::nettype	4	Olyset Plus	""
household level data 25m survey_final::neteduc	household level data 25m survey_final::neteduc	-9	Not applicable	""
household level data 25m survey_final::neteduc	household level data 25m survey_final::neteduc	-8	Refused to answer	""
household level data 25m survey_final::neteduc	household level data 25m survey_final::neteduc	-7	Don't know	""
household level data 25m survey_final::neteduc	household level data 25m survey_final::neteduc	0	No	""
household level data 25m survey_final::neteduc	household level data 25m survey_final::neteduc	1	Yes	""
household level data 25m survey_final::anynonucc	household level data 25m survey_final::anynonucc	-9	Not applicable	""
household level data 25m survey_final::anynonucc	household level data 25m survey_final::anynonucc	-7	Don't know	""
household level data 25m survey_final::anynonucc	household level data 25m survey_final::anynonucc	0	No	""
household level data 25m survey_final::anynonucc	household level data 25m survey_final::anynonucc	1	Yes	""
household level data 25m survey_final::whynonet	household level data 25m survey_final::whynonet	-9	:::UNDEF:::	""
household level data 25m survey_final::whynonet	household level data 25m survey_final::whynonet	1	No LLINs were delivered to the village or parish	""
household level data 25m survey_final::whynonet	household level data 25m survey_final::whynonet	2	Household did not go to collect the LLINs	""
household level data 25m survey_final::whynonet	household level data 25m survey_final::whynonet	3	Household was never told to collect the LLINs	""
household level data 25m survey_final::whynonet	household level data 25m survey_final::whynonet	4	Told that their household did not need LLINs	""
household level data 25m survey_final::whynonet	household level data 25m survey_final::whynonet	5	Household was away when the LLINs were distributed	""
household level data 25m survey_final::whynonet	household level data 25m survey_final::whynonet	6	Local leaders refused to accept the LLINs	""
household level data 25m survey_final::whynonet	household level data 25m survey_final::whynonet	8	:::UNDEF:::	""
household level data 25m survey_final::swver	household level data 25m survey_final::swver	PBO Nets ver.2019.04.08	PBO Nets ver.2019.04.08	""
household level data 25m survey_final::swver	household level data 25m survey_final::swver	PBO Nets ver.2019.06.06	PBO Nets ver.2019.06.06	""
household level data 25m survey_final::anynetcat	household level data 25m survey_final::anynetcat	0	0	""
household level data 25m survey_final::anynetcat	household level data 25m survey_final::anynetcat	1	1	""
household level data 25m survey_final::anynetcat	household level data 25m survey_final::anynetcat	2	2	""
household level data 25m survey_final::anynetcat	household level data 25m survey_final::anynetcat	3	3 or more	""
household level data 25m survey_final::itncat	household level data 25m survey_final::itncat	0	0	""
household level data 25m survey_final::itncat	household level data 25m survey_final::itncat	1	1	""
household level data 25m survey_final::itncat	household level data 25m survey_final::itncat	2	2	""
household level data 25m survey_final::itncat	household level data 25m survey_final::itncat	3	3 or more	""
household level data 25m survey_final::anyitn	household level data 25m survey_final::anyitn	0	No	""
household level data 25m survey_final::anyitn	household level data 25m survey_final::anyitn	1	Yes	""
household level data 25m survey_final::adequatenets	household level data 25m survey_final::adequatenets	0	No	""
household level data 25m survey_final::adequatenets	household level data 25m survey_final::adequatenets	1	Yes	""
household level data 25m survey_final::adequateitns	household level data 25m survey_final::adequateitns	0	No	""
household level data 25m survey_final::adequateitns	household level data 25m survey_final::adequateitns	1	Yes	""
household level data 25m survey_final::wave	household level data 25m survey_final::wave	2	Wave 2	""
household level data 25m survey_final::wave	household level data 25m survey_final::wave	3	Wave 3	""
household level data 25m survey_final::wave	household level data 25m survey_final::wave	4	Wave 4	""
household level data 25m survey_final::region	household level data 25m survey_final::region	Eastern	Eastern	""
household level data 25m survey_final::region	household level data 25m survey_final::region	Western	Western	""
household level data 25m survey_final::llindich	household level data 25m survey_final::llindich	1	Non-PBO LLIN	""
household level data 25m survey_final::llindich	household level data 25m survey_final::llindich	2	PBO LLIN	""
household level data 25m survey_final::llindichpp	household level data 25m survey_final::llindichpp	1	Non-PBO LLIN	""
household level data 25m survey_final::llindichpp	household level data 25m survey_final::llindichpp	2	PBO LLIN	""
household level data 25m survey_final::llincat	household level data 25m survey_final::llincat	1	Olyset	""
household level data 25m survey_final::llincat	household level data 25m survey_final::llincat	2	Olyset Plus	""
household level data 25m survey_final::llincat	household level data 25m survey_final::llincat	3	PermaNet 2.0	""
household level data 25m survey_final::llincat	household level data 25m survey_final::llincat	4	PermaNet 3.0	""
