Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary Label (es)	Column Name (es)	Term Type	Data Dictionary Label (en)	Amazonia Preferred Label (en)	form	file_name_in_box.net	table	quest_num_in forms	values	time_of_collection
http://purl.obolibrary.org/obo/EUPATH_0000048	Asexual parasites present	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	19_FROTIS	19_FROTIS	variable	Thick Smear result	Frotis	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	19	categorical,N/F/V/M	each visit
http://purl.obolibrary.org/obo/EUPATH_0000371	Malaria Medication (First Line)	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	21_1_Medicamento	21_1_Medicamento	variable	Malaria Medication (First Line)	Tomo Medicamento	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	21.2	categorical,C/P/A/M/Q/L	each visit
http://purl.obolibrary.org/obo/EUPATH_0000372	Malaria Medication (Second Line)	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	21_1_Medicamento	21_1_Medicamento	variable	Malaria Medication (Second Line)	Tomo Medicamento	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	21.3	categorical,C/P/A/M/Q/L	each visit
http://purl.obolibrary.org/obo/EUPATH_0000373	Malaria Medication?	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	21_1_Medicamento	21_1_Medicamento	variable	Malaria Medication (Yes/No)	Tomo Medicamento	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	21.1	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/EUPATH_0000120	Age at time of enrollment	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	edad	edad	variable	Age at time of enrollment	Edad	F1	censo_exel_proy1.xlsx	Population	16		only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000032	Date of Birth	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	fec_naci	fec_naci	variable	Date of Birth	Fecha de Nacimiento	F1	censo_exel_proy1.xlsx	Population	15		only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000345	Education level	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	Instruc	Instruc	variable	Educational level	Grado de instrucción	F1	censo_exel_proy1.xlsx	Population	22.1		only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000151	Enrollment date	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	fecha	fecha	variable	Enrollment date	Fecha de entrevista	F1	censo_exel_proy1.xlsx	House location	2		only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000374	Marital status	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	EstCiv	EstCiv	variable	Marital status	Estado civil	F1	censo_exel_proy1.xlsx	Population	18		only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000375	Plan to move	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	mud	mud	variable	Plan to move	Piensa mudarse	F1	censo_exel_proy1.xlsx	Population	22.2		only at enrollment
http://purl.obolibrary.org/obo/UBERON_0009097	Pregnant	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	gestante	gestante	variable	Pregnant	Gestante	F1	censo_exel_proy1.xlsx	Population	17.2		only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000376	Family head relationship	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	RelJeFam	RelJeFam	variable	Relationship to head of Family	Relacion con el Jefe de Familia	F1	censo_exel_proy1.xlsx	Population	21		only at enrollment
http://purl.obolibrary.org/obo/PATO_0000047	Sex	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	sexo	sexo	variable	Sex	Sexo	F1	censo_exel_proy1.xlsx	Population	17.1	categorical, 1-2	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000377	Time living in the dwelling (year)	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	TieHog	TieHog	variable	Time living in the dwelling (in years)	Tiempo en el hogar	F1	censo_exel_proy1.xlsx	Population	20		only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000378	Time living in the community (year)	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	TieCom	TieCom	variable	Time living in the community (in years)	Tiempo en la comunidad	F1	censo_exel_proy1.xlsx	Population	19	numerical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000379	# Common Areas	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	cuacom	cuacom	variable	Number of common areas	Números de cuartos comunes	F1	censo_exel_proy1.xlsx	House	52	numerical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000201	# sleeping places	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	numcam	numcam	variable	Number of beds in household	Numero de camas en la vivienda	F1	censo_exel_proy1.xlsx	House	65	numerical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000380	Covered Area (m2)	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	areate	areate	variable	Covered Area (m2)	Area techada	F1	censo_exel_proy1.xlsx	House	50	numerical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000006	Floor material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	Piso	Piso	variable	Floor material	Mateial de Piso	F1	censo_exel_proy1.xlsx	House	60	categorical, 1-7	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000381	Location of kitchen	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	coci	coci	variable	Location of kitchen	Lugar de la Cocina	F1	censo_exel_proy1.xlsx	House	53	categorical, 1-2	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000201	# bedrooms	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	cuardor	cuardor	variable	Number of sleeping places	Números de cuartos usados solo para dormir	F1	censo_exel_proy1.xlsx	House	51	numerical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	techo	techo	variable	Roof material	Material de Techo	F1	censo_exel_proy1.xlsx	House	59	categorical, 1-4	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000382	Total Area (m2)	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	area	area	variable	Total Area (m2)	Area total	F1	censo_exel_proy1.xlsx	House	49	numerical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000009	Wall material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	pared_ext	pared_ext	variable	Wall material	Material de Paredes	F1	censo_exel_proy1.xlsx	House	58	categorical, 1-10	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000009	Wall material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	pared_int	pared_int	variable	Wall material	Material de Paredes	F1	censo_exel_proy1.xlsx	House	58	categorical, 1-10	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000110	Temperature	http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	temperatura	temperatura	variable	Temperature at visit	Temperatura	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	tbltemperatura	17	numeric	each visit
http://purl.obolibrary.org/obo/EUPATH_0000144	Assets	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	Posesiones	Posesiones	variable	Assets	Posesiones	F1	censo_exel_proy1.xlsx	House	70	categorical, 1-2	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000383	Rent or own?	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	tencas	tencas	variable	Type of housing	Tipo de vivienda	F1	censo_exel_proy1.xlsx	House	57	categorical, 1-5	only at enrollment
http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	7_Dolor abdominal	7_Dolor abdominal	variable	Abdominal pain	Dolor abdominal	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	7	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/SYMP_0000523	Anorexia	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	12_Anorexia	12_Anorexia	variable	Anorexia	Anorexia	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	12	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/HP_0003418	Back pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	8_Dolor de espalda	8_Dolor de espalda	variable	Back pain	Dolor de espalda	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	8	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/SYMP_0019174	Chills	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	5_Escalofrios	5_Escalofrios	variable	Chill	Esccalofrios	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	5	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/SYMP_0000614	Cough	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	15_Tos	15_Tos	variable	Cough	tos	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	15	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/DOID_13250	Diarrhea	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	14_Diarrea	14_Diarrea	variable	Diarrhea	Diarrea	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	14	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/SYMP_0000610	Dizziness	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	13_Mareos	13_Mareos	variable	Dizziness/vertigo	Mareos	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	13	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/EUPATH_0000100	Fever (subjective)	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	4_Fiebre 	4_Fiebre 	variable	Fever (subjective)	Fiebre	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	4	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/HP_0002315	Headache	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	6_Dolor de cabeza	6_Dolor de cabeza	variable	Headache	Dolor de cabeza	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	6	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/HP_0002018	Nausea	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	10_Nauseas	10_Nauseas	variable	Nausea	Nauseas	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	10	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/SYMP_0000487	Rash	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	9_Rash/Erupción	9_Rash/Erupción	variable	Rash/eruption	Rash/Erupcion	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	9	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/HP_0002013	Vomiting	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	11_Vomitos	11_Vomitos	variable	Vomiting	Vómitos	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	11	categorical, 1-2/-1=no data	each visit
http://purl.obolibrary.org/obo/EUPATH_0000384	Days of Travel	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	Duracion de cada viaje en días	Duracion de cada viaje en días	variable	Days of travel	Duracion de cada viaje en días	F1	censo_exel_proy1.xlsx	Malaria	29	numerical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000385	Travel by ship	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	Río por el cual navegó en cada viaje	Río por el cual navegó en cada viaje	variable	Rivers navigated during the trip	Río por el cual navegó en cada viaje	F1	censo_exel_proy1.xlsx	Malaria	30	text	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000386	Travel destination	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	Lugar o comunidad visitada en cada viaje	Lugar o comunidad visitada en cada viaje	variable	Place or community visited during the trip	Lugar o comunidad visitada en cada viaje	F1	censo_exel_proy1.xlsx	Malaria	31	text	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000387	Travel in the last month	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	Viaultimes	Viaultimes	variable	Travel in the last month (more than 10 km away from the community)	Viaje en el último mes (más de 10km de la comunidad)	F1	censo_exel_proy1.xlsx	Malaria	28	numerical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000388	Travel before malaria	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	Antes de enfermear de malaria viajó	Antes de enfermear de malaria viajó	variable	Travel before malaria	Antes de enfermear de malaria viajó	F1	censo_exel_proy1.xlsx	Malaria	27	categorical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000389	Bednet material	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	matmos	matmos	variable	Bed Net Material	Principal material mosquitero	F1	censo_exel_proy1.xlsx	House	67	categorical, 1-4	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000344	Bednet Treatment	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	ultimpr	ultimpr	variable	Bednets Last Treated	Ultima impregnación de mosquitero	F1	censo_exel_proy1.xlsx	House	68	categorical, 1-6	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000390	Last fumigation date	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	fumi	fumi	variable	Date of last fumigation	Fecha de última fumigación	F1	censo_exel_proy1.xlsx	House	61	date	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000391	Responsible of treated bednets	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	imprmo	imprmo	variable	Responsible of treated bednets	Quién impregnó el mosquitero	F1	censo_exel_proy1.xlsx	House	69	categorical, 1-4/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000392	Contact W/ Malaria	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	22_Contacto malaria	22_Contacto malaria	variable	Contact W/ Malaria	Contacto con Malaria	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	22	categorical, 1-2	each visit
http://purl.obolibrary.org/obo/EUPATH_0000393	Participant present	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	3_PRESENCIA	3_PRESENCIA	variable	Participant status at visit	Presencia	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	3	categorical, 1-7	each visit
http://purl.obolibrary.org/obo/EUPATH_0000311	Visit type	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Razon	Razon	variable	Type of visit	Razón de la visita	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	25.3	categorical,1-3	each visit
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	Anho Mes Dias	Anho Mes Dias	variable	Visit date	fecha de visita						
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	Anho	Anho	variable	Year	Año	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	2.2	text	each visit
