Isolate source	Isolate source category	Mapped Ontology Term IRI	Mapped Ontology Term Label
blood from Myodes rufocanus AK2348	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from naturally infected dog	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Nectarinia olivacea	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from nestled seagull (Larus cachinnans)	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Passer domensticus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Passerina cyanea	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from patient in northwest Thailand	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from raccoon MA#361	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from raccoon NP#023	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from raccoon SAP#091	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from raccoon SAP#131	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from raccoons MA#230, SAP#080 and SAP#120	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from raccoons MA#347 and SAP#110	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Rattus sp.	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from sheep	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from spleen	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from symptomatic Burmese man	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Thai man co-infected with Leishmania sp. 'siamensis' and HIV	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from the Brown Bear As5804	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Thryothorus ludovicianus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Tiaris bicolor	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Turdus migratorius	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Vireo altiloquus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Vireo griseus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from visceral leishmaniasis in Thai man	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Zonotrichia leucophrys	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of a female	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Acrocephalus arundinaceus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Acrocephalus orientalis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Agama agama	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Ameiva ameiva	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of an adult raven	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Anolis oculatus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Atheruri africanus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of captive brown bear	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of cat that survived clinical cytauxzoonosis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of cattle	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of dog with clinical signs of babesiosis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Blood of experimentally infected jirds	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Gallus gallus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of infected Aotus nancymai T1138	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Japanese black bear	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of kidney transplant recipient patients	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Larosterna inca	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Ninox scutulata	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Norops cupreus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Blood of patients with end-stage renal disease (ESRD) undergoing haemodialysis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Quiscalus quiscula	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Sceloporus jarrovi	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Sceloporus mexicanum	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of trapped red-backed vole (Clethrionomys rutilus)	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of trapped tundra vole (Microtus oeconomus)	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Turdus migratorius	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood of Zeneida macroura	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood sample	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood sample from cow with teileriosis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood sample from sheep	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood smear	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood spotted on filter paper	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood stabilate from goat No. 4	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood stabilate from goat No. 6	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood-drop	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
bovine blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Bovine erythrocyte infected with T.orientalis	blood	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
canine blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
caribou blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
cat blood sample	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
cattle blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
cervine blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Culture of the blood from a ball python imported from Ghana	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
dog blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
EDTA-anticoagulated whole blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
EDTA-blood of dog with clinical signs of babesiosis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
elk blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
erythrocyte from blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
erythrocyte of Mus musculus	blood	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
ex vivo generation from blood sample of patient	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 103	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 1109	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 11M	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 16T	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 25M	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 348	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 34KH	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 34M	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 48KH	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 4KH	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 55M	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 60M	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 81	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
field blood sample cattle nr. 90N	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
finger prick blood sample	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
giraffe blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Horse Blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
host blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
human blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
human RBC	blood	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
human red blood cells	blood	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
human whole blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected calf blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected cat blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected cow blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected dog blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected goat blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected horse blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected host blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected seagull blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
infected sheep blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
malaria patient blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
malarial patient blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
moose blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
ovine blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
patient blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
PCR-derived sequence from blood trypanosomes	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
peripheral blood leukocyte	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Peripheral blood of patients with Cardiopathy Chagas disease	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Peripheral blood of patients with Indeterminate phase of Chagas disease	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Peripheral blood of patients with Megacolon Chagas disease	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
rat bloodstream	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
red blood cell culture	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
red blood cells	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
reindeer blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
rodent blood, field rodent(Rattus coxinga)	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
The peripheral blood of red-handed tamarins	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
The peripheral blood of SCID mice infected experimentally	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
whole blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
whole blood of a naturally infected adult male	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
wild avian blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
WTD blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
bone marrow	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marrow aspirate	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marrow biological material spotted on filter paper	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marrow from Thai man co-infected with Leishmania sp. 'siamensis' and HIV	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marrow from visceral leishmaniasis	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marrow from visceral leishmaniasis in Thai man	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marrow of a 1.5 years old child	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marrow of Canine	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marrow smear	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
bone marroww from 1.5 year old child	bone	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
lateral digital extensor carpi	bone		
aborted sheep fetal brain	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
brain of Domestic Chicken (Gallus gallus domesticus)	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
brain of infected cow	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
brain of Pigeon (Columba livia)	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
brain of Rattus norvegicus (Wild rat)	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
brain of Rattus ruttus (Wild rat)	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
brain of Sparrow (Passer domesticus)	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
brain of Starling (Sturnus vulgaris)	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
brain with cysts	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
cerebrospinal fluid	brain	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid
chicken brain	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
CSF	brain	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid
host brain	brain	http://purl.obolibrary.org/obo/UBERON_0000955	brain
human male cerebrospinal fluid	brain	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid
male, cerebro-spinal fluid	brain	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid
medulla oblongata of canine	brain	http://purl.obolibrary.org/obo/UBERON_0001896	medulla oblongata
aged formalin-fixed stool from HIV-positive patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
bird feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
calf fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
calf feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
cat feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
cattle feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
chicken faeces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
chicken feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
child with diarrhea	feces		
children with diarrhea	feces		
cysts from host faeces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
dairy cattle feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
deer fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
diarrheic child	feces		
diarrhetic child	feces		
diarrhetic human child	feces		
diarrhoeic fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
diarrhoeic stool sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
dog feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
duck feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
faecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
faeces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal isolate from river otter (Lontra canadensis)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal material from a fox	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal material from experimentaly infeced dingo	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal matter	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal matter from human patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a barred parakeet	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a budgerigar	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a cat	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a cattle	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a cockatiel	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a cockatiel (17106-2)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a cockatiel (19725-2)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a cockatiel (932)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a cockatiel (933)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a dog	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a ferret	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a human	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a Japanese patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a peach-faced lovebird	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a peach-faced lovebird (131141-1)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a peach-faced lovebird (14231-2)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a peach-faced lovebird (20041-1)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a peach-faced lovebird (20108-1)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a pig (Farm A)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a pig (Farm B)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a pig (Farm C)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a pig (Farm E)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a pig (Farm F)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from a veterinary clinic	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from calf (#112)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from calf (#24)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from calf (#42)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from calf (#58)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from calf (#6)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from calf (#80)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from intestine	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from small intestine	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from stomach	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from the patient (#10)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal sample from the patient (#7)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
fecal samples from a gray squirrel, Sciurus carolinensis	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces and intestinal mucosa	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces from cattle with mixed infection of Cryptosporidium parvum and Cryptosporidium andersoni	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces from dairy cattle	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces from diarrehic child	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces from diarrhoeic goat kids	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces from domestic rabbits	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces from Lacerta schreiberi	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces from pre-weaned dairy cattle	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces from Qinchuan cattle	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces in water	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of a buffalo calf	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Feces of a calf	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Feces of a dog	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of calf	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Feces of calves	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of Canis familiaris fed body tissues of infected Cavia porcellus	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Feces of cats	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of cattle	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of De Brazza's guenon	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Feces of dogs	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of exotic birds	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of Gorilla gorilla	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of Grus japonensis	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of Mongolian gerbil	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Feces of monkeys	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of pigeon	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
feces of pigeon and exotic birds	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
Feces of Sus scrofa f. domestica	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
goose fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
gorilla stool	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
guano	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
host faeces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
host feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
human fecal sample	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
human feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
human stool	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
in vitro	feces		
isolated from feces of a dog (Canis familiaris)	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
mouse enteral feces	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
oocysts in the feces of the patient	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
patient stool sample #084	feces	http://purl.obolibrary.org/obo/UBERON_0001988	feces
