colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
44,drh_fever,hucs_gambia_mali,EUPATH_0024213,Fever and diarrhea,,Observation,Symptom fever,"0=""No"", 1= ""Yes""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_FEVER,hucs_gambia_mali::drh_fever,chr,1,,,"., 0, 1",3,0.913707779,NA
45,drh_blood,hucs_gambia_mali,EUPATH_0015685,Blood in stools,,Observation,Symptom blood in stool,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_BLOOD,hucs_gambia_mali::drh_blood,chr,1,,,"., 0, 1, 9",4,0.913707779,NA
46,drh_irritable,hucs_gambia_mali,EUPATH_0015066,Irritable or restless,,Observation,Symptom irritation,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_IRRITABLE,hucs_gambia_mali::drh_irritable,chr,1,,,"., 0, 1, 9",4,0.913707779,NA
47,drh_thirsty,hucs_gambia_mali,EUPATH_0015689,Very thirsty,,Observation,Symptom thirst,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_THIRSTY,hucs_gambia_mali::drh_thirsty,chr,1,,,"., 0, 1, 9",4,0.913707779,NA
48,drh_drink,hucs_gambia_mali,EUPATH_0015688,Unable to drink or drank poorly,,Observation,Symptom drank poor,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_DRINK,hucs_gambia_mali::drh_drink,chr,0,,,"., 0, 1, 9",4,0.913707779,NA
49,drh_rice,hucs_gambia_mali,EUPATH_0015513,Rice watery stool,,Observation,Symptom watery stool,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_RICE,hucs_gambia_mali::drh_rice,chr,0,,,"., 0, 1, 9",4,0.913707779,NA
50,drh_lethrgy,hucs_gambia_mali,EUPATH_0015686,Decreased activity or lethargy,,Observation,Symptom lethargic,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_LETHRGY,hucs_gambia_mali::drh_lethrgy,chr,1,,,"., 0, 1, 9",4,0.913707779,NA
51,drh_sunkeyes,hucs_gambia_mali,EUPATH_0015514,"Sunken eyes, more than normal",,Observation,Symptom sunken eyes,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_SUNKEYES,hucs_gambia_mali::drh_sunkeyes,chr,1,,,"., 0, 1, 9",4,0.913707779,NA
52,drh_wrksk,hucs_gambia_mali,EUPATH_0015515,Wrinkled skin,,Observation,Symptom wrinkled skin,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010016,Diarrheal episodes,,,,DRH_WRKSK,hucs_gambia_mali::drh_wrksk,chr,0,,,"., 0, 1, 9",4,0.913707779,NA
53,vomit,hucs_gambia_mali,EUPATH_0031116,Vomited,,Observation,Did the child vomit,"0=""No"", 1= ""Yes""",,EUPATH_0010016,Diarrheal episodes,,,,VOMIT,hucs_gambia_mali::vomit,chr,1,,,"., 0, 1",3,0.913707779,NA
54,vomit_times,hucs_gambia_mali,EUPATH_0015675,Worst day vomiting frequency during diarrheal illness,,Observation,"On the worst day, how many times did s/he vomit?","1=""1"", 2=""2-4"", 3=""5 or more""",,EUPATH_0010016,Diarrheal episodes,,,,VOMIT_TIMES,hucs_gambia_mali::vomit_times,chr,2,,,"., 1, 2, 3",4,0.976505069,NA
55,vomit_days,hucs_gambia_mali,EUPATH_0015674,Days vomiting during diarrheal illness,,Observation,How many days did the child have vomiting?,,,EUPATH_0010016,Diarrheal episodes,,,,VOMIT_DAYS,hucs_gambia_mali::vomit_days,chr,2,,,"., 1, 10, 2, 3, 4, 5, 6, 7",9,0.976505069,NA
56,outcome,hucs_gambia_mali,EUPATH_0010353,Outcome of diarrheal illness,,Observation,Diarrheal illness outcome,"1=""Resolved"", 2=""Improved"", 3=""Continuing"", 4=""Worsening""",,EUPATH_0010016,Diarrheal episodes,,,,OUTCOME,hucs_gambia_mali::outcome,chr,3,,,"., 1, 2, 3, 4",5,0.913707779,NA
57,offr_drink,hucs_gambia_mali,EUPATH_0010241,Amount offered to drink during diarrheal episode,,Observation,Offered drink during diarrhea,"1=""More than usual, 2=""Usual"", 3=""Somewhat less than usual"", 4=""Much less than usual"", 5=""Nothing to drink""",,EUPATH_0010016,Diarrheal episodes,,,,OFFR_DRINK,hucs_gambia_mali::offr_drink,chr,1,,,"., 1, 2, 3, 4, 5",6,0.913707779,NA
58,offr_eat,hucs_gambia_mali,EUPATH_0010177,Amount offered to eat during diarrheal episode,,Observation,Offered food during diarrhea,"1=""More than usual, 2=""Usual"", 3=""Less than usual"", 4=""Nothing to eat""",,EUPATH_0010016,Diarrheal episodes,,,,OFFR_EAT,hucs_gambia_mali::offr_eat,chr,3,,,"., 1, 2, 3, 4",5,0.913707779,NA
59,seekcare,hucs_gambia_mali,EUPATH_0015092,Seek outside care,,Observation,Sought care outside home,"0=""No"", 1= ""Yes""",,EUPATH_0010380,Previously sought care,,,,SEEKCARE,hucs_gambia_mali::seekcare,chr,1,,,"., 0, 1",3,0.913707779,NA
60,seek_friend,hucs_gambia_mali,EUPATH_0015094,Friend or relative,,Observation,Sought care from friend,"0=""Not selected"", 1=""Selected""",,EUPATH_0010380,Previously sought care,,,,SEEK_FRIEND,hucs_gambia_mali::seek_friend,chr,0,,,"., 0, 1",3,0.951328497,NA
61,seek_healer,hucs_gambia_mali,EUPATH_0015095,Traditional healer,,Observation,Sought care traditional healer,"0=""Not selected"", 1=""Selected""",,EUPATH_0010380,Previously sought care,,,,SEEK_HEALER,hucs_gambia_mali::seek_healer,chr,0,,,"., 0, 1",3,0.951328497,NA
62,seek_ctr1,hucs_gambia_mali,EUPATH_0010155,1st choice hospital or health center,,Observation,Center of 1st choice,"0=""Not selected"", 1=""Selected""",,,,,,,SEEK_CTR1,hucs_gambia_mali::seek_ctr1,chr,1,,,"., 0, 1",3,0.951328497,NA
63,seek_ctr1_code,hucs_gambia_mali,EUPATH_0010157,1st choice facility code,,Observation,1st choice facility code,,,,,,,,SEEK_CTR1_CODE,hucs_gambia_mali::seek_ctr1_code,chr,109,,,>10 unique values,24,0.982751165,NA
64,seek_ctr2,hucs_gambia_mali,EUPATH_0010161,2nd choice hospital or health center,,Observation,Center of 2nd choice,"0=""Not selected"", 1=""Selected""",,,,,,,SEEK_CTR2,hucs_gambia_mali::seek_ctr2,chr,0,,,"., 0, 1",3,0.951328497,NA
65,seek_ctr2_code,hucs_gambia_mali,EUPATH_0010163,2nd choice facility code,,Observation,2nd choice facility code,,,,,,,,SEEK_CTR2_CODE,hucs_gambia_mali::seek_ctr2_code,chr,109,,,>10 unique values,11,0.999039062,NA
66,seek_ctr3,hucs_gambia_mali,EUPATH_0010167,3rd choice hospital or health center,,Observation,Center of 3rd choice,"0=""Not selected"", 1=""Selected""",,,,,,,SEEK_CTR3,hucs_gambia_mali::seek_ctr3,chr,0,,,"., 0",2,0.951328497,NA
68,seek_remedy,hucs_gambia_mali,EUPATH_0015098,Bought a remedy or drug,,Observation,Remedy medicine from shop,"0=""Not selected"", 1=""Selected""",,,,,,,SEEK_REMEDY,hucs_gambia_mali::seek_remedy,chr,0,,,"., 0, 1",3,0.951328497,NA
69,seek_wvend,hucs_gambia_mali,,,,Observation,"""Walking"" vendor of conventional medicines","0=""Not selected"", 1=""Selected""",,EUPATH_0010380,Previously sought care,,,,SEEK_WVEND,hucs_gambia_mali::seek_wvend,chr,0,,,"., 0, 1",3,0.951328497,NA
70,seek_tvend,hucs_gambia_mali,,,,Observation,Vendor of traditional medicines,"0=""Not selected"", 1=""Selected""",,EUPATH_0010380,Previously sought care,,,,SEEK_TVEND,hucs_gambia_mali::seek_tvend,chr,0,,,"., 0, 1",3,0.951328497,NA
71,seek_pharmacy,hucs_gambia_mali,EUPATH_0015093,Pharmacy,,Observation,Sought care from pharmacy,"0=""Not selected"", 1=""Selected""",,,,,,,SEEK_PHARMACY,hucs_gambia_mali::seek_pharmacy,chr,0,,,"., 0, 1",3,0.951328497,NA
72,seek_doctor,hucs_gambia_mali,EUPATH_0015097,Licensed practitioner,,Observation,Sought care from primary doctor,"0=""Not selected"", 1=""Selected""",,,,,,,SEEK_DOCTOR,hucs_gambia_mali::seek_doctor,chr,0,,,"., 0, 1",3,0.951328497,NA
73,seek_unlicdoc,hucs_gambia_mali,EUPATH_0015096,Unlicensed practitioner,,Observation,Sought care from unlicensed practitioner,"0=""Not selected"", 1=""Selected""",,,,,,,SEEK_UNLICDOC,hucs_gambia_mali::seek_unlicdoc,chr,0,,,"., 0, 1",3,0.951328497,NA
74,seek_other,hucs_gambia_mali,EUPATH_0015701,Other hospital or health center,,Observation,Sought care from other hospital,"0=""Not selected"", 1=""Selected""",,,,,,,SEEK_OTHER,hucs_gambia_mali::seek_other,chr,0,,,"., 0, 1",3,0.951328497,NA
75,seek_other_spec,hucs_gambia_mali,EUPATH_0010173,Other hospital or health center,,Observation,Other hospital: specify,,,,,,,,SEEK_OTHER_SPEC,hucs_gambia_mali::seek_other_spec,chr,FIRE SERVICE CLINIC,,,>10 unique values,63,0.995483592,NA
76,dayseek,hucs_gambia_mali,EUPATH_0015547,Diarrheal day sought care at health center,,Observation,On what day of the child's diarrhea did you visit?,,,,,,,,DAYSEEK,hucs_gambia_mali::dayseek,chr,2,,,>10 unique values,12,0.98159804,NA
77,hosp_advise,hucs_gambia_mali,,,,Observation,Hospitalization advised,"0=""No"", 1= ""Yes""",,EUPATH_0000308,Hospitalization,,,,HOSP_ADVISE,hucs_gambia_mali::hosp_advise,chr,0,,,"., 0, 1",3,0.981646087,NA
78,admit,hucs_gambia_mali,EUPATH_0010345,Admitted to hospital,,Observation,Admitted to facility for treatment,"0=""No"", 1= ""Yes""",,,,,,,ADMIT,hucs_gambia_mali::admit,chr,0,,,"., 0, 1",3,0.953730841,NA
79,admit_ctr,hucs_gambia_mali,EUPATH_0015550,Hospital admitted,,Observation,To which hospital/health center was the child admitted?,,,,,,,,ADMIT_CTR,hucs_gambia_mali::admit_ctr,chr,107,,,"., 107, 108, 203",4,0.999759766,NA
80,admit_spec,hucs_gambia_mali,,,,Observation,"If the facility was not coded, specify",,,,,,,,ADMIT_SPEC,hucs_gambia_mali::admit_spec,int,0,,,0 to 0,1,0.999951953,NA
81,recommend_iv,hucs_gambia_mali,,,,Observation,IV fluids advised,"0=""Not selected"", 1=""Selected""",,EUPATH_0015669,Diarrhea treament,,,,RECOMMEND_IV,hucs_gambia_mali::recommend_iv,chr,1,,,"., 0, 1",3,0.9195695,NA
82,rec_ivfluid,hucs_gambia_mali,EUPATH_0015671,Intravenous fluids,,Observation,Received intravenous fluids,"0=""Not selected"", 1=""Selected""",,,,,,,REC_IVFLUID,hucs_gambia_mali::rec_ivfluid,chr,0,,,"., 0, 1",3,0.9195695,NA
83,rec_homemade,hucs_gambia_mali,EUPATH_0015670,Homemade fluid,,Observation,Received homemade fluids,"0=""Not selected"", 1=""Selected""",,,,,,,REC_HOMEMADE,hucs_gambia_mali::rec_homemade,chr,0,,,"., 0, 1",3,0.9195695,NA
84,rec_ors,hucs_gambia_mali,EUPATH_0015673,ORALITE or ORS,,Observation,Received ORALITE or ORS,"1=""At home"", 2=""At the health center"", 3=""Both""",,,,,,,REC_ORS,hucs_gambia_mali::rec_ors,chr,2,,,"., 1, 2, 3",4,0.98097343,NA
85,rec_trad,hucs_gambia_mali,,,,Observation,Traditional med to drink,"0=""Not selected"", 1=""Selected""",,EUPATH_0015669,Diarrhea treament,,,,REC_TRAD,hucs_gambia_mali::rec_trad,chr,1,,,"., 1",2,0.998702734,NA
86,rec_zinc,hucs_gambia_mali,,,,Observation,Received Zinc for diarrhea,"1=""At home"", 2=""At the health center""",,EUPATH_0015669,Diarrhea treament,,,,REC_ZINC,hucs_gambia_mali::rec_zinc,chr,2,,,"., 1, 2",3,0.998318359,NA
87,no_treatment,hucs_gambia_mali,EUPATH_0015672,None prescribed or taken,,Observation,Received no treatment diarrhea,"0=""Not selected"", 1=""Selected""",,,,,,,NO_TREATMENT,hucs_gambia_mali::no_treatment,chr,0,,,"., 0, 1",3,0.9195695,NA
88,rec_vax,hucs_gambia_mali,EUPATH_0031003,Any vaccinations,,Observation,Child had any vaccination,"0=""No"", 1= ""Yes""",,EUPATH_0010947,Immunization and prevention,,,,REC_VAX,hucs_gambia_mali::rec_vax,chr,1,,,"., 0, 1",3,0.324412627,NA
89,vax_card,hucs_gambia_mali,EUPATH_0031004,Immunization card,,Observation,Immunization card available,"0=""No"", 1= ""Yes""",,EUPATH_0010947,Immunization and prevention,,,,VAX_CARD,hucs_gambia_mali::vax_card,chr,1,,,"., 0, 1",3,0.143131697,NA
90,vax_soth,hucs_gambia_mali,,,,Observation,NA,,,EUPATH_0010947,Immunization and prevention,,Not found in codebook- what is this variable? ,,VAX_SOTH,hucs_gambia_mali::vax_soth,chr,DSS,,,", ANTENATAL CARD, BASE DE DONNEES VACCINALES CVD, DSS, ORDINATEUR, lost, waiting for response",6,0.999711719,NA
91,dpt1,hucs_gambia_mali,EUPATH_0031211,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent",,Observation,DPT/Pentavalent 1,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010947,Immunization and prevention,,,,DPT1,hucs_gambia_mali::dpt1,chr,1,,,"., 0, 1, 9",4,0.215346178,NA
92,dpt1_date,hucs_gambia_mali,EUPATH_0031331,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent vaccination date",,Observation,,,,EUPATH_0010947,Immunization and prevention,,,,DPT1_DATE,hucs_gambia_mali::dpt1_date,chr,6/8/15,date,,>10 unique values,1936,0.237303608,NA
93,dpt1_hc,hucs_gambia_mali,EUPATH_0031221,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent health center name",,Observation,,,,EUPATH_0010947,Immunization and prevention,,,,DPT1_HC,hucs_gambia_mali::dpt1_hc,chr,GAMBISSARA,,,>10 unique values,560,0.23696728,NA
94,dpt1_dk,hucs_gambia_mali,EUPATH_0031219,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent don't know health center code",,Observation,DPT/Pentavalent 1 don't know,"1=""Yes""",,EUPATH_0010947,Immunization and prevention,,,,DPT1_DK,hucs_gambia_mali::dpt1_dk,chr,1,,,"., 1",2,0.999519531,NA
95,dpt1_hcid,hucs_gambia_mali,EUPATH_0031220,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent health center code",,Observation,,,,EUPATH_0010947,Immunization and prevention,,,,DPT1_HCID,hucs_gambia_mali::dpt1_hcid,chr,102,,,>10 unique values,33,0.237447749,NA
96,dpt2,hucs_gambia_mali,EUPATH_0031212,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2",,Observation,DPT/Pentavalent 2,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010947,Immunization and prevention,,,,DPT2,hucs_gambia_mali::dpt2,chr,0,,,"., 0, 1, 9",4,0.234084466,NA
97,dpt2_date,hucs_gambia_mali,EUPATH_0031332,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2 vaccination date",,Observation,,,,EUPATH_0010947,Immunization and prevention,,,,DPT2_DATE,hucs_gambia_mali::dpt2_date,chr,2/5/15,date,,>10 unique values,1896,0.269398933,NA
98,dpt2_hc,hucs_gambia_mali,EUPATH_0031334,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2 health center name",,Observation,,,,EUPATH_0010947,Immunization and prevention,,,,DPT2_HC,hucs_gambia_mali::dpt2_hc,chr,GAMBISSARA H/C,,,>10 unique values,539,0.269254793,NA
99,dpt2_dk,hucs_gambia_mali,EUPATH_0031213,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2 don't know health center code",,Observation,DPT/Pentavalent 2 don't know,"1=""Yes""",,EUPATH_0010947,Immunization and prevention,,,,DPT2_DK,hucs_gambia_mali::dpt2_dk,chr,1,,,"., 1",2,0.999519531,NA
100,dpt2_hcid,hucs_gambia_mali,EUPATH_0031333,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2 health center code",,Observation,,,,EUPATH_0010947,Immunization and prevention,,,,DPT2_HCID,hucs_gambia_mali::dpt2_hcid,chr,102,,,>10 unique values,33,0.269735262,NA
101,dpt3,hucs_gambia_mali,EUPATH_0031214,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 3",,Observation,DPT/Pentavalent 3,"0=""No"", 1= ""Yes"", 9=""DK""",,EUPATH_0010947,Immunization and prevention,,,,DPT3,hucs_gambia_mali::dpt3,chr,1,,,"., 0, 1, 9",4,0.26666026,NA
102,dpt3_date,hucs_gambia_mali,EUPATH_0031335,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 3 vaccination date",,Observation,,,,EUPATH_0010947,Immunization and prevention,,,,DPT3_DATE,hucs_gambia_mali::dpt3_date,chr,3/5/15,date,,>10 unique values,1857,0.321001297,NA
