variable,dataset,IRI,label,definition,category,parentIRI,parentLabel,notesForOnt,JZ_notes,SSS_answer
X31._Antimalarial_therapy_initiation_at_GMC_time,samp_coll_form_3,EUPATH_0023051,Therapy start time,,Observation,EUPATH_0000740,Malaria treatment,,,
X32._Inpatient,samp_coll_form_3,EUPATH_0023036,Patient status,Participant admitted as an inpatient or seen as an outpatient,Observation,EUPATH_0000096,Participant,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain",,
X33._Gender,questionnaire_form_1,PATO_0000047,Sex,,Participant,EUPATH_0000096,Participant,"01, 01 - Male | 02, 02 - Female | 03, 03 - Transgender | 00, 00 - Missing | 99, 99 - Uncertain",,
X34._Age_.at_enrollment.,questionnaire_form_1,EUPATH_0000120,Age at enrollment,,Participant,EUPATH_0000307,Participant study details,"2 digits, in years.  Missing = 00, uncertain = 99",,
X35._Tribal_.self.reported.,questionnaire_form_1,EUPATH_0023056,Tribal affilliation,Participant considers themselves Adivasi or a tribal person,Participant,EUPATH_0000096,Participant,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain",,
X36._State_of_residence,questionnaire_form_1,EUPATH_0023041,State,,Household,GAZ_00000448,Geographic location,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain",,
X37._State_of_birth,questionnaire_form_1,EUPATH_0000442,State of birth,,Participant,EUPATH_0000096,Participant,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain",,
X38._Move_in_last_1_m.,questionnaire_form_2,EUPATH_0023027,Moved in last month,,Observation,EUPATH_0023001,Relocation details,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain",,
X39._State,questionnaire_form_2,EUPATH_0023042,State moved from in last month,,Observation,EUPATH_0023001,Relocation details,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain",Is this state associated with X38?,Yes
X40._Move_in_last_12_m.,questionnaire_form_2,EUPATH_0023026,Moved in last 12 months,,Observation,EUPATH_0023001,Relocation details,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain",,
X41._State_1,questionnaire_form_2,EUPATH_0023044,States moved from in last 12 months,,Observation,EUPATH_0023001,Relocation details,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain","Is this state associated with X40?, what is it different from X42, X43?","Yes. If people moved in the last 12 months, they can enter up to 3 different states they moved between, so generally State_1 will have more answers than State_2 or State_3."
X42._State_2,questionnaire_form_2,EUPATH_0023044,States moved from in last 12 months,,Observation,EUPATH_0023001,Relocation details,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain","Is this state associated with X40?, what is it different from X41, X43?","Yes, see above"
X43._State_3,questionnaire_form_2,EUPATH_0023044,States moved from in last 12 months,,Observation,EUPATH_0023001,Relocation details,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain","Is this state associated with X40?, what is it different from X41, X42?",Yes see above
X44._Occupation,questionnaire_form_2,EUPATH_0000359,Occupation,,Participant,EUPATH_0000307,Participant study details,"01, 01 - not employed | 02, 02 - don't know | 03, 03 - farmer | 04, 04 - office worker | 05, 05 - housewife | 06, 06 - local trade | 07, 07 - plantation worker | 08, 08 - construction worker | 09, 09 - factory worker | 10, 10 - student | 11, 11 - soldier | 12, 12 - miner | 13, 13 - police | 14, 14 - forest worker | 15, 15 - other | 00, 00 - missing | 99, 99 - uncertain",,
X45._Travel_in_last_1_m.,questionnaire_form_3,EUPATH_0000387,Traveled in last month,,Observation,EUPATH_0000340,Travel details,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain",,
X46._State,questionnaire_form_3,EUPATH_0023043,State visited in last month,,Observation,EUPATH_0000340,Travel details,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain",,
X47._Travel_in_last_12_m.,questionnaire_form_3,EUPATH_0023055,Traveled in last 12 months,,Observation,EUPATH_0000340,Travel details,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain",,
X48._State_1,questionnaire_form_3,EUPATH_0023047,States visited in last 12 months,,Observation,EUPATH_0000340,Travel details,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain","Any difference between X48,49,59? Just indicate the subjects can specify 3 states they traveled in last 12 months?","Yes, let's map to the same ontology term"
X49._State_2,questionnaire_form_3,EUPATH_0023047,States visited in last 12 months,,Observation,EUPATH_0000340,Travel details,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain","We may map them to same ontology term, which can have more than one values.",
X50._State_3,questionnaire_form_3,EUPATH_0023047,States visited in last 12 months,,Observation,EUPATH_0000340,Travel details,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain",,
X51._Rx_name,inpatient_treatment_drug_1,EUPATH_0000058,malaria medication,,Observation,EUPATH_0000740,Malaria treatment,,"What options of different drugs?, one of these dropdown values ""01, 01 - CQ | 02, 02 - PQ | 03, 03 - DP | 04, 04 - AS | 05, 05 - SF | 06, 06 - MQ | 07, 07 - Lum | 08, 08 - QN | 09, 09 - ART | 10, 10 - AE | 11, 11 - Other | 12, 12 - PY | 13, 13 - DX | 00, 00 - Missing | 99, 99 - Uncertain""?",
X52A._Timepoint,inpatient_treatment_drug_1,EUPATH_0023016,drug taken timepoint,,Observation,EUPATH_0000740,Malaria treatment,,"Do we want map them to different variables, or map them to same ontology term regardless of timepoint?",
X53A._Dose,inpatient_treatment_drug_1,EUPATH_0023014,drug dose,,Observation,EUPATH_0000740,Malaria treatment,,,
X54A._Method,inpatient_treatment_drug_1,EUPATH_0023015,drug taken method,,Observation,EUPATH_0000740,Malaria treatment,,seems subClassOf OBI_0600007 administering substance in vivo,
X52B._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53B._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54B._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52C._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53C._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54C._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52D._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53D._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54D._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52E._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53E._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54E._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52F._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53F._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54F._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52G._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53G._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54G._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52H._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53H._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54H._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52I._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53I._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54I._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52J._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53J._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54J._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52K._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53K._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54K._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52L._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53L._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54L._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52M._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53M._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54M._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52N._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53N._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54N._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X52O._Timepoint,inpatient_treatment_drug_1,,,,Observation,,,,,
X53O._Dose,inpatient_treatment_drug_1,,,,Observation,,,,,
X54O._Method,inpatient_treatment_drug_1,,,,Observation,,,,,
X55._Additional_antimalarial.,inpatient_treatment_drug_2,,,,Observation,,,,,
X56._Rx_name,inpatient_treatment_drug_2,,,,Observation,,,,,
X57A._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58A._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59A._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57B._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58B._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59B._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57C._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58C._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59C._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57D._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58D._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59D._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57E._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58E._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59E._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57F._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58F._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59F._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57G._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58G._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59G._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57H._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58H._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59H._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57I._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58I._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59I._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57J._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58J._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59J._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57K._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58K._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59K._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57L._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58L._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59L._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57M._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58M._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59M._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57N._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58N._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59N._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57O._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58O._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59O._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57P._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58P._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59P._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57Q._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58Q._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59Q._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57R._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58R._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59R._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57S._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58S._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59S._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57T._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58T._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59T._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57U._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58U._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59U._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X57V._Timepoint,inpatient_treatment_drug_2,,,,Observation,,,,,
X58V._Dose,inpatient_treatment_drug_2,,,,Observation,,,,,
X59V._Method,inpatient_treatment_drug_2,,,,Observation,,,,,
X60._Additional_antimalarial.,inpatient_treatment_drug_3,,,,Observation,,,,,
X61._Rx_name,inpatient_treatment_drug_3,,,,Observation,,,,,
X62A._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63A._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64A._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62B._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63B._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64B._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62C._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63C._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64C._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62D._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63D._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64D._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62E._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63E._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
X64E._Method,inpatient_treatment_drug_3,,,,Observation,,,,,
X62F._Timepoint,inpatient_treatment_drug_3,,,,Observation,,,,,
X63F._Dose,inpatient_treatment_drug_3,,,,Observation,,,,,
