variable,IRI,parentIRI,parentLabel,label,dataset,category
X58B._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58C._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58D._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58E._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58F._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58G._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58H._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58I._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58J._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58K._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58L._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58M._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58N._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X58O._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
X59A._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59B._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59C._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59D._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59E._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59F._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59G._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59H._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59I._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59J._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59K._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59L._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59M._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59N._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X59O._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_2,Observation
X60._Additional_antimalarial.,,EUPATH_0000740,Malaria treatment,Take third antimalarial,inpatient_treatment_drug_3,Observation
X61._Rx_name,EUPATH_0000058,EUPATH_0000740,Malaria treatment,Malaria medication,inpatient_treatment_drug_3,Observation
X62A._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62B._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62C._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62D._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62E._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62F._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62G._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62H._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62I._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62J._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62K._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62L._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62M._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62N._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X62O._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_3,Observation
X63A._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63B._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63C._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63D._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63E._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63F._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63G._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63H._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63I._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63J._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63K._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63L._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63M._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63N._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X63O._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_3,Observation
X64A._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64B._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64C._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64D._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64E._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64F._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64G._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64H._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64I._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64J._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64K._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64L._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64M._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64N._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X64O._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_3,Observation
X65._Additional_Antimalarial,,EUPATH_0000740,Malaria treatment,Take fourth antimalarial,inpatient_treatment_drug_4,Observation
X66._Generic_antimalarial_name,EUPATH_0000058,EUPATH_0000740,Malaria treatment,Malaria medication,inpatient_treatment_drug_4,Observation
X67A._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67B._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67C._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67D._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67E._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67F._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67G._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67H._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67I._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67J._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67K._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67L._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67M._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67N._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X67O._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_4,Observation
X68A._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68B._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68C._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68D._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68E._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68F._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68G._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68H._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68I._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68J._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68K._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68L._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68M._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68N._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X68O._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_4,Observation
X69A._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69B._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69C._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69D._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69E._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69F._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69G._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69H._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69I._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69J._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69K._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69L._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69M._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69N._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X69O._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_4,Observation
X70._Additional_antimalarial,,EUPATH_0000740,Malaria treatment,Take  fifth antimalarial,inpatient_treatment_drug_5,Observation
X71._Generic_antimalarial_name,EUPATH_0000058,EUPATH_0000740,Malaria treatment,Malaria medication,inpatient_treatment_drug_5,Observation
X72A._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_5,Observation
X73A._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_5,Observation
X74A._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_5,Observation
