variable,dataFile,dataSet,keepDiscard,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,timeVarying,flag,Notes
X17._Collected_at_off.site_clinic.,samp_coll_form_2,South Asia,discard,2,chr,02_-_No,NA,NA,n/a,n/a,", 00_-_Missing, 01_-_Yes, 02_-_No, NA",3,0.123783965,once,NA,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain"
X18._Clinic_Name,samp_coll_form_2,South Asia,discard,3,chr,NA,NA,NA,n/a,n/a,>10 unique values,36,0.123783965,once,NA,
X19._Time_sent_to_lab_.24h.,samp_coll_form_2,South Asia,discard,4,chr,NA,NA,NA,n/a,n/a,>10 unique values,53,0.123783965,once,NA,
X2._Inclusion_._Patient_age_between_12_months_and_65_years.,enrollment_form,South Asia,discard,2,int,1,NA,NA,0,99,0 to 99,4,0,once,duplicated variable,
X2._Inclusion_._Patient_age_between_12_months_and_65_years.,enrollment_form_labkey_correctid,South Asia,NA,2,chr,01_-_Yes,NA,NA,n/a,n/a,"00_-_No_answer, 01_-_Yes, 02_-_No, 99_-_Uncertain, NA",4,0,once,duplicated variable,NA
X20._Date_sent_to_lab,samp_coll_form_2,South Asia,discard,5,chr,NA,date?,NA,n/a,n/a,>10 unique values,107,0.123783965,once,NA,
X21._Time_received_at_lab_.24h.,samp_coll_form_2,South Asia,discard,6,chr,NA,NA,NA,n/a,n/a,>10 unique values,121,0.123783965,once,NA,
X22._Date_received_at_lab,samp_coll_form_2,South Asia,discard,7,chr,NA,date?,NA,n/a,n/a,>10 unique values,108,0.123783965,once,NA,
X23._Consistent_storage_conditions,samp_coll_form_2,South Asia,discard,8,chr,NA,NA,NA,n/a,n/a,>10 unique values,91,0.123783965,once,NA,
X24._Storage_Temperature_C_degree,samp_coll_form_2,South Asia,discard,9,chr,NA,NA,NA,n/a,n/a,>10 unique values,16,0.123783965,once,NA,
X26._Hospital_RDT_.._Species_of_malaria.,samp_coll_form_3,South Asia,keep,2,chr,01_-_Pf,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Pf, 02_-_Pv, 05_-_mixed_Pf/Pv, 07_-_negative, NA",5,0,once,NA,"01, 01 - Pf | 02, 02 - Pv | 03, 03 - Pm | 04, 04 - Po | 05, 05 - mixed Pf/Pv | 06, 06 - mixed Pf/Pm | 07, 07 - negative | 00, 00 - Missing | 99, 99 - Uncertain"
X27._Hospital_Smear_.._Species_of_malaria,samp_coll_form_3,South Asia,keep,4,chr,00_-_Missing,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Pf, 02_-_Pv, 05_-_mixed_Pf/Pv, 07_-_negative",5,0,once,NA,"01, 01 - Pf | 02, 02 - Pv | 03, 03 - Pm | 04, 04 - Po | 05, 05 - mixed Pf/Pv | 06, 06 - mixed Pf/Pm | 07, 07 - negative | 00, 00 - Missing | 99, 99 - Uncertain"
X28._Hospital_Hb_.g.dl.,samp_coll_form_3,South Asia,keep,6,dbl,14.7,NA,NA,0,19.4,0 to 19.4,107,0,once,NA,In g/dL. No count performed = 00.0
X29._Antimalarial_therapy_initiation_at_GMC.,samp_coll_form_3,South Asia,keep,8,chr,01_-_Yes,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Yes, 02_-_No, NA",3,0,once,NA,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain"
X3._Inclusion_.._All_required_consent_forms_completed.,enrollment_form,South Asia,discard,3,int,1,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,
X3._Inclusion_.._All_required_consent_forms_completed.,enrollment_form_labkey_correctid,South Asia,NA,3,chr,01_-_Yes,NA,NA,n/a,n/a,"01_-_Yes, 02_-_No, NA",2,0,once,duplicated variable,NA
X30._Antimalarial_therapy_initiation_at_GMC_date,samp_coll_form_3,South Asia,keep,9,chr,NA,date?,NA,n/a,n/a,>10 unique values,351,0,once,NA,
X31._Antimalarial_therapy_initiation_at_GMC_time,samp_coll_form_3,South Asia,keep,10,chr,NA,NA,NA,n/a,n/a,>10 unique values,162,0,once,NA,
X32._Inpatient,samp_coll_form_3,South Asia,keep,11,chr,01_-_Yes,NA,NA,n/a,n/a,"01_-_Yes, 02_-_No, 99_-_Uncertain, NA",3,0,once,NA,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain"
X33._Gender,questionnaire_form_1,South Asia,keep,2,chr,01_-_Male,NA,NA,n/a,n/a,"01_-_Male, 02_-_Female, NA",2,0,once,NA,"01, 01 - Male | 02, 02 - Female | 03, 03 - Transgender | 00, 00 - Missing | 99, 99 - Uncertain"
X34._Age_.at_enrollment.,questionnaire_form_1,South Asia,keep,3,int,38,NA,NA,1,66,1 to 66,66,0,once,NA,"2 digits, in years.  Missing = 00, uncertain = 99"
X35._Tribal_.self.reported.,questionnaire_form_1,South Asia,keep,4,chr,02_-_No,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Yes, 02_-_No, NA",3,0,once,NA,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain"
X36._State_of_residence,questionnaire_form_1,South Asia,keep,5,chr,15_-_Karnataka,NA,NA,n/a,n/a,>10 unique values,18,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X37._State_of_birth,questionnaire_form_1,South Asia,keep,6,chr,28_-_Rajasthan,NA,NA,n/a,n/a,>10 unique values,33,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X38._Move_in_last_1_m.,questionnaire_form_2,South Asia,keep,2,chr,01_-_Yes,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Yes, 02_-_No, NA",3,0,once,NA,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain"
X39._State,questionnaire_form_2,South Asia,keep,3,chr,15_-_Karnataka,NA,NA,n/a,n/a,>10 unique values,18,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X4._Inclusion_.._Patient_is_positive_for_malaria.,enrollment_form,South Asia,discard,4,int,1,NA,NA,1,1,1 to 1,1,0,once,duplicated variable,
X4._Inclusion_.._Patient_is_positive_for_malaria.,enrollment_form_labkey_correctid,South Asia,NA,4,chr,01_-_Yes,NA,NA,n/a,n/a,"01_-_Yes, 02_-_No, NA",2,0,once,duplicated variable,NA
X40._Move_in_last_12_m.,questionnaire_form_2,South Asia,keep,4,chr,01_-_Yes,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Yes, 02_-_No, NA",3,0,once,NA,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain"
X41._State_1,questionnaire_form_2,South Asia,keep,5,chr,00_-_Missing,NA,NA,n/a,n/a,>10 unique values,22,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X42._State_2,questionnaire_form_2,South Asia,keep,6,chr,00_-_Missing,NA,NA,n/a,n/a,>10 unique values,15,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X43._State_3,questionnaire_form_2,South Asia,keep,7,chr,NA,NA,NA,n/a,n/a,"00_-_Missing, 05_-_Bihar, 09_-_Goa, 19_-_Maharashtra, 27_-_Punjab, 28_-_Rajasthan, 30_-_Tamil_Nadu, NA",7,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X44._Occupation,questionnaire_form_2,South Asia,keep,8,chr,15_-_other,NA,NA,n/a,n/a,>10 unique values,14,0,once,NA,"01, 01 - not employed | 02, 02 - don't know | 03, 03 - farmer | 04, 04 - office worker | 05, 05 - housewife | 06, 06 - local trade | 07, 07 - plantation worker | 08, 08 - construction worker | 09, 09 - factory worker | 10, 10 - student | 11, 11 - soldier | 12, 12 - miner | 13, 13 - police | 14, 14 - forest worker | 15, 15 - other | 00, 00 - missing | 99, 99 - uncertain"
X45._Travel_in_last_1_m.,questionnaire_form_3,South Asia,keep,2,chr,01_-_Yes,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Yes, 02_-_No, NA",3,0,once,NA,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain"
X46._State,questionnaire_form_3,South Asia,keep,3,chr,NA,NA,NA,n/a,n/a,>10 unique values,27,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X47._Travel_in_last_12_m.,questionnaire_form_3,South Asia,keep,4,chr,01_-_Yes,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Yes, 02_-_No, NA",3,0,once,NA,"01, 01 - Yes | 02, 02 - No | 00, 00 - Missing | 99, 99 - Uncertain"
X48._State_1,questionnaire_form_3,South Asia,keep,5,chr,15_-_Karnataka,NA,NA,n/a,n/a,>10 unique values,29,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X49._State_2,questionnaire_form_3,South Asia,keep,6,chr,00_-_Missing,NA,NA,n/a,n/a,>10 unique values,21,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X5._Exclusion_.._Patient_Hb_less_than_7_g.dl_.severe_anemia..,enrollment_form,South Asia,discard,5,int,2,NA,NA,0,2,0 to 2,3,0,once,duplicated variable,
X5._Exclusion_.._Patient_Hb_less_than_7_g.dl_.severe_anemia..,enrollment_form_labkey_correctid,South Asia,NA,5,chr,02_-_No,NA,NA,n/a,n/a,"00_-_Missing, 01_-_Yes, 02_-_No, NA",3,0,once,duplicated variable,NA
X50._State_3,questionnaire_form_3,South Asia,keep,7,chr,00_-_Missing,NA,NA,n/a,n/a,>10 unique values,13,0,once,NA,"01, 01 - Andaman & Car Nicobar Island | 02, 02 - Andhra Pradesh | 03, 03 - Arunachal Pradesh | 04, 04 - Assam | 05, 05 - Bihar | 06, 06 - Chandigarh | 07, 07 - Chhattisgarh | 08, 08 - Daman Diu and Nagra Haveli | 09, 09 - Goa | 10, 10 - Gujarat | 11, 11 - Haryana | 12, 12 - Himachal Pradesh | 13, 13 - Jammu and Kashmir | 14, 14 - Jharkhand | 15, 15 - Karnataka | 16, 16 - Kerala | 17, 17 - Lakhshyadweep | 18, 18 - Madhya Pradesh | 19, 19 - Maharashtra | 20, 20 - Manipur | 21, 21 - Meghalaya | 22, 22 - Mizoram | 23, 23 - Nagaland | 24, 24 - National Capital Delhi | 25, 25 - Orissa | 26, 26 - Pondicherry | 27, 27 - Punjab | 28, 28 - Rajasthan | 29, 29 - Sikkim | 30, 30 - Tamil Nadu | 31, 31 - Telangana | 32, 32 - Tripura | 33, 33 - Uttarakhand | 34, 34 - Uttar Pradesh | 35, 35 - West Bengal | 36, 36 - Outside of India | 00, 00 - Missing | 99, 99 - Uncertain"
X51._Rx_name,inpatient_treatment_drug_1,South Asia,keep,2,chr,04_-_AS,NA,NA,n/a,n/a,>10 unique values,11,0,once,NA,
X51a._Name_of_other_antimalarial,inpatient_treatment_drug_1,South Asia,discard,3,chr,NA,NA,NA,n/a,n/a,>10 unique values,39,0,once,NA,
X52A._Timepoint,inpatient_treatment_drug_1,South Asia,keep,4,dbl,2,NA,NA,-3.5,5,-3.5 to 5,6,0,once,NA,
X52B._Timepoint,inpatient_treatment_drug_1,South Asia,keep,7,dbl,2.5,NA,NA,-3,6,-3 to 6,12,0,once,NA,
X52C._Timepoint,inpatient_treatment_drug_1,South Asia,keep,10,dbl,3,NA,NA,-2.5,4,-2.5 to 4,10,0,once,NA,
