IRI,label,category,parentLabel,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
EUPATH_0009227,Mean duration of diarrheal episodes,Participant,Diarrheal episodes,MALED_diarrhea.txt::mean duration of diarrheal episodes in days,MALED_diarrhea.txt,4,,yes,,,EuPathDB_0009043,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
EUPATH_0009226,Mean duration of Campylobacter-pos diarrheal episodes,Participant,Diarrheal episodes,MALED_diarrhea.txt::mean duration of campylobacter-positive diarrheal episodes in days,MALED_diarrhea.txt,5,,yes,,,EuPathDB_0009042,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
EUPATH_0009225,Mean duration of Campylobacter-neg diarrheal episodes,Participant,Diarrheal episodes,MALED_diarrhea.txt::mean duration of campylobacter-negative diarrheal episodes in days,MALED_diarrhea.txt,6,,yes,,,EuPathDB_0009041,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
EUPATH_0009230,Mean severity of diarrheal episodes,Participant,Diarrheal episodes,MALED_diarrhea.txt::mean severity of diarrheal episodes,MALED_diarrhea.txt,7,,yes,,,EuPathDB_0009046,,,,,,,,,
EUPATH_0009229,Mean severity of Campylobacter-pos diarrheal episodes,Participant,Diarrheal episodes,MALED_diarrhea.txt::mean severity of campylobacter-positive diarrheal episodes,MALED_diarrhea.txt,8,,yes,,,EuPathDB_0009045,,,,,,,,,
EUPATH_0009228,Mean severity of Campylobacter-neg diarrheal episodes,Participant,Diarrheal episodes,MALED_diarrhea.txt::mean severity of campylobacter-negative diarrheal episodes,MALED_diarrhea.txt,9,,yes,,,EuPathDB_0009044,,,,,,,,,
EUPATH_0011678,Different food groups consumed,Participant,Diet,MALED_diarrhea.txt::number of who food groups,MALED_diarrhea.txt,,,yes,,,,,,,,,,,,
UBERON_0000466,Host body habitat,Participant,Participant,MALED_diarrhea.txt::body_habitat,MALED_diarrhea.txt,,,,,,,,,,,,,,,
UBERON_0000463,Host body product,Participant,Participant,MALED_diarrhea.txt::body_product,MALED_diarrhea.txt,,,,,,,,,,,,,,,
UBERON_0000061,Host body site,Participant,Participant,MALED_diarrhea.txt::body_site,MALED_diarrhea.txt,,,,,,,,,,,,,,,
EUPATH_0009359,ClinEpiDB.org study,Sample,Sample details,MALED_diarrhea.txt::clinepidb_study,MALED_diarrhea.txt,1,Name of the corresponding study on ClinEpiDB.org where additional clinical and/or epidemiological data for this sample can be found.,,,,,,,yes,,,,,,
OBI_0100051,Sample type,Sample,Sample details,MALED_diarrhea.txt::sample_type,MALED_diarrhea.txt,2,,,,,,,,,,,,,,
SO_0001000,Region of 16S rRNA sequenced,Sequencing assay,Sequencing,MALED_diarrhea.txt::region,MALED_diarrhea.txt,,,,,,,,,,,,,,,
