colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,notes,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
16,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,lat_y,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,parent from db lookup,GPS - Latitude in decimal,Numeric,,,,,Brazil Rio Azul,,,,,,,,,
17,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,long_x,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,GPS - Longitude em decimal,Numeric,,,,,Brazil Rio Azul,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,geohash1,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Brazil Rio Azul,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,geohash2,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Brazil Rio Azul,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,geohash3,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Brazil Rio Azul,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,geohash4,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Brazil Rio Azul,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,geohash5,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Brazil Rio Azul,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,geohash6,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,"variable, derived",,,,Brazil Rio Azul,,,,everywhere,,,,,
11,http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,data_dom,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Date of household visit,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,parent from db lookup,Date of the household visit - surveys 2 and 3,data,,,,,Brazil Rio Azul,,,,,,,,,
29,http://purl.obolibrary.org/obo/EUPATH_0057764,Treated bednet count,mosqimpreg,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,How many mosquito nets impregnated with insecticide are there in this household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,parent from db lookup,How many mosquito nets impregnated with insecticide are there in this household?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
30,http://purl.obolibrary.org/obo/CLINEPIDB_00015,Sprayed,borrif,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Has the house been sprayed?,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,Has the house been sprayed?,"0 - No, 1 - Yes, 9 - Dosen´t know/answer",,,,,Brazil Rio Azul,,,,,,,,,
33,http://purl.obolibrary.org/obo/CLINEPIDB_00018,Radio count,radio,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Radio? How many?,"Integer (number, Min: 0, Max: 99)",,,,,Brazil Rio Azul,,,,,,,,,
34,http://purl.obolibrary.org/obo/EUPATH_0035051,Mobile phone count,cel,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Cell phone? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
35,http://purl.obolibrary.org/obo/CLINEPIDB_00019,Stove count,fogao,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Gas stove? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
36,http://purl.obolibrary.org/obo/CLINEPIDB_00020,Living room set count,jogosala,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Living room set? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
37,http://purl.obolibrary.org/obo/CLINEPIDB_00021,Well count,poco,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Hog? Howm many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
38,http://purl.obolibrary.org/obo/EUPATH_0022196,Horse count,cavalo,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Horse? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
39,http://purl.obolibrary.org/obo/EUPATH_0022199,Pig count,porco,7,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Hog? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
40,http://purl.obolibrary.org/obo/CLINEPIDB_00022,Poultry count,galinha,8,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Chicken and/or duck? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
41,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,boi,9,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Ox/cow? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
42,http://purl.obolibrary.org/obo/CLINEPIDB_00023,Motorboat count,barco,10,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Motorboat? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
43,http://purl.obolibrary.org/obo/CLINEPIDB_00024,Chainsaw count,motosser,11,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Chainsaw? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
44,http://purl.obolibrary.org/obo/CLINEPIDB_00025,Generator count,gerador,12,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Generator? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
98,http://purl.obolibrary.org/obo/CLINEPIDB_00052,Sleep duration,dormeh,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,Nocturnal rest period (sleep),time,,yes,,,Brazil Rio Azul,,,,,,,,,
99,http://purl.obolibrary.org/obo/EUPATH_0020163,Out of bed time,acordah,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,parent from db lookup,Wake-up time,time,,yes,,,Brazil Rio Azul,,,,,,,,,
100,http://purl.obolibrary.org/obo/EUPATH_0022194,Sleep with window open,janela,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,parent from db lookup,Sleeping with the window,0 - Closed,,yes,,,Brazil Rio Azul,,,,,,,,,
103,http://purl.obolibrary.org/obo/CLINEPIDB_00054,Fishing,pescou,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Fishing on the riverbank?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,Fishing on the riverbank?,0 - No,,,,,Brazil Rio Azul,,,,,,,,,
104,http://purl.obolibrary.org/obo/CLINEPIDB_00055,Hunting,cacou,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,Hunting?,0 - No,,,,,Brazil Rio Azul,,,,,,,,,
105,http://purl.obolibrary.org/obo/EUPATH_0022252,Bathing location,banhofora,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,parent from db lookup,Taking shower indoor(s) or outdoor(s),0 - Indoor,,,,,Brazil Rio Azul,,,,,,,,,
106,http://purl.obolibrary.org/obo/CLINEPIDB_00056,Malaria,tevemalaria,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Did the person ever have malaria (ENDEMIA diagnosis)?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,Did the person ever have malaria (ENDEMIA diagnosis)?,0 - No,,yes,,,Brazil Rio Azul,,,,,,,,,
107,http://purl.obolibrary.org/obo/CLINEPIDB_00057,Malaria diagnoses count,malariavezes,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,,Integer,,yes,,,Brazil Rio Azul,,,,,,,,,
108,http://purl.obolibrary.org/obo/CLINEPIDB_00058,Malaria vivax,vivax,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Did the person have malaria vivax?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,Did the person have malaria vivax?,0 - No,,yes,,,Brazil Rio Azul,,,,,,,,,
109,http://purl.obolibrary.org/obo/CLINEPIDB_00059,Malaria falciparum,falciparum,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Did the person have malaria falciparum?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,Did the person have malaria falciparum?,0 - No,,yes,,,Brazil Rio Azul,,,,,,,,,
110,http://purl.obolibrary.org/obo/EUPATH_0000427,Time since last malaria diagnosis,ultmalariaanos,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,When was the last malaria? Years,Integer,,yes,,,Brazil Rio Azul,,,,,,,,,
111,http://purl.obolibrary.org/obo/EUPATH_0000427,Time since last malaria diagnosis,ultmalariameses,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,Months,Integer,,yes,,,Brazil Rio Azul,months,,,,,,,,
60,http://purl.obolibrary.org/obo/OBI_0001169,Age,idade,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Age (in years),Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,parent from db lookup,Age (in years),Numeric,,yes,,,Brazil Rio Azul,years,http://purl.obolibrary.org/obo/UO_0000036,yes,,,,,,
63,http://purl.obolibrary.org/obo/PATO_0000047,Sex,sexo,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,parent from db lookup,Sex,"0 - Female, 1 - Male",,yes,,,Brazil Rio Azul,,,,,,,,,
64,http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,nasc,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Date of birth,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,parent from db lookup,Date of birth,Date,,yes,,,Brazil Rio Azul,,,,,,,,,
65,http://purl.obolibrary.org/obo/EUPATH_0012417,Birth place,locnasc,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Place of birth,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,parent from db lookup,Place of birth,"0 - Mâncio Lima, 1 - Other; 9 - Doesn´t know/answer",,yes,,,Brazil Rio Azul,,,,,,,,,
66,http://purl.obolibrary.org/obo/CLINEPIDB_00037,State of birth,ufnasc,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,State of birth,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,State of birth,"11 - Rondônia, 12 - Acre; 13 - Amazonas; 14 - Roraima; 15 - Pará; 16 - Amapá; 17 - Tocantins; 21 - Maranhão; 22 - Piauí; 23 - Ceará; 24 - Rio Grande do Norte; 25 - Paraíba; 26 - Pernambuco; 27 - Alagoas; 28 - Sergipe; 29 - Bahia; 31 - Minas Gerais; 32 - Espírito Santo; 33 - Rio de Janeiro; 35 - São Paulo; 41 - Paraná; 42 - Santa Catarina; 43 - Rio Grande do Sul; 50 - Mato Grosso do Sul; 52 - Goiás; 51 - Mato Grosso; 53 - Distrito Federal",,yes,,,Brazil Rio Azul,,,,,,,,,
67,http://purl.obolibrary.org/obo/CLINEPIDB_00038,Municipality of birth,municnasc,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Municipality of birth,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,Municipality of birth,Text,,yes,,,Brazil Rio Azul,,,,,,,,,
76,http://purl.obolibrary.org/obo/EUPATH_0022104,Literacy level,ler,7,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Can read and write?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,parent from db lookup,Can read and write?,"0 - No, 1 - Yes; 9 - Dosen´t know/answer",,yes,,,Brazil Rio Azul,,,,,,,,,
77,http://purl.obolibrary.org/obo/EUPATH_0054021,Currently in school,freqesc,8,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Attends school or daycare,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,parent from db lookup,Attends school or daycare,"0 - No, 1 - Yes; 9 - Dosen´t know/answer",,yes,,,Brazil Rio Azul,,,,,,,,,
78,http://purl.obolibrary.org/obo/EUPATH_0022103,Total education,anosest,9,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Completed years of study,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,parent from db lookup,Completed years of study,Numeric,,yes,,,Brazil Rio Azul,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
97,http://purl.obolibrary.org/obo/CLINEPIDB_00051,Sleeping room characteristic,cdorme,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,Room where the person sleeps,0 - Closed without gaps,,,,,Brazil Rio Azul,,,,,,,,,
80,http://purl.obolibrary.org/obo/APOLLO_SV_00000570,Employment status,trabalhou,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,"Did you work earning money, products, goods or benefits? (benefits: housing, food, training, etc.)",Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,parent from db lookup,"Did you work earning money, products, goods or benefits? (benefits: housing, food, training, etc.)","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,Brazil Rio Azul,,,,,,,,,
81,http://purl.obolibrary.org/obo/CLINEPIDB_00040,Military,tipotrab,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,In this job the person was,"0 - Employee with a formal contract, 1 - Military; 2 - Public agent; 3 - Employee without formal contract; 4 - Self employed; 5 - Employer; 6 - Unpayed; 9 - Dosen´t know/answer",,,,,Brazil Rio Azul,,,,,,,,,
82,http://purl.obolibrary.org/obo/CLINEPIDB_00041,Plant or animal based employment,pesca,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,"Did the person work in plantation, animal husbandry or fishing? Including hunting and plant extraction?",Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,"Did the person work in plantation, animal husbandry or fishing? Including hunting and plant extraction?","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,yes,,,Brazil Rio Azul,,,,,,,,,
83,http://purl.obolibrary.org/obo/CLINEPIDB_00042,Retirement or pension,aposent,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,"Retirement or pension from an official social security institute (federal, state, municipal)?",Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,"Retirement or pension from an official social security institute (federal, state, municipal)?","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,Brazil Rio Azul,,,,,,,,,
84,http://purl.obolibrary.org/obo/CLINEPIDB_00043,Social program,bolsafam,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Bolsa Familia social program or other?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,Bolsa Familia social program or other?,"0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,Brazil Rio Azul,,,,,,,,,
52,http://purl.obolibrary.org/obo/EUPATH_0011928,Urban or rural site,casa_fora_rurb1,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Whether the second residence is rural or urban,Participant,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,parent from db lookup,Rural or urban home off main,"0 - Urbano, 1 - Rural; 9 - Dosen´t know/answer",,,,,Brazil Rio Azul,,,,,,,,,
59,http://purl.obolibrary.org/obo/CLINEPIDB_00036,Community in Brazil,comun,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,Community,Text,,,,,Brazil Rio Azul,,,,,,,,,
,http://purl.obolibrary.org/obo/CLINEPIDB_00013,Location of second residence,,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,,,multifilter,,,,,,,,,,,,,
50,http://purl.obolibrary.org/obo/CLINEPIDB_00032,Municipality of second residence,casa_fora_mun1,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,Municipality of main house outside,Text,,,,,Brazil Rio Azul,,,,,,,,,
70,http://purl.obolibrary.org/obo/EUPATH_0024002,Time resided at current location,residanos,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Time residing in this house (years),Participant,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,parent from db lookup,Time residing in this house (years),Numeric,,,,,Brazil Rio Azul,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
75,http://purl.obolibrary.org/obo/CLINEPIDB_00039,Urban or rural location,sit,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,whether the place visited is rural or urban,Participant,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,,Situation,"0 - Rural, 1 - Urban; 9 - Doesn´t know/answered",,,,,Brazil Rio Azul,,,,,,,,,
46,http://purl.obolibrary.org/obo/CLINEPIDB_00028,Another community in Rio Azul,casa_fora_onde0,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/CLINEPIDB_00013,Location of second residence,,"If you own a house elsewhere, where?",Another community in Rio Azul,value,,,,Brazil Rio Azul,,,,,,,,,
47,http://purl.obolibrary.org/obo/CLINEPIDB_00029,Another rural community in Mancio Lima,casa_fora_onde1,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/CLINEPIDB_00013,Location of second residence,,"If you own a home elsewhere, where? Two",Another rural community in Mâncio Lima,value,,,,Brazil Rio Azul,,,,,,,,,
48,http://purl.obolibrary.org/obo/CLINEPIDB_00030,Mancio Lima town,casa_fora_onde2,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/CLINEPIDB_00013,Location of second residence,,"If you own a home elsewhere, where? 3",Mâncio Lima (town),value,,,,Brazil Rio Azul,,,,,,,,,
49,http://purl.obolibrary.org/obo/CLINEPIDB_00031,Other,casa_fora_onde3,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/CLINEPIDB_00013,Location of second residence,,"If you own a home elsewhere, where? 4",Other(s),value,,,,Brazil Rio Azul,,,,,,,,,
1,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint ,inquerito,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,parent from db lookup,Inquiry,"1 - Apr. 2016, 2 - Jul. 2018, 3 - Jul. 2019",,yes,yes,yes,Brazil Rio Azul,,,yes,,,,,,
2,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,visita,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Month of visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,parent from db lookup,Year and month of visit,Text,,,yes,,Brazil Rio Azul,,,,,,,,,
3,http://purl.obolibrary.org/obo/EUPATH_0010374,Year,ano,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Year of visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,parent from db lookup,Year of the visit,Text,,,yes,,Brazil Rio Azul,,,,,,,,,yes
13,http://purl.obolibrary.org/obo/EUPATH_0000091,Visit date,data_ind,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Date of participant interview,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,parent from db lookup,Date of the Individual interview - surveys 2 and 3,data,,,yes,,Brazil Rio Azul,,,,,,,,,
15,http://purl.obolibrary.org/obo/EUPATH_0021205,Observation notes,info,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Notes,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,parent from db lookup,Informations,Text,,,,,Brazil Rio Azul,,,,,,,,,
61,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,agegrp1,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Age group,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,parent from db lookup,Age in 4 age-groups,"1 - 0-5, 42041; 17973; 4 - 50+",,yes,,,Brazil Rio Azul,,,,,,,,,
101,http://purl.obolibrary.org/obo/EUPATH_0025013,Bednet last night,usoumosq,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Did the person use a mosquito net the night before?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,parent from db lookup,Did the person use a mosquito net the night before?,0 - No,,,yes,,Brazil Rio Azul,,,,,,,,,
79,http://purl.obolibrary.org/obo/EUPATH_0053075,Length of residence,residmeses,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Residence time (in months),Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,parent from db lookup,Residence time (in months),Numeric,,,,,Brazil Rio Azul,months,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,2,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,parent from db lookup,,,multifilter,,yes,,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,,multifilter,,yes,,,,,,,,,,,
45,http://purl.obolibrary.org/obo/CLINEPIDB_00026,Other residence count,casa_fora,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,House elsewhere? How many?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,House elsewhere? How many?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
