"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType","type","example","dateTime","formatCode","values","uniqueValueCount","percentMissing","flag","variable_dataFile"
23,"cobert","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000003","Roof material",,"Household",,,"Predominant materials on the roof of the house","0 - Fiber cement/asbestos, 1 - Aluminium, 2 - Wood, 3 - Clay tile, 4 - Other",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",4,,,"0 to 4",3,0.006122449,,"cobert"
24,"cobert_outro","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0064454","Other roof material",,"Household",,,"Other material? Which?","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","palha",,,", PALHA, palha",2,0.93877551,,"cobert_outro"
25,"forro","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Roof lining or slab",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000303","Dwelling characteristics","Is there lining or roof slab","0 - No, 1 - Yes",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 0",1,0.010204082,,"forro"
26,"comodos","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0011593","Room count",,"Household",,,"Number of rooms in the house","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 6",6,0.006122449,,"comodos"
27,"dorm","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000025","Sleeping rooms in dwelling count",,"Household",,,"How many rooms serve as dormitories for the household residents?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 4",4,0.006122449,,"dorm"
28,"camas","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022114","Bed count",,"Household",,,"How many beds are there in this household?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 10",10,0.018367347,,"camas"
29,"mosqimpreg","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0057764","Treated bednet count",,"Household",,,"How many mosquito nets impregnated with insecticide are there in this household?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 8",7,0.018367347,,"mosqimpreg"
30,"borrif","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Sprayed",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000341","Household vector intervention","Has the house been sprayed?","0 - No, 1 - Yes, 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 0",1,0.018367347,,"borrif"
31,"banheiros","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Bathroom count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000303","Dwelling characteristics","How many bathrooms for the exclusive use of residents are there in this household? (Including those located on the land or property)","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.024489796,,"banheiros"
32,"localbanho","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Household bathing location",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000303","Dwelling characteristics","Residents' bathing place","0 - Indoors, 1 - Outdoors, 2- Both",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 1",2,0.018367347,,"localbanho"
33,"radio","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Radio count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Radio? How many?","Integer (number, Min: 0, Max: 99)",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 1",2,0.018367347,,"radio"
34,"cel","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0035051","Mobile phone count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Cell phone? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 4",5,0.018367347,,"cel"
35,"fogao","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Stove count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Gas stove? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 2",3,0.018367347,,"fogao"
36,"jogosala","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Living room set count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Living room set? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 2",3,0.018367347,,"jogosala"
37,"poco","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Pit count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Hog? Howm many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.018367347,,"poco"
38,"cavalo","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022196","Horse count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Horse? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.030612245,,"cavalo"
39,"porco","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022199","Pig count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Hog? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 22",5,0.030612245,,"porco"
40,"galinha","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Poultry count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Chicken and/or duck? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"0 to 50",18,0.018367347,,"galinha"
41,"boi","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022195","Cattle count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Ox/cow? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"0 to 40",14,0.018367347,,"boi"
42,"barco","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Motorboat count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Motorboat? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 2",3,0.018367347,,"barco"
43,"motosser","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Chainsaw count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Chainsaw? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 2",3,0.018367347,,"motosser"
44,"gerador","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Generator count",,"Household","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Generator? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 1",2,0.018367347,,"gerador"
45,"casa_fora","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Other residence count",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","House elsewhere? How many?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.018367347,,"casa_fora"
,,,,"Location of second residence",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0011995","Household observation details",,,"multifilter",,,,,,,,,,,,,,,,,,,,,,,,,
46,"casa_fora_onde0","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Another community in Rio Azul",,"Participant",,"Location of second residence","If you own a house elsewhere, where?","Another community in Rio Azul","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"0 to 2",2,0.416326531,,"casa_fora_onde0"
47,"casa_fora_onde1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Another rural community in Mancio Lima",,"Participant",,"Location of second residence","If you own a home elsewhere, where? Two","Another rural community in Mâncio Lima","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.489795918,,"casa_fora_onde1"
48,"casa_fora_onde2","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Mancio Lima town",,"Participant",,"Location of second residence","If you own a home elsewhere, where? 3","Mâncio Lima (town)","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.489795918,,"casa_fora_onde2"
49,"casa_fora_onde3","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Other",,"Participant",,"Location of second residence","If you own a home elsewhere, where? 4","Other(s)","value",,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0.489795918,,"casa_fora_onde3"
50,"casa_fora_mun1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Municipality of second residence",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0011995","Household observation details","Municipality of main house outside","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr",0,,,", 0, COLONIA (LOCALIZADO EM MANCIO LIMA)",2,0.983673469,,"casa_fora_mun1"
52,"casa_fora_rurb1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0011928","Urban or rural site",,"Participant",,,"Rural or urban home off main","0 - Urbano, 1 - Rural; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 0",1,0.983673469,,"casa_fora_rurb1"
53,"pess","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000019","Persons living in house count",,"Participant",,,"How many people live in this household?","Integer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",4,,,"1 to 9",9,0,,"pess"
55,"ind_riqueza","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000014","Household wealth index, numerical",,"Participant",,,"Wealth Index","Numeric",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"dbl",-1.203961372,,,"-3.22010159492493 to 5.29953670501709",100,0,,"ind_riqueza"
56,"ind_riqueza_quintil","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Wealth Index quintiles",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Wealth Index quintiles","1 - First quintile (poorest), 2 - Second quintile; 3 - Third quintile; 4 - Fourth quintile; 5 - Fifth quintile (more affluent)",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"1 to 5",5,0,,"ind_riqueza_quintil"
57,"ind_riqueza_quartil","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Wealth index quartiles",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Wealth index quartiles","1 - First quartile (poorest), 2 - Fecond quartile; 3 - Third quartile; 4 - Fourth quartile (more affluent)",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",2,,,"1 to 4",4,0,,"ind_riqueza_quartil"
58,"ind_riqueza_tercil","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Wealth index tertiles",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000304","Socioeconomic factors","Wealth index tertiles","1 - First tertile (poorest), 2 - Second tertile; 3 - Third tertile (more affluent)",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 3",3,0,,"ind_riqueza_tercil"
59,"comun","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Community in Brazil",,"Participant","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","Community","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","BURITIS",,,">10 unique values",11,0,,"comun"
60,"idade","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/OBI_0001169","Age",,"Participant",,,"Age (in years)","Numeric",,,,,,,,"Brazil Rio Azul",,,"yes",,,,,,,"int",49,,,"0 to 75",68,0.036734694,,"idade"
61,"agegrp1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0010367","Age group",,"Participant",,,"Age in 4 age-groups","1 - 0-5, 42041; 17973; 4 - 50+",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",3,,,"1 to 4",4,0.036734694,,"agegrp1"
63,"sexo","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/PATO_0000047","Sex",,"Participant",,,"Sex","0 - Female, 1 - Male",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 1",2,0,,"sexo"
64,"nasc","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://www.ebi.ac.uk/efo/EFO_0004950","Birth date",,"Participant",,,"Date of birth","Date",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","10/14/69","date?","%d/%m/%Y",">10 unique values",337,0.167346939,,"nasc"
65,"locnasc","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0012417","Birth place",,"Participant",,,"Place of birth","0 - Mâncio Lima, 1 - Other; 9 - Doesn´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 3",3,0,,"locnasc"
66,"ufnasc","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"State of birth",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","State of birth","11 - Rondônia, 12 - Acre; 13 - Amazonas; 14 - Roraima; 15 - Pará; 16 - Amapá; 17 - Tocantins; 21 - Maranhão; 22 - Piauí; 23 - Ceará; 24 - Rio Grande do Norte; 25 - Paraíba; 26 - Pernambuco; 27 - Alagoas; 28 - Sergipe; 29 - Bahia; 31 - Minas Gerais; 32 - Espírito Santo; 33 - Rio de Janeiro; 35 - São Paulo; 41 - Paraná; 42 - Santa Catarina; 43 - Rio Grande do Sul; 50 - Mato Grosso do Sul; 52 - Goiás; 51 - Mato Grosso; 53 - Distrito Federal",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","AC",,,", 12, 13, 41, AC, AM, Peru",6,0.442857143,,"ufnasc"
67,"municnasc","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Municipality of birth",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","Municipality of birth","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","CRUZEIRO DO SUL",,,">10 unique values",22,0.748979592,,"municnasc"
70,"residanos","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0024002","Time resided at current location",,"Participant",,,"Time residing in this house (years)","Numeric",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 99",29,0.044897959,,"residanos"
75,"sit","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Urban or rural location",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0024182","Household relocation","Situation","0 - Rural, 1 - Urban; 9 - Doesn´t know/answered",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",3,0,,"sit"
76,"ler","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022104","Literacy level",,"Participant",,,"Can read and write?","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 9",3,0,,"ler"
77,"freqesc","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0054021","Currently in school",,"Participant",,,"Attends school or daycare","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 9",3,0,,"freqesc"
78,"anosest","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022103","Total education",,"Participant",,,"Completed years of study","Numeric",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 99",18,0.07755102,,"anosest"
79,"residmeses","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0053075","Length of residence",,"Participant",,,"Residence time (in months)","Numeric",,,,,,,,"Brazil Rio Azul","months",,,,,,,,,"dbl",0,,,"0 to 11",10,0.173469388,,"residmeses"
80,"trabalhou","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/APOLLO_SV_00000570","Employment status",,"Participant",,,"Did you work earning money, products, goods or benefits? (benefits: housing, food, training, etc.)","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",3,0.634693878,,"trabalhou"
81,"tipotrab","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Military",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000342","Employment","In this job the person was","0 - Employee with a formal contract, 1 - Military; 2 - Public agent; 3 - Employee without formal contract; 4 - Self employed; 5 - Employer; 6 - Unpayed; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",4,,,"3 to 9",3,0.718367347,,"tipotrab"
82,"pesca","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Plant or animal based employment",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000342","Employment","Did the person work in plantation, animal husbandry or fishing? Including hunting and plant extraction?","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 9",3,0.634693878,,"pesca"
83,"aposent","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Retirement or pension",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000342","Employment","Retirement or pension from an official social security institute (federal, state, municipal)?","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",0,,,"0 to 9",3,0.634693878,,"aposent"
84,"bolsafam","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Social program",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000342","Employment","Bolsa Familia social program or other?","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",3,0.634693878,,"bolsafam"
85,"viajou","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Travel for plant or animal based work",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","Did the person travel outside the community? Work in farming, animal husbandry or fishing? Including hunting and plant extraction","0 - No, 1 - Yes; 9 - Dosen´t know/answer",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"0 to 9",3,0,,"viajou"
86,"comun1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0049007","Place visited",,"Participant",,,"Community to which the person was dislocated","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","AREA URBANA",,,", AREA URBANA, MANCIO LIMA, PE DA SERRA, QUEIMADO, SERRA DO MOA",5,0.77755102,,"comun1"
87,"munic1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Municipality visited",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","Municipality to which the person was dislocated","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","MANCIO LIMA",,,", 99, MANCIO LIMA",2,0.602040816,,"munic1"
88,"uf1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0000447","State visited",,"Participant",,,"State of dislocation","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","AC",,,", 12, AC",2,0.630612245,,"uf1"
89,"rurb1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Rural or urban place visited",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","Rural or urban","0 - Rural, 1 - Urban; 9 - Doesn´t know/answered",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"int",1,,,"1 to 2",2,0.606122449,,"rurb1"
90,"dias1","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0022437","Duration of travel to destination",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","How many days did the person stay","Numeric",,,,,,,,"Brazil Rio Azul","days",,,,,,,,,"int",14,,,"2 to 30",15,0.618367347,,"dias1"
91,"comun2","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023","http://purl.obolibrary.org/obo/EUPATH_0057723","Place visited, 2",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","Community to which the person was dislocated 2","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","LIBERDADE",,,", LIBERDADE",1,0.997959184,,"comun2"
92,"munic2","icemr1_brazil_rio_azul_(mancio lima)_04_07_2023",,"Municipality visited, 2",,"Participant","http://purl.obolibrary.org/obo/OMRSE_00000142","Travel details","Municipality to which the person was dislocated 2","Text",,,,,,,,"Brazil Rio Azul",,,,,,,,,,"chr","MANCIO LIMA",,,", CRUZEIRO DO SUL, MANCIO LIMA",2,0.987755102,,"munic2"
