variable,dataFile,keepDiscard,notesForDL,codebookDescription,cookbookValues,timeVarying,duplicated,dateTime
liver_tender,score_sm_cohort_ken_tan_march3_2020,"","",Is liver tender?,"0=No, 1=Yes", ,FALSE, 
liver_texture,score_sm_cohort_ken_tan_march3_2020,"","",What is the liver texture like?,"0=Normal, 1=Irregular", ,FALSE, 
malaria,score_sm_cohort_ken_tan_march3_2020,"","",Malaria blood smear test,"0=Negative, 1=Positive", ,FALSE, 
mcl,score_sm_cohort_ken_tan_march3_2020,"","",MCL length,, ,FALSE, 
mcl_l_palp,score_sm_cohort_ken_tan_march3_2020,"","","If spleen is palpable, what is left MCL?",, ,FALSE, 
mcl_r_palp,score_sm_cohort_ken_tan_march3_2020,"","","If liver is palpable, what is the right mid-clavicular line (MCL) length?",, ,FALSE, 
mean_epg,score_sm_cohort_ken_tan_march3_2020,"","","Mean Schistosoma mansoni infection intensity (eggs per gram of stool): arithmetic mean of sm1a_epg, sm1b_epg, sm2a_epg, sm2b_epg, sm3a_epg, sm3b_epg",, ,FALSE, 
person_id,score_sm_cohort_ken_tan_march3_2020,"","",Person ID,, ,FALSE, 
phys_pql_c,score_sm_cohort_ken_tan_march3_2020,"","",Physical subscale for PedsQL (pediatric quality of life questionnaire) based on child's responses,, ,FALSE, 
phys_pql_p,score_sm_cohort_ken_tan_march3_2020,"","",Physical subscale for PedsQL based on parent's responses,, ,FALSE, 
port_sys_collat,score_sm_cohort_ken_tan_march3_2020,"","",Are collaterals detected?,"0=Not detected, 1=Detected", ,FALSE, 
port_v_diam,score_sm_cohort_ken_tan_march3_2020,"","",Portal vein diameter,, ,FALSE, 
psl,score_sm_cohort_ken_tan_march3_2020,"","",PSL length,, ,FALSE, 
psl_l_palp,score_sm_cohort_ken_tan_march3_2020,"","","If spleen is palpable, what is left PSL?",, ,FALSE, 
psl_r_palp,score_sm_cohort_ken_tan_march3_2020,"","","If liver is palpable, what is right parasternal line (PSL) length?",, ,FALSE, 
r_port_br_ext,score_sm_cohort_ken_tan_march3_2020,"","",Right portal branch external walls,, ,FALSE, 
r_port_br_int,score_sm_cohort_ken_tan_march3_2020,"","",Right portal branch internal walls,, ,FALSE, 
school_pql_c,score_sm_cohort_ken_tan_march3_2020,"","",School PedsQL subcale based on child's responses,, ,FALSE, 
school_pql_p,score_sm_cohort_ken_tan_march3_2020,"","",School PedsQL subcale based on parent's responses,, ,FALSE, 
sex,score_sm_cohort_ken_tan_march3_2020,"","",Sex of study participant,"F=Female, M=Male", ,FALSE, 
shuttle,score_sm_cohort_ken_tan_march3_2020,"","",20 m shuttle run per standard protocol to assess aerobic fitness,Integer between 1 and 20, ,FALSE, 
sm_binary,score_sm_cohort_ken_tan_march3_2020,"","",S. mansoni infection: Presence or Absence,"0=Negative, 1=Positive", ,FALSE, 
sm1a,score_sm_cohort_ken_tan_march3_2020,"","","Number of eggs counted. In the variable name, sm=schistosomiasis, 1 refers to the first specimen, and the letter refers to the first ('a') and second ('b') slides, respectively.",, ,FALSE, 
sm1b,score_sm_cohort_ken_tan_march3_2020,"","",,, ,FALSE, 
sm2a,score_sm_cohort_ken_tan_march3_2020,"","",,, ,FALSE, 
sm2b,score_sm_cohort_ken_tan_march3_2020,"","",,, ,FALSE, 
sm3a,score_sm_cohort_ken_tan_march3_2020,"","",,, ,FALSE, 
sm3b,score_sm_cohort_ken_tan_march3_2020,"","",,, ,FALSE, 
social_pql_c,score_sm_cohort_ken_tan_march3_2020,"","",Social PedsQL subcale based on child's responses,, ,FALSE, 
social_pql_p,score_sm_cohort_ken_tan_march3_2020,"","",Social PedsQL subcale based on parent's responses,, ,FALSE, 
spl_echo,score_sm_cohort_ken_tan_march3_2020,"","",What is the echogenicity of the spleen?,"0=Normal, 1=Hypoechoic, 2=Hyperechoic", ,FALSE, 
spl_length,score_sm_cohort_ken_tan_march3_2020,"","",Spleen length by ultrasound,, ,FALSE, 
spl_shape,score_sm_cohort_ken_tan_march3_2020,"","",What is the shape of the spleen?,"0=Convex-concave, 1=Biconvex", ,FALSE, 
spl_surface,score_sm_cohort_ken_tan_march3_2020,"","",What is the surface of the spleen like?,"0=Normal, 1=Irregular, .=Missing", ,FALSE, 
spl_tenderness,score_sm_cohort_ken_tan_march3_2020,"","",Is the spleen tender?,"0=No, 1=Yes", ,FALSE, 
spl_texture,score_sm_cohort_ken_tan_march3_2020,"","",What is the texture of the spleen like?,"0=Homogeneous, 1=Coarse, 2=Hyperechoic", ,FALSE, 
spl_vein_diam,score_sm_cohort_ken_tan_march3_2020,"","",Splenic vein diameter,, ,FALSE, 
spleen_consis,score_sm_cohort_ken_tan_march3_2020,"","","If spleen is palpable, what is its consistency?","1=Soft, 2=Firm, 3=Hard, 8=Not palpable", ,FALSE, 
spleen_palp,score_sm_cohort_ken_tan_march3_2020,"","",Is spleen palpable?,"0=No, 1=Yes", ,FALSE, 
study_arm,score_sm_cohort_ken_tan_march3_2020,"","",Study arm,"1, 6", ,FALSE, 
study_year,score_sm_cohort_ken_tan_march3_2020,"","",Study year,"1, 3, 5", ,FALSE, 
total_pql_c,score_sm_cohort_ken_tan_march3_2020,"","",Total PedsQL based on child's responses,, ,FALSE, 
total_pql_p,score_sm_cohort_ken_tan_march3_2020,"","",Total PedsQL based on parent's responses,, ,FALSE, 
trich_binary,score_sm_cohort_ken_tan_march3_2020,"","",Trichuris infection: Presence or Absence,"0=Negative, 1=Positive", ,FALSE, 
trunc,score_sm_cohort_ken_tan_march3_2020,"","",Level at which egg counts were truncated (max number of eggs counted),, ,FALSE, 
village_id,score_sm_cohort_ken_tan_march3_2020,"","",Village ID,Country code + 3-digit number, ,FALSE, 
village_name,score_sm_cohort_ken_tan_march3_2020,"","",Village name,, ,FALSE, 
vo2,score_sm_cohort_ken_tan_march3_2020,"","",Estimated maximal oxygen consumption,, ,FALSE, 
wght,score_sm_cohort_ken_tan_march3_2020,"","",Weight measured using standardized technique (calibrated scale),, ,FALSE, 
