"variable","dataFile","codebookDescription","suggested_IRI","suggested_label","parent_in_ontology","parent_IRI","score"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0000725","Participant ID for matched case","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","9.94711"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0010408","Not currently enrolled as a GEMS Case","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","8.423936"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0010002","Matched case","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","13.649033"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0010049","Case ID","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","13.649033"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0010405","Sex, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","12.14269"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0010042","Enrollment date, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","10.935786"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0010120","Age, matched case (months)","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","10.935786"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0010375","Case or control subject","Participant; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000612","10.935786"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0010406","Birth date, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","10.935786"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0000725","Participant ID for matched case","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","9.94711"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0010408","Not currently enrolled as a GEMS Case","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","8.423936"
"merck_case","vida_enrl.csv","Merck case","http://purl.obolibrary.org/obo/EUPATH_0015432","Index case enrolled as MSD or LSD","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","8.423936"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/EUPATH_0010367","Age group","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","20.241734"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/EUPATH_0000639","Study group","Human or Animal; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000612; http://purl.obolibrary.org/obo/EUPATH_0000611","8.444283"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/EUPATH_0005003","Fungal communication group","Organism under investigation","http://purl.obolibrary.org/obo/EUPATH_0000104","7.5123487"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/OBI_0001169","Age; Age at visit; Age (years)","Observation; Observation details; Human or Animal; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000310; http://purl.obolibrary.org/obo/EUPATH_0000612; http://purl.obolibrary.org/obo/EUPATH_0000611","6.0257053"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/EUPATH_0000579","Age (days)","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","5.328677"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/EUPATH_0015400","Age (months)","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","5.328677"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/EUPATH_0000113","Age at visit (years); Age at visit","Observation details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000310; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","4.8472333"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/EUPATH_0000120","Age at enrollment","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","4.74059"
"agegroup","vida_enrl.csv","Age group","http://www.ebi.ac.uk/efo/EFO_0005056","Age at death","Sample source","http://purl.obolibrary.org/obo/EUPATH_0000611","4.74059"
"agegroup","vida_enrl.csv","Age group","http://purl.obolibrary.org/obo/EUPATH_0010120","Age, matched case (months)","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","4.269407"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0015400","Age (months)","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","23.976303"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/OBI_0001169","Age; Age at visit; Age (years)","Observation; Observation details; Human or Animal; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000310; http://purl.obolibrary.org/obo/EUPATH_0000612; http://purl.obolibrary.org/obo/EUPATH_0000611","19.988152"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0010120","Age, matched case (months)","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","19.250427"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0010368","Age at eligibility form completion (months)","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","17.771225"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0000120","Age at enrollment","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","15.804256"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0010367","Age group","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","15.260477"
"age","vida_enrl.csv","Age in months","http://www.ebi.ac.uk/efo/EFO_0005056","Age at death","Sample source","http://purl.obolibrary.org/obo/EUPATH_0000611","15.178254"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0000113","Age at visit (years); Age at visit","Observation details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000310; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","15.071939"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0011204","Age at suspected measles infection (days)","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","13.588211"
"age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0011205","Age at suspected pertussis infection (days)","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","13.588211"
"gender","vida_enrl.csv","Gender","http://purl.obolibrary.org/obo/PATO_0000047","Sex","Demographics; Participant; Human or Animal; Sample source","http://purl.obolibrary.org/obo/EUPATH_0010981; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000612; http://purl.obolibrary.org/obo/EUPATH_0000611","8.232172"
"gender","vida_enrl.csv","Gender","http://purl.obolibrary.org/obo/EUPATH_0010405","Sex, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","7.4498024"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0010406","Birth date, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","18.109987"
"dob","vida_enrl.csv","Date of birth","http://www.ebi.ac.uk/efo/EFO_0004950","Birth date","Demographics; Participant","http://purl.obolibrary.org/obo/EUPATH_0010981; http://purl.obolibrary.org/obo/EUPATH_0000096","17.978308"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0000442","State of birth","Demographics","http://purl.obolibrary.org/obo/EUPATH_0010981","11.325023"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0030005","Birth year","Demographics","http://purl.obolibrary.org/obo/EUPATH_0010981","8.1245"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0000091","Visit date","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","5.180553"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0000150","Death date","Death information","http://purl.obolibrary.org/obo/EUPATH_0000671","5.180553"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0000151","Enrollment date","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","5.180553"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","5.180553"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0005007","Withdrawl date","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","5.180553"
"dob","vida_enrl.csv","Date of birth","http://purl.obolibrary.org/obo/EUPATH_0010319","Rehydration date","Rehydration therapy","http://purl.obolibrary.org/obo/EUPATH_0010024","5.180553"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0015440","Registration date","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","25.710238"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0000091","Visit date","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","10.361106"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0000150","Death date","Death information","http://purl.obolibrary.org/obo/EUPATH_0000671","10.361106"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0000151","Enrollment date","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","10.361106"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","10.361106"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0005007","Withdrawl date","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","10.361106"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0010319","Rehydration date","Rehydration therapy","http://purl.obolibrary.org/obo/EUPATH_0010024","10.361106"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0011213","Vaccination date","Treatment","http://purl.obolibrary.org/obo/OGMS_0000090","10.361106"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0011220","Deworming date","Treatment","http://purl.obolibrary.org/obo/OGMS_0000090","10.361106"
"f2_date","vida_enrl.csv","Registration date","http://purl.obolibrary.org/obo/EUPATH_0015458","Test date","Stool microbiology test","http://purl.obolibrary.org/obo/EUPATH_0000724","10.361106"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0015440","Registration date","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","7.4799714"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0000535","IRB number","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","6.9306145"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0030014","Specimen number","Sample","http://purl.obolibrary.org/obo/EUPATH_0000609","6.9306145"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0010995","Hospitalized","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","6.591147"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0000619","Number of treatments","Treatment","http://purl.obolibrary.org/obo/OGMS_0000090","6.1657333"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0030006","Maximum number of eggs","Urine test","http://purl.obolibrary.org/obo/EUPATH_0011797","5.5529003"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0030011","Number of hookworm eggs","Urine test","http://purl.obolibrary.org/obo/EUPATH_0011797","5.5529003"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0030012","Number of ascaris eggs","Urine test","http://purl.obolibrary.org/obo/EUPATH_0011797","5.5529003"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0030013","Number of trichuris eggs","Urine test","http://purl.obolibrary.org/obo/EUPATH_0011797","5.5529003"
"f2_cluster","vida_enrl.csv","Cluster number","http://purl.obolibrary.org/obo/EUPATH_0010407","Qualified as DSS resident","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","5.3255157"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0015400","Age (months)","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","16.916039"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0010120","Age, matched case (months)","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","13.553354"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/OBI_0001169","Age; Age at visit; Age (years)","Observation; Observation details; Human or Animal; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000310; http://purl.obolibrary.org/obo/EUPATH_0000612; http://purl.obolibrary.org/obo/EUPATH_0000611","12.051411"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0010368","Age at eligibility form completion (months)","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","11.305893"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0000579","Age (days)","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","11.129765"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0010367","Age group","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","10.657354"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0000113","Age at visit (years); Age at visit","Observation details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000310; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","9.694467"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0000120","Age at enrollment","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","9.48118"
"f2_age","vida_enrl.csv","Age in months","http://www.ebi.ac.uk/efo/EFO_0005056","Age at death","Sample source","http://purl.obolibrary.org/obo/EUPATH_0000611","9.48118"
"f2_age","vida_enrl.csv","Age in months","http://purl.obolibrary.org/obo/EUPATH_0030016","Number of school-age children (SAC) in village","Village level information","http://purl.obolibrary.org/obo/EUPATH_0030001","8.236741"
"f2_gender","vida_enrl.csv","Gender","http://purl.obolibrary.org/obo/EUPATH_0015440","Registration date","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","7.4799714"
"f2_gender","vida_enrl.csv","Gender","http://purl.obolibrary.org/obo/EUPATH_0010995","Hospitalized","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","6.591147"
"f2_gender","vida_enrl.csv","Gender","http://purl.obolibrary.org/obo/EUPATH_0010407","Qualified as DSS resident","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","5.3255157"
"f2_gender","vida_enrl.csv","Gender","http://purl.obolibrary.org/obo/PATO_0000047","Sex","Demographics; Participant; Human or Animal; Sample source","http://purl.obolibrary.org/obo/EUPATH_0010981; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000612; http://purl.obolibrary.org/obo/EUPATH_0000611","2.5900934"
"f2_gender","vida_enrl.csv","Gender","http://purl.obolibrary.org/obo/EUPATH_0000579","Age (days)","Observation; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000738; http://purl.obolibrary.org/obo/EUPATH_0000612","0.47241056"
"f2_hosp","vida_enrl.csv","Hospitalized","http://purl.obolibrary.org/obo/EUPATH_0010995","Hospitalized","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","16.231327"
"f2_hosp","vida_enrl.csv","Hospitalized","http://purl.obolibrary.org/obo/EUPATH_0015440","Registration date","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","7.4799714"
"f2_hosp","vida_enrl.csv","Hospitalized","http://purl.obolibrary.org/obo/EUPATH_0010347","Hospitalized more than 60 days","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","6.154004"
"f2_hosp","vida_enrl.csv","Hospitalized","http://purl.obolibrary.org/obo/EUPATH_0010417","Hospitalized with diarrhea or dysentery","Moderate-to-severe diarrhea eligibility","http://purl.obolibrary.org/obo/EUPATH_0010425","6.154004"
"f2_hosp","vida_enrl.csv","Hospitalized","http://purl.obolibrary.org/obo/EUPATH_0010407","Qualified as DSS resident","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","5.3255157"
