order,uniqueVar,variable,dataFile,keepDiscard,notesforDL,codebookDescription,codebookValues,timeVaryng,duplicated,dateTime,flag,notesforOnt,type,example,minValue,maxValue,values,uniqueValueCount,percentMissing,In OWL FILE
841,F11_QC_CODE,f11_qc_code,vida_enrl.csv,discard,,QC staff code,,,,NA,NA,GEMS,chr,6,n/a,n/a,>10 unique values,49,9.05E-05,NO
842,F11_QC_DATE,f11_qc_date,vida_enrl.csv,discard,,QC date,,,,date?,NA,GEMS,date,5/11/2015,.,12/31/2017,. to 12/31/17,1029,0.000723785,NO
840,F11_QC_NAME,f11_qc_name,vida_enrl.csv,discard,,Quality control name,,,,NA,NA,,chr,DEMBA JOBE,n/a,n/a,>10 unique values,150,0,NO
836,F11_SPECIMEN_LABDATE,f11_specimen_labdate,vida_enrl.csv,discard,,Date sample received by lab personnel:,,,,date?,NA,,date,5/11/2015,1/1/2018,12/31/2017,01/01/18 to 12/31/17,1050,0,NO
837,F11_SPECIMEN_LABTIME,f11_specimen_labtime,vida_enrl.csv,discard,,Time sample received by lab personnel:,,,,NA,NA,GEMS,chr,11:55,n/a,n/a,>10 unique values,647,0,NO
868,F15_QC_DATE,f15_qc_date,vida_enrl.csv,discard,,Supervisor date,,,,date?,NA,,date,5/23/2015,.,12/31/2017,. to 12/31/17,829,0.000814259,NO
867,F15_QC_NAME,f15_qc_name,vida_enrl.csv,discard,,Supervisor,,,,NA,NA,,chr,HBADJI,n/a,n/a,>10 unique values,70,0.000452366,NO
866,F15_TECH_DATE,f15_tech_date,vida_enrl.csv,discard,,Technician date,,,,date?,NA,GEMS,date,5/23/2015,.,12/31/2017,. to 12/31/17,1005,0.000542839,NO
865,F15_TECH_NAME,f15_tech_name,vida_enrl.csv,discard,,Technician,,,,NA,NA,,chr,BASIRU SAIDY,n/a,n/a,>10 unique values,118,0.000452366,NO
846,F15_TEST_DATE,f15_test_date,vida_enrl.csv,discard,,Date:,,,,date?,NA,,date,5/11/2015,.,12/31/2017,. to 12/31/17,1056,0.000452366,NO
845,F15_TEST_TIME,f15_test_time,vida_enrl.csv,discard,,Time processed in laboratory (24 hour clock):,,,,NA,NA,GEMS,chr,11:55,n/a,n/a,>10 unique values,568,0.000452366,NO
890,F16_QC_NAME,f16_qc_name,vida_enrl.csv,discard,,Supervisor,,,,NA,NA,,chr,HBADJI,n/a,n/a,>10 unique values,60,0.000633312,NO
891,F16_REVIEW_DATE,f16_review_date,vida_enrl.csv,discard,,Supervisor date,,,,date?,NA,GEMS,date,6/2/2015,.,12/31/2017,. to 12/31/17,906,0.000633312,NO
889,F16_TECH_DATE,f16_tech_date,vida_enrl.csv,discard,,Technician date,,,,date?,NA,GEMS,date,6/2/2015,.,12/31/2017,. to 12/31/17,1017,0.000542839,NO
888,F16_TECH_NAME,f16_tech_name,vida_enrl.csv,discard,,Technician,,,,NA,NA,,chr,SAMBA JUMA JALLOW,n/a,n/a,>10 unique values,83,0.000542839,NO
869,F16_TEST_DATE,f16_test_date,vida_enrl.csv,discard,,Date of Test,,,,date?,NA,,date,5/15/2015,.,12/31/2017,. to 12/31/17,1066,0.000542839,NO
913,F17_QC_NAME,f17_qc_name,vida_enrl.csv,discard,,PCR supervisor,,,,NA,NA,,chr,CEBRUKE,n/a,n/a,>10 unique values,59,0.025513435,NO
914,F17_REVIEW_DATE,f17_review_date,vida_enrl.csv,discard,,Supervisor date,,,,date?,NA,GEMS,date,4/8/2016,.,12/28/2018,. to 12/28/18,225,0.025513435,NO
912,F17_TECH_DATE,f17_tech_date,vida_enrl.csv,discard,,Technician date,,,,date?,NA,GEMS,date,4/8/2016,.,12/28/2018,. to 12/28/18,249,0.025513435,NO
911,F17_TECH_NAME,f17_tech_name,vida_enrl.csv,discard,,PCR technician,,,,NA,NA,,chr,HJOBE,n/a,n/a,>10 unique values,64,0.025513435,NO
892,F17_TEST_DATE,f17_test_date,vida_enrl.csv,discard,,Date of Test:,,,,date?,NA,,date,4/8/2016,.,12/21/2017,. to 12/21/17,251,0.025513435,NO
927,F18_QC_DATE,f18_qc_date,vida_enrl.csv,discard,,QC date,,,,date?,NA,,date,5/25/2015,.,12/29/2016,. to 12/29/16,349,9.05E-05,NO
926,F18_QC_NAME,f18_qc_name,vida_enrl.csv,discard,,QC name,,,,NA,NA,,chr,HBADJI,n/a,n/a,>10 unique values,52,9.05E-05,NO
920,F18_TECH_DATE1,f18_tech_date1,vida_enrl.csv,discard,,First technician date,,,,date?,NA,GEMS,date,5/25/2015,.,12/31/2015,. to 12/31/15,321,0.001809463,NO
925,F18_TECH_DATE2,f18_tech_date2,vida_enrl.csv,discard,,Second technician date,,,,date?,NA,GEMS,date,5/25/2015,.,12/28/2015,. to 12/28/15,322,9.05E-05,NO
919,F18_TECH_NAME1,f18_tech_name1,vida_enrl.csv,discard,,First technician,,,,NA,NA,,chr,ABDOULIE KANTEH,n/a,n/a,>10 unique values,42,0.000633312,NO
924,F18_TECH_NAME2,f18_tech_name2,vida_enrl.csv,discard,,Second technician,,,,NA,NA,,chr,ABDOULIE KANTEH,n/a,n/a,>10 unique values,50,9.05E-05,NO
915,F18_TEST_DATE,f18_test_date,vida_enrl.csv,discard,,Date of test:,,,,date?,NA,,date,5/24/2015,.,12/31/2015,. to 12/31/15,331,9.05E-05,NO
936,F19_QC_DATE,f19_qc_date,vida_enrl.csv,discard,,QC date,Not in EMMES Data Dictionary April 2017,,,date?,NA,,date,11/28/2015,.,12/31/2015,. to 12/31/15,178,0.000633312,NO
935,F19_QC_NAME,f19_qc_name,vida_enrl.csv,discard,,QC name,Not in EMMES Data Dictionary April 2017,,,NA,NA,,chr,SONA JABANG,n/a,n/a,>10 unique values,71,0.000633312,NO
934,F19_TECH_DATE,f19_tech_date,vida_enrl.csv,discard,,Technician date,Not in EMMES Data Dictionary April 2017,,,date?,NA,GEMS,date,11/18/2015,.,12/31/2017,. to 12/31/17,216,0.000542839,NO
933,F19_TECH_NAME,f19_tech_name,vida_enrl.csv,discard,,Technician,Not in EMMES Data Dictionary April 2017,,,NA,NA,,chr,ISATOU,n/a,n/a,>10 unique values,65,0.000542839,NO
55,F3_COMMENT,f3_comment,vida_enrl.csv,discard,,Was the child enrolled?,,,,NA,NA,,chr,CHILD COULD NOT PRODUCE ENOUGH SALIVA,n/a,n/a,>10 unique values,32,0.995747761,NO
57,F3_INT_CODE,f3_int_code,vida_enrl.csv,discard,,,,,,NA,NA,GEMS,chr,19,n/a,n/a,>10 unique values,99,0.562109834,NO
56,F3_INTVWR,f3_intvwr,vida_enrl.csv,discard,,Interviewer staff code,,,,NA,NA,,chr,HABBY JALLOW,n/a,n/a,>10 unique values,366,0.562109834,NO
44,F3_NI_14DQT,f3_ni_14dqt,vida_enrl.csv,discard,,Interviewer's name,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
40,F3_NI_AFTER,f3_ni_after,vida_enrl.csv,discard,,14 day quota filled (as applicable during non-rotavirus season):,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
45,F3_NI_DIED,f3_ni_died,vida_enrl.csv,discard,,After hours presentation:,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
42,F3_NI_INSST,f3_ni_insst,vida_enrl.csv,discard,,Child died before invitation:,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
43,F3_NI_INSST_ML,f3_ni_insst_ml,vida_enrl.csv,discard,,"Unable to produce adequate stool sample [10 grams with a minimum of 4 grams for VIDA, OR minimum of 2 grams for VIDA-plus] within 12 hours of registration:",,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
41,F3_NI_NOSWAB,f3_ni_noswab,vida_enrl.csv,discard,,"Unable to produce adequate stool sample [10 grams with a minimum of 4 grams for VIDA or Merck, OR minimum of 2 grams for VIDA-plus] within 12 hours of registration",,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
47,F3_NI_OTHER,f3_ni_other,vida_enrl.csv,discard,,Unable to collect a rectal swab before the child received antibiotics (for VIDA):,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
46,F3_NI_SEVERE,f3_ni_severe,vida_enrl.csv,discard,,Other:,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
39,F3_NOT_ENROLLED,f3_not_enrolled,vida_enrl.csv,discard,,Child's severe condition did not allow time for enrollment process:,,,,NA,no data,GEMS,chr,NA,n/a,n/a,.,1,1,NO
48,F3_NOT_INVITE_SPEC,f3_not_invite_spec,vida_enrl.csv,discard,,Specify:,,,,NA,no data,GEMS,chr,NA,n/a,n/a,,0,1,NO
53,F3_PT_REFUSED_SPEC,f3_pt_refused_spec,vida_enrl.csv,discard,,Specify:,,,,NA,no data,GEMS,chr,NA,n/a,n/a,,0,1,NO
49,F3_PTR_BUSY,f3_ptr_busy,vida_enrl.csv,discard,,Parent/caretaker too busy:,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
52,F3_PTR_OTH,f3_ptr_oth,vida_enrl.csv,discard,,Other:,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
51,F3_PTR_REFSK,f3_ptr_refsk,vida_enrl.csv,discard,,Child too sick:,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
50,F3_PTR_RSH,f3_ptr_rsh,vida_enrl.csv,discard,,Does not like research:,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
58,F3_QC,f3_qc,vida_enrl.csv,discard,,Quality control's name,,,,NA,NA,,chr,DEMBA JOBE,n/a,n/a,>10 unique values,127,0.562109834,NO
59,F3_QC_CODE,f3_qc_code,vida_enrl.csv,discard,,Quality staff code,,,,NA,NA,GEMS,chr,6,n/a,n/a,>10 unique values,25,0.562109834,NO
60,F3_QC_DATE,f3_qc_date,vida_enrl.csv,discard,,Quality control date,,,,date?,NA,GEMS,date,5/11/2015,.,12/31/2016,. to 12/31/16,994,0.562109834,NO
34,F3_VDP_CON,f3_vdp_con,vida_enrl.csv,discard,,Consent for VIDA Plus,,,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
114,F4A_ANI_SPEC,f4a_ani_spec,vida_enrl.csv,discard,,Household has animal specify,,,,NA,NA,GEMS,chr,HINNY,n/a,n/a,", HARES, HINNY, LAPIN, RABBITS, Rabit, TORTUE ( TORTOISE), Turtle, TURTLE",8,0.999185741,NO
279,F4A_COMMENT,f4a_comment,vida_enrl.csv,discard,,Comments,,,,NA,NA,,chr,"THE MOTHER SAID, THE CHILD HAD NEVER RECEIVED AN IMMUNIZATION SINCE SHE WAS BORN. PARTAINING TO QUESTION 13 AND 14(P3OF9),THE MOTHER IS STAYING IN MANNEH KUNDA FOR FOUR MONTHS NOW.",n/a,n/a,>10 unique values,367,0.965620194,NO
75,F4A_FLOOR_SPEC,f4a_floor_spec,vida_enrl.csv,discard,,"Other floor, specify",,,,NA,NA,GEMS,chr,CONCRATE FLOOR,n/a,n/a,", CONCRATE FLOOR",1,0.999909527,NO
101,F4A_FUEL_OTHER_SPEC,f4a_fuel_other_spec,vida_enrl.csv,discard,,Cooking fuel other spec,,,,NA,no data,GEMS,chr,NA,n/a,n/a,,0,1,NO
188,F4A_HOMETRT_AB_SPEC,f4a_hometrt_ab_spec,vida_enrl.csv,discard,,"Antibiotics, specify",,,,NA,NA,GEMS,chr,METRONIDAZOLE,n/a,n/a,>10 unique values,57,0.98091016,NO
193,F4A_HOMETRT_SPEC1,f4a_hometrt_spec1,vida_enrl.csv,discard,,"Given other (1), specify",,,,NA,NA,GEMS,chr,PARACETAMOL,n/a,n/a,>10 unique values,87,0.972134262,NO
194,F4A_HOMETRT_SPEC2,f4a_hometrt_spec2,vida_enrl.csv,discard,,"Given other (2), specify",,,,NA,NA,GEMS,chr,PARACETAMOL,n/a,n/a,>10 unique values,43,0.993124039,NO
187,F4A_HOMETRTLIQ_SPEC,f4a_hometrtliq_spec,vida_enrl.csv,discard,,"Other liquids, specify",,,,NA,NA,GEMS,chr,GUAVA LEAVES,n/a,n/a,>10 unique values,18,0.996742966,NO
281,F4A_INT_CODE,f4a_int_code,vida_enrl.csv,discard,,Interviewer's staff code,,,,NA,NA,GEMS,chr,19,n/a,n/a,>10 unique values,114,0.562652673,NO
280,F4A_INTVWR,f4a_intvwr,vida_enrl.csv,discard,,Interviewer's name,,,,NA,NA,,chr,HABBY JALLOW,n/a,n/a,>10 unique values,395,0.562109834,NO
136,F4A_MS_SPEC,f4a_ms_spec,vida_enrl.csv,discard,,"Other, specify:",,,,NA,NA,GEMS,chr,TAPINNEIGHBOURS YARD,n/a,n/a,", NEIGHBOUR'S COMPOUND, NEIGHBOUR'S OPEN WEL, TAPINNEIGHBOURS YARD, water vendors",4,0.998733376,NO
74,F4A_OTHFL,f4a_othfl,vida_enrl.csv,discard,,Other floor predominant,"Y, """"",,,NA,NA,,chr,1,n/a,n/a,"., 1",2,0.999909527,NO
282,F4A_QC,f4a_qc,vida_enrl.csv,discard,,Quality control's name,,,,NA,NA,,chr,DEMBA JOBE,n/a,n/a,>10 unique values,110,0.562109834,NO
283,F4A_QC_CODE,f4a_qc_code,vida_enrl.csv,discard,,Quality control's staff c,,,,NA,NA,GEMS,chr,6,n/a,n/a,>10 unique values,27,0.562109834,NO
284,F4A_QC_DATE,f4a_qc_date,vida_enrl.csv,discard,,Quality control date,,,,date?,NA,GEMS,date,5/11/2015,.,12/31/2016,. to 12/31/16,973,0.562200308,NO
63,F4A_RELATION_SPEC,f4a_relation_spec,vida_enrl.csv,discard,,What is your relationship to the child - specify,,,,NA,NA,GEMS,chr,STEP MOTHER,n/a,n/a,", Step-Mother, step mother, STEP MOTHER",3,0.999276215,NO
72,F4A_RUDFL,f4a_rudfl,vida_enrl.csv,discard,,Predominant floor rudimentary,"1 = ""Wood planks"", 2 = ""Palm/bamboo""",,,NA,no data,,chr,NA,n/a,n/a,.,1,1,NO
212,F4A_SEEK_OTHER_SPEC,f4a_seek_other_spec,vida_enrl.csv,discard,,Other hospital specify,,,,NA,NA,GEMS,chr,SOTUMA HEALTH POST,n/a,n/a,>10 unique values,14,0.998552429,NO
206,F4A_SEEK_REMDY_SPEC,f4a_seek_remdy_spec,vida_enrl.csv,discard,,Bought medicine specify,,,,NA,NA,GEMS,chr,PARACETAMOL,n/a,n/a,>10 unique values,22,0.995204922,NO
216,F4A_VAX_SOTH,f4a_vax_soth,vida_enrl.csv,discard,,"Other, Specify:",,,,NA,NA,,chr,CHILD PARMANENT REGISTER,n/a,n/a,", CHIL PERMANENT IMMUNIZATION REGISTER, CHILD PARMANENT REGISTER, child permanert immunization register, Immunization register from mulaha dispensary., MCH BOOKLET, PARMANET IMMUNIZATION REGISTER, PERMANENT REGISTER FOR IMMUNIZATION",7,0.999366688,NO
144,F4A_WASTE_SPEC,f4a_waste_spec,vida_enrl.csv,discard,,"Other facility, specify",,,,NA,no data,,chr,NA,n/a,n/a,,0,1,NO
134,F4A_WATER_SPEC,f4a_water_spec,vida_enrl.csv,discard,,Water source specify,,,,NA,NA,GEMS,chr,TAP IN NEIGHBOUR'S YARD,n/a,n/a,", NEIGHBOUR'S COMPOUND, NEIGHBOUR'S OPEN WELL, TAP IN NEIGHBOUR'S YARD, water vendors",4,0.998733376,NO
348,F4B_A23_WTNA,f4b_a23_wtna,vida_enrl.csv,discard,,Not applicable 0-23 month,,,,NA,NA,,chr,1,n/a,n/a,"., 1",2,0.799240025,NO
350,F4B_A59_WTNA,f4b_a59_wtna,vida_enrl.csv,discard,,24-59 month weight N/A,,,,NA,NA,,chr,1,n/a,n/a,"., 1",2,0.794354474,NO
321,F4B_CHILD_EVAL_SPEC,f4b_child_eval_spec,vida_enrl.csv,discard,,"If ""No"", what was the reason?",,,,NA,NA,GEMS,chr,THE MOTHER COULD NOT WAIT FOR 4 HOURS,n/a,n/a,>10 unique values,437,0.908260201,NO
431,F4B_COMMENT,f4b_comment,vida_enrl.csv,discard,,Notes or comments,,,,NA,NA,,chr,"HB OF 9.6MMLDL, AS TO COME BACK AFTER TWO WEEKS FOR HB CHECKING.",n/a,n/a,>10 unique values,236,0.978286438,NO
433,F4B_INT_CODE,f4b_int_code,vida_enrl.csv,discard,,Interviewer's staff code,,,,NA,NA,GEMS,chr,19,n/a,n/a,>10 unique values,99,0.562200308,NO
432,F4B_INTVWR,f4b_intvwr,vida_enrl.csv,discard,,Interviewer's name,,,,NA,NA,,chr,HABBY JALLOW,n/a,n/a,>10 unique values,332,0.562200308,NO
341,F4B_MREHYD_WTNA,f4b_mrehyd_wtna,vida_enrl.csv,discard,,0-23 month weight N/A,,,,NA,NA,,chr,1,n/a,n/a,"., 1",2,0.990681263,NO
354,F4B_OUT_MUAC_NA,f4b_out_muac_na,vida_enrl.csv,discard,,Not applicable,,,,NA,NA,,chr,1,n/a,n/a,"., 1",2,0.805392201,NO
369,F4B_OUTCOME_SPEC,f4b_outcome_spec,vida_enrl.csv,discard,,Diagnosis specify,,,,NA,NA,GEMS,chr,SKIN INFECTION,n/a,n/a,>10 unique values,207,0.928345246,NO
434,F4B_QC,f4b_qc,vida_enrl.csv,discard,,Quality control's name,,,,NA,NA,,chr,DEMBA JOBE,n/a,n/a,>10 unique values,111,0.562200308,NO
435,F4B_QC_CODE,f4b_qc_code,vida_enrl.csv,discard,,QC staff code,,,,NA,NA,GEMS,chr,6,n/a,n/a,>10 unique values,27,0.562200308,NO
436,F4B_QC_DATE,f4b_qc_date,vida_enrl.csv,discard,,QC date,,,,date?,NA,GEMS,date,5/11/2015,.,12/31/2016,. to 12/31/16,991,0.562290781,NO
325,F4B_REHYD_WTNA,f4b_rehyd_wtna,vida_enrl.csv,discard,,0-23 month weight N/A,0-23 month weight N/A,,,NA,NA,,chr,1,n/a,n/a,"., 1",2,0.966796345,NO
409,F4B_TRT_GIVE_SPEC,f4b_trt_give_spec,vida_enrl.csv,discard,,Other antibiotics at center sp,,,,NA,NA,,chr,CLOXACILLIN,n/a,n/a,", AMOXICILLINE, CLOXACILLIN, maltivitamin syrup, paracetamol, Vitamin A supplement, VOGALENE INJ",6,0.999457161,NO
417,F4B_TRT_GIVE_SPEC1,f4b_trt_give_spec1,vida_enrl.csv,discard,,Other medicine 2 specify,,,,NA,NA,,chr,PARACETAMOL,n/a,n/a,>10 unique values,139,0.904369854,NO
