overallOrder,variable,dataSet,dataFile,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag,variable_dataFile,Question,VIDA Coding,CRF,Q. no
39,f3_vida_elig,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_VIDA_ELIG,Eligible for VIDA study,"1 = Yes, 0 = No",F4A,35.d
40,f3_vpl_elig,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0",2,0.562098598,NA,F3_VPL_ELIG,Eligible for Vida Plus,"1 = Yes, 0 = No",F4A,35.d
41,f3_merck_elig,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.854545455,NA,F3_MERCK_ELIG,Eligible for Merck study,"1 = Yes, 0 = No",F4A,35.b
42,f3_vida_con,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_VIDA_CON,Consent for VIDA,"1 = Yes, 0 = No",F4A,35.d
43,f3_vdp_con,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_VDP_CON,Consent for VIDA Plus,"1 = Yes, 0 = No",F4A,35.d
44,f3_merck_con,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.880416101,NA,F3_MERCK_CON,Consent for Merck,"1 = Yes, 0 = No",F4A,35.b
45,f3_antibiotic,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F3_ANTIBIOTIC,"If the child is eligible for VIDA, was child given antibiotic before whole stool sample was collected?","1 = Yes, 0 = No",F4A,35.a
46,f3_stool_smpl,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.5654455,NA,F3_STOOL_SMPL,"If ""No"" to Question 12, was a stool sample collected from the child within 12 hours of registration?","1 = Yes, 0 = No",F4A,35.d
47,f3_rect_swab,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.996653098,NA,F3_RECT_SWAB,"If ""Yes"" to Question 12, were rectal swabs taken before antibiotics AND was a whole stool collected within 12 hours of registration?","1 = Yes, 0 = No",F4A,35.d
48,f3_child_enroll,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.562098598,NA,F3_CHILD_ENROLL,Was the child enrolled?,"1 = Yes, 0 = No",F4A,35.a
49,f3_not_enrolled,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NOT_ENROLLED,"If eligible but not enrolled, what was the reason? [Check one of the two main reasons.]","1 = 'Not invited by health center for one of the following reasons', 2 = 'Refused by parent/caretaker for one of the following reasons'",F4A,35.c
50,f3_ni_after,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NI_AFTER,After hours presentation:,"1 = Selected, 0 = Not selected",F4A,35.c
51,f3_ni_noswab,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NI_NOSWAB,Unable to collect a rectal swab before the child received antibiotics (for VIDA):,"1 = Selected, 0 = Not selected",F4A,35.c
52,f3_ni_insst,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NI_INSST,"Unable to produce adequate stool sample [10 grams with a minimum of 4 grams for VIDA, OR minimum of 2 grams for VIDA-plus] within 12 hours of registration:","1 = Selected, 0 = Not selected",F4A,35.c
53,f3_ni_insst_ml,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NI_INSST_ML,"Unable to produce adequate stool sample [10 grams with a minimum of 4 grams for VIDA or Merck, OR minimum of 2 grams for VIDA-plus] within 12 hours of registration","1 = Selected, 0 = Not selected",F4A,35.c
54,f3_ni_14dqt,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NI_14DQT,14 day quota filled (as applicable during non-rotavirus season):,"1 = Selected, 0 = Not selected",F4A,35.b
55,f3_ni_died,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NI_DIED,Child died before invitation:,"1 = Selected, 0 = Not selected",F4A,35.c
56,f3_ni_severe,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NI_SEVERE,Child's severe condition did not allow time for enrollment process:,"1 = Selected, 0 = Not selected",F4A,35.c
57,f3_ni_other,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_NI_OTHER,Other:,"1 = Selected, 0 = Not selected",F4A,35.c
58,f3_not_invite_spec,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,,0,1,no data,F3_NOT_INVITE_SPEC,Specify:,string,F4A,35.c
59,f3_ptr_busy,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_PTR_BUSY,Parent/caretaker too busy:,"1 = Selected, 0 = Not selected",F4A,35.c
60,f3_ptr_rsh,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_PTR_RSH,Does not like research:,"1 = Selected, 0 = Not selected",F4A,35.c
61,f3_ptr_refsk,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_PTR_REFSK,Child too sick:,"1 = Selected, 0 = Not selected",F4A,35.c
62,f3_ptr_oth,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F3_PTR_OTH,Other:,"1 = Selected, 0 = Not selected",F4A,35.c
63,f3_pt_refused_spec,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,,0,1,no data,F3_PT_REFUSED_SPEC,Specify:,string,F4A,35.c
64,f3_elig_saliva,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.783265491,NA,F3_ELIG_SALIVA,Is this child eligible for saliva collection at the time of enrollment?,"1 = Yes, 0 = No, 9 = DK",F4A,35.b
65,f3_comment,VIDA,vida_enrl.csv,chr,CHILD COULD NOT PRODUCE ENOUGH SALIVA,NA,NA,n/a,n/a,>10 unique values,32,0.99574853,NA,F3_COMMENT,Comments,string,F4A,35.a
66,f3_intvwr,VIDA,vida_enrl.csv,chr,HABBY JALLOW,NA,NA,n/a,n/a,>10 unique values,366,0.562098598,NA,F3_INTVWR,Interviewer's name,string,F4A,35.b
67,f3_int_code,VIDA,vida_enrl.csv,chr,19,NA,NA,n/a,n/a,>10 unique values,99,0.562098598,NA,F3_INT_CODE,Interviewer staff code,integer,F4A,35.b
68,f3_qc,VIDA,vida_enrl.csv,chr,DEMBA JOBE,NA,NA,n/a,n/a,>10 unique values,127,0.562098598,NA,F3_QC,Quality control's name,string,F4A,35.d
69,f3_qc_code,VIDA,vida_enrl.csv,chr,6,NA,NA,n/a,n/a,>10 unique values,25,0.562098598,NA,F3_QC_CODE,Quality staff code,integer,F4A,35.d
70,f3_qc_date,VIDA,vida_enrl.csv,date,5/11/2015,date?,NA,.,12/31/2016,. to 12/31/16,994,0.562098598,NA,F3_QC_DATE,Quality control date,date,F4A,35.d
71,f4a_visno,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.562098598,NA,F4A_VISNO,Visit number,,F5,5
72,f4a_date,VIDA,vida_enrl.csv,date,5/11/2015,date?,NA,.,12/31/2017,. to 12/31/17,1013,0.562098598,NA,F4A_DATE,Date ,date,F4B,1.f
73,f4a_relationship,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1, 10, 2, 3, 5, 6, 7, 8, 9",10,0.562098598,NA,F4A_RELATIONSHIP,What is your relationship to the child?,"1 = 'Mother', 
2 = 'Father', 
3 = 'Sister', 
4 = 'Brother', 
5 = 'Grandmother', 
6 = 'Grandfather', 
7 = 'Aunt', 
8 = 'Uncle', 
9 = 'No relation', 
10 = 'Other'",F4B,18
74,f4a_relation_spec,VIDA,vida_enrl.csv,chr,STEP MOTHER,NA,NA,n/a,n/a,", Step-Mother, step mother, STEP MOTHER",3,0.999276346,NA,F4A_RELATION_SPEC,What is your relationship to the child - specify,Character,F4B,18
75,f4a_mom_live,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1, 2, 3, 4, 5",6,0.562098598,NA,F4A_MOM_LIVE,Where does the child's mother live?,"1 = ""Living in household"", 
2 = ""Living outside of household"", 
3 = ""Abroad"", 
4 = ""Whereabouts unknown"", 
5 = ""Died""",F4B,16
76,f4a_dad_live,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1, 2, 3, 4, 5",6,0.562098598,NA,F4A_DAD_LIVE,Where does the child's father live?,"1 = ""Living in household"", 
2 = ""Living outside of household"", 
3 = ""Abroad"", 
4 = ""Whereabouts unknown"", 
5 = ""Died""",F4B,1.e
77,f4a_prim_schl,VIDA,vida_enrl.csv,chr,6,NA,NA,n/a,n/a,"., 1, 2, 3, 4, 5, 6, 7",8,0.562098598,NA,F4A_PRIM_SCHL,How far did the child's primary caretaker go in school?,"1 = ""No formal schooling"",
2 = ""Less than primary"",
3= ""Completed primary"",   
4 = ""Completed secondary"", 
5= ""Post-secondary"", 
6 = ""Religious education only"", 
7 = ""Don't know""",F4B,16
78,f4a_ppl_house,VIDA,vida_enrl.csv,chr,29,NA,NA,n/a,n/a,>10 unique values,111,0.562098598,NA,F4A_PPL_HOUSE,How many people have been living regularly in your Household has for the past 6 months?,numeric,F4B,16
79,f4a_ppl_sleep,VIDA,vida_enrl.csv,chr,29,NA,NA,n/a,n/a,>10 unique values,111,0.562189055,NA,F4A_PPL_SLEEP,How many people have been sleeping regularly in your Household has for the past 6 months?,numeric,F4B,16
80,f4a_yng_children,VIDA,vida_enrl.csv,chr,8,NA,NA,n/a,n/a,>10 unique values,32,0.562098598,NA,F4A_YNG_CHILDREN,How many children younger than 60 months live in the Household has?,numeric,F5,7.j
81,f4a_slp_rooms,VIDA,vida_enrl.csv,chr,7,NA,NA,n/a,n/a,>10 unique values,49,0.562098598,NA,F4A_SLP_ROOMS,How many rooms in your Household has are used for sleeping?,numeric,F5,4
82,f4a_natfl,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1, 2",3,0.880506558,NA,F4A_NATFL,Predominant floor natural,"1  = ""Earth/Sand"", 2 = ""Dung""",F4B,16
83,f4a_rudfl,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,.,1,1,no data,F4A_RUDFL,Predominant floor rudimentary,"1 = ""Wood planks"", 2 = ""Palm/bamboo""",F5,
84,f4a_finfl,VIDA,vida_enrl.csv,chr,4,NA,NA,n/a,n/a,"., 2, 3, 4, 5",5,0.682044324,NA,F4A_FINFL,Predominant floor finished,"1= ""Parquet or polished wood"",2 = ""Vinyl or asphalt strips"", 3 = ""Ceramic tile"",4 = ""Cement"", 5 = ""Carpet",F4B,11
85,f4a_othfl,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 1",2,0.999909543,NA,F4A_OTHFL,Other floor predominant,1 = Selected  ,F4B,16
86,f4a_floor_spec,VIDA,vida_enrl.csv,chr,CONCRATE FLOOR,NA,NA,n/a,n/a,", CONCRATE FLOOR",1,0.999909543,NA,F4A_FLOOR_SPEC,"Other floor, specify",string,F4B,11.a
87,f4a_house_elec,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_ELEC,Household has electricity,"1=selected, 0=not selected",F4B,16
88,f4a_house_bike,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_BIKE,Household has bike/rickshaw,"1=selected, 0=not selected",F4B,15
89,f4a_house_phone,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_PHONE,Household has telephone,"1=selected, 0=not selected",F4B,16
90,f4a_house_tele,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_TELE,Household has television,"1=selected, 0=not selected",F4B,16
91,f4a_house_car,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_CAR,Household has car/truck,"1=selected, 0=not selected",F4B,15
92,f4a_house_cart,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_CART,Household has animal cart,"1=selected, 0=not selected",F4B,16
93,f4a_house_scoot,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_SCOOT,Household has moto/scooter,"1=selected, 0=not selected",F4B,16
94,f4a_house_fridge,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_FRIDGE,Household has refrigerator,"1=selected, 0=not selected",F4B,16
95,f4a_house_agland,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_AGLAND,Household has agricultural land,"1=selected, 0=not selected",F4B,15
96,f4a_house_radio,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_RADIO,Household has radio,"1=selected, 0=not selected",F4B,16
97,f4a_house_boat,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_BOAT,Household has boat with motor,"1=selected, 0=not selected",F4B,15
98,f4a_house_none,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_HOUSE_NONE,Household has none of above,"1=selected, 0=not selected",F4B,16
99,f4a_fuel_elec,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_ELEC,Cooking fuel electricity,"1=selected, 0=not selected",F4B,11.e
100,f4a_fuel_biogas,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_BIOGAS,Cooking fuel biogas,"1=selected, 0=not selected",F4B,11.c
101,f4a_fuel_grass,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_GRASS,Cooking fuel strawithshrubs,"1=selected, 0=not selected",F4B,11.e
102,f4a_fuel_propane,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_PROPANE,Cooking fuel propane gas,"1=selected, 0=not selected",F4B,12.a
103,f4a_fuel_coal,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_COAL,Cooking fuel coal/lignite,"1=selected, 0=not selected",F4B,11.d
104,f4a_fuel_dung,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_DUNG,Cooking fuel animal dung,"1=selected, 0=not selected",F4B,11.e
105,f4a_fuel_natgas,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_NATGAS,Cooking fuel natural gas,"1=selected, 0=not selected",F4B,12.a
106,f4a_fuel_charcoal,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_CHARCOAL,Cooking fuel charcoal,"1=selected, 0=not selected",F4B,11.d
107,f4a_fuel_crop,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_CROP,Cooking fuel crop residue,"1=selected, 0=not selected",F4B,11.d
108,f4a_fuel_kero,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_KERO,Cooking fuel kerosene,"1=selected, 0=not selected",F4B,12.a
109,f4a_fuel_wood,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_WOOD,Cooking fuel wood,"1=selected, 0=not selected",F4B,12.b
110,f4a_fuel_but,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562641339,NA,F4A_FUEL_BUT,Cooking fuel butane gas,"1=selected, 0=not selected",F4B,11.d
111,f4a_fuel_other,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0",2,0.562641339,NA,F4A_FUEL_OTHER,Cooking fuel other,"1=selected, 0=not selected",F4B,12.a
112,f4a_fuel_other_spec,VIDA,vida_enrl.csv,chr,NA,NA,NA,n/a,n/a,,0,1,no data,F4A_FUEL_OTHER_SPEC,Cooking fuel other spec,string,F4B,12.a
113,f4a_ani_goat,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_GOAT,Household has animal goat,"1=selected, 0=not selected",F4A,35.d
114,f4a_ani_cow,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_COW,Household has animal cow,"1=selected, 0=not selected",F4A,35.d
115,f4a_ani_donk,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_DONK,Household has animal donkey,"1=selected, 0=not selected",F4A,35.d
116,f4a_ani_sheep,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_SHEEP,Household has animal sheep,"1=selected, 0=not selected",F4A,36
117,f4a_ani_rodents,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_RODENTS,Household has animal rodents,"1=selected, 0=not selected",F4A,36
118,f4a_ani_hors,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_HORS,Household has animal horses,"1=selected, 0=not selected",F4A,36
119,f4a_ani_dog,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_DOG,Household has animal dog,"1=selected, 0=not selected",F4A,35.d
120,f4a_ani_fowl,VIDA,vida_enrl.csv,chr,1,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_FOWL,Household has animal fowl,"1=selected, 0=not selected",F4A,35.d
121,f4a_ani_no,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_NO,Household has no animals,"1=selected, 0=not selected",F4A,36
122,f4a_ani_cat,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_CAT,Household has animal cat,"1=selected, 0=not selected",F4A,35.d
123,f4a_ani_pig,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_PIG,Household has animal pig,"1=selected, 0=not selected",F4A,36
124,f4a_ani_other,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562369968,NA,F4A_ANI_OTHER,Household has animal other,"1=selected, 0=not selected",F4A,36
125,f4a_ani_spec,VIDA,vida_enrl.csv,chr,HINNY,NA,NA,n/a,n/a,", HARES, HINNY, LAPIN, RABBITS, Rabit, TORTUE ( TORTOISE), Turtle, TURTLE",8,0.999185889,NA,F4A_ANI_SPEC,Household has animal specify,string,F4A,36
126,f4a_water_house,VIDA,vida_enrl.csv,chr,0,NA,NA,n/a,n/a,"., 0, 1",3,0.562098598,NA,F4A_WATER_HOUSE,Piped into house,"1=selected, 0=not selected",F5,7.a
