colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,,,,,,,
19,hs_flor,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,Floor Material,Household,,,Floor Material,"1=Cement, 2=Tiles, 3=Wood, 4=Dirt/Mud/Earth, 99=Others",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
20,hs_wall,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,Wall Material,Household,,,Wall Material,"0=NA / No Wall, 1=Stone, 2=Brick/Block, 3=Mud/Wood, 4=Mud/Cement, 5=Wood Only, 6=Corrugated Iron Sheets, 7=Grass/Reeds, 8=Tin, 99=Other",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
21,hs_room,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0011593,Room count,How many rooms total in your house?,Household,,,How many rooms total in your house?,,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
22,hs_irsx,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0053214,Sprayed in past 12 months,Has your house been sprayed (IRS) by Government or other Organization (NGO) this year?,Household,,,Has your house been sprayed (IRS) by Government or other Organization (NGO) this year?,,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
5,h1_adm2,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0063112,Sub-county in Kenya,Sub-County (Constituency) of household,Household,,,Sub-County (Constituency) of household,KE43247=Karachuonyo KE43248=Rangwe,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
6,h1_adm3,icemr_cohort_20230126,,Ward in Kenya,Location (Ward) of household,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Location (Ward) of household,,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
27,s2_relh,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000376,Relationship to household head,Relationship of Resident to Household Head,Participant,,,"Relationship of Resident to Household Head, Select the relationship to household head (HH)","0=N/A or missing, 1=Self (Household Head), 2=Spouse, 3=Son/Daughter, 4=Grandchild, 5=Brother/Sister, 6=Father/Mother, 7=Nephew/Niece, 8=In-law family member, 9=Grandparent, 10=Other Relative, 99=Don't know",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
28,s3_natl,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,Nationality,Participant,,,Nationality,"1=Ethiopia, 2=Kenya, 3=Djibouti",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
29,s3_ethn,icemr_cohort_20230126,http://purl.obolibrary.org/obo/OMRSE_00000205,Ethnicity,Ethnicity,Participant,,,Ethnicity,"21=Luo, 22=Kisii, 23=Luhya, 26=Kalenjin
",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
30,s3_occp,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,Occupation: Select the primary occupation or job,Participant,,,"Occupation, Select the primary occupation or job","1=Agricultural worker, 2=Trader, 3=Office worker/Teacher, 4=Student, 5=Non-school Child (Age < 15), 6=Guardsman/Soldier/Peace officer, 7=Herdsman, 8=Fisherman, 9=Mining, 10=Factory/Construction worker, 11=Unemployed, 12=Salesperson, Shop Clerk, Server, 13=Own Business/Shopkeeper, 99= Other",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
32,s3_educ,icemr_cohort_20230126,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,Education: Select the highest education level,Participant,,,"Education, Select the highest education level","1=Illiteracy Adult (Age>15)/Never attend School, 2=Preschool (before school age), 3=Primary school, 4=Middle (lower Secondary) school, 5=High (upper Secondary) school, 6=College or University, 7=Graduate school or higher, 99=Others",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
41,vm_clin,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0050586,Health facility name,"If resident was sick in past two days, which health facility were they referred to for treatment?",Participant,,,"Treatment Health Facility, If resident was sick in past two days, which health facility was refered to for treatment?",,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
14,nt_usge,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0029019,Bednet use frequency,Bednet usage: How many nights did you sleep under a bed net in the past week?,Participant,,,Bednet usage: How many nights did you sleep under a bed net in the past week?,"0=N/A, No Bednet, 1=Every Night, 2=5 to 6 Nights, 3=2 to 4 Nights, 4=0 or 1 Night",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
39,vm_tmpt,icemr_cohort_20230126,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,Axillary (under arm) temperature if resident is sick,Participant,,,"Temperature (<U+00B0>C) If reisdent feel sick, measure axillary (under the arm) temperature [30<U+00B0>C ~ 45<U+00B0>C]",,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
37,vs_bdsm,icemr_cohort_20230126,,Blood sample collected,Has any type of blood samples been collected from this person?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,Has any type of blood samples been collected from this person?,"N=No, Y-Yes",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
26,s2_sexx,icemr_cohort_20230126,http://purl.obolibrary.org/obo/PATO_0000047,Sex,Gender of the study subject/patient,Participant,,,"Sex, ","M= Male, F=Female",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
33,vs_stus,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0000440,Resident status,Current residential status,Participant,,,Current residential status,"0=not available (present) but still live here
1=available for survey
2=refuse survey / drop enrollment
3=unknown living status or missing
4=already moved out (won't move back soon)
5=the same person moved back in again
6=dead
7=newborn
8=newly enrolled resident",variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
25,s2_agex,icemr_cohort_20230126,http://purl.obolibrary.org/obo/OBI_0001169,Age,The resident's age in years,Participant,,,"Age, ",,variable,,,,yes,yes,,SSA ICEMR Kenya Cohort,Years,,yes,,,,,,,,,,,,,
3,h1_sdat,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,Survey date,Participant,,,Survey Date,,variable,,,,yes,yes,yes,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
4,h1_site,icemr_cohort_20230126,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,Study Site,Household,,,Study Site,KE_HB=Kenya - Homa Bay (Kendu Bay),variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,yes,,,,,,,,,,,,,
8,h2_vill,icemr_cohort_20230126,,Household cluster ID,Cluster of household,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,Cluster of household,,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
9,region,icemr_cohort_20230126,,Irrigation status,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,variable,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
,,,,Malaria symptoms,Malaria symptoms in last two days,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,multifilter,,,,yes,,,,,,,,,,,,,,,,,,,
46,vs_symp_x,icemr_cohort_20230126,,None,,Participant,,Malaria symptoms,,None,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
47,vs_symp_a,icemr_cohort_20230126,,Fever,,Participant,,Malaria symptoms,,Fever,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
48,vs_symp_b,icemr_cohort_20230126,,Chills/shivering,,Participant,,Malaria symptoms,,Chills/shivering,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
49,vs_symp_c,icemr_cohort_20230126,,Malaise,,Participant,,Malaria symptoms,,Malaise,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
50,vs_symp_d,icemr_cohort_20230126,,Fatigue,,Participant,,Malaria symptoms,,Fatigue,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
51,vs_symp_e,icemr_cohort_20230126,,Muscle pain,,Participant,,Malaria symptoms,,Muscle pain,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
52,vs_symp_f,icemr_cohort_20230126,,Joint pain,,Participant,,Malaria symptoms,,Joint pain,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
53,vs_symp_g,icemr_cohort_20230126,,Headache,,Participant,,Malaria symptoms,,Headache,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
54,vs_symp_h,icemr_cohort_20230126,,Irritability,,Participant,,Malaria symptoms,,Irritability,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
55,vs_symp_i,icemr_cohort_20230126,,Nausea,,Participant,,Malaria symptoms,,Nausea,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
56,vs_symp_k,icemr_cohort_20230126,,Vomiting,,Participant,,Malaria symptoms,,Vomiting,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
57,vs_symp_m,icemr_cohort_20230126,,Diarrhea,,Participant,,Malaria symptoms,,Diarrhea,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
58,vs_symp_o,icemr_cohort_20230126,,Abdominal pain,,Participant,,Malaria symptoms,,Abdominal pain,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
59,vs_symp_p,icemr_cohort_20230126,,Loss of appetite,,Participant,,Malaria symptoms,,Loss of appetite,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
60,vs_symp_r,icemr_cohort_20230126,,Breathing difficulty,,Participant,,Malaria symptoms,,Breathing difficulty,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
61,vs_symp_s,icemr_cohort_20230126,,Dizziness,,Participant,,Malaria symptoms,,Dizziness,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
62,vs_symp_t,icemr_cohort_20230126,,Coughing,,Participant,,Malaria symptoms,,Coughing,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
63,vs_symp_u,icemr_cohort_20230126,,Stomach ache,,Participant,,Malaria symptoms,,Stomach ache,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
64,vs_symp_z,icemr_cohort_20230126,,Other,,Participant,,Malaria symptoms,,Other,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
,,,,Type of blood sample,What types of blood samples or measurements have been collected from this participant?,,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,,multifilter,,,,yes,,,,,,,,,,,,,,,,,,,
65,vs_samp_dbs,icemr_cohort_20230126,,Filter paper,,Participant,,Type of blood sample,,Filter paper,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
66,vs_samp_rdt,icemr_cohort_20230126,,Malaria RDT,,Participant,,Type of blood sample,,Malaria RDT,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
67,vs_samp_smr,icemr_cohort_20230126,,Blood smear,,Participant,,Type of blood sample,,Blood smear (slide),value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
68,vs_samp_wbp,icemr_cohort_20230126,,Whole blood plasma,,Participant,,Type of blood sample,,Whole blood plasma,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
69,vs_samp_not,icemr_cohort_20230126,,No blood sample,,Participant,,Type of blood sample,,No blood sample,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
70,vs_samp_wbt,icemr_cohort_20230126,,WBT,,Participant,,Type of blood sample,,WBT?,value,,,,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,,,,,,,
