colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
70,http://purl.obolibrary.org/obo/EUPATH_0064281,WBT sample,vs_samp_wbt,6,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,WBT? = Whole-blood test,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
41,http://purl.obolibrary.org/obo/EUPATH_0050586,Health facility name,vm_clin,1,icemr_cohort_20230126,"If resident was sick in past two days, which health facility were they referred to for treatment?",Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,"Treatment Health Facility, If resident was sick in past two days, which health facility was refered to for treatment?",,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
28,http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,s3_natl,4,icemr_cohort_20230126,Nationality,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Nationality,"1=Ethiopia, 2=Kenya, 3=Djibouti",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
25,http://purl.obolibrary.org/obo/OBI_0001169,Age,s2_agex,1,icemr_cohort_20230126,The resident's age in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Age, ",,variable,yes,yes,,SSA ICEMR Kenya Cohort,,years,http://purl.obolibrary.org/obo/UO_0000036,yes,,,,,,
29,http://purl.obolibrary.org/obo/OMRSE_00000205,Ethnicity,s3_ethn,5,icemr_cohort_20230126,Ethnicity,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Ethnicity,"21=Luo, 22=Kisii, 23=Luhya, 26=Kalenjin
",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
32,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,s3_educ,3,icemr_cohort_20230126,Education: Select the highest education level,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Education, Select the highest education level","1=Illiteracy Adult (Age>15)/Never attend School, 2=Preschool (before school age), 3=Primary school, 4=Middle (lower Secondary) school, 5=High (upper Secondary) school, 6=College or University, 7=Graduate school or higher, 99=Others",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
26,http://purl.obolibrary.org/obo/PATO_0000047,Sex,s2_sexx,2,icemr_cohort_20230126,Gender of the study subject/patient,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Sex, ","M= Male, F=Female",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
18,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,hs_roof,1,icemr_cohort_20230126,Roof Material,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Roof Material,"0=NA / No Roof, 1=Corrugated Iron Sheet, 2=Tiles, 3=Concrete,
4=Asbestos Sheets, 5=Grass (Other than Thatching), 6=Makuti (Thatch), 7=Tin, 8=Mud/Dung, 99=Other",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
19,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,hs_flor,2,icemr_cohort_20230126,Floor Material,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Floor Material,"1=Cement, 2=Tiles, 3=Wood, 4=Dirt/Mud/Earth, 99=Others",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
20,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,hs_wall,3,icemr_cohort_20230126,Wall Material,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Wall Material,"0=NA / No Wall, 1=Stone, 2=Brick/Block, 3=Mud/Wood, 4=Mud/Cement, 5=Wood Only, 6=Corrugated Iron Sheets, 7=Grass/Reeds, 8=Tin, 99=Other",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0011593,Room count,hs_room,4,icemr_cohort_20230126,How many rooms total in your house?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,How many rooms total in your house?,,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
9,http://purl.obolibrary.org/obo/EUPATH_0064256,Irrigation status,region,1,icemr_cohort_20230126,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
30,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,s3_occp,1,icemr_cohort_20230126,Occupation: Select the primary occupation or job,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,"Occupation, Select the primary occupation or job","1=Agricultural worker, 2=Trader, 3=Office worker/Teacher, 4=Student, 5=Non-school Child (Age < 15), 6=Guardsman/Soldier/Peace officer, 7=Herdsman, 8=Fisherman, 9=Mining, 10=Factory/Construction worker, 11=Unemployed, 12=Salesperson, Shop Clerk, Server, 13=Own Business/Shopkeeper, 99= Other",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,1,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
4,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,h1_site,1,icemr_cohort_20230126,Study Site,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Study Site,KE_HB=Kenya - Homa Bay (Kendu Bay),variable,yes,,,SSA ICEMR Kenya Cohort,,,,yes,,,,,,
7,http://purl.obolibrary.org/obo/EUPATH_0051287,County in Kenya,h2_adm4,2,icemr_cohort_20230126,Sub-location of household,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Sub-location of household,,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0063112,Sub-county in Kenya,h1_adm2,3,icemr_cohort_20230126,Sub-County (Constituency) of household,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Sub-County (Constituency) of household,KE43247=Karachuonyo KE43248=Rangwe,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
6,http://purl.obolibrary.org/obo/EUPATH_0064253,Ward in Kenya,h1_adm3,4,icemr_cohort_20230126,Location (Ward) of household,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Location (Ward) of household,,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
16,http://purl.obolibrary.org/obo/EUPATH_0064252,Clinic name,hf_clic,1,icemr_cohort_20230126,Malaria Treatment Clinic: Select which clinic was used for seeking malaria treatment,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,Malaria Treatment Clinic: Select which clinic was used for seeking malaria treatment,,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,2,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,5,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,1,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,4,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,3,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
8,http://purl.obolibrary.org/obo/EUPATH_0064255,Household cluster ID,h2_vill,1,icemr_cohort_20230126,Cluster of household,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,Cluster of household,,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
12,http://purl.obolibrary.org/obo/EUPATH_0020225,Bednet count,nt_ownd,1,icemr_cohort_20230126,Number of bednets owned,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,Number of bednets owned,,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
22,http://purl.obolibrary.org/obo/EUPATH_0053214,Sprayed in past 12 months,hs_irsx,2,icemr_cohort_20230126,Has your house been sprayed (IRS) by Government or other Organization (NGO) this year?,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,Has your house been sprayed (IRS) by Government or other Organization (NGO) this year?,,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
27,http://purl.obolibrary.org/obo/EUPATH_0000376,Relationship to household head,s2_relh,1,icemr_cohort_20230126,Relationship of Resident to Household Head,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,"Relationship of Resident to Household Head, Select the relationship to household head (HH)","0=N/A or missing, 1=Self (Household Head), 2=Spouse, 3=Son/Daughter, 4=Grandchild, 5=Brother/Sister, 6=Father/Mother, 7=Nephew/Niece, 8=In-law family member, 9=Grandparent, 10=Other Relative, 99=Don't know",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,1,,,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
46,http://purl.obolibrary.org/obo/EUPATH_0064258,None,vs_symp_x,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,None,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
47,http://purl.obolibrary.org/obo/EUPATH_0064259,Fever,vs_symp_a,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Fever,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
48,http://purl.obolibrary.org/obo/EUPATH_0064260,Chills/shivering,vs_symp_b,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Chills/shivering,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
49,http://purl.obolibrary.org/obo/EUPATH_0064261,Malaise,vs_symp_c,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Malaise,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
50,http://purl.obolibrary.org/obo/EUPATH_0064262,Fatigue,vs_symp_d,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Fatigue,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
51,http://purl.obolibrary.org/obo/EUPATH_0064263,Muscle pain,vs_symp_e,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Muscle pain,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
52,http://purl.obolibrary.org/obo/EUPATH_0064264,Joint pain,vs_symp_f,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Joint pain,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
53,http://purl.obolibrary.org/obo/EUPATH_0064265,Headache,vs_symp_g,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Headache,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
54,http://purl.obolibrary.org/obo/EUPATH_0064266,Irritability,vs_symp_h,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Irritability,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
55,http://purl.obolibrary.org/obo/EUPATH_0064267,Nausea,vs_symp_i,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Nausea,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
56,http://purl.obolibrary.org/obo/EUPATH_0064268,Vomiting,vs_symp_k,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Vomiting,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
57,http://purl.obolibrary.org/obo/EUPATH_0064269,Diarrhea,vs_symp_m,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Diarrhea,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
58,http://purl.obolibrary.org/obo/EUPATH_0064270,Abdominal pain,vs_symp_o,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Abdominal pain,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
59,http://purl.obolibrary.org/obo/EUPATH_0064271,Loss of appetite,vs_symp_p,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Loss of appetite,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
60,http://purl.obolibrary.org/obo/EUPATH_0064272,Breathing difficulty,vs_symp_r,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Breathing difficulty,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
61,http://purl.obolibrary.org/obo/EUPATH_0064273,Dizziness,vs_symp_s,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Dizziness,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
62,http://purl.obolibrary.org/obo/EUPATH_0064274,Coughing,vs_symp_t,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Coughing,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
63,http://purl.obolibrary.org/obo/EUPATH_0064275,Stomach ache,vs_symp_u,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Stomach ache,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
64,http://purl.obolibrary.org/obo/EUPATH_0064276,Other,vs_symp_z,1,icemr_cohort_20230126,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064257,Malaria symptoms,,Other,value,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
33,http://purl.obolibrary.org/obo/EUPATH_0022053,Present at visit,vs_stus,1,icemr_cohort_20230126,Current residential status,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Current residential status,"0=not available (present) but still live here
1=available for survey
2=refuse survey / drop enrollment
3=unknown living status or missing
4=already moved out (won't move back soon)
5=the same person moved back in again
6=dead
7=newborn
8=newly enrolled resident",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
3,http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,h1_sdat,2,icemr_cohort_20230126,Survey date,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Survey Date,,variable,yes,yes,yes,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,5,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,6,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,2,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,7,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,4,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,,8,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,9,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,10,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,3,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,,11,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
13,http://purl.obolibrary.org/obo/EUPATH_0025016,Bednet type,nt_type,1,icemr_cohort_20230126,"If any bednet owned, please specify the majority type",Participant,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,"If any bednet owned, please specify the majority type","0=N/A, 1=Regular untreated net, 2=Regular ITN, NOT retreated within 6 months, 3=Regular ITN, retreated within 6 months, 4=LLIN, Long Lasting Insecticidal Net, 5=PBO Net, 99=Others",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
14,http://purl.obolibrary.org/obo/EUPATH_0029019,Bednet use frequency,nt_usge,2,icemr_cohort_20230126,Bednet usage: How many nights did you sleep under a bed net in the past week?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,Bednet usage: How many nights did you sleep under a bed net in the past week?,"0=N/A, No Bednet, 1=Every Night, 2=5 to 6 Nights, 3=2 to 4 Nights, 4=0 or 1 Night",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
39,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,vm_tmpt,1,icemr_cohort_20230126,Axillary (under arm) temperature if resident is sick,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,"Temperature (<U+00B0>C) If reisdent feel sick, measure axillary (under the arm) temperature [30<U+00B0>C ~ 45<U+00B0>C]",,variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
43,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",rdt_rst,1,icemr_cohort_20230126,Rapid Diagnostic Test (RDT) Result,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Rapid Diagnostic Test (RDT) Result,"X=N/A, Not Done
N=Negative
P=Positive
U=Undetermined",variable,yes,,,SSA ICEMR Kenya Cohort,,,,yes,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,2,,What types of blood samples or measurements have been collected from this participant?,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,multifilter,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,,3,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,1,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
37,http://purl.obolibrary.org/obo/EUPATH_0064254,Blood sample collected,vs_bdsm,1,icemr_cohort_20230126,Has any type of blood samples been collected from this person?,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,Has any type of blood samples been collected from this person?,"N=No, Y-Yes",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
40,http://purl.obolibrary.org/obo/EUPATH_0000414,Fever duration,vm_fver,2,icemr_cohort_20230126,"If resident felt sick, how many days did they have fever? (> 37.5 degrees C)? (Within a range of 0-99 days)",Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,"If resident feel sick, how many days do they have fever (> 37.5<U+00B0>C)? [0 ~ 99 Days]",,variable,yes,,,SSA ICEMR Kenya Cohort,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,,1,,Malaria symptoms in last two days,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,multifilter,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
42,http://purl.obolibrary.org/obo/EUPATH_0000450,Traveled in last 2 weeks,vm_trvl,1,icemr_cohort_20230126,Did this resident travel out of village in the past two weeks?,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,Did this resident travel out of village in the past two weeks?,"N=No, Y-Yes",variable,yes,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,Sample,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,SSA ICEMR Kenya Cohort,,,,,,,,,,
