IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,colOrder,notesForOnt
http://purl.obolibrary.org/obo/EUPATH_0042060,Delivery location,interview3::q5,interview3,Where did you give birth to your youngest baby?,Participant,http://purl.obolibrary.org/obo/EUPATH_0042001,Labor and delivery,Where did you give birth to your youngest baby?,"0 At home (Nyumbani)
1 On the way to the facility (Njiani kuelekea kituoni)
2 Study facility
3 Non-study facility
88 Don't know/Don't remember (Sijui/Sikumbuki)",variable,,,,PPFP Choices KenyaPP,,,,,,,,,116,
http://purl.obolibrary.org/obo/EUPATH_0042293,Child age,interview2::age_of_baby_in_months,interview2,Age of baby in months,Participant,http://purl.obolibrary.org/obo/EUPATH_0042397,Child demographics,Age of baby in months,,variable,,,,PPFP Choices KenyaPP,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,4,
http://purl.obolibrary.org/obo/EUPATH_0042396,Child observation details,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042397,Child demographics,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047002,Antenatal and postnatal care,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042004,Pregnancy,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047022,Additional strategies to trace participant,interview1::ltf_q3,interview1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Were additional strategies used to trace this participant?,"0=No, 1=Yes",variable,,,,PPFP Choices KenyaPP,,,,,,,,,282,
http://purl.obolibrary.org/obo/EUPATH_0047025,Attempts done,interview1::ltf_q1,interview1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,How many attempts were made by phone to reach this participant?,,variable,,,,PPFP Choices KenyaPP,,,,,,,,,279,
http://purl.obolibrary.org/obo/EUPATH_0047034,Lost to follow up,interview1::ltf_q4,interview1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is this person lost to follow up?,"0=No, 1=Yes",variable,,,,PPFP Choices KenyaPP,,,,,,,,,284,
http://purl.obolibrary.org/obo/EUPATH_0047060,Antenatal care visits count,interview0::int_0_q1e,interview0,How many times did you visit ANY health facility to receive antenatal care for this pregnancy before today (excluding the current visit)?,Participant,http://purl.obolibrary.org/obo/EUPATH_0047002,Antenatal and postnatal care,How many times did you visit ANY health facility to receive antenatal care for this pregnancy before today?  INTERVIEWER: Please remember to exclude the current visit from the woman's total count of the number of times she has visited ANY facility for this pregnancy BEFORE today.,,variable,yes,,,PPFP Choices KenyaPP,,,,,,,,,16,
http://purl.obolibrary.org/obo/EUPATH_0047060,Antenatal care visits count,interview1::pre_int_q2,interview1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047002,Antenatal and postnatal care,How many times did you visit ANY health facility to receive antenatal care for this pregnancy before today?,,variable,yes,,,PPFP Choices KenyaPP,,,,,,,,,5,
http://purl.obolibrary.org/obo/EUPATH_0047237,Intended delivery location,interview0::deliver_health_facility,interview0,Are you planning to deliver your baby at a healthcare facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0042001,Labor and delivery,Are you planning to deliver your baby at a healthcare facility?,"0=No, 1=Yes",variable,,,,PPFP Choices KenyaPP,,,,,,,,,9,
http://purl.obolibrary.org/obo/EUPATH_0047279,Was baby premature,interview3::int_3_q6c,interview3,,Participant,http://purl.obolibrary.org/obo/ONTONEO_00000225,Obstetric history,Was the baby premature?,"1 Yes
0 No",variable,,,,PPFP Choices KenyaPP,,,,,,,,,20,
http://purl.obolibrary.org/obo/EUPATH_0047281,Participant eligibility by gestational age,interview0::eligible_by_ga,interview0,Check client eligibility by Gestational Age,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Check client eligibility by Gestational Age,,variable,,,,PPFP Choices KenyaPP,,,,,,,,,12,
http://purl.obolibrary.org/obo/EUPATH_0047428,Participant physically traced,interview1::ltf_q2,interview1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Physically traced?,"0=No, 1=Yes",variable,,,,PPFP Choices KenyaPP,,,,,,,,,280,
http://purl.obolibrary.org/obo/EUPATH_0047429,Outcome of tracing,interview1::ltf_q2a,interview1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Outcome of tracing,"0=Did not locate subject, 1=Located subject",variable,,,,PPFP Choices KenyaPP,,,,,,,,,281,
http://purl.obolibrary.org/obo/EUPATH_0047431,Agree to be interviewed,interview3::agree_int,interview3,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Do you agree?,"0 Does not agree
1 Agrees",variable,,,,PPFP Choices KenyaPP,,,,,,,,,113,
http://purl.obolibrary.org/obo/EUPATH_0047514,Stopped breastfeeding,interview2::int_2_q25c_months,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011191,Weaning,When did you stop breastfeeding this baby? How many months or weeks ago?,,variable,,,,PPFP Choices KenyaPP,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,178,
http://purl.obolibrary.org/obo/EUPATH_0047514,Stopped breastfeeding,interview2::int_2_q25c_weeks,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011191,Weaning,When did you stop breastfeeding this baby? How many months or weeks ago?,,variable,,,,PPFP Choices KenyaPP,,,,,,,,,179,
http://purl.obolibrary.org/obo/EUPATH_0047516,First non-breastmilk liquid given,interview2::int_2_q25f_months,interview2,When did you introduce your baby to other liquids? How many months or weeks ago?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011191,Weaning,When did you introduce your baby to other liquids? How many months or weeks ago?,,variable,,,,PPFP Choices KenyaPP,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,184,new term
http://purl.obolibrary.org/obo/EUPATH_0047516,First non-breastmilk liquid given,interview2::int_2_q25g_weeks,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0011191,Weaning,When did you introduce your baby to other liquids? How many months or weeks ago?,,variable,,,,PPFP Choices KenyaPP,,,,,,,,,185,new term
http://purl.obolibrary.org/obo/EUPATH_0047524,First non-breastmilk food or drink given,interview2::int_2_q25f,interview2,Have you introduced your baby to any liquids or foods other than breastmilk?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011191,Weaning,Have you introduced your baby to any liquids or foods other than breastmilk?,"0 No (La)
1 Yes (Ndio)
88 Don't know/Don't remember (Sijui/Sikumbuki) 99 Refused to answer",variable,,,,PPFP Choices KenyaPP,,,,,,,,,183,new term
http://purl.obolibrary.org/obo/EUPATH_0047633,Perceptions about family planning,,,Please tell me if you would agree or disagree with the following statements.,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,multifilter,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047633,Perceptions about family planning,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,multifilter,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047651,Planned to start contraception right after delivery,interview1::pre_int_q6,interview1,"Before coming to this facility for delivery, had you planned to use a family planning method immediately after you gave birth and before you are discharged from this healthcare facility?",Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,"Before coming to this facility for delivery, had you planned to use a family planning method immediately after you gave birth and before you are discharged from this healthcare facility?","0=No, 1=Yes, 88=Don't know/Don't remember",variable,,,,PPFP Choices KenyaPP,,,,,,,,,17,
http://purl.obolibrary.org/obo/EUPATH_0047655,Experienced pregnancy since giving birth,interview3::int_3_q2,interview3,"After the birth of that child, have you been pregnant?",Participant,http://purl.obolibrary.org/obo/ONTONEO_00000225,Obstetric history,"After the birth of that child, have you been pregnant?","1 Yes
0 No",variable,,,,PPFP Choices KenyaPP,,,,,,,,,11,
http://purl.obolibrary.org/obo/EUPATH_0047657,Currently pregnant,interview2::int_2_q28,interview2,Do you think you might currently be pregnant?,Participant,http://purl.obolibrary.org/obo/EUPATH_0042004,Pregnancy,Do you think you might currently be pregnant?,"0 No (La)
1 Yes, I am pregnant (Ndio, nina ujauzito)
88 Don't know/Don't remember (Sijui/Sikumbuki) 99 Refused to answer (Alikataa kujibu)",variable,,,,PPFP Choices KenyaPP,,,,,,,,,190,
http://purl.obolibrary.org/obo/EUPATH_0047660,Menstrual period return,interview3::int_3_q1c,interview3,,Participant,http://purl.obolibrary.org/obo/ONTONEO_00000225,Obstetric history,"After that birth, how many months passed before your first menstrual period",,variable,,,,PPFP Choices KenyaPP,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,10,
http://purl.obolibrary.org/obo/EUPATH_0047688,Currently using FP method,interview2::int_2_q3,interview2,Are you currently using a family planning method?,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,Are you currently using a family planning method?,"0=No, 1=Yes, 88=Don't know/Don't remember, 99=Refused to answer",variable,,,,PPFP Choices KenyaPP,,,,,,,,,5,
http://purl.obolibrary.org/obo/EUPATH_0047688,Currently using FP method,interview3::int_3_q7a,interview3,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,Are you or your partner currently doing anything to prevent pregnancy?,"1 Yes
0 No",variable,,,,PPFP Choices KenyaPP,,,,,,,,,23,
http://purl.obolibrary.org/obo/EUPATH_0047689,Current contraceptive method(s),,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,multifilter,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047689,Current contraceptive method(s),interview3::int_3_q7b,interview3,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,What are you doing to prevent pregnancy?,"0 No method
1 Combined pill
2 Progesterone only pill
3 Male condom
4 Female condom
5 IUD
6 Injectable
7 Implant (1-rod)
8 Implant (2-rod)
9 Breastfeeding/LAM
10 Male sterilisation
11 Female sterilisation
12 Emergency contraception
13 Avoid sex
77 Other
88 Don't know/Don't remember 99 Refused to answer",variable,,,,PPFP Choices KenyaPP,,,,,,,,,24,
http://purl.obolibrary.org/obo/EUPATH_0047690,LAM or breastfeeding,interview2::int_2_q4a___8,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047689,Current contraceptive method(s),,,value,,,,PPFP Choices KenyaPP,,,,,,,,,13,
http://purl.obolibrary.org/obo/EUPATH_0047695,Injectables,interview2::int_2_q4a___6,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047689,Current contraceptive method(s),,,value,,,,PPFP Choices KenyaPP,,,,,,,,,11,
http://purl.obolibrary.org/obo/EUPATH_0047696,Implants,interview2::int_2_q4a___7,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047689,Current contraceptive method(s),,,value,,,,PPFP Choices KenyaPP,,,,,,,,,12,
http://purl.obolibrary.org/obo/EUPATH_0047697,IUD,interview2::int_2_q4a___5,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047689,Current contraceptive method(s),,,value,,,,PPFP Choices KenyaPP,,,,,,,,,10,
http://purl.obolibrary.org/obo/EUPATH_0047698,Emergency pill,interview2::int_2_q4a___11,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047689,Current contraceptive method(s),,,value,,,,PPFP Choices KenyaPP,,,,,,,,,16,
http://purl.obolibrary.org/obo/EUPATH_0047700,Other,interview2::int_2_q4a___77,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047689,Current contraceptive method(s),,,value,,,,PPFP Choices KenyaPP,,,,,,,,,18,
http://purl.obolibrary.org/obo/EUPATH_0047851,Most recent family planning method,interview3_otherfp::which,interview3_otherfp,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,variable,yes,,,PPFP Choices KenyaPP,,,,,,,,,5,new term
http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,multifilter,yes,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,multifilter,yes,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,What are the reasons you stopped using this method?,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,multifilter,yes,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047006,Family planning,,,multifilter,yes,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0047868,Infrequent sex,interview3_otherfp::fp3,interview3_otherfp,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,yes,,,PPFP Choices KenyaPP,,,,,,,,,15,
http://purl.obolibrary.org/obo/EUPATH_0047868,Infrequent sex,interview0::int_0_q46d___3,interview0,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,What are the reasons you stopped using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,193,
http://purl.obolibrary.org/obo/EUPATH_0047868,Infrequent sex,interview2::int_2_q15b___3,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,82,
http://purl.obolibrary.org/obo/EUPATH_0047868,Infrequent sex,interview2::int_2_q17___3,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,98,
http://purl.obolibrary.org/obo/EUPATH_0047868,Infrequent sex,interview2::int_2_q21___3,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,Why did you stop using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,143,
http://purl.obolibrary.org/obo/EUPATH_0047869,Became pregnant,interview3_otherfp::fp2,interview3_otherfp,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,yes,,,PPFP Choices KenyaPP,,,,,,,,,14,
http://purl.obolibrary.org/obo/EUPATH_0047869,Became pregnant,interview0::int_0_q46d___2,interview0,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,What are the reasons you stopped using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,192,
http://purl.obolibrary.org/obo/EUPATH_0047869,Became pregnant,interview2::int_2_q15b___2,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,81,
http://purl.obolibrary.org/obo/EUPATH_0047869,Became pregnant,interview2::int_2_q17___2,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,97,
http://purl.obolibrary.org/obo/EUPATH_0047869,Became pregnant,interview2::int_2_q21___2,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,Why did you stop using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,142,
http://purl.obolibrary.org/obo/EUPATH_0047870,Wanted to become pregnant,interview3_otherfp::fp1,interview3_otherfp,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,yes,,,PPFP Choices KenyaPP,,,,,,,,,13,
http://purl.obolibrary.org/obo/EUPATH_0047870,Wanted to become pregnant,interview0::int_0_q46d___1,interview0,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,What are the reasons you stopped using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,191,
http://purl.obolibrary.org/obo/EUPATH_0047870,Wanted to become pregnant,interview2::int_2_q15b___1,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,80,
http://purl.obolibrary.org/obo/EUPATH_0047870,Wanted to become pregnant,interview2::int_2_q17___1,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,96,
http://purl.obolibrary.org/obo/EUPATH_0047870,Wanted to become pregnant,interview2::int_2_q21___1,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,Why did you stop using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,141,
http://purl.obolibrary.org/obo/EUPATH_0047871,Partner opposed,interview3_otherfp::fp4,interview3_otherfp,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,yes,,,PPFP Choices KenyaPP,,,,,,,,,16,
http://purl.obolibrary.org/obo/EUPATH_0047871,Partner opposed,interview0::int_0_q46d___4,interview0,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,What are the reasons you stopped using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,194,
http://purl.obolibrary.org/obo/EUPATH_0047871,Partner opposed,interview2::int_2_q21___4,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,Why did you stop using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,144,
http://purl.obolibrary.org/obo/EUPATH_0047871,Partner opposed,interview2::int_2_q15b___4,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,83,
http://purl.obolibrary.org/obo/EUPATH_0047871,Partner opposed,interview2::int_2_q17___4,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,99,
http://purl.obolibrary.org/obo/EUPATH_0047873,Wanted more effective method,interview3_otherfp::fp5,interview3_otherfp,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,yes,,,PPFP Choices KenyaPP,,,,,,,,,17,
http://purl.obolibrary.org/obo/EUPATH_0047873,Wanted more effective method,interview0::int_0_q46d___5,interview0,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,What are the reasons you stopped using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,195,
http://purl.obolibrary.org/obo/EUPATH_0047873,Wanted more effective method,interview2::int_2_q21___5,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,Why did you stop using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,145,
http://purl.obolibrary.org/obo/EUPATH_0047873,Wanted more effective method,interview2::int_2_q15b___5,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,84,
http://purl.obolibrary.org/obo/EUPATH_0047873,Wanted more effective method,interview2::int_2_q17___5,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,100,
http://purl.obolibrary.org/obo/EUPATH_0047875,Lack of access,interview3_otherfp::fp7,interview3_otherfp,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,yes,,,PPFP Choices KenyaPP,,,,,,,,,19,
http://purl.obolibrary.org/obo/EUPATH_0047875,Lack of access,interview0::int_0_q46d___7,interview0,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,What are the reasons you stopped using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,197,
http://purl.obolibrary.org/obo/EUPATH_0047875,Lack of access,interview2::int_2_q15b___7,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,86,
http://purl.obolibrary.org/obo/EUPATH_0047875,Lack of access,interview2::int_2_q17___7,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,,,,PPFP Choices KenyaPP,,,,,,,,,102,
http://purl.obolibrary.org/obo/EUPATH_0047875,Lack of access,interview2::int_2_q21___7,interview2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,Why did you stop using this method?,,value,,,,PPFP Choices KenyaPP,,,,,,,,,147,
http://purl.obolibrary.org/obo/EUPATH_0047876,Costs too much,interview3_otherfp::fp8,interview3_otherfp,,Participant,http://purl.obolibrary.org/obo/EUPATH_0047867,Reason for discontinuing recent FP method,,,value,yes,,,PPFP Choices KenyaPP,,,,,,,,,20,
