uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag,keepDiscard,definition,category,termType,notesForOnt,notesForProvider,codebookDescription,codebookValues,notesForDL
elicit_tac_datafile::eaec,ELICIT_TAC,eaec,elicit_tac_datafile,EAEC,ELICIT_TAC_datafile.csv,12,dbl,31.466,NA,NA,12.441,40,12.441 to 40,3467,0.014033757,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::st_etec,ELICIT_TAC,st_etec,elicit_tac_datafile,ST_ETEC,ELICIT_TAC_datafile.csv,13,dbl,19.601,NA,NA,13.567,40,13.567 to 40,1281,0.005120425,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::lt_etec,ELICIT_TAC,lt_etec,elicit_tac_datafile,LT_ETEC,ELICIT_TAC_datafile.csv,14,dbl,35,NA,NA,14.555,40,14.555 to 40,1439,0.005120425,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::tepec,ELICIT_TAC,tepec,elicit_tac_datafile,tEPEC,ELICIT_TAC_datafile.csv,15,dbl,40,NA,NA,15.54,40,15.54 to 40,914,0.005689361,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::stec,ELICIT_TAC,stec,elicit_tac_datafile,STEC,ELICIT_TAC_datafile.csv,16,dbl,40,NA,NA,20.95,40,20.95 to 40,639,0.005689361,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::mpha,ELICIT_TAC,mpha,elicit_tac_datafile,mpha,ELICIT_TAC_datafile.csv,17,dbl,18.147,NA,NA,11.531,40,11.531 to 40,2158,0.479613123,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::ermb,ELICIT_TAC,ermb,elicit_tac_datafile,ermb,ELICIT_TAC_datafile.csv,18,dbl,22.066,NA,NA,11.934,40,11.934 to 40,2430,0.479233833,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::abxt,ELICIT_TAC,abxt,elicit_tac_datafile,abxT,ELICIT_TAC_datafile.csv,19,int,1,NA,NA,0,1,0 to 1,2,0,NA,keep,Any antibiotic use in the last month (exclusive of study antibiotics),,,,,Any antibiotic use in the last month (exclusive of study antibiotics),"1= Yes, 0=No",
elicit_tac_datafile::mac,ELICIT_TAC,mac,elicit_tac_datafile,mac,ELICIT_TAC_datafile.csv,20,int,0,NA,NA,0,1,0 to 1,2,0,NA,keep,Any macrolide use in the last month (exclusive of study antibiotics),,,,,Any macrolide use in the last month (exclusive of study antibiotics),,
elicit_tac_datafile::ceph,ELICIT_TAC,ceph,elicit_tac_datafile,ceph,ELICIT_TAC_datafile.csv,21,int,0,NA,NA,0,1,0 to 1,2,0,NA,keep,Any cephalosporin use in the last month,,,,,Any cephalosporin use in the last month,,
elicit_tac_datafile::sulf,ELICIT_TAC,sulf,elicit_tac_datafile,sulf,ELICIT_TAC_datafile.csv,22,int,0,NA,NA,0,1,0 to 1,2,0,NA,keep,Any sulfonamide use in the last month,,,,,Any sulfonamide use in the last month,,
elicit_tac_datafile::pen,ELICIT_TAC,pen,elicit_tac_datafile,pen,ELICIT_TAC_datafile.csv,23,int,1,NA,NA,0,1,0 to 1,2,0,NA,keep,Any penicillin use in the last month,,,,,Any penicillin use in the last month,,
elicit_tac_datafile::metro,ELICIT_TAC,metro,elicit_tac_datafile,metro,ELICIT_TAC_datafile.csv,24,int,0,NA,NA,0,1,0 to 1,2,0,NA,keep,Any metronidazole use in the last month,,,,,Any metronidazole use in the last month,,
elicit_tac_datafile::tetra,ELICIT_TAC,tetra,elicit_tac_datafile,tetra,ELICIT_TAC_datafile.csv,25,int,0,NA,NA,0,1,0 to 1,2,0,NA,keep,Any tetracycline use in the last month,,,,,Any tetracycline use in the last month,,
elicit_tac_datafile::fluor,ELICIT_TAC,fluor,elicit_tac_datafile,fluor,ELICIT_TAC_datafile.csv,26,int,0,NA,NA,0,1,0 to 1,2,0,NA,keep,Any fluoroquinalone use in the last month,,,,,Any fluoroquinalone use in the last month,,
elicit_tac_datafile::month,ELICIT_TAC,month,elicit_tac_datafile,month,ELICIT_TAC_datafile.csv,27,dbl,6.5,NA,NA,6,18,6 to 18,5,0,NA,keep,Age in months at sample collection,,,,,Age in months at sample collection,,
