colOrder,dataFile,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,termType
17,ELICIT_TAC_datafile.csv,mpha,elicit_tac_datafile,,"Shigella, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,new ontology term needed and need to ask providers about this,yes,,,ELICIT_TAC,,,,,,0,,,,variable
18,ELICIT_TAC_datafile.csv,ermb,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0011855,"Clostridium difficile, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,record on tracker and check with providers,yes,,,ELICIT_TAC,,,,,,0,,,,variable
19,ELICIT_TAC_datafile.csv,abxT,elicit_tac_datafile,,Other antibiotics,Any antibiotic use in the last month (exclusive of study antibiotics),Participant,,Medication in last month,Any antibiotic use in the last month (exclusive of study antibiotics),"1= Yes, 0=No","need parent and child new ontology term add under clinical history, if it is under a term called 'Medication in last month' can I remove in last month from all child terms?",yes,,,ELICIT_TAC,,,,,,,,,,value
20,ELICIT_TAC_datafile.csv,mac,elicit_tac_datafile,,Other microlides,Any macrolide use in the last month (exclusive of study antibiotics),Participant,,Medication in last month,Any macrolide use in the last month (exclusive of study antibiotics),,need new ontology term,yes,,,ELICIT_TAC,,,,,,,,,,value
21,ELICIT_TAC_datafile.csv,ceph,elicit_tac_datafile,,Cephalosporin,Any cephalosporin use in the last month,Participant,,Medication in last month,Any cephalosporin use in the last month,,need new ontology term,yes,,,ELICIT_TAC,,,,,,,,,,value
22,ELICIT_TAC_datafile.csv,sulf,elicit_tac_datafile,,Sulfonamide,Any sulfonamide use in the last month,Participant,,Medication in last month,Any sulfonamide use in the last month,,,yes,,,ELICIT_TAC,,,,,,,,,,value
23,ELICIT_TAC_datafile.csv,pen,elicit_tac_datafile,,Penicillin,Any penicillin use in the last month,Participant,,Medication in last month,Any penicillin use in the last month,,,yes,,,ELICIT_TAC,,,,,,,,,,value
24,ELICIT_TAC_datafile.csv,metro,elicit_tac_datafile,,Metronidazole,Any metronidazole use in the last month,Participant,,Medication in last month,Any metronidazole use in the last month,,,yes,,,ELICIT_TAC,,,,,,,,,,value
25,ELICIT_TAC_datafile.csv,tetra,elicit_tac_datafile,,Tetracyline,Any tetracycline use in the last month,Participant,,Medication in last month,Any tetracycline use in the last month,,,yes,,,ELICIT_TAC,,,,,,,,,,value
26,ELICIT_TAC_datafile.csv,fluor,elicit_tac_datafile,,Fluoroquinalone,Any fluoroquinalone use in the last month,Participant,,Medication in last month,Any fluoroquinalone use in the last month,,,yes,,,ELICIT_TAC,,,,,,,,,,value
27,ELICIT_TAC_datafile.csv,month,elicit_tac_datafile,http://purl.obolibrary.org/obo/OBI_0001169,Age,Age in months at sample collection,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age in months at sample collection,,,yes,yes,yes,ELICIT_TAC,month,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,,value
,,,,,Medication in last month,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,,new ontology term needed,,,,,,,,,,,,,,multifilter
