"displayOrder","IRI","label","variable","parentIRI","parentLabel","dataFile","definition","category","codebookDescription","codebookValues","termType","repeated","is_temporal","mergeKey","dataSet","replaces","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth"
2,"http://purl.obolibrary.org/obo/EUPATH_0011617","Sanitation and drinking water score","water","http://purl.obolibrary.org/obo/EUPATH_0011932","Socioeconomic status","elicit_data_for_plos_reshaped_v3","Sum of sanitation score (impsan) and drinking water score (newdrink)","Household","sum of impsan and newdrink","range 0-8","variable",,,,"ELICIT",,,,,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0011620","WAMI index","wami","http://purl.obolibrary.org/obo/EUPATH_0011932","Socioeconomic status","elicit_data_for_plos_reshaped_v3","The wami index is calculated by summing values of the following variables:; water, med.wami,; asset, ; incat (income), ; and dividing the total by 32","Household","The wami is calculated by summing values of the following variables:; water, med.wami,;  asset, ; incat, ; and dividing the total by 32","range 0-1","variable",,,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0048046","Wealth index quantiles","ses","http://purl.obolibrary.org/obo/EUPATH_0011932","Socioeconomic status","elicit_data_for_plos_reshaped_v3","WAMI quartiles, 4 is highest SES","Household","WAMI quartiles, 4 is highest SES","range 1-4","variable",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0025085","Latrine type","cef_toilet","http://purl.obolibrary.org/obo/EUPATH_0000596","Waste disposal","elicit_data_for_plos_reshaped_v3",,"Household","What kind of toilet facility do members of the family usually use?","1 = No facility/bush/field or bucket toilet; 2 = Pit latrine without concrete slab; 3 = Pit latrine with concrete slab; 4 = Flush toilet; 5 = Other","variable",,,,"ELICIT",,,,,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0011607","Sanitation score","impsan","http://purl.obolibrary.org/obo/EUPATH_0000596","Waste disposal","elicit_data_for_plos_reshaped_v3","Whether the household sanitation facilities were classified as improved or unimproved, based on WHO definitions; 0 for unimproved categories, 4 for improved categories","Household","Score of sanitation; 0 for unimproved categories, 4 for improved categories","if cef_toilet = 1 then newsanitation=0, unimproved; if cef_toilet = 2,3,4,5,6,7 then newsanitation=4, improved","variable",,,,"ELICIT",,,,,,,,,
,"http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,"http://www.w3.org/2002/07/owl#Thing",,"elicit_data_for_plos_reshaped_v3",,"Participant",,,"category",,,,"ELICIT",,,,,"everywhere",,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0049403","Antibiotic arm","irs_ran_subgroup_anti","http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","elicit_data_for_plos_reshaped_v3",,"Participant","Antibiotic Arm","ANTI A = randomization arms 1 or 3--Placebo, ANTI B = 2 or 4-- Treatment","variable",,,,"ELICIT",,,,,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0049402","Nicotinamide arm","irs_ran_subgroup_nic","http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","elicit_data_for_plos_reshaped_v3",,"Participant","Nicotinamide Arm","NIC A= randomization arms 1 or 2--Placebo, NiC B= randomization arms 3 or 4--Treatment","variable",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0049401","Randomization arm","irs_ran_subgroup","http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","elicit_data_for_plos_reshaped_v3",,"Participant","Randomization arm",,"variable",,,,"ELICIT",,,,"yes",,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0049416","Total ALRI adverse events (includes SAEs)","num_ae_alri","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of ALRI adverse events (includes SAEs)",,"variable",,,,"ELICIT",,,,,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0049421","Total ALRI adverse events from 6 months onward","num.ae.alri.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of ALRI adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0049408","Total ALRI serious adverse events","num_sae_alri","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of ALRI serious adverse events",,"variable",,,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0049412","Total ALRI serious adverse events from 6 months onward","num.sae.alri.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of ALRI serious adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
5,"http://purl.obolibrary.org/obo/EUPATH_0049419","Total adverse events from 6 months onward","num.aes.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
6,"http://purl.obolibrary.org/obo/EUPATH_0049414","Cumulative number of adverse events (includes SAEs)","num_aes","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","cumulative number of adverse events (Includes SAEs)",,"variable",,,,"ELICIT",,,,,,,,,
7,"http://purl.obolibrary.org/obo/EUPATH_0049406","Cumulative number of serious adverse events","num_saes","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","cumulative number of serious adverse events",,"variable",,,,"ELICIT",,,,,,,,,
8,"http://purl.obolibrary.org/obo/EUPATH_0049415","Total diarrheal adverse events (includes SAEs)","num_ae_di","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of diarrheal adverse events (includes SAEs)",,"variable",,,,"ELICIT",,,,,,,,,
9,"http://purl.obolibrary.org/obo/EUPATH_0049420","Total diarrheal adverse events from 6 months onward","num.ae.di.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of diarrheal adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
10,"http://purl.obolibrary.org/obo/EUPATH_0049411","Total diarrheal serious adverse events from 6 months onward","num.sae.di.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of diarrheal serious adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
11,"http://purl.obolibrary.org/obo/EUPATH_0049417","Total fever adverse events (includes SAEs)","num_ae_fever","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of fever adverse events (includes SAEs)",,"variable",,,,"ELICIT",,,,,,,,,
12,"http://purl.obolibrary.org/obo/EUPATH_0049422","Total fever adverse events from 6 months onward","num.ae.fever.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of fever adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
13,"http://purl.obolibrary.org/obo/EUPATH_0049407","Total gastroenteritis serious adverse events","num_sae_di","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of gastroenteritis serious adverse events",,"variable",,,,"ELICIT",,,,,,,,,
14,"http://purl.obolibrary.org/obo/EUPATH_0049409","Total sepsis serious adverse events","num_sae_sep","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of sepsis serious adverse events",,"variable",,,,"ELICIT",,,,,,,,,
15,"http://purl.obolibrary.org/obo/EUPATH_0049413","Total sepsis serious adverse events from 6 months onward","num.sae.sep.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of sepsis serious adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
16,"http://purl.obolibrary.org/obo/EUPATH_0049410","Total serious adverse events from 6 months onward","num.saes.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of serious adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
17,"http://purl.obolibrary.org/obo/EUPATH_0049418","Total URTI adverse events (includes SAEs)","num_ae_urti","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of URTI adverse events (includes SAEs)",,"variable",,,,"ELICIT",,,,,,,,,
18,"http://purl.obolibrary.org/obo/EUPATH_0049423","Total URTI adverse events from 6 months onward","num.ae.urti.6","http://purl.obolibrary.org/obo/EUPATH_0020004","Aggregated illness data","elicit_data_for_plos_reshaped_v3",,"Participant","number of URTI adverse events from 6 months onward",,"variable",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0049441","Total antibiotic courses","any_abx","http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","elicit_data_for_plos_reshaped_v3","Antibiotic courses do not include study medications (azithromycin or placebo)","Participant","Total number of antibiotic courses",,"variable",,,,"ELICIT",,,,,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0049445","Total cephalosporin courses","cephalosporins","http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","elicit_data_for_plos_reshaped_v3","Antibiotic courses do not include study medications (azithromycin or placebo)","Participant","Total number of cephalosporin courses",,"variable",,,,"ELICIT",,,,,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0049447","Total fluoroquinolone courses","fluoroquinolones","http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","elicit_data_for_plos_reshaped_v3","Antibiotic courses do not include study medications (azithromycin or placebo)","Participant","Total number of fluoroquinolone courses",,"variable",,,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0049442","Total macrolide courses","macrolides","http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","elicit_data_for_plos_reshaped_v3","Antibiotic courses do not include study medications (azithromycin or placebo)","Participant","Total number of macrolide courses",,"variable",,,,"ELICIT",,,,,,,,,
5,"http://purl.obolibrary.org/obo/EUPATH_0049446","Total metronidazole courses","metronidazole","http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","elicit_data_for_plos_reshaped_v3","Antibiotic courses do not include study medications (azithromycin or placebo)","Participant","Total number of metronidazole courses",,"variable",,,,"ELICIT",,,,,,,,,
6,"http://purl.obolibrary.org/obo/EUPATH_0049443","Total penicillin courses","penicillins","http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","elicit_data_for_plos_reshaped_v3","Antibiotic courses do not include study medications (azithromycin or placebo)","Participant","Total number of penicillin courses",,"variable",,,,"ELICIT",,,,,,,,,
7,"http://purl.obolibrary.org/obo/EUPATH_0049444","Total sulfonamide courses","sulfonamides","http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","elicit_data_for_plos_reshaped_v3","Antibiotic courses do not include study medications (azithromycin or placebo)","Participant","Total number of sulfonamide courses",,"variable",,,,"ELICIT",,,,,,,,,
8,"http://purl.obolibrary.org/obo/EUPATH_0049448","Total tetracycline courses","tetracyclines","http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","elicit_data_for_plos_reshaped_v3","Antibiotic courses do not include study medications (azithromycin or placebo)","Participant","Total number of tetracycline courses",,"variable",,,,"ELICIT",,,,,,,,,
13,"http://purl.obolibrary.org/obo/EUPATH_0010383","Anthropometry flag",,"http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3",,"Participant",,,"category",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0000683","Head circumference","head","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3",,"Participant","enrollment head circumference (cm)",,"variable","yes",,,"ELICIT",,"cm","http://purl.obolibrary.org/obo/UO_0000015",,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0000682","Head circumference-for-age z-score","hcz","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3",,"Participant","head circumference for age z score",,"variable","yes",,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0010075","Height","height","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3",,"Participant","enrollment length (cm)",,"variable","yes",,,"ELICIT",,"cm","http://purl.obolibrary.org/obo/UO_0000015",,,,,,
3,"http://purl.obolibrary.org/obo/EUPATH_0049428","Imputed head circumference-for-age z-score","impute_hcz","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3","Head circumference-for-age z-score was imputed only for baseline (0 months) visits where head circumference was missing. All other values are derived from the participant's head circumference at the given observation.","Participant","If enrollment hcz was dropped after being flagged as an implausible value, imputed mean, otherwise, hcz",,"variable",,,,"ELICIT",,,,,,,,,
6,"http://purl.obolibrary.org/obo/EUPATH_0049426","Imputed length-for-age z-score","impute_laz","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3","Length-for-age z-score was imputed only for baseline (0 months) visits where length was missing. All other values are derived from the participant's length at the given observation.","Participant","If enrollment laz was dropped after being flagged as an implausible value, imputed mean, otherwise, laz",,"variable",,,,"ELICIT",,,,,,,,,
9,"http://purl.obolibrary.org/obo/EUPATH_0049427","Imputed weight-for-age z-score","impute_waz","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3","Weight-for-age z-score was imputed only for baseline (0 months) visits where weight was missing. All other values are derived from the participant's weight at the given observation.","Participant","If enrollment waz was dropped after being flagged as an implausible value, imputed mean, otherwise, waz",,"variable",,,,"ELICIT",,,,,,,,,
5,"http://purl.obolibrary.org/obo/EUPATH_0000689","Length-for-age z-score","laz","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3",,"Participant","length for age z score",,"variable","yes",,,"ELICIT",,,,,,,,,
10,"http://purl.obolibrary.org/obo/EUPATH_0010084","MUAC","muac","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3","Mid-upper arm circumference measured at 18 months","Participant","mid-upper arm circumference measurement (cm)",,"variable",,,,"ELICIT",,"cm","http://purl.obolibrary.org/obo/UO_0000015",,,,,,
11,"http://purl.obolibrary.org/obo/EUPATH_0000710","MUAC-for-age z-score","maz","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3",,"Participant","muac for age z score",,"variable","yes",,,"ELICIT",,,,,,,,,
7,"http://purl.obolibrary.org/obo/IAO_0000414","Weight","weight","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3",,"Participant","enrollment weight (kg)",,"variable","yes",,,"ELICIT",,"kg","http://purl.obolibrary.org/obo/UO_0000009",,,,,,
8,"http://purl.obolibrary.org/obo/EUPATH_0000733","Weight-for-age z-score","waz","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","elicit_data_for_plos_reshaped_v3",,"Participant","weight for age z score",,"variable","yes",,,"ELICIT",,,,,,,,,
4,"http://purl.obolibrary.org/obo/EUPATH_0049436","Valid 18 month MUAC-for-age z-score","mitt_maz","http://purl.obolibrary.org/obo/EUPATH_0010383","Anthropometry flag","elicit_data_for_plos_reshaped_v3","Indicator that MUAC-for-age z-score at 18 months was thought to be plausible during data cleaning and therefore included in the modified intention to treat (mITT) group.","Participant","Flag for all pids with a valid 18 month maz","1=yes, 0=no","variable",,,,"ELICIT",,,,,,,,,
1,"http://purl.obolibrary.org/obo/EUPATH_0049435","Valid 18 month head circumference-for-age z-score","mitt_hcz","http://purl.obolibrary.org/obo/EUPATH_0010383","Anthropometry flag","elicit_data_for_plos_reshaped_v3","Indicator that head circumfirence-for-age z-score at 18 months was thought to be plausible during data cleaning and therefore included in the modified intention to treat (mITT) group.","Participant","Flag for all pids with a valid 18 month hcz","1=yes, 0=no","variable",,,,"ELICIT",,,,,,,,,
2,"http://purl.obolibrary.org/obo/EUPATH_0049433","Valid 18 month length-for-age z-score","mitt","http://purl.obolibrary.org/obo/EUPATH_0010383","Anthropometry flag","elicit_data_for_plos_reshaped_v3","Indicator that length-for-age z-score at 18 months was thought to be plausible during data cleaning and therefore included in the modified intention to treat (mITT) group.","Participant","Flag for all pids with a valid 18 month laz","1=yes, 0=no","variable",,,,"ELICIT",,,,,,,,,
