"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
"43","agg_follow_up::pexp_danger_signs_resp","agg_follow_up","","Taught delivery complications","Before leaving the hospital, whether the participant was told to look for complications for which you should seek medical help","Participant","EUPATH_0015677","Health care attitudes","Before you left the hospital, were you told to look for complications for which you should seek medical help? (Listen for respondent to mention any of the acceptable danger signs listed for mother or for baby)","1	At least one danger sign named for mother OR baby
0	None named
2	No Response Given","variable","","","","","BetterBirth","","","","","","","","",""
"44","agg_follow_up::pair_name","agg_follow_up","","Health center matched pair","Each health facility in the intervention arm was matched to one health facility in the control arm","Community","EUPATH_0051003","Health center level information","pair to which the site belongs","","variable","","","","","BetterBirth","","","","","","","","",""
"3","dim_baby_outcomes_noconflict_var::arm_name","dim_baby_outcomes_noconflict_var","EUPATH_0044124","Cluster study arm","","Community","","","which arm the site is in (control; intervention)","0","variable","","","","","BetterBirth","","","","","","","","",""
"8","dim_baby_outcomes_noconflict_var::baby_dead_day_0_1","dim_baby_outcomes_noconflict_var","","Child died","","Participant","EUPATH_0042389","Child death information","Did the baby die on Day 0? If SBR has value, used it; then use FU value; then if baby alive day 7, set alive day 0 (0 = No; 1 = Yes)","Y/N (1/0)","variable,derived","","","","","BetterBirth","","","","","","","","",""
"8","dim_baby_outcomes_noconflict_var::baby_dead_day_0_2","dim_baby_outcomes_noconflict_var","","Child 2 died","","Participant","EUPATH_0042389","Child death information","Did the baby die on Day 0? If SBR has value, used it; then use FU value; then if baby alive day 7, set alive day 0 (0 = No; 1 = Yes)","Y/N (1/0)","variable,derived","","","","","BetterBirth","","","","","","","","",""
"8","dim_baby_outcomes_noconflict_var::baby_dead_day_0_3","dim_baby_outcomes_noconflict_var","","Child 3 died","","Participant","EUPATH_0042389","Child death information","Did the baby die on Day 0? If SBR has value, used it; then use FU value; then if baby alive day 7, set alive day 0 (0 = No; 1 = Yes)","Y/N (1/0)","variable,derived","","","","","BetterBirth","","","","","","","","",""
"10","dim_baby_outcomes_noconflict_var::baby_dead_day_7_1","dim_baby_outcomes_noconflict_var","","Child died within 7 days of delivery","","Participant","EUPATH_0042389","Child death information","Did the baby die on Day 7, according to Follow Up? (0 = No; 1 = Yes)","Y/N (1/0)","variable,derived","","","","","BetterBirth","","","","","","","","",""
"10","dim_baby_outcomes_noconflict_var::baby_dead_day_7_2","dim_baby_outcomes_noconflict_var","","Child 2 died within 7 days of delivery","","Participant","EUPATH_0042389","Child death information","Did the baby die on Day 7, according to Follow Up? (0 = No; 1 = Yes)","Y/N (1/0)","variable,derived","","","","","BetterBirth","","","","","","","","",""
"10","dim_baby_outcomes_noconflict_var::baby_dead_day_7_3","dim_baby_outcomes_noconflict_var","","Child 3 died within 7 days of delivery","","Participant","EUPATH_0042389","Child death information","Did the baby die on Day 7, according to Follow Up? (0 = No; 1 = Yes)","Y/N (1/0)","variable,derived","","","","","BetterBirth","","","","","","","","",""
"11","dim_baby_outcomes_noconflict_var::baby_days_since_admission","dim_baby_outcomes_noconflict_var","","Time from admission to follow-up","","Participant","EUPATH_0010035","Administrative information","How many days after admission did follow-up occur?","0","variable","","","","","BetterBirth","","","","","","","","",""
"12","dim_baby_outcomes_noconflict_var::baby_sbr_consent","dim_baby_outcomes_noconflict_var","","Consent for follow-up","","Participant","EUPATH_0010036","Eligibility criteria","Did the baby's mother consent to the study in the SBR? (0 = No; 1 = Yes)","Y/N (1/0)","variable","","","","","BetterBirth","","","","","","","","",""
"13","dim_baby_outcomes_noconflict_var::baby_consent_retract","dim_baby_outcomes_noconflict_var","","Retract follow-up consent","","Participant","","","Did the baby's mother retract consent during follow-up? (0 = No; 1 = Yes)","Y/N (1/0)","variable","","","","","BetterBirth","","","","","","","","",""
"14","dim_baby_outcomes_noconflict_var::baby_sbr_only","dim_baby_outcomes_noconflict_var","","Data from SBR only","","Participant","EUPATH_0010035","Administrative information","Does the baby only have data from the SBR (mothers who do not consent; lost to follow-up; pending follow-up (won't exist after study ends)) (0 = No; 1 = Yes)","Y/N (1/0)","variable","","","","","BetterBirth","","","","","","","","",""
"15","dim_baby_outcomes_noconflict_var::baby_death_day_0_location_1","dim_baby_outcomes_noconflict_var","EUPATH_0042361","Child death location","If the infant died on Day 0, did it die at the BetterBirth Facility or the Referral Faciltiy? This might be unknown and only applies to the first infant born in the case where a participant delivered twins or triplets","Participant","EUPATH_0042389","Child death information","If the baby died on Day 0, did it die at the BB Facility or the Referral Faciltiy? (may not be known)","0","variable,derived","","","","","BetterBirth","","","","","","","","",""
"15","dim_baby_outcomes_noconflict_var::baby_death_day_0_location_2","dim_baby_outcomes_noconflict_var","","Child 2 death location","If the infant died on Day 0, did it die at the BetterBirth Facility or the Referral Faciltiy? This might be unknown and only applies to the second infant born in the case where a participant delivered twins or triplets","Participant","EUPATH_0042389","Child death information","If the baby died on Day 0, did it die at the BB Facility or the Referral Faciltiy? (may not be known)","0","variable,derived","","","","","BetterBirth","","","","","","","","",""
"15","dim_baby_outcomes_noconflict_var::baby_death_day_0_location_3","dim_baby_outcomes_noconflict_var","","Child 3 death location","If the infant died on Day 0, did it die at the BetterBirth Facility or the Referral Faciltiy? This might be unknown and only applies to the third infant born in the case where a participant delivered triplets","Participant","EUPATH_0042389","Child death information","If the baby died on Day 0, did it die at the BB Facility or the Referral Faciltiy? (may not be known)","0","variable,derived","","","","","BetterBirth","","","","","","","","",""
"16","dim_baby_outcomes_noconflict_var::baby_death_day_0_type_1","dim_baby_outcomes_noconflict_var","","Infant death type","","Participant","EUPATH_0042389","Child death information","If the baby died on Day 0, was it stillborn or dead after? (may not be known)","0","variable,derived","","","","","BetterBirth","","","","","","","","",""
"16","dim_baby_outcomes_noconflict_var::baby_death_day_0_type_2","dim_baby_outcomes_noconflict_var","","Infant 2 death type","Asked only about the second infant in the case of a participant delivering twins or triplets. No variable for the 3rd infant in a triplet since the 3rd infant never died","Participant","EUPATH_0042389","Child death information","If the baby died on Day 0, was it stillborn or dead after? (may not be known)","0","variable,derived","","","","","BetterBirth","","","","","","","","",""
"17","dim_baby_outcomes_noconflict_var::baby_baseline_outcomes_data","dim_baby_outcomes_noconflict_var","","Baseline outcomes","","Participant","EUPATH_0010035","Administrative information","Indicates if data is part of baseline outcomes (and thus not included in most analyses)","Y/N (1/0)","variable,derived","","","","","BetterBirth","","","","","","","","",""
"18","dim_baby_outcomes_noconflict_var_weight::baby_weight","dim_baby_outcomes_noconflict_var_weight","","Child weight","","Participant","","","the baby's weight - comes from the SBR; if null in SBR then the demographic data; only assigned to baby number 1","0","variable","","","","","BetterBirth","","","","","","","","",""
"19","dim_baby_outcomes_noconflict_var::baby_referred","dim_baby_outcomes_noconflict_var","","Participant or infant referred to higher level facility","","Participant","EUPATH_0042001","Labor and delivery","Was the baby referred? includes mother referred before birth; baby referred after; baby and mom referred after (0 = No; 1 = Yes)","0","variable","","","","","BetterBirth","","","","","","","","",""
"21","dim_baby_outcomes_noconflict_var::baby_site_moved_omit_data","dim_baby_outcomes_noconflict_var","","Site moved","Indicates if data is from sites who moved, and thus not included in most analyses","Community","EUPATH_0010035","Administrative information","Indicates if data is from sites who moved (and thus not included in most analyses)","0","variable","","","","","BetterBirth","","","","","","","","",""
"22","dim_baby_outcomes_noconflict_var::pair_name","dim_baby_outcomes_noconflict_var","","Health center matched pair","","Community","EUPATH_0051003","Health center level information","pair to which the site belongs","","variable","","","","","BetterBirth","","","","","","","","",""
"23","dim_baby_outcomes_noconflict_var::baby_low_birth_weight","dim_baby_outcomes_noconflict_var","EUPATH_0042398","Infant low birth weight (<2500 g)","","Participant","","","Was the baby low birth weight (<2500 grams); only baby number 1 (0 = No; 1 = Yes)","0","variable","","","","","BetterBirth","","","","","","","","",""
"24","dim_baby_outcomes_noconflict_var::baby_preterm","dim_baby_outcomes_noconflict_var","ONTONEO_00000271","Preterm birth","","Participant","","","Was the baby pre term (< 37 weeks) (0 = No; 1 = Yes)","0","variable","","","","","BetterBirth","","","","","","","","",""
"2","dim_fada_single_row::fada_date_admission","dim_fada_single_row","EUPATH_0042038","Delivery hospitalization date","","Participant","","","E. Date of Admission","","variable","","","","","BetterBirth","","","","","","","","",""
"","","","","Healthcare provider assisting on admission","Health care workers assisting with participant's care on admission for delivery","Participant","EUPATH_0042001","Labor and delivery","","","multifilter","","","","","BetterBirth","","","","","","","","",""
"3","dim_fada_single_row::fada_op1_assisted_by_doctor","dim_fada_single_row","","Doctor","","Participant","","Healthcare provider assisting on admission","1a. Assisted with woman's care (check all that apply) -> Doctor","","value","","","","","BetterBirth","","","","","","","","",""
"4","dim_fada_single_row::fada_op1_assisted_by_nurse","dim_fada_single_row","","Nurse","","Participant","","Healthcare provider assisting on admission","1a. Assisted with woman's care (check all that apply) -> Nurse","","value","","","","","BetterBirth","","","","","","","","",""
"5","dim_fada_single_row::fada_op1_assisted_by_anm","dim_fada_single_row","","Auxiliary nurse midwife","","Participant","","Healthcare provider assisting on admission","1a. Assisted with woman's care (check all that apply) -> ANM","","value","","","","","BetterBirth","","","","","","","","",""
"6","dim_fada_single_row::fada_op1_assisted_by_others","dim_fada_single_row","","Other","","Participant","","Healthcare provider assisting on admission","1a. Assisted with woman's care (check all that apply) -> Others","","value","","","","","BetterBirth","","","","","","","","",""
"7","dim_fada_single_row::fada_op1_maternal_temp","dim_fada_single_row","","Temperature measurement performed on admission","Asked in regards to use of the birth checklist around admission","Participant","OGMS_0000083","Physical examination","1b. Was maternal temperature obtained?","","variable","","","","","BetterBirth","","","","","","","","",""
"8","dim_fada_single_row::fada_op1_maternal_temp_value","dim_fada_single_row","","Temperature on admission","Asked in regards to use of the birth checklist around admission","Participant","OGMS_0000083","Physical examination","1b(i). What was the maternal temperature?","","variable","","","","","BetterBirth","F","","","","","","","",""
"9","dim_fada_single_row::fada_op1_maternal_bp","dim_fada_single_row","","Blood pressure measurement performed on admission","Asked in regards to use of the birth checklist around admission","Participant","OGMS_0000083","Physical examination","1c. Was maternal blood pressure obtained?","","variable","","","","","BetterBirth","","","","","","","","",""
"10","dim_fada_single_row::fada_op1_maternal_bp_sys","dim_fada_single_row","","Systolic blood pressure on admission","Asked in regards to use of the birth checklist around admission","Participant","OGMS_0000083","Physical examination","1c(i). What was the systolic blood pressure?","","variable","","","","","BetterBirth","mmHg","","","","","","","",""
"11","dim_fada_single_row::fada_op1_maternal_bp_dia","dim_fada_single_row","","Diastolic blood pressure on admission","Asked in regards to use of the birth checklist around admission","Participant","OGMS_0000083","Physical examination","1c(ii). What was the diastolic blood pressure?","","variable","","","","","BetterBirth","mmHg","","","","","","","",""
"12","dim_fada_single_row::fada_op1_partograph_started","dim_fada_single_row","","Partograph started","Asked in regards to use of the birth checklist around admission","Participant","EUPATH_0042001","Labor and delivery","1d. Was partograph started?","","variable","","","","","BetterBirth","","","","","","","","",""
"","","","","Birth checklist picked up during care","Asked in regards to staff use of the birth checklist","Participant","EUPATH_0042001","Labor and delivery","","","multifilter","","","","","BetterBirth","","","","","","","","",""
"13","dim_fada_single_row::fada_op1_cl_picked_up","dim_fada_single_row","","On admission","Asked in regards to use of the birth checklist by staff around admission","Participant","","Birth checklist picked up during care","1e. Was the paper checklist picked up during care ?","","value","","","","","BetterBirth","","","","","","","","",""
"","","","","Birth checklist picked up after care","Asked in regards to staff use of the birth checklist","Participant","EUPATH_0042001","Labor and delivery","","","multifilter","","","","","BetterBirth","","","","","","","","",""
"14","dim_fada_single_row::fada_op1_cl_used_after_care","dim_fada_single_row","","On admission","Asked in regards to use of the birth checklist by staff around admission","Participant","EUPATH_0042001","Labor and delivery","1f. Was the paper checklist picked up after the care was given?","","value","","","","","BetterBirth","","","","","","","","",""
"","","","","Birth checklist poster observed during care","Asked in regards to staff use of the birth checklist poster","Participant","EUPATH_0042001","Labor and delivery","","","multifilter","","","","","BetterBirth","","","","","","","","",""
"15","dim_fada_single_row::fada_op1_cl_poster_used","dim_fada_single_row","","On admission","Asked in regards to use of the birth checklist by staff around admission","Participant","EUPATH_0042001","Labor and delivery","1g. Was the checklist poster observed during care?","","value","","","","","BetterBirth","","","","","","","","",""
"16","dim_fada_single_row::fada_op1_birth_companion_present","dim_fada_single_row","","Birth companion present on admission","Asked in regards to use of the birth checklist around admission","Participant","EUPATH_0042001","Labor and delivery","1h. Was a birth companion present?","","variable","","","","","BetterBirth","","","","","","","","",""
"","","","","Healthcare provider assisting just before delivery","Health care workers assisting with participant's care just before pushing or Caesarean","Participant","EUPATH_0042001","Labor and delivery","","","multifilter","","","","","BetterBirth","","","","","","","","",""
"17","dim_fada_single_row::fada_op2_assisted_by_doctor","dim_fada_single_row","","Doctor","","Participant","","Healthcare provider assisting just before delivery","2a. Assisted with woman's care (check all that apply) -> Doctor","","value","","","","","BetterBirth","","","","","","","","",""
"18","dim_fada_single_row::fada_op2_assisted_by_nurse","dim_fada_single_row","","Nurse","","Participant","","Healthcare provider assisting just before delivery","2a. Assisted with woman's care (check all that apply) -> Nurse","","value","","","","","BetterBirth","","","","","","","","",""
"19","dim_fada_single_row::fada_op2_assisted_by_anm","dim_fada_single_row","","Auxiliary nurse midwife","","Participant","","Healthcare provider assisting just before delivery","2a. Assisted with woman's care (check all that apply) -> ANM","","value","","","","","BetterBirth","","","","","","","","",""
"20","dim_fada_single_row::fada_op2_assisted_by_others","dim_fada_single_row","","Other","","Participant","","Healthcare provider assisting just before delivery","2a. Assisted with woman's care (check all that apply) -> Others","","value","","","","","BetterBirth","","","","","","","","",""
"21","dim_fada_single_row::fada_op2_oxytocin_administered","dim_fada_single_row","","Oxytocin administered just before delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","2b. Was Oxycotin administered?","","variable","","","","","BetterBirth","","","","","","","","",""
"22","dim_fada_single_row::fada_op2_mother_oxytocin_im","dim_fada_single_row","","Intramuscular oxytocin administered just before delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","2b(i/ii) Where was oxytocin administered? -> Intramuscular (IM)","","variable","","","","","BetterBirth","","","","","","","","",""
"23","dim_fada_single_row::fada_op2_mother_oxytocin_iv","dim_fada_single_row","","Intravenous oxytocin administered just before delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","2b(i/ii) Where was oxytocin administered? -> Intravenous (IV)","","variable","","","","","BetterBirth","","","","","","","","",""
"24","dim_fada_single_row::fada_op2_misoprostol_admin","dim_fada_single_row","","Misprotol administered just before delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","2c. Was Misprotol administered?","","variable","","","","","BetterBirth","","","","","","","","",""
"25","dim_fada_single_row::fada_op2_water_usage","dim_fada_single_row","","Personnel cleaned hands with water just before delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","2d. Was water used to clean hands just before delivery?","","variable","","","","","BetterBirth","","","","","","","","",""
"26","dim_fada_single_row::fada_op2_soap_usage","dim_fada_single_row","","Personnel cleaned hands with soap just before delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","2e. Was soap used to clean hands just before delivery?","","variable","","","","","BetterBirth","","","","","","","","",""
"27","dim_fada_single_row::fada_op2_alcohol_rub","dim_fada_single_row","","Personnel cleaned hands with alcohol rub just before delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","2f. Was alcohol rub used just before delivery?","","variable","","","","","BetterBirth","","","","","","","","",""
"28","dim_fada_single_row::fada_op2_clean_gloves","dim_fada_single_row","","Personnel used clean gloves during delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","2g. Were clean gloves used at the time of delivery?","","variable","","","","","BetterBirth","","","","","","","","",""
"","","","","Supplies prepared just before delivery","Asked in regards to use of the birth checklist just before delivery (pushing or Caesarean)","Participant","EUPATH_0042001","Labor and delivery","","","multifilter","","","","","BetterBirth","","","","","","","","",""
"29","dim_fada_single_row::fada_op2_clean_towel","dim_fada_single_row","","Clean towel","","Participant","","Supplies prepared just before delivery","2h(i). Clean Towel","","value","","","","","BetterBirth","","","","","","","","",""
"30","dim_fada_single_row::fada_op2_scissors_blade","dim_fada_single_row","","Sterile scissors","","Participant","","Supplies prepared just before delivery","2h(ii). Sterile Scissors","","value","","","","","BetterBirth","","","","","","","","",""
"31","dim_fada_single_row::fada_op2_cord_tie","dim_fada_single_row","","Cord ligature or tie","","Participant","","Supplies prepared just before delivery","2h(iii). Cord ligature/tie","","value","","","","","BetterBirth","","","","","","","","",""
