colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
16,ea_level_dataset::medianndwimedianealag2,ea_level_dataset,,Normalized Difference Water Index ,EA NDWI,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,EA NDWI,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
13,ea_level_dataset::elevmedianea,ea_level_dataset,,Elevation,EA elevation,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,EA elevation,,variable,,,,,Namibia_RACD_rfMDA_RAVC,m,http://purl.obolibrary.org/obo/UO_0000008,,,,,,
61,ea_level_dataset::mohss_ea_enrolled,ea_level_dataset,,Enrolled,(max) ea_enrolled,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(max) ea_enrolled,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
51,ea_level_dataset::proportion_male_enrolled,ea_level_dataset,,Proportion of enrolled males,(max) proportion_male_enrolled,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(max) proportion_male_enrolled,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
43,ea_level_dataset::geolocated_cases,ea_level_dataset,,Geolocated cases count,(max) geolocated_cases,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(max) geolocated_cases,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
44,ea_level_dataset::proportion_cases_geolocated,ea_level_dataset,,Geolocated cases proportion,(mean) proportion_cases_geolocated,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(mean) proportion_cases_geolocated,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,Namibia_RACD_rfMDA_RAVC,,,,everywhere,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,Namibia_RACD_rfMDA_RAVC,,,,everywhere,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,Namibia_RACD_rfMDA_RAVC,,,,everywhere,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,Namibia_RACD_rfMDA_RAVC,,,,everywhere,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,Namibia_RACD_rfMDA_RAVC,,,,everywhere,,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,Namibia_RACD_rfMDA_RAVC,,,,everywhere,,,,
46,ea_level_dataset::med_households_enrolled_per_intv,ea_level_dataset,,Median households enrolled per intervention count,(p 50) households_enrolled_per_intv,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(p 50) households_enrolled_per_intv,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
84,ea_level_dataset::incidence_cases2013,ea_level_dataset,,Malaria incidence 2013,2013 incidence,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,2013 incidence,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
86,ea_level_dataset::incidence_cases2014,ea_level_dataset,,Malaria incidence 2014,2014 incidence,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,2014 incidence,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
80,ea_level_dataset::ea_incidence_2017_post_4wk,ea_level_dataset,,Malaria incidence 2017 post 4 weeks,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
47,ea_level_dataset::med_indivs_enrolled_per_intv,ea_level_dataset,,Median individuals enrolled per intervention count,(p 50) individuals_enrolled_per_intv,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(p 50) individuals_enrolled_per_intv,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
26,ea_level_dataset::ea_cases_post_eight_weeks,ea_level_dataset,,Malaria cases count 2017 post 8 weeks window ,EA 2017 local&imported cases post 8wk window,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,EA 2017 local&imported cases post 8wk window,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
24,ea_level_dataset::ea_case_2017,ea_level_dataset,,Malaria cases count 2017,2017 cases (local and imported),Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,2017 cases (local and imported),,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
69,ea_level_dataset::ea_local_case_2016,ea_level_dataset,,Malaria cases count 2016,(max) ea_local_case_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_local_case_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
25,ea_level_dataset::ea_local_cases,ea_level_dataset,,Malaria cases count 2017 ,2017 cases (local only),Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,2017 cases (local only),,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
79,ea_level_dataset::ea_local_cases_post_4wks,ea_level_dataset,,Malaria cases post 4 week post intervention count,(max) ea_local_cases_post_4wks,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_local_cases_post_4wks,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
27,ea_level_dataset::ea_local_cases_post_8wks,ea_level_dataset,,Malaria cases post 8 week post intervention count,EA 2017 local and imported cases post 8 week window,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,EA 2017 local cases post 8wk window,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
70,ea_level_dataset::ea_incidence_2016,ea_level_dataset,,Malaria incidence 2016 using old population size,2016 local incidence using old pop size,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,2016 local incidence using old pop size,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
31,ea_level_dataset::ea_incidence_rate,ea_level_dataset,,Malaria incidence in study period taking into account 8-week window,study period EA local incidence taking into account 8-week window,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,study period EA local incidence taking into account 8-week window,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
83,ea_level_dataset::cases2013,ea_level_dataset,,Malaria cases count 2013,cases in 2013,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,cases in 2013,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
85,ea_level_dataset::cases2014,ea_level_dataset,,Malaria cases count 2014,cases in 2014,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,cases in 2014,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
68,ea_level_dataset::ea_cases_2016,ea_level_dataset,,Malaria cases count 2015,(max) ea_cases_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_cases_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
52,ea_level_dataset::mean_ea_hh_size,ea_level_dataset,,Mean household size,(mean) mean_ea_hh_size,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(mean) mean_ea_hh_size,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
45,ea_level_dataset::median_time_to_int,ea_level_dataset,,Median time to intervention,(max) median_time_to_int,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) median_time_to_int,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
14,ea_level_dataset::meanprecmedianealag2,ea_level_dataset,,Monthly rainfall,"EA monthly rainfall for November 2016 - April 2017, mm",Community,http://purl.obolibrary.org/obo/EUPATH_0035124,Community environment,"EA monthly rainfall for November 2016 - April 2017, mm",,variable,,,,,Namibia_RACD_rfMDA_RAVC,mm,http://purl.obolibrary.org/obo/UO_0000016,,,,,,
18,ea_level_dataset::ea_pop_update,ea_level_dataset,,Population,EA population,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,EA population,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
32,ea_level_dataset::lp,ea_level_dataset,,Population offset,Population offset for IRR-log of population,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,population offset for IRR-log of population,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
19,ea_level_dataset::old_pop_size,ea_level_dataset,,"Population size, old",,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
59,ea_level_dataset::mohss_ea_positive,ea_level_dataset,,Malaria positive cases from MoHSS count,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_positive,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
76,ea_level_dataset::ea_positive_2016,ea_level_dataset,,Malaria positive cases from MoHSS in 2016 count,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_positive_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
93,ea_level_dataset::proportion_eacases_spray_covered,ea_level_dataset,,Cases spray covered proportion,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) proportion_eacases_spray_covered,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
63,ea_level_dataset::mohss_distance_500m,ea_level_dataset,,Proportion of households within 500m of MOHSS intervention,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,prop households in EA within 500m of mohss intv,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
50,ea_level_dataset::proportion_local_cases,ea_level_dataset,,Local cases proportion,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
48,ea_level_dataset::proportion_ea_hh_ravc,ea_level_dataset,,Proportion of households with RAVC,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
49,ea_level_dataset::proportion_ea_pop_recieved_tpe,ea_level_dataset,,Proportion of population with TPE,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
72,ea_level_dataset::ravc_2016_date,ea_level_dataset,,RAVC 2016 date,(min) ravc_2016_date,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(min) ravc_2016_date,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
33,ea_level_dataset::ravc_2017_firstdate,ea_level_dataset,,RAVC 2017 start date,(min) start_time,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(min) start_time,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
11,ea_level_dataset::region,ea_level_dataset,,Region in Zambezi,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
78,ea_level_dataset::ea_screened_2016,ea_level_dataset,,Screened in 2016,(max) ea_screened_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_screened_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
9,ea_level_dataset::ea_sq_km,ea_level_dataset,,Area of cluster,,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,SQ_KM,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,sq km,,,,,,
5,ea_level_dataset::ravc | sdss_index_deidentified_forclinepidb::ravc,ea_level_dataset,,RAVC study arm,In RAVC study arm-derived,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,In RAVC study arm-derived,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
23,ea_level_dataset::study_end_date,ea_level_dataset,,Study end date,,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
58,ea_level_dataset::mohss_ea_tested,ea_level_dataset,,MOHSS tested count   ,(max) ea_tested,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_tested,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
75,ea_level_dataset::ea_tested_2016,ea_level_dataset,,Tested in 2016 count,(max) ea_tested_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_tested_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
28,ea_level_dataset::ea_time_days,ea_level_dataset,,Duration of study,Time from 8 weeks post intervention to study end date,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Days from post 8wks to study end date,,variable,,,,,Namibia_RACD_rfMDA_RAVC,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
71,ea_level_dataset::households_sprayed_2016,ea_level_dataset,,Total households sprayed in 2016,(sum) households_sprayed_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(sum) households_sprayed_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
65,ea_level_dataset::mohss_struct_spray_2017_outbreak,ea_level_dataset,,Total sprayed during 2017 outbreak,(sum) total_sprayed_during_2017_outbre,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(sum) total_sprayed_during_2017_outbre,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
64,ea_level_dataset::mohss_structures_sprayed_2016,ea_level_dataset,,Total sprayed structures in 2016,(sum) total_structures_sprayed_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(sum) total_structures_sprayed_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
60,ea_level_dataset::mohss_ea_treated,ea_level_dataset,,Treated,(max) ea_treated,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_treated,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
77,ea_level_dataset::ea_treated_2016,ea_level_dataset,,Treated in 2016,(max) ea_treated_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_treated_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
81,ea_level_dataset::cases2012,ea_level_dataset,,Malaria cases 2012 count,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
94,ea_level_dataset::enrollment_prop_mean,ea_level_dataset,,Enrolled proportion,,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
82,ea_level_dataset::incidence_cases2012,ea_level_dataset,,Malaria incidence 2012,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
87,ea_level_dataset::incidence_cases2016,ea_level_dataset,,Malaria incidence 2016,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
57,ea_level_dataset::mohss_any,ea_level_dataset,,MoHSS any,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,"0,1 ",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
56,ea_level_dataset::mohss_racd,ea_level_dataset,,MoHSS RACD,,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
55,ea_level_dataset::mohss_spray,ea_level_dataset,,MoHSS sprayed,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
62,ea_level_dataset::mohss_spray_coverage_ea,ea_level_dataset,,MohSS spray coverage,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
54,ea_level_dataset::mohss_treated_breeding_sites,ea_level_dataset,,MoHSS breeding sites treated,,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
64,endline_individual_cross_sectional_forclinepidb::age_group,endline_individual_cross_sectional_forclinepidb,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,Age group-derived,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation detail,Age group-derived,"1=  Under 5 years old,  2=  5-15 years old, 3= 16-40 years old, 4=  Over 40 years old",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
5,endline_individual_cross_sectional_forclinepidb::arm,endline_individual_cross_sectional_forclinepidb,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,Intervention arm- from geolocation,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Intervention arm- from geolocation,"""NA"", ""RO"",  ""RV"", ""TO"", ""TV""",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
57,endline_individual_cross_sectional_forclinepidb::invite_participant,endline_individual_cross_sectional_forclinepidb,,Invited to participate in community level malaria intervention,Were you invited to participate?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Were you invited to participate?,"0= No, 1=  Yes,  999 = No response,  missing=  .  ",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
6,endline_individual_cross_sectional_forclinepidb::birthdate,endline_individual_cross_sectional_forclinepidb,http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,Birth date,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
35,endline_individual_cross_sectional_forclinepidb::residence_length_y,endline_individual_cross_sectional_forclinepidb,http://purl.obolibrary.org/obo/EUPATH_0000377,Time living in dwelling,For how many years have you lived here?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,For how many years have you lived here?,,variable,,,,,Namibia_RACD_rfMDA_RAVC,http://purl.obolibrary.org/obo/UO_0000036|UO_0000036,years,,,,,,
63,endline_individual_cross_sectional_forclinepidb::school,endline_individual_cross_sectional_forclinepidb,,Residence type,Lives in community or boarding school- derived,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,Lives in community or boarding school- derived,0= Community member.  1 = Boarding student,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
9,endline_individual_cross_sectional_forclinepidb::child_hhh,endline_individual_cross_sectional_forclinepidb,,Child headed household,Child headed household,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,Child headed household,"0= No,    1= Yes, missing=.",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
1,endline_individual_cross_sectional_forclinepidb::date,endline_individual_cross_sectional_forclinepidb,http://purl.obolibrary.org/obo/EUPATH_0015683,Interview date,,Participant,,,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
45,endline_individual_cross_sectional_forclinepidb::diagnosis_why_dk,endline_individual_cross_sectional_forclinepidb,,Reason for not knowing about malaria diagnosis,"Why don’t you know if you have been diagnosed with malaria by finger prick in
the last 12 months?",Participant,http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
58,endline_individual_cross_sectional_forclinepidb::did_participate,endline_individual_cross_sectional_forclinepidb,,Participation in community intervention,Did you participate?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Did you participate?,"0= No,    1= Yes, missing=.",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
8,endline_individual_cross_sectional_forclinepidb::gender,endline_individual_cross_sectional_forclinepidb,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,"0 =Male,  1 = Female",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
61,endline_individual_cross_sectional_forclinepidb::interv_again,endline_individual_cross_sectional_forclinepidb,,Participate in intervention again,"If a team came and offered the same intervention, regardless of whether you participated the first time, would you participate?",Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,"0 = No, 1 = Yes,  888 = Don't know,  999= No response, missing= .  ",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
