colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
,,,SHINE_Baseline_Household_Data_editSWS::hh_mdds,SHINE_Baseline_Household_Data_editSWS,,Minimum dietary diversity,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,Household meets minimum dietary diversity,"0. no,
1. yes,
88. N/A,
99. DK",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::hhsize,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house,,Household,,,HH size - HH members/HH,,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::hwstation_items_b0,SHINE_Baseline_Household_Data_editSWS,,Item at handwashing station,,Household,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,b0: Items observed @ HW station,"1. yes,
2. no",Multifilter,drop the var but keep the label,,
,,,SHINE_Baseline_Household_Data_editSWS::Improve_Latrine,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0037007,Improved Latrine,,Household,,,,,variable,,Could this be improved sanitation?,
,,,SHINE_Baseline_Household_Data_editSWS::improved_water,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0031228,Improved drinking water source,,Household,,,Improved drinking water source,"1. yes,
2. no",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::improvedfloorcat,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0035008,Improved floor material,,Household,,,Improved floor,"0. no,
1. yes,
88. N/A,
99. DK",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::improvedlatrinepath_b0,SHINE_Baseline_Household_Data_editSWS,,Imporoved latrine path,,Household,Human waste facilities,http://purl.obolibrary.org/obo/EUPATH_0000335,improved latrine_well troden path,"1. yes,
2. no",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::improvedlatrinepath_share_b0,SHINE_Baseline_Household_Data_editSWS,,Shared latrine path,,Household,Human waste facilities,http://purl.obolibrary.org/obo/EUPATH_0000335,b0:_well troden path & sharing,"1. yes,
2. no",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::latrine_use_bathing,SHINE_Baseline_Household_Data_editSWS,,Bathing,,Household,Latrine Use,,,,value,"please add parent ""Latrine Use"" under ""Waste disposal""",,
,,,SHINE_Baseline_Household_Data_editSWS::latrine_use_defecation,SHINE_Baseline_Household_Data_editSWS,,Defecation,,Household,Latrine Use,,,,value,"please add parent ""Latrine Use"" under ""Waste disposal""",,
,,,SHINE_Baseline_Household_Data_editSWS::latrine_use_other,SHINE_Baseline_Household_Data_editSWS,,Other,,Household,Latrine Use,,,,value,"please add parent ""Latrine Use"" under ""Waste disposal""",,
,,,SHINE_Baseline_Household_Data_editSWS::latrine_use_storage,SHINE_Baseline_Household_Data_editSWS,,Storage,,Household,Latrine Use,,,,value,"please add parent ""Latrine Use"" under ""Waste disposal""",,
,,,SHINE_Baseline_Household_Data_editSWS::latrine_use_urinating,SHINE_Baseline_Household_Data_editSWS,,Urinating,,Household,Latrine Use,,,,value,"please add parent ""Latrine Use"" under ""Waste disposal""",,
,,,SHINE_Baseline_Household_Data_editSWS::opendef_age_70plus,SHINE_Baseline_Household_Data_editSWS,,,,Household,,,Members age 70 + yrs who use open defecation,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_Baseline_Household_Data_editSWS::opendef_age0_less3,SHINE_Baseline_Household_Data_editSWS,,,,Household,,,Members age <3 yrs who use open defecation,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_Baseline_Household_Data_editSWS::opendef_age18_less70,SHINE_Baseline_Household_Data_editSWS,,,,Household,,,Members age 18 to <70yrs who use open defecation,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_Baseline_Household_Data_editSWS::opendef_age3_less6,SHINE_Baseline_Household_Data_editSWS,,,,Household,,,Members age 3 to <6yrs who use open defecation,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_Baseline_Household_Data_editSWS::opendef_age6_less18,SHINE_Baseline_Household_Data_editSWS,,,,Household,,,Members age 6 to <18yrs who use open defecation,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_Baseline_Household_Data_editSWS::opendef_hhtotal,SHINE_Baseline_Household_Data_editSWS,,,,Household,,,Total HH members who use open defecation,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_Baseline_Household_Data_editSWS::owns_livestock,SHINE_Baseline_Household_Data_editSWS,,Livestock,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,Owns any livestock?,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::p17_generator,SHINE_Baseline_Household_Data_editSWS,,Generator,,Household,Electric power,,Type of electric power: Generator (p17==1),,value,"please add parent ""Electric power"" under ""Dwelling characteristics""",,
,,,SHINE_Baseline_Household_Data_editSWS::p17_solar,SHINE_Baseline_Household_Data_editSWS,,Solar,,Household,Electric power,,Type of electric power: Solar     (p17==2),,value,"please add parent ""Electric power"" under ""Dwelling characteristics""",,
,,,SHINE_Baseline_Household_Data_editSWS::p18_cooking_fuel_type,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,,Household,,,p18: What type of fuel does your household mainly use for cooking?,"1. Kerosene/Paraffin,
2. Charcoal,
3. Wood,
4. Straw/Grass/Leaves,
5. Animal dung,
6. Electricity,
7. Gas,
8. Other",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::p24_income_total,SHINE_Baseline_Household_Data_editSWS,,"Income all sources (CPI adjusted, USD)",,Household,Income,ttp://purl.obolibrary.org/obo/EUPATH_0011680,p24: REAL (cpi-adjusted) HH Income all sources (US$),,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::p25_expend_r,SHINE_Baseline_Household_Data_editSWS,,"Expenditure (CPI adjusted, USD)",,Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,p25: REAL (cpi-adjusted) HH expenditure amount/equivalent (US$),,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::per_capita_volume,SHINE_Baseline_Household_Data_editSWS,,Water volume collected per capita,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,:Per capita volume of water collected for the households,,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_bed,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/ENVO_00000501,Bed,,Household,,,r01_06_01: Owns bed,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_bicycle,SHINE_Baseline_Household_Data_editSWS,"
http://purl.obolibrary.org/obo/ENVO_01000614",Bicycle,,Household,,,r01_25_01: Owns bicycle,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_car,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Household,,,r01_27_01: Owns car/truck,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_cattle,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0022015,Cows,,Household,,,r01_31_01: Owns cattle,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_cdplayer,SHINE_Baseline_Household_Data_editSWS,,CD player,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_16_01: Owns audio cassette/cd/dvd/mp3 player,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_chair,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/ENVO_01000586,Chair,,Household,,,r01_10_01: Owns chairs,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_chicken,SHINE_Baseline_Household_Data_editSWS,,Chickens,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_33_01: Owns chickens and any other poultry,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_claypot,SHINE_Baseline_Household_Data_editSWS,,Clay pot,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_50_01: Owns clay pot,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_cultivator,SHINE_Baseline_Household_Data_editSWS,, Cultivator,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_37_01: Owns cultivator,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_goat_sheep,SHINE_Baseline_Household_Data_editSWS,,Goat and sheep,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_32_01: Owns goat and sheep,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_hoe,SHINE_Baseline_Household_Data_editSWS,,Hoe,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_38_01: Owns hoe,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_iron,SHINE_Baseline_Household_Data_editSWS,,Iron,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_14_01: Owns iron (electric or otherwise),"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_lamp,SHINE_Baseline_Household_Data_editSWS,,Lamp,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_13_01: Owns table lamp,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_mattress,SHINE_Baseline_Household_Data_editSWS,,Mattress,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_07_01: Owns mattress,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_motorcycle,SHINE_Baseline_Household_Data_editSWS,"
http://purl.obolibrary.org/obo/ENVO_01000615",Motorcycle or scooter,,Household,,,r01_26_01: Owns motorcycle,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_ox_cart,SHINE_Baseline_Household_Data_editSWS,,Ox cart,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_28_01: Owns scotch cart,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_pestle_mortar,SHINE_Baseline_Household_Data_editSWS,,Mortar and pestle,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_46_01: Owns pestle and mortar,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_phone,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),,Household,,,r01_17_01: Owns phone/mobile phone,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_plough,SHINE_Baseline_Household_Data_editSWS,,Plough,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_36_01: Owns plough,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_radio,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,,,r01_15_01: Owns radio,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_reed_basket,SHINE_Baseline_Household_Data_editSWS,,Reed basket,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_48_01: Owns reed basket e.g. winnowing basket,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_reed_mat,SHINE_Baseline_Household_Data_editSWS,,Reed mat,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_47_01: Owns reed mat,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_refrig,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,Household,,,r01_20_01: Owns refrigerator,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_sewing,SHINE_Baseline_Household_Data_editSWS,,,,Household,,,r01_22_01: Owns sewing machine,"0. no,
1. yes,
88. N/A,
99. DK",value,There are currently two iri for sewing machine in the clinepi owl,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_smoothing_stone,SHINE_Baseline_Household_Data_editSWS,,Peanut butter smoothing stone,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_49_01: Owns peanut butter smoothing stone,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_spade,SHINE_Baseline_Household_Data_editSWS,,Spade,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_39_01: Owns spade,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_stovestand,SHINE_Baseline_Household_Data_editSWS,,Stove stand,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_04_01: Owns stove stand,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_table,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/ENVO_01000584,Table,,Household,,,r01_09_01: Owns tables,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_trunk,SHINE_Baseline_Household_Data_editSWS,,Trunk or suitcase,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_11_01: Owns trunk/suitcase,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_tv,SHINE_Baseline_Household_Data_editSWS,"IRI
http://purl.obolibrary.org/obo/ENVO_01000579",Television,,Household,,,r01_18_01: Owns TV (color/black-white),"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_watch,SHINE_Baseline_Household_Data_editSWS,"
http://purl.obolibrary.org/obo/EUPATH_0036225",Watch or clock,,Household,,,r01_23_01: Owns wall clock/wrist watch,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::r01_wheelbarrow,SHINE_Baseline_Household_Data_editSWS,,Wheelbarrow,,Household,Assets,ttp://purl.obolibrary.org/obo/EUPATH_0000144,r01_42_01: Owns wheel barrow,"0. no,
1. yes,
88. N/A,
99. DK",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::roof_type,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,Household,,,Roof type,,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::salary,SHINE_Baseline_Household_Data_editSWS,,Salary,,Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,p24: (1) if HH has formal salary/wages,"0. no,
1. yes,
88. N/A,
99. DK",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::ses_quintile1,SHINE_Baseline_Household_Data_editSWS,,Wealth index quantiles,,Household,SHINE Wealth Index,,5 quantiles of ses_score1,"1. 1 Low,
2. 2 Low Mid,
3. 3 Mid,
4. 4 Upper Mid,
5. 5 Upper",variable,"please add parent ""SHINE Wealth index"" under ""Socioeconomic status""",,
,,,SHINE_Baseline_Household_Data_editSWS::ses_score1,SHINE_Baseline_Household_Data_editSWS,,SHINE Wealth index,,Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,SHINE Wealth Index,,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::tot_vol,SHINE_Baseline_Household_Data_editSWS,,Water volume collected per day,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,:Total volume of water collected per HH per day,,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::x07_latrine_storage_use,SHINE_Baseline_Household_Data_editSWS,,Storage,Household,Household,Latrine Use,,x07:Is latrine used for storage?,"1. no,
2. yes,
88. N/A,
99. DK",value,"please add parent ""Latrine Use"" under ""Waste disposal""",,
,,,SHINE_Baseline_Household_Data_editSWS::x11_02_soap_at_handwashing,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0037012,Soap at hand washing location,,Household,,,x11: Observe hw facility_items present - 02 soap/detergent,"0. no,
1. yes",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::x26_livestock_inside_house,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0000418,Animals indoors,,Household,,,X26: Are any livestock kept inside living quarters?,"1. Yes,
2. No,
99. DK",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::x28_feaces_in_yard,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0010116,Visible feces elsewhere in house or yard,,Household,,,X28: Feces(human/animal) visible in the yard,"1. Yes,
2. No,
99. cannot observe",variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::anotb_score,SHINE_ECD_Data_19 Jun 2020_RN,,,,,,,A not B score,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_ECD_Data_19 Jun 2020_RN::birthorder,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0035114,Birth order,,Participant,,,,,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::di_direct,SHINE_ECD_Data_19 Jun 2020_RN,,,,,,,Delayed inhibition - direct view,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_ECD_Data_19 Jun 2020_RN::di_hidden,SHINE_ECD_Data_19 Jun 2020_RN,,,,,,,Delayed inhibition - hidden view,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_ECD_Data_19 Jun 2020_RN::disability,SHINE_ECD_Data_19 Jun 2020_RN,,,,Observation,,,Disability,"1. Yes,
2. No",variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_ECD_Data_19 Jun 2020_RN::fci_gc14_1,SHINE_ECD_Data_19 Jun 2020_RN,,,,Observation,,,Has your child started to combine two words together?,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_ECD_Data_19 Jun 2020_RN::fci_gc14_2,SHINE_ECD_Data_19 Jun 2020_RN,,,,Observation,,,Has your child started to use plurals?,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_ECD_Data_19 Jun 2020_RN::fci_gc14_3,SHINE_ECD_Data_19 Jun 2020_RN,,,,Observation,,,Has your child started to use progressive/imperative words?,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_ECD_Data_19 Jun 2020_RN::fci_sc12,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Observation,,,M24 Weight (Kg),,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::fci_sc13,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0011918,Recumbent length (cm),,Observation,,,M24 Length (cm),,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::fci_sc14,SHINE_ECD_Data_19 Jun 2020_RN,,,,Observation,,,M24 Head circumference (cm),,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::fci_sc15,SHINE_ECD_Data_19 Jun 2020_RN,,MUAC (mm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,M24 MUAC (mm),,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::m24_age_in_days,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Observation,,,Age in days,,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::m24_age_in_months,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Observation,,,Age in months,,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::m24_hcz,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0000682,Head circumference-for-age z-score,,Observation,,,infant M24 HCZ-score,,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::m24_laz,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0015710,Length- or height-for-age z-score,,Observation,,,infant M24 LAZ-score,,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::m24_muacz,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0000710,MUAC-for-age z-score,,Observation,,,infant M24 MUACZ-score,,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::m24_waz,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0000733,Weight-for-age z-score,,Observation,,,infant M24 WAZ-score,,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::m24_wlz,SHINE_ECD_Data_19 Jun 2020_RN,http://purl.obolibrary.org/obo/EUPATH_0000734,Weight-for-length or -height z-score,,Observation,,,infant M24 WHZ-score,,variable,,,
,,,SHINE_ECD_Data_19 Jun 2020_RN::mcb_score,SHINE_ECD_Data_19 Jun 2020_RN,,,,,,,MCB score,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_ECD_Data_19 Jun 2020_RN::mdat_finemotor,SHINE_ECD_Data_19 Jun 2020_RN,,Fine motor score,,Observation,Malawi Developmental Assessment Tool,,MDAT Finemotor score,,variable,"please add parent ""Malawi Developmental Assessment Tool"" under ""Observation""",,
,,,SHINE_ECD_Data_19 Jun 2020_RN::mdat_grossmotor,SHINE_ECD_Data_19 Jun 2020_RN,,Gross motor score ,,Observation,Malawi Developmental Assessment Tool,,MDAT Grossmotor score,,variable,"please add parent ""Malawi Developmental Assessment Tool"" under ""Observation""",,
,,,SHINE_ECD_Data_19 Jun 2020_RN::mdat_language,SHINE_ECD_Data_19 Jun 2020_RN,,Language score,,Observation,Malawi Developmental Assessment Tool,,MDAT Language score,,variable,"please add parent ""Malawi Developmental Assessment Tool"" under ""Observation""",,
