IRI	label	display label
http://purl.obolibrary.org/obo/HP_0001626	Abnormality of the cardiovascular system	
http://purl.obolibrary.org/obo/HP_0025031	Abnormality of the digestive system	
http://purl.obolibrary.org/obo/HP_0000478	Abnormality of the eye	Eye
http://purl.obolibrary.org/obo/HP_0000271	Abnormality of the face	
http://purl.obolibrary.org/obo/HP_0011024	Abnormality of the gastrointestinal tract	Gastrointestinal
http://purl.obolibrary.org/obo/HP_0000119	Abnormality of the genitourinary system	Genitourinary
http://purl.obolibrary.org/obo/HP_0002715	Abnormality of the immune system	
http://purl.obolibrary.org/obo/HP_0001574	Abnormality of the integument	Skin
http://purl.obolibrary.org/obo/HP_0100763	Abnormality of the lymphatic system	
http://purl.obolibrary.org/obo/HP_0000707	Abnormality of the nervous system	Neurological
http://purl.obolibrary.org/obo/HP_0002086	Abnormality of the respiratory system	Respiratory
http://purl.obolibrary.org/obo/HP_0000951	Abnormality of the skin	
http://purl.obolibrary.org/obo/HP_0001743	Abnormality of the spleen	
http://purl.obolibrary.org/obo/HP_0000079	Abnormality of the urinary system	
http://purl.obolibrary.org/obo/HP_0011277	Abnormality of the urinary system physiology	
http://purl.obolibrary.org/obo/HP_0002597	Abnormality of the vasculature	
http://purl.obolibrary.org/obo/HP_0003110	Abnormality of urine homeostasis	
http://purl.obolibrary.org/obo/NCIT_C106273	ABO Hemolytic Disease of the Newborn	
http://www.ebi.ac.uk/efo/EFO_1001491	abortion	Abortion type
http://purl.obolibrary.org/obo/PATO_0000462	absent	
http://purl.obolibrary.org/obo/NCBITaxon_1548034	Acartomyia zammitii	
http://purl.obolibrary.org/obo/DRON_00020467	Acetaminophen Oral Solution	Paracetamol syrup
http://purl.obolibrary.org/obo/GO_0003990	acetylcholinesterase activity	
http://purl.obolibrary.org/obo/PR_000050435	AChE1 G119S	
http://purl.obolibrary.org/obo/NCBITaxon_222	Achromobacter	
http://purl.obolibrary.org/obo/NCBITaxon_85698	Achromobacter xylosoxidans	
http://purl.obolibrary.org/obo/HP_0001941	Acidosis	
http://purl.obolibrary.org/obo/NCBITaxon_469	Acinetobacter	
http://purl.obolibrary.org/obo/NCBITaxon_470	Acinetobacter baumannii	
http://purl.obolibrary.org/obo/NCBITaxon_471	Acinetobacter calcoaceticus	
http://purl.obolibrary.org/obo/NCBITaxon_909768	Acinetobacter calcoaceticus/baumannii complex	
http://purl.obolibrary.org/obo/NCBITaxon_28090	Acinetobacter lwoffii	
http://purl.obolibrary.org/obo/DOID_635	acquired immunodeficiency syndrome	
http://purl.obolibrary.org/obo/DOID_0060158	acquired metabolic disease	
http://purl.obolibrary.org/obo/UO_0010025	acre	
http://purl.obolibrary.org/obo/UO_0010025	acre	
http://purl.obolibrary.org/obo/CHEBI_28619	acrylamide	
http://purl.obolibrary.org/obo/EUPATH_0043218	Actellic-300cs insecticide	
http://purl.obolibrary.org/obo/IAO_0000007	action specification	
http://purl.obolibrary.org/obo/GO_0043509	activin A complex	
http://purl.obolibrary.org/obo/DOID_13148	acute cystitis	
http://purl.obolibrary.org/obo/HP_0001919	Acute kidney injury	Acute kidney injury
http://purl.bioontology.org/ontology/SNOMEDCT/40541001	Acute pulmonary edema	Acute pulmonary edema
http://purl.obolibrary.org/obo/DRON_00031892	Acyclovir Oral Solution	Acyclovir syrup
http://purl.obolibrary.org/obo/OBI_1110022	adaptive immune receptor	
http://purl.obolibrary.org/obo/OBI_0000274	adding a material entity into a target	
http://purl.obolibrary.org/obo/OBI_0000434	adding material objective	
http://purl.obolibrary.org/obo/NCBITaxon_10508	Adenoviridae	
http://purl.obolibrary.org/obo/OBI_0600007	administering substance in vivo	
http://purl.obolibrary.org/obo/OBI_0000995	administration of material to specimen	
http://purl.obolibrary.org/obo/ENVO_00000004	administrative region	
http://purl.obolibrary.org/obo/OMRSE_00000201	admission process	
http://purl.obolibrary.org/obo/OBI_0002904	adult arthropod specimen collection process	
http://purl.obolibrary.org/obo/DOID_11394	adult respiratory distress syndrome	Acute respiratory distress syndrome
http://purl.obolibrary.org/obo/OAE_0000001	adverse event	Adverse events
http://purl.obolibrary.org/obo/NCBITaxon_139057	Aedeomyia	
http://purl.obolibrary.org/obo/NCBITaxon_1701320	Aedeomyia africana	
http://purl.obolibrary.org/obo/NCBITaxon_308708	Aedeomyia catasticta	
http://purl.obolibrary.org/obo/NCBITaxon_1799668	Aedeomyia furfurea	
http://purl.obolibrary.org/obo/NCBITaxon_1806173	Aedeomyia venustipes	
http://purl.obolibrary.org/obo/NCBITaxon_7158	Aedes <genus>	
http://purl.obolibrary.org/obo/NCBITaxon_149531	Aedes <subgenus>	
http://purl.obolibrary.org/obo/NCBITaxon_7159	Aedes aegypti	
http://purl.obolibrary.org/obo/NCBITaxon_1424507	Aedes aegypti aegypti	
http://purl.obolibrary.org/obo/NCBITaxon_1769044	Aedes aegypti formosus	
http://purl.obolibrary.org/obo/NCBITaxon_1806178	Aedes alboannulatus	
http://purl.obolibrary.org/obo/NCBITaxon_7160	Aedes albopictus	
http://purl.obolibrary.org/obo/NCBITaxon_569587	Aedes alternans	
http://purl.obolibrary.org/obo/EUPATH_0043071	Aedes atlanticus-tormentor morphological group	
http://purl.obolibrary.org/obo/NCBITaxon_28624	Aedes atropalpus	
http://purl.obolibrary.org/obo/NCBITaxon_188699	Aedes bahamensis	
http://purl.obolibrary.org/obo/NCBITaxon_120872	Aedes cinereus	
http://purl.obolibrary.org/obo/NCBITaxon_503354	Aedes cumminsii	
http://purl.obolibrary.org/obo/EUPATH_0043072	Aedes fijiensis	
http://purl.obolibrary.org/obo/NCBITaxon_2067448	Aedes fowleri	
http://purl.obolibrary.org/obo/NCBITaxon_308709	Aedes fumidus	
http://purl.obolibrary.org/obo/NCBITaxon_120874	Aedes geniculatus	
http://purl.obolibrary.org/obo/NCBITaxon_1799674	Aedes hirsutus	
http://purl.obolibrary.org/obo/EUPATH_0043073	Aedes hodgkini	
http://purl.obolibrary.org/obo/EUPATH_0043074	Aedes hokkaidensis	
http://purl.obolibrary.org/obo/EUPATH_0043075	Aedes idahoensis	
http://purl.obolibrary.org/obo/NCBITaxon_376794	Aedes iyengari	
http://purl.obolibrary.org/obo/NCBITaxon_140438	Aedes japonicus	
http://purl.obolibrary.org/obo/NCBITaxon_140439	Aedes japonicus japonicus	
http://purl.obolibrary.org/obo/EUPATH_0043076	Aedes juppi	
http://purl.obolibrary.org/obo/NCBITaxon_586676	Aedes koreicus	
http://purl.obolibrary.org/obo/NCBITaxon_2761511	Aedes ledgeri	
http://purl.obolibrary.org/obo/NCBITaxon_1806180	Aedes macmillani	
http://purl.obolibrary.org/obo/NCBITaxon_1806183	Aedes mallochi	
http://purl.obolibrary.org/obo/NCBITaxon_590165	Aedes mascarensis	
http://purl.obolibrary.org/obo/EUPATH_0043078	Aedes mathesoni	
http://purl.obolibrary.org/obo/EUPATH_0043079	Aedes mathesoni complex	
http://purl.obolibrary.org/obo/NCBITaxon_503348	Aedes mcintoshi	
http://purl.obolibrary.org/obo/NCBITaxon_686388	Aedes metallicus	
http://purl.obolibrary.org/obo/NCBITaxon_508665	Aedes notoscriptus	
http://purl.obolibrary.org/obo/NCBITaxon_450822	Aedes ochraceus	
http://purl.obolibrary.org/obo/NCBITaxon_188700	Aedes polynesiensis	
http://purl.obolibrary.org/obo/NCBITaxon_316597	Aedes pseudoscutellaris	
http://purl.obolibrary.org/obo/NCBITaxon_1806179	Aedes rubrithorax	
http://purl.obolibrary.org/obo/NCBITaxon_7161	Aedes simpsoni	
http://purl.obolibrary.org/obo/EUPATH_0043080	Aedes subdentatus	
http://purl.obolibrary.org/obo/NCBITaxon_2067460	Aedes sudanensis	
http://purl.obolibrary.org/obo/NCBITaxon_1806181	Aedes tremulus	
http://purl.obolibrary.org/obo/EUPATH_0043081	Aedes tricholabis	
http://purl.obolibrary.org/obo/NCBITaxon_7163	Aedes vexans	
http://purl.obolibrary.org/obo/EUPATH_0043082	Aedes vexans arabiensis	
http://purl.obolibrary.org/obo/NCBITaxon_1214271	Aedes vexans nipponii	
http://purl.obolibrary.org/obo/EUPATH_0043083	Aedes vexans sensu lato	
http://purl.obolibrary.org/obo/EUPATH_0043084	Aedes vexans vexans	
http://purl.obolibrary.org/obo/NCBITaxon_317808	Aedes vittatus	
http://purl.obolibrary.org/obo/NCBITaxon_69821	Aedes w-albus	
http://purl.obolibrary.org/obo/EUPATH_0043085	Aedes washinoi	
http://purl.obolibrary.org/obo/NCBITaxon_1806182	Aedes wattensis	
http://purl.obolibrary.org/obo/NCBITaxon_53540	Aedimorphus	
http://purl.obolibrary.org/obo/NCBITaxon_1056966	Aedini	
http://purl.obolibrary.org/obo/NCBITaxon_642	Aeromonas	
http://purl.obolibrary.org/obo/NCBITaxon_644	Aeromonas hydrophila	
http://purl.obolibrary.org/obo/ENVO_00010505	aerosol	
http://purl.obolibrary.org/obo/OBI_0000439	agarose gel	
http://purl.obolibrary.org/obo/PATO_0000011	age	
http://www.ebi.ac.uk/efo/EFO_0005056	age at death	
http://purl.obolibrary.org/obo/OBI_0001167	age measurement datum	
http://purl.obolibrary.org/obo/OBI_0003075	age since birth at time of enrollment	
http://purl.obolibrary.org/obo/OBI_0003076	age since birth at time of visit	
http://purl.obolibrary.org/obo/EUPATH_0000579	age since birth in days	
http://purl.obolibrary.org/obo/OBI_0001169	age since birth measurement datum	Age
http://purl.obolibrary.org/obo/EUPATH_0000305	aggregated clinical visit information	
http://purl.obolibrary.org/obo/EUPATH_0000312	aggregated entomological data item	
http://purl.obolibrary.org/obo/EUPATH_0000326	aggregated sporozoite testing information	
http://purl.obolibrary.org/obo/NCBITaxon_732	Aggregatibacter aphrophilus	
http://purl.obolibrary.org/obo/ENVO_0010003	agricultural environmental material	
http://purl.obolibrary.org/obo/EUPATH_0000018	air brick	Air bricks
http://purl.obolibrary.org/obo/PR_000050219	alanine aminotransferase	
http://purl.obolibrary.org/obo/NCBITaxon_88112	Alauda arvensis	
http://purl.obolibrary.org/obo/NCBITaxon_44544	albimanus section	
http://purl.obolibrary.org/obo/NCBITaxon_58234	albitarsis group	
http://purl.obolibrary.org/obo/NCBITaxon_58233	albitarsis series	
http://purl.obolibrary.org/obo/NCBITaxon_506	Alcaligenaceae	
http://purl.obolibrary.org/obo/EUPATH_0043002	alfalfa infusion	
http://purl.obolibrary.org/obo/IAO_0000064	algorithm	
http://purl.obolibrary.org/obo/PR_000023540	alkaline phosphatase	
http://purl.obolibrary.org/obo/CHEBI_53486	"all-cis-icosa-8,11,14-trienoic acid"	
http://purl.obolibrary.org/obo/OBI_0001352	allele information	
http://purl.obolibrary.org/obo/DOID_4481	allergic rhinitis	
http://purl.obolibrary.org/obo/HP_0001596	Alopecia	
http://purl.obolibrary.org/obo/EUPATH_0009258	alpha diversity taxonomic analysis	
http://purl.obolibrary.org/obo/EUPATH_0000034	alpha thalassemia genotype	Alpha-thalassemia genotype
http://purl.obolibrary.org/obo/PR_000014678	alpha-1-antitrypsin	
http://purl.obolibrary.org/obo/CHEBI_39331	alpha-cypermethrin	
http://purl.obolibrary.org/obo/CHEBI_27432	alpha-linolenic acid	
http://purl.obolibrary.org/obo/NCBITaxon_693996	Alphacoronavirus	
http://purl.obolibrary.org/obo/NCBITaxon_11019	Alphavirus	
http://purl.obolibrary.org/obo/OBI_0002983	altitude measurement datum	
http://purl.obolibrary.org/obo/NCBITaxon_33630	Alveolata	
http://purl.obolibrary.org/obo/DRON_00020757	Ambroxol Oral Solution	Ambrox drops
http://purl.obolibrary.org/obo/DOID_9181	amebiasis	
http://purl.obolibrary.org/obo/CHEBI_33708	amino-acid residue	
http://purl.obolibrary.org/obo/DRON_00026717	amlexanox Oral Paste	Amlexanox (Apsol gel)
http://purl.obolibrary.org/obo/NCBITaxon_32524	Amniota	
http://purl.obolibrary.org/obo/CHEBI_2674	amodiaquine	
http://purl.obolibrary.org/obo/PATO_0000070	amount	
http://purl.obolibrary.org/obo/CHEBI_2676	amoxicillin	
http://purl.obolibrary.org/obo/DRON_00030873	Amoxicillin / Clavulanate Oral Solution	Moxclav syrup
http://purl.obolibrary.org/obo/DRON_00000904	amoxicillin suspension	Amoxicillin syrup
http://purl.obolibrary.org/obo/CHEBI_2682	amphotericin B	
http://purl.obolibrary.org/obo/CHEBI_28971	ampicillin	
http://purl.obolibrary.org/obo/OBI_0002767	amplicon sequencing assay	
http://purl.obolibrary.org/obo/OBI_0000809	amplified DNA	
http://purl.obolibrary.org/obo/IAO_8000008	analysis subset ontology module	
http://purl.obolibrary.org/obo/OBI_0000443	analyte assay	
http://purl.obolibrary.org/obo/OBI_0000437	analyte measurement objective	
http://purl.obolibrary.org/obo/OBI_0000275	analyte role	
http://purl.obolibrary.org/obo/HP_0100845	Anaphylactic shock	
http://purl.obolibrary.org/obo/UBERON_0002553	anatomical cavity	
http://purl.obolibrary.org/obo/UBERON_0000477	anatomical cluster	
http://purl.obolibrary.org/obo/UBERON_0001062	anatomical entity	
http://purl.obolibrary.org/obo/UBERON_0000061	anatomical structure	
http://purl.obolibrary.org/obo/NCBITaxon_51022	Ancylostoma duodenale	
http://purl.obolibrary.org/obo/NCBITaxon_33278	Ancylostomatidae	
http://purl.obolibrary.org/obo/NCBITaxon_2572558	Ancylostomatoidea	
http://purl.obolibrary.org/obo/DOID_2355	anemia	Anemia
http://purl.obolibrary.org/obo/DOID_0060312	angular cheilitis	
http://purl.obolibrary.org/obo/CHEBI_55346	anidulafungin	
http://purl.obolibrary.org/obo/OBI_0400171	animal cage	
http://purl.obolibrary.org/obo/EUPATH_0000640	animal cage number for experiment	
http://purl.obolibrary.org/obo/EUPATH_0009265	animal taxon detected by sequence match	
http://purl.obolibrary.org/obo/ENVO_01001002	animal-associated environment	
http://purl.obolibrary.org/obo/OBI_0002905	animal-biting arthropod specimen collection by aspiration	
http://purl.obolibrary.org/obo/OBI_0002906	animal-biting outdoor arthropod specimen collection by aspiration	
http://purl.obolibrary.org/obo/NCBITaxon_28376	Anolis	
http://purl.obolibrary.org/obo/NCBITaxon_28377	Anolis carolinensis	
http://purl.obolibrary.org/obo/NCBITaxon_38937	Anolis sagrei	
http://purl.obolibrary.org/obo/NCBITaxon_7164	Anopheles <genus>	
http://purl.obolibrary.org/obo/NCBITaxon_44484	Anopheles <series>	
http://purl.obolibrary.org/obo/NCBITaxon_44482	Anopheles <subgenus>	
http://purl.obolibrary.org/obo/NCBITaxon_93947	Anopheles aconitus	
http://purl.obolibrary.org/obo/NCBITaxon_325439	Anopheles aitkenii	
http://purl.obolibrary.org/obo/NCBITaxon_7167	Anopheles albimanus	
http://purl.obolibrary.org/obo/NCBITaxon_58236	Anopheles albitarsis	
http://purl.obolibrary.org/obo/NCBITaxon_59163	Anopheles annularis	
http://purl.obolibrary.org/obo/NCBITaxon_59162	Anopheles annularis group	
http://purl.obolibrary.org/obo/NCBITaxon_376584	Anopheles annulipes	
http://purl.obolibrary.org/obo/NCBITaxon_42839	Anopheles aquasalis	
http://purl.obolibrary.org/obo/NCBITaxon_7173	Anopheles arabiensis	
http://purl.obolibrary.org/obo/NCBITaxon_1291063	Anopheles argyropus	
http://purl.obolibrary.org/obo/NCBITaxon_41427	Anopheles atroparvus	
http://purl.obolibrary.org/obo/NCBITaxon_190376	Anopheles atropos	
http://purl.obolibrary.org/obo/NCBITaxon_48725	Anopheles baimaii	
http://purl.obolibrary.org/obo/NCBITaxon_59124	Anopheles balabacensis	
http://purl.obolibrary.org/obo/NCBITaxon_59136	Anopheles bancroftii	
http://purl.obolibrary.org/obo/EUPATH_0043086	Anopheles barberi	
http://purl.obolibrary.org/obo/NCBITaxon_1962411	Anopheles barbirostris sensu lato 245	
http://purl.obolibrary.org/obo/NCBITaxon_576157	Anopheles barbirostris subgroup clade III	
http://purl.obolibrary.org/obo/NCBITaxon_49917	Anopheles bradleyi	
http://purl.obolibrary.org/obo/NCBITaxon_58242	Anopheles braziliensis	
http://purl.obolibrary.org/obo/NCBITaxon_453036	Anopheles campestris	
http://purl.obolibrary.org/obo/NCBITaxon_120868	Anopheles claviger	
http://purl.obolibrary.org/obo/NCBITaxon_1518534	Anopheles coluzzii	
http://purl.obolibrary.org/obo/NCBITaxon_2081834	Anopheles coluzzii x Anopheles gambiae	
http://purl.obolibrary.org/obo/NCBITaxon_139045	Anopheles coustani	
http://purl.obolibrary.org/obo/NCBITaxon_138537	Anopheles crawfordi	
http://purl.obolibrary.org/obo/NCBITaxon_869064	Anopheles crucians	
http://purl.obolibrary.org/obo/NCBITaxon_63366	Anopheles culicifacies A	
http://purl.obolibrary.org/obo/EUPATH_0043087	Anopheles culicifacies AD subgroup	
http://purl.obolibrary.org/obo/NCBITaxon_216372	Anopheles culicifacies D	
http://purl.obolibrary.org/obo/NCBITaxon_43151	Anopheles darlingi	
http://purl.obolibrary.org/obo/NCBITaxon_58243	Anopheles deaneorum	
http://purl.obolibrary.org/obo/NCBITaxon_1521113	Anopheles demeilloni	
http://purl.obolibrary.org/obo/NCBITaxon_7168	Anopheles dirus	
http://purl.obolibrary.org/obo/NCBITaxon_1513311	Anopheles dissidens	
http://purl.obolibrary.org/obo/EUPATH_0043088	Anopheles distinctus	
http://purl.obolibrary.org/obo/NCBITaxon_138536	Anopheles dravidicus	
http://purl.obolibrary.org/obo/NCBITaxon_262009	Anopheles dthali	
http://purl.obolibrary.org/obo/NCBITaxon_49918	Anopheles earlei	
http://purl.obolibrary.org/obo/NCBITaxon_199890	Anopheles epiroticus	
http://purl.obolibrary.org/obo/NCBITaxon_69004	Anopheles farauti	
http://purl.obolibrary.org/obo/NCBITaxon_59191	Anopheles farauti No. 4	
http://purl.obolibrary.org/obo/EUPATH_0043089	Anopheles flavicosta	
http://purl.obolibrary.org/obo/NCBITaxon_59147	Anopheles flavirostris	
http://purl.obolibrary.org/obo/NCBITaxon_111615	Anopheles fluviatilis	
http://purl.obolibrary.org/obo/NCBITaxon_112265	Anopheles fluviatilis S	
http://purl.obolibrary.org/obo/NCBITaxon_112266	Anopheles fluviatilis T	
http://purl.obolibrary.org/obo/NCBITaxon_2785382	Anopheles franciscanus	
http://purl.obolibrary.org/obo/NCBITaxon_7170	Anopheles freeborni	
http://purl.obolibrary.org/obo/NCBITaxon_62324	Anopheles funestus	
http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus related information	Anopheles funestus results
http://purl.obolibrary.org/obo/NCBITaxon_7165	Anopheles gambiae	
http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sensu lato related information	Anopheles gambiae sensu lato results
http://purl.obolibrary.org/obo/EUPATH_0043091	Anopheles georgianus	
http://purl.obolibrary.org/obo/NCBITaxon_1521115	Anopheles hancocki	
http://purl.obolibrary.org/obo/NCBITaxon_7171	Anopheles hermsi	
http://purl.obolibrary.org/obo/NCBITaxon_59189	Anopheles hinesorum	
http://purl.obolibrary.org/obo/NCBITaxon_138534	Anopheles hyrcanus	
http://purl.obolibrary.org/obo/NCBITaxon_190374	Anopheles incertae sedis	
http://purl.obolibrary.org/obo/NCBITaxon_320069	Anopheles indefinitus	
http://purl.obolibrary.org/obo/NCBITaxon_308710	Anopheles jamesii	
http://purl.obolibrary.org/obo/NCBITaxon_107326	Anopheles jeyporiensis	
http://purl.obolibrary.org/obo/NCBITaxon_59148	Anopheles karwari	
http://purl.obolibrary.org/obo/NCBITaxon_59150	Anopheles kochi	
http://purl.obolibrary.org/obo/NCBITaxon_30065	Anopheles koliensis	
http://purl.obolibrary.org/obo/NCBITaxon_43180	Anopheles konderi	
http://purl.obolibrary.org/obo/NCBITaxon_41428	Anopheles labranchiae	
http://purl.obolibrary.org/obo/NCBITaxon_162636	Anopheles leesoni	
http://purl.obolibrary.org/obo/NCBITaxon_109668	Anopheles lesteri	
http://purl.obolibrary.org/obo/NCBITaxon_409345	Anopheles leucosphyrus	
http://purl.obolibrary.org/obo/EUPATH_0043092	Anopheles listeri	
http://purl.obolibrary.org/obo/NCBITaxon_412009	Anopheles longipalpis	
http://purl.obolibrary.org/obo/NCBITaxon_59152	Anopheles longirostris	
http://purl.obolibrary.org/obo/NCBITaxon_74869	Anopheles maculatus	
http://purl.obolibrary.org/obo/NCBITaxon_74868	Anopheles maculatus group	
http://purl.obolibrary.org/obo/NCBITaxon_1962408	Anopheles maculatus sensu lato 4821	
http://purl.obolibrary.org/obo/NCBITaxon_1496333	Anopheles maculipalpis	
http://purl.obolibrary.org/obo/NCBITaxon_41429	Anopheles maculipennis	
http://purl.obolibrary.org/obo/NCBITaxon_1578836	Anopheles maculipennis sensu lato BTLHVDV-2014	
http://purl.obolibrary.org/obo/NCBITaxon_58244	Anopheles marajoara	
http://purl.obolibrary.org/obo/NCBITaxon_1521116	Anopheles marshallii	
http://purl.obolibrary.org/obo/NCBITaxon_2259328	Anopheles mascarensis	
http://purl.obolibrary.org/obo/NCBITaxon_139049	Anopheles mattogrossensis	
http://purl.obolibrary.org/obo/NCBITaxon_34690	Anopheles melas	
http://purl.obolibrary.org/obo/NCBITaxon_30066	Anopheles merus	
http://purl.obolibrary.org/obo/NCBITaxon_41430	Anopheles messeae	
http://purl.obolibrary.org/obo/NCBITaxon_2066577	Anopheles messeae x Anopheles daciae	
http://purl.obolibrary.org/obo/NCBITaxon_112268	Anopheles minimus	
http://purl.obolibrary.org/obo/NCBITaxon_1962409	Anopheles minimus sensu lato 1775	
http://purl.obolibrary.org/obo/NCBITaxon_186751	Anopheles moucheti	
http://purl.obolibrary.org/obo/EUPATH_0043093	Anopheles natalensis	
http://purl.obolibrary.org/obo/NCBITaxon_1199414	Anopheles neomaculipalpus	
http://purl.obolibrary.org/obo/NCBITaxon_209202	Anopheles nigerrimus	
http://purl.obolibrary.org/obo/NCBITaxon_185578	Anopheles nili	
http://purl.obolibrary.org/obo/NCBITaxon_1284620	Anopheles nitidus	
http://purl.obolibrary.org/obo/NCBITaxon_301835	Anopheles notanandai	
http://purl.obolibrary.org/obo/NCBITaxon_30067	Anopheles nuneztovari	
http://purl.obolibrary.org/obo/NCBITaxon_308711	Anopheles pallidus	
http://purl.obolibrary.org/obo/NCBITaxon_123673	Anopheles pampanai	
http://purl.obolibrary.org/obo/NCBITaxon_162637	Anopheles parensis	
http://purl.obolibrary.org/obo/NCBITaxon_206113	Anopheles peditaeniatus	
http://purl.obolibrary.org/obo/EUPATH_0043094	Anopheles perplexens	
http://purl.obolibrary.org/obo/NCBITaxon_184770	Anopheles peryassui	
http://purl.obolibrary.org/obo/NCBITaxon_221566	Anopheles pharoensis	
http://purl.obolibrary.org/obo/NCBITaxon_319534	Anopheles philippinensis	
http://purl.obolibrary.org/obo/NCBITaxon_227531	Anopheles plumbeus	
http://purl.obolibrary.org/obo/NCBITaxon_1141471	Anopheles pretoriensis	
http://purl.obolibrary.org/obo/NCBITaxon_516961	Anopheles pseudojamesi	
http://purl.obolibrary.org/obo/NCBITaxon_46955	Anopheles pseudopunctipennis	
http://purl.obolibrary.org/obo/NCBITaxon_138531	Anopheles pseudowillmori	
http://purl.obolibrary.org/obo/NCBITaxon_159154	Anopheles pulcherrimus	
http://purl.obolibrary.org/obo/NCBITaxon_251639	Anopheles pullus	
http://purl.obolibrary.org/obo/NCBITaxon_190378	Anopheles punctimacula	
http://purl.obolibrary.org/obo/NCBITaxon_102899	Anopheles punctipennis	
http://purl.obolibrary.org/obo/NCBITaxon_30068	Anopheles punctulatus	
http://purl.obolibrary.org/obo/NCBITaxon_34691	Anopheles quadriannulatus	
http://purl.obolibrary.org/obo/NCBITaxon_7166	Anopheles quadrimaculatus	
http://purl.obolibrary.org/obo/NCBITaxon_383384	Anopheles rampae	
http://purl.obolibrary.org/obo/NCBITaxon_70327	Anopheles rivulorum	
http://purl.obolibrary.org/obo/NCBITaxon_1141472	Anopheles rufipes	
http://purl.obolibrary.org/obo/NCBITaxon_72408	Anopheles sacharovi	
