Variable,Original_var_name,From_data_dict,Variable descriptions,ValueFormat
x15,ra_num,1,Research Assistant Number,
x16,data_verification_form_complete,0,Complete?,
x17,follow_up_date,1,Follow-up Date/Date Follow-up Questionnaire completed,
x18,follow_up_q1a,1,a. Did the client return to the PrEP service delivery point as schedule for his/her follow-up appointment with the provider?,
x19,follow_up_q1b,1,b. Timing of follow-up visit,"1, 3 month (approximate) | 2, 6 month (approximate) | 3, 12 month (approximate) | 77, Other"
x20,other_timing,1,Other,
x21,follow_up_q1d,1,d. Where was the Follow-up Survey administered?,"1, At the service delivery point after the client failed to follow-up but was contacted and persuaded to return for the Follow-up Survey | 2, Over the telephone | 3, At the participant's home | 77, At another location requested by the participants"
x22,other_location,1,Other specify,
x23,demographics_form_complete,0,Complete?,
x24,age,1,1. What is your age at Last Birthday?,
x25,sex,1,2. What is your sex at birth (Biological) ?,"1, Male | 2, Female | 77, Other | 98, Don't Know | 99, Refused to answer"
x26,other_sex,1,"Other Sex, Specify",
x27,gender,1,3. How do you currently define your gender?,"1, Male | 2, Female | 3, Transgender Male | 4, Transgender Female | 5, Intersex | 77, Other | 98, Don't Know | 99, Refused to answer"
x28,gender_other,1,"Other Gender, Specify",
x29,persons_household,0,"4. How many people live in your household? By household, I mean the number of people who eat from the same pot.  ",
x30,education_level,1,5. What is the highest level of education that you completed?,"1, Primary | 2, Secondary | 3, Tertiary | 4, Didn't take | 98, Don't know | 99, Refused to answer"
x31,employ_status,1,6. I would like to ask you about your employment status.  Are you now PRIMARILY,"1, Regularly Employed full-time | 2, Regularly Employed Part-time | 3, Seasonally Employed | 4, Self Employed | 5, Unemployed/ Looking for Work | 6, A Student | 99, Refused to answer"
x32,gross_income,1,7. Approximately what is your gross monthly income?,
x33,marriage_status,1,8. Are you currently married or living together with a man/woman as married,"0, No | 1, Yes, Currently Married | 2, Yes, Living with a man/ woman | 99, Refused to Answer"
x34,partner_status,1,8a. What is the HIV status of your husband/wife or partner (the person to whom you are married or living with as married)?,"1, HIV negative | 2, HIV positive | 3, Unknown HIV status | 99, Refused to Answer"
x35,art_treatment,1,8b. Is your husband/wife or partner who is HIV-positive on treatment or ART for his/her HIV infection,"0, No | 1, Yes, s/he consistently takes ART | 2, Yes, s/he takes ART but inconsistently | 3, Yes, but consistency of ART use is unknown | 4, Unknown | 99, Refused to answer"
x36,viral_suppression,1,8c. Is your husband/wife or partner virally suppressed?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x37,partner_reside,1,9. Is your husband/wife or partner living with you now or is he/she staying elsewhere?,"1, Living with Me | 2, Living Elsewhere | 99, Refused to Answer"
x38,children,1,10. Do you have children (either biological or adopted)?,"0, No | 1, Yes | 99, Refused to Answer"
x39,no_children,1,11. How many children do you have?,
x40,dependent_children,1,12. How many of these children depend upon you financially?,
x41,pregnant,1,13. Are you currently pregnant?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x42,current_contra_none,0,"14. What forms of contraception do you currently use, if any? (choice=None)",
x43,current_contra_pills,0,"14. What forms of contraception do you currently use, if any? (choice=Pills)",
x44,current_contra_inj,0,"14. What forms of contraception do you currently use, if any? (choice=Injectibles)",
x45,current_contra_condoms,0,"14. What forms of contraception do you currently use, if any? (choice=Condoms)",
x46,current_contra_ec,0,"14. What forms of contraception do you currently use, if any? (choice=Emergency Contraception)",
x47,current_contra_imp,0,"14. What forms of contraception do you currently use, if any? (choice=Implants)",
x48,current_contra_iud,0,"14. What forms of contraception do you currently use, if any? (choice=Intra-uterine Devices)",
x49,current_contra_natural,0,"14. What forms of contraception do you currently use, if any? (choice=Natural birth Control)",
x50,current_contra_other,0,"14. What forms of contraception do you currently use, if any? (choice=Other)",
x51,current_contra_dk,0,"14. What forms of contraception do you currently use, if any? (choice=Dont know)",
x52,current_contra_refused,0,"14. What forms of contraception do you currently use, if any? (choice=Refused to answer)",
x53,contraception_other,1,"Other Contracepive, Specify",
x54,away_home_week,1,"15. In the last 6 months, have you been away from your home for more than one week at a time?","0, No | 1, Yes | 99, Refused to Answer"
x55,time_away_home_6_mths,1,15a. What is the longest period you were away from home in the last 6 months?,
x56,facility_info_form_complete,0,Complete?,
x57,main_info_source,1,16. What was the MAIN source of information about oral PrEP that you saw or heard that resulted in you presenting today?,"1, Media sources (such as radio, TV, billboards, internet, SMS, etc.) | 2, Health personnel sources (such as doctors, nurses, pharmacists, community health workers, etc.) | 3, Community sources (such as community outreach events, peer educators, school, church/faith based groups/mosques, etc.) | 4, Interpersonal sources (such as parents, partners, siblings, friends, etc.) | 5, I had not heard about oral PrEP prior to today | 99, Refused to answer"
x58,offered_prep,1,"17. Prior to today, have you ever been offered oral PrEP before?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x59,when_offered_prep,1,18. When were you previously offered PrEP?,
x60,agree_take_prep,1,"19. When previously offered PrEP, did you agree to take it?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x61,when_start_prep,1,20. When did you start taking PrEP (date)?,
x62,when_stop_prep,1,21. Did you stop taking PrEP?,"1, Still on PrEP | 2, Stopped taking PrEP"
x63,when_stop_prep_2,1,21a. When did you stop taking PrEP (date)?,
x64,why_stop_prep,1,"22. After your prior use of PrEP, what was the MAIN reason you stopped taking PrEP?","1, Side effects from medicines | 2, No longer at risk/no longer needed PrEP | 3, Inconvenient follow-up schedule | 4, Unable to satisfactorily adhere to the daily use of PrEP | 5, My partner or family member(s) found out about my PrEP use and wanted me to stop taking it | 77, Other | 99, Refused to answer"
x65,other_why_stop_prep,1,Other (specify),
x66,agree_prep,1,"23. Based upon your offer of PrEP today, did you agree to start/ continue taking it?","0, No | 1, Yes"
x67,prev_hiv,1,Does PrEP Prevent HIV Infection,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x68,prev_sti,1,Does PrEP Prevents STI's,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x69,prev_pregnancy,1,Does PrEP Prevents Pregnancy,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x70,how_prep_benefit,1,25. In what ways do you think you'll benefit from PrEP?,"1, It will reduce my risk of becoming infected with HIV | 2, I don't know; the provider recommended it and I accepted | 77, Other | 99, Refused to answer"
x71,other_benefit,1,"Other Benefit, Specify",
x72,why_prep_today,1,26. What was the MAIN reason you agreed to the offer of PrEP today?,"1, A sex partner got HIV | 2, A sex partner was/is sick or died | 3, Have had sexual partners whose HIV status I do not know | 4, I haven't/don't always used protection/condoms | 5, I always use condoms but sometimes the condoms break | 6, The provider recommended it for me | 77, Other | 98, Don't Know | 99, Refused to Answer"
x73,why_prep_today_other,1,"Other, Specify",
x74,change_sex_prep,1,"27. Once you start taking PrEP, do you think that you will change your sexual behaviors?","0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x75,change_sex_prep_greater,0,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Greater number of sexual partners)",
x76,change_sex_prep_fewer,0,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Fewer number of sexual partners)",
x77,change_sex_prep_freq,0,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Greater frequency of condom use than before PrEP)",
x78,change_sex_prep_condom,0,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Less condom use than before PrEP)",
x79,change_sex_prep_other,0,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Other)",
x80,change_sex_prep_dk,0,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Dont know)",
x81,change_sex_prep_refused,0,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Refused to answer)",
x82,why_prep_today_other,1,"Other, Specify",
x83,prep_no_condom,1,29. Do you believe that if you are taking PrEP that you no longer need to use a condom?,"0, No | 1, Yes | 3, Don't Know | 99, Refused to Answer"
x84,decline_risk,0,30. Why did you decline the offer of PrEP today? (choice=Do not believe I am at risk of HIV),
x85,decline_decrease,0,30. Why did you decline the offer of PrEP today? (choice=Do not believe PrEP will decrease my risk of HIV),
x86,decline_adhere,0,30. Why did you decline the offer of PrEP today? (choice=Do not believe that I can adhere to a daily medication),
x87,decline_return,0,30. Why did you decline the offer of PrEP today? (choice=Will not be able to return for follow-up appointments as recommended),
x88,decline_test,0,30. Why did you decline the offer of PrEP today? (choice=Do not want to test for HIV as frequently as required),
x89,decline_family,0,30. Why did you decline the offer of PrEP today? (choice=My partner/family/friends would not be supportive of me taking PrEP),
x90,decline_other,0,30. Why did you decline the offer of PrEP today? (choice=Other),
x91,decline_refused,0,30. Why did you decline the offer of PrEP today? (choice=Refused to answer),
x92,why_prep_today_other,1,"Other, Specify",
x93,prev_hiv1,1,Prevents HIV Infection,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x94,prev_sti1,1,Prevents STI's,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x95,prev_pregnancy1,1,Prevents Pregnancy,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x96,prep_future,1,32. Do you think that you might reconsider the offer of PrEP at some future date?,"1, Definitely yes | 2, Possibly yes | 3, Probably not | 4, Definitely not | 98, Do not Know | 99, Refused to answer"
x97,follow_up_info_complete,0,Complete?,
x98,time_since_baseline,1,1. How long has it been since you completed the Baseline Survey (in months)?,"1, 3 month (approximate) | 2, 6 month (approximate) | 3, 12 month (approximate) | 77, Other time frame | 98, Don't know | 99, Refused to answer"
x99,other_timing,1,Other,
x100,take_oral_prep,1,2. How many days after you were given your oral PrEP tablets did you START taking them?,"1, Same day as it was given to me | 2, Days after it was given to me | 3, I never started taking the PrEP?"
x101,num_of_days_after_prep,1,Number of days after PrEP was given,
x102,continue_prep,1,3. Are you continuing to take PrEP now?,"1, Yes | 0, No | 99, Refused to answer"
x103,ever_stop_prep,1,"3a. After starting PrEP, did you ever stop taking it for more than 7 days in a row?","1, Yes | 0, No | 99, Refused to answer"
x104,first_stop_prep,1,4. On what date did you first stop taking PrEP (for more than 7 day) after starting it?,
x105,did_with_extra_tablets,1,"5. When you stopped taking PrEP, what did you do with any extra tablets that were remaining?","1, I kept them | 2, I gave them away | 3, I sold them | 4, I returned them to my PrEP health care provider | 5, I threw them away | 77, Other"
x106,other_location,1,Other specify,
x107,begin_prep_again,1,"6. After you stopped taking PrEP, did you begin taking it again at any point?","1, Yes | 0, No | 99, Refused to answer"
x108,stop_prep_days,1,Days,
x109,stop_prep_weeks_2,1,Weeks,
x110,stop_prep_months,1,Months,
x111,stop_reason_sideeffects,0,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Side effects from medicines)",
x112,stop_reason_norisk,0,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=No longer at risk/no longer needed PrEP)",
x113,stop_reason_inconvenient,0,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Inconvenient follow-up schedule)",
x114,stop_reason_adhere,0,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Unable to satisfactorily adhere to the daily use of PrEP so I decided to stop)",
x115,stop_reason_partner,0,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=My partner or family member(s) found out about my PrEP use and wanted me to stop taking it)",
x116,stop_reason_provider,0,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=My provider advised me to stop)",
x117,stop_reason_other,0,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Other)",
x118,stop_reason_refused,0,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Refused to answer)",
x119,provider_reason,1,Reason provider gave to stop PrEP,
x120,other_location,1,Other specify,
x121,main_reason_for_stop,1,"9. Whenever you stopped taking PrEP, what was the MAIN reason you stopped taking it (or never started taking PrEP at all)?","1, Side effects from medicines | 2, No longer at risk/no longer needed PrEP | 3, Inconvenient follow-up schedule | 4, Unable to satisfactorily adhere to the daily use of PrEP so I decided to stop | 5, My partner or family member(s) found out about my PrEP use and wanted me to stop taking it | 6, My provider advised me to stop | 77, Other | 99, Refused to answer"
x122,main_reason_provider_stop,0,Main reason that provider gave to stop PrEP,
x123,other_location,1,Other specify,
x124,reconsider_prep,1,10. Do you think that you might reconsider your decision to stop and begin taking PrEP again at some point in the future?,"1, Definitely yes | 2, Possibly yes | 3, Probably not | 4, Definitely not | 98, Don't know | 99, Refused to answer"
x125,lead_to_start_prep,1,11. What would most lead you to start taking PrEP again in the future?,"1, If I were to be at risk of HIV again | 2, If I were to have the support of my partner, friends, or family | 3, If I were better able to take the medicine daily as recommended | 4, If I were better able to return to the clinic as often as it is required | 77, Other"
x126,other_location,1,Other specify,
x127,why_not_reconsider_prep,1,12. Are there specific reasons why you would not re-consider taking PrEP again?,
x128,average_take_of_pills,1,"13. On average over the past 1 month, how many days per week did you take the oral PrEP pill?","1, All 7 days per week | 2, 6 days per week | 3, 5 days per week | 4, 4 days per week | 5, 3 days per week | 6, 2 days per week | 7, 1 day per week | 8, 0 days (did not take PrEP at all most week over the past month)"
x129,challenge_forgot,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I forgot to take),
x130,prep_daily_challenges_forgot,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I had traveled and didnt take it with me),
x131,prep_daily_challenges_travel,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I experienced side effects),
x132,prep_daily_challenges_hide,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I had to hide and it was sometimes impossible),
x133,prep_daily_challenges_need,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I did not engage in sex regularly and didnt find a need to take every day),
x134,prep_daily_challenges_school,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I went to school),
x135,prep_daily_challenges_size,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=The size of the pill was discouraging),
x136,prep_daily_challenges_ranout,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I ran out of the pills),
x137,prep_daily_challenges_other,0,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=Others),
x138,other_location,1,Other specify,
x139,prep_main_challenge,1,15. What was the MAIN challenge that you experienced to taking PrEP daily as recommended?,"1, I forgot to take | 2, I had traveled and didn't take it with me | 3, I experienced side effects | 4, I had to hide and it was sometimes impossible | 5, I did not engage in sex regularly and didn't find a need to take every day | 6, I went to school | 7, The size of the pill was discouraging | 8, I ran out of the pills | 77, Others"
x140,other_location,1,Other specify,
x141,prep_benefit,1,16. In what ways do you think you are benefiting from taking oral PrEP?,"1, It is reducing my risk of becoming infected with HIV | 2, I don't know; the provider recommended it and I accepted | 77, Other"
x142,other_location,1,Other specify,
x143,change_behaviour,1,"17. Since starting to take oral PrEP, do you feel that you have changed your sexual behaviors?","1, Yes | 0, No | 98, Don't know | 99, Refused to answer"
x144,ways_changed_behaviour_greater,0,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Greater number of sexual partners),
x145,ways_changed_behaviour_fewer,0,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Fewer number of sexual partners),
x146,ways_changed_behaviour_condom_more,0,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Use a condom more often during sex than before PrEP),
x147,ways_changed_behaviour_condom_less,0,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Use a condom less often during sex than before PrEP),
x148,ways_changed_behaviour_other,0,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Other),
x149,other_location,1,Other specify,
x150,perception_form_complete,0,Complete?,
x151,extent_vulnerable,1,33. To what extent do you feel vulnerable to/at risk for HIV infection from any source?,"1, At high risk of HIV | 2, At medium risk of HIV | 3, At low risk of HIV | 4, At no risk of HIV | 77, Other | 98, Don't Know | 99, Refused to answer"
x152,why_prep_today_other,1,"Other, Specify",
x153,risk_medium_HIV,0,34. Why do you say that your risk of HIV is high or medium?  (choice=A sex partner got HIV),
x154,risk_medium_sick,0,34. Why do you say that your risk of HIV is high or medium?  (choice=A sex partner was/is sick or died),
x155,risk_medium_status,0,34. Why do you say that your risk of HIV is high or medium?  (choice=Have had sexual partners whose HIV status I do not know),
x156,risk_medium_protection,0,34. Why do you say that your risk of HIV is high or medium?  (choice=I havent always used protection/condoms),
x157,risk_medium_breakage,0,34. Why do you say that your risk of HIV is high or medium?  (choice=I have experienced breakage of condoms),
x158,risk_medium_other,0,34. Why do you say that your risk of HIV is high or medium?  (choice=Other),
x159,risk_medium_dk,0,34. Why do you say that your risk of HIV is high or medium?  (choice=Dont Know),
x160,risk_medium_refused,0,34. Why do you say that your risk of HIV is high or medium?  (choice=Refused to answer),
x161,why_prep_today_other,1,"Other, Specify",
x162,risk_low_never,0,35. Why do you say you are at low or no risk of HIV?  (choice=Never had sex),
x163,risk_low_healthy,0,35. Why do you say you are at low or no risk of HIV?  (choice=Have been healthy),
x164,risk_low_partner,0,35. Why do you say you are at low or no risk of HIV?  (choice=Sex partner(s) has/have no HIV),
x165,risk_low_known,0,35. Why do you say you are at low or no risk of HIV?  (choice=Have known all sex partner(s) HIV status),
x166,risk_low_partners_healthy,0,35. Why do you say you are at low or no risk of HIV?  (choice=Sex partners were/are healthy),
x167,risk_low_condoms,0,35. Why do you say you are at low or no risk of HIV?  (choice=I consistently use condoms),
x168,risk_low_other,0,35. Why do you say you are at low or no risk of HIV?  (choice=Other),
x169,risk_low_dk,0,35. Why do you say you are at low or no risk of HIV?  (choice=Dont Know),
x170,risk_low_refused,0,35. Why do you say you are at low or no risk of HIV?  (choice=Refused to answer),
x171,why_prep_today_other,1,"Other, Specify",
x172,risk_form_complete,0,Complete?,
x173,initiate_sex,1,36. Who initiated your first sexual intercourse encounter?,"1, Yourself | 2, A friend/partner | 3, Family member | 4, Stranger | 77, Other | 99, Refused to answer"
x174,why_prep_today_other,1,"Other, Specify",
x175,sex_6_months,1,37. Have you had sexual intercourse with a girl or a woman in the last 6 months,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x176,age_first_sex,1,38. How old were you the first time you had sex with a girl or a women?,
x177,partner_age_1_sex,1,"39. How old was this girl or woman (with whom you first had sex)? If you do not know exactly, it is fine to estimate/guess.",
x178,sex_man_6_months,1,40. Have you had sexual intercourse with a boy or a man in the last 6 months,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x179,age_at_first_sex,1,41. How old were you the first time you had sex with a boy or a man?,
x180,age_man_1_sex,1,"42. How old was this boy or man (with whom you first had sex)? If you do not know exactly, it is fine to estimate/guess.",
x181,pax_sex_1month,1,"43. In total, how many different people have you had sexual intercourse with in the last 1 month?  It is ok to estimate the number if you do not remember exactly.",
x182,condom_use,1,"44. With this/these sexual partners that you had in the last 1 month, how often did you use a condom during sexual intercourse for the entire time?  If you started using a condom but the condom broke, indicate 'Sometimes' as you answer.","1, Always | 2, Sometimes | 3, Never | 98, Don't Know | 99, Refused to Answer"
x183,alcohol_infliuence,1,"45. With this/these sexual partners that you had in the last 1 month, how often did you engage in sexual intercourse with them while you were under the influence of alcohol or other drugs/substances?","1, Always | 2, Sometimes | 3, Never | 98, Don't Know | 99, Refused to Answer"
x184,know_partner_status,1,46. Did you know the HIV status of the sexual partners (from the last 1 month)?  I knew the HIV status of...,"1, All of them | 2, Some of them | 3, None of them | 98, Don't Know | 99, Refused to Answer"
x185,partners_positive,1,47. How many of these sexual partners (from the last 1 month) did you know were HIV positive?,"1, All of them (Were HIV Positive) | 2, Some of them (were HIV Positive) | 3, None of them (were HIV Positive) | 98, Don't Know ( I don't know wether any were HIV positive) | 99, Refused to Answer"
x186,had_a_partner,1,48a. Have you had a recent partner?,
x187,part1_name,1,"48. Nickname, marker, or first name",
x188,part1_period_start,1,49. Month/year sexual encounter(s)/relationship with [part1_name]  began,
x189,part1_period_end,1,50. Month/year sexual encounter(s)/relationship with [part1_name] ended,
x190,part1_sex,1,51. [part1_name]'s sex,"1, Male | 2, Female | 3, Transgender Male | 4, Transgender Female | 98, Don't Know | 99, Refused to answer"
x191,part1_age,1,"52. About how old was [part1_name] the first time you had sex with [part1_name] ? (in years).  If you do not know for certain, it is fine to estimate.",
x192,part1_type,1,"53. Keeping these definitions in mind, is [part1_name] your husband/wife (a spouse), a regular partner, or a casual partner?","1, Husband/wife (spouse) | 2, Regular partner | 3, Casual partner | 99, Refused to answer"
x193,part1_days_last_sex,1,54. On approximately how many days did you have sex with [part1_name] in the last 6 months?,"1, 1 | 2, Between 2-5 | 3, Between 6-10 | 4, More than 10 | 99, Refused to answer"
x194,part1_freq_gifts,1,55. How often did you give or receive money or gifts so that you would have sex with [part1_name] ?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x195,part1_vaginal_sex,1,56. Did you and [part1_name] have vaginal sex in the last 6 months?,"0, No | 1, Yes | 99, Refused to answer"
x196,part1_condom_use_vg,1,57. How often did you and [part1_name] use a condom when you had vaginal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x197,part1anal_sex,1,58. Did you and [part1_name] have anal sex in the last 6 months?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x198,part1_condom_use_anal,1,59. How often did you and [part1_name] use a condom when you had anal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x199,part1_positive,1,"60. When you were having a sexual relationship with [part1_name], do you think that he/she was HIV positive?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x200,part1_on_arv,1,61. Do you think that [part1_name] was taking antiretroviral (ARV) drugs to treat their HIV/AIDS?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x201,part1_sex_influence,1,62. How often during sexual intercourse with [part1_name] were you having sex while under the influence of alcohol or other drugs?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x202,partner_2,1,63a. Is there a 2nd recent partner?,
x203,part2_name,1,"63. Nickname, marker, or first name",
x204,part2_period_start,1,64. Month/year sexual encounter(s)/relationship began with [part2_name],
x205,part2_period_end,1,65. Month/year sexual encounter(s)/relationship ended with [part2_name],
x206,part2_sex,1,66. [part2_name]'s sex,"1, Male | 2, Female | 3, Transgender Male | 4, Transgender Female | 5, Intersex | 77, Other | 98, Don't Know | 99, Refused to answer"
x207,why_prep_today_other,1,"Other, Specify",
x208,part2_age,1,67. About how old was [part2_name] the first time you had sex with [part2_name]? (in years),
x209,part2_type,1,"68. Keeping these definitions in mind, is [part2_name] your husband/wife (a spouse), a regular partner, or a casual partner?","1, Husband/wife (spouse) | 2, Regular partner | 3, Casual partner | 99, Refused to answer"
x210,part2_days_last_sex,1,69. On approximately how many days did you have sex with [part2_name] in the last 6 months?,"1, 1 | 2, Between 2-5 | 3, Between 6-10 | 4, More than 10 | 99, Refused to answer"
x211,part2_freq_gifts,1,70. How often did you give or receive money or gifts so that you would have sex with  [part2_name]?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x212,part2_vaginal_sex,1,71. Did you and [part2_name] have vaginal sex in the last 6 months?,"0, No | 1, Yes | 99, Refused to answer"
x213,part2_condom_use_vg,1,72. How often did you and [part2_name] use a condom when you had vaginal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x214,part2anal_sex,1,73. Did you and [part2_name] have anal sex in the last 6 months?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x215,part2_condom_use_anal,1,74. How often did you and [part2_name] use a condom when you had anal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x216,part2_positive,1,"75. When you were having a sexual relationship with [part2_name], do you think that [part2_name] was HIV positive?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x217,part2_on_arv,1,76. Do you think that [part2_name] was taking antiretroviral (ARV) drugs to treat their HIV/AIDS?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x218,part2_sex_influence,1,77. How often during sexual intercourse with [part2_name] were you having sex while under the influence of alcohol or other drugs?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x219,partner_3,1,78a. Is there a 3rd recent partner?,
x220,part3_name,1,"78. Nickname, marker, or first name",
x221,part3_period_start,1,79. Month/year sexual encounter(s)/relationship began with [part3_name],
x222,part3_period_end,1,80. Month/year sexual encounter(s)/relationship ended with [part3_name],
x223,part3_sex,1,81. [part3_name]'s  sex,"1, Male | 2, Female | 3, Transgender Male | 4, Transgender Female | 98, Don't Know | 99, Refused to answer"
x224,part3_age,1,82. About how old was [part3_name] the first time you had sex with [part3_name]?,
