term label	EUPATH defined term	mapped ontology term ID	Notes
severe_anemia	ICEMR_severe_anemia	EUPATH_0000215	
sex	PATO_0000047	PATO_0000047	
shock	ICEMR_shock	SNOMEDCT_27942005	
Specimen Collection Information	ICEMR_specimen_collection_information	OBI_0000659	
study_other	ICEMR_study_other	OBI_0500000	
study_type	ICEMR_study_type	OBI_0500000	
subject	ICEMR_subject	EUPATH_0000095	
Temperature	ICEMR_temperature	EUPATH_0000110	
temperature_measurement_method	ICEMR_temperature_measurement_method	EUPATH_0000544	
type_of_rdt	ICEMR_type_of_rdt	EUPATH_0000545	
vivax	ICEMR_vivax	EUPATH_0000524	
time to onset	ICEMR_time_to_onset	EUPATH_0000745	
ipcr result	ICEMR_ipcr_result	EUPATH_0000748	
body_temperature	ICEMR_body_temperature	EUPATH_0000110	
blood_smear_summary	ICEMR_blood_smear_summary	EUPATH_0000754	
time_to_reinfection	ICEMR_time_to_reinfection	EUPATH_0000751	
time_to_first_malaria_dx	ICEMR_time_to_first_malaria_dx	EUPATH_0000750	
end_of_observation_period	ICEMR_end_of_observation_per	EUPATH_0000749	
time_to_onset	ICEMR_time_to_onset	EUPATH_0000745	
			
			
General Information	ICEMR_general_information		removed
Information of Study Sample Collected From	ICEMR_information_of_study_sample_collected_from		removed
other_method	ICEMR_other_method		removed
Overall Status	ICEMR_overall_status		removed
			
			
			
Removed			
"  <ontologyTerm source_id=""ICEMR_biosourcetype"" type=""characteristicQualifier"" parent=""Source"">"			
    <name>BioSourceType</name>    			
  </ontologyTerm>			
"  <ontologyTerm source_id=""ICEMR_StrainOrLine"" type=""characteristicQualifier"" parent=""Source"">"			
    <name>StrainOrLine</name>    			
  </ontologyTerm>			
	mapping only used in /EUSTDY0005/sampleMetaData.txt		
			
"  <ontologyTerm source_id=""MiXS_alt"" type=""characteristicQualifier"" parent=""Source"">"			
    <name>altitude</name>			
  </ontologyTerm>			
	not found used in any studies		
