colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
,geohash5,,http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,yes,,,Brazil Villa Assis,,,,yes,,,,,,,,,,,,,,,
,geohash6,,http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,yes,,,Brazil Villa Assis,,,,yes,,,,,,,,,,,,,,,
18,localidade,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066271,Town in Brazil,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Town,Varies between 1 and 12,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,1 to 12,11,,,localidade,banco_assis_brasil_final::localidade
19,local,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066272,Place in Brazil,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Place,Varies between 1 and 12,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,1 to 12,11,0.001299714,,local,banco_assis_brasil_final::local
20,materialparedeexterna,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material ,Predominant material on the outer walls,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Predominant material on the outer walls,1 – Wood,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,1 to 9,3,0.002339485,,materialparedeexterna,banco_assis_brasil_final::materialparedeexterna
21,materialpisointerno,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,Predominant materials on the internal floor,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Predominant materials on the internal floor,1 - Masonry,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,1 to 9,4,0.002339485,,materialpisointerno,banco_assis_brasil_final::materialpisointerno
22,materialcobertura,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,Predominant materials on the roof of the house,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Predominant materials on the roof of the house,1 -fiber cement/asbestos,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,1 to 9,4,0.008058227,,materialcobertura,banco_assis_brasil_final::materialcobertura
23,forrooulaje,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00014,Roof lining or slab,Is there lining or roof slab,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Is there lining or roof slab,0 - No,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 9,3,0.030673252,,forrooulaje,banco_assis_brasil_final::forrooulaje
24,banheiros,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00016,Bathroom count,Number of bathrooms,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Number of bathrooms,Numeric,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,0 to 5,6,0.005198856,,banheiros,banco_assis_brasil_final::banheiros
25,localbanho,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00017,Household bathing location,Residents' bathing place,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Residents' bathing place,0 - Inside the house,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,1 to 9,4,0.002079543,,localbanho,banco_assis_brasil_final::localbanho
26,aguaencanada,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066273,Running water,Is there running water,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Is there running water,0 - Não,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 1,2,0.319469717,,aguaencanada,banco_assis_brasil_final::aguaencanada
27,poco,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00021,Well count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Pit,0 – No,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 2,3,0.039251365,,poco,banco_assis_brasil_final::poco
28,ncomodos,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0011593,Room count,Number of rooms in the house,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Number of rooms in the house,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,6,,,1 to 15,13,0.028593709,,ncomodos,banco_assis_brasil_final::ncomodos
29,ndormitorios,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling count,Number of rooms that serve as bedrooms,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Number of rooms that serve as bedrooms,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,1 to 6,6,0.028593709,,ndormitorios,banco_assis_brasil_final::ndormitorios
30,ncamas,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0022114,Bed count,Number of beds in the household,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Number of beds in the household,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,0 to 8,9,0.03327268,,ncamas,banco_assis_brasil_final::ncamas
31,nmosquiteiros,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0020225,Bednet count,Number of mosquito nets in the household,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,Number of mosquito nets in the household,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,3,,,0 to 8,9,0.03327268,,nmosquiteiros,banco_assis_brasil_final::nmosquiteiros
32,casa_borrifada,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00015,Sprayed,Has the house been sprayed (recently?),Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,Has the house been sprayed (recently?),0 - No,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 1,2,0.005458799,,casa_borrifada,banco_assis_brasil_final::casa_borrifada
33,meses_borrifacao,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066274,Month of spraying,Month(s) of spraying,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,Month(s) of spraying,Varies between 1 and 12,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,3,,,1 to 12,11,0.930855212,,meses_borrifacao,banco_assis_brasil_final::meses_borrifacao
34,tanque_peixes,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066275,Fish tank,Are there fish tanks on the property,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Are there fish tanks on the property,0 - No,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 1,2,,,tanque_peixes,banco_assis_brasil_final::tanque_peixes
35,qtostanques,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066276,Fish tank count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of tanks on the property,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 12,11,0.879386535,,qtostanques,banco_assis_brasil_final::qtostanques
36,radio,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00018,Radio count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Radio? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 2,3,0.03145308,,radio,banco_assis_brasil_final::radio
37,dvdapsom,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066277,DVD/stereo count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Quantity of DVD and/or stereo,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 2,3,0.329867429,,dvdapsom,banco_assis_brasil_final::dvdapsom
38,tv,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066278,TV count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,TV? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,0 to 5,6,0.030933195,,tv,banco_assis_brasil_final::tv
39,antenaparabolica,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066279,Sateellite dish count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Satellite dish? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 4,5,0.329867429,,antenaparabolica,banco_assis_brasil_final::antenaparabolica
40,maqlavar,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066280,Washing machine count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Washing machine? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 2,3,0.031713023,,maqlavar,banco_assis_brasil_final::maqlavar
41,geladeira,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066281,Fridge count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Fridge? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,0 to 4,5,0.030933195,,geladeira,banco_assis_brasil_final::geladeira
42,fogaoagas,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00019,Stove count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Gas stove? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 2,3,0.031972966,,fogaoagas,banco_assis_brasil_final::fogaoagas
43,geradorluz,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00025,Generator count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Power generator? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 1,2,0.329087601,,geradorluz,banco_assis_brasil_final::geradorluz
44,jogosala,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00020,Living room set count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Living room set? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 4,5,0.034052508,,jogosala,banco_assis_brasil_final::jogosala
45,celular,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0035051,Mobile phone count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Cell phone? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,0 to 7,8,0.031972966,,celular,banco_assis_brasil_final::celular
46,telfixo,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066282,Landline count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Landline? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 2,3,0.036651937,,telfixo,banco_assis_brasil_final::telfixo
47,microcomputador,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066283,Computer count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Computer? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 3,4,0.04808942,,microcomputador,banco_assis_brasil_final::microcomputador
48,microinternet,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066284,Computer with internet access count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Computer with Internet access? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 2,3,0.482193917,,microinternet,banco_assis_brasil_final::microinternet
49,bicicleta,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0022266,Bicycle count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Bicicleta? Quantas?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 4,5,0.03327268,,bicicleta,banco_assis_brasil_final::bicicleta
50,motocicleta,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066285,Motorcycle count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Motorcycle? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 4,5,0.035352223,,motocicleta,banco_assis_brasil_final::motocicleta
51,automovel,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066286,Car count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Car? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 3,4,0.034832337,,automovel,banco_assis_brasil_final::automovel
52,cavalo,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0022196,Horse count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Horse? How many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 20,3,0.033532623,,cavalo,banco_assis_brasil_final::cavalo
53,porco,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0022199,Pig count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Hog? Howm many?,Integer,variable,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,,,,0 to 20,8,0.06472576,,porco,banco_assis_brasil_final::porco
54,galinhapato,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00022,Poultry count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Chicken and/or duck? How many?,Integer,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,10,,,0 to 200,41,0.06472576,,galinhapato,banco_assis_brasil_final::galinhapato
55,animaisconsumo,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066287,Food animal count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Animals for consumption? How many?,Integer,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,10,,,0 to 200,48,0.06472576,,animaisconsumo,banco_assis_brasil_final::animaisconsumo
56,outraprop,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066288,Other property count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Other property? How many?,Integer,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,1,,,0 to 5,6,0.034052508,,outraprop,banco_assis_brasil_final::outraprop
57,nmoradores,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of persons living in the household,Integer,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,4,,,1 to 12,11,,,nmoradores,banco_assis_brasil_final::nmoradores
58,principalfonterenda,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,Main source of income,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Main source of income,Text,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,chr,APOSENTADORIA,,,>10 unique values,103,0.043150507,,principalfonterenda,banco_assis_brasil_final::principalfonterenda
60,fish_pond_local,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066289,Location of fish pond,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,Location of the fish pond,Text,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,chr,AC 405,,,>10 unique values,16,0.0018196,,fish_pond_local,banco_assis_brasil_final::fish_pond_local
61,fish_pond_latitude,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066290,Fish pond latitude,Fish pond location - latitude (whole numbers),Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,Fish pond location - latitude (whole numbers),Integer,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,73633.9,,,73408.9 to 73633.9,71,0.0018196,,fish_pond_latitude,banco_assis_brasil_final::fish_pond_latitude
62,fish_pond_longitude,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066291,Fish pond longitude,Fish pond location - longitude (whole numbers),Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,Fish pond location - longitude (whole numbers),Integer,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,724758.5,,,724750.5 to 724938.4,71,0.0018196,,fish_pond_longitude,banco_assis_brasil_final::fish_pond_longitude
63,fish_pond_decimal,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066292,Fish pond geolocation,"Geographic coordinates (x, y) of the fish pond tank",Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,"Geographic coordinates (x, y) of the fish pond tank",Text,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,chr,"-7.6062500,-72.79730555555555",,,>10 unique values,73,0.0018196,,fish_pond_decimal,banco_assis_brasil_final::fish_pond_decimal
64,fish_pond_lat_decimal,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066293,"Fish pond latitude, degrees","Latitude, in degrees, of the fish pond",Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,"Latitude, in degrees, of the fish pond",Numeric,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,-7.60625,,,-7.6083056 to -7.5691389,71,0.0018196,,fish_pond_lat_decimal,banco_assis_brasil_final::fish_pond_lat_decimal
65,fish_pond_long_decimal,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066294,"Fish pond longitude, degrees","Longitude, in degrees, of the fish pond",Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,"Longitude, in degrees, of the fish pond",Numeric,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,-72.797306,,,-72.823 to -72.797306,71,0.0018196,,fish_pond_long_decimal,banco_assis_brasil_final::fish_pond_long_decimal
66,fish_pond_natureza,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066295,Fish pond type,Nature of fish pond,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,Nature of fish pond,"Text (artificial, natural, misto)",,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,3,,,1 to 3,3,0.0018196,,fish_pond_natureza,banco_assis_brasil_final::fish_pond_natureza
68,m_distance_dom_fish_ponds,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066296,Distance between home and nearest fish pond,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,Distance (meters?) between home and nearest fish pond,Numeric,,,,,yes,,,Brazil Villa Assis,m,,,,,,,,,dbl,151.0544739,,,0.0222640000283718 to 1809.39733886719,549,0.0018196,,m_distance_dom_fish_ponds,banco_assis_brasil_final::m_distance_dom_fish_ponds
72,join_tanque,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066297,Distance to aggregate tank,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,Distance to aggregate tank (?),Numeric,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,3,,,3 to 170,73,0.0018196,,join_tanque,banco_assis_brasil_final::join_tanque
73,join_lat_utm,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066298,Latitude  of  aggregate tank in UTM,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,Latitude (from aggregate tank?) in UTM,Numeric,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,9158613,,,9158387 to 9162727,71,0.0018196,,join_lat_utm,banco_assis_brasil_final::join_lat_utm
74,join_lon_utm,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066299,Longitude of aggregate tank in UTM,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,Longitude (from aggregate tank?) in UTM,Numeric,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,743021.125,,,740200.875 to 743021.125,73,0.0018196,,join_lon_utm,banco_assis_brasil_final::join_lon_utm
75,distance_utm_dom_tanques,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0066300,Distance from home to tanks in UTM,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,"Distance, in utm, from home to tanks",Numeric,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,149.8340607,,,2 to 1794.3076171875,553,0.0018196,,distance_utm_dom_tanques,banco_assis_brasil_final::distance_utm_dom_tanques
76,ind_riqueza,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Wealth Index (ongoing),Numeric,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,dbl,0.56509465,,,-5.30510807037354 to 8.70351028442383,1346,,,ind_riqueza,banco_assis_brasil_final::ind_riqueza
77,ind_riqueza_quintil,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00033,Wealth Index quintiles,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Wealth Index Quintiles (categorical),1 – First quintile (poorest),,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,4,,,1 to 5,5,,,ind_riqueza_quintil,banco_assis_brasil_final::ind_riqueza_quintil
78,ind_riqueza_quartil,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00034,Wealth index quartiles,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Wealth Index Quintiles (categorical),1 – First quartile (poorest),,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,3,,,1 to 4,4,,,ind_riqueza_quartil,banco_assis_brasil_final::ind_riqueza_quartil
79,ind_riqueza_tercil,banco_assis_brasil_final,http://purl.obolibrary.org/obo/CLINEPIDB_00035,Wealth index tertiles,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Wealth index tertiles (categorical),1 – First tertile  (poorest),,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,3,,,1 to 3,3,,,ind_riqueza_tercil,banco_assis_brasil_final::ind_riqueza_tercil
80,parentesco,banco_assis_brasil_final,http://purl.obolibrary.org/obo/EUPATH_0010123,Interviewee's relationship to participant,Degree of kinship (with the interviewee),Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Degree of kinship (with the interviewee),Text,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,chr,ESPOSA,,,>10 unique values,34,0.684689368,,parentesco,banco_assis_brasil_final::parentesco
81,sexo,banco_assis_brasil_final,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Sex,0 - Female,,,,,yes,,,Brazil Villa Assis,,,,,,,,,,int,2,,,1 to 2,2,,,sexo,banco_assis_brasil_final::sexo
