variable,IRI,dataset,values,mappedTerms,notes
fterm4,,BC-3 enrollment database FINAL.dta,9,,
mode4,,BC-3 enrollment database FINAL.dta,0,,
mode4,,BC-3 enrollment database FINAL.dta,1,,
locat4,,BC-3 enrollment database FINAL.dta,0,,
locat4,,BC-3 enrollment database FINAL.dta,1,,
balive4,,BC-3 enrollment database FINAL.dta,1,,
balive4,,BC-3 enrollment database FINAL.dta,2,,
sex4,,BC-3 enrollment database FINAL.dta,1,,
sex4,,BC-3 enrollment database FINAL.dta,2,,
alivenow4,,BC-3 enrollment database FINAL.dta,0,,
alivenow4,,BC-3 enrollment database FINAL.dta,1,,
fterm5,,BC-3 enrollment database FINAL.dta,1,,
fterm5,,BC-3 enrollment database FINAL.dta,2,,
fterm5,,BC-3 enrollment database FINAL.dta,9,,
mode5,,BC-3 enrollment database FINAL.dta,0,,
mode5,,BC-3 enrollment database FINAL.dta,1,,
locat5,,BC-3 enrollment database FINAL.dta,0,,
locat5,,BC-3 enrollment database FINAL.dta,1,,
balive5,,BC-3 enrollment database FINAL.dta,1,,
balive5,,BC-3 enrollment database FINAL.dta,2,,
sex5,,BC-3 enrollment database FINAL.dta,1,,
sex5,,BC-3 enrollment database FINAL.dta,2,,
alivenow5,,BC-3 enrollment database FINAL.dta,0,,
alivenow5,,BC-3 enrollment database FINAL.dta,1,,
fterm6,,BC-3 enrollment database FINAL.dta,1,,
fterm6,,BC-3 enrollment database FINAL.dta,2,,
fterm6,,BC-3 enrollment database FINAL.dta,9,,
mode6,,BC-3 enrollment database FINAL.dta,0,,
mode6,,BC-3 enrollment database FINAL.dta,1,,
locat6,,BC-3 enrollment database FINAL.dta,0,,
locat6,,BC-3 enrollment database FINAL.dta,1,,
balive6,,BC-3 enrollment database FINAL.dta,1,,
balive6,,BC-3 enrollment database FINAL.dta,2,,
sex6,,BC-3 enrollment database FINAL.dta,1,,
sex6,,BC-3 enrollment database FINAL.dta,2,,
alivenow6,,BC-3 enrollment database FINAL.dta,0,,
alivenow6,,BC-3 enrollment database FINAL.dta,1,,
fterm7,,BC-3 enrollment database FINAL.dta,1,,
fterm7,,BC-3 enrollment database FINAL.dta,2,,
fterm7,,BC-3 enrollment database FINAL.dta,9,,
mode7,,BC-3 enrollment database FINAL.dta,0,,
mode7,,BC-3 enrollment database FINAL.dta,1,,
locat7,,BC-3 enrollment database FINAL.dta,0,,
locat7,,BC-3 enrollment database FINAL.dta,1,,
balive7,,BC-3 enrollment database FINAL.dta,1,,
balive7,,BC-3 enrollment database FINAL.dta,2,,
sex7,,BC-3 enrollment database FINAL.dta,1,,
sex7,,BC-3 enrollment database FINAL.dta,2,,
alivenow7,,BC-3 enrollment database FINAL.dta,0,,
alivenow7,,BC-3 enrollment database FINAL.dta,1,,
educ,,BC-3 enrollment database FINAL.dta,0,None,
educ,,BC-3 enrollment database FINAL.dta,1,Primary,
educ,,BC-3 enrollment database FINAL.dta,2,Olevel,
educ,,BC-3 enrollment database FINAL.dta,3,Alevel,
educ,,BC-3 enrollment database FINAL.dta,4,Tertiary,
educ,,BC-3 enrollment database FINAL.dta,5,University,
bednet,,BC-3 enrollment database FINAL.dta,0,No,
bednet,,BC-3 enrollment database FINAL.dta,1,Yes,
bednet,,BC-3 enrollment database FINAL.dta,9,Unknown,
bednet,,BC-3 enrollment database FINAL.dta,99,N/A,
nettreated,,BC-3 enrollment database FINAL.dta,0,,
nettreated,,BC-3 enrollment database FINAL.dta,1,,
nettreated,,BC-3 enrollment database FINAL.dta,9,,
nettreated,,BC-3 enrollment database FINAL.dta,99,,
netlastnight,,BC-3 enrollment database FINAL.dta,0,,
netlastnight,,BC-3 enrollment database FINAL.dta,1,,
netlastnight,,BC-3 enrollment database FINAL.dta,9,,
netlastnight,,BC-3 enrollment database FINAL.dta,99,,
fhtone,,BC-3 enrollment database FINAL.dta,0,No,
fhtone,,BC-3 enrollment database FINAL.dta,1,Yes,
cbc,,BC-3 enrollment database FINAL.dta,0,Not collected,
cbc,,BC-3 enrollment database FINAL.dta,1,Collected,
altrt,,BC-3 enrollment database FINAL.dta,0,,
altrt,,BC-3 enrollment database FINAL.dta,1,,
filterpap,,BC-3 enrollment database FINAL.dta,0,,
filterpap,,BC-3 enrollment database FINAL.dta,1,,
immunolog,,BC-3 enrollment database FINAL.dta,0,,
immunolog,,BC-3 enrollment database FINAL.dta,1,,
bloodsmr,,BC-3 enrollment database FINAL.dta,0,Not collected,
bloodsmr,,BC-3 enrollment database FINAL.dta,1,Collected,Not urgent
bloodsmr,,BC-3 enrollment database FINAL.dta,2,Collected,"Urgent, Malaria suspect"
urine,,BC-3 enrollment database FINAL.dta,0,,
urine,,BC-3 enrollment database FINAL.dta,1,,
syptest,,BC-3 enrollment database FINAL.dta,0,,
syptest,,BC-3 enrollment database FINAL.dta,1,,
uprotein,,BC-3 enrollment database FINAL.dta,0,0,
uprotein,,BC-3 enrollment database FINAL.dta,1,1+,
uprotein,,BC-3 enrollment database FINAL.dta,2,2+,
uprotein,,BC-3 enrollment database FINAL.dta,3,3+,
game,,BC-3 enrollment database FINAL.dta,0,Absent,
game,,BC-3 enrollment database FINAL.dta,1,Present,
species,,BC-3 enrollment database FINAL.dta,0,PF,Plasmodium Falciparum
species,,BC-3 enrollment database FINAL.dta,1,PM,Plasmodium Malariae
species,,BC-3 enrollment database FINAL.dta,2,PO,Plasmodium Ovale
species,,BC-3 enrollment database FINAL.dta,3,PV,Plasmodium Vivax
species,,BC-3 enrollment database FINAL.dta,9,Unknown,
mstatus,,BC-3 enrollment database FINAL.dta,0,No malaria diagnosed,
mstatus,,BC-3 enrollment database FINAL.dta,1,Uncomplicated malaria treated with AL,
mstatus,,BC-3 enrollment database FINAL.dta,2,Complicated malaria treated with quinine,
mwithin1d,,BC-3 enrollment database FINAL.dta,0,Yes,
mwithin1d,,BC-3 enrollment database FINAL.dta,1,No,
m20wks,,BC-3 enrollment database FINAL.dta,0,,
m20wks,,BC-3 enrollment database FINAL.dta,1,,
gestage,,BC-3 enrollment database FINAL.dta,1,16 wks,
gestage,,BC-3 enrollment database FINAL.dta,2,20wks,
gestage,,BC-3 enrollment database FINAL.dta,3,24wks,
gestage,,BC-3 enrollment database FINAL.dta,4,Other,
educ,,BC-3 mothers all visits database FINAL.dta,0,None,
educ,,BC-3 mothers all visits database FINAL.dta,1,Primary,
educ,,BC-3 mothers all visits database FINAL.dta,2,Olevel,
educ,,BC-3 mothers all visits database FINAL.dta,3,Alevel,
educ,,BC-3 mothers all visits database FINAL.dta,4,Tertiary,
educ,,BC-3 mothers all visits database FINAL.dta,5,University,
visittype,,BC-3 mothers all visits database FINAL.dta,1,Routine visit,
visittype,,BC-3 mothers all visits database FINAL.dta,0,Non-routine visit,
gestwks,,BC-3 mothers all visits database FINAL.dta,1,16wks,
gestwks,,BC-3 mothers all visits database FINAL.dta,2,20wks,
gestwks,,BC-3 mothers all visits database FINAL.dta,3,24wks,
gestwks,,BC-3 mothers all visits database FINAL.dta,4,28wks,
gestwks,,BC-3 mothers all visits database FINAL.dta,5,32wks,
gestwks,,BC-3 mothers all visits database FINAL.dta,6,36wks,
gestwks,,BC-3 mothers all visits database FINAL.dta,7,40wks,
omed,,BC-3 mothers all visits database FINAL.dta,0,No,
omed,,BC-3 mothers all visits database FINAL.dta,1,Yes,
fetal,,BC-3 mothers all visits database FINAL.dta,0,Absent 24 hours,
fetal,,BC-3 mothers all visits database FINAL.dta,1,Present,
fetal,,BC-3 mothers all visits database FINAL.dta,2,Deceased,
contractn,,BC-3 mothers all visits database FINAL.dta,0,,
contractn,,BC-3 mothers all visits database FINAL.dta,1,,
contractn,,BC-3 mothers all visits database FINAL.dta,2,,
vagnalfd,,BC-3 mothers all visits database FINAL.dta,0,,
vagnalfd,,BC-3 mothers all visits database FINAL.dta,1,,
vagnalfd,,BC-3 mothers all visits database FINAL.dta,2,,
vagnalbd,,BC-3 mothers all visits database FINAL.dta,0,,
vagnalbd,,BC-3 mothers all visits database FINAL.dta,1,,
vagnalbd,,BC-3 mothers all visits database FINAL.dta,2,,
fhtone,,BC-3 mothers all visits database FINAL.dta,0,Not present,
fhtone,,BC-3 mothers all visits database FINAL.dta,1,Present,
cbc,,BC-3 mothers all visits database FINAL.dta,0,not indicated,
cbc,,BC-3 mothers all visits database FINAL.dta,1,Collected,
cbc,,BC-3 mothers all visits database FINAL.dta,2,forgot to collect,
cbc,,BC-3 mothers all visits database FINAL.dta,3,declined,
altrt,,BC-3 mothers all visits database FINAL.dta,0,,
altrt,,BC-3 mothers all visits database FINAL.dta,1,,
altrt,,BC-3 mothers all visits database FINAL.dta,2,,
altrt,,BC-3 mothers all visits database FINAL.dta,3,,
immunolog,,BC-3 mothers all visits database FINAL.dta,0,,
immunolog,,BC-3 mothers all visits database FINAL.dta,1,,
immunolog,,BC-3 mothers all visits database FINAL.dta,2,,
immunolog,,BC-3 mothers all visits database FINAL.dta,3,,
filterpap,,BC-3 mothers all visits database FINAL.dta,0,,
filterpap,,BC-3 mothers all visits database FINAL.dta,1,,
filterpap,,BC-3 mothers all visits database FINAL.dta,2,,
filterpap,,BC-3 mothers all visits database FINAL.dta,3,,
plasma,,BC-3 mothers all visits database FINAL.dta,0,,
plasma,,BC-3 mothers all visits database FINAL.dta,1,,
plasma,,BC-3 mothers all visits database FINAL.dta,2,,
plasma,,BC-3 mothers all visits database FINAL.dta,3,,
bloodsmr,,BC-3 mothers all visits database FINAL.dta,0,not indicated,
bloodsmr,,BC-3 mothers all visits database FINAL.dta,1,indicated,
hivtest,,BC-3 mothers all visits database FINAL.dta,0,negative,
hivtest,,BC-3 mothers all visits database FINAL.dta,1,positive,
uprotein,,BC-3 mothers all visits database FINAL.dta,0,0,
uprotein,,BC-3 mothers all visits database FINAL.dta,1,1+,
uprotein,,BC-3 mothers all visits database FINAL.dta,2,2+,
uprotein,,BC-3 mothers all visits database FINAL.dta,3,3+,
game,,BC-3 mothers all visits database FINAL.dta,0,absent,
game,,BC-3 mothers all visits database FINAL.dta,1,Present,
species,,BC-3 mothers all visits database FINAL.dta,0,PF,
species,,BC-3 mothers all visits database FINAL.dta,1,PM,
species,,BC-3 mothers all visits database FINAL.dta,2,PO,
species,,BC-3 mothers all visits database FINAL.dta,3,PV,
species,,BC-3 mothers all visits database FINAL.dta,4,Unknown,
mstatus,,BC-3 mothers all visits database FINAL.dta,0,no malaria ,
mstatus,,BC-3 mothers all visits database FINAL.dta,1,Uncomplicated ,
mstatus,,BC-3 mothers all visits database FINAL.dta,2,Complicated malaria ,
mstatus,,BC-3 mothers all visits database FINAL.dta,3,AL treatment failure,
mstatus,,BC-3 mothers all visits database FINAL.dta,4,quinine/artesunate treatment failure,
rvisit,,BC-3 mothers all visits database FINAL.dta,0,no,
rvisit,,BC-3 mothers all visits database FINAL.dta,1,yes,
pharm,,BC-3 mothers all visits database FINAL.dta,0,not referred,
pharm,,BC-3 mothers all visits database FINAL.dta,1,referred,
ecg,,BC-3 mothers all visits database FINAL.dta,0,no,
ecg,,BC-3 mothers all visits database FINAL.dta,1,yes,
mhosp,,BC-3 mothers all visits database FINAL.dta,0,,
mhosp,,BC-3 mothers all visits database FINAL.dta,1,,
drugadm,,BC-3 mothers all visits database FINAL.dta,0,,
drugadm,,BC-3 mothers all visits database FINAL.dta,1,,
dday2,,BC-3 mothers all visits database FINAL.dta,0,,
dday2,,BC-3 mothers all visits database FINAL.dta,1,,
dday3,,BC-3 mothers all visits database FINAL.dta,0,,
dday3,,BC-3 mothers all visits database FINAL.dta,1,,
nrvisit,,BC-3 mothers all visits database FINAL.dta,0,non-routine,
nrvisit,,BC-3 mothers all visits database FINAL.dta,1,routine,
gestage,,BC-3 mothers all visits database FINAL.dta,1,16wks,
gestage,,BC-3 mothers all visits database FINAL.dta,2,20wks,
gestage,,BC-3 mothers all visits database FINAL.dta,3,24wks,
gestage,,BC-3 mothers all visits database FINAL.dta,4,28wks,
gestage,,BC-3 mothers all visits database FINAL.dta,5,32wks,
gestage,,BC-3 mothers all visits database FINAL.dta,6,36wks,
gestage,,BC-3 mothers all visits database FINAL.dta,7,40wks,
aborty,,BC-3 mothers delivery database FINAL,0,Spontaneous,
aborty,,BC-3 mothers delivery database FINAL,1,Elective,
lod,,BC-3 mothers delivery database FINAL,1,Masafu hospital,
lod,,BC-3 mothers delivery database FINAL,2,TDH,
lod,,BC-3 mothers delivery database FINAL,3,Home ,
lod,,BC-3 mothers delivery database FINAL,4,Other,
notapp,,BC-3 mothers delivery database FINAL,,1=ticked,
omeds,,BC-3 mothers delivery database FINAL,0,no,
omeds,,BC-3 mothers delivery database FINAL,1,yes,
b4dinfo,,BC-3 mothers delivery database FINAL,0,,
b4dinfo,,BC-3 mothers delivery database FINAL,1,,
lfheart1,,BC-3 mothers delivery database FINAL,0,,
lfheart1,,BC-3 mothers delivery database FINAL,1,,
lcontra1,,BC-3 mothers delivery database FINAL,0,Mild,
lcontra1,,BC-3 mothers delivery database FINAL,1,Mod,
lcontra1,,BC-3 mothers delivery database FINAL,2,Strong,
lmemb1,,BC-3 mothers delivery database FINAL,0,no,
lmemb1,,BC-3 mothers delivery database FINAL,1,yes,
lfheart2,,BC-3 mothers delivery database FINAL,0,,
lfheart2,,BC-3 mothers delivery database FINAL,1,,
lcontra2,,BC-3 mothers delivery database FINAL,0,,
lcontra2,,BC-3 mothers delivery database FINAL,1,,
lcontra2,,BC-3 mothers delivery database FINAL,2,,
lmemb2,,BC-3 mothers delivery database FINAL,0,,
lmemb2,,BC-3 mothers delivery database FINAL,1,,
lfheart3,,BC-3 mothers delivery database FINAL,0,,
lfheart3,,BC-3 mothers delivery database FINAL,1,,
lcontra3,,BC-3 mothers delivery database FINAL,0,,
lcontra3,,BC-3 mothers delivery database FINAL,1,,
lcontra3,,BC-3 mothers delivery database FINAL,2,,
lmemb3,,BC-3 mothers delivery database FINAL,0,,
lmemb3,,BC-3 mothers delivery database FINAL,1,,
lfheart4,,BC-3 mothers delivery database FINAL,0,,
lfheart4,,BC-3 mothers delivery database FINAL,1,,
lcontra4,,BC-3 mothers delivery database FINAL,0,,
lcontra4,,BC-3 mothers delivery database FINAL,1,,
lcontra4,,BC-3 mothers delivery database FINAL,2,,
lmemb4,,BC-3 mothers delivery database FINAL,0,,
lmemb4,,BC-3 mothers delivery database FINAL,1,,
lfheart5,,BC-3 mothers delivery database FINAL,0,,
lfheart5,,BC-3 mothers delivery database FINAL,1,,
lcontra5,,BC-3 mothers delivery database FINAL,0,,
lcontra5,,BC-3 mothers delivery database FINAL,1,,
lcontra5,,BC-3 mothers delivery database FINAL,2,,
lmemb5,,BC-3 mothers delivery database FINAL,0,,
lmemb5,,BC-3 mothers delivery database FINAL,1,,
lfheart6,,BC-3 mothers delivery database FINAL,0,,
lfheart6,,BC-3 mothers delivery database FINAL,1,,
lcontra6,,BC-3 mothers delivery database FINAL,0,,
lcontra6,,BC-3 mothers delivery database FINAL,1,,
lcontra6,,BC-3 mothers delivery database FINAL,2,,
lmemb6,,BC-3 mothers delivery database FINAL,0,,
lmemb6,,BC-3 mothers delivery database FINAL,1,,
lfheart7,,BC-3 mothers delivery database FINAL,0,,
lfheart7,,BC-3 mothers delivery database FINAL,1,,
lcontra7,,BC-3 mothers delivery database FINAL,0,,
lcontra7,,BC-3 mothers delivery database FINAL,1,,
lcontra7,,BC-3 mothers delivery database FINAL,2,,
lmemb7,,BC-3 mothers delivery database FINAL,0,,
lmemb7,,BC-3 mothers delivery database FINAL,1,,
mod,,BC-3 mothers delivery database FINAL,1,Vaginal,
mod,,BC-3 mothers delivery database FINAL,2,Cesarean,
cnone,,BC-3 mothers delivery database FINAL,,1=ticked,
cpeclam,,BC-3 mothers delivery database FINAL,,1=ticked,
ceclam,,BC-3 mothers delivery database FINAL,,1=ticked,
crplanc,,BC-3 mothers delivery database FINAL,,1=ticked,
cpphsvd,,BC-3 mothers delivery database FINAL,,1=ticked,
ccpdispo,,BC-3 mothers delivery database FINAL,,1=ticked,
caplacent,,BC-3 mothers delivery database FINAL,,1=ticked,
csdysto,,BC-3 mothers delivery database FINAL,,1=ticked,
curupt,,BC-3 mothers delivery database FINAL,,1=ticked,
cifetus,,BC-3 mothers delivery database FINAL,,1=ticked,
cbtrans,,BC-3 mothers delivery database FINAL,,1=ticked,
cmrplac,,BC-3 mothers delivery database FINAL,,1=ticked,
chemorr,,BC-3 mothers delivery database FINAL,,1=ticked,
clacera,,BC-3 mothers delivery database FINAL,,1=ticked,
placollect,,BC-3 mothers delivery database FINAL,0,no,
placollect,,BC-3 mothers delivery database FINAL,1,yes,
cordcollect,,BC-3 mothers delivery database FINAL,0,,
cordcollect,,BC-3 mothers delivery database FINAL,1,,
ptiss1,,BC-3 mothers delivery database FINAL,0,Not collected,
ptiss1,,BC-3 mothers delivery database FINAL,1,Collected,
pbld1,,BC-3 mothers delivery database FINAL,0,,
pbld1,,BC-3 mothers delivery database FINAL,1,,
bcord1,,BC-3 mothers delivery database FINAL,0,,
bcord1,,BC-3 mothers delivery database FINAL,1,,
ptiss2,,BC-3 mothers delivery database FINAL,0,,
ptiss2,,BC-3 mothers delivery database FINAL,1,,
pbld2,,BC-3 mothers delivery database FINAL,0,,
pbld2,,BC-3 mothers delivery database FINAL,1,,
bcord2,,BC-3 mothers delivery database FINAL,0,,
bcord2,,BC-3 mothers delivery database FINAL,1,,
ptiss3,,BC-3 mothers delivery database FINAL,0,,
ptiss3,,BC-3 mothers delivery database FINAL,1,,
pbld3,,BC-3 mothers delivery database FINAL,0,,
pbld3,,BC-3 mothers delivery database FINAL,1,,
bcord3,,BC-3 mothers delivery database FINAL,0,,
bcord3,,BC-3 mothers delivery database FINAL,1,,
labtest,,BC-3 mothers delivery database FINAL,0,,
labtest,,BC-3 mothers delivery database FINAL,1,,
cbc,,BC-3 mothers delivery database FINAL,0,,
cbc,,BC-3 mothers delivery database FINAL,1,,
altrt,,BC-3 mothers delivery database FINAL,0,,
altrt,,BC-3 mothers delivery database FINAL,1,,
immuno,,BC-3 mothers delivery database FINAL,0,,
immuno,,BC-3 mothers delivery database FINAL,1,,
fpvblood,,BC-3 mothers delivery database FINAL,0,Not made,
fpvblood,,BC-3 mothers delivery database FINAL,1,Made,
fpcblood,,BC-3 mothers delivery database FINAL,0,,
fpcblood,,BC-3 mothers delivery database FINAL,1,,
fpcmeta,,BC-3 mothers delivery database FINAL,0,,
fpcmeta,,BC-3 mothers delivery database FINAL,1,,
fppblood,,BC-3 mothers delivery database FINAL,0,,
fppblood,,BC-3 mothers delivery database FINAL,1,,
tbsperi,,BC-3 mothers delivery database FINAL,0,,
tbsperi,,BC-3 mothers delivery database FINAL,1,,
tbspla,,BC-3 mothers delivery database FINAL,0,,
tbspla,,BC-3 mothers delivery database FINAL,1,,
tbscord,,BC-3 mothers delivery database FINAL,0,,
tbscord,,BC-3 mothers delivery database FINAL,1,,
hbcord,,BC-3 mothers delivery database FINAL,0,,
hbcord,,BC-3 mothers delivery database FINAL,1,,
wbcgrade,,BC-3 mothers delivery database FINAL,0,no grade,
wbcgrade,,BC-3 mothers delivery database FINAL,1,grade 1,
wbcgrade,,BC-3 mothers delivery database FINAL,2,grade 2,
wbcgrade,,BC-3 mothers delivery database FINAL,3,grade 3,
wbcgrade,,BC-3 mothers delivery database FINAL,4,grade 4,
neutrograde,,BC-3 mothers delivery database FINAL,0,,
neutrograde,,BC-3 mothers delivery database FINAL,1,,
neutrograde,,BC-3 mothers delivery database FINAL,2,,
neutrograde,,BC-3 mothers delivery database FINAL,3,,
neutrograde,,BC-3 mothers delivery database FINAL,4,,
pltgrade,,BC-3 mothers delivery database FINAL,0,,
pltgrade,,BC-3 mothers delivery database FINAL,1,,
pltgrade,,BC-3 mothers delivery database FINAL,2,,
pltgrade,,BC-3 mothers delivery database FINAL,3,,
pltgrade,,BC-3 mothers delivery database FINAL,4,,
hbgrade,,BC-3 mothers delivery database FINAL,0,,
hbgrade,,BC-3 mothers delivery database FINAL,1,,
hbgrade,,BC-3 mothers delivery database FINAL,2,,
hbgrade,,BC-3 mothers delivery database FINAL,3,,
hbgrade,,BC-3 mothers delivery database FINAL,4,,
altgrade,,BC-3 mothers delivery database FINAL,0,,
altgrade,,BC-3 mothers delivery database FINAL,1,,
altgrade,,BC-3 mothers delivery database FINAL,2,,
altgrade,,BC-3 mothers delivery database FINAL,3,,
altgrade,,BC-3 mothers delivery database FINAL,4,,
hivtest,,BC-3 mothers delivery database FINAL,0,Negative,
hivtest,,BC-3 mothers delivery database FINAL,1,positive,
hivtest,,BC-3 mothers delivery database FINAL,2,Not done,
perigame,,BC-3 mothers delivery database FINAL,1,Present,
perigame,,BC-3 mothers delivery database FINAL,0,Absent,
perispecies,,BC-3 mothers delivery database FINAL,0,PF,
perispecies,,BC-3 mothers delivery database FINAL,1,PM,
perispecies,,BC-3 mothers delivery database FINAL,2,PO,
perispecies,,BC-3 mothers delivery database FINAL,3,PV,
perispecies,,BC-3 mothers delivery database FINAL,9,Unknown,
mstatus,,BC-3 mothers delivery database FINAL,0,no malaria ,
mstatus,,BC-3 mothers delivery database FINAL,1,Uncomplicated ,
mstatus,,BC-3 mothers delivery database FINAL,2,Complicated malaria ,
mstatus,,BC-3 mothers delivery database FINAL,3,AL treatment failure,
mstatus,,BC-3 mothers delivery database FINAL,4,quinine/artesunate treatment failure,
smal,,BC-3 mothers delivery database FINAL,,1=checked,
cmal,,BC-3 mothers delivery database FINAL,,1=checked,
mseiz,,BC-3 mothers delivery database FINAL,,1=checked,
rdist,,BC-3 mothers delivery database FINAL,,1=checked,
gestwks,,BC-3 mothers delivery database FINAL,1,16wks,
gestwks,,BC-3 mothers delivery database FINAL,2,20wks,
gestwks,,BC-3 mothers delivery database FINAL,3,24wks,
gestwks,,BC-3 mothers delivery database FINAL,4,28wks,
gestwks,,BC-3 mothers delivery database FINAL,5,32wks,
gestwks,,BC-3 mothers delivery database FINAL,6,36wks,
gestwks,,BC-3 mothers delivery database FINAL,7,40wks,
visittype,,BC-3 mothers expanded database FINAL,0,non-routine,
visittype,,BC-3 mothers expanded database FINAL,1,routine,
gestwks,,BC-3 mothers expanded database FINAL,1,16wks,
gestwks,,BC-3 mothers expanded database FINAL,2,20wks,
gestwks,,BC-3 mothers expanded database FINAL,3,24wks,
gestwks,,BC-3 mothers expanded database FINAL,4,28wks,
gestwks,,BC-3 mothers expanded database FINAL,5,32wks,
gestwks,,BC-3 mothers expanded database FINAL,6,36wks,
gestwks,,BC-3 mothers expanded database FINAL,7,40wks,
itn,,BC-3 mothers expanded database FINAL,0,no,
