variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
allcriteria,BC-3 screening database FINAL,discard,,All criteria for study inclusion met?,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::allcriteria
alt,BC-3 enrollment database FINAL,discard,,alt,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::alt
alt,BC-3 mothers all visits database FINAL,keep,,ALT (IU/L) result,,NA,,,,,BC-3 mothers all visits database FINAL::alt
alt,BC-3 mothers delivery database FINAL,keep,,ALT Lab,,NA,,,,,BC-3 mothers delivery database FINAL::alt
alt,BC-3 mothers expanded database FINAL,discard,,ALT (IU/L) result,,NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::alt
altgrade,BC-3 enrollment database FINAL,discard,,ALT grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::altgrade
altgrade,BC-3 mothers all visits database FINAL,keep,,ALT (IU/L) grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 mothers all visits database FINAL::altgrade
altgrade,BC-3 mothers delivery database FINAL,keep,,ALT grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 mothers delivery database FINAL::altgrade
altgrade,BC-3 childs all visit database FINAL,keep,,ALT (IU/L) grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 childs all visit database FINAL::altgrade
altrt,BC-3 enrollment database FINAL,discard,,ALT (red top),"0=Not collected,
1=Collected
",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::altrt
altrt,BC-3 mothers all visits database FINAL,keep,,ALT (red top),"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",NA,,,,,BC-3 mothers all visits database FINAL::altrt
altrt,BC-3 mothers delivery database FINAL,keep,,ALT (red top),"0=Not collect, 
1=Collected
",NA,,,,,BC-3 mothers delivery database FINAL::altrt
altrt,BC-3 mothers expanded database FINAL,discard,,ALT (red top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::altrt
amchwker,BC3_Household_Survey_Data,keep,,does the community health worker currently have malaria medicines available?,"2=No, 8=Don’t know, -9=skipped",NA,,,,,BC3_Household_Survey_Data::amchwker
amedprob,BC-3 screening database FINAL,discard,,Active medical problem requiring inpatient evaluation at the time of screening,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::amedprob
ams,Individual level database FINAL,discard,,(sum) AMS,"0,1",NA,,,,,Individual level database FINAL::ams
anemiaae,Individual level database FINAL,discard,,(sum) anemiaAE,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::anemiaae
anorexdur,BC-3 enrollment database FINAL,discard,,Anorexia Duration,,NA,,,,All NA's,BC-3 enrollment database FINAL::anorexdur
anorexdur,BC-3 mothers all visits database FINAL,keep,,Anorexia Duration,,NA,,,,,BC-3 mothers all visits database FINAL::anorexdur
anorexdur,BC-3 childs all visit database FINAL,keep,,Anorexia Duration,,NA,,,,,BC-3 childs all visit database FINAL::anorexdur
anorexgrade,BC-3 enrollment database FINAL,discard,,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::anorexgrade
anorexgrade,BC-3 mothers all visits database FINAL,keep,,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::anorexgrade
anorexgrade,BC-3 childs all visit database FINAL,keep,,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::anorexgrade
antibiot,BC-3 childs hospitalizations FINAL,keep,,Intravenous antibiotics,"0=No,
1=Yes",NA,,,,,BC-3 childs hospitalizations FINAL::antibiot
anygrade34ae,Individual level database FINAL,discard,,(sum) anygrade34AE,"0,1,2,3",NA,,,,aggregate observation data,Individual level database FINAL::anygrade34ae
anyhb,BC-3 mothers expanded database FINAL,keep,,Hemoglobin level (from CBC or hemocue),,NA,,,,,BC-3 mothers expanded database FINAL::anyhb
anyhb,BC-3 childs expanded database FINAL,discard,,Hemoglobin level (from CBC or hemocue),,NA,,,,Confirm units,BC-3 childs expanded database FINAL::anyhb
anyhp,BC-3 mothers delivery database FINAL,keep,,Any placental malaria by histopathology,"0=No,
1=Yes",NA,,,,,BC-3 mothers delivery database FINAL::anyhp
anyhp,Individual level database FINAL,discard,,Any placental malaria by histopathology,"0=No,
1=Yes",NA,,,,DROP - Use delivery,Individual level database FINAL::anyhp
anyhp,BC-3 childs expanded database FINAL,discard,,Any placental malaria by histopathology,"0=No,1=Yes",NA,,,,DROP - Use children individual,BC-3 childs expanded database FINAL::anyhp
anyhp,BC-3 children individual level database FINAL,discard,,Any placental malaria by histopathology,"0=No,
1=Yes",NA,,,,DROP - Use delivery,BC-3 children individual level database FINAL::anyhp
anymalaria,BC-3 childs expanded database FINAL,discard,,Malaria diagnosed today,"0=No, 1=Yes",NA,,,,,BC-3 childs expanded database FINAL::anymalaria
anysae,Individual level database FINAL,discard,,(sum) anySAE,"0,1,2",NA,,,,aggregate observation data,Individual level database FINAL::anysae
apdichenroll,Individual level database FINAL,keep,,Parasite prevalence by microscopy or qPCR at enrollment,"0,1",NA,,,,,Individual level database FINAL::apdichenroll
asthma,BC-3 enrollment database FINAL,keep,,Asthma,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::asthma
autopsy,BC-3 childs deaths FINAL,keep,,information obtained as Autopsy report,1=checked,NA,,,,"map contreport, autopsy, other and hospre to same term",BC-3 childs deaths FINAL::autopsy
avoidmed,BC-3 screening database FINAL,discard,,Agreement to avoid medications given outside the study protocol,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::avoidmed
b4dinfo,BC-3 mothers delivery database FINAL,discard,,Could you obtain this information before delivery?,"0=No,
1=Yes",NA,,,,,BC-3 mothers delivery database FINAL::b4dinfo
balive1,BC-3 enrollment database FINAL,keep,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",NA,,,,,BC-3 enrollment database FINAL::balive1
balive2,BC-3 enrollment database FINAL,keep,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",NA,,,,,BC-3 enrollment database FINAL::balive2
balive3,BC-3 enrollment database FINAL,keep,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",NA,,,,,BC-3 enrollment database FINAL::balive3
balive4,BC-3 enrollment database FINAL,keep,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",NA,,,,,BC-3 enrollment database FINAL::balive4
balive5,BC-3 enrollment database FINAL,keep,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",NA,,,,,BC-3 enrollment database FINAL::balive5
balive6,BC-3 enrollment database FINAL,keep,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",NA,,,,,BC-3 enrollment database FINAL::balive6
balive7,BC-3 enrollment database FINAL,keep,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",NA,,,,,BC-3 enrollment database FINAL::balive7
bankacco,BC3_Household_Survey_Data,keep,,a bank account?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::bankacco
bankaccodich,BC3_Household_Survey_Data,discard,,Bank account?,"0=No, 1=Yes      ",NA,,,,,BC3_Household_Survey_Data::bankaccodich
bcord1,BC-3 mothers delivery database FINAL,keep,,Cord blood1,"0=Not collect, 
1=Collected
",NA,,,,,BC-3 mothers delivery database FINAL::bcord1
bcord2,BC-3 mothers delivery database FINAL,keep,,Cord blood2,"0=Not collect, 
1=Collected
",NA,,,,,BC-3 mothers delivery database FINAL::bcord2
bcord3,BC-3 mothers delivery database FINAL,discard,,Cord blood3,"0=Not collect, 
1=Collected
",NA,,,,All NA's,BC-3 mothers delivery database FINAL::bcord3
bed,BC3_Household_Survey_Data,keep,,bed?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::bed
bednet,BC-3 enrollment database FINAL,keep,,Do you have a bednet?,"0=No,
1=Yes,
9=Unknown",NA,,,,,BC-3 enrollment database FINAL::bednet
bednet,BC3_Household_Survey_Data,keep,,Did you have any bednet before enrollment,"0=no bednet, 1=untreated bednet, 2 bednet - treatment unknown, 3= ITN",NA,,,,,BC3_Household_Survey_Data::bednet
bicycle,BC3_Household_Survey_Data,keep,,a bicycle?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::bicycle
bicycledich,BC3_Household_Survey_Data,discard,,Bicycle?,"0=No, 1=Yes      ",NA,,,,,BC3_Household_Survey_Data::bicycledich
bioconsent,BC-3 enrollment database FINAL,discard,,Mother provided informed consent for use of biological specimens for her and her,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::bioconsent
bioconsent,BC-3 mothers all visits database FINAL,discard,,Mother provided informed consent for use of biological specimens for her and her,1=yes,NA,,,,,BC-3 mothers all visits database FINAL::bioconsent
bioconsent,BC-3 screening database FINAL,discard,,Mother provided informed consent for use of biological specimens for her and her child,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::bioconsent
birthweight,BC-3 mothers delivery database FINAL,discard,,Birthweight in gm,,NA,,,,DROP,BC-3 mothers delivery database FINAL::birthweight
birthweight,Individual level database FINAL,discard,,Birthweight in gm,,NA,,,,DROP,Individual level database FINAL::birthweight
birthwt1,BC-3 enrollment database FINAL,keep,,Birth wt (kg),,NA,,,,,BC-3 enrollment database FINAL::birthwt1
birthwt2,BC-3 enrollment database FINAL,keep,,Birth wt (kg),,NA,,,,,BC-3 enrollment database FINAL::birthwt2
birthwt3,BC-3 enrollment database FINAL,keep,,Birth wt (kg),,NA,,,,,BC-3 enrollment database FINAL::birthwt3
birthwt4,BC-3 enrollment database FINAL,keep,,Birth wt (kg),,NA,,,,,BC-3 enrollment database FINAL::birthwt4
birthwt5,BC-3 enrollment database FINAL,keep,,Birth wt (kg),,NA,,,,,BC-3 enrollment database FINAL::birthwt5
birthwt6,BC-3 enrollment database FINAL,keep,,Birth wt (kg),,NA,,,,,BC-3 enrollment database FINAL::birthwt6
birthwt7,BC-3 enrollment database FINAL,keep,,Birth wt (kg),,NA,,,,,BC-3 enrollment database FINAL::birthwt7
bldtrans,BC-3 enrollment database FINAL,keep,,Past blood transfusions,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::bldtrans
blood,BC-3 childs hospitalizations FINAL,keep,,Blood transfusion,"0=No,
1=Yes",NA,,,,,BC-3 childs hospitalizations FINAL::blood
bloodsmr,BC-3 enrollment database FINAL,discard,,Thick blood smear,"0=Not collected,
1=Done (not urgent),
2=Collected (urgent, malaria suspected)
",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::bloodsmr
bloodsmr,BC-3 mothers all visits database FINAL,keep,,Thick blood smear,"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",NA,,,,,BC-3 mothers all visits database FINAL::bloodsmr
bloodsmr,BC-3 childs all visit database FINAL,keep,,Thick blood smear,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",NA,,,,,BC-3 childs all visit database FINAL::bloodsmr
bloodsmr,BC-3 childs expanded database FINAL,discard,,Thick blood smear,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::bloodsmr
bp,BC-3 enrollment database FINAL,discard,,Blood Pressure (mm Hg),,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::bp
bp,BC-3 mothers all visits database FINAL,keep,Have Jay separate into systolic and diastolic (sbp and dbp) and load those instead,Blood pressure (mm Hg),,NA,,,,,BC-3 mothers all visits database FINAL::bp
bp,BC-3 childs all visit database FINAL,keep,,Blood pressure (mm Hg),,NA,,,,,BC-3 childs all visit database FINAL::bp
brand1,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net1.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand1
brand10,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net10.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand10
brand2,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net2.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand2
brand3,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net3.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand3
brand4,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net4.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand4
brand5,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net5.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand5
brand6,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net6.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand6
brand7,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net7.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand7
brand8,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net8.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand8
brand9,BC3_Household_Survey_Data,discard,,observe or ask the brand or type of mosquito net9.,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::brand9
bsdich,BC-3 enrollment database FINAL,discard,,Blood smear dichotomized,"0=Negative BS, 1=Positive Bs",NA,,,,DROP - Use expanded,BC-3 enrollment database FINAL::bsdich
bsdich,BC-3 mothers all visits database FINAL,discard,,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::bsdich
bsdich,BC-3 mothers expanded database FINAL,keep,,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",NA,,,,,BC-3 mothers expanded database FINAL::bsdich
bsdich,BC-3 childs expanded database FINAL,discard,,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::bsdich
bsdich,BC-3 childs all visit database FINAL,keep,,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",NA,,,,,BC-3 childs all visit database FINAL::bsdich
bsdichenroll,Individual level database FINAL,discard,,Parasite prevalence by microscopy at enrollment,"0,1",NA,,,,DROP - Use expanded,Individual level database FINAL::bsdichenroll
bsdichenroll,BC-3 childs expanded database FINAL,discard,,Parasite prevalence by microscopy at enrollment,"0=Negative, 1=positive",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::bsdichenroll
bsdichenroll,BC-3 children individual level database FINAL,discard,,Parasite prevalence by microscopy at enrollment,"0=Negative BS, 1=Positive Bs",NA,,,,DROP - Use expanded,BC-3 children individual level database FINAL::bsdichenroll
bweight,BC-3 childs expanded database FINAL,discard,,Birth weight,,NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::bweight
bweight,BC-3 children individual level database FINAL,keep,,Birth weight,,NA,,,,,BC-3 children individual level database FINAL::bweight
cabortions,BC-3 enrollment database FINAL,keep,,Abortion,,NA,,,,,BC-3 enrollment database FINAL::cabortions
calculatedgravidity,BC-3 enrollment database FINAL,discard,,Gravidity,,NA,,,,DROP - Use gravid from enrollment,BC-3 enrollment database FINAL::calculatedgravidity
campm,BC-3 mothers delivery database FINAL,discard,,AM/PM CRF,"0=AM,
1=PM",NA,,,,,BC-3 mothers delivery database FINAL::campm
canomaly1,BC-3 mothers delivery database FINAL,keep,,Any congenital anomaly noted,,NA,,,,,BC-3 mothers delivery database FINAL::canomaly1
canomaly2,BC-3 mothers delivery database FINAL,keep,,Any congenital anomaly noted,,NA,,,,,BC-3 mothers delivery database FINAL::canomaly2
caplacent,BC-3 mothers delivery database FINAL,discard,,Abruptio placenta,1=ticked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::caplacent
car,BC3_Household_Survey_Data,keep,,a car or truck?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::car
car1rdt,BC-3 mothers all visits database FINAL,keep,,Care Start RDT 1st reading,"0=Negative, 1=positive, 2=Invalid",NA,,,,,BC-3 mothers all visits database FINAL::car1rdt
car1rdt,BC-3 mothers expanded database FINAL,discard,,Care Start RDT 1st reading,"0=Negative,1=Positive P.f.,2=Invalid",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::car1rdt
car2rdt,BC-3 mothers all visits database FINAL,keep,,Care Start RDT 2nd reading,"0=Negative, 1=positive, 2=Invalid",NA,,,,,BC-3 mothers all visits database FINAL::car2rdt
car2rdt,BC-3 mothers expanded database FINAL,discard,,Care Start RDT 2nd reading,"0=Negative,1=Positive P.f.,2=Invalid",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::car2rdt
cardiac,BC-3 enrollment database FINAL,keep,,Cardiac disease,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::cardiac
cart,BC3_Household_Survey_Data,keep,,an animal-drawn cart?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::cart
cassette,BC3_Household_Survey_Data,keep,,cassette player?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::cassette
cbc,BC-3 enrollment database FINAL,discard,,CBC (purple top),"0=Not collected,
1=Collected
",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::cbc
cbc,BC-3 mothers all visits database FINAL,keep,,CBC (purple top),"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",NA,,,,,BC-3 mothers all visits database FINAL::cbc
cbc,BC-3 mothers delivery database FINAL,keep,,CBC/HIV (purple top),"0=Not collect, 
1=Collected
",NA,,,,,BC-3 mothers delivery database FINAL::cbc
cbc,BC-3 mothers expanded database FINAL,discard,,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::cbc
cbc,BC-3 childs all visit database FINAL,keep,,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",NA,,,,,BC-3 childs all visit database FINAL::cbc
cbc,BC-3 childs expanded database FINAL,discard,,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::cbc
cbld,BC-3 mothers delivery database FINAL,keep,,Cord blood ,,NA,,,,,BC-3 mothers delivery database FINAL::cbld
cbld2,BC-3 mothers delivery database FINAL,keep,,"Cord blood (placenta ""b"" if twins)",,NA,,,,,BC-3 mothers delivery database FINAL::cbld2
cblood,BC-3 mothers delivery database FINAL,keep,,Cord blood Hb level,,NA,,,,,BC-3 mothers delivery database FINAL::cblood
cblood2,BC-3 mothers delivery database FINAL,keep,,"Cord blood Hb level (placenta ""b"" if twins)",,NA,,,,,BC-3 mothers delivery database FINAL::cblood2
cbtrans,BC-3 mothers delivery database FINAL,keep,,Blood transfusion,1=ticked,NA,,,,,BC-3 mothers delivery database FINAL::cbtrans
ccpdispo,BC-3 mothers delivery database FINAL,discard,,Cephalopelvicdispoportion,1=ticked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ccpdispo
ceclam,BC-3 mothers delivery database FINAL,discard,,Eclampsia,1=ticked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ceclam
celective,BC-3 enrollment database FINAL,keep,,Elective,,NA,,,,,BC-3 enrollment database FINAL::celective
chair,BC3_Household_Survey_Data,keep,,chairs?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::chair
checked,BC-3 mothers expanded database FINAL,discard,,checked,1=Checked,NA,,,,,BC-3 mothers expanded database FINAL::checked
chemorr,BC-3 mothers delivery database FINAL,keep,,Hemorrhage,1=ticked,NA,,,,,BC-3 mothers delivery database FINAL::chemorr
chgbline,BC-3 mothers all visits database FINAL,discard,,QTc interval change from Day 0 to Day 2,,NA,,,,,BC-3 mothers all visits database FINAL::chgbline
chgbline,BC-3 mothers expanded database FINAL,discard,,QTc interval change from Day 0 to Day 2,,NA,,,,,BC-3 mothers expanded database FINAL::chgbline
chgblinew20,Individual level database FINAL,discard,,QTc interval change from Day 0 to Day 2,,NA,,,,,Individual level database FINAL::chgblinew20
chgblinew28,Individual level database FINAL,discard,,QTc interval change from Day 0 to Day 2,,NA,,,,,Individual level database FINAL::chgblinew28
chgblinew36,Individual level database FINAL,discard,,QTc interval change from Day 0 to Day 2,,NA,,,,,Individual level database FINAL::chgblinew36
chilldur,BC-3 enrollment database FINAL,discard,,Chill Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::chilldur
chilldur,BC-3 mothers all visits database FINAL,keep,,Chill Duration,,NA,,,,,BC-3 mothers all visits database FINAL::chilldur
chilldur,BC-3 childs all visit database FINAL,keep,,Chill Duration,,NA,,,,,BC-3 childs all visit database FINAL::chilldur
chillgrade,BC-3 enrollment database FINAL,discard,,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::chillgrade
chillgrade,BC-3 mothers all visits database FINAL,keep,,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::chillgrade
chillgrade,BC-3 childs all visit database FINAL,keep,,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::chillgrade
chillsae,Individual level database FINAL,discard,,(sum) chillsAE,"0,1,2",NA,,,,aggregate observation data,Individual level database FINAL::chillsae
