colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar
,,,mboat,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a boat with a motor?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,watch,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000186,Watch,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144, a watch?,"1=Yes, 2=No, -9=Skipped",value,,,,
,,,electric,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,does your household have electricity?,"1=Yes, 2=No, -9=Skipped",value,,,,
634,634,,peribs,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000537,"Plasmodium density (per uL blood), by microscopy",,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,peribs,,variable,,Peripheral blood smear result? Define. What type of data is this? Continuous,,peribs|BC-3 mothers all visits database FINAL
847,847,,peribs,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000537,"Plasmodium density (per uL blood), by microscopy",,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,Peripheral blood smear,,variable,,Peripheral blood smear result? Define. What type of data is this? Continuous,,peribs|BC-3 mothers delivery database FINAL
364,364,,exp1rdt,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0025133,"Plasmodium present, by RDT",,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,Experimental RDT 1st reading,"0=Negative,1=Positive P.f.,2=Invalid",variable,,,,exp1rdt|BC-3 mothers expanded database FINAL
,,,,,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,,,,,,,
821,821,,immuno,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0011797,Immunology sample collected,Immunology studies,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Immunology studies,"0=Not collect, 
1=Collected",variable,,,,immuno|BC-3 mothers delivery database FINAL
265,265,,syptest,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0011797,Syphillis sample collected,Was the syphilis test done or not,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Syphilis test,"0=Not collected,
1=Collected",variable,,Is this a blood sample?,,syptest|BC-3 enrollment database FINAL
818,818,,labtest,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0011810,Laboratory tests collected,were laboratory tests collected yes or no?,Observation,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Laboratory tests,"0=Not collect, 
1=Collected",variable,,,,labtest|BC-3 mothers delivery database FINAL
437,437,,bloodsmr,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Thick blood smear,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",variable,,,,bloodsmr|BC-3 childs expanded database FINAL
263,263,,bloodsmr,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,Thick blood smear collected,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Thick blood smear,"0=Not collected,
1=Done (not urgent),
2=Collected (urgent, malaria suspected)",variable,,,,bloodsmr|BC-3 enrollment database FINAL
569,569,,bloodsmr,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,Thick blood smear collected,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Thick blood smear,"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined",variable,,,,bloodsmr|BC-3 mothers all visits database FINAL
1150,1150,,bloodsmr,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Thick blood smear,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",variable,,,,bloodsmr|BC-3 childs all visit database FINAL
270,270,,plt,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EFO_0004309,Platelet result (/mm3),Platelets results,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Platelets,,variable,,,,plt|BC-3 enrollment database FINAL
834,834,,plt,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EFO_0004309,Platelet result (/mm3),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Platelets,,variable,,,,plt|BC-3 mothers delivery database FINAL
344,344,,plt,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EFO_0004309,Platelet result (/mm3),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,platelets,,variable,,,,plt|BC-3 mothers expanded database FINAL
1155,1155,,plt,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EFO_0004309,Platelet result (/mm3),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,platelets,,variable,,,,plt|BC-3 childs all visit database FINAL
440,440,,plt,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EFO_0004309,Platelet result (/mm3),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,platelets,,variable,,,,plt|BC-3 childs expanded database FINAL
850,850,,cblood,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Cord blood hemoglobin result,,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Cord blood Hb level,,variable,,,,cblood|BC-3 mothers delivery database FINAL
851,851,,cblood2,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,"Cord blood hemoglobin result, twin b",,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,"Cord blood Hb level (placenta ""b"" if twins)",,variable,,,,cblood2|BC-3 mothers delivery database FINAL
379,379,,anyhb,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Hemoglobin level (from CBC or hemocue),,variable,,,,anyhb|BC-3 mothers expanded database FINAL
443,443,,anyhb,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Hemoglobin level (from CBC or hemocue),,variable,,Confirm units,,anyhb|BC-3 childs expanded database FINAL
272,272,,hb,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),Hemoglobin results,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Hemoglobin,,variable,,,,hb|BC-3 enrollment database FINAL
578,578,,hb,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,hemoglobin result,,variable,,,,hb|BC-3 mothers all visits database FINAL
836,836,,hb,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Hemoglobin,,variable,,,,hb|BC-3 mothers delivery database FINAL
345,345,,hb,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,hemoglobin result,,variable,,,,hb|BC-3 mothers expanded database FINAL
441,441,,hb,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,hemoglobin result,,variable,,,,hb|BC-3 childs expanded database FINAL
1157,1157,,hb,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,hemoglobin result,,variable,,Define?,,hb|BC-3 childs all visit database FINAL
924,924,,HBenroll,Individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Hemoglobin g/dL at enrollment,,variable,,,,HBenroll|Individual level database FINAL
277,277,,hemocue,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Urgent hemoglobin (g/dL),specified the result for the urgent hemoglobin done,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Urgent Hb(hemocue),,variable,,,,hemocue|BC-3 enrollment database FINAL
347,347,,hemocue,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Urgent hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,hemocue,,variable,,,,hemocue|BC-3 mothers expanded database FINAL
442,442,,hemocue,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Urgent hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Urgent Hb,,variable,,,,hemocue|BC-3 childs expanded database FINAL
1167,1167,,hemocue,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Urgent hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Urgent Hb,,variable,,,,hemocue|BC-3 childs all visit database FINAL
445,445,,hb10,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0020209,Hemoglobin less than 10g/dL,,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Hb < 10 gm/dL,"0=No, 1=Yes",variable,,,,hb10|BC-3 childs expanded database FINAL
266,266,,wbc,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0024317,"White blood cell count, by microscopy",WBC results done,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,wbc,,variable,,,,wbc|BC-3 enrollment database FINAL
830,830,,wbc,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0024317,"White blood cell count, by microscopy",,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,WBC,,variable,,,,wbc|BC-3 mothers delivery database FINAL
342,342,,wbc,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0024317,"White blood cell count, by microscopy",,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,WBC result,,variable,,,,wbc|BC-3 mothers expanded database FINAL
1151,1151,,wbc,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0024317,"White blood cell count, by microscopy",,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,WBC result,,variable,,,,wbc|BC-3 childs all visit database FINAL
438,438,,wbc,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0024317,"White blood cell count, by microscopy",,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,WBC result,,variable,,was it by microscopy?,,wbc|BC-3 childs expanded database FINAL
1184,1184,,unbreast,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0020191,Unable to breastfeed or drink,,Observation,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254,Unable to breastfeed or drink,1=checked,variable,,,,unbreast|BC-3 childs all visit database FINAL
1212,1212,,deathd,BC-3 childs deaths FINAL,http://purl.obolibrary.org/obo/EUPATH_0000150,Death date,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,Date of death,date,variable,,,,deathd|BC-3 childs deaths FINAL
1067,1067,,mortality,BC-3 children individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000667,Deceased,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,(sum) mortality,,variable,,,,mortality|BC-3 children individual level database FINAL
1223,1223,,pdeath,BC-3 childs deaths FINAL,http://purl.obolibrary.org/obo/EUPATH_0010067,Place of death,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,Where did the subject die,"1=home,2=health center,3=private clinic,
4=hospital, 5=other,9=Unknown",variable,,,,pdeath|BC-3 childs deaths FINAL
1213,1213,,deathdx1,BC-3 childs deaths FINAL,http://purl.obolibrary.org/obo/EUPATH_0020001,Cause of death,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,1st cause of death,,variable,,Consider relabeling/IRI first cause of death,,deathdx1|BC-3 childs deaths FINAL
1214,1214,,deathdx2,BC-3 childs deaths FINAL,http://purl.obolibrary.org/obo/EUPATH_0020001,Cause of death,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,2st cause of death,,variable,,Consider relabeling/IRI 2nd cause of death,,deathdx2|BC-3 childs deaths FINAL
1215,1215,,deathdx3,BC-3 childs deaths FINAL,http://purl.obolibrary.org/obo/EUPATH_0020001,Cause of death,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,3st cause of death,,variable,,Consider relabeling/IRI third cause of death,,deathdx3|BC-3 childs deaths FINAL
1222,1222,,mdeath,BC-3 childs deaths FINAL,http://purl.obolibrary.org/obo/EUPATH_0020068,Death related to malaria,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,Was subjects death related to malaria,"0=No,
1=Definitely,
2=Probably,
3=Possibly,
9=unknown",variable,,,,mdeath|BC-3 childs deaths FINAL
893,893,,neonataldeath,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/HP_0003811,Neonatal death,,Observation,Delivery,http://purl.obolibrary.org/obo/EUPATH_0042001,Death of live infant by 28 days,"0,1",variable,,,,neonataldeath|BC-3 mothers delivery database FINAL
890,890,,congenitalmaldich,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/HP_0003826,Still birth,,Observation,Delivery,http://purl.obolibrary.org/obo/EUPATH_0042001,Whether stillbirth occurred dichotomized if not spontaneous abortion,"0=No,
1=Yes",variable,,,,congenitalmaldich|BC-3 mothers delivery database FINAL
892,892,,stillbirthdich,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/HP_0003826,Stillbirth,,Observation,Delivery,http://purl.obolibrary.org/obo/EUPATH_0042001,Whether stillbirth occurred dichotomized if not spontaneous abortion,"0=No,
1=Yes",variable,,,,stillbirthdich|BC-3 mothers delivery database FINAL
891,891,,spontab,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/HP_0005268,Spontaneous abortion,"Did the pregnancy result in an abortion <28 weeks gestation, if yes was it spontaneous?",Observation,Delivery complications,http://purl.obolibrary.org/obo/HP_0001787,Death of live infant by 28 days,"0,1",variable,,,,spontab|BC-3 mothers delivery database FINAL
794,794,,csdysto,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/HP_0011413,Shoulder dystocia,Shoulder dystocia,Observation,Delivery complications,http://purl.obolibrary.org/obo/HP_0001787,Shoulder dystocia,1=ticked,variable,,,,csdysto|BC-3 mothers delivery database FINAL
789,789,,ceclam,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/HP_0100601,Eclampsia,Eclampsia,Observation,Delivery complications,http://purl.obolibrary.org/obo/HP_0001787,Eclampsia,1=ticked,multifilter value,,,,ceclam|BC-3 mothers delivery database FINAL
788,788,,cpeclam,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/HP_0100602,Pre-eclampsia,Pre-eclampsia,Observation,Delivery complications,http://purl.obolibrary.org/obo/HP_0001787,Pre-eclampsia,1=ticked,variable,,,,cpeclam|BC-3 mothers delivery database FINAL
296,296,,dob,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EFO_0004950,Birth date,Date of Birth,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Date of Birth:,date,variable,,,,dob|BC-3 enrollment database FINAL
387,387,,dob,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EFO_0004950,Birth date,,Observation,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Date of birth,date,variable,,,,dob|BC-3 childs expanded database FINAL
1047,1047,,dob,BC-3 children individual level database FINAL,http://purl.obolibrary.org/obo/EFO_0004950,Birth date,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Date of birth,date,variable,,,,dob|BC-3 children individual level database FINAL
171,171,,educ,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,What is the participant's highest level of education,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Eduction Level,"0=None,
1=Primary,
2=Olevel,
3=A level,
4=Tertiary,
5=University",variable,,,,educ|BC-3 enrollment database FINAL
,,,educ,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Eduction Level,"0=none,1=Primary, 2=O level, 3= A level, 4= Tertiary, 5=University",variable,,,,
1221,1221,,othinfospe,BC-3 childs deaths FINAL,http://purl.obolibrary.org/obo/EUPATH_0000671,"Death information, specify",,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,information obtained as other specified,,variable,,,,othinfospe|BC-3 childs deaths FINAL
1216,1216,,autopsy,BC-3 childs deaths FINAL,http://purl.obolibrary.org/obo/EUPATH_0042032,Death information,How was the cause of death ascertained,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,information obtained as Autopsy report,1=checked,variable,,,,autopsy|BC-3 childs deaths FINAL
954,954,,gender,Individual level database FINAL,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Gender of child if singleton birth,"1=Male, 2=Female",variable,,,,gender|Individual level database FINAL
1048,1048,,gender,BC-3 children individual level database FINAL,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Gender,"1=Male, 2=Female",variable,,,,gender|BC-3 children individual level database FINAL
,,,,,,Death information,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,,,,,
781,781,,dod,BC-3 mothers delivery database FINAL,,Delivery date,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Delivery date,date,variable,,,,dod|BC-3 mothers delivery database FINAL
452,452,,incidentmalaria,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000036,Malaria-related diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Incident episode of malaria,"0=No, 1=Yes",variable,,,,incidentmalaria|BC-3 childs expanded database FINAL
