colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL
354,354,,BSdich::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000048,"Asexual Plasmodium parasites present, by microscopy ",Was the blood smear positive or negative,Sample,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",variable,,,
1173,1173,,BSdich::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000048,"Asexual Plasmodium parasites present, by microscopy ",,Sample,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",variable,,,
1035,1035,,BSdichenroll::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000048,"Asexual Plasmodium parasites present, by microscopy ",,Sample,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,Parasite prevalence by microscopy at enrollment,"0=Negative BS, 1=Positive Bs",variable,,"Asexual Plasmodium parasites present, by microscopy",
1050,1050,,bweight::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,,Birth weight (gm),,Observation,Anthropometry,,Birth weight,,variable,,,
877,877,,canomaly1::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Congenital anomaly ,,Observation,Delivery complications,,Any congenital anomaly noted,,variable,,,
881,881,,canomaly2::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Congenital anomaly ,,Observation,Delivery complications,,Any congenital anomaly noted,,variable,,,
793,793,,caplacent::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Abruptio placenta,Abruptio placenta,Observation,Delivery complications,,Abruptio placenta,1=ticked,variable,,,
362,362,,car1rdt::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,"Plasmodium present, by CareStart RDT",,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,Care Start RDT 1st reading,"0=Negative,1=Positive P.f.,2=Invalid",variable,,,
363,363,,car2rdt::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,"Plasmodium present, by CareStart RDT",,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,Care Start RDT 2nd reading,"0=Negative,1=Positive P.f.,2=Invalid",variable,,,
50,50,,cardiac::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Cardiac disease,Specified whether participant has cardiac disease,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Cardiac disease,"0 = No,
1=Yes",variable,,,
259,259,,cbc::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Complete blood count sample collected,Was the Complete cell blood count done,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,CBC (purple top),"0=Not collected,
1=Collected
",variable,,,
819,819,,cbc::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Complete blood count sample collected,CBC/HIV (purple top),Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,CBC/HIV (purple top),"0=Not collect, 
1=Collected
",variable,,,
337,337,,cbc::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,Complete blood count sample collected,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",variable,,,
434,434,,cbc::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,,Complete blood count sample collected,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",variable,,,
1147,1147,,cbc::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Complete blood count sample collected,,Observation,,,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",variable,,,
854,854,,cbld::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Cord blood collected,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Cord blood ,,variable,,How does this differ from bcord1?,
855,855,,cbld2::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,"Cord blood collected, twin b",,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,"Cord blood (placenta ""b"" if twins)",,variable,,,
850,850,,cblood::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Cord blood hemoglobin result,,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Cord blood Hb level,,variable,,,
851,851,,cblood2::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,"Cord blood hemoglobin result, twin b",,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,"Cord blood Hb level (placenta ""b"" if twins)",,variable,,,
797,797,,cbtrans::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Blood transfusion,Blood transfusion,Observation,Delivery complications,,Blood transfusion,1=ticked,multifilter value,,,
792,792,,ccpdispo::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Cephalopelvic dispoportion,Cephalopelvicdispoportion,Observation,Delivery complications,,Cephalopelvicdispoportion,1=ticked,multifilter value,,,
789,789,,ceclam::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Eclampsia,Eclampsia,Observation,Delivery complications,,Eclampsia,1=ticked,multifilter value,,,
307,307,,celective::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Elective abortions,how many delibarate abortions has the participant had .,Participant,Obstetric history,,Elective,,variable,,,
799,799,,chemorr::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Hemorrhage after C/S,Hemorrhage,Observation,Delivery complications,,Hemorrhage,1=ticked,multifilter value,,,
186,186,,chilldur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Chill duration (days),Chill Duration,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Chill Duration,,variable,,,
509,509,,chilldur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Chills duration (days),Chill Duration,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Chill Duration,,variable,,,
1098,1098,,chilldur::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Chills duration (days),Chill Duration,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Chill Duration,,variable,,,
185,185,,chillgrade::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Chills grade,Chill Grade,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
508,508,,chillgrade::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Chills grade,Chill Grade,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
1097,1097,,chillgrade::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Chills grade,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
1204,1204,,chosp::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010995,Hospitalized,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,was the child hospitalized today,"0=Not referred,
1=Referred",variable,,IRI?,
796,796,,cifetus::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,"Injury to fetus","Injury to fetus",Observation,Delivery complications,,"Injury to fetus",1=ticked,multifilter value,,Multifilter,
800,800,,clacera::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Laceration/episiotomy,Laceration/episiotomy,Observation,Delivery complications,,Laceration/episiotomy,1=ticked,variable,,Multifilter,
595,595,,cmal::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0020057,Cerebral malaria,,Observation,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184,IF complicated malaria what criteria: Cerebral malaria,1=checked,variable,,,
858,858,,cmal::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0020057,Cerebral malaria,,Observation,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184,IF complicated malaria what criteria: Cerebral malaria,1=checked,variable,,,
1186,1186,,cmal::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0020057,Cerebral malaria,,Observation,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184,Cerebral malaria,1=checked,variable,,IRI?,
798,798,,cmrplac::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Manual removal of placenta,Manual removal of placenta,Observation,Delivery complications,,Manual removal of placenta,1=ticked,variable,,Multifilter,
787,787,,cnone::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,No complications,None,Observation,Delivery complications,,None,1=ticked,variable,,Multifilter,
91,91,,comp11::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Birth complications,What 1st complication did the participant have in her first delivery,Participant,Obstetric history,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",variable,PPH - postpartum hemorrhage,,
894,894,,compositeFND::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Spontaneous abortion/Still birth/Neonatal death,,Observation,Delivery complications,,Whether SA/stillbirth/neonatal death occurred,"0,1",variable,,,
890,890,,congenitalmaldich::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Still birth,,Observation,Delivery,,Whether stillbirth occurred dichotomized if not spontaneous abortion,"0=No,
1=Yes",variable,,,
1219,1219,,contexpln::BC-3 childs deaths FINAL,BC-3 childs deaths FINAL,,Death information assessment,How was the cause of death ascertained,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,Contact report explanation,,variable,,,
75,75,,contractn::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Abdomical pain/contractions,Does the participant have abdominal pain/ contractions,Observation,Obstetric symptoms,,Abdominal pain/contractions,"0=Not present, 1=Present",variable,,,
495,495,,contractn::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Abdomical pain/contractions,Regular abdominal contractions,Observation,Obstetric symptoms,,Regular abdominal contractions,"0=Absent,
1=Present",variable,,,
1180,1180,,convul::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Convulsions,,Observation,,,1-2 convulsions over 24 hour period,1=checked,variable,,,
806,806,,cordcollect::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Cord blood collected,Were any cord blood specimens collected during delivery,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,Were any cord blood specimens collected,"0=No, 
1=Yes",variable,,,
808,808,,cordreas::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Reason cord blood not collected,"If no cord blood collected, give reason why",Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,"If no cord blood collected, Reason",,variable,,,
801,801,,cother1::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Delivery Complications,Other complications1,Observation,Delivery complications,,Other complications1,,variable,,,
802,802,,cother2::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Delivery Complications,Other complications2,Observation,Delivery complications,,Other complications2,,variable,,,
992,992,,coughAE::Individual level database FINAL,Individual level database FINAL,http://purl.obolibrary.org/obo/SYMP_0000614,Cough,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,(sum) coughAE,,variable,,What does sum mean? Please define.,
