colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
75,antibiotic_name,avenir population level data clinepi,,Antibiotic,The name of the antibiotic,Participant,Antibiotic administration,http://purl.obolibrary.org/obo/EUPATH_0011880,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,5,,,>10 unique values,13,0.919315858,,antibiotic_name,avenir population level data clinepi::antibiotic_name
64,health_facility,avenir population level data clinepi,,Health facility name,Health facility that you consulted for this child in the past 6 months ,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.657928983,,health_facility,avenir population level data clinepi::health_facility
68,health_facility_reason,avenir population level data clinepi,,Reason for health facility visit,Reason for health facility's visit,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,1 3,,,>10 unique values,81,0.822271798,,health_facility_reason,avenir population level data clinepi::health_facility_reason
65,health_facility_type,avenir population level data clinepi,,Facility type,Facility type,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 14,8,0.822271798,,health_facility_type,avenir population level data clinepi::health_facility_type
67,health_facility_num,avenir population level data clinepi,http://purl.obolibrary.org/obo/EUPATH_0021099,Visited other health facility,Other facility type: Specify a reason,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,0 to 10,10,0.822271798,,health_facility_num,avenir population level data clinepi::health_facility_num
69,health_facility_other,avenir population level data clinepi,,Other reason for health facility visit specified,Other reason for health facility's visit (Specify),Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,anemie,,,>10 unique values,60,0.963376092,,health_facility_other,avenir population level data clinepi::health_facility_other
66,health_facility_type_other,avenir population level data clinepi,,Number of visits to health facility,How many times you consulted health facility,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,a domicile,,,"CS, a domicile, a domocile, a la maison, domicile, traitement a domicile, NA",6,0.997583194,,health_facility_type_other,avenir population level data clinepi::health_facility_type_other
56,dietlist.eggs,avenir population level data clinepi,,Eggs,,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.eggs,avenir population level data clinepi::dietlist.eggs
61,dietlist.fortified,avenir population level data clinepi,,Fortified food,,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.672243912,,dietlist.fortified,avenir population level data clinepi::dietlist.fortified
58,dietlist.dairy,avenir population level data clinepi,,"Milk, yogurt, or other dairy product",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.672243912,,dietlist.dairy,avenir population level data clinepi::dietlist.dairy
57,dietlist.nuts,avenir population level data clinepi,,"Niebe, peas, lentils, peanuts, or other kinds of nuts",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.nuts,avenir population level data clinepi::dietlist.nuts
59,dietlist.fat,avenir population level data clinepi,,"Oil, fatty substances, coconut oil, coconut milk, butter, or other oily substances",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.fat,avenir population level data clinepi::dietlist.fat
60,dietlist.sugary_drinks,avenir population level data clinepi,,"Sugary water, tea, or other sweet drinks",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.672243912,,dietlist.sugary_drinks,avenir population level data clinepi::dietlist.sugary_drinks
55,dietlist.animal_protein,avenir population level data clinepi,,"Anaimal protein are meat, poultry, fish",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.animal_protein,avenir population level data clinepi::dietlist.animal_protein
53,dietlist.other_fruit,avenir population level data clinepi,,"Others like banana, guava, avocado and watermelon",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.other_fruit,avenir population level data clinepi::dietlist.other_fruit
52,dietlist.mango,avenir population level data clinepi,,Mangoes or papaya,,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.672243912,,dietlist.mango,avenir population level data clinepi::dietlist.mango
49,dietlist.grains,avenir population level data clinepi,,"Millet, rice, sorghum, corn, manioc",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.grains,avenir population level data clinepi::dietlist.grains
51,dietlist.green_leaves,avenir population level data clinepi,,Green leves are from sauce or green leaves based sauce,,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.green_leaves,avenir population level data clinepi::dietlist.green_leaves
54,dietlist.other_veg,avenir population level data clinepi,,"Others like tomatoes, onions, cucumber, zucchini",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.other_veg,avenir population level data clinepi::dietlist.other_veg
50,dietlist.orange_veg,avenir population level data clinepi,,"Squash, carrots, yellow or orange sweet potatoes  ",,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.672243912,,dietlist.orange_veg,avenir population level data clinepi::dietlist.orange_veg
62,dietlist.plumpy_supp,avenir population level data clinepi,,Eat supplementary food (plumpy soup),,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.672243912,,dietlist.plumpy_supp,avenir population level data clinepi::dietlist.plumpy_supp
63,dietlist.plumpy_nut,avenir population level data clinepi,,Eat therapeutic food (plumpy nut),,Participant,Contents of Diet,,,,value,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.672243912,,dietlist.plumpy_nut,avenir population level data clinepi::dietlist.plumpy_nut
9,agerange.reg,avenir population level data clinepi,,Age range ,The age range of the participant,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.000743633,,agerange.reg,avenir population level data clinepi::agerange.reg
12,form.childrenrepeat.childrengroup.ageinmonths,avenir census data clinepi,http://purl.obolibrary.org/obo/OBI_0001169,Age  ,Age of children who are between 1-59 months,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable,,,,,,,"avenir,baseline",months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,int,9,,,-12 to 144,91,0.249216511,,form.childrenRepeat.childrenGroup.ageinmonths,avenir census data clinepi::form.childrenrepeat.childrengroup.ageinmonths
11,form.childrenrepeat.childrengroup.childsex,avenir census data clinepi,http://purl.obolibrary.org/obo/PATO_0000047,Sex,Biological gender of children who are between 1-59 months,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 2,2,0.249216511,,form.childrenRepeat.childrenGroup.childSex,avenir census data clinepi::form.childrenrepeat.childrengroup.childsex
13,form.childrenrepeat.childrengroup.dobsource,avenir census data clinepi,http://purl.obolibrary.org/obo/EUPATH_0012417,Birth place,Birth place of children who are between 1-59 months,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,Avec le carnet de santé,,,"Avec le carnet de santé, Avec le certificat de naissance, Avec un autre document, Quelqu’un m’a dit la date, NA",4,0.255495578,,form.childrenRepeat.childrenGroup.dobSource,avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource
29,form.youthrepeat.youthgroup.youthsex,avenir census data clinepi,,Youth sex,The biological gender of older children who are between 7-14 years old,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 2,2,0.945105562,,form.youthRepeat.youthGroup.youthSex,avenir census data clinepi::form.youthrepeat.youthgroup.youthsex
,,,,Contents of diet,Content of diet- whether diet contains the following foods,Participant,Diet,http://purl.obolibrary.org/obo/EUPATH_0011732,,,multifilter,,,,,,,,,,,,,,,,,,,,,,,,,
14,animal_type,avenir household environment data clinepi,,Animals type,Select the animals:,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,Please select the animals:,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,3 4,,,>10 unique values,27,0.032307108,,animal_type,avenir household environment data clinepi::animal_type
15,animal_other,avenir household environment data clinepi,,Animal in household specified,Specify the other animal,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,Please specify the other animal,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,mouton,,,>10 unique values,12,0.651463322,,animal_other,avenir household environment data clinepi::animal_other
13,animalsyn,avenir household environment data clinepi,http://purl.obolibrary.org/obo/EUPATH_0000395,Livestock count,Animal possession on household level,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,Does the household have animals?,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0.000380084,,animalsyn,avenir household environment data clinepi::animalsyn
10,reasonnolatrine,avenir community environment data clinepi,,Reason not able to collect the sanitary installation sample,Reason not able to collect the sanitary installation sample,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,le village de latrine ils font leurs besoin a l air libre,,,>10 unique values,30,0.388059701,,reasonnolatrine,avenir community environment data clinepi::reasonnolatrine
17,treatment_frequency,avenir household environment data clinepi,,Treatements for animals count,Frequency of treatements for animals,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,How often are the animals given treatments?,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 6,6,0.957050551,,treatment_frequency,avenir household environment data clinepi::treatment_frequency
19,treatment_type,avenir household environment data clinepi,,Type of given treatments for animals ,Type of given treatments for animals ,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,What kind of treatments are given to the animals?,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,5,,,,10,0.957050551,,treatment_type,avenir household environment data clinepi::treatment_type
20,type_other,avenir household environment data clinepi,,Please specify the other treatments,Please specify the other treatments,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,Please specify the other treatment,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,vitamine,,,>10 unique values,19,0.977194983,,type_other,avenir household environment data clinepi::type_other
11,reasonnochicken,avenir household environment data clinepi,,Other reasons of not being able to collect chicken feces,Other reasons of not being able to collect chicken feces,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,What other reason were you not able to collect the chicken feces?,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,le menage be dispose pas de volaille,,,>10 unique values,15,0.985556823,,reasonnochicken,avenir household environment data clinepi::reasonnochicken
10,consent,avenir population level data clinepi,,Consent for examination,Whether consent to child's participation in the examination,Participant,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0.000743633,,consent,avenir population level data clinepi::consent
25,form.childrenrepeat.childrengroup.treatmentconsent,avenir census data clinepi,http://purl.obolibrary.org/obo/EUPATH_0049240,Consent for treatment,Whether the  guardian consents to treat,Participant,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,0 to 3,4,0.25455316,,form.childrenRepeat.childrenGroup.treatmentConsent,avenir census data clinepi::form.childrenrepeat.childrengroup.treatmentconsent
5,form.childpresent,avenir treatment data clinepi,http://purl.obolibrary.org/obo/EUPATH_0036142,Took child outside home,Whether children are at home,Participant,Family care indicators,http://purl.obolibrary.org/obo/EUPATH_0036005,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,0 to 1,2,0.000694083,,form.childPresent,avenir treatment data clinepi::form.childpresent
6,form.childreturnhome,avenir treatment data clinepi,,When child will return home,When child will return home,Participant,Family care indicators,http://purl.obolibrary.org/obo/EUPATH_0036005,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0.987656366,,form.childReturnHome,avenir treatment data clinepi::form.childreturnhome
47,breastfeeding,avenir population level data clinepi,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,Whether the child currently is being breastfed,Participant,Feeding,http://purl.obolibrary.org/obo/EUPATH_0000678,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 2,2,0.657928983,,breastfeeding,avenir population level data clinepi::breastfeeding
48,bf_exclusive,avenir population level data clinepi,,Breastfeeding exclusive,Whether the breastfeeding exclusive,Participant,Feeding,http://purl.obolibrary.org/obo/EUPATH_0000678,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0.885294664,,bf_exclusive,avenir population level data clinepi::bf_exclusive
70,hospitalized,avenir population level data clinepi,,Hospitalized in the last 6 months,Whether your child was hospitalized in the last 6 months,Participant,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 3,3,0.657928983,,hospitalized,avenir population level data clinepi::hospitalized
72,hospitalized_reason,avenir population level data clinepi,http://purl.obolibrary.org/obo/EUPATH_0022088,Hospitalization reason,The reason for hospitalization,Participant,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,1 3,,,>10 unique values,30,0.986986429,,hospitalized_reason,avenir population level data clinepi::hospitalized_reason
71,hospitalized_num,avenir population level data clinepi,,Hospitalized count,The total times that the child was hospitalized,Participant,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 4,4,0.986986429,,hospitalized_num,avenir population level data clinepi::hospitalized_num
73,hospitalized_other,avenir population level data clinepi,,Hospitalization specified,Other reason for child's hospitalization (Specify),Participant,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,anemie,,,>10 unique values,12,0.995352296,,hospitalized_other,avenir population level data clinepi::hospitalized_other
16,treatmentyn,avenir household environment data clinepi,,Wheter the animals are given treatements,Wheter the animals are given treatements,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,Are the animals given treatments?,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 2,2,0.032307108,,treatmentyn,avenir household environment data clinepi::treatmentyn
12,reasonnochicken_mc,avenir household environment data clinepi,,Reason of not being able to collect chicken feces,Reason of not being able to collect chicken feces,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,Why were you not able to collect the chicken feces?,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 1,1,0.96845306,,reasonnochicken_mc,avenir household environment data clinepi::reasonnochicken_mc
18,frequency_other,avenir household environment data clinepi,,Specify frequency of treatemeats for animals,Specify frequency of treatemeats for animals,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,Please specify how often the animals are given treatments,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,mouton,,,,10,0.99581908,,frequency_other,avenir household environment data clinepi::frequency_other
7,form.hhconsent,avenir census data clinepi,http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,Whether household agree to participate ,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,0 to 1,2,0,,form.hhConsent,avenir census data clinepi::form.hhconsent
8,form.hhreasonrefused,avenir census data clinepi,,The reason that household refused to participate,The reason that household refused to participate,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0.999983271,,form.hhReasonRefused,avenir census data clinepi::form.hhreasonrefused
7,villagewateryn,avenir household environment data clinepi,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Household using the village's water source,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,Is the household using the village's water source?,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0.000380084,,villagewateryn,avenir household environment data clinepi::villagewateryn
16,vaccinationlist.nocard_dpt,avenir population level data clinepi,,DTP (DTCOQ) vaccination,Whehter have DTP (DTCOQ) vaccination,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.807585053,,vaccinationlist.nocard_dpt,avenir population level data clinepi::vaccinationlist.nocard_dpt
18,vaccinationlist.nocard_measles,avenir population level data clinepi,http://purl.obolibrary.org/obo/EUPATH_0036117,Measles vaccine,Whehter have measles vaccination,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.807585053,,vaccinationlist.nocard_measles,avenir population level data clinepi::vaccinationlist.nocard_measles
20,vaccinationlist.nocard_pneumo,avenir population level data clinepi,,PCV (Pneumococcal conjugate vaccine) vaccination,Whehter have PCV (Pneumococcal conjugate vaccine) vaccination,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.807585053,,vaccinationlist.nocard_pneumo,avenir population level data clinepi::vaccinationlist.nocard_pneumo
22,vaccinationlist.nocard_rota,avenir population level data clinepi,http://purl.obolibrary.org/obo/EUPATH_0031266,Rotavirus vaccine,Whehter have rotavirus vaccination,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.807585053,,vaccinationlist.nocard_rota,avenir population level data clinepi::vaccinationlist.nocard_rota
11,vaccinationlist.nocard_bcg,avenir population level data clinepi,http://purl.obolibrary.org/obo/EUPATH_0036100,Bacille Calmette-Guerin (BCG) vaccine,Whether have BCG marker on arm,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.807585053,,vaccinationlist.nocard_bcg,avenir population level data clinepi::vaccinationlist.nocard_bcg
12,vaccinationlist.nocard_hepb,avenir population level data clinepi,,Hepatitis B vaccination,Whether have hepatitis B vaccination,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.807585053,,vaccinationlist.nocard_hepB,avenir population level data clinepi::vaccinationlist.nocard_hepb
14,vaccinationlist.nocard_polio,avenir population level data clinepi,,Polio vaccination,Whether have polio vaccination,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.807585053,,vaccinationlist.nocard_polio,avenir population level data clinepi::vaccinationlist.nocard_polio
24,nocard_vitamina,avenir population level data clinepi,,Vitamin A dose in last 6 months,"Within the last 6 months, the child received a Vitamin A dose",Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.807585053,,nocard_vitaminA,avenir population level data clinepi::nocard_vitamina
15,vaccinationlist.nocard_polionum,avenir population level data clinepi,,Polio vaccination received count,The times of polio vaccination received,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,4,,,1 to 103,17,0.814463655,,vaccinationlist.nocard_polionum,avenir population level data clinepi::vaccinationlist.nocard_polionum
17,vaccinationlist.nocard_dptnum,avenir population level data clinepi,,DTP (DTCOQ) vaccinations received count,The times of DTP (DTCOQ) vaccinations received,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 9,6,0.817624094,,vaccinationlist.nocard_dptnum,avenir population level data clinepi::vaccinationlist.nocard_dptnum
21,vaccinationlist.nocard_pneumonum,avenir population level data clinepi,,PCV (Pneumococcal conjugate vaccine) vaccination received count,The times of PCV (Pneumococcal conjugate vaccine) vaccination received,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 3,3,0.817810002,,vaccinationlist.nocard_pneumonum,avenir population level data clinepi::vaccinationlist.nocard_pneumonum
23,vaccinationlist.nocard_rotanum,avenir population level data clinepi,,Rotavirus vaccination received count,The times of rotavirus vaccination received,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.820226808,,vaccinationlist.nocard_rotanum,avenir population level data clinepi::vaccinationlist.nocard_rotanum
13,vaccinationlist.nocard_hepbnum,avenir population level data clinepi,,Hepatitis B vaccination received count,The times of hepatitis B vaccination received,Participant,Immunization and prevention,http://purl.obolibrary.org/obo/EUPATH_0010947,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 3,3,0.821714073,,vaccinationlist.nocard_hepBnum,avenir population level data clinepi::vaccinationlist.nocard_hepbnum
