# version-2
variable	values	mappedTerm	valueOrder
avenir census and treatment data clinepi round 3 - updated::dobsource	1	Father	
avenir census and treatment data clinepi round 3 - updated::dobsource	2	Mother	
avenir census and treatment data clinepi round 3 - updated::dobsource	3	Neighbor	
avenir census and treatment data clinepi round 3 - updated::dobsource	4	Others	
avenir census and treatment data clinepi round 3 - updated::dobsource	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	Acte de naissance	Birth certificate	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	Carte de distribution	Distribution map	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	acte de naissance	Birth certificate	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	cahier	Notebook	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	cahier de prise en charge nutritionnel	Nutritional support book	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	carne de vaccination	Vaccination card	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	carnet de son frere jumaux	Notebook of his twin brother	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	carnet de vaccination	Vaccination record	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	carnet du nigeria	Nigeria notebook	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	carte CPS	SPC card	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	carte de distribution	Distribution card	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	carte de vaccination	Vaccination card	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	certificat de demande d asile du chr	Chr asylum application certificate	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	certificat de vaccination camerounais	Cameroonian vaccination certificate	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	extrai de naissance	Birth certificate	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	extrait de naissance	Birth act	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	extrat de naissance	Birth certificate	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	fiche de consultation	Consultation sheet	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	fiche de suivi pev	Pep follow-up sheet	
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc	fiche de vaccinations	Vaccination record	
avenir census and treatment data clinepi round 3 - updated::dobsourcewho	1	Father	
avenir census and treatment data clinepi round 3 - updated::dobsourcewho	2	Mother	
avenir census and treatment data clinepi round 3 - updated::dobsourcewho	3	Neighbor	
avenir census and treatment data clinepi round 3 - updated::dobsourcewho	99	Others	
avenir census and treatment data clinepi round 3 - updated::dobsourcewho	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::dobsourcewhoother	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	b	B	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	c	C	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	f	F	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	g	G	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	k	K	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	m	M	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	q	Q	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	s	S	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	t	T	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	v	V	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	x	X	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11	y	Y	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	A	A	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	D	D	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	E	E	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	H	H	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	J	J	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	L	L	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	N	N	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	P	P	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	R	R	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	U	U	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	W	W	
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59	Z	Z	
avenir census and treatment data clinepi round 3 - updated::form.hohsex	1	Male	
avenir census and treatment data clinepi round 3 - updated::form.hohsex	2	Female	
avenir census and treatment data clinepi round 3 - updated::form.hohsex	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::form.hohage	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::treatmentconsent	0	No	
avenir census and treatment data clinepi round 3 - updated::treatmentconsent	1	Yes	
avenir census and treatment data clinepi round 3 - updated::treatmentconsent	2	AMR grappe	
avenir census and treatment data clinepi round 3 - updated::treatmentconsent	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::notreatreason	2	Parent refusal	
avenir census and treatment data clinepi round 3 - updated::notreatreason	99	Other reason	
avenir census and treatment data clinepi round 3 - updated::notreatreason	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::notreatreasonother	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::notreatreasonother	absence	Absence	
avenir census and treatment data clinepi round 3 - updated::notreatreasonother	decede	Decede	
avenir census and treatment data clinepi round 3 - updated::notreatreasonother	il est absent	Absence	
avenir census and treatment data clinepi round 3 - updated::notreatreasonother	les parents sont en exode	Parents are on the move	
avenir census and treatment data clinepi round 3 - updated::notreatreasonother	retourne chef ses parents	Return chief to his parents	
avenir census and treatment data clinepi round 3 - updated::vital_status_child	0	Dead	
avenir census and treatment data clinepi round 3 - updated::vital_status_child	1	"Alive, slept in HH last night"	
avenir census and treatment data clinepi round 3 - updated::vital_status_child	2	Alive but temporary absent	
avenir census and treatment data clinepi round 3 - updated::vital_status_child	3	Moved within the community	
avenir census and treatment data clinepi round 3 - updated::vital_status_child	4	Moved outside the community	
avenir census and treatment data clinepi round 3 - updated::vital_status_child	99	Unknown	
avenir census and treatment data clinepi round 3 - updated::vital_status_child	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::form.childpresent	0	No	
avenir census and treatment data clinepi round 3 - updated::form.childpresent	1	Yes	
avenir census and treatment data clinepi round 3 - updated::form.childpresent	2	Others	
avenir census and treatment data clinepi round 3 - updated::form.childpresent	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::form.childreturnhome	1	Less than a week	
avenir census and treatment data clinepi round 3 - updated::form.childreturnhome	2	More than a week	
avenir census and treatment data clinepi round 3 - updated::form.childreturnhome	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::form.weight	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::form.isadministered	0	No	
avenir census and treatment data clinepi round 3 - updated::form.isadministered	1	Yes	
avenir census and treatment data clinepi round 3 - updated::form.isadministered	NA	:::UNDEF:::	
avenir census and treatment data clinepi round 3 - updated::form.notreatreason	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::round	1	Round 1	
avenir population level data clinepi round 1 - updated::round	1	Round 1	
avenir population level data clinepi round 1 - updated::agerange.reg	1	1-59 months (yellow)	
avenir population level data clinepi round 1 - updated::agerange.reg	2	7-12 years (pink)	
avenir population level data clinepi round 1 - updated::agerange.reg	3	Mom/Guardian (blue)	
avenir population level data clinepi round 1 - updated::agerange.reg	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::consent	1	Yes	
avenir population level data clinepi round 1 - updated::consent	2	No	
avenir population level data clinepi round 1 - updated::consent	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::breastfeeding	1	Yes	
avenir population level data clinepi round 1 - updated::breastfeeding	2	No	
avenir population level data clinepi round 1 - updated::breastfeeding	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::bf_exclusive	1	Yes	
avenir population level data clinepi round 1 - updated::bf_exclusive	2	No	
avenir population level data clinepi round 1 - updated::bf_exclusive	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.grains	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.grains	2	No	
avenir population level data clinepi round 1 - updated::dietlist.grains	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.grains	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.orange_veg	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.orange_veg	2	No	
avenir population level data clinepi round 1 - updated::dietlist.orange_veg	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.orange_veg	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.green_leaves	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.green_leaves	2	No	
avenir population level data clinepi round 1 - updated::dietlist.green_leaves	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.green_leaves	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.mango	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.mango	2	No	
avenir population level data clinepi round 1 - updated::dietlist.mango	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.mango	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.other_fruit	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.other_fruit	2	No	
avenir population level data clinepi round 1 - updated::dietlist.other_fruit	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.other_fruit	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.other_veg	1	Yes	
avenir population level data clinepi round 1 - updated::dietlist.other_veg	2	No	
avenir population level data clinepi round 1 - updated::dietlist.other_veg	3	Don't Know	
avenir population level data clinepi round 1 - updated::dietlist.other_veg	NA	:::UNDEF:::	
avenir population level data clinepi round 1 - updated::dietlist.animal_protein	1	Yes	
