URI	http://purl.obolibrary.org/obo/IAO_0000115
http://purl.obolibrary.org/obo/EUPATH_0000033	A genotype information which is about the presence of certain genetic variants of glucose-6-phosphate dehydrogenase. 
http://purl.obolibrary.org/obo/EUPATH_0000035	A genotype information which is about the presence of sickle-cell hemoglobin (HbS), an abnormal form of hemoglobin which is the oxygen-carrying protein within the red blood cells.
http://purl.obolibrary.org/obo/EUPATH_0000054	A geographical location which is part of Uganda.
http://purl.obolibrary.org/obo/EUPATH_0000030	A length measurement datum of the distance in kilometers to the nearest health facility.
http://purl.obolibrary.org/obo/EUPATH_0000099	A material entity in a dwelling that is designed, built, installed, selected, etc., to serve a specific function affording a convenience or service to people who are living in the dwelling.
http://purl.obolibrary.org/obo/EUPATH_0000006	A material entity of floor.
http://purl.obolibrary.org/obo/EUPATH_0000024	A material entity that consists of an energy source for lighting.
http://purl.obolibrary.org/obo/EUPATH_0000023	A material entity that consists of fuel mainly used for cooking.
http://purl.obolibrary.org/obo/EUPATH_0000001	A material entity used to build a dwelling or part of a dwelling.
http://purl.obolibrary.org/obo/EUPATH_0000053	A material entity which is part of a dwelling for providing fresh air to the dwelling.
http://purl.obolibrary.org/obo/EUPATH_0000049	A planned process in which a patient is seen by a medical practitioner.
http://purl.obolibrary.org/obo/EUPATH_0000015	A processed material that is the bottom edge of a roof.  The primary function of the eaves is to keep rain water off the walls and to prevent the ingress of water at the junction where the roof meets the wall.  The secondary function is to control solar penetration; the eaves overhang can be designed to adjust the building's solar heat gain to suit the local climate, the latitude and orientation of the building, refer to passive solar building design. The eaves overhang may also shelter openings to ventilate the roof space.
http://purl.obolibrary.org/obo/EUPATH_0000047	A scalar measurement datum about the level of hemoglobin in the blood with a value in units of g/dl.
http://purl.obolibrary.org/obo/EUPATH_0000014	A scalar measurement datum of a household's cumulative living standard. The wealth index is calculated using easy-to-collect data on a household’s ownership of selected assets, such as televisions and bicycles; materials used for housing construction; and types of water access and sanitation facilities.
http://purl.obolibrary.org/obo/EUPATH_0000019	A scalar measurement datum of people in a household.
http://purl.obolibrary.org/obo/EUPATH_0000092	A scalar measurement datum that is about parasite density in count per ul.
http://purl.obolibrary.org/obo/EUPATH_0000102	A scalar measurement datum that is about temperature.
http://purl.obolibrary.org/obo/EUPATH_0000002	A self-contained 'substantial' unit of accommodation, such as a building, part of a building, caravan, houseboat or other mobile home. A tent is not normally considered to be substantial.
http://purl.obolibrary.org/obo/EUPATH_0000094	A symbol that denotes a specific household.
http://purl.obolibrary.org/obo/EUPATH_0000095	A symbol that denotes a specific human participant under investigation.
http://purl.obolibrary.org/obo/EUPATH_0000046	A symptom or sign that is used for the diagnosis of severe malaria based on World Health Organization criteria.
http://purl.obolibrary.org/obo/EUPATH_0000091	A time measurement datum that specifies the date of a clinical visit.
http://purl.obolibrary.org/obo/EUPATH_0000093	An information content entity about dwelling.
http://purl.obolibrary.org/obo/EUPATH_0000087	An information content entity is about household.
http://purl.obolibrary.org/obo/EUPATH_0000022	An information content entity to indicate whether a household has electricity.
http://purl.obolibrary.org/obo/EUPATH_0000097	elevated temperature or subjective fever
http://purl.obolibrary.org/obo/EUPATH_0000029	how often problems satisfying food needs
http://purl.obolibrary.org/obo/EUPATH_0000026	land area measured in acres: a scalar measurement datum of land measured in acres that may be of a particular type such as land owned. 
http://purl.obolibrary.org/obo/EUPATH_0000028	number of days eating meat in the last week
http://purl.obolibrary.org/obo/EUPATH_0000031	number of female anopheles mosquitoes that may be of a particular type such as those collected in a household in a given night
http://purl.obolibrary.org/obo/EUPATH_0000025	number of rooms in a dwelling that may be of a particular type such as used for sleeping.
http://purl.obolibrary.org/obo/EUPATH_0000100	The temporary increase in the body's temperature in response to some disease or illness.
http://purl.obolibrary.org/obo/EUPATH_0000027	usual number of meals per day
