ontology IRI	Label	Term parent IRI	Term parent	Data Dictionary ID	Data Dictionary label (es)	Term Type	Amazonia Preferred Label (es)	Data Dictionary label (en)	form	file_name_in_box.net	table	quest_num_in forms	values	time_of_collection	JZ comments
http://purl.obolibrary.org/obo/ICEMR_0102013	Occuaption type	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100013	trabaj	variable	Tipo de trabajo	Type of occuaption	F1	censo_exel_proy1.xlsx	Labor	32	"categorical, 1-6"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102014	Pay period (Primary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100014	Frepagp	variable	Frecuencia de pago	Pay period (primary activity)	F1	censo_exel_proy1.xlsx	Labor	40	"categorical, 1-5/99=NA"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102015	Pay period (Secondary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100015	Frepagl	variable	Frecuencia de pago del otro trabajo	Pay period (Other job)	F1	censo_exel_proy1.xlsx	Labor	48	"categorical, 1-5/99=NA"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102016	Received payment (Primary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100016	Recpagp	variable	Recibe un pago por su actividad principal	Received payment (primary activity)	F1	censo_exel_proy1.xlsx	Labor	38	"categorical, 1-2/99=NA"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102017	Received payment (Secondary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100017	Recpagl	variable	Recibe un pago por el otro trabajo	Received payment (Other job)	F1	censo_exel_proy1.xlsx	Labor	46	"categorical, 1-2/99=NA"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102018	Salary in soles (Primary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100018	Cantip	variable	Ingresos en soles	Salary in soles (primary activity)	F1	censo_exel_proy1.xlsx	Labor	39	numerical/99=NA	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102019	Salary in soles (Secondary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100019	Cantil	variable	Cantidad en soles del otro trabajo	Salary in soles (Other job)	F1	censo_exel_proy1.xlsx	Labor	47	numerical/99=NA	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102020	Work Hours/Day (Primary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100020	Hordiap	variable	Horas por dia de trabajo	Number of hours per day at job	F1	censo_exel_proy1.xlsx	Labor	36	numerical/99=NA	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102021	Work Hours/Day (Secondary)	http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	AMAZONIA_0100021	Hordial	variable	Horas por dia de otro trabajo	Number of hours per day at other job	F1	censo_exel_proy1.xlsx	Labor	44	numerical/99=NA	only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000023	Cooking fuel	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	AMAZONIA_0100022	combus	variable	Combustible para cocinar	Cooking fuel	F1	censo_exel_proy1.xlsx	House	63	"categorical, 1-5"	only at enrollment	
http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	AMAZONIA_0100023	fueagu	variable	Fuente de agua	Drinking water source	F1	censo_exel_proy1.xlsx	House	56	"categorical, 1-10"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102024	Garbage disposal	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	AMAZONIA_0100024	basu	variable	Eliminación de basura	Garbage disposal	F1	censo_exel_proy1.xlsx	House	62	"categorical, 1-6"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0100003	Human waste disposal	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	AMAZONIA_0100025	excre	variable	Eliminación de excretas	Excreta disposal	F1	censo_exel_proy1.xlsx	House	64	"categorical, 1-7"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102026	Community	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	AMAZONIA_0100026	Codmunidad	variable	Comunidad	Community	F1	censo_exel_proy1.xlsx	House location	3.1	"text encoded, categorical"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102027	Study location	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	AMAZONIA_0100027	areest	variable	Area del estudio	Study location	F1	censo_exel_proy1.xlsx	House location	1	"categorical, 1-2"	only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000048	Asexual parasites present	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	AMAZONIA_0100028	19_FROTIS	variable	Frotis	Thick Smear result	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	19	"categorical,N/F/V/M"	each visit	
http://purl.obolibrary.org/obo/ICEMR_0102029	Malaria Medication (First Line)	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	AMAZONIA_0100029	21_1_Medicamento	variable	Tomo Medicamento	Malaria Medication (First Line)	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	21.2	"categorical,C/P/A/M/Q/L"	each visit	
http://purl.obolibrary.org/obo/ICEMR_0102030	Malaria Medication (Second Line)	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	AMAZONIA_0100030	21_1_Medicamento	variable	Tomo Medicamento	Malaria Medication (Second Line)	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	21.3	"categorical,C/P/A/M/Q/L"	each visit	
http://purl.obolibrary.org/obo/ICEMR_0102031	Malaria Medication?	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	AMAZONIA_0100031	21_1_Medicamento	variable	Tomo Medicamento	Malaria Medication (Yes/No)	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	21.1	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/EUPATH_0000120	Age at time of enrollment	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100032	edad	variable	Edad	Age at time of enrollment	F1	censo_exel_proy1.xlsx	Population	16		only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000032	Date of Birth	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100033	fec_naci	variable	Fecha de Nacimiento	Date of Birth	F1	censo_exel_proy1.xlsx	Population	15		only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0101056	Education level	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100034	Instruc	variable	Grado de instrucción	Educational level	F1	censo_exel_proy1.xlsx	Population	22.1		only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000151	Enrollment date	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100035	fecha	variable	Fecha de entrevista	Enrollment date	F1	censo_exel_proy1.xlsx	House location	2		only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102036	Marital status	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100036	EstCiv	variable	Estado civil	Marital status	F1	censo_exel_proy1.xlsx	Population	18		only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102037	Plan to move	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100037	mud	variable	Piensa mudarse	Plan to move	F1	censo_exel_proy1.xlsx	Population	22.2		only at enrollment	
http://purl.obolibrary.org/obo/UBERON_0009097	Pregnant	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100038	gestante	variable	Gestante	Pregnant	F1	censo_exel_proy1.xlsx	Population	17.2		only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102039	Family head relationship	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100039	RelJeFam	variable	Relacion con el Jefe de Familia	Relationship to head of Family	F1	censo_exel_proy1.xlsx	Population	21		only at enrollment	
http://purl.obolibrary.org/obo/PATO_0000047	Sex	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100040	sexo	variable	Sexo	Sex	F1	censo_exel_proy1.xlsx	Population	17.1	"categorical, 1-2"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102041	Time living in the dwelling (year)	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100041	TieHog	variable	Tiempo en el hogar	Time living in the dwelling (in years)	F1	censo_exel_proy1.xlsx	Population	20		only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102042	Time living in the community (year)	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0100042	TieCom	variable	Tiempo en la comunidad	Time living in the community (in years)	F1	censo_exel_proy1.xlsx	Population	19	numerical	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102043	# Common Areas	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100043	cuacom	variable	Números de cuartos comunes	Number of common areas	F1	censo_exel_proy1.xlsx	House	52	numerical	only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000201	# sleeping places	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100044	numcam	variable	Numero de camas en la vivienda	Number of beds in household	F1	censo_exel_proy1.xlsx	House	65	numerical	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102045	Covered Area (m2)	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100045	areate	variable	Area techada	Covered Area (m2)	F1	censo_exel_proy1.xlsx	House	50	numerical	only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000006	Floor material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100046	Piso	variable	Mateial de Piso	Floor material	F1	censo_exel_proy1.xlsx	House	60	"categorical, 1-7"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102047	Location of kitchen	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100047	coci	variable	Lugar de la Cocina	Location of kitchen	F1	censo_exel_proy1.xlsx	House	53	"categorical, 1-2"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102048	# bedrooms	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100048	cuardor	variable	Números de cuartos usados solo para dormir	Number of sleeping places	F1	censo_exel_proy1.xlsx	House	51	numerical	only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100049	techo	variable	Material de Techo	Roof material	F1	censo_exel_proy1.xlsx	House	59	"categorical, 1-4"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102050	Total Area (m2)	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100050	area	variable	Area total	Total Area (m2)	F1	censo_exel_proy1.xlsx	House	49	numerical	only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000009	Wall material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	AMAZONIA_0100051	"pared_ext,pared_int"	variable	Material de Paredes	Wall material	F1	censo_exel_proy1.xlsx	House	58	"categorical, 1-10"	only at enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000110	Temperature	http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	AMAZONIA_0100052	temperatura	variable	Temperatura	Temperature at visit	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	tbltemperatura	17	numeric	each visit	
http://purl.obolibrary.org/obo/EUPATH_0000144	Assets	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	AMAZONIA_0100053	Posesiones	variable	Posesiones	Assets	F1	censo_exel_proy1.xlsx	House	70	"categorical, 1-2"	only at enrollment	"values are silla,sillon,telefono,camas,armarios,roperos,mesa,refrigeradora,congeladora,licuadora,cocelec,cocgas,cockero,coccar,radio,TV_BN,TV_COL,DVD,Min, they might be used as column names"
http://purl.obolibrary.org/obo/ICEMR_0102054	Rent or own?	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	AMAZONIA_0100054	tencas	variable	Tipo de vivienda	Type of housing	F1	censo_exel_proy1.xlsx	House	57	"categorical, 1-5"	only at enrollment	
http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100055	7_Dolor abdominal	variable	Dolor abdominal	Abdominal pain	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	7	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/SYMP_0000523	Anorexia	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100056	12_Anorexia	variable	Anorexia	Anorexia	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	12	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/HP_0003418	Back pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100057	8_Dolor de espalda	variable	Dolor de espalda	Back pain	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	8	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/SYMP_0019174	Chills	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100058	5_Escalofrios	variable	Esccalofrios	Chill	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	5	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/SYMP_0000614	Cough	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100059	15_Tos	variable	tos	Cough	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	15	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/DOID_13250	Diarrhea	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100060	14_Diarrea	variable	Diarrea	Diarrhea	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	14	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/SYMP_0000610	Dizziness	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100061	13_Mareos	variable	Mareos	Dizziness/vertigo	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	13	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/EUPATH_0000100	Fever (subjective)	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100062	4_Fiebre 	variable	Fiebre	Fever (subjective)	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	4	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/HP_0002315	Headache	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100063	6_Dolor de cabeza	variable	Dolor de cabeza	Headache	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	6	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/HP_0002018	Nausea	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100064	10_Nauseas	variable	Nauseas	Nausea	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	10	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/SYMP_0000487	Rash	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100065	9_Rash/Erupción	variable	Rash/Erupcion	Rash/eruption	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	9	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/HP_0002013	Vomiting	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	AMAZONIA_0100066	11_Vomitos	variable	Vómitos	Vomiting	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	11	"categorical, 1-2/-1=no data"	each visit	
http://purl.obolibrary.org/obo/ICEMR_0102067	Days of Travel	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	AMAZONIA_0100067	Duracion de cada viaje en días	variable	Duracion de cada viaje en días	Days of travel	F1	censo_exel_proy1.xlsx	Malaria	29	numerical	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102068	Travel by ship	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	AMAZONIA_0100068	Río por el cual navegó en cada viaje	variable	Río por el cual navegó en cada viaje	Rivers navigated during the trip	F1	censo_exel_proy1.xlsx	Malaria	30	text	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102069	Travel destination	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	AMAZONIA_0100069	Lugar o comunidad visitada en cada viaje	variable	Lugar o comunidad visitada en cada viaje	Place or community visited during the trip	F1	censo_exel_proy1.xlsx	Malaria	31	text	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102070	Travel in the last month	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	AMAZONIA_0100070	Viaultimes	variable	Viaje en el último mes (más de 10km de la comunidad)	Travel in the last month (more than 10 km away from the community)	F1	censo_exel_proy1.xlsx	Malaria	28	numerical	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102071	Travel before malaria	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	AMAZONIA_0100071	Antes de enfermear de malaria viajó	variable	Antes de enfermear de malaria viajó	Travel before malaria	F1	censo_exel_proy1.xlsx	Malaria	27	categorical	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102072	Bednet material	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	AMAZONIA_0100072	matmos	variable	Principal material mosquitero	Bed Net Material	F1	censo_exel_proy1.xlsx	House	67	"categorical, 1-4"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet Treatment	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	AMAZONIA_0100073	ultimpr	variable	Ultima impregnación de mosquitero	Bednets Last Treated	F1	censo_exel_proy1.xlsx	House	68	"categorical, 1-6"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102074	Last fumigation date	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	AMAZONIA_0100074	fumi	variable	Fecha de última fumigación	Date of last fumigation	F1	censo_exel_proy1.xlsx	House	61	date	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102075	Responsible of treated bednets	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	AMAZONIA_0100075	imprmo	variable	Quién impregnó el mosquitero	Responsible of treated bednets	F1	censo_exel_proy1.xlsx	House	69	"categorical, 1-4/99=NA"	only at enrollment	
http://purl.obolibrary.org/obo/ICEMR_0102076	Contact W/ Malaria	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	AMAZONIA_0100076	22_Contacto malaria	variable	Contacto con Malaria	Contact W/ Malaria	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	22	"categorical, 1-2"	each visit	
http://purl.obolibrary.org/obo/ICEMR_0102077	Participant present	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	AMAZONIA_0100077	3_PRESENCIA	variable	Presencia	Participant status at visit	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	3	"categorical, 1-7"	each visit	it includes present and reason for not present. Do we need to split to two variables?
http://purl.obolibrary.org/obo/EUPATH_0000311	Visit type	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	AMAZONIA_0100078	Razon	variable	Razón de la visita	Type of visit	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	25.3	"categorical,1-3"	each visit	
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	AMAZONIA_0100082	Anho Mes Dias	variable									
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	AMAZONIA_0100079	Anho	variable	Año	Year	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	2.2	text	each visit	combined with month and day as Date of Visit
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	AMAZONIA_0100080	Mes	variable	Mes	Month	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	2.1	text	each visit	combined with year and day as Date of Visit
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	AMAZONIA_0100081	Dias	variable	Dias del 1 al 31	Day	F2	F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx	PresenciaSintomasTratamiento	2.3	text	each visit	combined with year and month as Date of Visit
