Term Ontology ID	Display Label	Term Parent Ontology ID	Term Parent display Label	Data Dictionary ID	Data Dictionary Label (es)	Term Type
ICEMR_0102003	Infections w/ p. viv last year	OGMS_0000015	Clinical History	AMAZONIA_0100003	MalVivano	variable
ICEMR_0102004	Infections w/ p.fal	OGMS_0000015	Clinical History	AMAZONIA_0100004	MalFal	variable
ICEMR_0102005	Infections w/ p.fal last year	OGMS_0000015	Clinical History	AMAZONIA_0100005	MalFalano	variable
ICEMR_0102006	Days worked per week (Primary)	ICEMR_0000004	Employment Details	AMAZONIA_0100006	diassemp	variable
ICEMR_0102007	Days worked per week (Secondary)	ICEMR_0000004	Employment Details	AMAZONIA_0100007	diasseml	variable
ICEMR_0102008	Job (Primary)	ICEMR_0000004	Employment Details	AMAZONIA_0100008	traprin	variable
ICEMR_0102009	Job (Secondary)	ICEMR_0000004	Employment Details	AMAZONIA_0100009	lab	variable
ICEMR_0102010	Job description (Primary)	ICEMR_0000004	Employment Details	AMAZONIA_0100010	destra	variable
ICEMR_0102011	Job description (Secondary)	ICEMR_0000004	Employment Details	AMAZONIA_0100011	labotr	variable
ICEMR_0102012	Job in the last month (Secondary)	ICEMR_0000004	Employment Details	AMAZONIA_0100012	Otrlab	variable
ICEMR_0102013	Occuaption type	ICEMR_0000004	Employment Details	AMAZONIA_0100013	trabaj	variable
ICEMR_0102014	Pay period (Primary)	ICEMR_0000004	Employment Details	AMAZONIA_0100014	Frepagp	variable
ICEMR_0102015	Pay period (Secondary)	ICEMR_0000004	Employment Details	AMAZONIA_0100015	Frepagl	variable
ICEMR_0102016	Received payment (Primary)	ICEMR_0000004	Employment Details	AMAZONIA_0100016	Recpagp	variable
ICEMR_0102017	Received payment (Secondary)	ICEMR_0000004	Employment Details	AMAZONIA_0100017	Recpagl	variable
ICEMR_0102018	Salary in soles (Primary)	ICEMR_0000004	Employment Details	AMAZONIA_0100018	Cantip	variable
ICEMR_0102019	Salary in soles (Secondary)	ICEMR_0000004	Employment Details	AMAZONIA_0100019	Cantil	variable
ICEMR_0102020	Work Hours/Day (Primary)	ICEMR_0000004	Employment Details	AMAZONIA_0100020	Hordiap	variable
ICEMR_0102021	Work Hours/Day (Secondary)	ICEMR_0000004	Employment Details	AMAZONIA_0100021	Hordial	variable
EUPATH_0000023	Cooking fuel	EUPATH_0000302	Facilities	AMAZONIA_0100022	combus	variable
ENVO_00003064	Drinking water source	EUPATH_0000302	Facilities	AMAZONIA_0100023	fueagu	variable
ICEMR_0102024	Garbage disposal	EUPATH_0000302	Facilities	AMAZONIA_0100024	basu	variable
ICEMR_0100003	Human waste disposal	EUPATH_0000302	Facilities	AMAZONIA_0100025	excre	variable
ICEMR_0102026	Community	GAZ_00000448	Geographic location	AMAZONIA_0100026	Codmunidad	variable
ICEMR_0102027	Study location	GAZ_00000448	Geographic location	AMAZONIA_0100027	areest	variable
EUPATH_0000048	Asexual parasites present	OGMS_0000018	Laboratory Findings	AMAZONIA_0100028	19_FROTIS	variable
ICEMR_0102029	Malaria Medication (First Line)	EUPATH_0000057	Medication	AMAZONIA_0100029	21_1_Medicamento	variable
ICEMR_0102030	Malaria Medication (Second Line)	EUPATH_0000057	Medication	AMAZONIA_0100030	21_1_Medicamento	variable
ICEMR_0102031	Malaria Medication?	EUPATH_0000057	Medication	AMAZONIA_0100031	21_1_Medicamento	variable
EUPATH_0000120	Age at time of enrollment	EUPATH_0000307	Participant Study Details	AMAZONIA_0100032	edad	variable
EUPATH_0000032	Date of Birth	EUPATH_0000307	Participant Study Details	AMAZONIA_0100033	fec_naci	variable
ICEMR_0101056	Education level	EUPATH_0000307	Participant Study Details	AMAZONIA_0100034	Instruc	variable
EUPATH_0000151	Enrollment date	EUPATH_0000307	Participant Study Details	AMAZONIA_0100035	fecha	variable
ICEMR_0102036	Marital status	EUPATH_0000307	Participant Study Details	AMAZONIA_0100036	EstCiv	variable
ICEMR_0102037	Plan to move	EUPATH_0000307	Participant Study Details	AMAZONIA_0100037	mud	variable
UBERON_0009097	Pregnant	EUPATH_0000307	Participant Study Details	AMAZONIA_0100038	gestante	variable
ICEMR_0102039	Family head relationship	EUPATH_0000307	Participant Study Details	AMAZONIA_0100039	RelJeFam	variable
PATO_0000047	Sex	EUPATH_0000307	Participant Study Details	AMAZONIA_0100040	sexo	variable
ICEMR_0102041	Time living in the dwelling (year)	EUPATH_0000307	Participant Study Details	AMAZONIA_0100041	TieHog	variable
ICEMR_0102042	Time living in the community (year)	EUPATH_0000307	Participant Study Details	AMAZONIA_0100042	TieCom	variable
ICEMR_0102043	# Common Areas	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100043	cuacom	variable
EUPATH_0000201	# sleeping places	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100044	numcam	variable
ICEMR_0102045	Covered Area (m2)	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100045	areate	variable
EUPATH_0000006	Floor material	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100046	Piso	variable
ICEMR_0102047	Location of kitchen	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100047	coci	variable
ICEMR_0102048	# bedrooms	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100048	cuardor	variable
EUPATH_0000003	Roof material	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100049	techo	variable
ICEMR_0102050	Total Area (m2)	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100050	area	variable
EUPATH_0000009	Wall material	EUPATH_0000303	Physical Characteristics	AMAZONIA_0100051	pared_ext,pared_int	variable
EUPATH_0000110	Temperature	OGMS_0000083	Physical Examination	AMAZONIA_0100052	temperatura	variable
EUPATH_0000144	Assets	EUPATH_0000304	Socioeconomic Factors	AMAZONIA_0100053	Posesiones	variable
ICEMR_0102054	Rent or own?	EUPATH_0000304	Socioeconomic Factors	AMAZONIA_0100054	tencas	variable
HP_0002027	Abdominal pain	EUPATH_0000309	Symptoms	AMAZONIA_0100055	7_Dolor abdominal	variable
SYMP_0000523	Anorexia	EUPATH_0000309	Symptoms	AMAZONIA_0100056	12_Anorexia	variable
HP_0003418	Back pain	EUPATH_0000309	Symptoms	AMAZONIA_0100057	8_Dolor de espalda	variable
SYMP_0019174	Chills	EUPATH_0000309	Symptoms	AMAZONIA_0100058	5_Escalofrios	variable
SYMP_0000614	Cough	EUPATH_0000309	Symptoms	AMAZONIA_0100059	15_Tos	variable
DOID_13250	Diarrhea	EUPATH_0000309	Symptoms	AMAZONIA_0100060	14_Diarrea	variable
SYMP_0000610	Dizziness	EUPATH_0000309	Symptoms	AMAZONIA_0100061	13_Mareos	variable
EUPATH_0000100	Fever (subjective)	EUPATH_0000309	Symptoms	AMAZONIA_0100062	4_Fiebre 	variable
HP_0002315	Headache	EUPATH_0000309	Symptoms	AMAZONIA_0100063	6_Dolor de cabeza	variable
HP_0002018	Nausea	EUPATH_0000309	Symptoms	AMAZONIA_0100064	10_Nauseas	variable
SYMP_0000487	Rash	EUPATH_0000309	Symptoms	AMAZONIA_0100065	9_Rash/Erupción	variable
HP_0002013	Vomiting	EUPATH_0000309	Symptoms	AMAZONIA_0100066	11_Vomitos	variable
ICEMR_0102067	Days of Travel	ICEMR_0000002	Traveling Details	AMAZONIA_0100067	Duracion de cada viaje en días	variable
ICEMR_0102068	Travel by ship	ICEMR_0000002	Traveling Details	AMAZONIA_0100068	Río por el cual navegó en cada viaje	variable
ICEMR_0102069	Travel destination	ICEMR_0000002	Traveling Details	AMAZONIA_0100069	Lugar o comunidad visitada en cada viaje	variable
ICEMR_0102070	Travel in the last month	ICEMR_0000002	Traveling Details	AMAZONIA_0100070	Viaultimes	variable
ICEMR_0102071	Travel before malaria	ICEMR_0000002	Traveling Details	AMAZONIA_0100071	Antes de enfermear de malaria viajó	variable
ICEMR_0102072	Bednet material	ICEMR_0000003	Vector Intervention	AMAZONIA_0100072	matmos	variable
ICEMR_0101037	Bednet Treatment	ICEMR_0000003	Vector Intervention	AMAZONIA_0100073	ultimpr	variable
ICEMR_0102074	Last fumigation date	ICEMR_0000003	Vector Intervention	AMAZONIA_0100074	fumi	variable
ICEMR_0102075	Responsible of treated bednets	ICEMR_0000003	Vector Intervention	AMAZONIA_0100075	imprmo	variable
ICEMR_0102076	Contact W/ Malaria	EUPATH_0000310	Visit Details	AMAZONIA_0100076	22_Contacto malaria	variable
ICEMR_0102077	Participant present	EUPATH_0000310	Visit Details	AMAZONIA_0100077	3_PRESENCIA	variable
EUPATH_0000311	Visit type	EUPATH_0000328	Visit	AMAZONIA_0100078	Razon	variable
EUPATH_0000091	Date of visit	EUPATH_0000310	Visit Details	AMAZONIA_0100082	Anho Mes Dias	variable
EUPATH_0000091	Date of visit	EUPATH_0000310	Visit Details	AMAZONIA_0100079	Anho	variable
EUPATH_0000091	Date of visit	EUPATH_0000310	Visit Details	AMAZONIA_0100080	Mes	variable
EUPATH_0000091	Date of visit	EUPATH_0000310	Visit Details	AMAZONIA_0100081	Dias	variable
