IRI,label,Notes,variable,definition,parentIRI,parentLabel,replaces,ISA_Type,ISA_Parent
http://purl.obolibrary.org/obo/NCBITaxon_48397,Cygnus buccinator,,Cygnus buccinator,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_110926,Cygnus columbianus,,Cygnus columbianus,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_8869,Cygnus olor,,Cygnus olor,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITAXON_9018,Francolinus,,KWALE,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_8911,Larus,,Larus,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_126683,Larus delawarensis,,Larus delawarensis,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_8912,Larus marinus,,Larus marinus,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_243888,Larus smithsonianus,,Larus smithsonianus,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_126679,Leucophaeus atricilla,,Leucophaeus atricilla,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_690715,Leucophaeus pipixcan,,Leucophaeus pipixcan,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_75832,Mareca americana,,Mareca americana,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_1581554,Melanitta americana,,Melanitta americana,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITAXON_9957,Oryx,,Oryx,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_56069,Phalacrocorax auritus,,Phalacrocorax auritus,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_232374,Puffinus newelli,,Puffinus newelli,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_108405,Sterna hirundo,,Sterna hirundo,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,,
http://purl.obolibrary.org/obo/EUPATH_0005004,CGH derived phylogeny analysis result,,CGH organization,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005003,Fungal communication group,,group,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000758,Fungal genotype,,fungal genotype,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005036,Fungal lifecycle stage,,fungal life stage,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/NCBITaxon_4751,Fungal organism,,fungus organism,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,NCIT_C14209,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005035,Fungal phenotype,,fungal phenotype,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000759,Fungal strain,,fungal strain,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000752,GP60 genotype,,GP60 genotype,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005005,Genetic lineage,,Lineage,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005041,MIC (ug/mL),,MIC (ug/mL),,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/PATO_0001895,Mating type,,mating type,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000572,Parasite genotype,,parasite genotype,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005034,Parasite group,,isolate group,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/OPL_0000181,Parasite lifecycle stage,,parasite lifecycle stage,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/OPL_0000232,Parasite organism,,parasite organism,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000757,Parasite phenotype,,parasite phenotype,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000761,Parasite strain,,parasite strain,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005002,Parental and clone,,Parental and Clone,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/NCIT_C25641,Reference,,reference,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/NCBITaxon_2665964,VNI subdivision,,VNI subdivision,,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,EUPATH_0005006,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,,enrlDate,Date of enrollment in the TCC or the PRISM study,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000152,Last date observed,,lastDate,Last observation date,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005007,Withdrawl date,,wthdrDate,Date of withdrawl from the TCC or the PRISM study,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001901,Alternative sample ID,,alternative sample ID,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005001,BIIT test,,BIIT test,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/APOLLO_SV_00000232,Clade,,Fingerprint Clade,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,EUPATH_0000573,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000289,Haplogroup,,haplogroup,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicsQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000574,MLST Clade,,NLST Clade,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicsQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0005033,PCR result,,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicQualifier,Sample
http://www.ebi.ac.uk/efo/EFO_0000683,Replicate,,Replicate,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicsQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000577,Repository ID,,Repository ID,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicsQualifier,Sample
http://purl.obolibrary.org/obo/OBI_0001616,Sample ID,,sample id,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,,specimen,Type of sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicsQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000575,Virulence Score (LDt50),,Virulence Score (LDt50),,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicsQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000576,Virulence Score (slope),,Virulence Score (slope),,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicsQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000748,iPCR result,,iPCR result,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,characteristicsQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000753,Collection year,,Collection Year,,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,,protocol parameter,
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,Collection date,Date of sample collection,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,,protocol parameter,
http://purl.obolibrary.org/obo/EUPATH_0005006,Sample collection time post harvest (days),,Isolation_time,,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,,protocol parameter,
http://purl.obolibrary.org/obo/OBI_0001895,Sample collector,,specimen collector,,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,,protocol parameter,
http://purl.obolibrary.org/obo/OBI_0001169,Age,,age,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://www.ebi.ac.uk/efo/EFO_0005056,Age at death,,age at death,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005029,"Analysis metric: Days since last P. falciparum detection, adjusted & log transformed",,sincepar_log,"Analysis variable: log transformed days since the last time parasites were detected, adjusted for analysis. If parasites detected <14d before sample collection, days since last P. falciparum detection was set to 14; If parasites detected >500d or never diagnosed since enrollment, days since last P. falciparum detection was set to 500.",http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005030,"Analysis metric: Malaria incidence in the previous 365 days, log transformed",,incMal_log,"Analysis variable: log transformed malaria incidence in the previous year, calculated as the number of symptomatic malaria episodes occurring 365 days before sample collection.",http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,,
http://purl.obolibrary.org/obo/EUPATH_0000754,Blood smear summary,,blood_smear_summary,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OGMS_0000027,Clinical phenotype,,clinical phenotype,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005010,Cumulative malaria episode count,,malCount_Before,Count of symptomatic malaria episodes from time of enrollment to sample sample collection,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005040,Days in culture,,Days in culture,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005019,Days since last P. falciparum detection,,timesince_par,"Days since the last time any plasmodium parasites were detected, counted from the date of sample collection",http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005020,"Days since last P. falciparum detection, adjusted",,sincepar,"Days since the last time parasites were detected, adjusted for analysis. If parasites detected <14d before sample collection, days since last P. falciparum detection was set to 14; If parasites detected >500d or never diagnosed since enrollment, days since last P. falciparum detection was set to 500.",http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005017,Days since last malaria diagnosis,,timesince_mal,"Days since the last time symptomatic malaria was diagnosed, counted from the date of sample collection",http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005018,"Days since last malaria diagnosis, adjusted",,sincemal,"Days since the last time symptomatic malaria was diagnosed, adjusted for analysis. If malaria was diagnosed <14d before sample collection, sincemal=14; If malaria was diagnosed >500d or never diagnosed since enrollment, sincemal=500.",http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000749,End of observation period,,end_of_observation_period,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OMRSE_00000205,Ethnicity,,Ethnicity,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OGMS_0000123,Health status,,health_status,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,OGMS_0000073,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001141,Host ID,,Organism ID,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0003074,Host common name,,host_common_name,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,EUPATH_0000512,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,organism,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001185,Host variety,,host strain,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,hhid,"Unique household ID, only recorded for the PRISM study participants",http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/IDO_0000586,Infection,,infection,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000499,Lab host,,lab host,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005012,Malaria diagnosed at sample collection,,mal_at_plasma,Did the participant have symptomatic malaria at the time of sample collection?,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005023,Malaria diagnosed in 180 days before sample collection,,mal180,Was symptomatic malaria diagnosed at least 1 time in the last 180 days since sample collection?,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005021,Malaria diagnosed in 30 days before sample collection,,mal30,Was symptomatic malaria diagnosed at least 1 time in the last 30 days since sample collection?,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005024,Malaria diagnosed in 365 days before sample collection,,mal365,Was symptomatic malaria diagnosed at least 1 time in the last 365 days since sample collection?,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005016,Malaria diagnosed in 7 days after sample collection,,mal_7dAfter,Was symptomatic malaria diagnosed any time in the 7 days after sample collection?,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005015,Malaria diagnosed in 7 days before sample collection,,mal_7dBefore,Was symptomatic malaria diagnosed any time in the 7 days before sample collection?,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005022,Malaria diagnosed in 90 days before sample collection,,mal90,Was symptomatic malaria diagnosed at least 1 time in the last 90 days since sample collection?,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,characteristicQualifier,Source
