#version-2
variable	values	mappedTerm	valueOrder
shine_baseline_household_data::improvedfloorcat	1	Improved floor	
shine_baseline_household_data::improvedfloorcat	88	:::UNDEF:::	
shine_baseline_household_data::improvedfloorcat	99	Don't know	
shine_baseline_household_data::improvedlatrinepath_b0	1	Yes	
shine_baseline_household_data::improvedlatrinepath_b0	2	No	
shine_baseline_household_data::improvedlatrinepath_share_b0	1	Yes	
shine_baseline_household_data::improvedlatrinepath_share_b0	2	No	
shine_infant_birth_m18_data::inf_m18_hivstatus	1	HIV positive	
shine_infant_birth_m18_data::inf_m18_hivstatus	2	HIV negative	
shine_infant_birth_m18_data::inf_m18_hivstatus	3	HIV status unknown	
shine_month12_intervention_uptake_data::latrine_shared	0	No	
shine_month12_intervention_uptake_data::latrine_shared	1	Yes	
shine_month12_intervention_uptake_data::studytimepoint	0	Baseline	1
shine_month12_intervention_uptake_data::studytimepoint	12	Month 12	2
shine_morbidity_recall_data::m01_diarrhea	1	Yes	
shine_morbidity_recall_data::m01_diarrhea	2	No	
shine_morbidity_recall_data::m01_diarrhea	99	Don't know	
shine_morbidity_recall_data::m01_diarrhea	88	:::UNDEF:::
shine_morbidity_recall_data::m03_diarrhea	1	Yes	
shine_morbidity_recall_data::m03_diarrhea	2	No	
shine_morbidity_recall_data::m03_diarrhea	99	Don't know	
shine_morbidity_recall_data::m03_diarrhea	88	:::UNDEF:::
shine_morbidity_recall_data::m06_diarrhea	1	Yes	
shine_morbidity_recall_data::m06_diarrhea	2	No	
shine_morbidity_recall_data::m06_diarrhea	99	Don't know	
shine_morbidity_recall_data::m06_diarrhea	88	:::UNDEF:::
shine_morbidity_recall_data::m12_ari	1	Yes	
shine_morbidity_recall_data::m12_ari	2	No	
shine_morbidity_recall_data::m12_ari	99	Don't know	
shine_infant_birth_m18_data::m12_ari_in_last_7days	1	Yes	
shine_infant_birth_m18_data::m12_ari_in_last_7days	2	No	
shine_infant_birth_m18_data::m12_ari_in_last_7days	99	Don't know	
shine_morbidity_recall_data::m12_diarrhea	1	Yes	
shine_morbidity_recall_data::m12_diarrhea	2	No	
shine_morbidity_recall_data::m12_diarrhea	99	Don't know	
shine_morbidity_recall_data::m12_diarrhea	88	:::UNDEF:::
shine_infant_birth_m18_data::m12_diarrhea_in_last_7days	1	Yes	
shine_infant_birth_m18_data::m12_diarrhea_in_last_7days	2	No	
shine_infant_birth_m18_data::m12_diarrhea_in_last_7days	don't know	Don't know	
shine_morbidity_recall_data::m12_dysentery	1	Yes	
shine_morbidity_recall_data::m12_dysentery	2	No	
shine_morbidity_recall_data::m12_dysentery	99	Don't know	
shine_month12_intervention_uptake_data::m12_latrine_present	1	Yes	
shine_month12_intervention_uptake_data::m12_latrine_present	2	No	
shine_month12_intervention_uptake_data::m12_playmat_received	1	Yes	
shine_month12_intervention_uptake_data::m12_playmat_received	2	No	
shine_month12_intervention_uptake_data::m12_playyard_received	1	Yes	
shine_month12_intervention_uptake_data::m12_playyard_received	2	No	
shine_month12_intervention_uptake_data::m12_tippytape_present	1	Yes	
shine_month12_intervention_uptake_data::m12_tippytape_present	2	No	
shine_morbidity_recall_data::m18_ari	1	Yes	
shine_morbidity_recall_data::m18_ari	2	No	
shine_morbidity_recall_data::m18_ari	99	Don't know
shine_infant_birth_m18_data::m18_ari_in_last_7days	1	Yes	
shine_infant_birth_m18_data::m18_ari_in_last_7days	2	No	
shine_infant_birth_m18_data::m18_ari_in_last_7days	99	Don't know	
shine_morbidity_recall_data::m18_diarrhea	1	Yes	
shine_morbidity_recall_data::m18_diarrhea	2	No	
shine_morbidity_recall_data::m18_diarrhea	99	Don't know	
hine_morbidity_recall_data::m18_diarrhea	88	:::UNDEF:::
shine_infant_birth_m18_data::m18_diarrhea_in_last_7days	1	Yes	
shine_infant_birth_m18_data::m18_diarrhea_in_last_7days	2	No	
shine_infant_birth_m18_data::m18_diarrhea_in_last_7days	99	Don't know	
shine_infant_birth_m18_data::m18_diarrhea_in_last_7days	88	::UNDEF:::
shine_morbidity_recall_data::m18_dysentery	1	Yes	
shine_morbidity_recall_data::m18_dysentery	2	No	
shine_morbidity_recall_data::m18_dysentery	99	Don't know	
shine_maternal_baseline_data::m18_hiv_status	0	:::UNDEF:::	
shine_maternal_baseline_data::m18_hiv_status	1	HIV positive	
shine_maternal_baseline_data::m18_hiv_status	2	HIV negative	
shine_infant_birth_m18_data::mode_of_delivery	normal vaginal	Normal vaginal	
shine_infant_birth_m18_data::mode_of_delivery	caesarean section	Caesarean section	
shine_infant_birth_m18_data::mode_of_delivery	forceps_vacuum	Forceps or vacuum	
shine_infant_birth_m18_data::mode_of_delivery	1	Normal vaginal	
shine_infant_birth_m18_data::mode_of_delivery	2	Caesarean section	
shine_infant_birth_m18_data::mode_of_delivery	3	Forceps or vacuum	
shine_maternal_baseline_data::mom_evertook_art	1	No	
shine_maternal_baseline_data::mom_evertook_art	2	Yes	
shine_maternal_baseline_data::mom_evertook_art	88	:::UNDEF:::	
shine_maternal_baseline_data::mom_evertook_art	99	Don't know	
shine_maternal_baseline_data::mom_evertook_ctx	1	No	
shine_maternal_baseline_data::mom_evertook_ctx	2	Yes	
shine_maternal_baseline_data::mom_evertook_ctx	88	:::UNDEF:::	
shine_maternal_baseline_data::mom_evertook_ctx	99	Don't know	
shine_maternal_baseline_data::ovaseen	0	No	
shine_maternal_baseline_data::ovaseen	1	Yes	
shine_maternal_baseline_data::ovaseen	88	:::UNDEF:::	
shine_maternal_baseline_data::ovaseen	99	Don't know	
shine_baseline_household_data::p18_cooking_fuel_type	1	Kerosene/Paraffin	
shine_baseline_household_data::p18_cooking_fuel_type	2	Charcoal	
shine_baseline_household_data::p18_cooking_fuel_type	3	Wood	
shine_baseline_household_data::p18_cooking_fuel_type	4	Straw/Grass/Leaves	
shine_baseline_household_data::p18_cooking_fuel_type	5	Animal dung	
shine_baseline_household_data::p18_cooking_fuel_type	6	Electricity	
shine_baseline_household_data::p18_cooking_fuel_type	7	Gas	
shine_baseline_household_data::p18_cooking_fuel_type	8	Other	
shine_infant_birth_m18_data::place_of_delivery	1	Hospital	
shine_infant_birth_m18_data::place_of_delivery	2	Not in hospital	
shine_infant_birth_m18_data::place_of_delivery	institution	Hospital	
shine_infant_birth_m18_data::place_of_delivery	non institution	Not in hospital	
shine_maternal_baseline_data::preg_hiv_status	0	:::UNDEF:::	
shine_maternal_baseline_data::preg_hiv_status	1	HIV positive	
shine_maternal_baseline_data::preg_hiv_status	2	HIV negative	
shine_baseline_household_data::r01_bed	1	Yes	
shine_baseline_household_data::r01_bicycle	1	Yes	
shine_baseline_household_data::r01_car	1	Yes	
shine_baseline_household_data::r01_cattle	1	Yes	
shine_baseline_household_data::r01_cdplayer	1	Yes	
shine_baseline_household_data::r01_chair	1	Yes	
shine_baseline_household_data::r01_chicken	1	Yes	
shine_baseline_household_data::r01_claypot	1	Yes	
shine_baseline_household_data::r01_cultivator	1	Yes	
shine_baseline_household_data::r01_goat_sheep	1	Yes	
shine_baseline_household_data::r01_hoe	1	Yes	
shine_baseline_household_data::r01_iron	1	Yes	
shine_baseline_household_data::r01_lamp	1	Yes	
shine_baseline_household_data::r01_mattress	1	Yes	
shine_baseline_household_data::r01_motorcycle	1	Yes	
shine_baseline_household_data::r01_ox_cart	1	Yes	
shine_baseline_household_data::r01_pestle_mortar	1	Yes	
shine_baseline_household_data::r01_phone	1	Yes	
shine_baseline_household_data::r01_plough	1	Yes	
shine_baseline_household_data::r01_radio	1	Yes	
shine_baseline_household_data::r01_reed_basket	1	Yes	
shine_baseline_household_data::r01_reed_mat	1	Yes	
shine_baseline_household_data::r01_refrig	1	Yes	
shine_baseline_household_data::r01_sewing	1	Yes	
shine_baseline_household_data::r01_smoothing_stone	1	Yes	
shine_baseline_household_data::r01_spade	1	Yes	
shine_baseline_household_data::r01_stovestand	1	Yes	
shine_baseline_household_data::r01_table	1	Yes	
shine_baseline_household_data::r01_trunk	1	Yes	
shine_baseline_household_data::r01_tv	1	Yes	
shine_baseline_household_data::r01_watch	1	Yes	
shine_baseline_household_data::r01_wheelbarrow	1	Yes	
shine_baseline_household_data::r01_bed	0	No	
shine_baseline_household_data::r01_bicycle	0	No	
shine_baseline_household_data::r01_car	0	No	
shine_baseline_household_data::r01_cattle	0	No	
shine_baseline_household_data::r01_cdplayer	0	No	
shine_baseline_household_data::r01_chair	0	No	
shine_baseline_household_data::r01_chicken	0	No	
shine_baseline_household_data::r01_claypot	0	No	
shine_baseline_household_data::r01_cultivator	0	No	
shine_baseline_household_data::r01_goat_sheep	0	No	
shine_baseline_household_data::r01_hoe	0	No	
shine_baseline_household_data::r01_iron	0	No	
shine_baseline_household_data::r01_lamp	0	No	
shine_baseline_household_data::r01_mattress	0	No	
shine_baseline_household_data::r01_motorcycle	0	No	
shine_baseline_household_data::r01_ox_cart	0	No	
shine_baseline_household_data::r01_pestle_mortar	0	No	
shine_baseline_household_data::r01_phone	0	No	
shine_baseline_household_data::r01_plough	0	No	
shine_baseline_household_data::r01_radio	0	No	
shine_baseline_household_data::r01_reed_basket	0	No	
shine_baseline_household_data::r01_reed_mat	0	No	
shine_baseline_household_data::r01_refrig	0	No	
shine_baseline_household_data::r01_sewing	0	No	
shine_baseline_household_data::r01_smoothing_stone	0	No	
shine_baseline_household_data::r01_spade	0	No	
shine_baseline_household_data::r01_stovestand	0	No	
shine_baseline_household_data::r01_table	0	No	
shine_baseline_household_data::r01_trunk	0	No	
shine_baseline_household_data::r01_tv	0	No	
shine_baseline_household_data::r01_watch	0	No	
shine_baseline_household_data::r01_wheelbarrow	0	No	
shine_baseline_household_data::r01_bed	88	:::UNDEF:::	
shine_baseline_household_data::r01_bicycle	88	:::UNDEF:::	
shine_baseline_household_data::r01_car	88	:::UNDEF:::	
shine_baseline_household_data::r01_cattle	88	:::UNDEF:::	
shine_baseline_household_data::r01_cdplayer	88	:::UNDEF:::	
shine_baseline_household_data::r01_chair	88	:::UNDEF:::	
shine_baseline_household_data::r01_chicken	88	:::UNDEF:::	
shine_baseline_household_data::r01_claypot	88	:::UNDEF:::	
shine_baseline_household_data::r01_cultivator	88	:::UNDEF:::	
shine_baseline_household_data::r01_goat_sheep	88	:::UNDEF:::	
shine_baseline_household_data::r01_hoe	88	:::UNDEF:::	
shine_baseline_household_data::r01_iron	88	:::UNDEF:::	
shine_baseline_household_data::r01_lamp	88	:::UNDEF:::	
shine_baseline_household_data::r01_mattress	88	:::UNDEF:::	
shine_baseline_household_data::r01_motorcycle	88	:::UNDEF:::	
shine_baseline_household_data::r01_ox_cart	88	:::UNDEF:::	
shine_baseline_household_data::r01_pestle_mortar	88	:::UNDEF:::	
shine_baseline_household_data::r01_phone	88	:::UNDEF:::	
shine_baseline_household_data::r01_plough	88	:::UNDEF:::	
shine_baseline_household_data::r01_radio	88	:::UNDEF:::	
shine_baseline_household_data::r01_reed_basket	88	:::UNDEF:::	
shine_baseline_household_data::r01_reed_mat	88	:::UNDEF:::	
shine_baseline_household_data::r01_refrig	88	:::UNDEF:::	
shine_baseline_household_data::r01_sewing	88	:::UNDEF:::	
shine_baseline_household_data::r01_smoothing_stone	88	:::UNDEF:::	
shine_baseline_household_data::r01_spade	88	:::UNDEF:::	
shine_baseline_household_data::r01_stovestand	88	:::UNDEF:::	
shine_baseline_household_data::r01_table	88	:::UNDEF:::	
shine_baseline_household_data::r01_trunk	88	:::UNDEF:::	
shine_baseline_household_data::r01_tv	88	:::UNDEF:::	
shine_baseline_household_data::r01_watch	88	:::UNDEF:::	
shine_baseline_household_data::r01_wheelbarrow	88	:::UNDEF:::	
shine_baseline_household_data::r01_bed	99	Don't know	
shine_baseline_household_data::r01_bicycle	99	Don't know	
shine_baseline_household_data::r01_car	99	Don't know	
shine_baseline_household_data::r01_cattle	99	Don't know	
shine_baseline_household_data::r01_cdplayer	99	Don't know	
shine_baseline_household_data::r01_chair	99	Don't know	
shine_baseline_household_data::r01_chicken	99	Don't know	
shine_baseline_household_data::r01_claypot	99	Don't know	
shine_baseline_household_data::r01_cultivator	99	Don't know	
shine_baseline_household_data::r01_goat_sheep	99	Don't know	
shine_baseline_household_data::r01_hoe	99	Don't know	
shine_baseline_household_data::r01_iron	99	Don't know	
shine_baseline_household_data::r01_lamp	99	Don't know	
shine_baseline_household_data::r01_mattress	99	Don't know	
shine_baseline_household_data::r01_motorcycle	99	Don't know	
shine_baseline_household_data::r01_ox_cart	99	Don't know	
shine_baseline_household_data::r01_pestle_mortar	99	Don't know	
shine_baseline_household_data::r01_phone	99	Don't know	
shine_baseline_household_data::r01_plough	99	Don't know	
shine_baseline_household_data::r01_radio	99	Don't know	
shine_baseline_household_data::r01_reed_basket	99	Don't know	
shine_baseline_household_data::r01_reed_mat	99	Don't know	
shine_baseline_household_data::r01_refrig	99	Don't know	
shine_baseline_household_data::r01_sewing	99	Don't know	
shine_baseline_household_data::r01_smoothing_stone	99	Don't know	
shine_baseline_household_data::r01_spade	99	Don't know	
shine_baseline_household_data::r01_stovestand	99	Don't know	
shine_baseline_household_data::r01_table	99	Don't know	
shine_baseline_household_data::r01_trunk	99	Don't know	
shine_baseline_household_data::r01_tv	99	Don't know	
shine_baseline_household_data::r01_watch	99	Don't know	
shine_baseline_household_data::r01_wheelbarrow	99	Don't know	
shine_baseline_household_data::salary	0	No	
shine_baseline_household_data::salary	1	Yes	
shine_baseline_household_data::salary	88	:::UNDEF:::	
shine_baseline_household_data::salary	99	Don't know	
shine_baseline_household_data::ses_quintile1	1	Low	5
shine_baseline_household_data::ses_quintile1	2	Low Mid	4
shine_baseline_household_data::ses_quintile1	3	Mid	3
shine_baseline_household_data::ses_quintile1	4	Upper Mid	2
shine_baseline_household_data::ses_quintile1	5	Upper	1
shine_maternal_baseline_data::suic	0	No	
shine_maternal_baseline_data::suic	1	Yes	
shine_maternal_baseline_data::suic	88	:::UNDEF:::	
shine_maternal_baseline_data::suic	99	Don't know	
shine_baseline_household_data::x11_02_soap_at_handwashing	0	No	
shine_baseline_household_data::x11_02_soap_at_handwashing	1	Yes	
shine_baseline_household_data::x26_livestock_inside_house	9	:::UNDEF:::	
shine_baseline_household_data::x26_livestock_inside_house	1	Yes	
shine_baseline_household_data::x26_livestock_inside_house	2	No	
shine_baseline_household_data::x26_livestock_inside_house	99	Don't know	
shine_baseline_household_data::x28_feaces_in_yard	1	Yes	
shine_baseline_household_data::x28_feaces_in_yard	2	No	
shine_baseline_household_data::x28_feaces_in_yard	99	Cannot observe	
shine_month12_intervention_uptake_data::xb07	1	Yes	
shine_month12_intervention_uptake_data::xb07	2	No	
shine_month12_intervention_uptake_data::xb07	88	:::UNDEF:::	
shine_month12_intervention_uptake_data::xb07	99	Don't know	
shine_month12_intervention_uptake_data::xb08	1	Yes	
shine_month12_intervention_uptake_data::xb08	2	No	
shine_month12_intervention_uptake_data::xb08	88	:::UNDEF:::	
shine_month12_intervention_uptake_data::xb08	99	Don't know	
shine_month12_intervention_uptake_data::xb09	1	Yes	
shine_month12_intervention_uptake_data::xb09	2	No	
shine_month12_intervention_uptake_data::xb09	88	:::UNDEF:::	
shine_month12_intervention_uptake_data::xb09	99	Don't know	
shine_month12_intervention_uptake_data::xb10	1	Yes	
shine_month12_intervention_uptake_data::xb10	2	No	
shine_month12_intervention_uptake_data::xb10	88	:::UNDEF:::	
shine_month12_intervention_uptake_data::xb10	99	Do not know	
shine_month12_intervention_uptake_data::xb44	1	Visibly clean	1
shine_month12_intervention_uptake_data::xb44	2	Visibly dirty	2
shine_month12_intervention_uptake_data::xb44	3	Visibly dusty	3
shine_month12_intervention_uptake_data::xb44	88	Unable to observe	4
shine_month12_intervention_uptake_data::xb44	99	Do not know	5
shine_baseline_household_data::x26_livestock_inside_house	9	:::UNDEF:::	
shine_infant_birth_m18_data::m12_diarrhea_in_last_7days	99	Don't know	
EUPATH_0010532	don't know	Don't know	
shine_morbidity_recall_data::m12_dysentery	99	Don't know
shine_infant_birth_m18_data::m12_ari_in_last_7days	99	Don't know
shine_infant_birth_m18_data::inf_m18_hivstatus	8	:::UNDEF:::	
shine_baseline_household_data::latrine_use_storage	1	Yes	
shine_baseline_household_data::latrine_use_storage	0	No	
shine_study_level_factors_data::birth_outcome	s	Live	
shine_study_level_factors_data::birth_outcome	m	Live	
shine_study_level_factors_data::birth_outcome	l	Live	
shine_maternal_baseline_data::maternal_cortisol_conc	<0.000	0.00000001	
shine_randomized_study_arms_data::studyarmcode	1	Standard of care	1
shine_randomized_study_arms_data::studyarmcode	2	Infant and young child feeding	2
shine_randomized_study_arms_data::studyarmcode	3	Water, sanitation, and hygiene	3
shine_randomized_study_arms_data::studyarmcode	4	Water, sanitation, and hygiene plus infant and young child feeding	4
shine_infant_birth_m18_data::death_by_m18	1	Yes	
shine_infant_birth_m18_data::stunted_m18	1	Yes	
shine_infant_birth_m18_data::stunted_m18	0	No	
shine_infant_birth_m18_data::wasted_m18	1	Yes	
shine_infant_birth_m18_data::wasted_m18	0	No	
shine_baseline_household_data::x07_latrine_storage_use	1	No	
shine_baseline_household_data::x07_latrine_storage_use	2	Yes	
shine_baseline_household_data::x07_latrine_storage_use	88	:::UNDEF:::	
shine_baseline_household_data::x07_latrine_storage_use	99	Don't Know	
shine_infant_birth_m18_data::female	1	Female	
shine_infant_birth_m18_data::female	0	Male	
shine_infant_ebf_data::ebf_module1	1	Yes	
shine_infant_ebf_data::ebf_module1	2	No	
shine_infant_ebf_data::ebf_module2	1	Yes	
shine_infant_ebf_data::ebf_module2	2	No	
shine_infant_ebf_data::ebf_module3	1	Yes	
shine_infant_ebf_data::ebf_module3	2	No	
shine_infant_birth_m18_data::anaemic_m18	1	Yes	
shine_infant_birth_m18_data::anaemic_m18	0	No	
shine_infant_birth_m18_data::severe_anaemic_m18	1	Yes	
shine_infant_birth_m18_data::severe_anaemic_m18	0	No	
shine_maternal_baseline_data::maternal_haematuria	1	Yes	
shine_maternal_baseline_data::maternal_haematuria	0	No	
SHINE_Infant_EBF_Data::ebf_init	0	No	
SHINE_Infant_EBF_Data::ebf_init	1	Yes	
SHINE_Infant_EBF_Data::ebf_init	NA	:::UNDEF:::	
EUPATH_0044122	Pre-intervention baseline	Pre-intervention baseline	1
EUPATH_0044122	0	Pre-intervention baseline	1
EUPATH_0044122	Month 12 follow-up	Month 12 follow-up	2
OBI_0001508	Pre-intervention baseline	Pre-intervention baseline	1
OBI_0001508	0	Pre-intervention baseline	1
OBI_0001508	1	Month 1 follow-up	2
OBI_0001508	3	Month 3 follow-up	3
OBI_0001508	6	Month 6 follow-up	4
OBI_0001508	12	Month 12 follow-up	5
OBI_0001508	Month 12 follow-up	Month 12 follow-up	6
OBI_0001508	18	Month 18 follow-up	7
OBI_0001508	24	Month 24 follow-up	8
OBI_0001508	Month 24 follow-up	Month 24 follow-up	8
