colOrder,variable,dataset,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag
109,F4A_HOUSE_FRIDGE,gems1a_case_control_study_data,keep,,Does your household have a Refrigerator?,0,,,,
110,F4A_HOUSE_AGLAND,gems1a_case_control_study_data,keep,,Does your household have Agricultural Land?,0,,,,
111,F4A_HOUSE_RADIO,gems1a_case_control_study_data,keep,,Does your household have a radio?,0,,,,
112,F4A_HOUSE_BOAT,gems1a_case_control_study_data,keep,,Does your household have a boat with a motor?,0,,,,
113,F4A_HOUSE_NONE,gems1a_case_control_study_data,keep,,Does your household have none of the above?,0,,,,
114,F4A_FUEL_ELEC,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Electricity?,0,,,,
115,F4A_FUEL_BIOGAS,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Biogas?,0,,,,
116,F4A_FUEL_GRASS,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Straw/Shrubs/Grass?,0,,,,
117,F4A_FUEL_PROPANE,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Liquid Propane Gas?,0,,,,
118,F4A_FUEL_COAL,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Coal/lignite?,0,,,,
119,F4A_FUEL_DUNG,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Animal dung?,0,,,,
120,F4A_FUEL_NATGAS,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Natural gas?,0,,,,
121,F4A_FUEL_CHARCOAL,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Charcoal?,0,,,,
122,F4A_FUEL_CROP,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Agricultural crop residue?,0,,,,
123,F4A_FUEL_KERO,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Kerosene?,0,,,,
124,F4A_FUEL_WOOD,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Wood?,0,,,,
125,F4A_FUEL_OTHER,gems1a_case_control_study_data,keep,,What type of cooking fuel does your house use? Other?,0,,,,
126,F4A_FUEL_OTHER_SPEC,gems1a_case_control_study_data,drop,,"What type of cooking fuel does your house use? Other, specify?",Char,,,,
127,F4A_ANI_GOAT,gems1a_case_control_study_data,keep,,Do the following animals live in the compound where Child lives? Goat?,0,,,,
128,F4A_ANI_SHEEP,gems1a_case_control_study_data,keep,,Do the following animals live in the compound where Child lives? Sheep?,0,,,,
129,F4A_ANI_DOG,gems1a_case_control_study_data,keep,,Do the following animals live in the compound where Child lives? Dog?,0,,,,
130,F4A_ANI_CAT,gems1a_case_control_study_data,keep,,Do the following animals live in the compound where Child lives? Cat?,0,,,,
131,F4A_ANI_COW,gems1a_case_control_study_data,keep,,Do the following animals live in the compound where Child lives? Cow?,0,,,,
132,F4A_ANI_RODENTS,gems1a_case_control_study_data,keep,,Do the following animals live in the compound where Child lives? Rodents?,0,,,,
133,F4A_ANI_FOWL,gems1a_case_control_study_data,keep,,"Do the following animals live in the compound where Child lives? Fowl (Chicken, duck or other birds)?",0,,,,
134,F4A_ANI_OTHER,gems1a_case_control_study_data,keep,,Do the following animals live in the compound where Child lives? Other?,0,,,,
135,F4A_ANI_SPEC,gems1a_case_control_study_data,drop,,"Do the following animals live in the compound where Child lives? Other, specify.",Char,,,,
136,F4A_ANI_NO,gems1a_case_control_study_data,keep,,Do the following animals live in the compound where Child lives? No Animals?,0,,,,
137,F4A_WATER_HOUSE,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Piped into house?",0,,,,
138,F4A_WATER_COVWELL,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Covered well in house or yard?",0,,,,
139,F4A_WATER_YARD,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Piped into yard?",0,,,,
140,F4A_WATER_COVPWELL,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Covered public well?",0,,,,
141,F4A_WATER_PUBTAP,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Public tap?",0,,,,
142,F4A_WATER_PROSPRING,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Protected spring?",0,,,,
143,F4A_WATER_WELL,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Open well in house or yard?",0,,,,
144,F4A_WATER_UNSPRING,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Unprotected spring?",0,,,,
145,F4A_WATER_PUBWELL,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Open public well?",0,,,,
146,F4A_WATER_RIVER,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? River or stream?",0,,,,
147,F4A_WATER_POND,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Pond or lake?",0,,,,
148,F4A_WATER_DAM,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Dam or earth pan?",0,,,,
149,F4A_WATER_DEEPWELL,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Deep tube well?",0,,,,
150,F4A_WATER_RAIN,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Rainwater?",0,,,,
151,F4A_WATER_SHALLWELL,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Shallow tube well?",0,,,,
152,F4A_WATER_BOUGHT,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Bought, tank, bottles, etc?",0,,,,
153,F4A_WATER_OTHR,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Other?",0,,,,
154,F4A_WATER_BORE,gems1a_case_control_study_data,keep,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Bore hole?",0,,,,
155,F4A_WATER_SPEC,gems1a_case_control_study_data,drop,,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Other, specify.",Char,,,,
156,F4A_MS_WATER,gems1a_case_control_study_data,keep,,"During the last two weeks, what was the main source of drinking water for members of your household?",1,,,,
157,F4A_MS_SPEC,gems1a_case_control_study_data,drop,,"During the last two weeks, what was the main source of drinking water for members of your household? Other, specify.",Char,,,,
158,F4A_TIME_WATER,gems1a_case_control_study_data,keep,,"How long does it take to go there, get water and come back?",0,,,,
159,F4A_FETCH_WATER,gems1a_case_control_study_data,keep,,Do you or other members from your household go and fetch drinking water fro the household every day?,0,,,,
160,F4A_TRIP_DAY,gems1a_case_control_study_data,keep,,"On average, how many trips do you and members of your household make to fetch water each day?",Num,,,,
161,F4A_TRIP_WEEK,gems1a_case_control_study_data,keep,,"On average, how many trips do you and members from your household make to fetch water each week?",Num,,,,
162,F4A_WATER_AVAIL,gems1a_case_control_study_data,keep,,"In the last two weeks, how often has water been available from this main source?",1,,,,
163,F4A_STORE_WATER,gems1a_case_control_study_data,keep,,"In the last two weeks, did you give Child stored water for drinking?",0,,,,
164,F4A_TRT_WATER,gems1a_case_control_study_data,keep,,Do you usually treat drinking water at home?,0,,,,
165,F4A_TRT_METHOD,gems1a_case_control_study_data,keep,,Which method do you use the most to treat drinking water at home?,0,,,,
166,F4A_TRT_METHOD_SPEC,gems1a_case_control_study_data,drop,,Which method do you use the most to treat drinking water at home?,Char,,,,
167,F4A_CHLORINE,gems1a_case_control_study_data,keep,,"If you use chlorine liquid, powder or tablets, which type do you most commonly use?",0,,,,
168,F4A_CHLORINE_SPEC,gems1a_case_control_study_data,drop,,"If you use chlorine liquid, powder or tablets, which type do you most commonly use?",Char,,,,
169,F4A_NOTRT_WATER,gems1a_case_control_study_data,keep,,In the last two weeks did you give Child water which was not treated?,0,,,,
170,F4A_DISP_FECES,gems1a_case_control_study_data,keep,,How do you usually dispose of Childs feces?,1,,,,
171,F4A_DISP_SPEC,gems1a_case_control_study_data,drop,,How do you usually dispose of Childs feces? Other specify.,Char,,,,
172,F4A_FAC_WASTE,gems1a_case_control_study_data,keep,,What kind of facility does your household most commonly use to dispose of human fecal waste?,1,,,,
173,F4A_FAC_SPEC,gems1a_case_control_study_data,drop,,"What kind of facility does your household most commonly use to dispose of human fecal waste? Other, specify",Char,,,,
174,F4A_SHARE_FAC,gems1a_case_control_study_data,keep,,How many households (other than your own) share this facility?,Num,,,,
175,F4A_WASH_EAT,gems1a_case_control_study_data,keep,,When do you usually wash your hands? Before eating?,0,,,,
176,F4A_WASH_COOK,gems1a_case_control_study_data,keep,,When do you usually wash your hands? Before cooking?,0,,,,
177,F4A_WASH_NURSE,gems1a_case_control_study_data,keep,,When do you usually wash your hands? Before you nurse or prepare baby's food?,0,,,,
178,F4A_WASH_DEF,gems1a_case_control_study_data,keep,,When do you usually wash your hands? After you defecate?,0,,,,
179,F4A_WASH_ANIMAL,gems1a_case_control_study_data,keep,,When do you usually wash your hands? After handling domestic animals?,0,,,,
180,F4A_WASH_CHILD,gems1a_case_control_study_data,keep,,When do you usually wash your hands? After cleaning child who defecated?,0,,,,
181,F4A_WASH_NEVER,gems1a_case_control_study_data,keep,,When do you usually wash your hands? Never?,0,,,,
182,F4A_WASH_OTHR,gems1a_case_control_study_data,keep,,"When do you usually wash your hands? Other, specify?",0,,,,
183,F4A_WASH_SPEC,gems1a_case_control_study_data,drop,,When do you usually wash your hands? Other specify.,Char,,,,
184,F4A_WASH_USE,gems1a_case_control_study_data,keep,,"When you wash your hands, what do you usually use?",1,,,,
185,F4A_BREASTFED_SINCE_ILL,gems1a_case_control_study_data,keep,,Has child been breast feeding since becoming ill with diarrhea?,0,,,,
186,F4A_BREASTFED_BEFORE_ILL,gems1a_case_control_study_data,keep,,Was child breastfeeding during the week before becoming ill with diarrhea?,0,,,,
187,F4A_DRH_DAYS,gems1a_case_control_study_data,keep,,How many days including today has this episode of diarrhea lasted?,Num,,,,
188,F4A_DRH_ONSET,gems1a_case_control_study_data,drop,,Date of onset of diarrhea,Date,,,Yes,
189,F4A_DRH_STOOLS,gems1a_case_control_study_data,keep,,"Since Child became ill with diarrhea, how would you describe the stool?",1,,,,
190,F4A_MAX_STOOLS,gems1a_case_control_study_data,keep,,"During the illness, what was the maximum number of loose stools that Child passed in a day (24 hour period)?",1,,,,
191,F4A_DRH_BLOOD,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Blood in stools?,0,,,,
192,F4A_DRH_VOMIT,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Vomiting 3 or more times per day?,0,,,,
193,F4A_DRH_THIRST,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Very thirsty?,0,,,,
194,F4A_DRH_LESSDRINK,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Drank much less than usual?,0,,,,
195,F4A_DRH_UNDRINK,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Unable to drink?,0,,,,
196,F4A_DRH_BELLYPAIN,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Belly pain?,0,,,,
197,F4A_DRH_FEVER,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Fever measured at least 38C or parental perception?,0,,,,
198,F4A_DRH_RESTLESS,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Irritable or restless?,0,,,,
199,F4A_DRH_LETHRGY,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Decreased activity or lethargy?,0,,,,
200,F4A_DRH_CONSC,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Loss of consciousness?,0,,,,
201,F4A_DRH_STRAIN,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Rectal straining?,0,,,,
202,F4A_DRH_PROLAPSE,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Rectal prolapse?,0,,,,
203,F4A_DRH_COUGH,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Cough?,0,,,,
204,F4A_DRH_BREATH,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Difficulty breathing?,0,,,,
205,F4A_DRH_CONV,gems1a_case_control_study_data,keep,,Did Child have any of the following since this illness began? Convulsion?,0,,,,
206,F4A_CUR_THIRSTY,gems1a_case_control_study_data,keep,,"Right now, does your child have any of the following? Very thirsty?",0,,,,
207,F4A_CUR_NODRINK,gems1a_case_control_study_data,keep,,"Right now, does your child have any of the following? Drinks poorly or not able to drink?",0,,,,
208,F4A_CUR_SUNKEYES,gems1a_case_control_study_data,keep,,"Right now, does your child have any of the following? Sunken Eyes?",0,,,,
209,F4A_CUR_SKIN,gems1a_case_control_study_data,keep,,"Right now, does your child have any of the following? Wrinkled skin?",0,,,,
210,F4A_CUR_RESTLESS,gems1a_case_control_study_data,keep,,"Right now, does your child have any of the following? Irritable or restless?",0,,,,
211,F4A_CUR_LETHRGY,gems1a_case_control_study_data,keep,,"Right now, does your child have any of the following? Lethargy or loss of consciousness?",0,,,,
212,F4A_CUR_DRYMOUTH,gems1a_case_control_study_data,keep,,"Right now, does your child have any of the following? Dry mouth?",0,,,,
213,F4A_CUR_FASTBREATH,gems1a_case_control_study_data,keep,,"Right now, does your child have any of the following? Fast breathing?",0,,,,
214,F4A_HOMETRT_ORS,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? A fluid made from a special packed called Oralite or ORS?",0,,,,
215,F4A_HOMETRT_MAIZE,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Homemade fluid?",0,,,,
216,F4A_HOMETRT_MILK,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Special milk or infant formula?",0,,,,
217,F4A_HOMETRT_HERB,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Home remedy/Herbal medicaion?",0,,,,
218,F4A_HOMETRT_ZINC,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Zinc (tablet/syrup)?",0,,,,
219,F4A_HOMETRT_NONE,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? No special remedies given?",0,,,,
220,F4A_HOMETRT_OTHRLIQ,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Any other liquids?",0,,,,
221,F4A_HOMETRTLIQ_SPEC,gems1a_case_control_study_data,drop,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Any other liquids, specify.",Char,,,,
222,F4A_HOMETRT_AB,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Antibiotics?",0,,,,
223,F4A_HOMETRT_AB_SPEC,gems1a_case_control_study_data,drop,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Antibiotics, specify.",Char,,,,
224,F4A_HOMETRT_OTHR1,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Other (1)?",0,,,,
225,F4A_HOMETRT_SPEC1,gems1a_case_control_study_data,drop,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Other (1) Specify.",Char,,,,
226,F4A_HOMETRT_OTHR2,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Other (2)?",0,,,,
227,F4A_HOMETRT_SPEC2,gems1a_case_control_study_data,drop,,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Other (2) Specify.",Char,,,,
228,F4A_OFFR_DRINK,gems1a_case_control_study_data,keep,,"Since Child developed diarrhea, how much have you been offering Child to drink?",1,,,,
229,F4A_OFFR_EAT,gems1a_case_control_study_data,keep,,"Since Child developed diarrhea, how much have you been offering Child to eat?",1,,,,
230,F4A_SEEK_OUTSIDE,gems1a_case_control_study_data,keep,,"Before coming to this hospital/health center, did you seek care for Child outside your household for this illness?",0,,,,
231,F4A_SEEK_PHARM,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Pharmacy?",0,,,,
232,F4A_SEEK_FRIEND,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Friend/Relative?",0,,,,
233,F4A_SEEK_HEALER,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Traditional healer?",0,,,,
234,F4A_SEEK_DOC,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Unlicensed practitioner/village doctor/bush doctor/vilage health worker?",0,,,,
235,F4A_SEEK_PRIVDOC,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Licensed practitioner/private doctor (not at hospital)",0,,,,
236,F4A_SEEK_REMDY,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Bought a remedy/medicine at the shop/market",0,,,,
237,F4A_SEEK_REMDY_SPEC,gems1a_case_control_study_data,drop,,"If you previously sought care for Child for this illness, where did you go? Bought a remedy/medicine at the shop/market, specify.",Char,,,,
238,F4A_SEEK_CTR1,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Hospital/Center of first choice?",0,,,,
239,F4A_SEEK_CTR1_CODE,gems1a_case_control_study_data,keep,,,3-digit code,,,,
240,F4A_SEEK_CTR1_SHC,gems1a_case_control_study_data,keep,,,0,,,,
241,F4A_SEEK_CTR2,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Hospital/Center of second choice?",0,,,,
242,F4A_SEEK_CTR2_CODE,gems1a_case_control_study_data,keep,,,3-digit code,,,,
243,F4A_SEEK_CTR2_SHC,gems1a_case_control_study_data,keep,,,0,,,,
244,F4A_SEEK_CTR3,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Hospital/Center of third choice?",0,,,,
245,F4A_SEEK_CTR3_CODE,gems1a_case_control_study_data,keep,,,3-digit code,,,,
246,F4A_SEEK_CTR3_SHC,gems1a_case_control_study_data,keep,,,NA,,,,
247,F4A_SEEK_OTHER,gems1a_case_control_study_data,keep,,"If you previously sought care for Child for this illness, where did you go? Other hospital/center?",0,,,,
248,F4A_SEEK_OTHER_SPEC,gems1a_case_control_study_data,drop,,"If you previously sought care for Child for this illness, where did you go? Other hospital/center, specify.",Char,,,,
249,F4A_PHARM_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Pharmacy,Num,,,,
250,F4A_PHARM_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Pharmacy,Num,,,,
251,F4A_HEAL_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Traditional Healer,Num,,,,
252,F4A_HEAL_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Traditional Healer,Num,,,,
253,F4A_DOC_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Unlicensed practitioner/village doctor/bush doctor,Num,,,,
254,F4A_DOC_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Unlicensed practitioner/village doctor/bush doctor,Num,,,,
255,F4A_PRIVDOC_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Licensed practitioner/private doctor,Num,,,,
256,F4A_PRIVDOC_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Licensed practitioner/private doctor,Num,,,,
257,F4A_REMDY_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Bought remedy/medicine at the shop/market,Num,,,,
258,F4A_REMDY_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Bought remedy/medicine at the shop/market,Num,,,,
259,F4A_CTR1_TOTAL,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 1st Choice,Num,,,,
260,F4A_CTR1_TRNSPRT,gems1a_case_control_study_data,keep,,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 1st Choice,Num,,,,
