"colOrder","variable","uniqueVar","dataFile","IRI","label","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","notesForOnt"
"25","ethnicity","ethnicity|crf1_mali project 1 data","crf1_mali project 1 data","OMRSE_00000100","Ethnicity","","Participant","Demographics","EUPATH_0010981","C4_CRF1","1, no, Wolof
2, no, Sérère
3, no, Peulh/Fula
4, no, Bambara
5, no, Sarakholé/Serehule
6, no, Socé/Mandinka/Malinke
7, no, Diola/Jola
8, no, Maure
9, no, Bozo/somono
10, no, Dogon
66, no, Other
-99, no, Unknown
-77, no, Missing","variable",""
"26","spec_ethinicity","spec_ethinicity|crf1_mali project 1 data","crf1_mali project 1 data","","Other ethnicity","","Participant","Demographics","EUPATH_0010981","C4_1_CRF1","","variable",""
"29","age","age|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000120","Age at enrollment","","Participant","Participant study details","EUPATH_0000307","","","variable",""
"39","studyid","studyid|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000095","Participant ID","","Participant","Participant","EUPATH_0000096","Study ID","","variable",""
"41","temperature","temperature|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000110","Temperature (C)","","Observation","Physical examination","OGMS_0000083","Temperature","","variable",""
"42","temperature_site","temperature_site|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000544","Temperature measurement method","","Observation","Physical examination","OGMS_0000083","","1, no, Axillary
2, no, Tympanic (Ear)
3, no, Rectal
4, no, Oral
-77, no, Missing","variable",""
"43","weight","weight|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000732","Weight (kg)","","Observation","Anthropometry","EUPATH_0000649","Weight","","variable",""
"44","fever24","fever24|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000100","Subjective fever","","Observation","Symptoms","EUPATH_0021002","Fever in the previous 24 hours?","1, no, Yes
0, no, No
-99, no, Unknown
-77, no, Missing","variable",""
"45","spleen","spleen|crf1_mali project 1 data","crf1_mali project 1 data","","Spleen size","","Observation","Physical examination","OGMS_0000083","Spleen size:","","variable",""
"46","pregnant","pregnant|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0024218","Pregnant","","Observation","Observation","EUPATH_0000738","Is the patient pregnant?","1, no, Yes
0, no, No
-88, no, Cannot be pregnant (due to age or gender)
-77, no, Missing","variable",""
"47","rdt","rdt|crf1_mali project 1 data","crf1_mali project 1 data","","RDT performed","","Sample","Microbiology tests performed","EUPATH_0011800","RDT Done","1, no, Yes
0, no, No
-88, no, No symptoms
-77, no, Missing","variable",""
"48","rdt_hrp","rdt_hrp|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0024217","Plasmodium present, by RDT","","Sample","Plasmodium","NCBITaxon_5820","RDT (HRP2) Positive","1, no, Yes
0, no, No
-88, no, RDT not done
-77, no, Missing","variable","Change label in Southern Africa to 'Plasmodium present, by RDT' as well"
"49","hbsample","hbsample|crf1_mali project 1 data","crf1_mali project 1 data","","Hemoglobin measurement performed","","Sample","Blood tests performed","","F3_CRF1","1, no, Yes
0, no, No
-77, no, Missing","variable",""
"50","hemoglobin","hemoglobin|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000047","Hemoglobin (g/dL)","","Sample","Blood test","EUPATH_0011795","F4_CRF1","","variable",""
"51","smear","smear|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0021081","Blood smear sample","","Sample","Blood sample","OBI_0000655","F5_CRF1","1, no, Yes
0, no, No
-77, no, Missing","variable",""
"52","filter","filter|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000127","Filter paper sample","","Sample","Blood sample","OBI_0000655","F6_CRF1","1, no, Yes
0, no, No
-77, no, Missing","variable",""
"53","spots","spots|crf1_mali project 1 data","crf1_mali project 1 data","","Filter paper sample count","","Sample","Blood sample","OBI_0000655","F6_1_CRF1","1, no, One
2, no, Two
-77, no, Missing","variable",""
"54","edta","edta|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0032048","EDTA-treated sample","","Sample","Blood sample","OBI_0000655","F7_CRF1","1, no, Yes
0, no, No
-77, no, Missing","variable","Change label in PERCH to 'EDTA-treated sample' as well"
"1","x...intervalname","x...intervalname|crf3_mali project 1 data","crf3_mali project 1 data","BFO_0000015","Observation type","","Observation","Observation","EUPATH_0000738","","","variable",""
"3","studyid1","studyid1|crf3_mali project 1 data","crf3_mali project 1 data","EUPATH_0000095","Participant ID","","Participant","Participant","EUPATH_0000096","Study number","","variable",""
"4","slideid1","slideid1|crf3_mali project 1 data","crf3_mali project 1 data","","Blood smear slide ID","","Sample","Blood sample","OBI_0000655","Slide number","","variable",""
"5","readnum1","readnum1|crf3_mali project 1 data","crf3_mali project 1 data","","Slide reading number","","Sample","Microbiology tests performed","EUPATH_0011800","Slide reading","1, no, First
2, no, Second
3, no, Third
-77, no, Missing on the form","variable",""
"6","smrpos1","smrpos1|crf3_mali project 1 data","crf3_mali project 1 data","","Plasmodium present, by micrscopy","","Sample","Plasmodium","NCBITaxon_5820","A4_smearPos_CRF3","1, no, Yes
0, no, No
-77, no, Missing on the form","variable",""
"13","asexpf1","asexpf1|crf3_mali project 1 data","crf3_mali project 1 data","EUPATH_0000550","Plasmodium falciparum asexual stage density (per uL blood), by microscopy","","Sample","Plasmodium","NCBITaxon_5820","Number of P Falciparum","","variable",""
"14","gamete1","gamete1|crf3_mali project 1 data","crf3_mali project 1 data","","Plasmodium falciparum gametocytes present, by microscopy","","Sample","Plasmodium","NCBITaxon_5820","Presence of P Falciparum gametocytes","1, no, Yes
0, no, No
-88, no, N/A
-77, no, Missing on the form","variable",""
"15","num_gametocytes1","num_gametocytes1|crf3_mali project 1 data","crf3_mali project 1 data","EUPATH_0000546","Plasmodium falciparum gametocyte density (per uL blood), by microscopy","","Sample","Plasmodium","NCBITaxon_5820","Number of P Falciparum","","variable",""
"16","slreddt1","slreddt1|crf3_mali project 1 data","crf3_mali project 1 data","EUPATH_0025095","Microscopy analysis date","","Sample","Microscopy","EUPATH_0011802","Date the slide is read","","variable",""
"20","p_falciparum_num1","p_falciparum_num1|crf3_mali project 1 data","crf3_mali project 1 data","EUPATH_0021028","Plasmodium falciparum","","Sample","Plasmodium species, by microscopy","EUPATH_0000423","Value set through dependency","","value",""
"21","p_vivax_num1","p_vivax_num1|crf3_mali project 1 data","crf3_mali project 1 data","EUPATH_0021029","Plasmodium vivax","","Sample","Plasmodium species, by microscopy","EUPATH_0000423","Value set through dependency","","value",""
"22","p_ovale_num1","p_ovale_num1|crf3_mali project 1 data","crf3_mali project 1 data","EUPATH_0020167","Plasmodium ovale","","Sample","Plasmodium species, by microscopy","EUPATH_0000423","Value set through dependency","","value",""
"23","p_malariae_num1","p_malariae_num1|crf3_mali project 1 data","crf3_mali project 1 data","EUPATH_0021030","Plasmodium malariae","","Sample","Plasmodium species, by microscopy","EUPATH_0000423","Value set through dependency","","value",""
"1","x...intervalname","x...intervalname|crf8_mali project 1 data","crf8_mali project 1 data","BFO_0000015","Observation type","","Observation","Observation","EUPATH_0000738","","","variable",""
"7","sample_id","sample_id|crf8_mali project 1 data","crf8_mali project 1 data","","EDTA-treated sample ID","","Sample","Blood sample","OBI_0000655","Sample ID:","","variable",""
"8","sample_collect_date","sample_collect_date|crf8_mali project 1 data","crf8_mali project 1 data","EUPATH_0033147","Blood sample collection date","","Sample","Blood sample collection process","EUPATH_0011482","A5 Date sample collected","","variable",""
"10","a6_study_subject_id","a6_study_subject_id|crf8_mali project 1 data","crf8_mali project 1 data","EUPATH_0000095","Participant ID","","Participant","Participant","EUPATH_0000096","A.6 Study Subject ID","","variable",""
"13","vol_b2","vol_b2|crf8_mali project 1 data","crf8_mali project 1 data","","EDTA-treated sample plasma volume","","Sample","Blood sample","OBI_0000655","B_2 Volume of plama in plasma tube","","variable",""
"14","vol_b3","vol_b3|crf8_mali project 1 data","crf8_mali project 1 data","","EDTA-treated sample plasma volume 2","","Sample","Blood sample","OBI_0000655","B_3 Volume of plama in plasma tube2","","variable",""
"15","vol_b4","vol_b4|crf8_mali project 1 data","crf8_mali project 1 data","","EDTA-treated sample pellet volume","","Sample","Blood sample","OBI_0000655","b4 Volume in red pellet tubes","","variable",""
"3","dov","dov|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0004991","Observation date","","Observation","Observation details","EUPATH_0000310","A4_CRF1","","variable",""
"7","b1","b1|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0022053","Present at visit","","Observation","Observation details","EUPATH_0000310","Is the patient present in the village/quarter","1, no, Yes
0, no, No
-77, no, Missing in the form","variable",""
"8","b2","b2|crf9_mali project 1 data","crf9_mali project 1 data","","Fever or malaria in last 6 months","","Observation","Immediate clinical history","EUPATH_0021098","Has the patient had an episode of fever/ malaria in the past 6 months","1, no, Yes
0, no, No
-77, no, Missing in the form","variable",""
"9","b21","b21|crf9_mali project 1 data","crf9_mali project 1 data","","Fever or malaria in last 6 months (count)","","Observation","Immediate clinical history","EUPATH_0021098","�If yes, how many�","","variable",""
"10","b22","b22|crf9_mali project 1 data","crf9_mali project 1 data","","Month of fever or malaria in last 6 months ","","Observation","Immediate clinical history","EUPATH_0021098","If yes, at which month (three first letters; -88 no episode; -99 patient does not know","1, no, Jan
2, no, Feb
3, no, Mar
4, no, Apr
5, no, May
6, no, Jun
7, no, Jul
8, no, Aug
9, no, Sep
10, no, Oct
11, no, Nov
12, no, Dec
-88, no, no episode
-99, no, patient does not know
-77, no, missing in the form","variable",""
"11","b23","b23|crf9_mali project 1 data","crf9_mali project 1 data","","Fever or malaria in last 6 months diagnostic method","","Observation","Immediate clinical history","EUPATH_0021098","If yes, how was the diagnosis made ?","1, no, Blood test
0, no, No blood test
-99, no, Does not know
-88, no, No malaria
-77, no, Missing in the form","variable",""
"12","temperature","temperature|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0000110","Temperature (C)","","Observation","Physical examination","OGMS_0000083","Temperature","","variable",""
"13","temperature_site","temperature_site|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0000544","Temperature measurement method","","Observation","Physical examination","OGMS_0000083","","1, no, Axillary
2, no, Tympanic (Ear)
3, no, Rectal
4, no, Oral
-77, no, Missing","variable",""
"14","weight","weight|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0000732","Weight (kg)","","Observation","Anthropometry","EUPATH_0000649","Weight","","variable",""
"15","fever24","fever24|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0000100","Subjective fever","","Observation","Symptoms","EUPATH_0021002","Fever in the previous 24 hours?","1, no, Yes
0, no, No
-99, no, Unknown
-77, no, Missing","variable",""
"16","spleen","spleen|crf9_mali project 1 data","crf9_mali project 1 data","","Spleen size","","Observation","Physical examination","OGMS_0000083","Spleen size:","","variable",""
"17","pregnant","pregnant|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0024218","Pregnant","","Observation","Observation","EUPATH_0000738","Is the patient pregnant?","1, no, Yes
0, no, No
-88, no, Cannot be pregnant (due to age or gender)
-77, no, Missing","variable",""
"18","rdt","rdt|crf9_mali project 1 data","crf9_mali project 1 data","","RDT performed","","Sample","Microbiology tests performed","EUPATH_0011800","RDT Done","1, no, Yes
0, no, No
-88, no, No symptoms
-77, no, Missing","variable",""
"19","rdt_hrp","rdt_hrp|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0024217","Plasmodium present, by RDT","","Sample","Plasmodium","NCBITaxon_5820","RDT (HRP2) Positive","1, no, Yes
0, no, No
-88, no, RDT not done
-77, no, Missing","variable",""
"20","hbsample","hbsample|crf9_mali project 1 data","crf9_mali project 1 data","","Hemoglobin measurement performed","","Sample","Blood tests performed","","F3_CRF1","1, no, Yes
0, no, No
-77, no, Missing","variable",""
"21","hemoglobin","hemoglobin|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0000047","Hemoglobin (g/dL)","","Sample","Blood test","EUPATH_0011795","F4_CRF1","","variable",""
"22","smear","smear|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0021081","Blood smear sample","","Sample","Blood sample","OBI_0000655","F5_CRF1","1, no, Yes
0, no, No
-77, no, Missing","variable",""
"23","filter","filter|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0000127","Filter paper sample","","Sample","Blood sample","OBI_0000655","F6_CRF1","1, no, Yes
0, no, No
-77, no, Missing","variable",""
"24","spots","spots|crf9_mali project 1 data","crf9_mali project 1 data","","Filter paper sample count","","Sample","Blood sample","OBI_0000655","F6_1_CRF1","1, no, One
2, no, Two
-77, no, Missing","variable",""
"25","edta","edta|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0032048","EDTA-treated sample","","Sample","Blood sample","OBI_0000655","F7_CRF1","1, no, Yes
0, no, No
-77, no, Missing","variable",""
"29","projectspecificid","projectspecificid|crf9_mali project 1 data","crf9_mali project 1 data","EUPATH_0000095","Participant ID","","Participant","Participant","EUPATH_0000096","","","variable",""
"31","intervalname","intervalname|crf9_mali project 1 data","crf9_mali project 1 data","BFO_0000015","Observation type","","Observation","Observation","EUPATH_0000738","","","variable",""
"","","","","EUPATH_0000738","Observation","","Observation","","","","","category",""
"","","","","EUPATH_0010981","Demographics","","Participant","Participant","EUPATH_0000096","","","category",""
"","","","","GAZ_00000448","Geographic location","","Household","Household","PCO_0000024","","","category",""
"","","","","EUPATH_0011795","Blood test","","Sample","Laboratory test","OGMS_0000056","","","category",""
"","","","","EUPATH_0000096","Participant","","Participant","","","","","category",""
"","","","","EUPATH_0021002","Symptoms","","Observation","Signs and symptoms","EUPATH_0000309","","","category",""
"","","","","OGMS_0000083","Physical examination","","Observation","Observation","EUPATH_0000738","","","category",""
"","","","","EUPATH_0000307","Participant study details","","Participant","Participant","EUPATH_0000096","","","category",""
"","","","","OBI_0000655","Blood sample","","Sample","Sample","EUPATH_0000609","","","category",""
"","","","","NCBITaxon_5820","Plasmodium","","Sample","Eukaryota","NCBITaxon_2759","","","category",""
"","","","","EUPATH_0000649","Anthropometry","","Observation","Observation","EUPATH_0000738","","","category",""
"","","","","EUPATH_0000310","Observation details","","Observation","Observation","EUPATH_0000738","","","category",""
"","","","","EUPATH_0000423","Plasmodium species, by microscopy","","Sample","Plasmodium","NCBITaxon_5820","","","multifilter",""
"","","","","EUPATH_0011802","Microscopy","","Sample","Microbiology tests performed","EUPATH_0011800","","","category",""
"","","","","EUPATH_0011482","Blood sample collection process","","Sample","Sample collection","OBI_0000659","","","category",""
"","","","","","Blood tests performed","","Sample","Blood test","EUPATH_0011795","","","category",""
"","","","","EUPATH_0011800","Microbiology tests performed","","Sample","Blood microbiology test","EUPATH_0020005","","","category",""
"","","","","EUPATH_0021098","Immediate clinical history","","Observation","Observation","EUPATH_0000738","","","category",""
"","","","","PCO_0000024","Household","","Household","","","","","category",""
"","","","","OGMS_0000056","Laboratory test","","Sample","Sample","EUPATH_0000609","","","category",""
"","","","","EUPATH_0000309","Signs and symptoms","","Observation","Observation","EUPATH_0000738","","","category",""
"","","","","EUPATH_0000609","Sample","","Sample","","","","","category",""
"","","","","NCBITaxon_2759","Eukaryota","","Sample","Blood microbiology test","EUPATH_0020005","","","category",""
"","","","","OBI_0000659","Sample collection","","Sample","Sample","EUPATH_0000609","","","category",""
"","","","","EUPATH_0020005","Blood microbiology test","","Sample","Laboratory test","OGMS_0000056","","","category",""
