colOrder,overallOrder,displayOrder,variable_dataFile,dataFile,IRI,label,definition,catrgory,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,newLabel
23,,,diagnosis5,umsp, EUPATH_0000317,Other diagnosis,,observation,,,5th diagnosis given,0 - No diagnosos,,,,,
24,,,diagnosis6,umsp, EUPATH_0000317,Other diagnosis,,observation,,,6th diagnosis given,0 - No diagnosos,,,,,
25,,,diagnosis7,umsp, EUPATH_0000317,Other diagnosis,,observation,,,7th diagnosis given,0 - No diagnosos,,,,,
26,,,diagnosis8,umsp, EUPATH_0000317,Other diagnosis,,observation,,,8th diagnosis given,0 - No diagnosos,,,,,
27,,,treatment1,umsp,EUPATH_0000059,Non-malaria medication,,observation,,,1st medication prescribed,0 - No treatment,,,,,
28,,,treatment2,umsp,EUPATH_0000059,Non-malaria medication,,observation,,,2nd medication prescribed,0 - No treatment,,,,,
29,,,treatment3,umsp,EUPATH_0000059,Non-malaria medication,,observation,,,3rd medication prescribed,0 - No treatment,,,,,
30,,,treatment4,umsp,EUPATH_0000059,Non-malaria medication,,observation,,,4th medication prescribed,0 - No treatment,,,,,
31,,,treatment5,umsp,EUPATH_0000059,Non-malaria medication,,observation,,,5th medication prescribed,0 - No treatment,,,,,
32,,,treatment6,umsp,EUPATH_0000059,Non-malaria medication,,observation,,,6th medication prescribed,0 - No treatment,,,,,
33,,,treatment7,umsp,EUPATH_0000059,Non-malaria medication,,observation,,,7th medication prescribed,0 - No treatment,,,,,
34,,,treatment8,umsp,EUPATH_0000059,Non-malaria medication,,observation,,,8th medication prescribed,0 - No treatment,,,,,
35,,,disability,umsp,,Disability present,,observation,,,Any form of disability present,"0 - No
1 - Yes
9 - Missing",variable,,,,
38,,,malariapreg,umsp,,Malaria diagnosis in pregnancy,,observation,,,Whether malaria in pregnancy diagnosed,"0 - No
1 - Yes",variable,,,,
39,,,clinicalmalaria,umsp,http://purl.obolibrary.org/obo/EUPATH_0000036,Malaria diagnosis,,observation,,,Whether given a clinical diagnosis of malaria,"0 - No
1 - Yes",variable,,,,
40,,,antimalarial,umsp,http://purl.obolibrary.org/obo/EUPATH_0023040,Initiated antimalerial treatment,,observation,,,Whether any anitmalarial prescribed,"0 - No
1 - Yes",variable,,,,
41,,,AQ,umsp,,Amodiaquine prescribed,,observation,Malaria treatment,EUPATH_0000740,Whether amodiaquine prescribed,"0 - No
1 - Yes",value,,,,
42,,,AR,umsp,,Aremether prescribed,,observation,Malaria treatment,EUPATH_0000741,Whether aremether prescribed,"0 - No
1 - Yes",value,,,,
43,,,AS,umsp,,Artesunate prescribed,,observation,Malaria treatment,EUPATH_0000742,Whether artesunate prescribed,"0 - No
1 - Yes",value,,,,
44,,,CQ,umsp,,Chloroquine prescribed,,observation,Malaria treatment,EUPATH_0000743,Whether chloroquine prescribed,"0 - No
1 - Yes",value,,,,
45,,,AL,umsp,,Artemether-lumefantrine prescribed,,observation,Malaria treatment,EUPATH_0000744,Whether artemether-lumefantrine prescribed,"0 - No
1 - Yes",value,,,,
46,,,DP,umsp,,Diydroartemisinin-piperaquine prescribed ,,observation,Malaria treatment,EUPATH_0000745,Whether diydroartemisinin-piperaquine prescribed ,"0 - No
1 - Yes",value,,,,
47,,,Quinine,umsp,,Quinine prescribed,,observation,Malaria treatment,EUPATH_0000746,Whether quinine prescribed,"0 - No
1 - Yes",value,,,,
48,,,SP,umsp,,Sulfadoxine-pyrimethamine prescribed,,observation,Malaria treatment,EUPATH_0000747,Whether sulfadoxine-pyrimethamine prescribed,"0 - No
1 - Yes",value,,,,
49,,,Arco,umsp,,Artemisinin-naphthoquine prescribed,,observation,Malaria treatment,EUPATH_0000748,Whether artemisinin-naphthoquine prescribed,"0 - No
1 - Yes",value,,,,
51,,,malariasuspected,umsp,http://purl.obolibrary.org/obo/EUPATH_0000090,Malaria suspected,,observation,,,Whether malaria was suspected = any malaria test result OR clinical diagnosis of malaria without test result,"0 - No
1 - Yes",variable,,,,
53,,,antimalarialcat,umsp,,Antimalarial drug category,,observation,,,Antimalarial drug category,"1 - artemether-lumefantrine
2 - quinine
3 - other antimalarial",variable,,,,
