IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/EUPATH_0063010,Malaria positive count,tprnum,,monthly data for all sites through july 2022,Number of patients suspected of malaria who tested positive (test positivity rate numerator),Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Number of patients suspected of malaria who tested positive (test positivity rate numerator),,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063011,Malaria test positivity rate,tpr,,monthly data for all sites through july 2022,Test positivity rate (TPR) is the number of people who tested positive for malaria out of all those who were tested for malaria,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Test positivity rate (number who tested positive of all those tested),,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063012,Tested for malaria by RDT count,rdt,,monthly data for all sites through july 2022,Number of patients tested by RDT,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Number of people tested by RDT,,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063013,Tested for malaria by RDT proportion,proprdt,,monthly data for all sites through july 2022,"Of the patients tested for malaria, the proportion tested by RDT",Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,"Of the people tested for malaria, the proportion tested by RDT",,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063014,Tested for malaria in target area count,tprdenomca,,monthly data for all sites through july 2022,"Of those suspected of malaria and living within the defined target area, number tested for malaria (test positivity rate denominator)",Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,"Of those suspected of malaria, number tested for malaria (test positivity rate denominator) from within the catchment area",,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063015,Malaria positive in target area count,tprnumca,,monthly data for all sites through july 2022,Number of patients in target area suspected of malaria who tested positive (test positivity rate numerator),Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Number of patients suspected of malaria who tested positive (test positivity rate numerator) within the catchement area,,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063016,Malaria test positivity rate in target area,tprca,,monthly data for all sites through july 2022,Test positivity rate (TPR) is the number of people who tested positive for malaria out of all those who were tested for malaria in the target area,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Test positivity rate (number who tested positive of all those tested) within the catchment area,,variable,,,,,UMSP aggregated,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063017,Tested for malaria by RDT in target area count,rdtca,,monthly data for all sites through july 2022,Number of patients tested by RDT in the target area,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Number of people tested by RDT within the catchment area,,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063018,Tested for malaria by RDT in target area proportion,proprdtca,,monthly data for all sites through july 2022,"Of the patients tested for malaria, the proportion tested by RDT in the target area",Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,"Of the people tested for malaria, the proportion tested by RDT",,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063019,Adjusted malaria positive in target area count,totaladj,,monthly data for all sites through july 2022,Adjusted number of patients witihin the target area who tested positive for malaria. Adjusted for missing data on village and malaria testing,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Adjusted number of patients witihin the catchment area who tested positive for malaria. Adjusted for missing data on village and malaria testing,,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0053133,Population,targetpopulation,,monthly data for all sites through july 2022,Population of target area,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Catchment area population,,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063020,Malaria incidence rate per 1000 people,mi1000,,monthly data for all sites through july 2022,,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Malaria incidence rate per 1000 people,,variable,,,,,UMSP aggregated,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063021,Community data collection year,year,,monthly data for all sites through july 2022,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Year of data collection,,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063022,Community data collection month,month,,monthly data for all sites through july 2022,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Month of data collection,,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0051003,Health center level information,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,,,Community,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,UMSP aggregated,,,,,,,,,
