overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
35,chxotasp,_clin_rev_de.sas7bdat,,Other symptom,,Observation,Signs and symptoms,EUPATH_0000309,Other symptom A specify,,variable,
36,chxotbsp,_clin_rev_de.sas7bdat,,Other symptom,,Observation,Signs and symptoms,EUPATH_0000309,Other symptom B specify,,variable,
37,chxmed,_clin_rev_de.sas7bdat,,Medication in past 48h,,Observation,Immediate clinical history,EUPATH_0021098,Medication for illness,"0 - No, 1 - Yes, 8 - UNK, 9 - N/A",variable,
38,chxadm,_clin_rev_de.sas7bdat,,Admitted since birth,,Observation,Hospitalization,EUPATH_0000308,Admitted since birth,"0 - No, 1 - Yes, 8 - UNK",variable,
39,chxadmp,_clin_rev_de.sas7bdat,,Admitted for pneumonia,,Observation,Hospitalization,EUPATH_0000308,Admitted for pneumonia,"0 - No, 1 - Yes, 8 - UNK",variable,
40,chxwhzdx,_clin_rev_de.sas7bdat,,Wheezing ever diagnosed,,Participant,Clinical history,OGMS_0000015,Wheezing diagnosis,"0 - No, 1 - Yes, 8 - UNK",variable,
41,chxmeas,_clin_rev_de.sas7bdat,,Measles in last month,,Observation,Immediate clinical history,EUPATH_0021098,Measles in past month,"0 - No, 1 - Yes, 8 - UNK",variable,
42,cisettas,_clin_rev_de.sas7bdat,,Endotracheal tube aspirate collected,,Sample,Endotracheal tube aspirate collection process,,ETT aspirate from intubat,"0 - No, 1 - Yes",variable,
43,cisgasas,_clin_rev_de.sas7bdat,,Gastric aspirate collected,,Sample,Gastric aspirate collection process,,Gastric aspirate collect,"0 - No, 1 - Yes",variable,
44,cisfisc,_clin_rev_de.sas7bdat,,Induced sputum sample collected,,Sample,Induced sputum collection process,,First IS collected,"0 - No, 1 - Yes",variable,
45,cisaddis,_clin_rev_de.sas7bdat,,Additional induced sputum sample collected,,Sample,Induced sputum collection process,,Additional IS collected,"0 - No, 1 - Yes",variable,
46,claladt,_clin_rev_de.sas7bdat,,Lung aspirate collection date,,Sample,Lung aspirate collection process,,Date specimen collected,,variable,
47,clalatm,_clin_rev_de.sas7bdat,,Lung aspirate collection time,,Sample,Lung aspirate collection process,,Time of lung aspirate,,variable,
48,cmrdthdt,_clin_rev_de.sas7bdat,EUPATH_0000150,Death date,,Participant,Death information,EUPATH_0000671,Date of death,,variable,
49,cmrlocat,_clin_rev_de.sas7bdat,,Died at study facility,,Participant,Death information,EUPATH_0000671,Die at study facility,"0 - No, 1 - Yes, 8 - UNK",variable,
50,_temperature,_clin_rev_de.sas7bdat,EUPATH_0000110,Temperature,,Observation,Physical examination,OGMS_0000083,Temperature (axillary) (C),,variable,
51,_muc,_clin_rev_de.sas7bdat,EUPATH_0010084,MUAC (cm),,Observation,Anthropometry,EUPATH_0000649,Mid-upper arm circumference (mm),,variable,
52,csahr,_clin_rev_de.sas7bdat,EFO_0004326,Heart rate (bpm),,Observation,Physical examination,OGMS_0000083,Heart rate,,variable,
53,csapeded,_clin_rev_de.sas7bdat,,Pedal edema,,Observation,Symptoms,EUPATH_0021002,Pedal edema,"0 - No, 1 - Yes, 8 - UNK, 9 - NR",value,
54,_cough,_clin_rev_de.sas7bdat,,Cough observed,,Observation,Symptoms,EUPATH_0021002,Observed cough,0 = No 1 = Yes,value,
55,csabarkc,_clin_rev_de.sas7bdat,,Barking cough,,Observation,Symptoms,EUPATH_0021002,Barking cough,"0 - No, 1 - Yes, 8 - UNK, 9 - NR",value,
56,csastrid,_clin_rev_de.sas7bdat,,Stridor,,Observation,Symptoms,EUPATH_0021002,Stridor,"0 - No, 1 - Yes, 8 - UNK, 9 - NR",value,
57,csastrq,_clin_rev_de.sas7bdat,,Stridor when participant quiet,,Observation,Symptoms,EUPATH_0021002,Stridor when child quiet,"0 - No, 1 - Yes, 8 - UNK, 9 - NR",value,
58,csagrunt,_clin_rev_de.sas7bdat,,Grunting,,Observation,Symptoms,EUPATH_0021002,Grunting,"0 - No, 1 - Yes, 8 - UNK, 9 - NR",value,
59,csanflar,_clin_rev_de.sas7bdat,,Nasal flaring,,Observation,Symptoms,EUPATH_0021002,Nasal flaring,"0 - No, 1 - Yes, 8 - UNK, 9 - NR",value,
60,csadpbre,_clin_rev_de.sas7bdat,,Deep breathing,,Observation,Symptoms,EUPATH_0021002,Deep breathing,"0 - No, 1 - Yes, 8 - UNK, 9 - NR",value,
61,csaaudwh,_clin_rev_de.sas7bdat,,Audible wheezing,,Observation,Symptoms,EUPATH_0021002,Audible wheezing,"0 - No, 1 - Yes, 8 - UNK, 9 - NR",value,
62,csffudt,_clin_rev_de.sas7bdat,EUPATH_0004991,Observation date,,Observation,Observation details,EUPATH_0000310,Date of follow-up,,variable,
63,csfvitst,_clin_rev_de.sas7bdat,,Vital status,,Observation,Physical examination,OGMS_0000083,Vital status,"1 - Living, 2 - Deceased, 8 - UNK",variable,
64,elclcwi,_clin_rev_de.sas7bdat,,Chest indrawing,,Observation,Symptoms,EUPATH_0021002,Lower chest wall indraw,"0 - No, 1 - Yes",value,
65,elchead,_clin_rev_de.sas7bdat,,Head nodding,,Observation,Symptoms,EUPATH_0021002,Head nodding,"0 - No, 1 - Yes",value,
66,elccentr,_clin_rev_de.sas7bdat,,Central cyanosis,,Observation,Symptoms,EUPATH_0021002,Central cyanosis,"0 - No, 1 - Yes",value,
67,elcfeed,_clin_rev_de.sas7bdat,,Unable to feed observed,,Observation,Symptoms,EUPATH_0021002,Unable to feed,"0 - No, 1 - Yes",value,
68,elcvom,_clin_rev_de.sas7bdat,,Vomiting everything observed,,Observation,Symptoms,EUPATH_0021002,Vomiting,"0 - No, 1 - Yes",variable,
69,elcvspn,_clin_rev_de.sas7bdat,,Very severe pneumonia,"To be eligible as a case, participant must have very severe pneumonia or have severe pneumonia with chest indrawing after bronchodilator challenge",Participant,Eligibility criteria,EUPATH_0010036,Very severe pneumonia,"0 - No, 1 - Yes",variable,
70,elcwhz,_clin_rev_de.sas7bdat,,Chest indrawing and wheezing,,Observation,Symptoms,EUPATH_0021002,LCWI and wheeze,"0 - No, 1 - Yes",variable,
71,elcreqbd,_clin_rev_de.sas7bdat,,Bronchodilator challenge,Was a bronchodilator challenge performed. ,Participant,Eligibility criteria,EUPATH_0010036,Required BD doses,"1 - Yes, 8 - N/A (e.g. met quota or not during the hours of enrollment), 9 - No, pending",variable,
72,elcwhzbd,_clin_rev_de.sas7bdat,,Wheezing after bronchodilator challenge,,Participant,Eligibility criteria,EUPATH_0010036,Wheeze after BD,"0 - No, 1 - Yes",variable,
73,elclcwbd,_clin_rev_de.sas7bdat,,Chest indrawing after bronchodilator challenge,"To be eligible as a case, participant must have very severe pneumonia or have severe pneumonia with chest indrawing after bronchodilator challenge",Participant,Eligibility criteria,EUPATH_0010036,Lower chest wall indraw after BD,"0 - No, 1 - Yes",variable,
74,eleadmdt,_clin_rev_de.sas7bdat,EUPATH_0000319,Hospital admission date,,Observation,Hospitalization,EUPATH_0000308,Hospital admission date,,variable,
75,_dob,_clin_rev_de.sas7bdat,EFO_0004950,Birth date,,Participant,Demographics,EUPATH_0010981,Date of birth,,variable,
76,_sex,_clin_rev_de.sas7bdat,PATO_0000047,Sex,,Participant,Demographics,EUPATH_0010981,Sex of the child: 0=Male 1=Female,0=Male 1=Female,variable,
77,_lt1m,_clin_rev_de.sas7bdat,,Age <1 month,,Observation,Observation,EUPATH_0000738,Age less than one month,0 = No 1 = Yes,variable,
78,_agem,_clin_rev_de.sas7bdat,EUPATH_0015400,Age (months),,Observation,Observation,EUPATH_0000738,Age (months),,variable,
79,elsill,_clin_rev_de.sas7bdat,,Cough or difficulty breathing (control participant),"To be eligible as a control, must be yes",Participant,Eligibility criteria,EUPATH_0010036,Ill with cough,"0 - No, 1 - Yes",variable,
80,enrldate,_clin_rev_de.sas7bdat,EUPATH_0000151,Enrollment date,,Participant,Participant study details,EUPATH_0000307,PERCH Enrollment Date,,variable,
81,_zwei,_clin_rev_de.sas7bdat,EUPATH_0000733,Weight-for-age z-score,,Observation,Anthropometry,EUPATH_0000649,Weight for age z-score (WHO),,variable,
82,_weianthro,_clin_rev_de.sas7bdat,,Weight-for-age z-score categorization,,Observation,Anthropometry,EUPATH_0000649,Weight for age (WHO),1=Outlier low (z-score <-6 SDs); 2=Severe (>=-6 SDs and <-3 SDs); 3=Moderate (>=-3 SDs and <-2 SDs); 4=Normal (>=-2 SDs and <=+5 SDs); 5=Outlier high (>+5 SDs),variable,
83,_zlen,_clin_rev_de.sas7bdat,EUPATH_0015710,Length- or height-for-age z-score,,Observation,Anthropometry,EUPATH_0000649,Height/length for age z-score (WHO),,variable,
84,_lenanthro,_clin_rev_de.sas7bdat,,Length- or height-for-age z-score categorization,,Observation,Anthropometry,EUPATH_0000649,Height/length for age (WHO),1=Outlier low (z-score <-6 SDs); 2=Severe (>=-6 SDs and <-3 SDs); 3=Moderate (>=-3 SDs and <-2 SDs); 4=Normal (>=-2 SDs and <=+6 SDs); 5=Outlier high (>+6 SDs);,variable,
85,_zwfl,_clin_rev_de.sas7bdat,EUPATH_0000734,Weight-for-length or -height z-score,,Observation,Anthropometry,EUPATH_0000649,Weight for height/length z-score (WHO),,variable,
86,_wfhanthro,_clin_rev_de.sas7bdat,,Weight-for-length or -height z-score categorization,,Observation,Anthropometry,EUPATH_0000649,Weight for height (WHO),1=Outlier low (z-score <-5 SDs); 2=Severe (>=-5 SDs and <-3 SDs); 3=Moderate (>=-3 SDs and <-2 SDs); 4=Normal (>=-2 SDs and <=+2 SDs); 5=Overweight(>+2 SDs and <=+5 SDs); 6=Outlier high (>+5 SDs);,variable,
87,_zbmi,_clin_rev_de.sas7bdat,EUPATH_0000662,BMI-for-age z-score,,Observation,Anthropometry,EUPATH_0000649,BMI for age z-score (WHO),,variable,
88,_bmianthro,_clin_rev_de.sas7bdat,,BMI-for-age z-score categorization,,Observation,Anthropometry,EUPATH_0000649,BMI for age (WHO),1 = Outlier low (z-score <-6 SDs); 2 = Severe (>=-6 SDs and <-3 SDs); 3 = Moderate (>=-3 SDs and <-2 SDs); 4 = Normal (>=-2 SDs and <=+5 SDs); 5 = Outlier high (+5 SDs),variable,
89,_zac,_clin_rev_de.sas7bdat,EUPATH_0000710,MUAC-for-age z-score,,Observation,Anthropometry,EUPATH_0000649,Arm circumference z-score (WHO),,variable,
90,_acanthro,_clin_rev_de.sas7bdat,,MUAC-for-age z-score categorization,,Observation,Anthropometry,EUPATH_0000649,Arm circumference for age (WHO),1=Outlier low (z-score <-5 SDs); 2=Severe (>=-5 SDs and <-3 SDs); 3=Moderate (>=-3 SDs and <-2 SDs); 4=Normal (>=-2 SDs and <=+5 SDs); 5=Outlier high (>+5 SDs);,variable,
91,_zwei_30d,_clin_rev_de.sas7bdat,EUPATH_0000733,Weight-for-age z-score,,Observation,Anthropometry,EUPATH_0000649,"Weight for age z-score (WHO), 30 day FU",,variable,
92,_weianthro_30d,_clin_rev_de.sas7bdat,,Weight-for-age z-score categorization,,Observation,Anthropometry,EUPATH_0000649,"Weight for age (WHO), 30 day FU",,variable,
93,_zlen_30d,_clin_rev_de.sas7bdat,EUPATH_0015710,Length- or height-for-age z-score,,Observation,Anthropometry,EUPATH_0000649,"Height/length for age z-score (WHO), 30 day FU",,variable,
94,_lenanthro_30d,_clin_rev_de.sas7bdat,,Length- or height-for-age z-score categorization,,Observation,Anthropometry,EUPATH_0000649,"Height/length for age (WHO), 30 day FU",,variable,
95,_zwfl_30d,_clin_rev_de.sas7bdat,EUPATH_0000734,Weight-for-length or -height z-score,,Observation,Anthropometry,EUPATH_0000649,"Weight for height/length z-score (WHO), 30 day FU",,variable,
96,_wfhanthro_30d,_clin_rev_de.sas7bdat,,Weight-for-length or -height z-score categorization,,Observation,Anthropometry,EUPATH_0000649,"Weight for height (WHO), 30 day FU",,variable,
97,_zbmi_30d,_clin_rev_de.sas7bdat,EUPATH_0000662,BMI-for-age z-score,,Observation,Anthropometry,EUPATH_0000649,"BMI for age z-score (WHO), 30 day FU",,variable,
98,_bmianthro_30d,_clin_rev_de.sas7bdat,,BMI-for-age z-score categorization,,Observation,Anthropometry,EUPATH_0000649,"BMI for age (WHO), 30 day FU",,variable,
99,_zac_30d,_clin_rev_de.sas7bdat,EUPATH_0000710,MUAC-for-age z-score,,Observation,Anthropometry,EUPATH_0000649,"Arm circumference z-score (WHO), 30 day FU",,variable,
100,_acanthro_30d,_clin_rev_de.sas7bdat,,MUAC-for-age z-score categorization,,Observation,Anthropometry,EUPATH_0000649,"Arm circumference for age (WHO), 30 day FU",,variable,
101,laasptyp,_clin_rev_de.sas7bdat,,Antibiotic activity sample type,,Sample,,,LAA specimen type,"1 - Serum, 2 - Urine",variable,Not sure where to place within Sample since antibiotic activity could be tested with either serum or urine
102,laainhzn,_clin_rev_de.sas7bdat,,Zone of inhibition diameter (mm),,Sample,,,Diameter inhibition zone,,variable,Not sure where to place within Sample since antibiotic activity could be tested with either serum or urine
103,_lrccbca,_clin_rev_de.sas7bdat,EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,EUPATH_0011795,Hemoglobin,,variable,
104,_lrccbcg,_clin_rev_de.sas7bdat,CMO_0000027,White blood cells (x10^3/uL),,Sample,Blood test,EUPATH_0011795,WBC,,variable,
105,_lrccbch,_clin_rev_de.sas7bdat,,Neutrophils (%),,Sample,Blood test,EUPATH_0011795,Neutrophils,,variable,
106,_lrcmalrs,_clin_rev_de.sas7bdat,,Plasmodium present,By RDT or microscopy,Sample,Plasmodium,NCBITaxon_5820,Malaria test result,,variable,
107,rfbckfl,_clin_rev_de.sas7bdat,EUPATH_0000023,Cooking fuel,,Household,Dwelling facilities,EUPATH_0000302,Type of cooking fuel,"01 - Animal dung, 02 - Crop wastes, 03 - Wood, 04 - Straw / shrubs / grass, 05 - Charcoal, 06 - Coal / ignite, 07 - Kerosene / paraffin, 08 - UNK, 09 - Gas, 10 - Electricity, 99 - Other",variable,
108,seacldt,_clin_rev_de.sas7bdat,,Endotracheal tube aspirate collection date,,Sample,Endotracheal tube aspirate collection process,,Date of ETT aspirate collection,,variable,
109,seaettm,_clin_rev_de.sas7bdat,,Endotracheal tube aspirate collection time,,Sample,Endotracheal tube aspirate collection process,,ETT aspirate collection time,,variable,
110,sgagadt,_clin_rev_de.sas7bdat,,Gastric aspirate collection date,,Sample,Gastric aspirate collection process,,Gastric aspirate date,,variable,
111,sgagatm,_clin_rev_de.sas7bdat,,Gastric aspirate collection time,,Sample,Gastric aspirate collection process,,Gastric aspirate time,,variable,
112,_cxrfin_5,_clin_rev_de.sas7bdat,,Chest X-ray interpretation ,,Observation,Physical examination,OGMS_0000083,Final conclusion based on the 5-tier category,1 = Primary endpoint pneumonia; 2 = Other infiltrate; 3 = Primary endpoint pneumonia and other infiltrate; 4 = Normal; 5 = Uninterpretable,variable,
113,_cxrfincat_5,_clin_rev_de.sas7bdat,,Chest X-ray interpretation categorization,,Observation,Physical examination,OGMS_0000083,Final conclusion category based on the 5-tier category,1 = Abnormal; 4 = Normal; 5 = Uninterpretable,variable,
114,_casecont,_clin_rev_de.sas7bdat,EUPATH_0010375,Case or control participant,,Participant,Participant,EUPATH_0000096,Case-control status,1=Case; 2=Community control; 3=HIV control,variable,
115,_admdx,_clin_rev_de.sas7bdat,EUPATH_0000638,Diagnosis at hospitalization,,Observation,Hospitalization,EUPATH_0000308,Admission diagnoses,,variable,
116,_dischdx,_clin_rev_de.sas7bdat,EUPATH_0000321,Diagnosis at discharge,,Observation,Hospitalization,EUPATH_0000308,Discharge diagnoses,,variable,
117,_pcvdoses_bio,_clin_rev_de.sas7bdat,,PCV vaccine doses 14 days before enrollment,Excludes doses given within the 14 days of enrollment since these may not have been able to protect against the pneumonia episode,Participant,Aggregated vaccination data,EUPATH_0011471,"Total number of PCV doses received, biologic",,variable,
118,_pcvdoses_enr,_clin_rev_de.sas7bdat,EUPATH_0011394,Total PCV vaccine doses,Number of doses received at the point of enrollment,Participant,Aggregated vaccination data,EUPATH_0011471,"Total number of PCV doses received, at enrollment",,variable,
119,_adjpcvdoses_bio,_clin_rev_de.sas7bdat,,Adjusted PCV vaccine doses 14 days before enrollment,"Excludes doses given within the 14 days of enrollment and doses not properly spaced (at least 25 days apart), as they may not have had a biologic impact.",Participant,Aggregated vaccination data,EUPATH_0011471,Adjusted number of PCV doses received,,variable,
120,_pcv_vax_status,_clin_rev_de.sas7bdat,,Pneumococcal conjugate vaccine status,,Participant,Aggregated vaccination data,EUPATH_0011471,PCV vaccination status: 2=Full; 1=Partial; 0=None,0=Not vaccinated; 1=Partially vaccinated; 2=Fully vaccinated,variable,
121,_hibdoses_bio,_clin_rev_de.sas7bdat,,Haemophilus influenzae type B vaccine doses 14 days before enrollment,Excludes doses given within the 14 days of enrollment since these may not have been able to protect against the pneumonia episode,Participant,Aggregated vaccination data,EUPATH_0011471,"Total number of Hib doses received, biologic",,variable,
122,_hibdoses_enr,_clin_rev_de.sas7bdat,EUPATH_0011267,Total Haemophilus influenzae type B vaccine doses,Number of doses received at the point of enrollment,Participant,Aggregated vaccination data,EUPATH_0011471,"Total number of Hib doses, at enrollment",,variable,
123,_adjhibdoses_bio,_clin_rev_de.sas7bdat,,Adjusted Haemophilus influenzae type B vaccine doses 14 days before enrollment,"Excludes doses given within the 14 days of enrollment and doses not properly spaced (at least 25 days apart), as they may not have had a biologic impact.",Participant,Aggregated vaccination data,EUPATH_0011471,Adjusted number of Hib doses received,,variable,
124,_hib_vax_status,_clin_rev_de.sas7bdat,,Haemophilus influenzae type B vaccine status,,Participant,Aggregated vaccination data,EUPATH_0011471,Hib vaccination status: 2=Full; 1=Partial; 0=None,0=Not vaccinated; 1=Partially vaccinated; 2=Fully vaccinated,variable,
125,_dtpdoses_bio,_clin_rev_de.sas7bdat,,DPT vaccine doses 14 days before enrollment,Excludes doses given within the 14 days of enrollment since these may not have been able to protect against the pneumonia episode,Participant,Aggregated vaccination data,EUPATH_0011471,"Total number of DTP doses received, biologic",,variable,
126,_dtpdoses_enr,_clin_rev_de.sas7bdat,EUPATH_0011234,"Total diphtheria, pertussis, and tetanus (DPT) vaccine doses",Number of doses received at the point of enrollment,Participant,Aggregated vaccination data,EUPATH_0011471,"Total number of DTP doses received, at enrollment",,variable,
127,_adjdtpdoses_bio,_clin_rev_de.sas7bdat,,Adjusted DPT vaccine doses 14 days before enrollment,"Excludes doses given within the 14 days of enrollment and doses not properly spaced (at least 25 days apart), as they may not have had a biologic impact.",Participant,Aggregated vaccination data,EUPATH_0011471,Adjusted number of DTP doses received,,variable,
128,_dtp_vax_status,_clin_rev_de.sas7bdat,,DTP vaccine status,,Participant,Aggregated vaccination data,EUPATH_0011471,DTP vaccination status: 2=Full; 1=Partial; 0=None,.=Missing vaccination status; 0=Not vaccinated; 1=Partially vaccinated; 2=Fully vaccinated,variable,
129,_o2meason,_clin_rev_de.sas7bdat,,Oxygen source,,Observation,Physical examination,OGMS_0000083,O2 saturation measured on,1=Oxygen; 2=Room air; 8=Unknown; 9=NR,variable,multiple variables map to 1 IRI
130,_o2sat,_clin_rev_de.sas7bdat,,O2 saturation (%),,Observation,Physical examination,OGMS_0000083,O2 saturation at admission (%),,variable,multiple variables map to 1 IRI
131,_o2satlevel,_clin_rev_de.sas7bdat,,O2 saturation level,,Observation,Physical examination,OGMS_0000083,O2 saturation level at admission,0=<60%; 1=60-91%/on oxygen; 2=92-95%; 3=>95%,variable,multiple variables map to 1 IRI
132,_o2satlevel24,_clin_rev_de.sas7bdat,,O2 saturation level,,Observation,Physical examination,OGMS_0000083,O2 saturation level at 24hr Follow-up,"0=<60%, 1=60-91%/on oxygen, 2=92-95%, 3=>95%",variable,multiple variables map to 1 IRI
133,_o2satlevel48,_clin_rev_de.sas7bdat,,O2 saturation level,,Observation,Physical examination,OGMS_0000083,O2 Sat level at 48 hr Follow-up,0 = <60%; 1 = 60-91%/on oxygen; 2 = 92-95%; 3 = >95%,variable,multiple variables map to 1 IRI
134,_o2satlevelever,_clin_rev_de.sas7bdat,,Lowest O2 level,,Observation,Physical examination,OGMS_0000083,Lowest O2 Saturation level ever,"0=<60%, 1=60-92%/on oxygen, 2=92-95%, 3=>95%",variable,
135,_ono2,_clin_rev_de.sas7bdat,,Oxygen support,,Observation,Physical examination,OGMS_0000083,On O2 at admission,0=No; 1=Yes; 8=Unknown; 9=NR,variable,multiple variables map to 1 IRI
136,_ono2ever,_clin_rev_de.sas7bdat,,Oxygen support ever,,Observation,Physical examination,OGMS_0000083,On O2 ever,0 = No 1 = Yes,variable,
137,_ono2startday,_clin_rev_de.sas7bdat,,When oxygen support started,,Observation,Physical examination,OGMS_0000083,Day first on O2 (Admission v. 24/48hrs),0 = Never on oxygen; 1 = Admission day; 2 = 24/48 hours follow-up,variable,
138,_lethargic,_clin_rev_de.sas7bdat,EUPATH_0024304,Lethargic,,Observation,Signs and symptoms,EUPATH_0000309,Lethargic at admission,0 = No 1 = Yes,variable,
139,_mpconvul,_clin_rev_de.sas7bdat,,Multiple or prolonged convulsions,,Observation,Symptoms,EUPATH_0021002,Multiple/prolonged convulsions at admission,0 = No 1 = Yes,variable,
140,_vs_syndrome,_clin_rev_de.sas7bdat,,Very severe case-defining symptoms,,Participant,Administrative information,EUPATH_0010035,Very severe case-defining symptom(s),1=Head nodding; 2=Central cyanosis; 3=Unable to feed; 4=Vomiting everything; 5=Lethargic; 6=Convulsions; 7=Two symptoms; 8=Three or more symptoms,variable,
141,_rr_adm,_clin_rev_de.sas7bdat,CMO_0000289,Respiratory rate (breaths/min),,Observation,Physical examination,OGMS_0000083,Respiratory rate at admission (breaths per minute),,variable,
