variable,sampleType,assayType,resultType,domain,genus,species
mcat_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Moraxella,Moraxella catarrhalis (Branhamella catarrhalis)
pcp_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Eukaryota,Pneumocystis,Pneumocystis jiroveci
saur_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Staphylococcus,Staphylococcus aureus
pneu_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Streptococcus,Streptococcus pneumoniae
sasp_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Salmonella,Salmonella species
adeno_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,,Adenovirus
hbov_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Bocaparvovirus,Human bocavirus
cmv_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Cytomegalovirus,Cytomegalovirus
cor_229_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Alphacoronavirus,Coronoavirus 229
cor_43_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Betacoronavirus,Coronoavirus 43
cor_63_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Alphacoronavirus,Coronoavirus 63
cor_hku_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Betacoronavirus,Coronoavirus HKU
pv_ev_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,,Parechovirus/Enterovirus
flu_a_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Alphainfluenzavirus,Influenza A
flu_b_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Betainfluenzavirus,Influenza B
hmpv_a_b_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Metapneumovirus,Human metapneumonoviruses A/B
m_pneu_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Streptococcus,Streptococcus pneumoniae
para_1_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Respirovirus,Parainfluenza 1
para_2_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Rubulavirus,Parainfluenza 2
para_3_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Respirovirus,Parainfluenza 3
para_4_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Rubulavirus,Parainfluenza 4
rsv_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Orthopneumovirus,Human respiratory syncytial viruses A/B
rhino_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Enterovirus,Rhinovirus
bope_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Bordetella,Bordetella pertussis
c_pneu_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Streptococcus,Streptococcus pneumoniae
flu_c_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Gammainfluenzavirus,Influenza C
hinf_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Haemophilus,Haemophilus influenzae
hib_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Haemophilus,Haemophilus influenzae type B
legs_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Legionella,Legionella
mcat_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Moraxella,Moraxella catarrhalis (Branhamella catarrhalis)
pcp_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Eukaryota,Pneumocystis,Pneumocystis jiroveci
saur_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Staphylococcus,Staphylococcus aureus
pneu_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Streptococcus,Streptococcus pneumoniae
sasp_sqty_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Salmonella,Salmonella species
adeno_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,,Adenovirus
bope_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Bordetella,Bordetella pertussis
cmv_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Cytomegalovirus,Cytomegalovirus
cor_229_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Alphacoronavirus,Coronoavirus 229
cor_43_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Betacoronavirus,Coronoavirus 43
cor_63_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Alphacoronavirus,Coronoavirus 63
cor_hku_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Betacoronavirus,Coronoavirus HKU
c_pneu_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Streptococcus,Streptococcus pneumoniae
flu_c_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Gammainfluenzavirus,Influenza C
hbov_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Bocaparvovirus,Human bocavirus
hib_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Haemophilus,Haemophilus influenzae type B
hinf_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Haemophilus,Haemophilus influenzae
hmpv_a_b_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Metapneumovirus,Human metapneumonoviruses A/B
flu_a_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Alphainfluenzavirus,Influenza A
flu_b_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Betainfluenzavirus,Influenza B
legs_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Legionella,Legionella
mcat_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Moraxella,Moraxella catarrhalis (Branhamella catarrhalis)
m_pneu_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Streptococcus,Streptococcus pneumoniae
para_1_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Respirovirus,Parainfluenza 1
para_2_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Rubulavirus,Parainfluenza 2
para_3_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Respirovirus,Parainfluenza 3
para_4_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Rubulavirus,Parainfluenza 4
pcp_pfpcr,pleural fluid,FTD Resp-33,boolean,Eukaryota,Pneumocystis,Pneumocystis jiroveci
pneu_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Streptococcus,Streptococcus pneumoniae
pv_ev_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,,Parechovirus/Enterovirus
rhino_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Enterovirus,Rhinovirus
rsv_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,Orthopneumovirus,Human respiratory syncytial viruses A/B
sasp_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Salmonella,Salmonella species
saur_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Staphylococcus,Staphylococcus aureus
_hinf_notb_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Haemophilus,Haemophilus influenzae type B-neg
hpha_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,Haemophilus,Haemophilus parahaemolyticus
_hinf_pfcx,pleural fluid,culture,boolean,Bacteria,Haemophilus,Haemophilus influenzae
_mcat_pfcx,pleural fluid,culture,boolean,Bacteria,Moraxella,Moraxella catarrhalis (Branhamella catarrhalis)
_pneu_pfcx,pleural fluid,culture,boolean,Bacteria,Streptococcus,Streptococcus pneumoniae
_saur_pfcx,pleural fluid,culture,boolean,Bacteria,Staphylococcus,Staphylococcus aureus
_ecol_pfcx,pleural fluid,culture,boolean,Bacteria,Escherichia,Escherichia coli
_strf_pfcx,pleural fluid,culture,boolean,Bacteria,Streptococcus,Streptococcus group F
_pneu_pfbinax,pleural fluid,BinaxNow RDT,boolean,Bacteria,Streptococcus,Streptococcus pneumoniae
_anybac_noncontam_pfcx,pleural fluid,culture,boolean,Bacteria,,Any noncontaminant bacteria
_anybac_noncontam_pfpcr,pleural fluid,FTD Resp-33,boolean,Bacteria,,Any noncontaminant bacteria
_anyvir_pfpcr,pleural fluid,FTD Resp-33,boolean,Virus,,Any virus
_anypath_pfpcr,pleural fluid,FTD Resp-33,boolean,,,Any pathogen except Legionella or K. pneumoniae
