"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI"
"http://purl.obolibrary.org/obo/EUPATH_0015130","Diarrhea","","cdcdiara","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Diarrhea","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015131","Dysentery","","cdcdysea","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Dysentery","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033399","Empyema thoracis","","cdcempya","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Empyema thoracis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033401","Epilepsy","","cdcepila","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Epilepsy","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033403","Failure to thrive","","cdcfaila","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Failure to thrive","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033405","Febrile convulsion","","cdcfebra","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Febrile convulsion","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033407","Gastroenteritis","","cdcgasta","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Gastroenteritis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033411","HIV","","cdchiva","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","HIV","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033409","Helminthiasis","","cdchelma","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Helminthiasis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033413","Immunosuppression","","cdcimmua","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Immunosuppression","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033379","Lower respiratory tract infection","","cdclrtia","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Lower RTI","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015135","Malaria","","cdcmalaa","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Malaria","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015136","Malnutrition","","cdcmalna","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Malnutrition","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015133","Meningitis","","cdcmenia","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Meningitis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033381","Mucocutaneous candidiasis","","cdcmucoa","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Mucocutaneous cand.","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033383","Neonatal sepsis","","cdcneona","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Neonatal sepsis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033385","Osteomyelitis","","cdcostea","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Osteomyelitis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015138","Other diagnosis","","cdcothaa","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Other diagnosis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033387","Otitis media","","cdcotita","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Otitis media","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033389","Pneumocystis pneumonia","","cdcpcppa","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","PCP pneumonia","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033376","Pneumonia","","cdcpneaa","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Pneumonia","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033391","Pneumothorax","","cdcpnexa","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Pneumothorax","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033393","Poisoning","","cdcpoisa","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Poisoning","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033396","Prematurity","","cdcprema","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Prematurity","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033398","Protein malnutrition","","cdcprota","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Protein malnutrition","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033400","Pulmonary tuberculosis","","cdcpulma","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Pulmonary TB","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033402","Septic arthritis","","cdcseara","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Septic arthritis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033404","Septicemia","","cdcseaea","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Septicaemia","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033406","Sickle cell anemia","","cdcsicaa","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Sickle cell anemia","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033408","Sickle cell disease","","cdcsicda","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Sickle cell disease","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033410","Skin sepsis","","cdcskina","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Skin sepsis","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033414","Upper respiratory tract infection","","cdcurtia","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Upper RTI","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033412","Urinary tract infection","","cdcurina","cdc","","Observation","Diagnosis at discharge","http://purl.obolibrary.org/obo/EUPATH_0000321","Urinary tract infection","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033421","Asthma or reactive airway disease","","csaasthm","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Asthma/RAD dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033419","Bronchiolitis or respiratory syncytial virus","","csabrrsv","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Bronchiolitis/RSV dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033424","Bronchitis","","csabronc","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Bronchitis dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033426","Developmental delay or cerebral palsy","","csaddela","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Developmental delay/CP dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033417","Extrapulmonary tuberculosis","","csaextb","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Extrapulmonary TB dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033425","Malaria","","csamalar","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Malaria dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033423","Measles","","csameasl","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Measles dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033427","Meningitis","","csamenin","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Meningitis dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033428","Other diagnosis","","csaot3dx | csaot1dx | csaot2dx","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Other 1","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033416","Paraffin ingestion","","csaparaf","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Paraffin ingestion dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033415","Pulmonary tuberculosis","","csapultb","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Pulmonary TB dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033418","Severe anemia","","csasevan","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Severe anemia dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033422","Severe malnutrition","","csamaln","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Severe malnutrition dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033420","Sickle cell","","csascell","csa","","Observation","Diagnosis at hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000638","Sickle cell dx","1 - Yes","value","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000321","Diagnosis at discharge","4","","","Based on clinician report. Multiple diagnoses may be selected. Only collected for cases.","Observation","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","Discharge diagnoses","","multifilter","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000638","Diagnosis at hospitalization","2","","","Based on clinician report. Multiple diagnoses may be selected. Only collected for cases.","Observation","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","Admission diagnoses","","multifilter","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000319","Hospital admission date","1","eleadmdt","_clin_rev_de","Only collected for cases.","Observation","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","Hospital admission date","","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000320","Hospital discharge date","6","cdcdisdt","_clin_rev_de","Only collected for cases.","Observation","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","Discharge date","","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033434","Other diagnosis at discharge","5","cdcofbsp | cdcoebsp | cdcodbsp","cdc","","Observation","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","Other diagnosis E specify | Other diagnosis F specify | Other diagnosis D specify","","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033431","Other diagnosis at hospitalization","3","csadx1sp | csadx2sp | csadx3sp","csa","","Observation","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","Other 2 dx specify | Other 3 dx specify | Other 1 dx specify","","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010353","Outcome leaving hospital or health center","7","cdcstatu","_clin_rev_de","Only collected for cases.","Observation","Hospitalization","http://purl.obolibrary.org/obo/EUPATH_0000308","Discharge status","1 - Discharged home: not moribund, 2 - Discharged home: moribund, 3 - Left against medical advice: not moribund, 4 - Left against medical advice: moribund, 5 - Died (skip to Q5 and complete CRF 17 Case Mortality), 6 - Transferred (if transferred, complete Q2a)","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033132","Antibiotics at referral hospital","","_abxref","_clin_rev_de","","Observation","Immediate clinical history","http://purl.obolibrary.org/obo/EUPATH_0021098","Antibiotic received at referral hospital (reported)","0 = No 1 = Yes","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033208","Measles in last month","","chxmeas","_clin_rev_de","Based on parental recall.","Observation","Immediate clinical history","http://purl.obolibrary.org/obo/EUPATH_0021098","Measles in past month","0 - No, 1 - Yes, 8 - UNK","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033209","Medication in past 48h","","chxmed","_clin_rev_de","Based on parental recall. Not applicable for non-ill controls.","Observation","Immediate clinical history","http://purl.obolibrary.org/obo/EUPATH_0021098","Medication for illness","0 - No, 1 - Yes, 8 - UNK, 9 - N/A","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033430","Diphtheria, pertussis, and tetanus (DPT) vaccine dose categorization","","_dtp_3_dosecat","_clin_rev_de","Number of DTP doses received by enrolment.","Observation","Immunization and prevention","http://purl.obolibrary.org/obo/EUPATH_0010947","Number of DTP doses received at enrolment","3 = 3 or more doses; 2 = 1 or 2 doses; 0 = 0 doses","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033454","Pneumococcal conjugate vaccine (PCV) dose categorization","","_pcv_3_dosecat","_clin_rev_de","Number of PCV doses received by enrollment","Observation","Immunization and prevention","http://purl.obolibrary.org/obo/EUPATH_0010947","Number of PCV doses received at enrollment","3 = 3 or more doses; 2 = 1 or 2 doses; 0 = 0 doses","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015400","Age (months)","2","_agem","_clin_rev_de","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","Age (months)","","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033111","Age <1 month","3","_lt1m","_clin_rev_de","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","Age less than one month","0 = No 1 = Yes","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010367","Age group","4","_agecat","_clin_rev_de","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","Child age category","1=0-5 months; 2=6-11 months; 3=12-23 months; 4=24-59 months","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","7","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","category","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000308","Hospitalization","10","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","category","","",""
"http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","6","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","category","EUPATH_0021098","",""
"http://purl.obolibrary.org/obo/EUPATH_0010947","Immunization and prevention","","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","category","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","5","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","category","","",""
"http://purl.obolibrary.org/obo/BFO_0000015","Observation type","1","observation_type","","All variables were collected at the enrollment observation. At 24 hour and 48 hour follow-up observations, a few variables related to oxygen saturation were recollected for cases. At the 30 day follow-up observation, a few anthropometry variables were recollected for cases.","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","derived","","",""
"http://purl.obolibrary.org/obo/OGMS_0000083","Physical examination","8","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","category","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","9","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","category","","",""
"http://purl.obolibrary.org/obo/OGMS_0000090","Treatment","11","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","category","","",""
"http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","","cfuvisdt48 | cfuvisdt24 | csffudt | enrldate","_clin_rev_de","","Observation","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","Visit Date 1 | Date of follow-up | Visit Date 2","","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033160","Chest X-ray date","11","cxrdt","_clin_rev_de","A chest X-ray was obatined from each case as soon as possible after clinical evaluation and study enrollment.","Observation","Physical examination","http://purl.obolibrary.org/obo/OGMS_0000083","","","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033161","Chest X-ray interpretation","13","_cxrfin_5","_clin_rev_de","A chest X-ray was obatined from each case as soon as possible after clinical evaluation and study enrollment. Chest X-rays were interpreted by a standardized reading panel.","Observation","Physical examination","http://purl.obolibrary.org/obo/OGMS_0000083","Final conclusion based on the 5-tier category","1 = Primary endpoint pneumonia; 2 = Other infiltrate; 3 = Primary endpoint pneumonia and other infiltrate; 4 = Normal; 5 = Uninterpretable","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033162","Chest X-ray interpretation categorization","14","_cxrfincat_5","_clin_rev_de","A chest X-ray was obatined from each case as soon as possible after clinical evaluation and study enrollment. Chest X-rays were interpreted by a standardized reading panel. ""Abnormal"" was defined as consolidation with or without other infiltrate.","Observation","Physical examination","http://purl.obolibrary.org/obo/OGMS_0000083","Final conclusion category based on the 5-tier category","1 = Abnormal; 4 = Normal; 5 = Uninterpretable","variable","","",""
"http://purl.obolibrary.org/obo/EUPATH_0033163","Chest X-ray status","12","_avail_cxr","_clin_rev_de","A chest X-ray was obatined from each case as soon as possible after clinical evaluation and study enrollment. Not applicable for controls. ""Outside of window"" defined as more than 3 days after enrollment.","Observation","Physical examination","http://purl.obolibrary.org/obo/OGMS_0000083","CXR availability","CXR status: 1=CXR available; 2=CXR available but taken outside of window; 3=Not available - death; 4=Not available - discharged/absconded;5=Not available - operator/equipment error; 6=Not available - other/unknown","variable","","",""
