label,sid_count,SIDs,termTypes,parent_count,Parent_labels
"Coronavirus 63, by multiplexed qPCR result",4,EUPATH_0032580|EUPATH_0033043|EUPATH_0032780|EUPATH_0032687,variable,4,Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate
"Coronavirus HKU copies, by multiplexed qPCR result",2,EUPATH_0032581|EUPATH_0032781,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Coronavirus HKU, by multiplexed qPCR result",4,EUPATH_0032582|EUPATH_0033045|EUPATH_0032782|EUPATH_0032689,variable,4,Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate
"Cryptosporidium Cp17 IgG, by ELISA result",2,EUPATH_0060064|EUPATH_0060066,variable,2,Antibodies|Raw antibody titer test result
"Cytomegalovirus copies, by multiplexed qPCR result",4,EUPATH_0033046|EUPATH_0032783|EUPATH_0032690|EUPATH_0032583,variable,4,Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for induced sputum
"Cytomegalovirus, by multiplexed qPCR result",4,EUPATH_0033047|EUPATH_0032784|EUPATH_0032691|EUPATH_0032584,variable,4,Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for induced sputum
Epithelial cells categorization,2,EUPATH_0032385|EUPATH_0033093,variable,2,Endotracheal tube aspirate test|Induced sputum test
"Escherichia coli, by bacteriology result",2,EUPATH_0010630|EUPATH_0032508,variable,2,Raw bacteria data for stool|Raw bacteria data for induced sputum
Febrile,2,EUPATH_0022289|EUPATH_0000097,variable,2,Symptoms in the last 30 days|Symptoms
Fever,4,EUPATH_0022207|EUPATH_0058005|EUPATH_0024082|EUPATH_0060071,variable,4,Symptoms in the last 30 days|Symptoms|Symptoms in past day|Illness since enrollment
Gram stain date,2,EUPATH_0033100|EUPATH_0033445,variable,2,Pleural fluid microbiology test|Lung aspirate microbiology test
Granulocyte-colony stimulating factor,3,EUPATH_0036494|EUPATH_0036274|EUPATH_0036495,variable,3,Blood test|Maternal breast milk test|Maternal blood test
Granulocyte-macrophage colony stimulating factor,3,EUPATH_0036275|EUPATH_0036497|EUPATH_0036496,variable,3,Maternal breast milk test|Maternal blood test|Blood test
"HIV, by PCR",2,EUPATH_0048295|EUPATH_0048296,variable,2,Lentivirus in blood|Lentivirus in maternal blood
"HIV, by RDT",2,EUPATH_0038023|EUPATH_0042085,variable,2,Lentivirus in maternal blood|Lentivirus in blood
"Haemophilus influenzae copies, by multiplexed qPCR result",4,EUPATH_0032754|EUPATH_0032662|EUPATH_0033018|EUPATH_0032519,variable,4,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum
"Haemophilus influenzae serotype, by bacteriology result",3,EUPATH_0033452|EUPATH_0032209|EUPATH_0033447,variable,3,Raw bacteria data for induced sputum|Raw bacteria data for blood|Raw bacteria data for endotracheal tube aspirate
"Haemophilus influenzae type B copies, by multiplexed qPCR result",3,EUPATH_0032664|EUPATH_0032521|EUPATH_0032756,variable,3,Raw bacteria data for lung aspirate|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs
"Haemophilus influenzae type B, by multiplexed qPCR result",4,EUPATH_0032522|EUPATH_0032757|EUPATH_0033021|EUPATH_0032665,variable,4,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid|Raw bacteria data for lung aspirate
"Haemophilus influenzae, by multiplexed qPCR result",4,EUPATH_0032755|EUPATH_0032663|EUPATH_0033019|EUPATH_0032520,variable,4,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum
Health facility name,2,EUPATH_0050586|EUPATH_0010069,variable,2,Clinical history|Death information
Hematocrit (%),2,EFO_0004348|EUPATH_0038018,variable,2,Blood test|Maternal blood test
Hemoglobin,4,EUPATH_0048066|CMO_0000026|EUPATH_0042040|EUPATH_0042292,variable,4,Maternal blood test|Blood test|Umbilical cord blood test|Child blood test
Hemoglobin measurement performed,2,EUPATH_0027005|EUPATH_0042384,variable,2,Blood tests performed|Umbilical cord blood tests performed
"Human bocavirus copies, by multiplexed qPCR result",3,EUPATH_0032585|EUPATH_0033048|EUPATH_0032785,variable,3,Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Human bocavirus, by multiplexed qPCR result",4,EUPATH_0033049|EUPATH_0032693|EUPATH_0032586|EUPATH_0032786,variable,4,Raw virus data for pleural fluid|Raw virus data for lung aspirate|Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Human metapneumonoviruses A/B copies, by multiplexed qPCR result",2,EUPATH_0032787|EUPATH_0032694,variable,2,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate
"Human metapneumonoviruses A/B, by multiplexed qPCR result",3,EUPATH_0032788|EUPATH_0033051|EUPATH_0032695,variable,3,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for lung aspirate
"Human respiratory syncytial viruses A/B copies, by multiplexed qPCR result",3,EUPATH_0032789|EUPATH_0033052|EUPATH_0032589,variable,3,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for induced sputum
"Human respiratory syncytial viruses A/B, by multiplexed qPCR result",4,EUPATH_0033053|EUPATH_0032697|EUPATH_0032790|EUPATH_0032590,variable,4,Raw virus data for pleural fluid|Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum
"Influenza A copies, by multiplexed qPCR result",2,EUPATH_0032791|EUPATH_0032591,variable,2,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum
"Influenza A, by multiplexed qPCR result",4,EUPATH_0032699|EUPATH_0032592|EUPATH_0033055|EUPATH_0032792,variable,4,Raw virus data for lung aspirate|Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Influenza B copies, by multiplexed qPCR result",2,EUPATH_0032593|EUPATH_0032793,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Influenza B, by multiplexed qPCR result",4,EUPATH_0032594|EUPATH_0033057|EUPATH_0032701|EUPATH_0032794,variable,4,Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Influenza C copies, by multiplexed qPCR result",2,EUPATH_0032595|EUPATH_0032795,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Influenza C, by multiplexed qPCR result",4,EUPATH_0032596|EUPATH_0033059|EUPATH_0032796|EUPATH_0032703,variable,4,Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate
Interferon gamma,3,EUPATH_0036499|EUPATH_0036262|EUPATH_0036498,variable,3,Maternal blood test|Blood test|Maternal breast milk test
Interleukin 1 beta,3,EUPATH_0036509|EUPATH_0036264|EUPATH_0036508,variable,3,Maternal blood test|Blood test|Maternal breast milk test
Interleukin 10,3,EUPATH_0036263|EUPATH_0036501|EUPATH_0036500,variable,3,Blood test|Maternal blood test|Maternal breast milk test
"Interleukin 12, p70",3,EUPATH_0036276|EUPATH_0036502|EUPATH_0036503,variable,3,Maternal breast milk test|Blood test|Maternal blood test
Interleukin 13,3,EUPATH_0036277|EUPATH_0036505|EUPATH_0036504,variable,3,Maternal breast milk test|Maternal blood test|Blood test
Interleukin 17A,3,EUPATH_0036507|EUPATH_0036506|EUPATH_0036279,variable,3,Maternal blood test|Blood test|Maternal breast milk test
Interleukin 2,3,EUPATH_0036533|EUPATH_0036532|EUPATH_0036281,variable,3,Maternal blood test|Blood test|Maternal breast milk test
Interleukin 4,3,EUPATH_0036265|EUPATH_0036511|EUPATH_0036510,variable,3,Blood test|Maternal blood test|Maternal breast milk test
Interleukin 5,3,EUPATH_0036513|EUPATH_0036266|EUPATH_0036512,variable,3,Maternal blood test|Blood test|Maternal breast milk test
Interleukin 6,3,EUPATH_0036515|EUPATH_0036514|EUPATH_0036267,variable,3,Maternal blood test|Maternal breast milk test|Blood test
Interleukin 7,3,EUPATH_0036516|EUPATH_0036268|EUPATH_0036518,variable,3,Maternal breast milk test|Blood test|Maternal blood test
Interleukin 8,3,EUPATH_0036269|EUPATH_0036520|EUPATH_0036519,variable,3,Blood test|Maternal blood test|Maternal breast milk test
Intravenous fluids,2,EUPATH_0038673|EUPATH_0015671,variable,2,Treatment|Diarrhea treatment
Iron,2,EUPATH_0036076|EUPATH_0021176,variable,2,Maternal supplementation during pregnancy|Blood test
"Legionella copies, by multiplexed qPCR result",2,EUPATH_0032758|EUPATH_0032533,variable,2,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum
"Legionella, by multiplexed qPCR result",4,EUPATH_0033023|EUPATH_0032667|EUPATH_0032534|EUPATH_0032759,variable,4,Raw bacteria data for pleural fluid|Raw bacteria data for lung aspirate|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs
Macrophage inflammatory protein 1 beta,3,EUPATH_0036523|EUPATH_0036270|EUPATH_0036524,variable,3,Maternal breast milk test|Blood test|Maternal blood test
Main source of income,2,EUPATH_0000354|EUPATH_0058085,variable,2,Demographics|Socioeconomic status
Malaria,2,EUPATH_0022112|EUPATH_0050585,variable,2,Medical history|Symptoms
Monocyte chemoattractant protein 1,3,EUPATH_0036521|EUPATH_0036522|EUPATH_0036284,variable,3,Blood test|Maternal blood test|Maternal breast milk test
"Moraxella catarrhalis (Branhamella catarrhalis) copies, by multiplexed qPCR result",4,EUPATH_0033024|EUPATH_0032536|EUPATH_0032668|EUPATH_0032760,variable,4,Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs
"Moraxella catarrhalis (Branhamella catarrhalis), by multiplexed qPCR result",4,EUPATH_0032537|EUPATH_0032669|EUPATH_0032761|EUPATH_0033025,variable,4,Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid
Mucus present,2,EUPATH_0033094|EUPATH_0032392,variable,2,Endotracheal tube aspirate characteristics|Induced sputum characteristics
"Mycoplasma pneumoniae copies, by multiplexed qPCR result",2,EUPATH_0032762|EUPATH_0032541,variable,2,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum
"Mycoplasma pneumoniae, by multiplexed qPCR result",4,EUPATH_0032763|EUPATH_0033027|EUPATH_0032671|EUPATH_0032542,variable,4,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid|Raw bacteria data for lung aspirate|Raw bacteria data for induced sputum
Neutrophils,2,EUPATH_0041028|EUPATH_0042312,variable,2,Blood test|Child blood test
Neutrophils categorization,2,EUPATH_0033095|EUPATH_0032393,variable,2,Induced sputum test|Endotracheal tube aspirate test
Newspapers that read most specified,2,EUPATH_0054686|EUPATH_0058211,variable,2,PrEP|Activity
"Organism 2, by culture",5,EUPATH_0033250|EUPATH_0033437|EUPATH_0033444|EUPATH_0033223|EUPATH_0033235,variable,5,Pleural fluid microbiology test|Endotracheal tube aspirate microbiology test|Lung aspirate microbiology test|Blood microbiology test|Induced sputum microbiology test
"Organism 3, by culture",2,EUPATH_0033236|EUPATH_0033438,variable,2,Induced sputum microbiology test|Endotracheal tube aspirate microbiology test
"Organism, by culture",7,EUPATH_0038441|EUPATH_0033227|EUPATH_0038599|EUPATH_0033238|EUPATH_0033436|EUPATH_0033443|EUPATH_0033251,variable,7,Cerebrospinal fluid microbiology test|Blood microbiology test|Other sample microbiology test|Induced sputum microbiology test|Endotracheal tube aspirate microbiology test|Lung aspirate microbiology test|Pleural fluid microbiology test
"Parainfluenza 1 copies, by multiplexed qPCR result",2,EUPATH_0032797|EUPATH_0032597,variable,2,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum
"Parainfluenza 1, by multiplexed qPCR result",4,EUPATH_0032798|EUPATH_0033061|EUPATH_0032705|EUPATH_0032598,variable,4,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for lung aspirate|Raw virus data for induced sputum
"Parainfluenza 2 copies, by multiplexed qPCR result",2,EUPATH_0032599|EUPATH_0032799,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Parainfluenza 2, by multiplexed qPCR result",4,EUPATH_0032707|EUPATH_0032600|EUPATH_0033063|EUPATH_0032800,variable,4,Raw virus data for lung aspirate|Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Parainfluenza 3 copies, by multiplexed qPCR result",2,EUPATH_0032601|EUPATH_0032801,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Parainfluenza 3, by multiplexed qPCR result",4,EUPATH_0032802|EUPATH_0032709|EUPATH_0033065|EUPATH_0032602,variable,4,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for pleural fluid|Raw virus data for induced sputum
"Parainfluenza 4 copies, by multiplexed qPCR result",2,EUPATH_0032603|EUPATH_0032803,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Parainfluenza 4, by multiplexed qPCR result",4,EUPATH_0033067|EUPATH_0032711|EUPATH_0032804|EUPATH_0032604,variable,4,Raw virus data for pleural fluid|Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum
"Parechovirus/Enterovirus copies, by multiplexed qPCR result",2,EUPATH_0032805|EUPATH_0032605,variable,2,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum
"Parechovirus/Enterovirus, by multiplexed qPCR result",4,EUPATH_0032606|EUPATH_0032713|EUPATH_0032806|EUPATH_0033069,variable,4,Raw virus data for induced sputum|Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid
Participant enrolled,2,EUPATH_0053048|EUPATH_0025171,variable,2,Community administrative information|Eligibility criteria
Pathogen count,2,EUPATH_0015468|EUPATH_0032983,variable,2,Test result summary for stool|Test result summary for nasopharyngeal/oropharyngeal swabs
Person who influences HIV prevention decision specified,2,EUPATH_0054977|EUPATH_0058279,variable,2,HIV/AIDS and STIs|PrEP
"Plasmodium asexual stages, by microscopy",2,EUPATH_0000048|EUPATH_0042250,variable,2,Plasmodium in blood|Plasmodium in child blood
Plasmodium falciparum,2,EUPATH_0021049|EUPATH_0021028,variable,2,"Plasmodium species, by qPCR|Plasmodium species, by microscopy"
"Plasmodium gametocytes, by microscopy",2,EUPATH_0000207|EUPATH_0042281,variable,2,Plasmodium in blood|Plasmodium in child blood
Plasmodium malariae,2,EUPATH_0021030|EUPATH_0021051,variable,2,"Plasmodium species, by microscopy|Plasmodium species, by qPCR"
Plasmodium ovale,2,EUPATH_0021052|EUPATH_0020167,variable,2,"Plasmodium species, by qPCR|Plasmodium species, by microscopy"
Plasmodium vivax,2,EUPATH_0021050|EUPATH_0021029,variable,2,"Plasmodium species, by qPCR|Plasmodium species, by microscopy"
"Plasmodium, by LAMP",2,EUPATH_0000487|EUPATH_0042122,variable,2,Plasmodium in blood|Plasmodium in placental blood
"Plasmodium, by microscopy",3,EUPATH_0027009|EUPATH_0042373|EUPATH_0042123,variable,3,Plasmodium in blood|Plasmodium in umbilical cord blood|Plasmodium in placental blood
"Plasmodium, by microscopy result",4,EUPATH_0000537|EUPATH_0042322|EUPATH_0042378|EUPATH_0042386,variable,4,Raw eukaryota data for blood|Raw eukaryota data for child blood|Raw eukaryota data for umbilical cord blood|Raw eukaryota data for placental blood
Platelets,2,EFO_0004309|EUPATH_0042323,variable,2,Blood test|Child blood test
"Pneumocystis jiroveci copies, by multiplexed qPCR result",3,EUPATH_0032678|EUPATH_0032570|EUPATH_0032771,variable,3,Raw eukaryota data for lung aspirate|Raw eukaryota data for induced sputum|Raw eukaryota data for nasopharyngeal/oropharyngeal swabs
"Pneumocystis jiroveci, by multiplexed qPCR result",4,EUPATH_0032571|EUPATH_0033035|EUPATH_0032679|EUPATH_0032772,variable,4,Raw eukaryota data for induced sputum|Raw eukaryota data for pleural fluid|Raw eukaryota data for lung aspirate|Raw eukaryota data for nasopharyngeal/oropharyngeal swabs
"Polio serotype 1 titer, by microneutralization result",2,EUPATH_0011290|EUPATH_0036527,variable,2,Raw antibody titer test result|Maternal blood raw antibody titer test result
"Polio serotype 2 titer, by microneutralization result",2,EUPATH_0011291|EUPATH_0036528,variable,2,Raw antibody titer test result|Maternal blood raw antibody titer test result
"Polio serotype 3 titer, by microneutralization result",2,EUPATH_0036529|EUPATH_0011292,variable,2,Maternal blood raw antibody titer test result|Raw antibody titer test result
Referred to clinic,2,EUPATH_0041011|EUPATH_0061369,variable,2,Observation details|Hospitalization
"Rhinovirus copies, by multiplexed qPCR result",2,EUPATH_0032607|EUPATH_0032807,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Rhinovirus, by multiplexed qPCR result",4,EUPATH_0032608|EUPATH_0032808|EUPATH_0033071|EUPATH_0032715,variable,4,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for lung aspirate
"Rotavirus IgA titer, by ELISA result",2,EUPATH_0036335|EUPATH_0011516,variable,2,Maternal breast milk raw antibody titer test result|Raw antibody titer test result
"Salmonella copies, by multiplexed qPCR result",2,EUPATH_0032764|EUPATH_0032549,variable,2,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum
"Salmonella, by bacteriology result",2,EUPATH_0010632|EUPATH_0032551,variable,2,Raw bacteria data for stool|Raw bacteria data for induced sputum
"Salmonella, by multiplexed qPCR result",4,EUPATH_0032550|EUPATH_0032765|EUPATH_0033029|EUPATH_0032673,variable,4,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid|Raw bacteria data for lung aspirate
"Schistosoma mansoni, by microscopy",2,EUPATH_0030121|EUPATH_0048232,variable,2,Schistosoma in stool|Schistosoma in maternal urine
"Staphylococcus aureus copies, by multiplexed qPCR result",3,EUPATH_0033030|EUPATH_0032766|EUPATH_0032554,variable,3,Raw bacteria data for pleural fluid|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum
"Staphylococcus aureus, by multiplexed qPCR result",4,EUPATH_0033031|EUPATH_0032767|EUPATH_0032675|EUPATH_0032555,variable,4,Raw bacteria data for pleural fluid|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for lung aspirate|Raw bacteria data for induced sputum
"Streptococcus pneumoniae copies, by multiplexed qPCR result",4,EUPATH_0032768|EUPATH_0033032|EUPATH_0032676|EUPATH_0032563,variable,4,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid|Raw bacteria data for lung aspirate|Raw bacteria data for induced sputum
"Streptococcus pneumoniae serotype 2, by bacteriology result",2,EUPATH_0032629|EUPATH_0032744,variable,2,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs
"Streptococcus pneumoniae serotype, by bacteriology result",6,EUPATH_0032630|EUPATH_0033449|EUPATH_0032747|EUPATH_0032247|EUPATH_0033446|EUPATH_0033092,variable,6,Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for blood|Raw bacteria data for endotracheal tube aspirate|Raw bacteria data for pleural fluid
"Streptococcus pneumoniae, by multiplexed qPCR result",4,EUPATH_0033033|EUPATH_0032677|EUPATH_0032564|EUPATH_0032769,variable,4,Raw bacteria data for pleural fluid|Raw bacteria data for lung aspirate|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs
"Syphilis, by VDRL",2,EUPATH_0038021|EUPATH_0038317,variable,2,Treponema in maternal blood|Treponema in blood
Time owned personal bednet,2,EUPATH_0058091|EUPATH_0024266,variable,2,Household vector intervention|Personal vector intervention
Tumor necrosis factor alpha,3,EUPATH_0036271|EUPATH_0036526|EUPATH_0036525,variable,3,Blood test|Maternal blood test|Maternal breast milk test
Vital status,2,EUPATH_0038398|EUPATH_0050606,variable,2,Physical examination|Observation details
Vitamin A,2,EUPATH_0036087|EUPATH_0050566,variable,2,Maternal supplementation during pregnancy|Immunization and prevention
Vomiting >=3 times per day,2,EUPATH_0015690|EUPATH_0015186,variable,2,Symptoms since illness began or during diarrhea|Symptoms in the last 7 days
White blood cells,2,CMO_0000027|EUPATH_0042350,variable,2,Blood test|Child blood test
White blood cells grade,2,EUPATH_0042158|EUPATH_0042349,variable,2,Blood test|Child blood test
Who decide HIV prevetion method,2,EUPATH_0058381|EUPATH_0058380,variable,2,Sex work|HIV/AIDS and STIs
Year,2,EUPATH_0010374|EUPATH_0053231,variable,2,Observation details|Community observation details
Zinc,3,EUPATH_0036571|EUPATH_0011166|EUPATH_0046002,variable,3,Maternal supplementation during pregnancy|Blood test|Diarrhea treatment
Asked but unknown,2,EUPATH_0058677|EUPATH_0058397,variable|multifilter,2,Reason to think having moderate or high chance of getting HIV|PrEP messages that hear on radio
Other,4,EUPATH_0036560|EUPATH_0055090|EUPATH_0054785|EUPATH_0058404,variable|multifilter,4,Maternal supplementation during pregnancy|Motivation of refilling in clinic|Action after listen PrEP on radio|PrEP message on TV
"Plasmodium species, by microscopy",2,EUPATH_0000423|EUPATH_0042337,variable|multifilter,2,Plasmodium in blood|Plasmodium in child blood
Reason for no household bednets,2,EUPATH_0058090|EUPATH_0024141,variable|multifilter,2,Household vector intervention|Personal vector intervention
Took no action,2,EUPATH_0054784|EUPATH_0054708,variable|multifilter,2,Action after listen PrEP on radio|Action after read PrEP in newspapers
Bednet source,2,EUPATH_0058077|EUPATH_0025015,"variable|variable,derived",2,Household vector intervention|Personal vector intervention
