unitLabel,unit_count,unitIRI,datasets
sq km,1,http://purl.obolibrary.org/obo/NCIT_C68864,gates_namibia
ug,1,http://purl.obolibrary.org/obo/UO_0000039,gates_maled
ug/L,1,http://purl.obolibrary.org/obo/UO_0000301,gates_maled | gates_crypto | gates_provide
ug/dL,1,http://purl.obolibrary.org/obo/NCIT_C67305,icemr_india_severe_malaria | gates_maled | gates_crypto
ug/g,1,http://purl.obolibrary.org/obo/EUPATH_0036575,gates_provide
ug/mL,1,http://purl.obolibrary.org/obo/UO_0000274,gates_maled | gates_crypto | gates_provide
umol/L,1,http://purl.obolibrary.org/obo/UO_0010003,gates_elicit | gates_maled
weeks,1,http://purl.obolibrary.org/obo/UO_0000034,icemr_india_daman | gates_jilinde_demand_creation_evaluation_questionnaire | icemr_india_meghalaya | gates_sip | gates_betterbirth | gates_ppfp_choices_kenya_pp | gates_ganc | general_promote | gates_crypto | gates_pcs | gates_provide
x10^3/uL,1,http://purl.obolibrary.org/obo/EUPATH_0023059,icemr_south_asia | icemr_india_severe_malaria | gates_elicit | general_kalifabougou | gates_sip | gates_perch
years,1,http://purl.obolibrary.org/obo/UO_0000036,icemr_prism2 | icemr_india_daman | icemr_south_asia | icemr_india_cx | icemr_prism | icemr_india_severe_malaria | gates_jilinde_demand_creation_evaluation_questionnaire | icemr_india_meghalaya | icemr_sub_saharan_africa_p_vivax_cohort | gates_avenir | general_guatemala_oi_cohort | gates_score_burundi | gates_score_zanzibar | gates_elicit | gates_jilinde_awareness_survey | gates_jilinde_pe_chv_cohort | general_kalifabougou | gates_score_sm_crt | icemr_sub_saharan_africa_kenya_cohort | gates_sip | gates_gamin | icemr_sw_pacific | icemr_southeast_asia2 | gates_washb_bangladesh | gates_score_sm_cohort | gates_llineup_rct | gates_jilinde_costing_survey | gates_score_seasonal | icemr_india_cohort | gates_betterbirth | icemr_india_behavior | gates_maled | general_promote | gates_jilinde_healthcareprovider_cohort | icemr_amazonia_brazil | icemr_llineup2 | gates_score_five_country | icemr_southern_africa | gates_namibia | gates_score_nig | gates_crypto | gates_washb_kenya | gates_score_moz | icemr_india_fever_surv | icemr_amazonia_peru | gates_score_rwanda | gates_pcs | icemr_prism2_border_cohort | gates_provide | gates_shine | icemr_amazonia_peru_cx | general_umsp | gates_jilinde_prospective_cohort
