var_name,n_missing,complete_rate
q42initialvisitsourceoffunds4,1890,0
q42amount4,1890,0
q42reviewvisit1sourceoffunds1,1890,0
q42amount11,1890,0
q42reviewvisit1sourceoffunds2,1890,0
q42amount12,1890,0
q42reviewvisit1sourceoffunds3,1890,0
q42amount13,1890,0
q42reviewvisit1sourceoffunds4,1890,0
q42amount14,1890,0
q42reviewvisit2sourceoffunds1,1890,0
q42amount21,1890,0
q42reviewvisit2sourceoffunds2,1890,0
q42amount22,1890,0
q42reviewvisit2sourceoffunds3,1890,0
q42amount23,1890,0
q42reviewvisit2sourceoffunds4,1890,0
q42amount24,1890,0
q42reviewvisit3sourceoffunds1,1890,0
q42amount31,1890,0
q42reviewvisit3sourceoffunds2,1890,0
q42amount32,1890,0
q42reviewvisit3sourceoffunds3,1890,0
q42amount33,1890,0
q42reviewvisit3sourceoffunds4,1890,0
q42amount34,1890,0
q42reviewvisit4sourceoffunds1,1890,0
q42amount41,1890,0
q42reviewvisit4sourceoffunds2,1890,0
q42amount42,1890,0
q42reviewvisit4sourceoffunds3,1890,0
q42amount43,1890,0
q42reviewvisit4sourceoffunds4,1890,0
q42amount44,1890,0
q42reviewvisit5sourceoffunds1,1890,0
q42amount51,1890,0
q42reviewvisit5sourceoffunds2,1890,0
q42amount52,1890,0
q42reviewvisit5sourceoffunds3,1890,0
q42amount53,1890,0
q42reviewvisit5sourceoffunds4,1890,0
q42amount54,1890,0
q42reviewvisit6sourceoffunds1,1890,0
q42amount61,1890,0
q42reviewvisit6sourceoffunds2,1890,0
q42amount62,1890,0
q42reviewvisit6sourceoffunds3,1890,0
q42amount63,1890,0
q42reviewvisit6sourceoffunds4,1890,0
q42amount64,1890,0
q47reviewvisit5,1890,0
q47reviewvisit6,1890,0
q47reviewvisit7,1890,0
