variable	IRI	values	mappedTerm
BC-3 mothers all visits database FINAL.dta::txarm	BC-3 mothers all visits database FINAL.dta::txarm	0	SP
BC-3 mothers all visits database FINAL.dta::txarm	BC-3 mothers all visits database FINAL.dta::txarm	1	DP
BC-3 mothers all visits database FINAL.dta::educ	BC-3 mothers all visits database FINAL.dta::educ	0	None
BC-3 mothers all visits database FINAL.dta::educ	BC-3 mothers all visits database FINAL.dta::educ	1	Primary
BC-3 mothers all visits database FINAL.dta::educ	BC-3 mothers all visits database FINAL.dta::educ	2	O level
BC-3 mothers all visits database FINAL.dta::educ	BC-3 mothers all visits database FINAL.dta::educ	3	A level
BC-3 mothers all visits database FINAL.dta::educ	BC-3 mothers all visits database FINAL.dta::educ	4	Tertiary
BC-3 mothers all visits database FINAL.dta::educ	BC-3 mothers all visits database FINAL.dta::educ	5	University
BC-3 mothers all visits database FINAL.dta::syph	BC-3 mothers all visits database FINAL.dta::syph	0	Negative
BC-3 mothers all visits database FINAL.dta::syph	BC-3 mothers all visits database FINAL.dta::syph	1	Positive
BC-3 mothers all visits database FINAL.dta::syph	BC-3 mothers all visits database FINAL.dta::syph	2	No result
BC-3 mothers all visits database FINAL.dta::fatherconsent	BC-3 mothers all visits database FINAL.dta::fatherconsent	1	Father unavailable to provide consent
BC-3 mothers all visits database FINAL.dta::fatherconsent	BC-3 mothers all visits database FINAL.dta::fatherconsent	2	Father provided consent
BC-3 mothers all visits database FINAL.dta::fatherconsent	BC-3 mothers all visits database FINAL.dta::fatherconsent	3	Father refused to consent
BC-3 mothers all visits database FINAL.dta::itn	BC-3 mothers all visits database FINAL.dta::itn	0	No
BC-3 mothers all visits database FINAL.dta::itn	BC-3 mothers all visits database FINAL.dta::itn	1	Yes
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	0	Non-routine visit
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	1	Routine visit
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	2	Enrollment
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	3	Delivery
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	4	Non-routine and Delivery visit
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	5	Routine and Delivery visit
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	6	Postpartum 1-week
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	7	Postpartum 6-week
BC-3 mothers all visits database FINAL.dta::visittype	BC-3 mothers all visits database FINAL.dta::visittype	8	Postpartum non-routine
BC-3 mothers all visits database FINAL.dta::mstatus	BC-3 mothers all visits database FINAL.dta::mstatus	0	No malaria
BC-3 mothers all visits database FINAL.dta::mstatus	BC-3 mothers all visits database FINAL.dta::mstatus	1	Uncomplicated(AL)
BC-3 mothers all visits database FINAL.dta::mstatus	BC-3 mothers all visits database FINAL.dta::mstatus	2	Complicated malaria(Quinine or artesunate)
BC-3 mothers all visits database FINAL.dta::mstatus	BC-3 mothers all visits database FINAL.dta::mstatus	3	AL treatment failure
BC-3 mothers all visits database FINAL.dta::mstatus	BC-3 mothers all visits database FINAL.dta::mstatus	4	Quinine/artesunate treatment failure (quinine+clinda)
BC-3 mothers all visits database FINAL.dta::febrile	BC-3 mothers all visits database FINAL.dta::febrile	0	No
BC-3 mothers all visits database FINAL.dta::febrile	BC-3 mothers all visits database FINAL.dta::febrile	1	Yes
BC-3 mothers all visits database FINAL.dta::bsdich	BC-3 mothers all visits database FINAL.dta::bsdich	0	Negative BS
BC-3 mothers all visits database FINAL.dta::bsdich	BC-3 mothers all visits database FINAL.dta::bsdich	1	Positive BS
BC-3 mothers all visits database FINAL.dta::labsdue	BC-3 mothers all visits database FINAL.dta::labsdue	1	Finger prick only
BC-3 mothers all visits database FINAL.dta::labsdue	BC-3 mothers all visits database FINAL.dta::labsdue	2	Phlebotomy
BC-3 mothers all visits database FINAL.dta::sdelig	BC-3 mothers all visits database FINAL.dta::sdelig	0	Not enrolled
BC-3 mothers all visits database FINAL.dta::sdelig	BC-3 mothers all visits database FINAL.dta::sdelig	1	Dispensed
BC-3 mothers all visits database FINAL.dta::sdelig	BC-3 mothers all visits database FINAL.dta::sdelig	2	Missed visit
BC-3 mothers all visits database FINAL.dta::sdelig	BC-3 mothers all visits database FINAL.dta::sdelig	3	Delivery/Withdrawn
BC-3 mothers all visits database FINAL.dta::vom1	BC-3 mothers all visits database FINAL.dta::vom1	0	No
BC-3 mothers all visits database FINAL.dta::vom1	BC-3 mothers all visits database FINAL.dta::vom1	1	Vomit once
BC-3 mothers all visits database FINAL.dta::vom1	BC-3 mothers all visits database FINAL.dta::vom1	2	 Vomit twice
BC-3 mothers all visits database FINAL.dta::vom2	BC-3 mothers all visits database FINAL.dta::vom2	0	No
BC-3 mothers all visits database FINAL.dta::vom2	BC-3 mothers all visits database FINAL.dta::vom2	1	Vomit once
BC-3 mothers all visits database FINAL.dta::vom2	BC-3 mothers all visits database FINAL.dta::vom2	2	 Vomit twice
BC-3 mothers all visits database FINAL.dta::vom3	BC-3 mothers all visits database FINAL.dta::vom3	0	No
BC-3 mothers all visits database FINAL.dta::vom3	BC-3 mothers all visits database FINAL.dta::vom3	1	Vomit once
BC-3 mothers all visits database FINAL.dta::vom3	BC-3 mothers all visits database FINAL.dta::vom3	2	 Vomit twice
BC-3 mothers all visits database FINAL.dta::car1rdt	BC-3 mothers all visits database FINAL.dta::car1rdt	0	Negative
BC-3 mothers all visits database FINAL.dta::car1rdt	BC-3 mothers all visits database FINAL.dta::car1rdt	1	Positive
BC-3 mothers all visits database FINAL.dta::car1rdt	BC-3 mothers all visits database FINAL.dta::car1rdt	2	Invalid
BC-3 mothers all visits database FINAL.dta::car2rdt	BC-3 mothers all visits database FINAL.dta::car2rdt	0	Negative
BC-3 mothers all visits database FINAL.dta::car2rdt	BC-3 mothers all visits database FINAL.dta::car2rdt	1	Positive
BC-3 mothers all visits database FINAL.dta::car2rdt	BC-3 mothers all visits database FINAL.dta::car2rdt	2	Invalid
BC-3 mothers all visits database FINAL.dta::exp1rdt	BC-3 mothers all visits database FINAL.dta::exp1rdt	0	Negative
BC-3 mothers all visits database FINAL.dta::exp1rdt	BC-3 mothers all visits database FINAL.dta::exp1rdt	1	Positive
BC-3 mothers all visits database FINAL.dta::exp1rdt	BC-3 mothers all visits database FINAL.dta::exp1rdt	2	Invalid
BC-3 mothers all visits database FINAL.dta::exp2rdt	BC-3 mothers all visits database FINAL.dta::exp2rdt	0	Negative
BC-3 mothers all visits database FINAL.dta::exp2rdt	BC-3 mothers all visits database FINAL.dta::exp2rdt	1	Positive
BC-3 mothers all visits database FINAL.dta::exp2rdt	BC-3 mothers all visits database FINAL.dta::exp2rdt	2	Invalid
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	0	Negative
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	1	0.001-<0.01
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	2	0.01-<0.05
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	3	0.05-<0.1
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	4	0.1-<1
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	5	1-<10
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	6	10-<100
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	7	100-<1000
BC-3 mothers all visits database FINAL.dta::qpcrcat	BC-3 mothers all visits database FINAL.dta::qpcrcat	8	>=1000
BC-3 mothers all visits database FINAL.dta::qpcrdich	BC-3 mothers all visits database FINAL.dta::qpcrdich	0	Negative (<0.001)
BC-3 mothers all visits database FINAL.dta::qpcrdich	BC-3 mothers all visits database FINAL.dta::qpcrdich	1	Positive (>=0.001)
BC-3 mothers delivery database FINAL.dta::aborty	BC-3 mothers delivery database FINAL.dta::aborty	0	Spontaneous
BC-3 mothers delivery database FINAL.dta::aborty	BC-3 mothers delivery database FINAL.dta::aborty	1	Elective
BC-3 mothers delivery database FINAL.dta::lod	BC-3 mothers delivery database FINAL.dta::lod	1	Masafu
BC-3 mothers delivery database FINAL.dta::lod	BC-3 mothers delivery database FINAL.dta::lod	2	TDH
BC-3 mothers delivery database FINAL.dta::lod	BC-3 mothers delivery database FINAL.dta::lod	3	Home
BC-3 mothers delivery database FINAL.dta::lod	BC-3 mothers delivery database FINAL.dta::lod	4	Other
BC-3 mothers delivery database FINAL.dta::mod	BC-3 mothers delivery database FINAL.dta::mod	1	Vaginal
BC-3 mothers delivery database FINAL.dta::mod	BC-3 mothers delivery database FINAL.dta::mod	2	Cesarean
BC-3 mothers delivery database FINAL.dta::infstatus1	BC-3 mothers delivery database FINAL.dta::infstatus1	1	Alive
BC-3 mothers delivery database FINAL.dta::infstatus1	BC-3 mothers delivery database FINAL.dta::infstatus1	2	Macerated stillbirth
BC-3 mothers delivery database FINAL.dta::infstatus1	BC-3 mothers delivery database FINAL.dta::infstatus1	3	Fresh stillbirth
BC-3 mothers delivery database FINAL.dta::canomaly1	BC-3 mothers delivery database FINAL.dta::canomaly1	0	No
BC-3 mothers delivery database FINAL.dta::canomaly1	BC-3 mothers delivery database FINAL.dta::canomaly1	1	Yes
BC-3 mothers delivery database FINAL.dta::canomaly1	BC-3 mothers delivery database FINAL.dta::canomaly1	9	Unknown
BC-3 mothers delivery database FINAL.dta::placentallampdich	BC-3 mothers delivery database FINAL.dta::placentallampdich	0	Negative
BC-3 mothers delivery database FINAL.dta::placentallampdich	BC-3 mothers delivery database FINAL.dta::placentallampdich	1	Positive
BC-3 mothers delivery database FINAL.dta::placentallampdich	BC-3 mothers delivery database FINAL.dta::placentallampdich	9	No result
BC-3 mothers delivery database FINAL.dta::rogerson	BC-3 mothers delivery database FINAL.dta::rogerson	0	No parasites or pigment
BC-3 mothers delivery database FINAL.dta::rogerson	BC-3 mothers delivery database FINAL.dta::rogerson	1	Parasites, no pigment in monocytes or fibirn
BC-3 mothers delivery database FINAL.dta::rogerson	BC-3 mothers delivery database FINAL.dta::rogerson	2	Parasites, pigment in monocytes +/- fibrin
BC-3 mothers delivery database FINAL.dta::rogerson	BC-3 mothers delivery database FINAL.dta::rogerson	3	Parasites, pigment in fibrin only
BC-3 mothers delivery database FINAL.dta::rogerson	BC-3 mothers delivery database FINAL.dta::rogerson	4	Pigment only
BC-3 mothers delivery database FINAL.dta::anyhp	BC-3 mothers delivery database FINAL.dta::anyhp	0	No
BC-3 mothers delivery database FINAL.dta::anyhp	BC-3 mothers delivery database FINAL.dta::anyhp	1	Yes
BC-3 mothers delivery database FINAL.dta::congenitalmaldich	BC-3 mothers delivery database FINAL.dta::congenitalmaldich	0	No
BC-3 mothers delivery database FINAL.dta::congenitalmaldich	BC-3 mothers delivery database FINAL.dta::congenitalmaldich	1	Yes
BC-3 mothers delivery database FINAL.dta::spontab	BC-3 mothers delivery database FINAL.dta::spontab	0	No
BC-3 mothers delivery database FINAL.dta::spontab	BC-3 mothers delivery database FINAL.dta::spontab	1	Yes
BC-3 mothers delivery database FINAL.dta::stillbirthdich	BC-3 mothers delivery database FINAL.dta::stillbirthdich	0	No
BC-3 mothers delivery database FINAL.dta::stillbirthdich	BC-3 mothers delivery database FINAL.dta::stillbirthdich	1	Yes
BC-3 mothers delivery database FINAL.dta::lbwdich	BC-3 mothers delivery database FINAL.dta::lbwdich	0	No
BC-3 mothers delivery database FINAL.dta::lbwdich	BC-3 mothers delivery database FINAL.dta::lbwdich	1	Yes
BC-3 mothers delivery database FINAL.dta::lbwdich	BC-3 mothers delivery database FINAL.dta::lbwdich	2	Not done
BC-3 mothers delivery database FINAL.dta::preterm	BC-3 mothers delivery database FINAL.dta::preterm	0	No
BC-3 mothers delivery database FINAL.dta::preterm	BC-3 mothers delivery database FINAL.dta::preterm	1	Yes
BC-3 mothers delivery database FINAL.dta::compositebo	BC-3 mothers delivery database FINAL.dta::compositebo	0	No
BC-3 mothers delivery database FINAL.dta::compositebo	BC-3 mothers delivery database FINAL.dta::compositebo	1	Yes
BC-3 mothers expanded database FINAL.dta::txarm	BC-3 mothers expanded database FINAL.dta::txarm	0	SP
BC-3 mothers expanded database FINAL.dta::txarm	BC-3 mothers expanded database FINAL.dta::txarm	1	DP
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	0	Non-routine visit
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	1	Routine visit
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	2	Enrollment
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	3	Delivery
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	4	Non-routine and Delivery visit
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	5	Routine and Delivery visit
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	6	Postpartum 1-week
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	7	Postpartum 6-week
BC-3 mothers expanded database FINAL.dta::visittype	BC-3 mothers expanded database FINAL.dta::visittype	8	Postpartum non-routine
BC-3 mothers expanded database FINAL.dta::mstatus	BC-3 mothers expanded database FINAL.dta::mstatus	0	No malaria
BC-3 mothers expanded database FINAL.dta::mstatus	BC-3 mothers expanded database FINAL.dta::mstatus	1	Uncomplicated(AL)
BC-3 mothers expanded database FINAL.dta::mstatus	BC-3 mothers expanded database FINAL.dta::mstatus	2	Complicated malaria(Quinine or artesunate)
BC-3 mothers expanded database FINAL.dta::mstatus	BC-3 mothers expanded database FINAL.dta::mstatus	3	AL treatment failure
BC-3 mothers expanded database FINAL.dta::mstatus	BC-3 mothers expanded database FINAL.dta::mstatus	4	Quinine/artesunate treatment failure (quinine+clinda)
BC-3 mothers expanded database FINAL.dta::febrile	BC-3 mothers expanded database FINAL.dta::febrile	0	No
BC-3 mothers expanded database FINAL.dta::febrile	BC-3 mothers expanded database FINAL.dta::febrile	1	Yes
BC-3 mothers expanded database FINAL.dta::bsdich	BC-3 mothers expanded database FINAL.dta::bsdich	0	Negative BS
BC-3 mothers expanded database FINAL.dta::bsdich	BC-3 mothers expanded database FINAL.dta::bsdich	1	Positive BS
BC-3 mothers expanded database FINAL.dta::sdelig	BC-3 mothers expanded database FINAL.dta::sdelig	0	Not enrolled
BC-3 mothers expanded database FINAL.dta::sdelig	BC-3 mothers expanded database FINAL.dta::sdelig	1	Dispensed
BC-3 mothers expanded database FINAL.dta::sdelig	BC-3 mothers expanded database FINAL.dta::sdelig	2	Missed visit
BC-3 mothers expanded database FINAL.dta::sdelig	BC-3 mothers expanded database FINAL.dta::sdelig	3	Delivery/Withdrawn
BC-3 mothers expanded database FINAL.dta::vom1	BC-3 mothers expanded database FINAL.dta::vom1	0	No
BC-3 mothers expanded database FINAL.dta::vom1	BC-3 mothers expanded database FINAL.dta::vom1	1	Vomit once
BC-3 mothers expanded database FINAL.dta::vom1	BC-3 mothers expanded database FINAL.dta::vom1	2	 Vomit twice
BC-3 mothers expanded database FINAL.dta::vom2	BC-3 mothers expanded database FINAL.dta::vom2	0	No
BC-3 mothers expanded database FINAL.dta::vom2	BC-3 mothers expanded database FINAL.dta::vom2	1	Vomit once
BC-3 mothers expanded database FINAL.dta::vom2	BC-3 mothers expanded database FINAL.dta::vom2	2	 Vomit twice
BC-3 mothers expanded database FINAL.dta::vom3	BC-3 mothers expanded database FINAL.dta::vom3	0	No
BC-3 mothers expanded database FINAL.dta::vom3	BC-3 mothers expanded database FINAL.dta::vom3	1	Vomit once
BC-3 mothers expanded database FINAL.dta::vom3	BC-3 mothers expanded database FINAL.dta::vom3	2	 Vomit twice
BC-3 mothers expanded database FINAL.dta::car1rdt	BC-3 mothers expanded database FINAL.dta::car1rdt	0	Negative
BC-3 mothers expanded database FINAL.dta::car1rdt	BC-3 mothers expanded database FINAL.dta::car1rdt	1	Positive
BC-3 mothers expanded database FINAL.dta::car1rdt	BC-3 mothers expanded database FINAL.dta::car1rdt	2	Invalid
BC-3 mothers expanded database FINAL.dta::car2rdt	BC-3 mothers expanded database FINAL.dta::car2rdt	0	Negative
BC-3 mothers expanded database FINAL.dta::car2rdt	BC-3 mothers expanded database FINAL.dta::car2rdt	1	Positive
BC-3 mothers expanded database FINAL.dta::car2rdt	BC-3 mothers expanded database FINAL.dta::car2rdt	2	Invalid
BC-3 mothers expanded database FINAL.dta::exp1rdt	BC-3 mothers expanded database FINAL.dta::exp1rdt	0	Negative
BC-3 mothers expanded database FINAL.dta::exp1rdt	BC-3 mothers expanded database FINAL.dta::exp1rdt	1	Positive
BC-3 mothers expanded database FINAL.dta::exp1rdt	BC-3 mothers expanded database FINAL.dta::exp1rdt	2	Invalid
BC-3 mothers expanded database FINAL.dta::exp2rdt	BC-3 mothers expanded database FINAL.dta::exp2rdt	0	Negative
BC-3 mothers expanded database FINAL.dta::exp2rdt	BC-3 mothers expanded database FINAL.dta::exp2rdt	1	Positive
BC-3 mothers expanded database FINAL.dta::exp2rdt	BC-3 mothers expanded database FINAL.dta::exp2rdt	2	Invalid
BC-3 mothers expanded database FINAL.dta::treatment	BC-3 mothers expanded database FINAL.dta::treatment	1	Q <5kg
BC-3 mothers expanded database FINAL.dta::treatment	BC-3 mothers expanded database FINAL.dta::treatment	2	AL
BC-3 mothers expanded database FINAL.dta::treatment	BC-3 mothers expanded database FINAL.dta::treatment	3	Q for AL failure
BC-3 mothers expanded database FINAL.dta::treatment	BC-3 mothers expanded database FINAL.dta::treatment	4	Q for complicated malaria
BC-3 mothers expanded database FINAL.dta::treatment	BC-3 mothers expanded database FINAL.dta::treatment	5	Q plus clindamycin
BC-3 mothers expanded database FINAL.dta::treatment	BC-3 mothers expanded database FINAL.dta::treatment	6	Artesunate for complicated malaria
BC-3 mothers expanded database FINAL.dta::timecat	BC-3 mothers expanded database FINAL.dta::timecat	0	Pregnant - before study drugs given
BC-3 mothers expanded database FINAL.dta::timecat	BC-3 mothers expanded database FINAL.dta::timecat	1	Pregnant - after study drugs given
BC-3 mothers expanded database FINAL.dta::timecat	BC-3 mothers expanded database FINAL.dta::timecat	2	Postpartum
BC-3 mothers expanded database FINAL.dta::labsdue	BC-3 mothers expanded database FINAL.dta::labsdue	1	Finger prick only
BC-3 mothers expanded database FINAL.dta::labsdue	BC-3 mothers expanded database FINAL.dta::labsdue	2	Phlebotomy
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	0	Negative
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	1	0.001-<0.01
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	2	0.01-<0.05
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	3	0.05-<0.1
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	4	0.1-<1
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	5	1-<10
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	6	10-<100
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	7	100-<1000
BC-3 mothers expanded database FINAL.dta::qpcrcat	BC-3 mothers expanded database FINAL.dta::qpcrcat	8	>=1000
BC-3 mothers expanded database FINAL.dta::qpcrdich	BC-3 mothers expanded database FINAL.dta::qpcrdich	0	Negative (<0.001)
BC-3 mothers expanded database FINAL.dta::qpcrdich	BC-3 mothers expanded database FINAL.dta::qpcrdich	1	Positive (>=0.001)
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	1	< 16 years of age
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	2	Residence outside Busia District
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	3	Does not agree to come to clinic
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	4	Does not agree to avoid medications
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	5	Does not plan to deliver at hospital
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	6	History of AE to SP or DP
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	7	Active medical problem
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	8	Intention of moving
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	9	Chronic medical condition
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	10	Prior SP or antimalarial therapy
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	11	HIV positive
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	12	No viable pregnancy
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	13	GA < 12 weeks
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	14	GA > 20 weeks
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	15	Early or active labor
BC-3 screening database FINAL.dta::exclusioncriteria	BC-3 screening database FINAL.dta::exclusioncriteria	16	Refused consent
BC-3 screening database FINAL.dta::eligible	BC-3 screening database FINAL.dta::eligible	0	Not eligible
BC-3 screening database FINAL.dta::eligible	BC-3 screening database FINAL.dta::eligible	1	Eligible
BC-3 screening database FINAL.dta::fatherconsent	BC-3 screening database FINAL.dta::fatherconsent	1	Father unavailable to provide consent
BC-3 screening database FINAL.dta::fatherconsent	BC-3 screening database FINAL.dta::fatherconsent	2	Father provided consent
BC-3 screening database FINAL.dta::fatherconsent	BC-3 screening database FINAL.dta::fatherconsent	3	Father refused to consent
BC3_Household_Survey_Data.dta::agree	BC3_Household_Survey_Data.dta::agree	-9	Skipped
BC3_Household_Survey_Data.dta::agree	BC3_Household_Survey_Data.dta::agree	1	Yes
BC3_Household_Survey_Data.dta::agree	BC3_Household_Survey_Data.dta::agree	2	No
BC3_Household_Survey_Data.dta::agree	BC3_Household_Survey_Data.dta::agree	8	Don't know
BC3_Household_Survey_Data.dta::agree	BC3_Household_Survey_Data.dta::agree	9	Refused
BC3_Household_Survey_Data.dta::surveydone	BC3_Household_Survey_Data.dta::surveydone	-9	Skipped
BC3_Household_Survey_Data.dta::surveydone	BC3_Household_Survey_Data.dta::surveydone	1	Yes
BC3_Household_Survey_Data.dta::surveydone	BC3_Household_Survey_Data.dta::surveydone	2	No
BC3_Household_Survey_Data.dta::surveydone	BC3_Household_Survey_Data.dta::surveydone	8	Don't know
BC3_Household_Survey_Data.dta::surveydone	BC3_Household_Survey_Data.dta::surveydone	9	Refused
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	-9	Skipped
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	10	borehole
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	11	pipe into dwelling
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	12	piped into yard/compound
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	13	public tap
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	21	open well in yard/compound
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	22	open public well
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	31	protected well in yard/compound
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	32	protected public well
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	41	protected spring
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	42	unprotected spring
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	43	river/stream
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	44	pond/lake
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	45	dam
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	51	rainwater
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	61	water truck
BC3_Household_Survey_Data.dta::swater	BC3_Household_Survey_Data.dta::swater	71	bottled water
