colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
27,,,score_burundi_mapping_dataset::haematuria,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030124,Result of haematuria test,,Sample,,,Result of haematuria test,,variable,,,
16,,,score_burundi_mapping_dataset::id,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,Unique ID for each study participant (school pupil).,Participant,,,Unique ID for each study participant (school pupil).,,variable,,,
,,,,,,Types of sources of water within 5km of the school,presence or absence of different types of sources of water within 5km of the school,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,multifilter,,,
12,,,score_burundi_mapping_dataset::irrigationcanal.within.5km,score_burundi_mapping_dataset,,Irrigation canal,,Household, Types of sources of water within 5km of the school,,,"0= absence, 1= presence",value,,,
8,,,score_burundi_mapping_dataset::lake.within.5km,score_burundi_mapping_dataset,,Lake,,Household, Types of sources of water within 5km of the school,,Flags to indicate presence or absence of different types of sources of water within 5km of the school,"0= absence, 1= presence",value,,,
10,,,score_burundi_mapping_dataset::marsh.swamp.within.5km,score_burundi_mapping_dataset,,Marsh or swamp,,Household, Types of sources of water within 5km of the school,,,"0= absence, 1= presence",value,,,
6,,,score_burundi_mapping_dataset::nboys,score_burundi_mapping_dataset,,Number of boys,,Household,Village level information,http://purl.obolibrary.org/obo/EUPATH_0030001,Number of boys in the school,,variable,,,
7,,,score_burundi_mapping_dataset::ngirls,score_burundi_mapping_dataset,,Number of girls,,Household,Village level information,http://purl.obolibrary.org/obo/EUPATH_0030001,Number of girls in the school,,variable,,,
14,,,score_burundi_mapping_dataset::otherwater.within.5km,score_burundi_mapping_dataset,,Other water source,,Household, Types of sources of water within 5km of the school,,,"0= absence, 1= presence",value,,,
13,,,score_burundi_mapping_dataset::pond.within.5km,score_burundi_mapping_dataset,,Pond,,Household, Types of sources of water within 5km of the school,,,"0= absence, 1= presence",value,,,
5,,,score_burundi_mapping_dataset::pzq.alb.12m,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0011222,Total deworming treatments,Numeric to indicate number of treatments in last 12 months at school.,Household,,,Numeric to indicate number of treatments in last 12 months at school. PZQ= praziquantel (anti-schistosomal drug); ALB= albendazole (deworming drug),,variable,,,
11,,,score_burundi_mapping_dataset::ricefield.within.5km,score_burundi_mapping_dataset,,Ricefield,,Household, Types of sources of water within 5km of the school,,,"0= absence, 1= presence",value,,,
9,,,score_burundi_mapping_dataset::river.within.5km,score_burundi_mapping_dataset,,River,,Household, Types of sources of water within 5km of the school,,,"0= absence, 1= presence",value,,,
1,,,score_burundi_mapping_dataset::schoolid,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0000094,School ID,Identity code for each school,Household,,,Identity code for each school,Formatted as Code/District/Commune/School,variable,,,
4,,,score_burundi_mapping_dataset::sentinelsite,score_burundi_mapping_dataset,,Sentiel Site,,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,Flag to indicate whether the school is a sentinel site or not,"YES= Sentinel site, NO= Not sentinel site",variable,,,
17,,,score_burundi_mapping_dataset::sex,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,Sex of each pupil,"0= Female, 1= Male",variable,,,
31,,,score_burundi_mapping_dataset::smansoni.kk_01,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030121,Schistosoma mansoni infection,Binary flag to indicate S.mansoni  infection through egg detection in KK,Sample,,,Binary flag to indicate S.mansoni  infection through egg detection in KK,"0= negative, 1= positive",variable,,,
30,,,score_burundi_mapping_dataset::smansoni.kk_meanepg,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030024,Average eggs per gram of S.mansoni,"Average epg of S.mansoni where two slides were recorded, or the single observation where only one slide was recorded",Sample,,,"Average epg of S.mansoni where two slides were recorded, or the single observation where only one slide was recorded",,variable,,,
29,,,score_burundi_mapping_dataset::smansonikk.fielddecision_01,score_burundi_mapping_dataset,,Field decision for S. mansoni infection ,Decision made in the field of whether individual was postive for mansoni by KK. Doesn't always match with the egg info.,Sample,Schistosoma in stool,http://purl.obolibrary.org/obo/EUPATH_0030025,Decision made in the field of whether individual was postive for mansoni by KK. Doesn't always match with the egg info.,"0= negative, 1= positive",variable,,,
37,,,score_burundi_mapping_dataset::trich.kk_01,score_burundi_mapping_dataset,,Trichuris infection,,Sample,Trichuris in stool aggregate data,http://purl.obolibrary.org/obo/EUPATH_0030029,Binary flag to indicate Trichuris infection through egg detection in KK,"0= negative, 1= positive",variable,,,
36,,,score_burundi_mapping_dataset::trich.kk_meanepg,score_burundi_mapping_dataset,,Average eggs per gram of Trichuris ,,Sample,Trichuris in stool aggregate data,http://purl.obolibrary.org/obo/EUPATH_0030029,"Average epg of Trichuris where two slides were recorded, or the single observation where only one slide was recorded",,variable,,,
2,,,score_burundi_mapping_dataset::zone,score_burundi_mapping_dataset,,Eco-epidemiological risk zone of school,,Household,Village level information,http://purl.obolibrary.org/obo/EUPATH_0030001,Eco-epidemiological risk zone of school,,variable,,,
