colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,unitLabel,unitIRI,repeated,is_temporal,mergeKey,is_featured,hidden,scale,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
3,startyear,anthro,,Interview start year,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startYear,anthro::startyear,int,2019,NA,NA,2019 to 2020,2,0,duplicated variable
4,timepoint,anthro,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,Study visit,Participant,Which visit?,"1=Baseline, 2=14-day, 3=6-month",,,,,,,,,,,,,,,timepoint,anthro::timepoint,int,1,NA,NA,1 to 3,3,0,duplicated variable
22,weight,anthro,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight,,Participant,Enter child's weight (kg),,,,,kg,,,,,,,,,,,weight,anthro::weight,dbl,8.6,NA,NA,-999999999 to 20,145,0,duplicated variable
6,ageindays,baseline,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,days,,,,,,,,,,,ageInDays,baseline::ageindays,int,653,NA,NA,43 to 1810,376,0,duplicated variable
7,ageinmonths,baseline,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,months,,,,,,,,,,,ageInMonths,baseline::ageinmonths,int,21,NA,NA,1 to 59,57,0,duplicated variable
19,breastfeeding,baseline,http://purl.obolibrary.org/obo/EUPATH_0011048,Breastfeeding status,Is the child currently breastfeeding?,Participant,Is the child currently breastfeeding?,"1=Yes, 2=No",,,,,,,,,,,,,,,breastFeeding,baseline::breastfeeding,int,1,NA,NA,1 to 2,2,0,NA
20,breastfeedingexclusive,baseline,,Breastfeeding exclusive,Is the breastfeeding exclusive?,Participant,Is the breastfeeding exclusive?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,,,,,,,,,,,,breastFeedingExclusive,baseline::breastfeedingexclusive,int,2,NA,NA,1 to 2,2,0.619153675,NA
21,motherage,baseline,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age,,Participant,,,,,,years,,,,,,,,,,,motherAge,baseline::motherage,int,26,NA,NA,15 to 52,33,0,NA
23,motheredu,baseline,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,What is the mother's level of education?,Participant,What is the mother's level of education?,"1=Noe, 2=Primary, 3=Secondary, 4=Tertiary or above",,,,,,,,,,,,,,,motherEdu,baseline::motheredu,int,2,NA,NA,1 to 4,4,0,NA
22,motherliterate,baseline,,Mother's literacy status,Is the mother literate?,Participant,Is the mother literate?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,,,,,,,,,,,motherLiterate,baseline::motherliterate,int,2,NA,NA,1 to 2,2,0,NA
26,numberlivechildren,baseline,http://purl.obolibrary.org/obo/EUPATH_0036218,Mother's living children,How many live children does the mother have?,Participant,How many live children does the mother have?,,,,,,,,,,,,,,,,numberLiveChildren,baseline::numberlivechildren,int,0,NA,NA,0 to 7,8,0,NA
25,pregnum,baseline,,Mother's pregnancies (count),Number of times mother has been pregnant,Participant,Number of times pregnant,,,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,,,,,,,,,,,pregNum,baseline::pregnum,int,1,NA,NA,0 to 10,10,0,NA
18,secteur,baseline,,Sector,Sector of residence,Household,Secteur of residence,"1=Secteur 1, 2=Secteur 2, 3=Secteur 3, 4=Secteur 4, 5=Secteur 5, 6=Secteur 6, 7=Secteur 7",,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,,,,,,,,secteur,baseline::secteur,int,3,NA,NA,1 to 7,7,0,NA
2,starttime,baseline,,Interview start time,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startTime,baseline::starttime,chr,11/21/19,date?,%Y-%m-%d,>10 unique values,13,0,duplicated variable
3,startyear,baseline,,Interview start year,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startYear,baseline::startyear,int,2019,NA,NA,2019 to 2019,1,0,duplicated variable
7,ageindays,blood,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,days,,,,,,,,,,,ageInDays,blood::ageindays,int,651,NA,NA,-99 to 1994,845,0,duplicated variable
8,ageinmonths,blood,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,months,,,,,,,,,,,ageInMonths,blood::ageinmonths,int,21,NA,NA,-999999999 to 65,65,0,duplicated variable
52,amountblood,blood,http://purl.obolibrary.org/obo/EUPATH_0036348,Blood quantity sufficient,How much blood did you collect?,Sample,How much blood did you collect?,"1=Insufficient, 2=less than half, 3=Half, 4=More than half, 5=Full",,,,,,,,,,,,,,,amountBlood,blood::amountblood,int,1,NA,NA,-999999999 to 5,6,0.040898156,NA
54,amountblood2ml,blood,http://purl.obolibrary.org/obo/OBIB_0000236,Blood sample volume,Did you collect at least 2 mL blood?,Sample,Did you collect at least 2 mL?,"1=Yes, 2=No",,,,,,,,,,,,,,,amountBlood2ml,blood::amountblood2ml,int,1,NA,NA,1 to 2,2,0.103448276,NA
53,amountbloodwhy,blood,,Blood sample insufficient reason ,Why did you collect <2 ml blood?,Sample,Why?,,,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,,,,,,,,,,,amountBloodwhy,blood::amountbloodwhy,chr,ENFANT TROP AGITÃ‰,NA,NA,>10 unique values,19,0.963111468,NA
10,childsex,blood,http://purl.obolibrary.org/obo/PATO_0000047,Sex,What is child's sex?,Participant,What is child's sex?,"1=male, 2=female",,,,,,,,,,,,,,,childSex,blood::childsex,int,1,NA,NA,1 to 2,2,0,duplicated variable
21,childtemp,blood,http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature,,Participant,Please enter child's temperature reading,,,,,Celcius,,,,,,,,,,,childTemp,blood::childtemp,dbl,37,NA,NA,34.5 to 40.2,48,0.001603849,NA
22,giverdt,blood,,Give RDT,Do you want to give an RDT?,Participant,Do you want to give an RDT?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,,,,,,,,,,,,giveRDT,blood::giverdt,int,2,NA,NA,-999999999 to 2,3,0.101844427,NA
23,rdtadmin,blood,http://purl.obolibrary.org/obo/EUPATH_0027004,RDT performed,Was RDT administered?,Participant,Was RDT administered?,"1=Yes, 2=No",,,,,,,,,,,,,,,rdtAdmin,blood::rdtadmin,int,1,NA,NA,1 to 1,1,0.898155573,NA
25,rdtresults,blood,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",Results of RDT test,Participant,Results of RDT test,"1=Positive, 2=Negative, 3=DonÕt know",,,,,,,,,,,,,,,rdtResults,blood::rdtresults,int,2,NA,NA,1 to 2,2,0.898155573,NA
2,starttime,blood,,Interview start time,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startTime,blood::starttime,chr,11/19/19,date?,%Y-%m-%d,>10 unique values,42,0,duplicated variable
3,startyear,blood,,Interview start year,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startYear,blood::startyear,int,2019,NA,NA,2019 to 2020,2,0,duplicated variable
4,timepoint,blood,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,Study visit,Participant,Which visit?,"1=Baseline, 2=14-day, 3=6-month",,,,,,,,,,,,,,,timepoint,blood::timepoint,int,1,NA,NA,1 to 3,3,0,duplicated variable
27,whysmear,blood,,Reason blood smear not collected,Please specify why the sample cannot be collected?,Sample,Please specify why the sample cannot be collected?,,,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,,,,,,,,,,,,whysmear,blood::whysmear,chr,PRÃ‰LÃˆVEMENT NON FAIT,NA,NA,"PRÃ‰LÃˆVEMENT NON FAIT, NA",1,0.994386528,NA
8,ageindays,eligibility,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,days,,,,,,,,,,,ageInDays,eligibility::ageindays,int,651,NA,NA,43 to 1800,377,0,duplicated variable
7,ageinmonths,eligibility,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,months,,,,,,,,,,,ageInMonths,eligibility::ageinmonths,int,21,NA,NA,1 to 59,57,0,duplicated variable
16,allergy,eligibility,http://purl.obolibrary.org/obo/EUPATH_0042088,Known drug allergy,Known allergy to macrolides / azalides?,Participant,Known allergy to macrolides / azalides?,"1=Yes, 2=No",,,,,,,,,,,,,,,allergy,eligibility::allergy,int,2,NA,NA,2 to 2,1,0,NA
15,available6months,eligibility,,Available for study,Available for the next 6 months?,Participant,Available for the next 6 months?,"1=Yes, 2=No",variable,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,,,,,,,,,,,available6months,eligibility::available6months,int,1,NA,NA,1 to 1,1,0,NA
13,childsex,eligibility,http://purl.obolibrary.org/obo/PATO_0000047,Sex,What is child's sex?,Participant,What is child's sex?,"1=male, 2=female",,,,,,,,,,,,,,,childSex,eligibility::childsex,int,1,NA,NA,1 to 2,2,0,duplicated variable
19,consent,eligibility,http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,,Participant,consent,"1=Yes, 2=No",,,,,,,,,,,,,,,consent,eligibility::consent,int,1,NA,NA,1 to 1,1,0,duplicated variable
10,docdob,eligibility,,Verification of birth date,,Participant,How did you verify date of birth?,"1=Carnet de sante, 2=birth certificate, 3=CNIB/passport, 4=someone told me, 5=other document",,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,,,,,,,,docDoB,eligibility::docdob,int,1,NA,NA,1 to 4,3,0,NA
11,docdob4,eligibility,,Person providing birth date information,,Participant,Who told you?,,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,,,,,,,,docDoB4,eligibility::docdob4,chr,LA MERE,NA,NA,"LA MERE, LA MÃˆRE, LA MÃˆRE GADIENNE, NA",3,0.993333333,NA
18,feedorally,eligibility,,Ability to feed orally,,Participant,Ability to feed orally?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding,,,,,,,,,,,,feedOrally,eligibility::feedorally,int,1,NA,NA,1 to 1,1,0,NA
17,otherstudy,eligibility,,Participant enrolled in other study,Has your child been enrolled in NAITRE or supplementary rectal swab study?,Participant,Has your child been enrolled in NAITRE or supplementary rectal swab study?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,,,,,,,,otherStudy,eligibility::otherstudy,int,2,NA,NA,2 to 2,1,0,NA
14,primaryresidence,eligibility,,Primary residence within study area,Primary residence within Nouna?,Household,Primary residence within Nouna?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0000440,Resident status,,,,,,,,,,,,primaryResidence,eligibility::primaryresidence,int,1,NA,NA,1 to 1,1,0,NA
2,starttime,eligibility,,Interview start time,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startTime,eligibility::starttime,chr,11/19/19,date?,%Y-%m-%d,>10 unique values,11,0,duplicated variable
3,startyear,eligibility,,Interview start year,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startYear,eligibility::startyear,int,2019,NA,NA,2019 to 2019,1,0,duplicated variable
6,ageindays,followup,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,days,,,,,,,,,,,ageInDays,followup::ageindays,int,665,NA,NA,48 to 1997,681,0,duplicated variable
7,ageinmonths,followup,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,months,,,,,,,,,,,ageInMonths,followup::ageinmonths,int,21,NA,NA,-999999999 to 65,66,0,duplicated variable
32,centervisit,followup,http://purl.obolibrary.org/obo/EUPATH_0010395,Visited health facility,Has child visited the health center since the last time we visited for a health problem?,Participant,Has child visited the health center since the last time we visited for a health problem?,"1=Yes, 2=No",,,,,,,,,,,,,,,centerVisit,followup::centervisit,int,2,NA,NA,1 to 2,2,0.524861878,NA
9,childsex,followup,http://purl.obolibrary.org/obo/PATO_0000047,Sex,What is child's sex?,Participant,What is child's sex?,"1=male, 2=female",,,,,,,,,,,,,,,childSex,followup::childsex,int,1,NA,NA,1 to 2,2,0,duplicated variable
39,hospitalvisit,followup,http://purl.obolibrary.org/obo/EUPATH_0010995,Hospitalized,Has child been hospitalized since the last time we visited?,Participant,Has child been hospitalized since the last time we visited?,"1=Yes, 2=No",,,,,,,,,,,,,,,hospitalVisit,followup::hospitalvisit,int,2,NA,NA,2 to 2,1,0.524861878,NA
20,interviewtype,followup,,Interview method,How is interview conducted?,Participant,How is interview conducted?,"1=On phone, 2=In person",,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,interviewType,followup::interviewtype,int,2,NA,NA,-999999999 to 2,3,0.502762431,NA
25,q_5_6__1,followup,,Fever,"Since the last time our team visited, has the child presented with fever?",Participant,"Since the last time our team visited, has presented with fever?","1=Yes, 2=No",multifilter,,Illness since last study visit,,,,,,,,,,,,q_5_6__1,followup::q_5_6__1,int,0,NA,NA,0 to 1,2,0.524861878,NA
26,q_5_6__2,followup,,Diarrhea,"Since the last time our team visited, has presented with diarrhea?",Participant,"Since the last time our team visited, has presented with diarrhea?","1=Yes, 2=No",multifilter,,Illness since last study visit,,,,,,,,,,,,q_5_6__2,followup::q_5_6__2,int,0,NA,NA,0 to 1,2,0.524861878,NA
27,q_5_6__3,followup,,Vomiting,"Since the last time our team visited, has presented with vomiting?",Participant,"Since the last time our team visited, has presented with vomiting?","1=Yes, 2=No",multifilter,,Illness since last study visit,,,,,,,,,,,,q_5_6__3,followup::q_5_6__3,int,0,NA,NA,0 to 1,2,0.524861878,NA
28,q_5_6__4,followup,,Abdominal pain,"Since the last time our team visited, has presented with abdominal pain?",Participant,"Since the last time our team visited, has presented with abdominal pain?","1=Yes, 2=No",multifilter,,Illness since last study visit,,,,,,,,,,,,q_5_6__4,followup::q_5_6__4,int,0,NA,NA,0 to 1,2,0.524861878,NA
29,q_5_6__5,followup,,Rash,"Since the last time our team visited, has presented with rash?",Participant,"Since the last time our team visited, has presented with rash?","1=Yes, 2=No",multifilter,,Illness since last study visit,,,,,,,,,,,,q_5_6__5,followup::q_5_6__5,int,0,NA,NA,0 to 1,2,0.524861878,NA
30,q_5_6__6,followup,,Constipation,"Since the last time our team visited, has presented with constipation?",Participant,"Since the last time our team visited, has presented with constipation?","1=Yes, 2=No",multifilter,,Illness since last study visit,,,,,,,,,,,,q_5_6__6,followup::q_5_6__6,int,0,NA,NA,0 to 1,2,0.524861878,NA
31,q_5_6__7,followup,,None,"Since the last time our team visited, has presented any following symptoms: ""Noe""?",Participant,"Since the last time our team visited, has presented any following symptoms: ""Noe""?","1=Yes, 2=No",multifilter,,Illness since last study visit,,,,,,,,,,,,q_5_6__7,followup::q_5_6__7,int,1,NA,NA,0 to 1,2,0.524861878,NA
,,,,Illness since last study visit,,,,,Category,http://purl.obolibrary.org/obo/EUPATH_0021098,Immediate clinical history,,,,,,,,,,,,,,,,,,,,,
33,reasonvisit__1,followup,http://purl.obolibrary.org/obo/EUPATH_0015250,Health facility for fever,Reason for child visiting the health center: Fever,Participant,Why did child visit the health center? Fever,,multifilter,,,,,,,,,,,,,,reasonVisit__1,followup::reasonvisit__1,int,1,NA,NA,0 to 1,2,0.975690608,NA
34,reasonvisit__2,followup,http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,Reason for child visiting the health center: Diarrhea,Participant,Why did child visit the health center? Diarrhea,,multifilter,,,,,,,,,,,,,,reasonVisit__2,followup::reasonvisit__2,int,0,NA,NA,0 to 1,2,0.975690608,NA
35,reasonvisit__3,followup,,,Reason for child visiting the health center: Pneumonia,Participant,Why did child visit the health center? Pneumonia,,multifilter,http://purl.obolibrary.org/obo/EUPATH_0010395,Visited health facility,,,,,,,,,,,,reasonVisit__3,followup::reasonvisit__3,int,0,NA,NA,0 to 1,2,0.975690608,NA
36,reasonvisit__4,followup,,,Reason for child visiting the health center: Malaria,Participant,Why did child visit the health center? Malaria,,multifilter,http://purl.obolibrary.org/obo/EUPATH_0010395,Visited health facility,,,,,,,,,,,,reasonVisit__4,followup::reasonvisit__4,int,1,NA,NA,0 to 1,2,0.975690608,NA
37,reasonvisit__5,followup,http://purl.obolibrary.org/obo/EUPATH_0015251,Health facility for other,Reason for child visiting the health center: Other reason,Participant,Why did child visit the health center? Other,,multifilter,,,,,,,,,,,,,,reasonVisit__5,followup::reasonvisit__5,int,0,NA,NA,0 to 1,2,0.975690608,NA
,,,http://purl.obolibrary.org/obo/EUPATH_0010395,Visited health facility,,Participant,,,Category,,,,,,,,,,,,,,,,,,,,,,,
2,starttime,followup,,Interview start time,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startTime,followup::starttime,chr,12/3/19,date?,%Y-%m-%d,>10 unique values,38,0,duplicated variable
3,startyear,followup,,Interview start year,,Participant,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startYear,followup::startyear,int,2019,NA,NA,2019 to 2020,2,0,duplicated variable
19,visitday,followup,http://purl.obolibrary.org/obo/EUPATH_0000311,Visit type,Which follow-up visit?,Participant,Which follow-up visit?,"1=14-day, 2=6-month",,,,,,,,,,,,,,,visitDay,followup::visitday,int,1,NA,NA,1 to 2,2,0,NA
21,vitalstatus,followup,http://purl.obolibrary.org/obo/EUPATH_0038398,Vital status,Child's status,Participant,Child's status,"1=Alive and present, 2=Died, 3=Moved, 4=Unknown, 5=Alive but not present, 6=Alive but refuses to continue",,,,,,,,,,,,,,,vitalStatus,followup::vitalstatus,int,1,NA,NA,1 to 6,4,0,NA
34,asexualmethod,gamin_slide,,Asexual parasites method,Select method used to calculate the number of asexual parasites,Sample,Select method used to calculate the number,"1=WBC, 2=RBC",,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,asexualMethod,gamin_slide::asexualmethod,int,1,NA,NA,1 to 1,1,0.865695793,NA
33,asexualparasitemia,gamin_slide,,Asexual parasitemia,,Sample,Asexual parasitemia,"1=No parasites, 2=Presence of parasites",,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,asexualParasitemia,gamin_slide::asexualparasitemia,int,2,NA,NA,1 to 2,2,0.843042071,NA
35,asexualrbc,gamin_slide,http://purl.obolibrary.org/obo/EUPATH_0000092,"Plasmodium asexual stages (per uL blood), by microscopy",Number of asexual parasites per microliter of blood,Sample,Enter number of parasites in µl,,,,,,,,,,,,,,,,asexualRBC,gamin_slide::asexualrbc,int,640,NA,NA,32 to 640000,98,0.865695793,NA
26,reader1results,gamin_slide,http://purl.obolibrary.org/obo/EUPATH_0024314,"Plasmodium, by thick smear microscopy",Slide results,Sample,Slide results,"1=Positive, 2=Negative, 3=DonÕt know",,,,,,,,,,,,,,,reader1results,gamin_slide::reader1results,int,2,NA,NA,1 to 2,2,0,NA
41,sexualmethod,gamin_slide,,Sexual parasites method,,Sample,Select method used to calculate the number,"1=WBC, 2=RBC",,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,sexualMethod,gamin_slide::sexualmethod,int,1,NA,NA,1 to 1,1,0.971682848,NA
40,sexualparasitemia,gamin_slide,,Sexual parasitemia,,Sample,Sexual parasitemia,"1=No gametocytes, 2=Presence of gametocytes",,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,sexualParasitemia,gamin_slide::sexualparasitemia,int,1,NA,NA,1 to 2,2,0.843042071,NA
46,sexualparasites,gamin_slide,,,,Sample,,,,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,sexualParasites,gamin_slide::sexualparasites,int,-999999999,NA,NA,-999999999 to 9240,19,0,NA
42,sexualrbc,gamin_slide,,"Plasmodium sexual stages (per uL blood), by microscopy",,Sample,Enter number of gametocytes in µl,,,,,,,,,,,,,,,,sexualRBC,gamin_slide::sexualrbc,int,64,NA,NA,32 to 9240,18,0.971682848,NA
27,species,gamin_slide,,Plasmodium infection mixed,Type of species: mixed infection or infection by single species,Sample,Type of species,"1=Mixed, 2=Mono, 3=None",,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,species,gamin_slide::species,int,2,NA,NA,-999999999 to 3,4,0.843042071,NA
28,speciesmixed__1,gamin_slide,,Plasmodium falciparum,,Sample,Pf,"0=No, 1=Yes",,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,speciesMixed__1,gamin_slide::speciesmixed__1,int,1,NA,NA,1 to 1,1,0.997572816,NA
29,speciesmixed__2,gamin_slide,,Plasmodium malariae,,Sample,Pm,"0=No, 1=Yes",,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,speciesMixed__2,gamin_slide::speciesmixed__2,int,1,NA,NA,1 to 1,1,0.997572816,NA
30,speciesmixed__3,gamin_slide,,Plasmodium ovale,,Sample,Po,"0=No, 1=Yes",,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,,,,,,,,speciesMixed__3,gamin_slide::speciesmixed__3,int,0,NA,NA,0 to 0,1,0.997572816,NA
31,speciesmono,gamin_slide,http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",,Sample,Specify the species,"1=Pf, 2=Pm, 3=Po",,,,,,,,,,,,,,,speciesMono,gamin_slide::speciesmono,int,1,NA,NA,1 to 2,2,0.856796117,NA
32,stage,gamin_slide,,,,Sample,Stage,"1=Trophozoites, 2=Schizontes, 3=None",,,,,,,,,,,,,,,stage,gamin_slide::stage,int,1,NA,NA,-999999999 to 3,3,0.843042071,NA
2,starttime,gamin_slide,,Interview start time,,Sample,,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,startTime,gamin_slide::starttime,chr,3/17/20,date?,%Y-%m-%d,>10 unique values,53,0,duplicated variable
24,thicksmearcondition,gamin_slide,,Thick smear condition,,Sample,Are the thick smears in good condition to be read?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,,,,,,,,,,,,thickSmearcondition,gamin_slide::thicksmearcondition,int,1,NA,NA,1 to 1,1,0,NA
22,thinsmearcondition,gamin_slide,,Thin smear condition,,Sample,Are the thin smears in good condition to be read?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,,,,,,,,,,,,thinSmearcondition,gamin_slide::thinsmearcondition,int,1,NA,NA,1 to 1,1,0,NA
52,timepoint,gamin_slide,,Sample timepoint,Timepoint of sample collection,Sample,Which visit?,"1=Baseline, 2=14-day, 3=6-month",,http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,,,,,,,,,,,,timepoint,gamin_slide::timepoint,int,2,NA,NA,1 to 3,3,0,duplicated variable
6,ageindays,treatment,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,days,,,,,,,,,,,ageInDays,treatment::ageindays,int,651,NA,NA,43 to 1800,377,0,duplicated variable
7,ageinmonths,treatment,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,,,,months,,,,,,,,,,,ageInMonths,treatment::ageinmonths,int,21,NA,NA,1 to 59,57,0,duplicated variable
20,canstand,treatment,,Ability to stand,Is child able to stand?,Participant,Is child able to stand?,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,,,,,,,,canStand,treatment::canstand,int,1,NA,NA,1 to 2,2,0.126666667,NA
11,childsex,treatment,http://purl.obolibrary.org/obo/PATO_0000047,Sex,What is child's sex?,Participant,What is child's sex?,"1=male, 2=female",,,,,,,,,,,,,,,childSex,treatment::childsex,int,1,NA,NA,1 to 2,2,0,duplicated variable
12,consent,treatment,,Consent for treatment,,Participant,consent,"1=Yes, 2=No",,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,,,,,,,,,,,consent,treatment::consent,int,1,NA,NA,1 to 1,1,0,duplicated variable
22,dosageadmin,treatment,,Volume of dose prepared,Prepare the dose and enter here the dose you prepared (ml),Participant,"Please, prepare the dose and enter here the dose you prepared (ml)",,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,ml,,,,,,,,,,,dosageAdmin,treatment::dosageadmin,int,8,NA,NA,4 to 14,6,0.16,NA
