sid,type_count,labels,termTypes,datasets
EUPATH_0010395,3,Visited health facility,category|multifilter|variable,gates_gamin | gates_gems1a | gates_gems | gates_vida
EUPATH_0042063,2,Drug allergies,category|value,gates_gamin | general_promote
EUPATH_0010013,2,Previous diarrheal care,category|variable,gates_gems_huas | gates_gems1a | gates_gems | gates_vida | gates_gems1a_huas | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali | icemr_southern_africa
EUPATH_0010014,2,Hospital Center,category|variable,gates_gems_huas | gates_gems1a | gates_gems | gates_vida | gates_gems1a_huas | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0011730,2,Breastfeeding,category|variable,gates_gamin | gates_gems1a | gates_gems | gates_elicit | gates_ppfp_choices_kenya_pp | gates_perch | gates_sip | gates_shine | gates_provide | gates_avenir | gates_maled | gates_ganc
EUPATH_0022002,2,External wall material,category|variable,gates_shine | icemr_amazonia_peru
EUPATH_0042002,2,Obstetrics,category|variable,gates_pcs | icemr_west_africa | icemr_prism2_border_cohort | general_kalifabougou | icemr_india_meghalaya | gates_washb_bangladesh | gates_ppfp_choices_kenya_pp | general_promote | gates_sip | icemr_prism2 | gates_shine | gates_namibia | gates_provide | icemr_amazonia_peru | icemr_india_daman | icemr_india_severe_malaria | icemr_myanmar | icemr_southern_africa | gates_ganc
EUPATH_0000144,2,Assets,multifilter|category,gates_gems_huas | icemr_prism2_border_cohort | gates_gems1a | gates_gems | gates_vida | gates_elicit | icemr_india_cx | icemr_amazonia_brazil | icemr_india_meghalaya | gates_washb_kenya | gates_washb_bangladesh | icemr_malawi | general_promote | icemr_india_cohort | gates_vida_hucs_kenya | icemr_prism2 | gates_shine | icemr_india_behavior | icemr_prism | gates_provide | icemr_amazonia_peru | gates_llineup | gates_vida_hucs_gambia_mali | gates_maled | gates_ganc
EUPATH_0000439,2,Personal mosquito repellent,multifilter|category,icemr_india_cx | icemr_india_meghalaya | icemr_india_cohort | icemr_india_behavior | icemr_india_severe_malaria
EUPATH_0010378,2,Diarrhea treatment before visit,multifilter|category,gates_gems1a | gates_gems | gates_vida | gates_vida_hucs_gambia_mali
EUPATH_0010383,2,Anthropometry flag,multifilter|category,gates_gems1a | gates_gems | gates_vida | gates_elicit
EUPATH_0010393,2,Previous diagnosis noted at 60 day follow-up visit,multifilter|category,gates_gems1a | gates_gems | gates_vida
EUPATH_0011959,2,Virus in stool,multifilter|category,gates_gems1a | gates_gems | gates_provide | gates_maled
EUPATH_0011973,2,Endolimax in stool,multifilter|category,gates_provide | gates_maled
EUPATH_0011977,2,Hymenolepis in stool,multifilter|category,gates_provide | gates_maled
EUPATH_0011978,2,Iodamoeba in stool,multifilter|category,gates_provide | gates_maled
EUPATH_0015684,2,Symptoms since illness began or during diarrhea,multifilter|category,gates_gems_huas | gates_gems1a_huas | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0021132,2,Chikungunya in blood,multifilter|category,icemr_india_severe_malaria | icemr_india_fever_surv
EUPATH_0021133,2,Dengue in blood,multifilter|category,icemr_india_severe_malaria | icemr_india_fever_surv
EUPATH_0030117,2,Eukaryota in stool,multifilter|category,gates_gems1a | gates_gems | icemr_amazonia_brazil | gates_score_burundi | gates_score_five_country | gates_score_seasonal | gates_score_sm_crt | gates_provide | gates_score_sm_cohort | gates_score_rwanda | gates_maled
EUPATH_0033304,2,Salmonella in blood,multifilter|category,gates_perch | icemr_india_severe_malaria | icemr_india_fever_surv
FOODON_03412974,2,Liquids for consumption,multifilter|category,gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali | gates_maled
EUPATH_0015669,3,Diarrhea treatment,multifilter|category|variable,gates_gems_huas | gates_gems1a_huas | gates_vida_hucs_kenya | gates_provide | gates_vida_hucs_gambia_mali
EUPATH_0020184,3,Severe malaria signs,multifilter|category|variable,icemr_west_africa | icemr_prism2_border_cohort | general_promote | icemr_prism2 | icemr_prism
EUPATH_0021002,3,Symptoms,multifilter|category|variable,icemr_west_africa | gates_gamin | icemr_prism2_border_cohort | gates_gems1a | general_umsp | gates_gems | icemr_india_cx | general_kalifabougou | icemr_amazonia_brazil | icemr_india_meghalaya | gates_perch | icemr_malawi | general_promote | icemr_india_cohort | icemr_south_asia | gates_sip | icemr_prism2 | icemr_india_behavior | icemr_prism | gates_provide | icemr_amazonia_peru | icemr_india_severe_malaria | gates_llineup | gates_avenir | icemr_india_fever_surv
EUPATH_0000001,2,Building material,multifilter|variable,icemr_india_cx | icemr_india_cohort | icemr_india_severe_malaria
EUPATH_0000423,2,"Plasmodium species, by microscopy",multifilter|variable,icemr_west_africa | gates_gamin | icemr_india_cx | icemr_amazonia_brazil | general_promote | icemr_india_cohort | icemr_prism2 | icemr_india_behavior | icemr_southeast_asia | icemr_amazonia_peru | icemr_india_severe_malaria | icemr_india_fever_surv
EUPATH_0000430,2,Antimalarial treatment,multifilter|variable,icemr_india_cx | icemr_india_cohort | icemr_india_behavior | icemr_india_severe_malaria | icemr_india_fever_surv
EUPATH_0000431,2,Where treated,multifilter|variable,icemr_india_cx | icemr_india_meghalaya | icemr_india_cohort | icemr_india_behavior | icemr_india_fever_surv
EUPATH_0000451,2,Typical healthcare,multifilter|variable,icemr_india_cx | icemr_india_meghalaya | icemr_india_cohort
EUPATH_0010380,2,Previously sought care,multifilter|variable,gates_gems_huas | gates_gems1a | gates_gems | gates_vida | gates_gems1a_huas | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0010394,2,Illness since enrollment,multifilter|variable,gates_gems1a | gates_gems | gates_vida
EUPATH_0020254,2,Complicated malaria signs,multifilter|variable,icemr_prism2_border_cohort | icemr_prism2 | icemr_prism
EUPATH_0021093,2,Water source,multifilter|variable,icemr_india_cx | icemr_amazonia_brazil | icemr_india_meghalaya | icemr_india_cohort | icemr_india_behavior | icemr_amazonia_peru | icemr_india_severe_malaria | gates_avenir | gates_ganc
EUPATH_0021244,2,Household coil use time,multifilter|variable,icemr_india_meghalaya | icemr_india_behavior
EUPATH_0021247,2,Household mat use time,multifilter|variable,icemr_india_meghalaya | icemr_india_behavior
EUPATH_0021250,2,Household vaporizer use time,multifilter|variable,icemr_india_meghalaya | icemr_india_behavior
EUPATH_0025092,2,Medication,multifilter|variable,icemr_malawi | general_promote | gates_sip | gates_provide
EUPATH_0031225,2,Finished floor,multifilter|variable,gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali | gates_ganc
EUPATH_0044134,2,Reason refused IRS,multifilter|variable,icemr_india_meghalaya | gates_namibia | gates_llineup
OBI_0003041,2,"Plasmodium species, by FalciVax RDT",multifilter|variable,icemr_india_cx | icemr_india_cohort | icemr_south_asia | icemr_india_fever_surv
OBI_0003044,2,"Plasmodium species, by qPCR",multifilter|variable,icemr_india_cx | icemr_amazonia_brazil | icemr_malawi | icemr_india_cohort | icemr_prism2 | icemr_amazonia_peru | icemr_india_fever_surv
ENVO_01000581,2,Mobile phone,value|variable,icemr_prism2_border_cohort | icemr_india_meghalaya | gates_washb_kenya | gates_washb_bangladesh | general_promote | icemr_prism2 | icemr_india_behavior | icemr_prism | gates_llineup | gates_ganc
EUPATH_0000100,2,Subjective fever,value|variable,icemr_west_africa | icemr_prism2_border_cohort | general_umsp | icemr_malawi | general_promote | icemr_prism2 | icemr_prism | icemr_amazonia_peru
EUPATH_0010528,2,"Vomiting, caregiver report",value|variable,gates_perch | gates_sip | gates_maled
EUPATH_0010532,2,"Diarrhea, caregiver report",value|variable,gates_perch | gates_shine | gates_maled
EUPATH_0010534,2,"Blood in stool, caregiver report",value|variable,gates_perch | gates_shine | gates_maled
EUPATH_0010538,2,"Cough, caregiver report",value|variable,gates_perch | gates_maled
EUPATH_0010544,2,"Fever, caregiver report",value|variable,gates_perch | gates_maled
EUPATH_0010630,2,"Escherichia coli, by bacteriology result",value|variable,gates_gems1a | gates_maled
EUPATH_0010793,2,"Rotavirus, by ELISA",value|variable,gates_gems1a | gates_gems | gates_provide
EUPATH_0015085,2,Home remedy or herbal medication,value|variable,gates_gems1a | gates_gems | gates_vida | gates_vida_hucs_gambia_mali
EUPATH_0015670,2,Homemade fluid,value|variable,gates_gems_huas | gates_gems1a_huas | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0015671,2,Intravenous fluids,value|variable,gates_gems_huas | gates_gems1a_huas | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0015672,2,None prescribed or taken,value|variable,gates_gems_huas | gates_gems1a_huas | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0015673,2,ORALITE or ORS,value|variable,gates_gems_huas | gates_gems1a_huas | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0015690,2,Vomiting >=3 times per day,value|variable,gates_gems_huas | gates_gems1a_huas
EUPATH_0021084,2,Electricity,value|variable,gates_gems_huas | icemr_prism2_border_cohort | gates_gems1a | gates_gems | gates_vida | icemr_india_cx | icemr_india_meghalaya | gates_washb_kenya | gates_washb_bangladesh | icemr_malawi | general_promote | icemr_india_cohort | gates_vida_hucs_kenya | icemr_prism2 | gates_shine | icemr_india_behavior | icemr_prism | gates_provide | icemr_amazonia_peru | gates_llineup | gates_vida_hucs_gambia_mali | gates_ganc
EUPATH_0025173,2,Other,value|variable,general_kalifabougou | icemr_india_meghalaya | icemr_malawi | general_promote | gates_sip
EUPATH_0031228,2,Improved drinking water source,value|variable,gates_vida | gates_shine
EUPATH_0032057,2,"Difficulty breathing, caregiver report",value|variable,gates_perch | gates_sip | gates_shine
EUPATH_0033263,2,"Unable to eat, caregiver report",value|variable,gates_perch | gates_sip
EUPATH_0040005,2,Artemether-lumefantrine,value|variable,general_umsp | gates_namibia
HP_0002013,2,Vomiting,value|variable,icemr_prism2_border_cohort | icemr_india_cx | general_kalifabougou | general_promote | icemr_india_cohort | icemr_prism2 | icemr_prism | icemr_amazonia_peru | icemr_india_severe_malaria | icemr_india_fever_surv
HP_0002014,2,Diarrhea,value|variable,icemr_prism2_border_cohort | icemr_india_cx | general_promote | icemr_india_cohort | icemr_prism2 | icemr_prism | gates_provide | icemr_amazonia_peru | icemr_india_severe_malaria | gates_avenir | icemr_india_fever_surv
HP_0002027,2,Abdominal pain,value|variable,icemr_prism2_border_cohort | icemr_india_cx | general_promote | icemr_india_cohort | icemr_prism2 | icemr_prism | icemr_amazonia_peru | icemr_india_severe_malaria | icemr_india_fever_surv
HP_0002315,2,Headache,value|variable,icemr_prism2_border_cohort | icemr_india_cx | general_kalifabougou | icemr_india_meghalaya | icemr_malawi | general_promote | icemr_india_cohort | icemr_prism2 | icemr_prism | icemr_amazonia_peru | icemr_india_severe_malaria | icemr_india_fever_surv
SYMP_0000523,2,Anorexia,value|variable,icemr_prism2_border_cohort | icemr_india_cx | general_promote | icemr_india_cohort | icemr_prism2 | icemr_prism | icemr_amazonia_peru | icemr_india_severe_malaria | icemr_india_fever_surv
SYMP_0000614,2,Cough,value|variable,icemr_prism2_border_cohort | icemr_india_cx | gates_perch | icemr_malawi | general_promote | icemr_india_cohort | icemr_prism2 | icemr_prism | icemr_amazonia_peru | icemr_india_severe_malaria | gates_avenir | icemr_india_fever_surv
SYMP_0019174,2,Chills,value|variable,icemr_india_cx | icemr_india_meghalaya | icemr_malawi | general_promote | icemr_india_cohort | icemr_amazonia_peru | icemr_india_severe_malaria | icemr_india_fever_surv
SYMP_0019177,2,Fatigue,value|variable,icemr_prism2_border_cohort | icemr_india_cx | general_promote | icemr_india_cohort | icemr_prism2 | icemr_prism | icemr_india_severe_malaria | icemr_india_fever_surv
EUPATH_0011671,3,Plain water,value|variable|multifilter,gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali | gates_maled
EUPATH_0031068,3,Breast milk,value|variable|multifilter,gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0031304,3,Other foods or drinks,value|variable|multifilter,gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali
EUPATH_0010049,2,Case ID,variable|category,gates_gems1a | gates_gems | gates_vida | icemr_malawi
EUPATH_0011750,2,Diarrheal episode severity,variable|category,gates_vida | gates_provide | gates_maled
EUPATH_0049242,2,Dose volume,variable|category,gates_gamin | gates_mordor | gates_avenir
ENVO_00003064,2,Drinking water source,variable|multifilter,icemr_prism2_border_cohort | gates_gems1a | gates_gems | gates_vida | icemr_malawi | general_promote | icemr_prism2 | gates_shine | icemr_prism | gates_provide | gates_llineup | gates_maled
EUPATH_0000003,2,Roof material,variable|multifilter,icemr_prism2_border_cohort | icemr_india_cx | icemr_amazonia_brazil | icemr_india_meghalaya | icemr_malawi | general_promote | icemr_india_cohort | icemr_prism2 | icemr_india_behavior | icemr_prism | gates_provide | icemr_amazonia_peru | gates_llineup | gates_maled
EUPATH_0000023,2,Cooking fuel,variable|multifilter,icemr_prism2_border_cohort | gates_gems1a | gates_gems | gates_vida | gates_perch | icemr_malawi | general_promote | icemr_prism2 | gates_shine | icemr_prism | gates_provide | icemr_amazonia_peru | gates_llineup | gates_ganc
EUPATH_0000441,2,Sprayed in the last 12 months,variable|multifilter,icemr_prism2_border_cohort | icemr_india_meghalaya | general_promote | icemr_india_cohort | icemr_prism2 | gates_namibia | icemr_india_severe_malaria | gates_llineup
EUPATH_0000638,2,Diagnosis at hospitalization,variable|multifilter,icemr_prism2_border_cohort | gates_perch | gates_sip | icemr_prism2 | icemr_prism
EUPATH_0021277,2,Activities before bedtime,variable|multifilter,icemr_india_meghalaya | icemr_india_behavior
EUPATH_0023033,2,"Plasmodium species, by thin smear microscopy",variable|multifilter,icemr_south_asia | icemr_southern_africa
EUPATH_0024158,2,Reason for not using a bednet,variable|multifilter,icemr_india_meghalaya | icemr_southern_africa
EUPATH_0024314,2,"Plasmodium, by thick smear microscopy",variable|multifilter,icemr_malawi | gates_llineup | icemr_southern_africa
EUPATH_0041090,2,Pulmonary exam findings,variable|multifilter,general_kalifabougou | gates_sip
EUPATH_0040010,3,Plasmodium test type,variable|multifilter|category,general_umsp | icemr_india_severe_malaria | gates_avenir
EUPATH_0000058,4,Antimalarial medication,"variable|multifilter|variable,derived|category",icemr_prism2_border_cohort | general_umsp | general_promote | icemr_south_asia | icemr_prism2 | gates_namibia | icemr_prism | icemr_amazonia_peru | icemr_india_severe_malaria | icemr_southern_africa
EUPATH_0000335,4,Human waste facilities,"variable|multifilter|variable,derived|category",icemr_prism2_border_cohort | gates_gems1a | gates_gems | gates_vida | icemr_india_meghalaya | icemr_malawi | general_promote | icemr_prism2 | gates_shine | icemr_india_behavior | icemr_prism | gates_provide | icemr_amazonia_peru | gates_llineup | gates_ganc
DOID_2355,2,Anemia,variable|value,icemr_amazonia_brazil | gates_sip
EUPATH_0000097,2,Febrile,variable|value,icemr_prism2_border_cohort | gates_perch | general_promote | icemr_prism2 | icemr_prism | gates_llineup | gates_avenir
EUPATH_0010607,2,"Ascaris lumbricoides, by microscopy",variable|value,gates_score_burundi | gates_score_seasonal | gates_score_sm_crt | gates_score_sm_cohort | gates_score_rwanda | gates_maled
EUPATH_0010615,2,"Trichuris trichiura, by microscopy",variable|value,gates_score_burundi | gates_score_seasonal | gates_score_sm_crt | gates_provide | gates_score_sm_cohort | gates_score_rwanda | gates_maled
EUPATH_0010734,2,"Hookworm, by microscopy",variable|value,gates_score_burundi | gates_score_seasonal | gates_score_sm_crt | gates_provide | gates_score_sm_cohort | gates_score_rwanda | gates_maled
EUPATH_0015185,2,Fever during last 7 days,variable|value,gates_gems1a | gates_gems | icemr_amazonia_brazil
EUPATH_0015422,2,Dysentery,variable|value,gates_gems1a | gates_vida
EUPATH_0021081,2,Blood smear sample,variable|value,icemr_west_africa | icemr_india_cx | general_kalifabougou | icemr_india_meghalaya | general_promote | icemr_india_cohort | icemr_india_behavior | icemr_amazonia_peru | icemr_india_daman | icemr_india_fever_surv
EUPATH_0021082,2,Microvette sample,variable|value,icemr_india_cx | icemr_india_meghalaya | icemr_india_cohort | icemr_india_daman | icemr_india_fever_surv
EUPATH_0021296,2,Use ITN,variable|value,icemr_india_meghalaya | icemr_india_behavior | icemr_myanmar
EUPATH_0022027,2,Dogs,variable|value,icemr_amazonia_brazil | icemr_amazonia_peru
EUPATH_0022028,2,Cats,variable|value,icemr_amazonia_brazil | icemr_amazonia_peru
EUPATH_0022112,2,Malaria,variable|value,icemr_amazonia_brazil | icemr_india_daman
EUPATH_0024082,2,Fever,variable|value,icemr_myanmar | icemr_southern_africa
EUPATH_0030123,2,"Schistosoma haematobium, by microscopy",variable|value,gates_score_moz | gates_score_nig | gates_score_five_country | gates_score_seasonal | gates_score_zanzibar
EUPATH_0030124,2,"Schistosoma haematobium infection intensity, by microscopy",variable|value,gates_score_moz | gates_score_nig | gates_score_five_country | gates_score_seasonal | gates_score_zanzibar
EUPATH_0033244,2,"Plasmodium, by multiple methods",variable|value,general_umsp | gates_perch
HP_0002018,2,Nausea,variable|value,general_promote | icemr_amazonia_peru
HP_0002094,2,Shortness of breath,variable|value,icemr_prism2_border_cohort | icemr_malawi
OBI_0003054,2,Vacutainer sample,variable|value,icemr_india_cx | icemr_india_meghalaya | icemr_india_cohort | icemr_india_daman | icemr_india_fever_surv
OBI_0003055,2,Filter paper sample,variable|value,icemr_west_africa | icemr_india_cx | general_kalifabougou | icemr_india_meghalaya | general_promote | icemr_india_cohort | icemr_prism | icemr_amazonia_peru | icemr_india_daman | icemr_india_fever_surv
OBI_0100016,2,Plasma sample,variable|value,general_promote | icemr_prism
EUPATH_0024123,2,Has bednet,variable|value??,icemr_malawi | general_promote | gates_namibia | icemr_myanmar | icemr_southern_africa
EUPATH_0044124,3,Cluster study arm,"variable|variable, derived|category",gates_pcs | gates_washb_kenya | gates_washb_bangladesh | gates_mordor | gates_shine | gates_namibia | gates_llineup
EUPATH_0024198,3,Reason for travel,"variable|variable,derived|multifilter",icemr_india_meghalaya | icemr_malawi | icemr_southern_africa
EUPATH_0021086,3,Systolic blood pressure,"variable|variable,derived|variable, derived",icemr_west_africa | icemr_prism2_border_cohort | icemr_india_cx | general_kalifabougou | general_promote | icemr_india_cohort | icemr_south_asia | gates_sip | icemr_prism2 | icemr_india_severe_malaria | gates_ganc | icemr_india_fever_surv
EUPATH_0021087,3,Diastolic blood pressure,"variable|variable,derived|variable, derived",icemr_west_africa | icemr_prism2_border_cohort | icemr_india_cx | general_kalifabougou | general_promote | icemr_india_cohort | icemr_south_asia | gates_sip | icemr_prism2 | icemr_india_severe_malaria | gates_ganc | icemr_india_fever_surv
ENVO_00000009,5,Country,"variable|variable; derived|variable,derived|derived|variable, derived",gates_pcs | gates_gamin | gates_gems_huas | gates_score_moz | icemr_prism2_border_cohort | gates_gems1a | general_umsp | gates_gems | gates_vida | icemr_india_cx | general_kalifabougou | icemr_amazonia_brazil | icemr_india_meghalaya | gates_washb_kenya | gates_washb_bangladesh | gates_ppfp_choices_kenya_pp | gates_score_nig | gates_gems1a_huas | gates_perch | icemr_malawi | general_promote | icemr_india_cohort | gates_score_burundi | icemr_south_asia | gates_vida_hucs_kenya | gates_sip | gates_score_five_country | gates_score_seasonal | icemr_prism2 | gates_shine | gates_score_sm_crt | icemr_india_behavior | icemr_southeast_asia | icemr_prism | gates_provide | gates_score_sm_cohort | icemr_amazonia_peru | icemr_india_severe_malaria | gates_llineup | gates_vida_hucs_gambia_mali | gates_score_rwanda | icemr_southern_africa | gates_maled | gates_ganc | gates_score_zanzibar | icemr_india_fever_surv
